'an'he 按喝
'jiu'bu'le 九部乐
'jiu'ge 九歌
'ju'bu 菊部
'ju'nan'lv'bo'mei'wu 句南吕薄媚舞
'jue'ding 撅丁
'jue'lai 撅俫
'jun'sheng'chen'xian'cuan 君圣臣贤爨
'kai'he 开呵
'kai'ke 开科
'kang'qu'xi 康衢戏
'ku'lou'ge 骷髅格
'lan'ling'wang 兰陵王
'lao'hu'wen'kang 老胡文康
'lao'lang'miao 老郎庙
'lao'lang'shen 老郎神
'le'ren 乐人
'li'bi 礼毕
'li'bu'ji 立部伎
'li'jie'chuan'bu'suo'zai'yuan'ben 礼节传簿所载院本
'li'mian'fu'xin 李勉负心
'li'yuan 梨园
'li'yuan'di'zi 梨园弟子
'liao'dong'yao'fu 辽东妖妇
'ling'zheng 伶正
'lu'qi 路歧
'lu'tai 露台
'mo'ni 末尼
'mo'ni 末泥
'mo'se 末色
'mu'da 木大
'nei'ren 内人
'nian'nian'hao 年年好
'nian'shao'zi 撚捎子
'nian'song 念诵
'niu'yuan'zi 纽元子
'nong'can'jun 弄参军
'nong'jia'fu'ren 弄假妇人
'nong'jia'guan'xi 弄假官戏
'nong'po'luo'men 弄婆罗门
'pai'xi 俳戏
'pei'shao'jun'yi'zhou 裴少俊伊州
'ping'le'guan 平乐观
'qian'tou'ren 前头人
'qing'jin'jiao'di'xi'shu 请禁角牴戏疏
'qing'xian'zhen'dao'ben 清闲真道本
'qing'yuan'shi 清源师
'qu'po 曲破
'qu'yuan'shu'yu 曲源术语
'sai'she 赛社
'san'jiao'lun'heng 三教论衡
'san'jing'xia'shu 三京下书
'san'le 散乐
'san'le'ren 散乐人
'san'shi'liu'ji 三十六髻
'san'shuo 散说
'se'chang 色长
'shang'yun'le 上云乐
'she'hui 社会
'she'huo 社火
'shi'bu'le 十部乐
'shi'qi 使砌
'shua'le'yuan'ben 耍乐院本
'shua'xiao'yuan'ben 耍笑院本
'shuan'chu'yan'duan 拴搐艳段
'shuang'dou'yi 双斗医
'si'ruo'shao'nian'you 四偌少年游
'si'shi'da'qu 四十大曲
'su'mo'zhe 苏莫遮
'su'zhong'lang 苏中郎
'ta'cuan 踏爨
'ta'ge 踏歌
'ta'yao'niang 踏谣娘
'tai'gong'jia'jiao 太公家教
'tai'le'shu 太乐署
'tan'rong'niang 谈容娘
'tian'gong'yuan'shuai 田公元帅
'tian'tai'shan'ji 天台山伎
'wa'she 瓦舍
'wa'shi 瓦市
'wa'zi 瓦子
'wang'bo 王勃
'wang'mu'shang'shou 王母上寿
'wang'zi'gao'liu'yao 王子高六幺
'wen'kang'le 文康乐
'wu'dui 舞队
'wu'guo'chong 无过虫
'wu'hua'cuan'nong 五花爨弄
'wu'huo'kang'ding 乌获扛鼎
'wu'xuan 舞旋
'xi'dan 细旦
'xi'li 戏礼
'xi'liang'ji 西凉伎
'xi'mian 戏面
'xi'nong 戏弄
'xi'se 戏色
'xi'shen 戏神
'xi'tou 戏头
'xian'dan 咸淡
'xian'shao'yuan 仙韶院
'xiang'li'fei 向里飞
'xiang'ren 象人
'xiang'ru'wen'jun 相如文君
'xiao'bu'yin'sheng 小部音声
'xiao'chang 小唱
'xiao'le'yuan'ben 笑乐院本
'xiao'za'ju 小杂剧
'xu'hu'ke'fa 许胡克伐
'ya'gu'xi 讶鼓戏
'ya'za'ju 哑杂剧
'yan'duan 艳段
'yan'duan 焰段
'yan'yao'suan 眼药酸
'yang'fan 杨饭
'yao'shun'yu'tang 尧舜禹汤
'ye'la 曳剌
'yi'chun'yuan 宜春院
'yi'jia 一甲
'yi'su'xing'jun 翼宿星君
'yin'sheng'ren 音声人
'yin'xi 引戏
'you'xiao 优笑
'yu'long'man'yan 鱼龙曼延
'yuan'ben 院本
'yuan'ti 院体
'yuan'yao 院幺
'yue'hu 乐户
'yun'shao'fu 云韶府
'za'ban 杂扮
'za'ban 杂班
'za'ju'san'jia 杂剧三甲
'za'ju'zhang'fu 杂剧丈夫
'za'xi 杂戏
'zai'qian'yan'nei'zuo 在钱眼内坐
'zhao'hong'fu'bang'jin 赵闳夫榜禁
'zhen'er'xian 针儿线
'zheng'shu'bao'hu 郑叔暴虎
'zheng'za'ju 正杂剧
'zhou'you'ren'qu'ci 周优人曲辞
'zhu'gan'zi 竹竿子
'zhu'ru 侏儒
'zhu'ru'dao 侏儒导
'zhu'xiang'fei'xiang 朱相非相
'zhu'za'qi 诸杂砌
'zhu'za'yuan'cuan 诸杂院爨
'zhuang'dan 装旦
'zhuang'dan 妆旦
'zhuang'gu 装孤
'zhuang'gu 妆孤
'zhuang'wai 装外
'zi'di 子弟
'zong'hui'xian'chang 总会仙倡
'zuo'bu'ji 坐部伎
