'an'cheng 暗撑
'fen'zhi'nian'tu 粉质粘土
'fen'zhi'zhan'tu'ceng 粉质粘土层
'feng'he'zai 风荷载
'feng'ya 风压
'fu'ban 腹板
'fu'bi'shi'dang'tu'qiang 扶壁式挡土墙
'fu'he'gu 复合箍
'fu'he'gu'jin 复合箍筋
'fu'jia'diao'jin 附加吊筋
'fu'jia'gu'jin 附加箍筋
'fu'tu 覆土
'gai'suan 概算
'gai'yu'suan 概预算
'gang'ban'zhi'shui'dai 钢板止水带
'gang'du 刚度
'gang'jie 刚接
'gang'jie'gou 钢结构
'gang'jin 钢筋
'gang'jin'hun'ning'tu 钢筋混凝土
'gang'jin'long'chang'du 钢筋笼长度
'gang'jin'mao'gu'chang'du 钢筋锚固长度
'gang'jin'tong 钢筋砼
'gang'jin'wang 钢筋网
'gang'jin'wang'pian 钢筋网片
'gang'liang 钢梁
'gang'tong 钢砼
'gang'xing'jiao 刚性角
'gang'xing'lian'jie 刚性连接
'gang'zhu 钢柱
'gao'ceng'jian'zhu'hun'ning'tu'jie'gou'ji'shu'gui'cheng 高层建筑混凝土结构技术规程
'gao'ceng'min'yong'jian'zhu'she'ji'fang'huo'gui'fan 高层民用建筑设计防火规范
'gao'cheng 高程
'gao'gui 高规
'gao'kuan'bi 高宽比
'gao'qiang'luo'shuan 高强螺栓
'gao'song'jie'gou'she'ji'gui'fan 高耸结构设计规范
'ge'duan 隔断
'ge'qiang 隔墙
'ge're'ceng 隔热层
'geng'zhi'tu'ceng 耕植土层
'gong'cheng'bian'hao 工程编号
'gong'zhen 共振
'gong'zi'gang 工字钢
'gou'jian 构件
'gou'zao 构造
'gou'zao'bian'yuan'gou'jian 构造边缘构件
'gou'zao'jin 构造筋
'gou'zao'pei'jin 构造配筋
'gu'ding'zuo'wei 固定座位
'gu'duan 固端
'gu'jin 箍筋
'gu'liao 骨料
'gua'ban 挂板
'guan'tong 贯通
'guan'zhu'zhuang 灌注桩
'guang'mian'gang'jin 光面钢筋
'guo'liang 过梁
'guo'lu'jian 锅炉间
'han'gang'liang 含钢量
'han'ji 焊剂
'han'si 焊丝
'hang'kuo'zhuang 夯扩桩
'hang'shi 夯实
'he'xin'qu 核心区
'he'xin'tong 核心筒
'he'zai 荷载
'he'zai'dai'biao'zhi 荷载代表值
'he'zai'dao'suan 荷载导算
'he'zai'she'ji'zhi 荷载设计值
'he'zai'zu'he 荷载组合
'heng'he'zai 恒荷载
'heng'jia 桁架
'heng'zai 恒载
'hou'chu'li 后处理
'hou'jiao'dai 后浇带
'hou'zhang'fa 后张法
'hu'bi 护壁
'hu'po 护坡
'hua'yi 滑移
'huan'chong'chi 缓冲池
'huan'tian'ceng 换填层
'huan'yang 环氧
'huan'zhang'xing 缓胀性
'hui'qian 会签
'hui'tan 回弹
'hui'tan'zai'ya'suo 回弹再压缩
'hui'tian 回填
'hui'yi'shi 会议室
'hun'ning'tu'gui'fan 混凝土规范
'hun'ning'tu'jie'gou'gou'zao'shou'ce 混凝土结构构造手册
'hun'ning'tu'jie'gou'she'ji'gui'fan 混凝土结构设计规范
'hun'ning'tu'yi'xing'zhu'jie'gou'ji'shu'gui'fan 混凝土异形柱结构技术规范
'huo'he'zai 活荷载
'huo'men'kan 活门槛
'huo'zai 活载
'ji'ben'feng'ya 基本风压
'ji'ben'xue'ya 基本雪压
'ji'ben'zu'he 基本组合
'ji'chu 基础
'ji'chu'ping'mian'bu'zhi'tu 基础平面布置图
'ji'chuang 基床
'ji'chuang'fan'li 基床反力
'ji'chuang'fan'li'xi'shu 基床反力系数
'ji'di 基底
'ji'fang'ceng 机房层
'ji'pei'sha'luan'shi'dian'ceng 级配砂卵石垫层
'ji'shui'cao 集水槽
'ji'shui'keng 集水坑
'ji'suan'gao'du 计算高度
'ji'xian 极限
'ji'xian'zhuang'tai 极限状态
'ji'xie'lian'jie 机械连接
'ji'xie'mao'gu 机械锚固
'ji'zhong'biao'zhu 集中标注
'jia'ceng 夹层
'jia'jin 加劲
'jia'jin'ban 加劲板
'jia'jin'lei 加劲肋
'jia'li'gang'jin 架立钢筋
'jia'li'jin 架立筋
'jia'mi'qu 加密区
'jia'qi 加气
'jia'qi'hun'ning'tu 加气混凝土
'jia'qi'kuai 加气块
'jia'qiang'dai 加强带
'jia'yao'jian 加药间
'jia'ye 加腋
'jia'ye'liang 加腋梁
'jian'cha'jing 检查井
'jian'dao'shi'lou'ti 剪刀式楼梯
'jian'han'liang 碱含量
'jian'kua'bi 剪跨比
'jian'li 剪力
'jian'li'qiang 剪力墙
'jian'niu 剪扭
'jian'qie 剪切
'jian'qie'mo'liang 剪切模量
'jian'qie'po'huai 剪切破坏
'jian'tu 简图
'jian'xiu'kong 检修孔
'jian'ya'bi 剪压比
'jian'zhi 简支
'jian'zhi'duan 简支端
'jian'zhi'liang 简支梁
'jian'zhong'bi 剪重比
'jian'zhu'di'ji'chu'li'ji'shu'gui'fan 建筑地基处理技术规范
'jian'zhu'di'ji'ji'chu'she'ji'gui'fan 建筑地基基础设计规范
'jian'zhu'jie'gou'he'zai'gui'fan 建筑结构荷载规范
'jian'zhu'kang'zhen'she'ji'gui'fan 建筑抗震设计规范
'jian'zhu'mian'ji 建筑面积
'jian'zhu'tiao'jian 建筑条件
'jian'zhu'zhuang'ji'ji'shu'gui'fan 建筑桩基技术规范
'jiang'ban 降板
'jiao'ban'zhuang 搅拌桩
'jiao'di 交底
'jiao'dui 校对
'jiao'gang 角钢
'jiao'guan 浇灌
'jiao'han'feng 角焊缝
'jiao'he 校核
'jiao'jie 铰接
'jiao'jin 角筋
'jiao'zhu 角柱
'jiao'zhu 浇筑
'jie'dian 节点
'jie'dian'he'xin'qu 节点核心区
'jie'dian'jie'gou'xiang'tu 节点结构详图
'jie'dian'yu 节点域
'jie'duan 截断
'jie'gou'bu'zhi 结构布置
'jie'gou'jiao'di 结构交底
'jie'gou'ping'mian'bu'zhi'tu 结构平面布置图
'jie'gou'yan'shou 结构验收
'jie'hong'gou 截洪沟
'jie'mian 截面
'jie'tou'mian'ji'bai'fen'lv 接头面积百分率
'jin'feng'shu'jing 进风竖井
'jing'gao 净高
'jing'kua 净跨
'jing'zhi'tu'ya'li 静止土压力
'jing'zi'liang 井字梁
'ju'bu'zhen'dong 局部振动
'ju'xing 矩形
'jue'dui'gao'cha 绝对高差
'jun'bu 均布
'jun'bu'he'zai 均布荷载
'kai'cao 开槽
'kai'dong 开洞
'kan'cha'bao'gao 勘察报告
'kang'ba 抗拔
'kang'ba'zhuang 抗拔桩
'kang'ba'zhuang'kang'fu 抗拔桩抗浮
'kang'chong'qie 抗冲切
'kang'feng'zhu 抗风柱
'kang'fu 抗浮
'kang'fu'shui'wei 抗浮水位
'kang'gui 抗规
'kang'hua'yi 抗滑移
'kang'jian 抗剪
'kang'la 抗拉
'kang'niu 抗扭
'kang'niu'zhuan 抗扭转
'kang'qing'fu 抗倾覆
'kang'ya 抗压
'kang'zhen 抗震
'kang'zhen'deng'ji 抗震等级
'kang'zhen'gui'fan 抗震规范
'ke'bian'he'zai 可变荷载
'ke'han'xing 可焊性
'ke'hen'gang'si 刻痕钢丝
'kong'tiao'ban 空调板
'kong'xi 孔隙
'kong'xin'lou'ban 空心楼板
'kong'xin'qi'kuai 空心砌块
'kua'du 跨度
'kua'zhong 跨中
'kuan'hou'bi 宽厚比
'kuang'jia 框架
'kuang'jia'liang 框架梁
'kuang'jia'zhu 框架柱
'kuang'jian 框剪
'kuang'tong 框筒
'kuang'zhi 框支
'kuang'zhi'liang 框支梁
'kuang'zhi'zhu 框支柱
'kuo'chu 扩初
'kuo'di 扩底
'kuo'san'shi 扩散室
'la'jie'jin 拉结筋
'la'jin 拉筋
'la'tong 拉通
'la'wan 拉弯
'lan'ban 栏板
'leng'jia'gong 冷加工
'leng'zha 冷轧
'leng'zha'dai'lei 冷轧带肋
'li'guo'hao 李国豪
'li'guo'qiang 李国强
'li'guo'sheng 李国胜
'li'ju 力矩
'li'mian 立面
'li'qing'hun'ning'tu 沥青混凝土
'li'zheng 理正
'lian'he'ji'chu 联合基础
'lian'liang 连梁
'lian'liang'biao 连梁表
'lian'ti 连体
'lian'xu'liang 连续梁
'liang'ban 梁板
'liang'ban'shi 梁板式
'liang'di 梁底
'liang'di'gang'jin 梁底钢筋
'liang'ding 梁顶
'liang'gao 梁高
'liang'jie'mian 梁截面
'liang'kuan 梁宽
'liang'pao 两跑
'liang'pei'jin'tu 梁配筋图
'liang'qiang 梁墙
'liang'shi'lou'ti 梁式楼梯
'lie'du 烈度
'lie'feng'kuan'du 裂缝宽度
'lin'jie'feng'su 临界风速
'lin'kong'qiang 临空墙
'lin'tiao 檩条
'lin'tong'yan 林同炎
'lin'zhan'feng'du 临战封堵
'ling'qi 龄期
'liu'dong 留洞
'liu'dong'tu 留洞图
'liu'liang'ji'jing 流量计井
'liu'xian 流线
'lou'ban 楼板
'lou'ceng 楼层
'lou'gai 楼盖
'lou'mian 楼面
'lou'ti'jie'gou'xiang'tu 楼梯结构详图
'lun'ya 轮压
'luo'xuan'gu 螺旋箍
'luo'xuan'gu'jin 螺旋箍筋
'luo'xuan'lei'gang'si 螺旋肋钢丝
'luo'yang'chan'zhuang'ji'chu 洛阳铲桩基础
'lv'chi 滤池
'lv'li'zi'han'liang 氯离子含量
'ma'ya'cha 马牙槎
'mai'jian 埋件
'mai'ru'shi 埋入式
'man'bu 满布
'man'pu 满铺
'mang'gou'pai'shui'kang'fu 盲沟排水抗浮
'mao'gan'dang'tu'qiang 锚杆挡土墙
'mao'gan'kang'fu 锚杆抗浮
'mao'gu 锚固
'mao'gu'chang'du 锚固长度
'mao'ru 锚入
'mao'shi'hun'ning'tu 毛石混凝土
'mao'shuan 锚栓
'men'kuang'qiang 门框墙
'men'ting 门厅
'mi'bi'men 密闭门
'mo'ban 模板
'mo'ca'xi'shu 摩擦系数
'mo'jiao 抹角
'mo'liang 模量
'nan'li'mian 南立面
'nei'li 内力
'nei'li'zhong'fen'bu 内力重分布
'nei'li'zhong'fen'pei 内力重分配
'nei'mo'ca'jiao 内摩擦角
'nei'qiang 内墙
'nei'shen 内审
'ni'jiang 泥浆
'nian'tu 粘土
'niu'ju 扭矩
'niu'zhuan 扭转
'nv'er'qiang 女儿墙
'ou'pian 偶偏
'ou'ran'he'zai 偶然荷载
'ou'ran'pian'xin 偶然偏心
'ou'ran'zu'he 偶然组合
'pai'feng'shu'jing 排风竖井
'pai'jia 排架
'pei'dian'shi 配电室
'pei'gu 配箍
'pei'gu'lv 配箍率
'pei'gu'te'zheng'zhi 配箍特征值
'pei'jin 配筋
'pei'jin'lv 配筋率
'pei'shui'chi 配水池
'pei'shui'zhong'he'chi 配水中和池
'pei'zhong'kang'fu 配重抗浮
'pen'sha 喷砂
'peng'zhang'ji 膨胀剂
'peng'zhang'luo'shuan 膨胀螺栓
'pi'lao'po'huai 疲劳破坏
'pi'lao'qiang'du 疲劳强度
'pian'xin'ju 偏心距
'piao'chuang 飘窗
'pin'yu'zhi 频遇值
'pin'yu'zu'he 频遇组合
'ping'ban'shi 平板式
'ping'fa 平法
'ping'mian 平面
'ping'mian'pei'jin'tu 平面配筋图
'ping'tai 平台
'ping'tai'ban 平台板
'ping'tai'liang 平台梁
'po'wu'ding 坡屋顶
'po'wu'mian 坡屋面
'pou'mian 剖面
'pu'bian'qian'tan 普遍钎探
'pu'tong'luo'shuan 普通螺栓
'qi'che'po'dao 汽车坡道
'qi'fu'chi 气浮池
'qi'gong 起拱
'qi'gu'gang'jiao'xian 七股钢绞线
'qi'ju'shi 起居室
'qi'kuai 砌块
'qi'ti 砌体
'qi'ti'jie'gou'she'ji'gui'fan 砌体结构设计规范
'qi'zhu 砌筑
'qian'chu'li 前处理
'qian'gu 嵌固
'qian'gu'duan 嵌固端
'qian'shi 前室
'qian'shui 潜水
'qian'tan 钎探
'qian'yan'zhuang 嵌岩桩
'qiang'feng'hua'yan'ceng 强风化岩层
'qiang'hou 墙厚
'qiang'qu'bi 强屈比
'qiang'shen 墙身
'qiang'ti 墙体
'qiang'ti'pei'jin 墙体配筋
'qiang'tiao 强条
'qiang'zhi 墙肢
'qiang'zhu 墙柱
'qiang'zhu'ping'mian'bu'zhi'tu 墙柱平面布置图
'qiao'qu 翘曲
'qing'fu 倾覆
'qing'fu'li'ju 倾覆力矩
'qing'fu'wan'ju 倾覆弯矩
'qing'qiang 轻墙
'qu'fu 屈服
'qu'fu'tai'jie 屈服台阶
'quan'gao 全高
'quan'gao'jia'mi 全高加密
'quan'jie'mian 全截面
'qun'fang 裙房
're'zha 热轧
'ren'fang 人防
'ren'fang'kou'bu'jie'gou'xiang'tu 人防口部结构详图
'ren'gong'wa'kong'zhuang 人工挖孔桩
'ren'kong 人孔
'ren'min'fang'kong'di'xia'shi'she'ji'gui'fan 人民防空地下室设计规范
'rong'ji'lv 容积率
'rong'zhong 容重
'rou'du 柔度
'ru'kou 入口
'ruan'ruo'xia'wo'ceng 软弱下卧层
'san'ceng 三层
'san'gu'gang'jiao'xian 三股钢绞线
'san'he'tu 三合土
'san'ji'gang 三级钢
'san'lei'chang'di 三类场地
'san'shui 散水
'san'zhi'gu 三肢箍
'sha'jiang 砂浆
'sha'luan'shi'ceng 砂卵石层
'sha'luan'shi'ru'dian'ceng 砂卵石褥垫层
'sha'tu 砂土
'shan'qiang 山墙
'shang'dang 上挡
'shang'dang'qiang 上挡墙
'shang'jie'dian'gao 上节点高
'shang'pai 上排
'shang'ren'wu'mian 上人屋面
'shang'tie 上铁
'shang'tie'shang 上铁上
'shang'tie'xia 上铁下
'shang'wang 上网
'shang'zhu'dun 上柱墩
'she'bei'ji'chu 设备基础
'she'bei'jia'ceng 设备夹层
'she'fang 设防
'she'fang'lie'du 设防烈度
'she'ji'ji'zhun'qi 设计基准期
'she'ji'zhi 设计值
'shen'chang'lv 伸长率
'shen'ding 审定
'shen'he 审核
'shen'liang 深梁
'shen'ru 伸入
'shen'shou'wan 深受弯
'shen'tu 审图
'shen'zu'yan 沈祖炎
'sheng'hua'chi 生化池
'shi'cheng 时程
'shi'cheng'fen'xi 时程分析
'shi'gong'feng 施工缝
'shi'gong'mo'ni'er 施工模拟二
'shi'gong'mo'ni'san 施工模拟三
'shi'gong'mo'ni'yi 施工模拟一
'shi'gong'tu 施工图
'shi'kuai 试块
'shi'wai'zhi'tong 室外直通
'shi'wen 失稳
'shi'xian 湿陷
'shi'yong'mian'ji 使用面积
'shi'yong'nian'xian 使用年限
'shou'ceng 首层
'shou'fa'shi 收发室
'shou'jian 受剪
'shou'la 受拉
'shou'niu 受扭
'shou'ya 受压
'shu'jing 竖井
'shu'ku 书库
'shu'xiang 竖向
'shu'xiang'jin 竖向筋
'shu'zhi 树脂
'shuang'mian'han 双面焊
'shuang'pai 双排
'shuang'pai'shuang'xiang 双排双向
'shuang'xiang'ban 双向板
'shuang'xiang'di'zhen 双向地震
'shuang'xiang'shuang'pai 双向双排
'shuang'zhi'gu 双肢箍
'shuang'zhu 双柱
'shui'hui'bi 水灰比
'shui'luo'dou 水落斗
'shui'ping'jin 水平筋
'shui'tu'ya'li 水土压力
'shui'xiang'jian 水箱间
'si'ceng 四层
'si'lei'chang'di 四类场地
'si'zhi'gu 四肢箍
'su'hun'ning'tu 素混凝土
'su'xing'jiao 塑性铰
'ta'bu 踏步
'tan'su'xing 弹塑性
'tan'suo'zhe 探索者
'tan'xing'ban 弹性板
'tan'xing'di'ji'liang 弹性地基梁
'tan'xing'hou'xiao 弹性后效
'tan'xing'lou'ban 弹性楼板
'tan'xing'mo'liang 弹性模量
'tao'li 陶粒
'ti'duan'ban 梯段板
'ti'jing 梯井
'ti'liang 梯梁
'ti'pao 梯跑
'ti'tiao'jian 提条件
'ti'xing 体型
'ti'xing'xi'shu 体型系数
'tian'chong'qiang 填充墙
'tian'jia'ji 添加剂
'tian'ran'di'ji 天然地基
'tian'tu 填土
'tian'zheng 天正
'tiao'ban 挑板
'tiao'fu 调幅
'tiao'fu'xi'shu 调幅系数
'tiao'ji 条基
'tiao'liang 挑梁
'tong'chang 通长
'tong'chang'jin 通长筋
'tong'gui 砼规
'tong'ti 筒体
'tou'shi'tu 透视图
'tu'gong'bu 土工布
'tu'gong'ge'shan 土工格栅
'tu'gong'mo 土工膜
'tu'ji 图集
'tu'kuang 图框
'tu'ming 图名
'tu'qian 图签
'tui'tai 退台
'wa'kong'zhuang 挖孔桩
'wai'lu'shi 外露式
'wai'qiang 外墙
'wai'shen 外审
'wan'jian'niu 弯剪扭
'wan'ju 弯矩
'wan'qi 弯起
'wang'jia 网架
'wang'pian 网片
'wei'han 围焊
'wei'sheng'jian 卫生间
'wei'yi 位移
'wei'yi'bi 位移比
'wen'du'ying'li 温度应力
'wu'ceng 五层
'wu'liang'lou'gai 无梁楼盖
'wu'ni'ti'sheng'beng'zhan 污泥提升泵站
'wu'ni'tuo'shui'jian 污泥脱水间
'wu'yan 屋檐
'xi'chang'zhu 细长柱
'xi'li'mian 西立面
'xia'pai 下排
'xia'tie 下铁
'xia'wang 下网
'xian'chang'han 现场焊
'xian'he'zai 线荷载
'xian'jiao 现浇
'xian'jiao'ceng 现浇层
'xian'jiao'hun'ning'tu 现浇混凝土
'xian'tan'xing 线弹性
'xian'zai 线载
'xian'zhang'fa 先张法
'xian'zhi 限值
'xiang'dui'gao'cha 相对高差
'xiang'hai'fan 项海帆
'xiang'han 箱涵
'xiang'jiao'zhi'shui'dai 橡胶止水带
'xiang'tu 详图
'xiao'fang'shu'san 消防疏散
'xiao'guo'tu 效果图
'xiao'pian'la 小偏拉
'xiao'pian'xin 小偏心
'xiao'pian'ya 小偏压
'xie'bao 泄爆
'xie'cheng 斜撑
'xie'jie'mian 斜截面
'xing'gang 型钢
'xing'gang'hun'ning'tu 型钢混凝土
'xing'shi'sheng'cheng 形式生成
'xiu'shi 锈蚀
'xu'bian 徐变
'xuan'ban'huo'men 悬板活门
'xuan'bi 悬臂
'xuan'bi'ban 悬臂板
'xuan'bi'liang 悬臂梁
'xuan'tiao 悬挑
'xuan'tiao'ban 悬挑板
'xuan'tiao'gou'jian 悬挑构件
'xuan'tiao'liang 悬挑梁
'xue'ya 雪压
'ya'shi'xi'shu 压实系数
'ya'tiao 压条
'ya'wan 压弯
'yan'cao 验槽
'yan'gou 檐沟
'yan'jin 验筋
'yan'kou 檐口
'yan'suan 验算
'yan'tu'gong'cheng'kan'cha'gui'fan 岩土工程勘察规范
'yang'hu 养护
'yang'hu'qi 养护期
'yang'jiao 阳角
'yao'jin 腰筋
'ye'hua 液化
'yi'beng'fang 一泵房
'yi'biao'jian 仪表间
'yi'ji'gang 一级钢
'yi'lei'chang'di 一类场地
'yi'lei'huan'jing 一类环境
'yi'liu'cao 溢流槽
'yi'liu'yan 溢流堰
'yi'mao'jian 衣帽间
'yi'pao 一跑
'yi'qiang 翼墙
'yi'xing'ban 异形板
'yi'xing'zhu 异形柱
'yi'yuan 翼缘
'yin'jiao 阴角
'ying'bian 应变
'ying'bian'pian 应变片
'ying'li 应力
'yong'jiu'he'zai 永久荷载
'yu'cheng 隅撑
'yu'chu'li'gou'zhu'wu 预处理构筑物
'yu'mai'jian 预埋件
'yu'mai'tao'guan 预埋套管
'yu'shi 浴室
'yu'suan 预算
'yu'tong 余同
'yu'ying'li 预应力
'yu'ying'li'guan'zhuang 预应力管桩
'yu'zhi 预制
'yu'zhi'fang'zhuang 预制方桩
'yu'zhi'zhuang 预制桩
'yuan'li'ceng 圆砾层
'yuan'wei'biao'zhu 原位标注
'yue'shu'bian'yuan'gou'jian 约束边缘构件
'za'tian'tu 杂填土
'zhan'zhi'fen'tu 粘质粉土
'zhao'ping 找平
'zhao'ping'ceng 找平层
'zhao'po 找坡
'zhe'dao'pou 折倒剖
'zhe'dao'pou'mian 折倒剖面
'zhe'jian 折减
'zhe'jian'xi'shu 折减系数
'zhe'liang 折梁
'zhen'dao 振捣
'zhen'dao'bang 振捣棒
'zhen'xing 振型
'zheng'jie'mian 正截面
'zheng'ti'wen'ding 整体稳定
'zhi'gao'zhi'hou'bi 肢高肢厚比
'zhi'mo 支模
'zhi'shu 肢数
'zhi'shui 滞水
'zhi'shui'wei'mu 止水帷幕
'zhi'tu 制图
'zhi'zuo 支座
'zhong'bu'jin 中部筋
'zhong'cu'sha 中粗砂
'zhong'fen'pei 重分配
'zhong'feng'hua'yan'ceng 中风化岩层
'zhong'he'zhou 中和轴
'zhong'jian'zhi'zuo 中间支座
'zhong'li'er'jie'xiao'ying 重力二阶效应
'zhong'sha 中砂
'zhong'zhi'wu'mian 种植屋面
'zhong'zhu 中柱
'zhou'ce 轴侧
'zhou'li 轴力
'zhou'qi'bi 周期比
'zhou'wang 轴网
'zhou'xi'yuan 周锡元
'zhou'xian 轴线
'zhou'ya 轴压
'zhou'ya'bi 轴压比
'zhu'biao 柱表
'zhu'ce'jie'gou'gong'cheng'shi 注册结构工程师
'zhu'ce'zhang 注册章
'zhu'chi'ren 主持人
'zhu'di 柱底
'zhu'ding 柱顶
'zhu'dong'tu'ya'li 主动土压力
'zhu'dun 柱墩
'zhu'jiao 柱脚
'zhu'jie'mian 柱截面
'zhu'jin 主筋
'zhu'ju 柱距
'zhu'kuan 柱宽
'zhu'mao 柱帽
'zhu'ni'chi 贮泥池
'zhu'ping'mian'bu'zhi'tu 柱平面布置图
'zhu'zhi 柱肢
'zhuan'huan'ceng 转换层
'zhuan'huan'liang 转换梁
'zhuan'jiao'zhu 转角柱
'zhuang'chang 桩长
'zhuang'jing 桩径
'zhuang'jing'bi 桩径比
'zhuang'pei'zheng'ti'shi 装配整体式
'zhuang'shen 桩身
'zhun'yong'jiu 准永久
'zhun'yong'jiu'zhi 准永久值
'zhun'yong'jiu'zu'he 准永久组合
'zi'fa'ban 子筏板
'zi'wai'guang'xiao'du'chi 紫外光消毒池
'zi'zhen'zhou'qi 自振周期
'zi'zhong'kang'fu 自重抗浮
'zong'jin 纵筋
'zong'ping'mian 总平面
'zou'lang 走廊
'zu'he'liang 组合梁
'zu'he'zhi 组合值
