'ai'jiang'tou 哀江头
'cen'shen 岑参
'ceng'mao'xian'di'zhao'ye'bai 曾貌先帝照夜白
'ceng'qu'shi'wan'shi 曾驱十万师
'ceng'shi'ji'liao'jin'jin'an 曾是寂寥金烬暗
'cha'chi'bu'xiang'jian 差池不相见
'chai'bo'huang'jin'he'fen'dian 钗擘黄金合分钿
'chai'lang'zai'yi'long'zai'ye 豺狼在邑龙在野
'chai'liu'yi'gu'he'yi'shan 钗留一股合一扇
'chan 蝉
'chan'fang'hua'mu'shen 禅房花木深
'chan'ming'kong'sang'lin 蝉鸣空桑林
'chan'xiu'lu'man'zhi 蝉休露满枝
'chan'yu'lie'huo'zhao'lang'shan 单于猎火照狼山
'chan'yu'ye'dun'tao 单于夜遁逃
'chan'yu'yi'zai'jin'shan'xi 单于已在金山西
'chan'zhi'tian'zi'yan'qi'si 谗之天子言其私
'chang'an'cheng'lian'dong'ye'yuan 长安城连东掖垣
'chang'an'cheng'tou'tou'bai'wu 长安城头头白乌
'chang'an'shui'bian'duo'li'ren 长安水边多丽人
'chang'an'yi'pian'yue 长安一片月
'chang'an'yu'feng'zhu 长安遇冯著
'chang'biao'feng'zhong'zi'lai'wang 长飙风中自来往
'chang'cun'bao'zhu'xin 常存抱柱信
'chang'dian'ying'feng'zao 长簟迎风早
'chang'duan'wei'ren'sao 肠断未忍扫
'chang'feng'chui'lin'yu'duo'wa 长风吹林雨堕瓦
'chang'feng'ji'wan'li 长风几万里
'chang'feng'lian'ri'zuo'da'lang 长风连日作大浪
'chang'feng'po'lang'hui'you'shi 长风破浪会有时
'chang'feng'wan'li'song'qiu'yan 长风万里送秋雁
'chang'gan'xing 长干行
'chang'gan'xing'er'shou'zhi'er 长干行二首之二
'chang'gan'xing'er'shou'zhi'yi 长干行二首之一
'chang'ge'chu'tian'bi 长歌楚天碧
'chang'ge'li'mao'ri'ke'hui 长戈利矛日可麾
'chang'ge'yin'song'feng 长歌吟松风
'chang'he'lang'tou'lian'tian'hei 长河浪头连天黑
'chang'hen'ge 长恨歌
'chang'jian 常建
'chang'jiang'du'zhi'jin 长江独至今
'chang'jiang'yi'fan'yuan 长江一帆远
'chang'le'zhong'sheng'hua'wai'jin 长乐钟声花外尽
'chang'ran'yin'shi'wei 怅然吟式微
'chang'sha'guo'jia'yi'zhai 长沙过贾谊宅
'chang'sha'zhe'qu'gu'jin'lian 长沙谪去古今怜
'chang'sheng'bai'chi'zhuai'bei'dao 长绳百尺拽碑倒
'chang'shi'ying'xiong'lei'man'jin 长使英雄泪满襟
'chang'ting'jiu'yi'piao 长亭酒一瓢
'chang'wang'qian'qiu'yi'sa'lei 怅望千秋一洒泪
'chang'wo'xin'chun'bai'qia'yi 怅卧新春白袷衣
'chang'xiang'si 长相思
'chang'xiang'si'er'shou'zhi'er 长相思二首之二
'chang'xiang'si'er'shou'zhi'yi 长相思二首之一
'chang'xue'pi'pa'yu'mu'cao'er'shan'cai 尝学琵琶於穆曹二善才
'chang'yuan'xiang'nan'liu 长愿向南流
'chao'ba'xu'cai'wu'se'zhao 朝罢须裁五色诏
'chao'bi'meng'hu 朝避猛虎
'chao'bie'huang'he'lou 朝别黄鹤楼
'chao'ping'liang'an'kuo 潮平两岸阔
'chao'wei'yue'xi'nv 朝为越溪女
'chao'wen'you'zi'chang'li'ge 朝闻游子唱骊歌
'chao'zai'san'zhu'shu 巢在三珠树
'che'lin'lin 车辚辚
'che'ma'qu'xian'xian 车马去闲闲
'che'shi'xi'men'zhu'xian'jie 车师西门伫献捷
'che'zou'lei'sheng'yu'wei'tong 车走雷声语未通
'chen'ai'bu'jian'xian'yang'qiao 尘埃不见咸阳桥
'chen'hou'li'shen'he'tan'dang 陈侯立身何坦荡
'chen'wang'xi'shi'yan'ping'le 陈王昔时宴平乐
'chen'xin'wei'jin'si'xiang'xian 尘心未尽思乡县
'chen'yao'yu'pei'qu'jin'dian 晨摇玉佩趋金殿
'chen'yi'chao'shi'yuan'du'chan'jing 晨诣超师院读禅经
'chen'zi'ang 陈子昂
'cheng'cheng'bian'jin'gu 澄澄变今古
'cheng'cheng'ying'jia'wei 澄澄映葭苇
'cheng'chun'cao'mu'shen 城春草木深
'cheng'en'bu'zai'mao 承恩不在貌
'cheng'en'shu'shang'nan'xun'dian 承恩数上南熏殿
'cheng'huan'shi'yan'wu'xian'xia 承欢侍宴无闲暇
'cheng'ming'yi'jiu'rong 称名忆旧容
'cheng'que'fu'san'qin 城阙辅三秦
'cheng'que'ye'qian'zhong 城阙夜千重
'cheng'shang'gao'lou'jie'da'huang 城上高楼接大荒
'cheng'xia'mei'quan'shi 城下没全师
'cheng'xiang'ci'tang'he'chu'xun'jin'guan'cheng'wai'bai'sen'sen 丞相祠堂何处寻锦官城外柏森森
'cheng'xiao'zei'bu'tu 城小贼不屠
'cheng'zhi'ci'hen'ren'ren'you 诚知此恨人人有
'cheng'zhong'xiang'shi'jin'fan'hua 城中相识尽繁华
'cheng'zhong'zeng'mu'han 城中增暮寒
'chi'chi'zhong'gu'chu'chang'ye 迟迟钟鼓初长夜
'chi'ci'xie'gao'niao 持此谢高鸟
'chi'huang'bu'gan'gu 池潢不敢顾
'chi'ji'bai'gou'du'li'li 赤鸡白狗赌梨栗
'chi'ling'yue'jia'ming'wu'jun 耻令越甲鸣吾君
'chi'mei'xi'ren'guo 魑魅喜人过
'chi'xie'lin'jia'zi 持谢邻家子
'chi'yue'jian'dong'shang 池月渐东上
'chong'shang'jun'zi'tang 重上君子堂
'chou'bi'yi 筹笔驿
'chou'chang'nan'chao'shi 惆怅南朝事
'chou'cheng'yan'qiu'ye'ji'shi'jian'zeng 酬程延秋夜即事见赠
'chou'dao'duan'shui'shui'geng'liu 抽刀断水水更流
'chou'guo'gei'shi 酬郭给事
'chou'yin'bo'mu'qi 愁因薄暮起
'chou'yun'can'dan'wan'li'ning 愁云黪淡万里凝
'chou'zhang'shao'fu 酬张少府
'chu'bo'tao 触波涛
'chu'chu'ban'chou'yan 处处伴愁颜
'chu'chu'huang'lu'cao 处处黄芦草
'chu'chu'wen'ti'niao 处处闻啼鸟
'chu'dan'lu'shui'hou'chu'fei 初弹渌水后楚妃
'chu'dong'wu'lun'ge'shan'shui 出洞无论隔山水
'chu'fa'yang'zi'ji'yuan'da'xiao'shu 初发扬子寄元大校书
'chu'jiang'huai'gu 楚江怀古
'chu'jiang'wei'yu'li 楚江微雨里
'chu'jiao'kuang'qing'shu 出郊旷清曙
'chu'ke'xiang'si'yi'miao'ran 楚客相思益渺然
'chu'men'sao'bai'shou 出门搔白首
'chu'ri'ying'men'shan 初日郢门山
'chu'ri'zhao'gao'lin 初日照高林
'chu'ru'gao'xia'qiong'yan'fei 出入高下穷烟霏
'chu'sai'fu'ru'sai 出塞复入塞
'chu'sai'san'xiang'jie 楚塞三湘接
'chu'shan'quan'shui'zhuo 出山泉水浊
'chu'shi'wei'jie'shen'xian'si 出师未捷身先死
'chu'wei'ni'chang'hou'liu'me 初为霓裳后六么
'chu'wen'ti'lei'man'yi'shang 初闻涕泪满衣裳
'chu'xing'fu'you'you 出行复悠悠
'chu'yin'bi'di'qu'ren'jian 初因避地去人间
'chu'zhou'xi'jian 滁州西涧
'chuan'wei'jing'qi'bo 川为静其波
'chuan'wen'zhi'ci'hui 传闻至此回
'chuan'zhi'qi'shi'you'er'dai 传之七十有二代
'chuang'qian'ming'yue'guang 床前明月光
'chui'diao'jiang'yi'yi 垂钓将已矣
'chui'du'yu'men'guan 吹度玉门关
'chun'can'dao'si'si'fang'jin 春蚕到死丝方尽
'chun'cao'bi'xian'men 春草闭闲门
'chun'cao'ming'nian'lv 春草明年绿
'chun'chao'dai'yu'wan'lai'ji 春潮带雨晚来急
'chun'cheng'wu'chu'bu'fei'hua 春城无处不飞花
'chun'cheng'zi'jin'xiao'yin'yin 春城紫禁晓阴阴
'chun'chou'an'an'du'cheng'mian 春愁黯黯独成眠
'chun'chuang'shu'mie'jiu'wei'huo 春窗曙灭九微火
'chun'cong'chun'you'ye'zhuan'ye 春从春游夜专夜
'chun'fan'ruo'ye'xi 春泛若耶溪
'chun'feng'bu'xiang'shi 春风不相识
'chun'feng'chui'you'sheng 春风吹又生
'chun'feng'dui'qing'zhong 春风对青冢
'chun'feng'tao'li'hua'kai'ri 春风桃李花开日
'chun'ge 春歌
'chun'gong'qu 春宫曲
'chun'gong'yuan 春宫怨
'chun'gui'zai'ke'xian 春归在客先
'chun'han'ci'yu'hua'qing'chi 春寒赐浴华清池
'chun'jiang'hua'zhao'qiu'yue'ye 春江花朝秋月夜
'chun'jiu'ming'he'chu 春鸠鸣何处
'chun'lai'bian'shi'tao'hua'shui 春来遍是桃花水
'chun'lai'fa'ji'zhi 春来发几枝
'chun'mian'bu'jue'xiao 春眠不觉晓
'chun'ri'ning'zhuang'shang'cui'lou 春日凝妆上翠楼
'chun'ri'qian'xing'qu'jiang'qu 春日潜行曲江曲
'chun'si 春思
'chun'su'zuo'sheng 春宿左省
'chun'wang 春望
'chun'xiao 春晓
'chun'xiao'ku'duan'ri'gao'qi 春宵苦短日高起
'chun'xin'mo'gong'hua'zheng'fa 春心莫共花争发
'chun'yu 春雨
'chun'yu'qing'xi'chang 春与青溪长
'chun'yuan 春怨
'ci'bei'gu'shan'xia 次北固山下
'ci'dao'xi'gui'shun 此道昔归顺
'ci'di'kong'yu'huang'he'lou 此地空馀黄鹤楼
'ci'di'yi'wei'bie 此地一为别
'ci'gen'san'zuo'jiu'qiu'peng 辞根散作九秋蓬
'ci'hen'mian'mian'wu'jue'qi 此恨绵绵无绝期
'ci'jia'zhong'ni'chang'you'yan 辞家终拟长游衍
'ci'jie'qi'zhan'yi'di'wan 此皆骑战一敌万
'ci'ke'ai'shi'qie'wei'hai 词客哀时且未还
'ci'le'ben'zi'qiu'ci'chu 此乐本自龟兹出
'ci'ming'da'guo'guo'yu'qin 赐名大国虢与秦
'ci'mu'qi'wu'yin 此木岂无阴
'ci'mu'shou'zhong'xian 慈母手中线
'ci'qing'ke'dai'cheng'zhui'yi 此情可待成追忆
'ci'qu'sui'suo'ou 此去随所偶
'ci'qu'you'yi'wu'ren'chuan 此曲有意无人传
'ci'ri'deng'lin'shu'se'kai 此日登临曙色开
'ci'shi'bu'ji'yu'zhi'si 此事不系于职司
'ci'shi'wu'sheng'sheng'you'sheng 此时无声胜有声
'ci'wu'zui'xiang'si 此物最相思
'ci'yan'yi'mi'du'nan'xiao 辞严义密读难晓
'ci'zhong'you'shi'liang'xin'zhi 词中有誓两心知
'ci'zhou'du'jian'quan 此州独见全
'cong'chen'cai'yi'xian'di'yi 从臣才艺咸第一
'cong'ci'jun'wang'bu'zao'chao 从此君王不早朝
'cong'jin'si'hai'wei'jia'ri 从今四海为家日
'cong'jin'you'ji'nian 从今又几年
'cong'lai'you'bing'ke 从来幽并客
'cu'jin'kong'que'yin'qi'lin 蹙金孔雀银麒麟
'cu'sha'da'shi'xiang'mo'zhi 粗沙大石相磨治
'cuan'zhu'man'huang'xing'bu'si 窜逐蛮荒幸不死
'cui'hao 崔颢
'cui'hua'fu'tian'lai'xiang'dong 翠花拂天来向东
'cui'hua'xiang'xiang'kong'shan'li 翠华想像空山里
'cui'hua'yao'yao'xing'fu'zhi 翠华摇摇行复止
'cui'jiu'tang'qian'ji'du'wen 崔九堂前几度闻
'cui'qiao'jin'que'yu'sao'tou 翠翘金雀玉搔头
'cui'shu 崔曙
'cui'tu 崔涂
'cui'wei'zhi'gan'jiao'yuan'gu 崔嵬枝干郊原古
'cui'xin'gan 摧心肝
'cui'ying'hong'xia'ying'zhao'ri 翠影红霞映朝日
'da'dao'ru'qing'tian 大道如青天
'da'huang'shen'shen'fei'xue'bai 大荒沈沈飞雪白
'da'jiang'mang'mang'qu'bu'huang 大江茫茫去不黄
'da'jiang'su'qing'zhou 大江溯轻舟
'da'kai'ming'tang'shou'chao'he 大开明堂受朝贺
'da'li'er'nian'shi'yue'shi'jiu'ri'kui'fu'bie'jia'yuan'chi'zhai'jian'lin'ying'li'shi'er'niang'wu'jian'qi 大历二年十月十九日夔府别驾元持宅见临颍李十二娘舞剑器
'da'mo'qiong'qiu'sai'cao'shuai 大漠穷秋塞草衰
'da'mo'wu'bing'zu 大漠无兵阻
'da'qi'huang'ying'er 打起黄莺儿
'da'ren'zhi'gao'xing'tui'qi'pi'ye 达人之高行蜕其皮也
'da'sha'ru'qing'yao'liang'dong 大厦如倾要梁栋
'da'sha'shen'yan'yu'gai'fu 大厦深檐与盖覆
'da'xian'cao'cao'ru'ji'yu 大弦嘈嘈如急雨
'da'xue'man'gong'dao 大雪满弓刀
'da'zhu'xiao'zhu'luo'yu'pan 大珠小珠落玉盘
'dai'dao'chong'yang'ri 待到重阳日
'dai'se'can'tian'er'qian'chi 黛色参天二千尺
'dai'shu'lun 戴叔伦
'dai'yan'ji'guan'qu'fu'zhong 玳筵急管曲复终
'dai'zong'fu'ru'he 岱宗夫如何
'dan'dao'kun'ku'qi'wei'nu 但道困苦乞为奴
'dan'feng'cheng'nan'qiu'ye'chang 丹凤城南秋夜长
'dan'hen'wu'guo'wang'you'jun 但恨无过王右军
'dan'jian'bei'niao'hao'gu'mu 但见悲鸟号古木
'dan'jian'lei'hen'shi 但见泪痕湿
'dan'jian'qun'ou'ri'ri'lai 但见群鸥日日来
'dan'jian'xin'ren'xiao 但见新人笑
'dan'jiao'xin'si'jin'dian'jian 但教心似金钿坚
'dan'kan'gu'lai'sheng'ming'xia 但看古来盛名下
'dan'qing'bu'zhi'lao'jiang'zhi 丹青不知老将至
'dan'qing'yin'zeng'cao'ba'jiang'jun 丹青引赠曹霸将军
'dan'qiu'sheng 丹丘生
'dan'qu'mo'fu'wen 但去莫复闻
'dan'ran'kong'shui'dui'xie'hui 澹然空水对斜晖
'dan'ran'li'yan'shuo 澹然离言说
'dan'wen'ren'yu'xiang 但闻人语响
'dan'yuan'chang'zui'bu'yuan'xing 但愿长醉不愿醒
'dan'zao'chu'kai'huo 丹灶初开火
'dang'jun'huai'gui'ri 当君怀归日
'dang'liu'chi'zu'ta'jian'shi 当流赤足蹋涧石
'dang'lu'shui'xiang'jia 当路谁相假
'dang'ren'zi'gu'you'bu'rang 当仁自古有不让
'dang'shi'huan'sha'ban 当时浣纱伴
'dang'shi'zhi'ji'ru'shan'shen 当时只记入山深
'dang'xuan'xia'ma'ru'jin'yin 当轩下马入锦茵
'dang'yu'meng'shi'tong 当与梦时同
'dao'ci'chou'chu'bu'neng'qu 到此踌躇不能去
'dao'pang'guo'zhe'wen'xing'ren 道旁过者问行人
'dao'ren'ting'yu'jing 道人庭宇静
'dao'you'bai'yun'jin 道由白云尽
'de'wu'jin'wan'ju 得无金丸惧
'de'xiang'neng'kai'guo 得相能开国
'de'yi'xiang'xian 德以象贤
'deng'dao'pan'xu'kong 磴道盘虚空
'deng'gao 登高
'deng'gao'zhuang'guan'tian'di'jian 登高壮观天地间
'deng'guan'que'lou 登鹳雀楼
'deng'le'you'yuan 登乐游原
'deng'lin'chu'shi'jie 登临出世界
'deng'liu'zhou'cheng'lou'ji'zhang'ting'feng'lian'si'zhou'ci'shi 登柳州城楼寄漳汀封连四州刺史
'deng'lou 登楼
'deng'xia'bai'tou'ren 灯下白头人
'deng'you'wu'zi'xun'zhi'ming 邓攸无子寻知命
'deng'you'zhou'tai'ge 登幽州台歌
'deng'yue'yang'lou 登岳阳楼
'deng'zhou'wang'qiu'yue 登舟望秋月
'di'beng'shan'cui'zhuang'shi'si 地崩山摧壮士死
'di'de'sheng'xiang'xiang'yue'du 帝得圣相相曰度
'di'kong'you'duan'yun 低空有断云
'di'mei'xin'shou'xu'xu'dan 低眉信手续续弹
'di'tou'si'gu'xiang 低头思故乡
'di'tou'xiang'an'bi 低头向暗壁
'di'xia'dang'gou'qing'chao'ban 涤瑕荡垢清朝班
'di'xia'ruo'feng'chen'hou'zhu 地下若逢陈后主
'di'xiang'ming'ri'dao 帝乡明日到
'di'xiong'ji'lv'ge'xi'dong 弟兄羁旅各西东
'di'you'zou'shi'yi 地犹鄹氏邑
'di'yue'ru'du'gong'di'yi 帝曰汝度功第一
'di'zi'han'gan'zao'ru'shi 弟子韩干早入室
'di'zou'cong'jun'a'yi'si 弟走从军阿姨死
'dian'cuan'yao'dian'shun'dian'zi 点窜尧典舜典字
'dian'he'jin'chai'ji'jiang'qu 钿合金钗寄将去
'dian'tou'yin'bi'ji'jie'sui 钿头银篦击节碎
'diao'jiao'duan'qing'qiu 调角断清秋
'diao'ying'fen'wei'qian'li'yan 吊影分为千里雁
'dong'chuan'xi'fang'qiao'wu'yan 东船西舫悄无言
'dong'feng'wu'li'bai'hua'can 东风无力百花残
'dong'fu'zi 董夫子
'dong'ge 冬歌
'dong'he'dang'men'qian 洞壑当门前
'dong'jiao 东郊
'dong'lai'tuo'tuo'man'jiu'du 东来橐驼满旧都
'dong'lin'huai'wo'shi 东林怀我师
'dong'men'gao'ge'ai'yu'hui 洞门高阁霭馀辉
'dong'men'gu'jiu'yin'wo'cao 东门酤酒饮我曹
'dong'ru'can'yu'shang 动如参与商
'dong'tian'shi'shan 洞天石扇
'dong'ting'lian'tian'jiu'yi'gao 洞庭连天九嶷高
'dong'ting'qiu'shui'yuan'lian'tian 洞庭秋水远连天
'dong'wang'du'men'xin'ma'gui 东望都门信马归
'dong'zai'qing'xi'he'chu'bian 洞在清溪何处边
