'a'jiu 阿舅
'bei'ying'kui 贝应夔
'ben'lei 奔雷
'beng'liu 迸流
'bi'ao 鼻凹
'bi'bi'bo'bo 必必剥剥
'bi'bu'die 避不迭
'bi'du'tong 毕都统
'bi'feng 壁缝
'bi'guan'qiang 笔管枪
'bi'jie 毕捷
'bi'kou'wu'yan 闭口无言
'bi'se'xian'lu 闭塞贤路
'bi'sheng 毕胜
'bi'shu'gong 避暑宫
'bi'shui'yu 壁水貐
'bi'tou'dai'zhao 篦头待诏
'bi'wei 鄙猥
'bi'wei'xiao'li 鄙猥小吏
'bi'xian 毕先
'bi'yu'dai 碧玉带
'bi'yue'wu 毕月乌
'bian'bai 便拜
'bian'he 汴河
'bian'jun'bao 卞君保
'bian'liang 汴梁
'bian'qiang 鞭枪
'bian'shao'yi'zhi 鞭梢一指
'bian'shui 汴水
'bian'xiang 卞祥
'biao'tu 摽兔
'biao'wei'jiang 彪威将
'biao'zi 表子
'bing'ba 絣扒
'bing'da'chong 病大虫
'bing'dao 禀道
'bing'guan'suo 病关索
'bing'ma'dou'jian 兵马都监
'bing'ma'dou'tong'zhi 兵马都统制
'bing'ma'fang'yu 兵马防御
'bing'ma'ti'xia 兵马提辖
'bing'ma'zhi'hui'shi 兵马指挥使
'bing'yu'chi 病尉迟
'bo'cao'xun'she'shi 拨草寻蛇势
'bo'fa'guan 拨法官
'bo'feng'ban 膊风板
'bo'ge'xuan 鹁鸽旋
'bo'ji'zhang 簸箕掌
'bo'lang'cheng 博浪城
'bo'ren'deng 剥人凳
'bo'zhou 亳州
'bo'zi'quan 脖子拳
'bu'bai'chi'ni 不白吃你
'bu'bing'dou'tou 步兵都头
'bu'da'hua 不打话
'bu'di'fang 不提防
'bu'fang'shi 不妨事
'bu'fu'shui'tu 不伏水土
'bu'gong'shou 步弓手
'bu'jun 步军
'bu'jun'tai'wei 步军太尉
'bu'jun'xiao'wei 步军校尉
'bu'qing 卜青
'bu'sheng'de 不省得
'bu'shi'shua'chu 不是耍处
'bu'shu 部署
'bu'shui'san'jun 步水三军
'bu'si'tai'wei 步司太尉
'bu'yi'shi 不移时
'bu'ze'yi'ri 不则一日
'cai'de'zhang 蔡得章
'cai'fu 蔡福
'cai'fu'ren 蔡夫人
'cai'he 蔡河
'cai'jing 蔡京
'cai'jiu 蔡九
'cai'jiu'zhi'fu 蔡九知府
'cai'qing 蔡庆
'cai'shi'men 菜市门
'cai'tou 菜头
'cai'xing 蔡行
'cai'you 蔡攸
'cai'yuan'zi 菜园子
'cai'ze 蔡泽
'can'mou 参谋
'can'shui'yuan 参水猿
'can'zheng 参政
'can'zhi'zheng'shi 参知政事
'cang'ao 仓廒
'cang'dian 藏殿
'cang'zhou 沧州
'cao'an 草庵
'cao'can'ting 草参亭
'cao'chang 草场
'cao'dao'gui 操刀鬼
'cao'fang 草房
'cao'hong 曹洪
'cao'liao'chang 草料场
'cao'ming'ji 曹明济
'cao'tai'gong 曹太公
'cao'tang 草堂
'cao'ting 草厅
'cao'zei 草贼
'cao'zheng 曹正
'cao'zhou 曹州
'ceng'kui 曾魁
'ceng'mi 曾密
'ceng'nong 曾弄
'ceng'sheng 曾升
'ceng'suo 曾索
'ceng'tou'shi 曾头市
'ceng'tu 曾涂
'ceng'zhang'guan 曾长官
'ceng'zhang'zhe 曾长者
'cha'bo 差拨
'cha'bo'shi 茶博士
'cha'chi'hu 插翅虎
'chai'da'guan'ren 柴大官人
'chai'guan 差官
'chai'huang'cheng 柴皇城
'chai'jin 柴进
'chai'ren 差人
'chai'shi'zong 柴世宗
'chan'dai 缠袋
'chan'he'zi 禅和子
'chan'lin 禅林
'chan'ning 谄佞
'chan'ning 谗佞
'chan'zhang 禅杖
'chang'an'ba 长安坝
'chang'chao'dian 长朝殿
'chang'he'men 阊阖门
'chang'jia'shou'chou 长枷手杻
'chang'li 常例
'chang'ping 昌平
'chang'qiang'shou 长枪手
'chang're 唱喏
'chang'she'zhen 长蛇阵
'chang'she'zhi'zhen 长蛇之阵
'chang'sheng 昌盛
'chang'tuo'zhi'ji 长托之剂
'chang'wang'san 长王三
'chang'xiu'fan 长休饭
'chang'zhou 常州
'chao'bao'zheng 晁保正
'chao'feng 朝奉
'chao'gai 晁盖
'chao'jia'zhuang 晁家庄
'chao'jin 朝觐
'chao'shi 抄事
'chao'shi'fang 抄事房
'chao'tian'qiang 朝天枪
'chao'tian'wang 晁天王
'chao'tian'zi 朝天子
'chao'xin 潮信
'chao'zhong 晁中
'che'chu 掣出
'che'qi'jiang'jun 车骑将军
'che'xiang'pao 车箱炮
'chen'an'fu 陈安抚
'chen'bin 陈贇
'chen'da 陈达
'chen'fu'yin 陈府尹
'chen'guai 嗔怪
'chen'guan 陈瓘
'chen'guan 陈观
'chen'jiang'shi 陈将士
'chen'kai 陈凯
'chen'liu'xian 陈留县
'chen'pai 辰牌
'chen'qiao'men 陈桥门
'chen'qiao'rang'wei 陈桥让位
'chen'qiao'yi 陈桥驿
'chen'san'lang 陈三郎
'chen'tai 陈泰
'chen'wen'zhao 陈文昭
'chen'xi 陈豨
'chen'xuan 陈宣
'chen'yi 陈益
'chen'zhou 陈州
'chen'zhu 陈翥
'chen'zong'shan 陈宗善
'cheng'gui 成贵
'cheng'he 乘鹤
'cheng'huang'miao 城隍庙
'cheng'ju 承局
'cheng'kong'you'shi 诚恐有失
'cheng'sheng'zu 程胜祖
'cheng'tai'shou 程太守
'cheng'wan'li 程万里
'cheng'xiang'tai'shi 丞相太师
'cheng'xie'bu'yi 称谢不已
'cheng'xuan'shi 承宣使
'cheng'zan'bu'yi 称赞不已
'cheng'zhu'na'hai 成珠那海
'chi'bi'bu'guo 吃逼不过
'chi'fa'gui 赤发鬼
'chi'fang 池方
'chi'na'le 吃拿了
'chi'song'lin 赤松林
'chi'ta 吃他
'chi'tu'ma 赤兔马
'chi'xu'long 赤须龙
'chong'bo'long 冲波龙
'chong'de 崇德
'chong'pao'shou 铳炮手
'chong'yang'jie 重阳节
'chong'zhen 冲阵
'chong'zhen'pai'shou 冲阵牌手
'chou'jun'ma 丑郡马
'chou'pai 丑牌
'chou'shen 仇申
'chou'xiang'yu 臭鲞鱼
'chu'bai 出白
'chu'bai'li'hua'qiang 出白梨花枪
'chu'ban 出班
'chu'bang 出榜
'chu'bo 出钹
'chu'dao 厨刀
'chu'dong'jiao 出洞蛟
'chu'heng 褚亨
'chu'jian 褚坚
'chu'lin'long 出林龙
'chu'men'dao 出门倒
'chu'ming'yu 楚明玉
'chu'wang 楚王
'chu'zhou 楚州
'chuan'huo'er 船火儿
'chuan'qi 船骑
'chui'bing 炊饼
'chun'ruo'tu'zhu 唇若涂朱
'chuo'qiang 绰枪
'ci'na'zhan'pao 刺纳战袍
'ci'pei 刺配
'ci'yu 赐与
'ci'yu'jiu 赐御酒
'cong'can'mou 从参谋
'cong'guan 葱管
'cu'lu 粗卤
'cuan'san 攒三
'cuan'xia 撺下
'cuan'xian'da'chun 攒线搭膞
'cui'dao'cheng 崔道成
'cui'fu'jun 崔府君
'cui'jing 崔靖
'cui'ming'pan'guan 催命判官
'cui'ping'shan 翠屏山
'cui'shi 崔氏
'cui'ye 崔野
'cui'yu 崔彧
'cui'yun'lou 翠云楼
'cun'lao 村醪
'cun'lao'shui'bai'jiu 村醪水白酒
'cuo'niao 撮鸟
'da'ao 打熬
'da'bai'zhao'chuan 大白棹船
'da'chong 大虫
'da'chong'wo 大虫窝
'da'chui'da'lei 大吹大擂
'da'dao 大刀
'da'fu 大斧
'da'gan'dao 大杆刀
'da'gong'tai'bao 打供太保
'da'gu 大谷
'da'gu'xian 大谷县
'da'guan'ren 大官人
'da'hu'jiang 打虎将
'da'hui 大惠
'da'hui'chan'shi 大惠禅师
'da'jiang'xia'lai 打将下来
'da'lang 大郎
'da'li'bei 答里孛
'da'li'si 大理寺
'da'liao 大辽
'da'liao'lang'zhu 大辽郎主
'da'ma 达马
'da'mai'chang 打麦场
'da'ming'fu 大名府
'da'nuo 大喏
'da'pi'shan 大伾山
'da'shang'jian 搭上箭
'da'tou'jin 大头巾
'da'xiang'guo'si 大相国寺
'da'yang 大样
'da'yuan 大圆
'da'yuan'he'shang 大圆和尚
'da'zhai 大寨
'da'zhou 达州
'da'zhuo 打捉
'da'zuo'tou 大座头
'dai'ci'ye'zhu 带刺野猪
'dai'ling'bo'ge 带铃鹁鸽
'dai'lou'yuan 待漏院
'dai'mei 戴美
'dai'yuan'zhang 戴院长
'dai'zhao 待诏
'dai'zhou 代州
'dai'zong 戴宗
'dan'shu'tie'quan 丹书铁券
'dan'shuo'bu'fang 但说不妨
'dan'ting'gui 单廷珪
'dan'tu 丹徒
'dan'zhao 丹诏
'dan'zhi'zou'le 单只走了
'dan'zhou 单州
'dang'an 当案
'dang'bu'zhu 当不住
'dang'cha 欓叉
'dang'dang'qian'kun 荡荡乾坤
'dang'shi'long 党世隆
'dang'shi'xiong 党世雄
'dang'shi'ying 党世英
'dao'di'bian'bai 倒地便拜
'dao'guan 道冠
'dao'jun 道君
'dao'jun'huang'di 道君皇帝
'dao'pai'shou 刀牌手
'dao'zhuang'xia'lai 倒撞下来
'dao'zi 捣子
'de'jin 得紧
'de'qing 德清
'de'qing'xian 德清县
'de'zou'xing 地走星
'deng'fei 邓飞
'deng'jiang 灯匠
'deng'li'cang'shen 镫里藏身
'deng'long 邓龙
'deng'tong 邓通
'deng'yuan'jue 邓元觉
'deng'yun'shan 登云山
'deng'zhou 登州
'deng'zhou 邓州
'deng'zhou'shan 登州山
'deng'zhu'ying'huang 灯烛荧煌
'di'an'xing 地暗星
'di'bao'xing 地暴星
'di'bu'guo 敌不过
'di'bu'zhu 敌不住
'di'cha'xing 地察星
'di'chang'xing 地猖星
'di'cheng 狄成
'di'chou'xing 地丑星
'di'di'bu'zhu 抵敌不住
'di'duan'xing 地短星
'di'e'xing 地恶星
'di'fei'xing 地飞星
'di'fu'xing 地伏星
'di'gou'xing 地狗星
'di'gu'xing 地孤星
'di'hao'xing 地耗星
'di'he'xing 地阖星
'di'hui'xing 地会星
'di'hui'xing 地慧星
'di'ji'xing 地稽星
'di'jian'xing 地健星
'di'jiao'xing 地角星
'di'jie'xing 地捷星
'di'jie'xing 地杰星
'di'jin'xing 地进星
'di'jun'xing 地俊星
'di'kong'xing 地空星
'di'kuang'xing 地狂星
'di'kui'xing 地魁星
'di'kuo'xing 地阔星
'di'le'xing 地乐星
'di'lei 地雷
'di'li'xing 地理星
'di'lie'xing 地劣星
'di'ling'xing 地灵星
'di'man'xing 地满星
'di'meng'xing 地猛星
'di'mi 籴米
'di'ming'xing 地明星
'di'mo'xing 地魔星
'di'nu'xing 地奴星
'di'pi'xing 地僻星
'di'ping'xing 地平星
'di'qi'xing 地奇星
'di'qiang'xing 地强星
'di'qiao'xing 地巧星
'di'qiu'xing 地囚星
'di'quan'xing 地全星
'di'ran'xing 地然星
'di'sha 地煞
'di'sha'xing 地煞星
'di'sheng 狄圣
'di'shou'xing 地兽星
'di'shu'xing 地数星
'di'su'xing 地速星
'di'sui'xing 地遂星
'di'sun'xing 地损星
'di'ta'bu'guo 敌他不过
'di'tai'gong 狄太公
'di'tu'hao 氐土貉
'di'tui'xing 地退星
'di'wei'xing 地威星
'di'wei'xing 地微星
'di'wen'xing 地文星
'di'xiang 地厢
'di'xing'xing 地刑星
'di'xiong'xing 地雄星
'di'yao'xing 地妖星
'di'yi'xing 地异星
'di'yin'xing 地阴星
'di'yin'xing 地隐星
'di'ying'xing 地英星
'di'yong'xing 地勇星
'di'you'xing 地佑星
'di'you'xing 地幽星
'di'yu 地狱
'di'yu 递与
'di'zang'pu'sa 地藏菩萨
'di'zang'si 地藏寺
'di'zang'xing 地藏星
'di'zei'xing 地贼星
'di'zhen'xing 地镇星
'di'zheng'xing 地正星
'di'zhou'xing 地周星
'di'zhou'xing 地轴星
'di'zhuang'xing 地壮星
'di'zuo'xing 地佐星
'dian'fan 攧翻
'dian'gang'qiang 点钢枪
'dian'qian'dou'tai'wei 殿前都太尉
'dian'qian'huan 殿前欢
'dian'qian'jin'wu'shang'jiang'jun 殿前金吾上将军
'dian'qian'tai'wei 殿前太尉
'dian'shuai 殿帅
'dian'shuai'fu'tai'wei 殿帅府太尉
'dian'shuai'tong'zhi'guan 殿帅统制官
'dian'si'tai'wei 殿司太尉
'dian'tou'guan 殿头官
'dian'xia 攧下
'dian'xia'ma 攧下马
'dian'zhu 殿主
'diao'dun'xue 吊墩靴
'diao'jing'bai'e'da'chong 吊睛白额大虫
'diao'jing'bai'e'hu 吊睛白额虎
'diao'ke'shen 吊客神
'diao'ling'jian 雕翎箭
'die'wen 牒文
'ding'de'sun 丁得孙
'ding'gu'shu'zhu 顶骨数珠
'ding'lao 顶老
'ding'pu'cun 定浦村
'ding'xiang'qiao 定香桥
'ding'zi'jiao 丁字脚
'dong'chang 东昌
'dong'chang'fu 东昌府
'dong'chao 董超
'dong'cheng 董澄
'dong'chuan 东川
'dong'dian'dong 董店东
'dong'guan 东管
'dong'guo'men 东郭门
'dong'hai 董海
'dong'hua'men 东华门
'dong'jiang'shi 董将士
'dong'jing 东京
'dong'ping 东平
'dong'ping 董平
'dong'ping'fu 东平府
'dong'po'gu'ji 东坡古迹
'dong'ting'shu'mi'shi 东厅枢密使
'dong'xi'cun 东溪村
'dong'xian'shi'lang 洞仙侍郎
'dong'xian'wen'rong 洞仙文荣
'dong'xuan'zhen'ren 洞玄真人
'dong'yi'zhuang 董一撞
'dong'yu'hou 董虞候
'dong'yuan'xian'jun 东源县君
'dou'bu'guo 斗不过
'dou'cheng'xiang 都丞相
'dou'dao'jian'shen 斗到间深
'dou'guan 都管
'dou'jian 都监
'dou'jun'jiao'tou 都军教头
'dou'mu'xie 斗木獬
'dou'si 都寺
'dou'tong'ling 都统领
'dou'tong'zhi 都统制
'dou'tou 都头
'dou'zong'guan 都总管
'du'bao 肚包
'du'die 度牒
'du'du 都督
'du'fang 赌坊
'du'huo'xing 独火星
'du'jiao'long 独角龙
'du'jing'chen 杜敬臣
'du'li 肚里
'du'long'gang 独龙冈
'du'long'shan 独龙山
'du'qian 杜迁
'du'song'guan 独松关
'du'tong 都统
'du'tong'jun 都统军
'du'wei 杜微
'du'wei 都尉
'du'xing 杜兴
'du'xue 杜壆
'du'yan'gui'wang 毒焰鬼王
'du'zhu'guan 杜主管
'duan'chang 段常
'duan'di 端的
'duan'di'shi 端的是
'duan'er 段二
'duan'gong 端公
'duan'jia'zhuang 段家庄
'duan'jin'ting 断金亭
'duan'jing'zhu 段景住
'duan'kai 段恺
'duan'ming'er'lang 短命二郎
'duan'niang'niang 段娘娘
'duan'peng'ju 段鹏举
'duan'qi 断七
'duan'ren 段仁
'duan'san'niang 段三娘
'duan'tai'gong 段太公
'duan'tou'gou 断头沟
'duan'wang 端王
'duan'wu 段五
'duan'yan 端砚
'dui'fang 兑坊
'dui'ying'shan 对影山
'dun'ji 楯戟
'dun'jia'shen 遁甲神
'duo'er'ma'xie 多耳麻鞋
'duo'xia 剁下
'duo'yu'ni 多与你
'duo'yu'ni'xie 多与你些
'e'huang'ao'zi 鹅黄袄子
'e'luan'shi 鹅卵石
'e'mao 鹅毛
'e'xiang'lan'deng 鹅项懒凳
'e'xiang'yi 鹅项椅
'e'xing'ya'bu 鹅行鸭步
'en'xiang 恩相
'en'zhou 恩州
'er'chen'tang 二陈汤
'er'fang 耳房
'er'long'shan 二龙山
'er'shi'ba'xiu'qi 二十八宿旗
'er'tong 二童
'er'xian'shan 二仙山
'fa'hua'si 法华寺
'fa'qi'han'lai 发起喊来
'fa'sheng'han 发声喊
'fa'shi 法师
'fa'tang 法堂
'fan'chou 范畴
'fan'cun 范村
'fan'guan 番官
'fan'jiang 番将
'fan'jiang'shen 翻江蜃
'fan'li 范蠡
'fan'lou 樊楼
'fan'mei'ren 范美人
'fan'nei'pi 饭内屁
'fan'quan 范全
'fan'quan 范权
'fan'quan'fu'wo'zhi'ji 番犬伏窝之计
'fan'rui 樊瑞
'fan'shen'bian'bai 翻身便拜
'fan'tou 饭头
'fan'yang 范阳
'fan'you'pai 犯由牌
'fan'yu'ming 樊玉明
'fan'yuan'zhang 范院长
'fan'zhong'yan 范仲淹
'fang'dui 放对
'fang'guang'si 方广寺
'fang'han 方翰
'fang'he'deng 放河灯
'fang'hou 方垕
'fang'huo'wei'hao 放火为号
'fang'jie 方杰
'fang'la 方腊
'fang'mao 方貌
'fang'qiong 方琼
'fang'ri'tu 房日兔
'fang'shan 房山
'fang'shan 方山
'fang'sheng'chi 放生池
'fang'shi'san 方十三
'fang'shun 方顺
'fang'shuo'zhi'tao 方朔之桃
'fang'song'gong'ren 防送公人
'fang'tian'ding 方天定
'fang'tian'hua'ji 方天画戟
'fang'tian'ji 方天戟
'fang'xue'du 房学度
'fang'zhang 方丈
'fang'zhou 房州
'fei'bao 费保
'fei'bao'da'jiang'jun 飞豹大将军
'fei'hu'da'jiang'jun 飞虎大将军
'fei'hu'yu 飞虎峪
'fei'jiang 飞江
'fei'jing 飞鲸
'fei'long'da'jiang'jun 飞龙大将军
'fei'long'fei'hu'qi 飞龙飞虎旗
'fei'lou 飞楼
'fei'qiao 飞桥
'fei'shan'da'jiang'jun 飞山大将军
'fei'shi 飞石
'fei'shui'da'jiang'jun 飞水大将军
'fei'su 非俗
'fei'tian'da'jiang'jun 飞天大将军
'fei'tian'da'sheng 飞天大圣
'fei'tian'hu 飞天虎
'fei'tian'shen'bing 飞天神兵
'fei'tian'wu'gong 飞天蜈蚣
'fei'tian'ye'cha 飞天夜叉
'fei'xiong'da'jiang'jun 飞熊大将军
'fei'xiong'fei'bao'qi 飞熊飞豹旗
'fei'ying'hei'dao 绯缨黑纛
'fei'yu'dai 飞鱼袋
'fei'yu'gou 飞鱼钩
'fei'yun'da'jiang'jun 飞云大将军
'fei'yun'pu 飞云浦
'fei'zhen 费珍
'fei'zhua'chui 飞抓锤
'fen'bo'yi'ding 分拨已定
'fen'fen'gun'gun 纷纷滚滚
'fen'fen'yang'yang 纷纷扬扬
'fen'fu 分付
'fen'ji 分际
'fen'jiao 分教
'fen'ruo 焚爇
'fen'tou 粉头
'fen'xiang 焚香
'fen'yang 汾阳
'fen'yang'cheng 汾阳城
'feng'chi 凤翅
'feng'chi'jin'kui 凤翅金盔
'feng'du 酆都
'feng'er 蜂儿
'feng'huo'er'lun 风火二轮
'feng'huo'pao 风火炮
'feng'kou'zhen 奉口镇
'feng'mei 酆美
'feng'mo 风魔
'feng'nian'long'che 凤辇龙车
'feng'qiu'men 封丘门
'feng'sheng 冯升
'feng'tai 酆泰
'feng'wei'po 凤尾坡
'feng'xi 冯喜
'feng'xi 冯舾
'feng'xiang 凤翔
'feng'xiang'fu 凤翔府
'feng'yi 冯翊
'feng'yi 凤仪
'fo'ya 佛牙
'fu'an 富安
'fu'du'du 副都督
'fu'guo'tong'jun'du'du 辅国统军都督
'fu'jian 苻坚
'fu'jiao'shi 副教师
'fu'lao'qie'you 扶老挈幼
'fu'lao'xie'you 扶老携幼
'fu'mo'zhi'dian 伏魔之殿
'fu'pai'jun 副牌军
'fu'qiao 浮桥
'fu'qie 斧怯
'fu'rong'bi'yu'guan 芙蓉碧玉冠
'fu'tie'zhi'er 敷贴之饵
'fu'tong'jun 副统军
'fu'tou 幞头
'fu'wei'liang'min 复为良民
'fu'xian'feng 副先锋
'fu'xiang 傅祥
'fu'yang'xian 富阳县
'fu'yin 府尹
'fu'yu 付与
'fu'zong'bing 副总兵
'gai'tian'jun 盖天军
'gai'xin 垓心
'gai'zhou 盖州
'gan'ban 干办
'gan'gao'jian 干藁荐
'gan'hong'ao'mian'jin 干红凹面巾
'gan'huang'en 感皇恩
'gan'jiang'lai 赶将来
'gan'lu'ting 甘露亭
'gan'ni'shen'shi 干你甚事
'gang'bian 钢鞭
'gang'cha 钢叉
'gang'wo 钢挝
'gao'biao 高彪
'gao'dian'shuai 高殿帅
'gao'er 高二
'gao'ke'li 高可立
'gao'lian 高廉
'gao'ming 诰命
'gao'ping 高平
'gao'ping'xian 高平县
'gao'qiu 高俅
'gao'qiu 高毬
'gao'san'lang 高三郎
'gao'shi'lang 高侍郎
'gao'tai'wei 高太尉
'gao'tang 高唐
'gao'tang'zhou 高唐州
'gao'ting'shan 皋亭山
'gao'ya'nei 高衙内
'gao'yu 高玉
'gao'zong 高宗
'ge'bu 葛布
'ge'cha 肐察
'ge'cha 胳察
'ge'mao'er'wei 割猫儿尾
'ge'se 肐穑
'ge'shi 个是
'ge'xia 割下
'gen'shan'men 艮山门
'gen'yue 艮岳
'geng'bu'da'hua 更不打话
'geng'can'mou 耿参谋
'geng'gong 耿恭
'geng'gu 更鼓
'geng'wen 耿文
'gong'chou'jiao'cuo 觥筹交错
'gong'ci 功次
'gong'duan 龚端
'gong'ji'bu 功绩簿
'gong'jia'cun 龚家村
'gong'ren 公人
'gong'ren 恭人
'gong'shen 躬身
'gong'shou 弓手
'gong'sun'sheng 公孙胜
'gong'sun'sheng'da'lang 公孙胜大郎
'gong'sun'xian'sheng 公孙先生
'gong'sun'yi'qing 公孙一清
'gong'wang 龚旺
'gong'wen 弓温
'gong'xie 公廨
'gong'zheng 龚正
'gong'zhou 巩州
'gou'lan 勾栏
'gou'lian'dao 钩镰刀
'gou'lian'qiang 钩镰枪
'gou'lian'qiang'fa 钩镰枪法
'gou'ren 钩刃
'gou'zheng 苟正
'gu'cen 顾岑
'gu'da'sao 顾大嫂
'gu'duo'er 餶飿儿
'gu'hun'zhi 孤魂纸
'gu'kai 顾恺
'gu'shan'lu 孤山路
'gu'shang'zao 鼓上蚤
'gu'tang 古塘
'gu'yong'xing 顾永兴
'gua'da 挂搭
'gua'zhou 瓜洲
'guai'zi'ma 拐子马
'guan'cha 观察
'guan'chuan 官船
'guan'dai 管待
'guan'fang'wen'shu 关防文书
'guan'gao 官诰
'guan'guo 棺椁
'guan'jun'ti'xia'shi 管军提辖使
'guan'ren 官人
'guan'sheng 关胜
'guan'xi 关西
'guan'xi'wu'lu 关西五路
'guan'yan 管琰
'guan'yi 馆驿
'guan'yin'an 观音庵
'guan'ying 管营
'guan'zhu 观主
'guang'lu'si 光禄寺
'guang'ming'si 光明寺
'gui'bei'da'jie 龟背大街
'gui'fang 鬼方
'gui'fei 贵妃
'gui'jin'yang 鬼金羊
'gui'lian'er 鬼脸儿
'gui'xi'xian 贵溪县
'gun'dao 滚刀
'gun'dao 衮刀
'gun'long'pao 滚龙袍
'gun'long'pao 衮龙袍
'gun'pai'jun 滚牌军
'guo'gan 郭矸
'guo'jie'lao'shu 过街老鼠
'guo'jin'sheng'tie'jia 裹金生铁甲
'guo'lao'tai'shi 国老太师
'guo'mai 过卖
'guo'sheng 郭盛
'guo'shi 国师
'guo'shi'guang 郭世广
'guo'xin 郭信
'guo'yong'chang 郭永昌
'guo'yong'tai 国永泰
'hai'bu'wen'shu 海捕文书
'hai'dao'cun 还道村
'hai'gong 海公
'hai'he'shang 海和尚
'hai'ning 海宁
'hai'pai 亥牌
'hai'qiu'chuan 海鳅船
'hai'she'li 海阇黎
'hai'shou'pi 海兽皮
'hai'shou'pi'jia 海兽皮甲
'hai'yan'xian 海盐县
'han'bo'long 韩伯龙
'han'cun'bao 韩存保
'han'di'hu'lv 旱地忽律
'han'fan 韩蘩
'han'jiang 汉江
'han'lin'xue'shi 翰林学士
'han'lin'yuan 翰林院
'han'ming 韩明
'han'shan'si 寒山寺
'han'tao 韩滔
'han'tian'lin 韩天麟
'han'xin 韩信
'han'yang 汉阳
'han'yang'jiang 汉阳江
'han'zhong'yan 韩忠彦
'hang'huo 行货
'hang'zhou 杭州
'hao'biao'ren'wu 好表人物
'hao'guo'yin'jia'mu 耗国因家木
'hao'han 好汉
'hao'jiao 好教
'hao'kan'qian 好看钱
'hao'nao 薅恼
'hao'sheng 好生
'hao'sheng'liao'de 好生了得
'hao'si'wen 郝思文
'hao'zhou 濠州
'he'bei 河北
'he'bei'san'jue 河北三绝
'he'bing'yi'chu 合兵一处
'he'cai 何才
