'a'bu'feng 阿部丰
'chi'ma'de'zhu'ren 赤马的主人
'chi'ma'zhi'ying 赤马之影
'chi'ren'de'fang'wu 吃人的房屋
'chi'tang'bian'de'qi'guai'shi'jian 池塘边的奇怪事件
'chi'tian'xiu'yi 池田秀一
'chi'you'yi'huo'de'xiao'lan 持有疑惑的小兰
'chong'man'sha'yi'de'ka'fei'xiang 充满杀意的咖啡香
'chong'shi'mao 冲矢昴
'chong'tian'yi 冲田一
'chong'ye'yang'zi 冲野洋子
'chong'zhuang'wang'zi 冲撞王子
'chu'dong'de'qin'xian 触动的琴弦
'chu'dong'qin'xian 触动琴弦
'chu'lian'qing'ren 初恋情人
'chu'lian'qing'ren'hui'yi'shi'jian 初恋情人回忆事件
'chu'lian'zai'hui'bie'li 初恋再会别离
'chuan'ji'pao 穿击炮
'chui'zi'de'yuan'xing 锤子的原形
'chun'tian'dao'le 春天到了
'cong'ta'dao'ta 从他到她
'cong'tian'guo'dao'di'yu 从天国到地狱
'cong'tian'kong'dao'di'mian 从天空到地面
'cong'you'xiang'zuo'zhao'cai'mao 从右向左招财猫
'cong'zi'sha'dao'ta'sha 从自杀到他杀
'cuo'wu'de'dian'hua 错误的电话
'da'ban'shi'jian 大阪事件
'da'bu'kai'de'chuang 打不开的窗
'da'cheng'gong 大成功
'da'du'hui'an'hao'de'tu'cang'bao'shi'jian 大都会暗号地图藏宝事件
'da'er'bei'ji'ta 达尔贝吉塔
'da'er'xing'xing 达尔行星
'da'gu'yu'jiang 大谷育江
'da'guai'shou'ge'si'la'sha'ren'shi'jian 大怪兽哥斯拉杀人事件
'da'jie'wang 大界王
'da'jie'wang'shen 大界王神
'da'long'jing'guan 大泷警官
'da'xue'jiao'shou'sha'ren'shi'jian 大学教授杀人事件
'da'ying'he'yang 大鹰和洋
'da'yuan'hou 大猿猴
'da'zuo'zhan 大作战
'dang'hong'ge'xing'bang'jia'shi'jian 当红歌星绑架事件
'dao'ben'xu'mei 岛本须美
'dao'ji'shu 倒计数
'dao'shu'ji'shi 倒数计时
'de'ding'dian 的顶点
'de'xiu'la'bie'shu'sha'ren'shi'jian 德休拉别墅杀人事件
'de'yi'si 的意思
'deng'wo'yi'xia'ba 等我一下吧
'di'dan'gao'zhong 帝丹高中
'di'dan'gao'zhong'de'xue'xiao'guai'tan 帝丹高中的学校怪谈
'di'dan'gao'zhong'de'xue'xiao'guai'tan'qian'pian 帝丹高中的学校怪谈前篇
'di'dan'xiao'xue 帝丹小学
'di'dan'xiao'xue'qi'da'li'qi'shi'jian 帝丹小学七大离奇事件
'di'ge'cheng'ke 第个乘客
'di'ge'de'yan'cong 第个的烟囱
'di'gen'xian 第根线
'di'jiu'ge'men'da'sou'cha 第九个门大搜查
'di'ju'shi'ti 第具尸体
'di'nian'de'chong'ji 第年的冲击
'di'san'ge'xuan'ze 第三个选择
'di'san'ge'zhi'wen'sha'ren'shi'jian 第三个指纹杀人事件
'di'shang'dian'che'jin'ji'sha'che'shi'jian 地上电车紧急煞车事件
'di'shi'ge'cheng'ke 第十个乘客
'di'shi'si'ge'mu'biao 第十四个目标
'di'yi'ci'gou'wu'sha'ren'shi'jian 第一次购物杀人事件
'di'yuan 荻原
'dian'dao'de'chang'jing 颠倒的场景
'dian'hua'de'zhen'xiang 电话的真相
'dian'shi'tai'de'e'mo 电视台的恶魔
'dian'shi'tai'sha'ren'shi'jian 电视台杀人事件
'dian'shi'tai'wai'jing'dui'sha'ren'shi'jian 电视台外景队杀人事件
'dian'ti'sha'ren'shi'jian 电梯杀人事件
'dian'wan'gong'si'sha'ren'shi'jian 电玩公司杀人事件
'dian'wu'de'jia'mian'ying'xiong 玷污的假面英雄
'diao'er'shang'you'du 钓饵上有毒
'diao'yu'da'hui'de'bei'ju 钓鱼大会的悲剧
'ding'hun'jie'zhi 订婚戒指
'ding'yu'she 钉与蛇
'dong'jie'wang 东界王
'dong'jing'xian'ying'suo'de'mi'mi 东京现影所的秘密
'dong'ku'nei'de'zhen'tan'tuan 洞窟内的侦探团
'dong'shi'zhang'qian'jin'you'guai'shi'jian 董事长千金诱拐事件
'du'shi'de'wu'ya 都市的乌鸦
'du'song'zi'jiu 杜松子酒
'du'wu'de'xia'luo 毒物的下落
'duan'shi'jian'de'xiu'xi 短时间的休息
'duo'duo'li'ya 多多利亚
'e'luo'si'lan'mao'de'mi'mi 俄罗斯蓝猫的秘密
'e'mo'de'hu'huan 恶魔的呼唤
'e'mo'de'shou'duan 恶魔的手段
'e'mo'lai'lin 恶魔来临
'e'mo'zhi'jian 恶魔之箭
'e'mo'zhi'lei 恶魔之雷
'e'mo'zhi'lei 恶魔之泪
'e'yi'yu'sheng'zhe'de'xing'jin 恶意与胜者的行进
'e'yi'zhong'de'xing'jin 恶意中的行进
'e'yun'da'jiang 厄运大奖
'e'yun'da'jiang 恶运大奖
'er'dao'mi 二道迷
'er'huan'xing'shou'ji 耳环型手机
'er'jie'tang 二阶堂
'fa'bu'chu'sheng 发不出声
'fa'bu'chu'sheng'yin 发不出声音
'fa'ting'de'dui'jue'mu'ji'zhe'shi'jian'cha'guan 法庭的对决目击者是检察官
'fa'ting'shang'de'dui'jue 法庭上的对决
'fan'chuan'zhi'mi 帆船之迷
'fan'ji'de'tou'xu 反击的头绪
'fan'ji'tou'xu 反击头绪
'fan'ren'zhui'zong'yan'jing 犯人追踪眼镜
'fan'zui'de'yi'wu 犯罪的遗物
'fang'jiang 房江
'fei'chang'qi'guai'de'tian'qian 非常奇怪的天谴
'fei'chang'qi'guai'de'tian'qian'dong'hua'yuan'chuang 非常奇怪的天谴动画原创
'fei'ji'kong'zhong'mi'shi 飞机空中密室
'fei'li'ying 妃理英
'fei'shang'tian'kong'de'shi'ke'xing'xing 飞上天空的十颗行星
'fei'ying'li 妃英理
'fei'ying'li'lv'shi'zhi'lian 妃英理律师之恋
'fen'nu'zhi'huo 愤怒之火
'feng'de'e'zuo'ju 风的恶作剧
'feng'li'ya 峰莉亚
'feng'lin'huo'shan 风林火山
'feng'suo'he'mi'mi 封锁和秘密
'feng'yin 封印
'fo'mie'qian'chu'xian'de'e'ling 佛灭前出现的恶灵
'fu'bu'jing'hua 服部静华
'fu'bu'ping'cang 服部平藏
'fu'bu'ping'ci 服部平次
'fu'bu'ping'ci'dui'gong'teng'xin'yi'hua'xue'chang'de'tui'li'dui'jue 服部平次对工藤新一滑雪场的推理对决
'fu'bu'ping'ci'yi'chou'mo'zhan 服部平次一筹莫展
'fu'bu'ping'zang 服部平蔵
'fu'er'mo'si'gui'yi'de'sha'ren'shi'jian 福尔摩斯诡异的杀人事件
'fu'hao'jia'zu'lian'xu'can'si'shi'jian 富豪家族连续惨死事件
'fu'huo'de'si'wang'xun'xi 复活的死亡讯息
'fu'li'sha 弗利沙
'fu'mian'mo'sha'ren'shi'jian 敷面膜杀人事件
'fu'sha'hui 芙莎绘
'fu'shang'zhi'xia'de'ming'zhen'tan 负伤之下的名侦探
'fu'su'de'e'ling 复苏的恶灵
'fu'su'de'qiang'dan 复苏的枪弹
'fu'su'de'you'ling 复苏的幽灵
'fu'te'jia 伏特加
'gai'luo'bo'shi 盖洛博士
'gan'bi'guan 绀碧棺
'gan'bi'zhi'guan 绀碧之馆
'gan'bi'zhi'guan 绀碧之棺
'gang'hao'yi'dui 刚好一对
'gang'qin'de'zu'zhou 钢琴的诅咒
'gang'qin'zou'ming'qu'yue'guang'sha'ren'shi'jian 钢琴奏鸣曲月光杀人事件
'gang'xie 钢楔
'gao'dao'ya'luo 高岛雅罗
'gao'er'fu'lian'xi'chang'sha'ren'shi'jian 高尔夫练习场杀人事件
'gao'mu'she 高木涉
'gao'shan'nan 高山南
'ge'dou'you'xi'de'xian'jing 格斗游戏的陷阱
'ge'ting'sha'ren'shi'jian 歌厅杀人事件
'ge'xian'yi'fan 个嫌疑犯
'gei'lan'de'qing'shu 给兰的情书
'gen'an'zheng'shu 根岸正树
'gen'zong'mu'biao 跟踪目标
'gen'zong'ran'hou 跟踪然后
'gong'ben'you'mei 宫本由美
'gong'cun'you'zi 宫村优子
'gong'shi'xing'shi'jian 共时性事件
'gong'teng'xin'yi 工藤新一
'gong'teng'xin'yi'niu'yue'shi'jian 工藤新一纽约事件
'gong'teng'xin'yi'niu'yue'shi'jian'jie'jue'pian 工藤新一纽约事件解决篇
'gong'teng'you'xi'zi 工藤有希子
'gong'teng'you'zuo 工藤优作
'gong'ye'ai'lin'na 宫野爱琳娜
'gong'ye'ai'rui'na 宫野艾瑞娜
'gong'ye'hou'si 宫野厚司
'gong'ye'ming'mei 宫野明美
'gong'ye'zhi'bao 宫野志保
'gong'yu'zhui'luo'shi'jian 公寓坠落事件
'gong'zhu'yu'long'gong'cheng 公主与龙宫城
'gu'chuan'deng'zhi'fu 谷川登志夫
'gu'dao'de'gong'zhu'yu'long'gong'cheng 孤岛的公主与龙宫城
'gu'dong'pin'shou'cang'jia'sha'ren'shi'jian 古董品收藏家杀人事件
'gu'er'duo 古尔多
'gu'zhuang'yan'yuan'sha'ren'shi'jian 古装演员杀人事件
'guai'dao'ji'de 怪盗基德
'guai'dao'ji'de'de'jing'yi'de'kong'zhong'bu'xing 怪盗基德的惊异的空中步行
'guai'dao'ji'de'de'jing'yi'kong'zhong'bu'xing 怪盗基德的惊异空中步行
'guai'dao'shi'tan'pu 怪盗史坦普
'guai'ren'xun'gui'dao'ju'de'nan'ren 怪人循规蹈矩的男人
'guai'wu'da'mao'xian 怪屋大冒险
'guai'yi'de'shi'zhong 怪异的时钟
'guan'ce'xing 观测星
'guang'tian'ya'mei 广田雅美
'gui'ji'he'mo'shu 诡计和魔术
'gui'mi'de'cheng'ke 诡密的乘客
'gui'po'po'de'dao 鬼婆婆的刀
'gui'shan'xiu'zhi 桧山修之
'gui'wan 鬼丸
'gui'wu'sha'ren'shi'jian 鬼屋杀人事件
'gui'yi'de'wu'zhong'ta'chuan'shuo 诡异的五重塔传说
'gui'zi'de'mi'mi 柜子的秘密
'gun'luo'de'gui'ji 滚落的轨迹
'hai'bin'de'sha'yi 海滨的杀意
'hai'shang'mi'shi 海上密室
'hai'you'ban'nian 还有半年
'hao'hua'ke'lun'lian'xu'sha'ren'shi'jian 豪华客轮连续杀人事件
'hao'si'deng'bao'de'xin'niang 豪斯登堡的新娘
'hao'yun'nan'zi'de'li'xian 好运男子的历险
'hao'zhuan'de'gen'zong 好赚的跟踪
'he'xian'ren 鹤仙人
'he'ye 和叶
'hei'an'de'zu'ji 黑暗的足迹
'hei'an'shi'si'wang'xian'jing'zhi'men 黑暗是死亡陷阱之门
'hei'an'zhi'zhong 黑暗之中
'hei'an'zhi'zhong'de'si'jiao 黑暗之中的死角
'hei'an'zu'zhi'de'ying'zi'mi'yang'de'gao'e'bao'chou 黑暗组织的影子谜样的高额报酬
'hei'an'zu'zhi'de'ying'zi'nian'you'de'mu'ji'zhe 黑暗组织的影子年幼的目击者
'hei'an'zu'zhi'de'ying'zi'qi'miao'de'zhao'ming 黑暗组织的影子奇妙的照明
'hei'an'zu'zhi'de'ying'zi'zhen'zhu'de'liu'xing 黑暗组织的影子珍珠的流星
'hei'an'zu'zhi'qiang'jie'shi'jian 黑暗组织抢劫事件
'hei'an'zu'zhi'yi'qiang'jie'shi'jian 黑暗组织亿抢劫事件
'hei'bai'jun 黑白君
'hei'chuan'zhi'hua 黑川智花
'hei'mai'jiu 黑麦酒
'hei'se'de'tai'yang 黑色的太阳
'hei'se'de'zang'li 黑色的葬礼
'hei'se'guang'xian'zhi'mi 黑色光线之谜
'hei'se'xing'qi'wu 黑色星期五
'hei'se'zhao'pian'de'qu'xiang 黑色照片的去向
'hei'ye'de'guai'nan'jue'sha'ren'shi'jian 黑夜的怪男爵杀人事件
'hei'yi'nv'lang 黑衣女郎
'hei'yi'qi'shi 黑衣骑士
'hei'yi'zu'zhi 黑衣组织
'hei'yu'dao'yi 黑羽盗一
'hei'yu'kuai'dou 黑羽快斗
'heng'gou'can'wu 横沟参悟
'heng'gou'zhong'wu 横沟重悟
'heng'wo'xi'lian 横卧洗脸
'hong'bai'huang'se 红白黄色
'hong'bai'huang'se'yu'zhen'tan'tuan 红白黄色与侦探团
'hong'gui'cun'huo'ji'sha'ren'shi'jian 红鬼村火祭杀人事件
'hong'pai 红牌
'hong'se'de'sha'ji'ye'xiang'qu 红色的杀机夜想曲
'hong'se'de'zhi 红色的痔
'hong'se'de'zhi 红色的痣
'hong'se'xian'jing 红色陷阱
'hong'yu'hei'de'peng'zhuang'hun'shui 红与黑的碰撞昏睡
'hong'yu'hei'de'peng'zhuang'jiao'luan 红与黑的碰撞搅乱
'hong'yu'hei'de'peng'zhuang'jie'bai 红与黑的碰撞洁白
'hong'yu'hei'de'peng'zhuang'jue'jiao 红与黑的碰撞绝叫
'hong'yu'hei'de'peng'zhuang'jue'si 红与黑的碰撞决死
'hong'yu'hei'de'peng'zhuang'jue'xing 红与黑的碰撞觉醒
'hong'yu'hei'de'peng'zhuang'kai'duan 红与黑的碰撞开端
'hong'yu'hei'de'peng'zhuang'ming'tu 红与黑的碰撞冥土
'hong'yu'hei'de'peng'zhuang'qin'ru 红与黑的碰撞侵入
'hong'yu'hei'de'peng'zhuang'wei'zhuang 红与黑的碰撞伪装
'hong'yu'hei'de'peng'zhuang'xian'yi 红与黑的碰撞嫌疑
'hong'yu'hei'de'peng'zhuang'xue'yuan 红与黑的碰撞血缘
'hong'yu'hei'de'peng'zhuang'xun'zhi 红与黑的碰撞殉职
'hong'yu'hei'de'peng'zhuang'yi'yan 红与黑的碰撞遗言
'hu'jiao'jiu'hu'che'de'nan'zi 呼叫救护车的男子
'hua'de'sheng'ming 花的生命
'hua'xiang'sha'ren'shi'jian 花香杀人事件
'hua'xue'bie'shu'sha'ren'shi'jian 滑雪别墅杀人事件
'hua'zhi'ming 花之命
'huan'xiang'qu 幻想曲
'huang'se'bu'zai'chang'zheng'ming 黄色不在场证明
'huang'tang'de'zuo'zhan 荒唐的作战
'hui'fei'de'ren 会飞的人
'hui'yi'de'chang'suo 回忆的场所
'hui'yi'de'di'fang 回忆的地方
'hui'yi'de'wang'qiu'chang 回忆的网球场
'hui'yi'shi'jian 回忆事件
'hui'yuan'ai 灰原哀
'hun'he'de'gui'ji 混合的诡计
'hun'li'da'zhan 婚礼大战
'hun'shen'fa're 浑身发热
'huo'jian'de'mi'mi 火箭的秘密
'huo'yan'de'ji'ban 火焰的羁绊
'huo'yan'zhong'de'hong'ma 火焰中的红马
'huo'zai'de'zhen'xiang 火灾的真相
'ji'de 基德
'ji'de'yu'shui'jing'zhi'mu 基德与水晶之母
'ji'dian'zhi'ye 祭典之夜
'ji'mang'yan'shi'de'hu'lue 急忙掩饰的忽略
'ji'shi'fen'zhong 即时分钟
'ji'suan'ji'sha'ren'shi'jian 计算机杀人事件
'ji'tian'bu'mei 吉田步美
'ji'xian'fei'che 极限飞车
'ji'xian'sai'che'biao'yan 极限赛车表演
'ji'xing'qu 即兴曲
'ji'yi'zhong'de'chang'suo 记忆中的场所
'jia'mian'chao'ren'lu'yin'ka 假面超人录音卡
'jia'mian'chao'ren'sha'ren'shi'jian 假面超人杀人事件
'jia'qiu'mi 假球迷
'jia'you'yuan'zi 加油园子
'jia'zi'yuan'de'qi'ji'jue'bu'neng'shu'gei'kan'bu'jian'de'e'mo 甲子园的奇迹绝不能输给看不见的恶魔
'jian'bu'ke'cui'de'xue'ren 坚不可摧的雪人
'jian'qiang'zhen'tan 坚强侦探
'jian'shen'ju'le'bu'sha'ren'shi'jian 健身俱乐部杀人事件
'jiang'hu'chuan'ke'nan 江户川柯南
'jiang'hu'chuan'ke'nan'bei'bang'shi'jian 江户川柯南被绑事件
'jiang'xue'zhi'ye'de'kong'bu'chuan'shuo 降雪之夜的恐怖传说
'jiao'li'zeng'qiang'xie 脚力增强鞋
'jiao'yin'zai'na'li 脚印在哪里
'jie'hun'qian'xi'mi'shi'shi'jian 结婚前夕密室事件
'jie'kai'ge'shu'zi'zhi'mi 解开个数字之谜
'jie'kai'suo'ding 解开锁定
'jie'shui'sha'ren 借水杀人
'jin'dao'bi'luo'zuo'de'guai'ren 金刀比罗座的怪人
'jin'en 金恩
'jin'po'de'pai'dui 紧迫的派对
'jin'rong'gong'si'she'zhang'sha'ren'shi'jian 金融公司社长杀人事件
'jin'se'de'ping'guo 金色的苹果
'jing'cha'shou'ce'diu'shi'shi'jian 警察手册丢失事件
'jing'e 惊愕
'jing'guan'de'tui'li 警官的推理
'jing'ji'chang'wu'cha'bie'xie'po'shi'jian 竞技场无差别胁迫事件
'jing'ji'zhen 京极真
'jing'shang'he'yan 井上和彦
'jing'shen'shi'guang'wu 精神时光屋
'jing'zhong'de'zhen'shi 镜中的真实
'ju'du'zhi'zhu'de'xian'jing 巨毒蜘蛛的陷阱
'ju'shen'xiang'zhi'nu 巨神像之怒
'jue'chuan'liang 崛川亮
'ka'fei'ting'ka'che'tu'ran'zhuang'ru'shi'jian 咖啡厅卡车突然撞入事件
'ka'fei'ting'sha'ren'shi'jian 咖啡厅杀人事件
'ka'ka'luo'te 卡卡罗特
'ka'luo'te 卡罗特
'kai'fang'de'mi'shi 开放的密室
'kai'jia'wu'shi 铠甲武士
'kan'bu'jian'de'kong'bu 看不见的恐怖
'kan'bu'jian'de'xian'yi'fan 看不见的嫌疑犯
'kan'bu'jian'de'xiong'qi 看不见的凶器
'kan'bu'jian'de'xiong'qi'xiao'lan'de'chu'ci'tui'li 看不见的凶器小兰的初次推理
'kan'lou'de'dong'xi 看漏的东西
'ke'ai 柯哀
'ke'li'si 克里斯
'ke'lian'de'shao'nv 可怜的少女
'ke'nan 柯南
'ke'nan'he'guai'dao'ji'de 柯南和怪盗基德
'ke'nan'he'ping'ci'de'tui'li'mo'shu 柯南和平次的推理魔术
'ke'nan'ping'ci'yu'xiao'shi'de'shao'nian 柯南平次与消失的少年
'ke'nan'qi'guai'de'hai'zi 柯南奇怪的孩子
'ke'nan'shi'suan'le 柯南失算了
'ke'pa'de'bing'du 可怕的病毒
'ke'yi'de'qiu'mi 可疑的球迷
'ke'yi'de'yong'cu 可疑的拥蹙
'ke'yu'jian'de'ma'tou'can'ju 可遇见的码头惨剧
'kong'bu'de'deng'shan'sha'ren'shi'jian 恐怖的登山杀人事件
'kong'bu'de'gui'wu 恐怖的鬼屋
'kong'bu'de'nv'ren 恐怖的女人
'kong'bu'de'qiao'men'sheng 恐怖的敲门声
'kong'bu'jiang'lin 恐怖降临
'kong'jiang'de'shi'ti 空降的尸体
'kong'long'de'huan'ji 恐龙的还击
'kong'zhong'mi'shi 空中密室
'kou'zhao'xing'bian'sheng'qi 口罩型变声器
'ku'ai'jiu 苦艾酒
'ku'de'zhen'shi 苦的真实
'ku'tian'san'xiong'di'sha'ren'shi'jian 堀田三兄弟杀人事件
'ku'xiu'xing 堀秀行
'ku'zhi'ji 堀之纪
'kuai'tao'zou 快逃走
'kuang'xiang'qu 狂想曲
'kui'jia'qi'shi 盔甲骑士
'la'di'zi 拉帝兹
'la'zuo'de'chi'bang 蜡做的翅膀
'lai'zi'a'li'de'tiao'zhan 来自阿笠的挑战
'lai'zi'jia'zi'yuan'e'mo'de'tiao'zhan 来自甲子园恶魔的挑战
'lai'zi'xiao'chou'de'tu'pian'you'jian 来自小丑的图片邮件
'lai'zi'zhi'jia'ge'de'nan'zi 来自芝加哥的男子
'lan'de'tui'li 兰的推理
'lan'gan'sun'huai'de'liao'wang'tai 栏杆损坏的了望台
'lan'gan'sun'huai'de'liao'wang'tai 栏杆损坏的瞭望台
'lan'se'gu'bao'sou'suo'shi'jian 蓝色古堡搜索事件
'lan'xiao'jie 兰小姐
'lang'hua'jian'shi'yu'tai'ge'zhi'cheng 浪花剑士与太阁之城
'lang'hua'lian'xu'sha'ren'shi'jian 浪花连续杀人事件
'lang'ren'zhi'ying 狼人之影
'lang'su'juan'zeng'biao 浪速捐赠表
'lang'su'zhi'jian'shi 浪速之剑士
'lang'zhi'ying 狼之影
'li'bie'mei'jiu'sha'ren'shi'jian 离别美酒杀人事件
'li'chuan'qian'he 立川千鹤
'li'mu'wen'yan 立木文彦
'li'qu'de'bei'ying 离去的背影
'li'shan'xiao'jie 栗山小姐
'lian'ren'shi'chun'tian'de'huan'jue 恋人是春天的幻觉
'liang'ge'fang'jian 两个房间
'lie'che'shou'fa'sha'ren'shi'jian 列车手法杀人事件
'lie'wu'shang'gou'le 猎物上钩了
'lin'shi'tui'li'xiu 临时推理秀
'lin'yuan'hui'mei 林原惠美
'lin'zhong'de'a 临终的啊
'lin'zhong'de'a'a 临终的啊啊
'ling'jie'xing'bian'sheng'qi 领结型变声器
'ling'mu'cai'tuan 铃木财团
'ling'mu'ling'zi 铃木绫子
'ling'mu'peng'zi 铃木朋子
'ling'mu'shi'lang 铃木史郎
'ling'mu'yuan'zi 铃木园子
'ling'yi'ge'dai'tu 另一个歹徒
'ling'yi'wei'cheng'ke 另一位乘客
'liu'guo'liu'shui'ting'de'sha'ji 流过流水亭的杀机
'liu'lang'hua'jia'sha'ren'shi'jian 流浪画家杀人事件
'liu'mian'ti'de'xin'xi 六面体的信息
'liu'tian 六田
'liu'xia'de'zu'ji 留下的足迹
'liu'yue'xin'niang'sha'ren'shi'jian 六月新娘杀人事件
'long'quan'bao'fa 龙拳爆发
'long'shen'shan'zhui'luo'shi'jian 龙神山坠落事件
'lou'chu'ma'jiao 露出马脚
'lu'xiang'dai'zhong'de'zheng'ju 录象带中的证据
'lu'ye'xiu'er 鹿野修二
'lu'zhao'sheng 鹭沼升
'lv'shi'fei'ying'li'de'zheng'yan 律师妃英理的证言
'lv'xing'xi'tuan'sha'ren'shi'jian 旅行戏团杀人事件
'ma'ma'de'xin'li 妈妈的心理
'ma'ma'shi'dui'shou 妈妈是对手
'ma'sheng'gui'er 麻生圭二
'mai'mai'fan'sheng'de'mi'mi 买卖繁盛的秘密
'mao'li'da'shu 毛利大叔
'mao'li'lan 毛利兰
'mao'li'xiao'wu'lang 毛利小五郎
'mao'li'xiao'wu'lang'de'mao'chong'zhe 毛利小五郎的冒充者
'mao'li'ying'li 毛利英理
'mao'pai'huo'deng'chang 冒牌货登场
'mao'xian'fu'huo 冒险复活
'mei'shu'guan'sha'ren'shi'jian 美术馆杀人事件
'mei'you'ti'shi 没有提示
