'a'de'man 阿德曼
'jue'jing'zhuang'jia 绝境装甲
'ka'luo'si 卡洛斯
'ka'mo'la 卡莫拉
'ka'te'te'gong 卡特特工
'kai'wen'fei'qi 凯文费奇
'kai'yi'la 凯依拉
'kang'zhi'wang'chao 康之王朝
'ke'li'ren 克里人
'kong'jian'bao'shi 空间宝石
'kong'jian'zhi'shi 空间之石
'kong'ju'ben'yuan 恐惧本源
'kong'ju'xian'sheng 恐惧先生
'kuai'yin 快银
'lai'ya 莱亚
'lao'tun 老吞
'lei'niao 雷鸟
'lei'she'yan 镭射眼
'lei'shen'suo'er 雷神索尔
'lei'shen'tuo'er 雷神托尔
'lei'shen'zhi'chui 雷神之锤
'li'liang'bao'shi 力量宝石
'li'liang'jiang'zhang 力量奖章
'li'liang'zhi'shi 力量之石
'ling'die 灵蝶
'ling'hun'bao'shi 灵魂宝石
'ling'hun'zhan'che 灵魂战车
'ling'hun'zhi'shi 灵魂之石
'ling'rong'ren'xing'dong 零容忍行动
'luo'cha'nv 罗刹女
'luo'gen 罗根
'luo'ji 洛基
'luo'nan 罗南
'lv'e'mo 绿恶魔
'lv'ju'ren 绿巨人
'lv'ju'ren'shi'jie'da'zhan 绿巨人世界大战
'lv'mo 绿魔
'lv'shang 绿殇
'ma'ge'na'si'zhi'dian 马格纳斯之殿
'ma'li'jian 玛丽简
'ma'li'jian'wo'sen 玛丽简沃森
'ma'li'ya'xi'er 玛利亚希尔
'ma'xiu'mo'duo'ke 马修默多克
'man'da'lin 曼达林
'man'da'ren 满大人
'man'wei'da'shi'jian 漫威大事件
'man'wei'dian'ying'yu'zhou 漫威电影宇宙
'man'wei'dian'ying'yu'zhou'di'er'jie'duan 漫威电影宇宙第二阶段
'man'wei'dian'ying'yu'zhou'di'san'jie'duan 漫威电影宇宙第三阶段
'man'wei'dian'ying'yu'zhou'di'yi'jie'duan 漫威电影宇宙第一阶段
'man'wei'man'hua 漫威漫画
'man'wei'nei'zhan 漫威内战
'man'wei'ping'xing'yu'zhou 漫威平行宇宙
'man'wei'si'da'jin'shu 漫威四大金属
'man'wei'ying'ye 漫威影业
'man'wei'zhu'shi'jie 漫威主世界
'mei'guo'dui'zhang 美国队长
'mi'mi'fu'chou'zhe 秘密复仇者
'mi'mi'ru'qin 秘密入侵
'mi'mi'zhan'zheng 秘密战争
'mian'ju'fu'ren 面具夫人
'mie'ba 灭霸
'mo'duo'ke 魔多克
'mo'fei'si'tuo 墨菲斯托
'mo'xing'nv 魔形女
'mu'ou'da'shi 木偶大师
'mu'si'bei'er'hai'mu 穆斯贝尔海姆
'na'mo 纳摩
'neng'li'yue'da'ze'ren'yue'da 能力越大责任越大
'ni'fu'er'hai'mu 尼福尔海姆
'ni'ke'fu'rui 尼克弗瑞
'ni'tai'zhe 拟态者
'ni'zhuan'wei'lai 逆转未来
'nuo'bo'kai'er 诺伯凯尔
'nuo'man'ao'si'ben 诺曼奥斯本
'nv'hao'ke 女浩克
'nv'lv'ju'ren 女绿巨人
'pai'huang 牌皇
'pi'li'huo 霹雳火
'pi'mu'li'zi 皮姆粒子
'ran'de'ji'er 然德基尔
'sa'ka'zhi'zi 萨卡之子
'sang'shi'yu'zhou 丧尸宇宙
'sha'ren 沙人
'shang'han'ma'li 伤寒玛丽
'shao'bing'ji'qi'ren 哨兵机器人
'shen'dun'ju 神盾局
'shen'dun'ju'te'gong 神盾局特工
'shen'li'ren 神力人
'shen'pan'zhi'yan 审判之眼
'shen'qi'lv'ju'ren 神奇绿巨人
'shen'qi'si'xia 神奇四侠
'shen'qi'xian'sheng 神奇先生
'shen'yu 神域
'sheng'jian 圣剑
'shi'dai 世代
'shi'di'fu'luo'jie'si 史蒂夫罗杰斯
'shi'jian'bao'shi 时间宝石
'shi'jian'lao'ren 时间老人
'shi'jian'zhi'shi 时间之石
'shi'jie'an'quan'li'shi'hui 世界安全理事会
'shi'jie'hui'mie'zhe 世界毁灭者
'shi'jie'zhi'shu 世界之树
'shi'po'shen 湿婆神
'shi'tou'ren 石头人
'shi'xin'hao'ke 失心浩克
'shou'he'hui 手和会
'shou'ji'zhe 收集者
'shu'ren'ge'lu'te 树人格鲁特
'si'ka'a 斯卡阿
'si'ke'lu'ren 斯克鲁人
'si'ke'te'lang 斯科特朗
'si'shen'fu'ren 死神夫人
'si'shi 死侍
'si'shi'tu'sha'man'wei'yu'zhou 死侍屠杀漫威宇宙
'si'shi'tu'sha'si'shi 死侍屠杀死侍
'si'ta'ke 斯塔克
'si'tan'li 斯坦李
'si'xia'zi'you'guang'chang 四侠自由广场
'sou'suo'zhe 搜索者
'suo'er 索尔
'tai'jia'ren 钛甲人
'tai'yang'huo 太阳火
'tan'na'gang 碳钠钢
'tan'suo'zhe 探索者
'te'gong'dui 特攻队
'tian'jian'ju 天剑剧
'tian'kong'hang'mu 天空航母
'tian'qi 天启
'tian'qi'shi'er'shi'tu 天启十二使徒
'tian'shen'zu 天神组
'tie'ba'wang 铁霸王
'tie'quan 铁拳
'tu'sha 屠杀
'tun'shu 吞叔
'tun'xing 吞星
'tuo'er 托尔
'tuo'ni'si'ta'ke 托尼斯塔克
'wa'kan'da 瓦坎达
'wa'te'hai'mu 瓦特海姆
'wan'ci'wang 万磁王
'wei'cheng 围城
'wei'lai'xi'ri 未来昔日
'wo'shi'ge'lu'te 我是格鲁特
'wu'di'hao'ke 无敌浩克
'wu'lu 乌鲁
'wu'lu'he'jin 乌鲁合金
'wu'xian 无限
'wu'xian'bao'shi 无限宝石
'wu'xian'shen'yuan 无限深渊
'wu'xian'shou'tao 无限手套
'wu'xian'zhan'zheng 无限战争
'wu'zhi'guo 雾之国
'xi'hai'an'fu'chou'zhe 西海岸复仇者
'xian'shi'bao'shi 现实宝石
'xian'shi'zhi'shi 现实之石
'xiao'lv'mo 小绿魔
'xiao'tao'qi 小淘气
'xin'bian'zhong'ren 新变种人
'xin'ling'bao'shi 心灵宝石
'xin'ling'zhi'shi 心灵之石
'xin'xing 新星
'xing'hong'nv'wu 猩红女巫
'xing'jue 星爵
'xing'xing'tun'shi'zhe 行星吞噬者
'xing'yun 星云
'ya'er'fu'hai'mu 亚尔夫海姆
'yan'mie 湮灭
'yan'mie'zheng'fu 湮灭征服
'yan'shu'ren 鼹鼠人
'ye'man'hao'ke 野蛮浩克
'ye'mo'xia 夜魔侠
'ye'xing'zhe 夜行者
'yi'chang'zhe 异常者
'yi'dai'yi'ren 一代蚁人
'yi'ren 蚁人
'yi'ren'tou'kui 蚁人头盔
'yi'tai 以太
'yin'he'hu'wei'dui 银河护卫队
'yin'he'shou'wei'zhe 银河守卫者
'yin'xing'nv 隐形女
'yin'ying'xia 银影侠
'yin'zi 因子
'ying'xiong'chong'sheng 英雄重生
'ying'xiong'nei'zhan 英雄内战
'ying'xiong'shi'dai 英雄时代
'ying'yan 鹰眼
'ying'yu 影域
'yong'heng'zhe 永恒者
'yong'yuan'de'fu'chou'zhe 永远的复仇者
'yu'zhou'fu'chou'zhe 宇宙复仇者
'yu'zhou'li'fang 宇宙立方
'yu'zhou'ling'qiu 宇宙灵球
'yu'zhou'mo'fang 宇宙魔方
'yu'zhou'tian'shen'zu 宇宙天神组
'yuan'zui 原罪
'yue'dun'hai'mu 约顿海姆
'ze'wei'er 泽维尔
'zeng'wu 憎恶
'zha'tan'nuo'si 扎坦诺斯
'zhan'jing 战警
'zhan'zheng'ji'qi 战争机器
'zhang'yu'bo'shi 章鱼博士
'zhang'yu'zhi'zhu 章鱼蜘蛛
'zhen'jin 振金
'zheng'fu'zhe'kang 征服者康
'zhi'kong'zhe'luo'nan 指控者罗南
'zhi'zhu'gan'ying 蜘蛛感应
'zhi'zhu'nv 蜘蛛女
'zhi'zhu'nv'hai 蜘蛛女孩
'zhi'zhu'xia 蜘蛛侠
'zhi'zhu'zhuang'jia 蜘蛛装甲
'zhong'ji'fu'chou'zhe 终极复仇者
'zhong'ji'shao'bing 终极哨兵
'zhong'ji'yu'zhou 终极宇宙
'zhong'ji'zhan'dui 终极战队
'zhong'ji'zhi'zhu'xia 终极蜘蛛侠
'zhong'ting 中庭
'zhu'shi'jie 主世界
'zui'e'lv'ju'ren 罪恶绿巨人
'zui'gao'jie'bei 最高戒备
