'a'yu'fu'zhi'li 阿育复置醴
'ge'ren'zi'sao'men'qian'xue 各人自扫门前雪
'geng'ba'zhu'yu'zi'xi'kan 更把茱萸仔细看
'geng'he'ci'ge'bian'yang'chun 更何辞歌遍阳春
'geng'kong'gui'fei'ge'mu'yun 更恐归飞隔暮云
'geng'ru'bu'liang'yi 更如卜梁倚
'geng'ru'yuan'jing'mu 更如爰旌目
'geng'sa'bian 更洒遍
'geng'sa'bian'ke'she'qing'qing 更洒遍客舍青青
'geng'yu'yin'qin'chang'wei'cheng 更与慇勤唱渭城
'gong'qian'yang'liu'si'qian'hua 宫前杨柳寺前花
'gong'shou'yu'wo'you 宫守于我有
'gou'yin'hua'he'xiao'ping'qiang 勾引花核笑凭墙
'gu'guo'chong'xin 故国重新
'gu'guo'ping'ju'you'suo'si 故国平居有所思
'gu'ren'jin'zai'qing'shan'li 古人尽在青山里
'gu'ren'zhi'si'yuan'fei'si 古人之死原非死
'gu'ren'zui'zhong'san'yue'san'jiu'yue'jiu 古人最重三月三九月九
'gu'ru'jia'zhi'ge'yue 古儒家之歌曰
'gu'sui'xing'xiang'zi 顾随行香子
'gu'tai'qing'jiang'cheng'zi 顾太清江城子
'gu'xiang'jin'ye'si'qian'li 故乡今夜思千里
'gu'yuan'gao'shi'ri'xiang'qin 故园高士日相亲
'gua'jun'gao'tang'zhi'su'bi 挂君高堂之素壁
'guan'chuan'nian'si'shi 贯串廿四史
'guan'guan 关关
'guan'ren'ru'mu'hou 冠任汝沐猴
'guang'yin'zu'zu'yi'fei'suo 光阴卒卒一飞梭
'gui'gu'you'dao'xi 鬼谷又倒屣
'gui'hua'bi'jing'zhong'zao'bo 桂花毕竟终燥薄
'gui'tang'dong 桂堂东
'gui'zuo'ni'shang'yu'yi'qu 归作霓裳羽衣曲
'guo'pu'shi'yun'qing'xi'qian'yu'ren 郭璞诗云青溪千馀仞
'guo'yue'zhi'na 国曰支那
'ha'ma'xiang'chi'tian'e'rou 蛤蟆想吃天鹅肉
'hai'shan'yin'que'fu'pan'tao 海山银阙赴蟠桃
'hai'tian'chou'si'zheng'mang'mang 海天愁思正茫茫
'hai'yan'xi'fei'bai'ri'xie 海燕西飞白日斜
'han'tian'jia'zhi'ge'yue 汉田家之歌曰
'han'zhu'shan'he'jin'xiu'zhong 汉主山河锦绣中
'hao'qi'ying'feng'yi'he'you 豪气英风亦何有
'he'bi'xing'song'shou'zhe'mo 何必兴讼受折磨
'he'bu'shang'shu'zi'jian'da 何不上书自荐达
'he'bu'xue'xian'zhong'lei'lei 何不学仙冢累累
'he'dang'gong'jian'xi'chuang'zhu 何当共剪西窗烛
'he'de'zhi'shuai 何德之衰
'he'ku'ping'di'qi'feng'bo 何苦平地起风波
'he'kuang'jin'ri'zhi'gong'he 何况今日之共和
'he'kuang'ren'tong'ci'xin'tong'ci'li 何况人同此心同此理
'he'kuang'tong'ci'mei'mu'kou'bi'er 何况同此眉目口鼻耳
'he'li'wen'ti'yi'chun'tai'ji'gu 何理问题宜春台集古
'he'qi'zhi'xiang'shi'fei'ce 和气致祥是非策
'he'qiao'xin'bie'tong'nian 何乔新别同年
'he'ran'wei'wu'zou'hao'jie 赫然威武走豪杰
'he'shi'zui'shi'si'jun'chu 何时最是思君处
'he'si'dang'chu'mei'kong'yan 何似当初美孔颜
'he'wei'qing'jiang'you'si 河未清江有汜
'he'xing'feng'heng'jia 何幸逢亨嘉
'he'yong'fu'ming'ban'ci'shen 何用浮名绊此身
'hen'gu'ren'bu'jian'wu'kuang'er 恨古人不见吾狂耳
'heng'kan'cheng'ling'ce'cheng'feng 横看成岭侧成峰
'hong'li'guan'pu'si'shou 弘历观瀑四首
'hong'lou'shu'li 红楼数里
'hong'ting'yi'lu'gua'cheng'tou 红亭驿路挂城头
'hong'yan'bai'mian'hua'ying'rou 红颜白面花映肉
'hong'yan'wei'lao'en'xian'duan 红颜未老恩先断
'hong'ye'xiang'sui'he'chu'liu 红叶相随何处流
'hong'zhu'ji 红烛继
'hou'hu'wo'zhe 后乎我者
'hou'lai'ji'xiong'geng'nan'bu 后来吉凶更难卜
'hu'guang'lian'yan'qing'fang'hao 湖光潋滟晴方好
'hu'hu'qiong'chou'ni'sha'ren 忽忽穷愁泥杀人
'hu'ran'bian'xuan'ang 忽然变轩昂
'hu'xin'ting'shi'peng'xin'ren 湖心亭是捧心人
'hu'you'ping'gao'fa'xing'xin 户牖凭高发兴新
'hua'ming'liu'an'rao'tian'chou 花明柳暗绕天愁
'hua'niao'yi'ren'wei'po'chan 花鸟依人未破禅
'hua'ru'jin'qi 花如锦绮
'hua'sheng'qu'nian'hong 花胜去年红
'huai'sha'ai'ying'wu'he'gan 怀沙哀郢吾何敢
'huai'si'shi'fu'dong'ai'ge 怀思时复动哀歌
'huan'ge'man'wu'ning'si'zhu 缓歌慢舞凝丝竹
'huan'gu'chu'xin'wei'you'si 环顾初心惟有死
'huang'ci'xing'wei'sheng'jing'qi 荒祠幸未生荆杞
'huang'hun'xi'shang'yu'ren'xi 黄昏溪上语人稀
'huang'mei'shi'jie'jia'jia'yu 黄梅时节家家雨
'huang'ting'jian'zhe'gu'tian 黄庭坚鹧鸪天
'huang'zhi'juan'cai'lian'zhao'ge 黄之隽采莲棹歌
'huang'zuo'ji'du'ju 黄佐集杜句
'hui'mou'yi'xiao'bai'mei'sheng 回眸一笑百媚生
'hui'shou'fu'sang'tong'zhu'biao 回首扶桑铜柱标
'hui'shou'ke'lian'ge'wu'di 回首可怜歌舞地
'hui'tou'shi'an'song'mi'tuo 回头是岸诵弥陀
'huo'ri'huo'yu'jie'zu'qi 或日或雨皆足奇
'huo'yan'qian'bu'jian'gu'ren 或言前不见古人
'huo'yan'wang'xu'huo'wang'chan 或言王诩或王禅
'ji'bu'fu'wu'wu'fu'shui 楫不负吾吾负水
'ji'ge'ren'zhi'dao 几个人知道
'ji'hui'jiang'jun'zhang'ce'qi 际会将军仗策起
'ji'ru'jin'ri'shan'zhong'si'zhu'ren 即如今日山中四主人
'ji'sui'feng 即随风
'ji'yan'wo'bei'xin'lang'jun 寄言我辈新郎君
'jia'an'qi'luo'huan'ju 夹岸绮罗欢聚
'jia'cai'wan'guan'yi'hua'wan 家财万贯亦花完
'jia'zhong'you'zei'nan'fang'qie 家中有贼难防窃
'jian'bu'bi'xuan'yao 剑不必悬腰
'jian'ji'shi'wei'wu'er'di 剪棘适为吴儿地
'jian'jia'yang'liu'si'ting'zhou 蒹葭杨柳似汀洲
'jian'lao'feng'chun'neng'ji'hui 渐老逢春能几回
'jian'mei'hua 见梅花
'jian'shui'liu'guo'tian'zhong'lu 涧水流过田中路
'jiang'ji'jin'chong'er 将及晋重耳
'jiang'ling'dang'nian'zhi'fei'cai 江令当年只费才
'jiang'sha'nang'li'shui'jing'wan 绛纱囊里水精丸
'jiang'ting'wan'se'jing'nian'fang 江亭晚色静年芳
'jiang'yu'fei'fei'jiang'cao'qi 江雨霏霏江草齐
'jiang'yuan'dao'wang 江源悼亡
'jiang'yuan'dian'shi'hou'zuo 江源殿试后作
'jiao'gong'wan 角弓弯
'jie'jie'wo'sheng'wu'hen'wan 嗟嗟我生勿恨晚
'jie'jie'yong'xi'wu'hu'zhou 嗟嗟永系五湖舟
'jie'wei'qian'zhe'zhi'liang'gui 皆为前哲之良规
'jie'yu'chuan'zhao'cai'ren'suo 婕妤传诏才人索
'jie'yuan'zui'yi'shi'su'song 结怨最易是诉讼
'jin'an'jun'ma'hu'xiao'qie 金鞍骏马呼小妾
'jin'chun'xi'qi'man'qian'kun 今春喜气满乾坤
'jin'fu'feng'liu'shang'yan'ran 巾拂风流尚俨然
'jin'gu'pian'jing'zhi'shi'er 今古偏惊志士耳
'jin'pan'yu'zhu'wu'xiao'xi 金盘玉箸无消息
'jin'ren'zi'gu'san'jian'kou 金人自古三缄口
'jin'ri'hou'pi'ming'ri'shen 今日候批明日审
'jin'ri'jun'wang'kan'bu'zu 尽日君王看不足
'jin'ri'kan'hua 今日看花
'jin'ri'qun'xiong'zheng'xiang'si 今日群雄正相似
'jin'ri'ru'shi 今日如是
'jin'ri'wo'yi'suo'tian'ji'qian'nian 今日我已缩天几千年
'jin'ri'wu'yi'fu'shi'yun 今日吾亦赋诗云
'jin'se'wu'duan'wu'shi'xian 锦瑟无端五十弦
'jin'wo'zhi'sheng'yuan'fei'sheng 今我之生原非生
'jin'zhe'fu'xiang'luo'fu'pei'zhang'lv 近者甫向罗浮陪杖履
'jing'hua'yi'jie 菁华已竭
'jing'li'rong'yan'lao 镜里容颜老
'jing'meng'xing 惊梦醒
'jing'sao'fen'ai'jin'ri'shi 净扫氛埃今日是
'jing'yu'wei'che'bei'hai'zhong 鲸鱼未掣北海中
'jiu'chong'zheng'er'si'liang'dong 九重正尔思梁栋
'jiu'huan'qian'shi'ru'pin'mei 旧欢前事入颦眉
'jiu'jing'zhi'ru'shi 究竟只如是
'jiu'man'man'xi 糺缦缦兮
'jiu'rou'ru'shan'you'yi'shi 酒肉如山又一时
'jiu'you'ru'meng 旧游如梦
