'a'yu'fu'zhi'li 阿育复置醴
'yi'shun'ding'wan'sheng'yuan'zuo'ge 易顺鼎万生园作歌
'yi'tang'xun'jie'you'xing'shi 一堂讯结犹幸事
'yi'wang'sun 忆王孙
'yi'xi'jia'zi'yi'zhi'jiu 义熙甲子宜止酒
'yi'xi'you'ji'miao'gao'tai 依稀犹记妙高台
'yi'xu'xi 噫吁嘻
'yi'xu'xi 噫吁嚱
'yi'zao'su'lai'yi'zao'bian 一造诉来一造辨
'yi'zhuang'gao'le'zi'bi'chuan 一状告了自必传
'yin'bu'bi'xi'zhou 印不必系肘
'yin'ci'tian'bao'zhi'shi'ren 饮此天宝之诗人
'yin'han'yao'ying'jie'feng'cheng 银汉遥应接凤城
'yin'hen'tun'sheng'fei'du'er 饮恨吞声非独尔
'yin'shun'ju'yi'hen'wu'jiang'ban'jiang'shui 尹舜举遗恨吴江半江水
'ying'chui'yang 映垂杨
'ying'de'duo'cai'yi'shou'shi 赢得多才一首诗
'ying'de'fu'sheng'ban'ri'xian 赢得浮生半日闲
'ying'ge'nian'shu'xiu'wang'le 鹦歌念熟休忘了
'ying'han'tao 莺含桃
'yong'bi'you'ke'kan'wen'xi 拥鼻犹可看文戏
'yong'cai'nan'yu'da'ye'qi 庸才难与大业期
'yong'he'gui'chou'yi'xing'jiu 永和癸丑宜行酒
'yong'qiu'yi'e'zei'yan'hou 雍丘一扼贼咽喉
'yong'she'you'ren'bu'you'ji 用舍由人不由己
'you'chun'feng 又春风
'you'jiu'bu'yin'yi'ru'he 有酒不饮意如何
'you'ju'qiao'qiao'he'ren'dao 幽居悄悄何人到
'you'qian'neng'shi'gui'tui'che 有钱能使鬼推车
'you'shui'xiang'song'xiao'you'jiu 有谁相送消忧酒
'you'si'luo'xu'chun'man'man 游丝落絮春漫漫
'you'wen'he'ping'chu'shi'hao 又闻和平处世好
'you'wu'shen'you'chou'fan'nao 又无甚忧愁烦恼
'you'you'hen'shui'liu'bu'jin 悠悠恨水流不尽
'you'yue'bu'lai'guo'ye'ban 有约不来过夜半
'yu'ba'chang'sheng'ji'ri'nan 欲把长绳系日难
'yu'er'tong'xiao'wan'gu'chou 与尔同销万古愁
'yu'guan'liu 鱼贯柳
'yu'hua'yin'lv'kong'duan'chang 欲话因绿恐断肠
'yu'ji'suo'si'wu'hao'xin 欲寄所思无好信
'yu'jin'su'he'ji'du'liang 郁金苏合及都梁
'yu'jun'bie'yue'ji'hang'zhou 与君别约记杭州
'yu'leng'yun'xiang'diao'xian'ke 雨冷云香吊仙客
'yu'nv'ru'jin'ji'xi'tou 玉女如今几洗头
'yu'qing'dao'fu'chao'xia'pei 虞卿道服朝霞帔
'yu'qiu'wu'yuan'jiang'nai'he 欲求无怨将奈何
'yu'ren'he'chu'jiao'chui'xiao 玉人何处教吹箫
'yu'shui'can'deng'xiao 余睡残灯小
'yu'sui'lang'chuan'kan'ming'yue 欲随郎船看明月
'yu'tian'shan'se 雨添山色
'yu'xie'chou'chang'kui'bu'cai 欲写愁肠愧不才
'yu'yang'pi'gu'dong'di'lai 渔阳鼙鼓动地来
'yu'yi'yun'he 于意云何
'yu'zan'wei'di'pa'jin'chi 玉簪委地怕禁持
'yu'zhi'jia'miao 欲植嘉苗
'yu'zhou'guo'qu'shui'sheng'feng 渔舟过去水生风
'yu'zuo'you'kan'jian'zao'pin 玉座犹堪荐藻蘋
'yuan'bei'liang'zao'xu'dao'an 原被两造须到案
'yuan'fei'xi'ri'zhi'yong'he 远非昔日之永和
'yuan'guo'xi'zao'chi 远过习凿齿
'yuan'liang'yue 元亮曰
'yuan'pu'cang'zhou'mang'kong'kuo 元圃苍洲莽空阔
'yuan'ru'dong'feng'fang'cao'duo 怨入东风芳草多
'yuan'shan'song'gui'ru'po'qing 远山松桧如泼青
'yuan'shan'yi'jiao'shang'xie'yang 远山一角尚斜阳
'yuan'shang'han'shan'shi'jing'xie 远上寒山石径斜
'yuan'shu'gui'meng'liang'you'you 远书归梦两悠悠
'yuan'shui'han'shan'shi'jing'xie 远水寒山石径斜
'yuan'ti'ya 怨啼鸦
'yuan'zhong'wan'wu'sheng'yan'se 苑中万物生颜色
'yue'lin'huang'shu'qi'ti'ya 月临荒戍起啼鸦
'yue'luo'shu'jin'jin'su'chi 越罗蜀锦金粟尺
'yue'luo'wu'ti'shuang'man'tian 月落乌啼霜满天
'yue'ma'cheng'ge 跃马称戈
'yue'ming'tian 月明天
'yue'ru'gou 月如钩
'yun'wu'bu'shu'xiang'guo'yi 云物不殊乡国异
'yun'yu'wu'shan'wang'duan'chang 云雨巫山枉断肠
'zai'dian'hou'le'ruo'gan'tian 在店候了若干天
'zai'huo'ba'bai'yi'deng'xian 再活八百亦等闲
'zai'ting'ming'ri'zhi'guo'ge 再听明日之国歌
'zai'wai'shi'you'liu'nian 在外十有六年
'zai'yu'fu'ye'he'you'xian 在于甫也何由羡
'zao'gai'ning'wang'zhe'ye'mei 皂盖宁忘折野梅
'zhai'suo'hua'zhi'liao'qiao'han 摘索花枝料峭寒
'zhai'zhong'qing'sang'ye'wan'wan 宅中青桑叶宛宛
'zhan'duan'fang'zhou 占断芳洲
'zhang'fu'sheng'er'you'ru'ci 丈夫生儿有如此
'zhang'fu'shi'dan'ru'dou'da 丈夫诗胆如斗大
'zhang'san'li'si'dou'peng'you 张三李四都朋友
'zhao'lian'lian'xia'jie'bei'di 照脸脸霞皆北地
'zhao'mian'gao'you'ren'cong'yan'zhong'hai 赵冕镐友人从燕中还
'zhao'nv'cheng'chun'shang'hua'lou 赵女乘春上画楼
'zhao'peng'nian'chun'ri'ji'shi 赵彭年春日即事
'zhao'shun'sun'bing'du'yin 赵顺孙病笃吟
'zhao'wo'he'wei'zhi'yu'ci 招我何为至于此
'zhao'yang'dian'li'di'yi'ren 昭阳殿里第一人
'zhe'bian'cu'fu'na'bian'zhuang 者边粗服那边妆
'zhe'cai'ou'qi'qing'nan'kan 折财呕气情难堪
'zhe'dong'hu'si'dong'lin'nv 这东湖似东邻女
'zhe'ji'shen'sha'tie'wei'xiao 折戟沈沙铁未销
'zhe'mo'lin'ji'xia'wu'geng 遮莫邻鸡下五更
'zhe'mo'shi'zhong'liu 遮莫誓中流
'zhe'mo'wu'ye'ji 遮莫舞夜鸡
'zhen'dian'yin'chuang'meng'bu'cheng 珍簟银床梦不成
'zhen'yuan'zhi'chao'shi 贞元之朝士
'zheng'dang'shi'wu'ri 正当十五日
'zheng'ru'tian'qin'wu'zhu'jie'xiong'di 正如天亲无著皆兄弟
'zheng'shao'wei'si'yue'ren 郑少微思越人
'zheng'shi'huang'yu'yu'shang'shi 正是黄鱼欲上时
'zheng'shi'jiang'nan'hao'feng'jing 正是江南好风景
'zheng'xue'jun'min'tuan'jie 政学军民团结
'zheng'yuan'jiu'bu'jian'yun'sheng 正缘久不见云生
'zhi'chi'yin'qing'wei'ke'liang 咫尺阴晴未可量
'zhi'chuan'fu'qing'gai 稚川甫倾盖
'zhi'chuan'xian'sheng'you'gu'ren 稚川先生尤故人
'zhi'ji'si'zu'qi'kong'nu 絷骥四足气空怒
'zhi'jing'shi'qing'hai'shi'yu 至竟是晴还是雨
'zhi'jun'he'shu'ru'chong'hua 致君何术如重华
'zhi'kong'pa'xi'chu'yang'guan 只恐怕西出阳关
'zhi'ren'zhi'mian'bu'zhi'xin 知人知面不知心
'zhi'shen'di'wang'jia 致身帝王家
'zhi'wei'ren'min'mou'jie'fang 只为人民谋解放
'zhi'you'wen'zhang'zui'jiu'jian 只有文章最久坚
'zhi'you'zui'yin'kuan'bie'hen 只有醉吟宽别恨
'zhi'zi'yuan'lai'ying'you'yi 知子远来应有意
'zhong'qiu'yue'si'luan'tai'jing 中秋月似鸾台镜
'zhong'yi'qing'dou 种一顷豆
'zhong'yi'ru'gong'geng'bu'duo 忠义如公更不多
'zhong'you'mu'dan'ting 中有牡丹厅
'zhong'you'yi'dao'shi 中有一道士
'zhong'yuan'zheng'xiang'liu'an'shi 中原正想刘安世
'zhou'ji'miao'ran'zi'ci'qu 舟楫渺然自此去
'zhu'chu'fan'hua'jin'shi'ri 著处繁华矜是日
'zhu'fu'ji'kan'sui'hua'yi 朱绂即看随画鹢
'zhu'hao'ji'ju 祝颢集句
'zhu'ren'hai'zhi'fou 诸人还知否
'zhu'wai'tao'hua'san'liang'zhi 竹外桃花三两枝
'zhuan'tou'po'mo'tian'di'hei 转头泼墨天地黑
'zhuang'nian'lao'nian 壮年老年
'zhuang'zhong'da'gu'tian'yu'ming 撞钟打鼓天欲明
'zi'gu'fu'gui'gong'ming'you'ding'fen 自古富贵功名有定分
'zi'yan'yi'shang'xiu'chun'yun 紫烟衣上绣春云
'zi'yuan'yan'shui'lian'ping'tai 自缘烟水恋平台
'zi'zi'chuan'zhen 字字传真
'zong'heng'jiu'wan'li 纵横九万里
'zong'ran'sheng'su'chu'kou'qi 纵然胜诉出口气
'zou'feng'chen 走风尘
'zou'ma'yue'ming'zhong 走马月明中
'zui'lin'liu'xi'ping'po'ju 醉临流戏评坡句
'zui'qi'kan'xing'peng'ze'yi 醉岂堪醒彭泽意
'zui'wu'po'suo 醉舞婆娑
'zuo'jian'xin'chi'luo'jiu'hen 坐见新池落旧痕
'zuo'ri'jin'zhao 昨日今朝
'zuo'zhe'fan'shan'ji'shi'yun 昨者樊山寄诗云
