'ai'min'ru'zi 爱民如子
'guo'tai'min'an 国泰民安
'guo'tai'min'an'chu'chu'chun 国泰民安处处春
'guo'you'shi'ye 国犹是也
'hai'shang'yu'zhou'qian'dan'yin 海上渔舟千担银
'hai'shui'zhao'zhao'zhao'zhao'zhao'zhao'chao'luo 海水朝朝朝朝朝朝朝落
'hai'you'ye'zhu'lai 还有夜珠来
'hai'zhong'xian'shu'yu'wei'lin 海中仙树玉为林
'han'bing'zuo'gu'hao'yue'tong'ming 寒冰作骨皓月同明
'han'jin'tao'hua'nen 寒尽桃花嫩
'han'mo'yin'yuan'zhuang'da'guan 翰墨因缘壮大观
'han'ning'jian'di'quan 寒凝涧底泉
'han'yi'wei'chu'chun'feng'nuan 寒衣慰出春风暖
'hao'jiang'yu'shou'lv'yue'cai'yun 好将玉手缕月裁云
'hao'shan'hao'shui'hao'jing 好山好水好景
'he'chou'bai'ri'dang'tou 何愁白日当头
'he'fang'xuan'sheng'deng'lin 何妨选胜登临
'he'fen'nan'bei 何分南北
'he'feng'chui'lv'liu 和风吹绿柳
'he'ke'qiang'jiang'ming'pu'xiang'qiang'jing'ke'he 鹤渴抢浆命仆响枪惊渴鹤
'he'shang'ben 和尚奔
'he'shang'beng 河上崩
'he'shang'fa'zheng 和尚法正
'he'shang'li'he'shang 和尚立河上
'he'sheng'ming'sheng'shi 和声鸣盛世
'he'shou'ji'na 合手即拿
'he'shui'neng'ru'he'shui'qing 何水能如河水清
'he'tang'kou'ou 荷塘抠藕
'he'yan'mo'chu'zi'xi'yun 和烟磨出紫溪云
'hen'guan'yu'bu'de'zhang'fei 恨关羽不得张飞
'hong'mei'zheng'gu'ao'xue 红梅铮骨傲雪
'hong'shi'jiang'bian'niao 鸿是江边鸟
'hou'gu'zi'wu'you 后顾自无忧
'hou'sheng'geng'bi'xian'sheng'qiang 后生更比先生强
'hu'du'chun'qiu 胡度春秋
'hu'wai'feng'guang'cui'yu'liu 户外风光翠欲流
'hu'yue'long'teng'bi'hai 虎跃龙腾碧海
'hu'zhong'ri'yue'bu'lao'xian'ling 壶中日月不老仙龄
'hua'cheng'zhao'lu'qian'zhi'fa 花承朝露千枝发
'hua'dong'qian'lin'yang'liu'an 画栋前临杨柳岸
'hua'duo'zeng'yan'shui'chang'liu 花多增艳水长流
'hua'fa'jin'cheng'chun 花发锦城春
'hua'hao'yue'yuan'nian'feng 花好月圆年丰
'hua'hua'ye'ye 花花叶叶
'hua'kai'cai'kan'cheng'chun'se 花开彩槛呈春色
'hua'lai'shi'lai'hua 华来士来华
'hua'luo'hua'kai 花落花开
'hua'shang'he'hua'he'shang'hua 画上荷花和尚画
'hua'xiang'man'yuan'hua'jue'qu 花香满院花觉趣
'hua'yang'fan'xin'ren'ren'wen'nuan 花样翻新人人温暖
'huang'jin'gu'li'gu'jin'huang 黄金谷里谷金黄
'huang'liu'jian'ge 荒流剑阁
'huang'shu'di'zhong'zou'huang'shu 黄黍地中走黄鼠
'huang'ying'ming'cui'liu 黄莺鸣翠柳
'hui'hao'lie'jin'xiu 挥毫列锦绣
'hui'hao'you'fu'liu'ru'yan 挥毫又赋柳如烟
'hui'hua'dian'yong'lian 绘画店用联
'hui'se'hui'xiang'hui'sheng'hui'ying 绘色绘香绘声绘影
'hun'zhang'dong'xi 混帐东西
'huo'jia'shang'xia'duo'duo'hong'mei'zheng'yan 货架上下朵朵红梅争艳
'ji'chu'shu'zhong 几杵疏钟
'ji'dian'mei'hua'tian'yi'xing 几点梅花添逸兴
'ji'ji'chi'shi'hu'tong'shi'shi'zhu'ji'ji 鸡饥吃食呼童拾石逐饥鸡
'ji'ji'dao'dao'tong'tong'da 饥鸡盗稻童筒打
'ji'ji'shi'shi 饥鸡拾食
'ji'shan'ren'jia'qing'you'yu 积善人家庆有余
'ji'shu'ge'xin 技术革新
'ji'su'ke'jia 寄宿客家
'ji'tian'xia'hun'dan'yu'yi'tang 集天下混蛋于一堂
'ji'wan'li'jian'wen'kao'he'po'fei'xiao'cai'hua 几万里见闻考核颇费小才华
'ji'yang'wen'zi'cai'bi'sheng'hua 激扬文字彩笔生花
'ji'zhen'zhu'zhuang'cheng'bao'shu 积珍珠装成宝树
'jia'cang'wan'juan'shu 家藏万卷书
'jia'cang'wan'juan'shu'chang 家藏万卷书长
'jia'cang'wan'juan'shu'zhang'you 家藏万卷书长有
'jia'dao'zui'lai'fei'jia'dao 贾岛醉来非假倒
'jia'he'ren'he'wan'shi'he 家和人和万事和
'jia'he'ren'shou'nian'feng 家和人寿年丰
'jia'jia'nv 嫁家女
'jia'jia'qi'xiang'xin 家家气象新
'jia'jie'luo'gu'qing'gong'chen 佳节锣鼓庆功臣
'jia'ming'cheng'bo'shi 嘉名称博士
'jia'ming'cheng'huo'tui 嘉名称火腿
'jia'mu'you'lai'kan'zuo'qi 佳木由来堪作器
'jia'qi'man'shan'chuan 佳气满山川
'jia'ren'deng'pan'xi'xi'chuan'zhen 佳人灯畔细细穿针
'jia'shan'zhen'lu'zou 假山真鹿走
'jia'shang'dan'wan'chang'sheng'miao'yao 架上丹丸长生妙药
'jia'wang'guo'xing'ren'he 家旺国兴人和
'jia'zhi'jin'dao'sai'yin'chao'nie 佳制金刀赛银超镍
'jia'zhi'kuai'chuan'wu'yu'kuai 佳制快传乌玉块
'jian'ba'dao'fen'heng'qi'dao'qie 坚八刀分横七刀切
'jian'cai'wei'ge'xiu 剪彩为歌袖
'jian'cheng'da'sha'gao'hua'zhai 建成大厦高华宅
'jian'jian'sui'xin'ji 件件随心饥
'jian'kan'men'zhong'yue 閒看门中月
'jian'qu'qian'lv'jiu'dong'xi 剪去千缕旧东西
'jian'shuang'zhu'xue'pin'zhong'tiao'he 煎霜煮雪品重调和
'jian'zao'ji'liang'gong 建造集良工
'jian'zhu'ye'yong'lian 建筑业用联
'jiang'bei'huan'li'he'zai'xu'cong'tou 将悲欢离合再叙从头
'jiang'jiu'ke'xue'qu'bing'qu'zai 讲究科学祛病去灾
'jiang'liu'qian'gu 江流千古
'jiang'lou'qian'gu 江楼千古
'jiang'lou'ye'zuo 江楼夜坐
'jiang'shan'chu'chu'jie'chun 江山处处皆春
'jiang'shan'ru'ci'duo'jiao 江山如此多娇
'jiang'xin'du'yun 匠心独运
'jiao'li'da'zao'xian'kou'tong'zhen 交梨大枣仙口同珍
'jiao'mei'ao'xue'lan'man 娇梅傲雪烂漫
'jie'bi'mei'hua'dai'xue'mo 洁比梅花带雪磨
'jie'jie'tai'bai 节节太白
'jie'liu'ke'ju'wan'pan'jin 节流可聚万盘金
'jie'qian'chun'se'nong'ru'xu 阶前春色浓如许
'jie'ri'ren'ren'gong'le 节日人人共乐
'jie'sheng'jing'chang'ji'lei'duo 节省经常积累多
'jie'shu'kai'heng'cheng'si'shu 截竖开横成四束
'jin'bi'dan'qing'zi'se'ze 金碧丹青资色泽
'jin'bi'hui'lou'tai 金碧绘楼台
'jin'feng'han'zhu'he'xin'nian 金凤含珠贺新年
'jin'ji'wei'chang'tang'xian're 金鸡未唱汤先热
'jin'liu'ruo'yao'ying'yu'yu 金柳若摇莺欲语
'jin'shang'tian'hua'hu'hu'chun 锦上添花户户春
'jin'wo'gang'qiang'shou'wei'da'hao'he'shan 紧握钢枪守卫大好河山
'jin'xiao'nian'wei 今宵年尾
'jin'xiu'ju'qian'chun 锦绣聚千纯
'jin'xiu'shan'he'mei 锦秀山河美
'jin'yun'fu'jin'yi'shi'ru'shan'lin 禁云斧斤以时入山林
'jin'zhao'xi'qi'ying'men 今朝喜气盈门
'jin'zhao'yang'liu'ban'chui'di 今朝杨柳半垂堤
'jin'zhu'lian'hua'dong 尽珠帘画栋
'jin'zi'yin'zi'jie'wu'zi'ye 金子银子皆吾子也
'jing'jie'jian'qi'cai 劲节见奇才
'jing'jing'ye'ye'yu'tao'li 兢兢业业育桃李
'jing'ying'you'da'zhi 经营有大志
'jiu'jiu'ba'shi'yi'sheng 九九八十一声
'jiu'pu'ceng'chuan'yi'shui'yan 旧谱曾传易水烟
'jiu'qu'yi'shan'cai'que'she 九曲夷山采雀舌
'jiu'tian'ri'yue'kai'xin'yun 九天日月开新运
'jiu'wo'sheng'chun'se 就我生春色
'jiu'xia'fu'rong 九夏芙蓉
'jiu'zhou'ren'wu'chu'hao'duan 九州人物出毫端
'ju'bu'xin'zhuang'li'yuan'jiu'pu 菊部新妆梨园旧谱
'ju'dong'sui'shi'xiao'ku'shu 举动随时消酷暑
'ju'jing'quan'xiang'xing'lin'chun'nuan 桔井泉香杏林春暖
'ju'lai'qian'mu'xue 聚来千亩雪
'ju'mei'yu'bai'chu'yin'hua 聚美玉摆出银花
'ju'ran'tian'shang'ke 居然天上客
'ju'tian'di'jing'hua 聚天地精华
'ju'xiu'ji'shi'deng 桔袖及时登
'ju'xu'bai'yao 聚蓄百药
'juan'bu'ji'mu'yu'chao'yun 卷不及暮雨朝云
'jun'ai'min'qing'si'dong'hai'shen 军爱民情似东海深
'jun'en'shen'si'hai 君恩深似海
'jun'jun'chen'chen 君君臣臣
'jun'shu'men'shang'guang'rong'bian 军属门上光荣匾
'kai'fa'cai'yuan'wei'min'zhi'fu 开发财源为民致富
'kai'guan'zao 开关早
'kai'yuan'neng'yin'qian'hong'shui 开源能引千泓水
'kan'dong'xiang'shen'jun 看东骧神骏
'kan'lai'hao'fa'bu'can'cha 看来毫发不参差
'kan'qiao'jiang'wu'shuang'shou'duan 看巧匠无双手段
'kan'shi'shang'hua'kai'hua'luo 看世上花开花落
'kan'zuo'zhuan'shu'wang'you'fan 看左传书往右翻
'ke'ke'cui'ren'zi'jing'xing 刻刻催人资惊醒
'ke'lai'tian'ran'ju 客来天然居
'ke'lai'zui 客来醉
'ke'qu'shui 客去睡
'ke'qu'yi'zhun 可取以准
'ke'shao'zhu'ren'duo 客少主人多
'ke'xue'you'zhen'di'you'zhi'zhe'jing'cheng 科学有真谛有志者竟成
'kong'wang'tian 空望天
'kong'zi'sheng'yu'zhou'wei 孔子生于舟未
'kou'shi'xin'si 口十心思
