'a'bi'ji 阿蓖姬
'le'yuan 乐园
'li'tao 里陶
'lian'gu 炼骨
'ling'li 灵力
'ling'yue'xian'ji 凌月仙姬
'ling'zhao'yi'ren 菱沼义仁
'long'lin'tie'sui'ya 龙鳞铁碎牙
'man'gu 蛮骨
'man'long 蛮龙
'man'she 蛮蛇
'mao'guai 毛怪
'mei'liang'wan 魅魉丸
'mei'you'ni'de'wei'lai 没有你的未来
'meng'huan'de'bai'ye 梦幻的白夜
'meng'huan'zhi'bai'ye 梦幻之白夜
'mi'le 弥勒
'mi'shan 弥珊
'ming'dao 冥道
'ming'dao'can'yue'po 冥道残月破
'ming'dao'shi 冥道石
'ming'dao'yuan'yue'po 冥道圆月破
'ming'jia 冥加
'mu'qing 慕情
'nai'dian 奈殿
'nai'ju 奈桔
'nai'luo 奈落
'nai'quan 奈犬
'nai'wei 奈薇
'ni'fa'zhi'jie'luo 逆发之结罗
'po'mo'jian 破魔箭
'po'mo'zhi'jian 破魔之箭
'po'mo'zhi'shi 破魔之矢
'qi'bao 七宝
'qi'hun 奇魂
'qi'ren'dui 七人队
'qian'kun'chang'dao 乾坤长刀
'qing'mu'kang'zhi 青木康直
'qu'hun 曲魂
'quan'da'jiang 犬大将
'quan'ju 犬桔
'quan'man 犬漫
'quan'mi 犬弥
'quan'mi 犬迷
'quan'quan 犬犬
'quan'sha 犬杀
'quan'wei 犬薇
'quan'xin'quan'yi 全心全意
'quan'yao 犬妖
'quan'ye'cha 犬夜叉
'quan'ye'cha'wan'jie'pian 犬夜叉完结篇
'ren'jian'yin'dao 人见阴刀
'ren'qi 人器
'ri'ben'zhan'guo'shi'dai 日本战国时代
'ri'gao'fa'zi 日高法子
'ri'mu'cao'tai 日暮草太
'ri'mu'ge'wei 日暮戈薇
'ri'mu'li 日暮篱
'ri'mu'shen'she 日暮神社
'san'hun'tie'zhua 散魂铁爪
'sha'dian 杀殿
'sha'ju 杀桔
'sha'le 杀乐
'sha'ling 杀铃
'sha'mi 杀迷
'sha'nai 杀奈
'sha'sheng'wan 杀生丸
'sha'wei 杀薇
'sha'xie 杀邪
'shan'hu 珊瑚
'shan'kou'sheng'ping 山口胜平
'she'gu 蛇骨
'she'gu'dao 蛇骨刀
'shen'jiu'ye 神久夜
'shen'le 神乐
'shen'wu 神无
'shen'wu'zhi'jing 神无之镜
'shi'dai'shu 时代树
'shi'gu'jing 食骨井
'shi'gu'zhi'jing 食骨之井
'shi'liu'ye 十六夜
'shi'wu'wu 尸舞乌
'shou'lang'wan 兽郎丸
'shuang'mian'ren'tou'zhang 双面人头杖
'shui'gu 睡骨
'si'dou'shen 四斗神
'si'hun'chong 死魂虫
'si'hun'sui'pian 四魂碎片
'si'hun'zhi'yu 四魂之玉
'song'hun'qu 送魂曲
'tian'sheng'ya 天生牙
'tian'xia'ba'dao'zhi'jian 天下霸道之剑
'tie'sui'ya 铁碎牙
'wang'liang'wan 魍魉丸
'wei'mi 薇迷
'wu'gu 雾骨
'wu'lei'zhi 五雷指
'wu'nv 巫女
'wu'shuang 无双
'wu'xin'gui 悟心鬼
'wu'zhi'jing'de'meng 无止境的梦
'xi'guo 西囯
'xi'guo 西国
'xiao'ling 小铃
'xie'jian 邪见
'xie'qi 邪气
'xing'hun 幸魂
'xiong'gu 凶骨
'xue'nai'wu'yue 雪乃五月
'ya'you'mei 亚由美
'yan'ling 言灵
'yao'dao 妖刀
'yao'hua 妖化
'yao'lang'zu 妖狼族
'yao'xiong'sha'sheng'wan 妖兄杀生丸
'yin'gu 银骨
'yin'tai 银太
'ying'lang'wan 影郎丸
'you'jia 由加
'you'shen'de'sen'lin 幽深的森林
'you'you'you'you 悠悠游游
'yu'jia'cao'zi 御伽草子
'yu'ling'wan 御灵丸
'yu'shen'mu 御神木
'yun'ming'lian'xin 运命恋心
'yun'mu 云母
'zai'yao'yuan'de'dao'lu'qian'duan 在遥远的道路前端
'zhan'guo'yu'jia'cao'zi 战国御伽草子
'zhang'qi 瘴气
'zhen'hun 镇魂
'zhen'shi'de'ge 真实的歌
'zhi'hun 直魂
'zi'shan'zhi'gong 梓山之弓
'zui'meng'sheng 最猛胜
