'an'neng'liang 暗能量
'guan'lian'han'shu 关联函数
'guang'yi'xiang'dui'lun 广义相对论
'guang'zi 光子
'ha'bo'can'shu 哈勃参数
'ha'bo'chang'shu 哈勃常数
'ha'bo'kong'jian'wang'yuan'jing 哈勃空间望远镜
'hong'yi 红移
'hong'yi'yin'zi 红移因子
'jia'su'peng'zhang 加速膨胀
'jia'zhen'kong 假真空
'jian'su'peng'zhang 减速膨胀
'jing'dian'rao'dong 经典扰动
'jing'dian'zhang'luo 经典涨落
'jue're'rao'dong 绝热扰动
'lan'yi 蓝移
'li'xiang'liu'ti 理想流体
'li'zi'shi'jie 粒子视界
'liang'dian'han'shu 两点函数
'liang'zi'rao'dong 量子扰动
'liang'zi'zhang'luo 量子涨落
'lin'jie'bo'chang 临界波长
'lin'jie'mi'du 临界密度
'man'gun 慢滚
'man'gun'bao'zhang 慢滚暴涨
'man'gun'jin'si 慢滚近似
'mi'du'ju'zhen 密度矩阵
'mi'du'rao'dong 密度扰动
'mo'shi'jie 膜世界
'mo'yu'zhou 膜宇宙
'mo'yu'zhou'xue 膜宇宙学
'nei'bing'wen'du'zhang'luo 内禀温度涨落
'ou'ji 偶极
'ou'ji'fu'she 偶极辐射
'ou'ji'ju 偶极矩
'ping'tan'xing'wen'ti 平坦性问题
'qu'lv 曲率
'qu'lv'rao'dong 曲率扰动
'qu'lv'zhang'luo 曲率涨落
'qu'lv'zi 曲率子
'qu'lv'zi'ji'zhi 曲率子机制
'quan'xi'yuan'li 全息原理
'rao'dong 扰动
're'da'bao'zha 热大爆炸
're'da'bao'zha'yu'zhou'xue 热大爆炸宇宙学
're'li'shi 热历史
're'ping'heng 热平衡
'san'dian'han'shu 三点函数
'shang'rao'dong 熵扰动
'sheng'su 声速
'shi'jian'shi'jie 事件视界
'shi'jie 视界
'shi'jie'wen'ti 视界问题
'shi'liang'mo'shi 矢量模式
'shi'liang'rao'dong 矢量扰动
'shi'liang'zhang'luo 矢量涨落
'shuang'chang'bao'zhang 双场暴涨
'si'dian'han'shu 四点函数
'sui'ji'bao'zhang 随机暴涨
'tuo'pu'que'xian 拓扑缺陷
'wei'bo'bei'jing 微波背景
'wei'bo'bei'jing'fu'she 微波背景辐射
'wei'bo'bei'jing'ge'xiang'yi'xing 微波背景各向异性
'wei'bo'ge'xiang'yi'xing 微波各向异性
'wei'bo'ge'xiang'yi'xing'tan'ce'qi 微波各向异性探测器
'wei'er'jin'sen'wei'bo'ge'xiang'yi'xing'tan'ce'qi 威尔金森微波各向异性探测器
'wen'du'rao'dong 温度扰动
'wen'du'rao'dong'ge'xiang'yi'xing 温度扰动各向异性
'wen'du'zhang'luo 温度涨落
'wu'zhi'wei'zhu'shi'qi 物质为主时期
'xian'xing'rao'dong 线性扰动
'xian'yu'zhou'xue 弦宇宙学
'xiang'bian 相变
'xiao'chang 小场
'xiao'chang'bao'zhang 小场暴涨
'ya'wen'tai 亚稳态
'ya'wen'tai'zhen'kong 亚稳态真空
'yi'jie'rao'dong 一阶扰动
'yin'li'bo 引力波
'yin'li'fu'she 引力辐射
'yin'li'hong'yi 引力红移
'yin'li'tou'jing 引力透镜
'yin'li'wei'zi 引力微子
'yin'li'zi 引力子
'yong'heng'bao'zhang 永恒暴涨
'yu'jia're 预加热
'yu'zhou'xian 宇宙线
'yu'zhou'xue 宇宙学
'yu'zhou'xue'chang'shu 宇宙学常数
'yu'zhou'xue'rao'dong 宇宙学扰动
'yu'zhou'xue'xiang'bian 宇宙学相变
'yuan'chu'rao'dong 原初扰动
'zhang'liang'mo'shi 张量模式
'zhang'liang'rao'dong 张量扰动
'zhang'liang'zhang'luo 张量涨落
'zhang'luo 涨落
'zhen'kong'neng 真空能
'zhen'kong'shuai'bian 真空衰变
'zhong'jia're 重加热
'zhong'wei'zi 中微子
'zhuan'yi'han'shu 转移函数
'zhuan'yi'ju'zhen 转移矩阵
'zui'hou'san'she 最后散射
