'ban'cheng'pin 半成品
'gong'shang'shi'gu'pin'lv 工伤事故频率
'gong'ye'an'da'zhong'xiao'xing'fen'zu 工业按大中小型分组
'gong'ye'an'jing'ji'lei'xing'fen'zu 工业按经济类型分组
'gong'ye'chan'pin 工业产品
'gong'ye'chan'pin'biao'zhun'shi'wu'liang 工业产品标准实物量
'gong'ye'chan'pin'cheng'ben'zhi'shu 工业产品成本指数
'gong'ye'chan'pin'ding'e'gong'shi'chan'liang 工业产品定额工时产量
'gong'ye'chan'pin'hun'he'shi'wu'liang 工业产品混合实物量
'gong'ye'chan'pin'mu'lu 工业产品目录
'gong'ye'chan'pin'pin'zhong'ji'hua'wan'cheng'lv 工业产品品种计划完成率
'gong'ye'chan'pin'sheng'chan'neng'li 工业产品生产能力
'gong'ye'chan'pin'shi'wu'liang 工业产品实物量
'gong'ye'chan'pin'zhi'liang'fen'deng 工业产品质量分等
'gong'ye'chan'pin'zhi'liang'zhi'biao 工业产品质量指标
'gong'ye'dong'li'she'bei 工业动力设备
'gong'ye'gu'ding'zi'chan 工业固定资产
'gong'ye'hang'ye'fen'lei 工业行业分类
'gong'ye'jie'neng'liang 工业节能量
'gong'ye'jing'chan'zhi 工业净产值
'gong'ye'jing'ji'xiao'yi'tong'ji'zhi'biao'ti'xi 工业经济效益统计指标体系
'gong'ye'liu'dong'zi'jin 工业流动资金
'gong'ye'pin'bu'bian'jia'ge 工业品不变价格
'gong'ye'pin'de'fu'ci'pin'lv'he'fu'ci'pin'kou'kuan'lv 工业品的副次品率和副次品扣款率
'gong'ye'pin'gou'jin 工业品购进
'gong'ye'pin'ke'bi'jia'ge 工业品可比价格
'gong'ye'pin'xian'xing'jia'ge 工业品现行价格
'gong'ye'pin'zi'xiao'jia'ge 工业品自销价格
'gong'ye'qi'ye'zong'he'neng'yuan'xiao'fei'liang 工业企业综合能源消费量
'gong'ye'shang'pin'chan'zhi 工业商品产值
'gong'ye'she'bei'sheng'chan'xiao'lv 工业设备生产效率
'gong'ye'sheng'chan'guo'cheng'dian'qi'hua'cheng'du 工业生产过程电气化程度
'gong'ye'sheng'chan'guo'cheng'ji'xie'hua'cheng'du 工业生产过程机械化程度
'gong'ye'sheng'chan'guo'cheng'zi'dong'hua'cheng'du 工业生产过程自动化程度
'gong'ye'sheng'chan'she'bei 工业生产设备
'gong'ye'sheng'chan'zhi'shu 工业生产指数
'gong'ye'tong'ji 工业统计
'gong'ye'xiao'shou'chan'zhi 工业销售产值
'gong'ye'xing'zuo'ye 工业性作业
'gong'ye'zeng'jia'zhi 工业增加值
'gong'ye'zong'chan'zhi 工业总产值
'gong'ying'chu'kou 供应出口
'gong'zi'zong'e 工资总额
'gu'ding'zi'chan'chan'zhi'lv 固定资产产值率
'gu'ding'zi'chan'tou'zi'lv 固定资产投资率
'gu'ding'zi'chan'tou'zi'wan'cheng'e 固定资产投资完成额
'gu'ding'zi'chan'tou'zi'xiao'yi'xi'shu 固定资产投资效益系数
'guan'gai'mian'ji 灌溉面积
'guang'bo'dian'shi'fu'gai'ren'kou'lv 广播电视覆盖人口率
'guo'ji'shou'zhi'ping'heng'biao 国际收支平衡表
'guo'ji'tong'ji'xue'hui 国际统计学会
'guo'jia'gong'huo'he'tong 国家供货合同
'guo'jia'gong'huo'he'tong'wan'cheng'lv 国家供货合同完成率
'guo'min'cai'chan 国民财产
'guo'min'cai'fu 国民财富
'guo'min'cai'fu'tong'ji 国民财富统计
'guo'min'jing'ji'bu'men'fen'lei 国民经济部门分类
'guo'min'jing'ji'he'suan'ti'xi 国民经济核算体系
'guo'min'jing'ji'zhi'biao'ti'xi 国民经济指标体系
'guo'min'sheng'chan'jing'zhi 国民生产净值
'guo'min'sheng'chan'zong'zhi 国民生产总值
'guo'min'shou'ru'tong'ji 国民收入统计
'guo'nei'chun'gou'jin 国内纯购进
'guo'nei'chun'xiao'shou 国内纯销售
'guo'nei'sheng'chan'zong'zhi 国内生产总值
'guo'shi'tong'ji'xue'pai 国势统计学派
'guo'tu'mian'ji 国土面积
'guo'tu'tong'ji 国土统计
'guo'ying'nong'chang'zhi'gong'ren'shu 国营农场职工人数
'guo'ying'shang'ye'ling'shou'jia'ge'zhi'shu 国营商业零售价格指数
'hai'guan'tong'ji 海关统计
'hai'shui'yang'zhi'mian'ji 海水养殖面积
'hai'yang'yu'chang'mian'ji 海洋渔场面积
'han'lao'bao'shou'wen'chan'gao'chan'nong'tian'mian'ji 旱涝保收稳产高产农田面积
'huan'bing'lv 患病率
'huan'jing'jing'ji'tong'ji 环境经济统计
'huan'suan'zhou'zhuan'liang 换算周转量
'hui'gui'fen'xi 回归分析
'hui'gui'yu'ce 回归预测
'huo'bi'gou'mai'li'zhi'shu 货币购买力指数
'huo'wu'yun'shu'liang 货物运输量
'huo'wu'zhou'zhuan'liang 货物周转量
'ji'ben'jian'she'gui'mo'ping'heng'biao 基本建设规模平衡表
'ji'ben'jian'she'tou'zi'jia'ge'zhi'shu 基本建设投资价格指数
'ji'ben'jian'she'tou'zi'wan'cheng'e 基本建设投资完成额
'ji'ben'jian'she'tou'zi'wu'liang'zhi'shu 基本建设投资物量指数
'ji'ben'jian'she'xiang'mu'an'guan'li'xi'tong'fen'zu 基本建设项目按管理系统分组
'ji'ben'jian'she'xiang'mu'an'guo'min'jing'ji'hang'ye'fen'zu 基本建设项目按国民经济行业分组
'ji'ben'jian'she'xiang'mu'an'jian'she'gui'mo'fen'zu 基本建设项目按建设规模分组
'ji'ben'jian'she'xiang'mu'an'jian'she'xing'zhi'fen'zu 基本建设项目按建设性质分组
'ji'ben'jian'she'xiang'mu'an'li'shu'guan'xi'fen'zu 基本建设项目按隶属关系分组
'ji'he'ping'jun'shu 几何平均数
'ji'hua'sheng'yu'lv 计划生育率
'ji'jian'tong'ji 基建统计
'ji'jie'bian'dong 季节变动
'ji'lei'lv'zhi'biao 积累率指标
'ji'lei'xiao'yi'xi'shu 积累效益系数
'ji'shi'mao'yi'jia'ge'zhi'shu 集市贸易价格指数
'ji'xie'chou'yang 机械抽样
'ji'ya'he'dai'zhi'wu'zi 积压和呆滞物资
'jia'yi'bu'lei'gong'ye'fen'zu 甲乙部类工业分组
'jian'cheng'tou'chan'dan'xiang'gong'cheng 建成投产单项工程
'jian'zhu'an'zhuang'gong'cheng'jia'ge'zhi'shu 建筑安装工程价格指数
'jian'zhu'ji'xie'li'yong'lv 建筑机械利用率
'jian'zhu'ji'xie'she'bei'shi'you'neng'li 建筑机械设备实有能力
'jian'zhu'ji'xie'she'bei'shi'you'tai'shu 建筑机械设备实有台数
'jian'zhu'ji'xie'wan'hao'lv 建筑机械完好率
'jian'zhu'ji'xie'zhuang'bei'cheng'du 建筑机械装备程度
'jian'zhu'ye'jing'chan'zhi 建筑业净产值
'jian'zhu'ye'tong'ji 建筑业统计
'jian'zhu'ye'zong'chan'zhi 建筑业总产值
'jiang'shui'liang 降水量
'jie'hun'lv 结婚率
'jie'shou'jin'kou 接收进口
'jing'ji'yu'ce 经济预测
'jing'ji'zhi'biao 经济指标
'jing'zhi'ren'kou 静止人口
'ju'min'sheng'huo'fei'yong'jia'ge'zhi'shu 居民生活费用价格指数
'ju'min'xiao'fei'pin'gou'mai'li 居民消费品购买力
'jun'fang'cha 均方差
'jun'gong'fang'wu'dan'wei'zao'jia 竣工房屋单位造价
'jun'gong'fang'wu'jia'zhi 竣工房屋价值
'jun'gong'gong'cheng'chan'zhi 竣工工程产值
'jun'gong'xiang'mu 竣工项目
'ke'bi'chan'pin'cheng'ben'jiang'di'lv'he'jiang'di'e 可比产品成本降低率和降低额
'ku'cun'wu'zi'zhou'zhuan'su'du 库存物资周转速度
'kuang'chan'chu'liang 矿产储量
'lao'bao'fu'li'fei'yong'zong'e 劳保福利费用总额
'lao'dong'de'dong'li'he'dian'li'zhuang'bei'cheng'du 劳动的动力和电力装备程度
'lao'dong'de'gu'ding'zi'chan'zhuang'bei'cheng'du 劳动的固定资产装备程度
'lao'dong'de'ji'shu'zhuang'bei'cheng'du 劳动的技术装备程度
'lao'dong'jiu'ye'lv 劳动就业率
'lao'dong'li'zi'yuan'li'yong'lv 劳动力资源利用率
'lao'dong'ren'kou'bu'men'gou'cheng 劳动人口部门构成
'lao'dong'sheng'chan'lv'ji'suan'fa 劳动生产率计算法
'lao'dong'sheng'chan'lv'zhi'shu 劳动生产率指数
'lao'dong'sheng'chan'zi'jin'zhuang'bei'lv 劳动生产资金装备率
'lao'dong'shi'jian'li'yong'lv 劳动时间利用率
'lao'dong'shi'jian'ping'heng'biao 劳动时间平衡表
'lao'dong'tong'ji 劳动统计
'lao'dong'zhe'yuan'shi'shou'ru 劳动者原始收入
'lao'nian'ren'kou'bi'zhong 老年人口比重
'lei'xing'chou'yang 类型抽样
'li'hun'lv 离婚率
'li'san'xi'shu 离散系数
'li'xiang'zhi'shu'gong'shi 理想指数公式
'lian'he'guo'tong'ji'ji'gou 联合国统计机构
'liang'shi'fen'pei 粮食分配
'liang'shi'mei'mu'geng'di'ping'jun'nian'chan'liang 粮食每亩耕地平均年产量
'liao'yang'yuan'chuang'wei'shu 疗养院床位数
'lin'chan'pin'chan'liang 林产品产量
'lin'mu'fu'yu'mian'ji 林木抚育面积
'lin'mu'qi'wang'jia 林木期望价
'lin'mu'xu'ji'liang 林木蓄积量
'ling'shou'shi'chang'shang'pin'gong'xu'ping'heng 零售市场商品供需平衡
'ling'shou'shi'chang'xiao'fei'pin'gong'xu'bi'lv 零售市场消费品供需比率
'ling'shou'shi'chang'xiao'fei'pin'gong'xu'cha'e 零售市场消费品供需差额
'ling'shou'shi'chang'xiao'fei'pin'gong'xu'cha'lv 零售市场消费品供需差率
'liu'dong'gou'mai'li 流动购买力
'liu'dong'zi'jin'zhou'zhuan'su'du 流动资金周转速度
'lv'ke'yun'shu'liang 旅客运输量
'lv'ke'zhou'zhuan'liang 旅客周转量
'lv'you'wai'hui'shou'ru 旅游外汇收入
'ma'tou'chang'du 码头长度
'mei'mu'cheng'ben 每亩成本
'mei'mu'geng'di'nong'ye'zong'chan'zhi 每亩耕地农业总产值
'mei'nong'ye'lao'dong'li'nong'ye'zong'chan'zhi 每农业劳动力农业总产值
'mei'nong'ye'ren'kou'ping'jun'geng'di'mian'ji 每农业人口平均耕地面积
'mei'ren'ping'jun'nong'chan'pin'chan'liang 每人平均农产品产量
'mei'yuan'huo'bi'yong'you'de'shang'pin'ku'cun'e 每元货币拥有的商品库存额
'min'hang'fei'ji'shi'you'shu 民航飞机实有数
'min'yong'hang'kong'hang'xian'li'cheng 民用航空航线里程
'nei'he'chang'du 内河长度
'nei'he'hang'dao'li'cheng 内河航道里程
'nei'zai'zi'ran'zeng'zhang'lv 内在自然增长率
'neng'yuan'jia'gong'zhuan'huan'xiao'lv'he'sun'shi'liang 能源加工转换效率和损失量
'neng'yuan'jie'yue'liang 能源节约量
'neng'yuan'jie'yue'lv 能源节约率
'neng'yuan'li'yong'jing'ji'xiao'yi 能源利用经济效益
'neng'yuan'sheng'chan'tan'xing'xi'shu 能源生产弹性系数
'neng'yuan'sheng'chan'zong'liang 能源生产总量
'neng'yuan'xiao'fei'zeng'zhang'xi'shu 能源消费增长系数
'neng'yuan'xiao'fei'zong'liang 能源消费总量
'neng'yuan'zhe'suan'xi'shu 能源折算系数
'neng'yuan'zi'yuan'yu'shi'yong'ping'heng'biao 能源资源与使用平衡表
'nian'ling'zhong'wei'shu 年龄中位数
'nian'shou'ru'lv 年收入率
'nian'xian'zong'he'zhe'jiu'fa 年限总和折旧法
'niu'nai'chan'liang'he'ji'nai'lv 牛奶产量和挤奶率
'nong'chan'pin'cheng'ben 农产品成本
'nong'chan'pin'cheng'ben'zhi'shu 农产品成本指数
'nong'chan'pin'sheng'chan'cheng'ben'diao'cha 农产品生产成本调查
'nong'cun'gong'ye'pin'ling'shou'jia'ge'zhi'shu 农村工业品零售价格指数
'nong'cun'gong'ye'zong'chan'zhi 农村工业总产值
'nong'cun'hu'shu'he'ren'kou'shu 农村户数和人口数
'nong'cun'ji'lei'yu'xiao'fei'bi'li 农村积累与消费比例
'nong'cun'jian'zhu'ye'zong'chan'zhi 农村建筑业总产值
'nong'cun'jing'ji'chou'yang'diao'cha 农村经济抽样调查
'nong'cun'jing'ji'chun'shou'ru 农村经济纯收入
'nong'cun'jing'ji'diao'cha 农村经济调查
'nong'cun'jing'ji'lian'he'ti 农村经济联合体
'nong'cun'jing'ji'zong'fei'yong 农村经济总费用
'nong'cun'jing'ji'zong'shou'ru 农村经济总收入
'nong'cun'lao'dong'li 农村劳动力
'nong'cun'shang'ye'zong'chan'zhi 农村商业总产值
'nong'cun'she'hui'zong'chan'zhi 农村社会总产值
'nong'cun'sheng'yu'lao'dong'li 农村剩余劳动力
'nong'cun'yin'shi'ye'zong'chan'zhi 农村饮食业总产值
'nong'cun'yun'shu'ye'zong'chan'zhi 农村运输业总产值
'nong'cun'zhu'hu'diao'cha 农村住户调查
'nong'fu'chan'pin'de'biao'zhun'liang 农副产品的标准量
'nong'fu'chan'pin'de'shang'pin'liang'he'shang'pin'lv 农副产品的商品量和商品率
'nong'fu'chan'pin'de'zhe'he'liang 农副产品的折合量
'nong'fu'chan'pin'de'zhi'liang'xi'shu'he'zhi'liang'zhi'shu 农副产品的质量系数和质量指数
'nong'fu'chan'pin'de'zi'ran'liang 农副产品的自然量
'nong'fu'chan'pin'shou'gou 农副产品收购
'nong'fu'chan'pin'shou'gou'jia'ge'zhi'shu 农副产品收购价格指数
'nong'fu'chan'pin'shou'gou'lv 农副产品收购率
'nong'hu'quan'nian'chun'shou'ru 农户全年纯收入
'nong'hu'quan'nian'zong'shou'ru 农户全年总收入
'nong'hu'quan'nian'zong'zhi'chu 农户全年总支出
'nong'min'fu'dan'cheng'du 农民负担程度
'nong'min'ge'ren'suo'de 农民个人所得
'nong'min'jia'ting'fu'ye 农民家庭副业
'nong'min'nong'ye'sheng'chan'zi'liao'gou'mai'li 农民农业生产资料购买力
'nong'min'sheng'chan'xing'huo'bi'shou'zhi'biao 农民生产性货币收支表
'nong'ye'gu'ding'zi'chan 农业固定资产
'nong'ye'gu'ding'zi'chan'yuan'zhi'he'jing'zhi 农业固定资产原值和净值
'nong'ye'hu'shu'he'ren'kou'shu 农业户数和人口数
'nong'ye'ji'xie'hua'shui'ping 农业机械化水平
'nong'ye'ji'xie'yong'you'liang 农业机械拥有量
'nong'ye'ji'xie'zong'dong'li 农业机械总动力
'nong'ye'jing'chan'zhi 农业净产值
'nong'ye'jing'ji'xiao'yi 农业经济效益
'nong'ye'lao'dong'sheng'chan'lv'zhi'shu 农业劳动生产率指数
'nong'ye'lao'dong'xiao'lv 农业劳动效率
'nong'ye'shang'pin'chan'liang 农业商品产量
'nong'ye'shang'pin'chan'zhi 农业商品产值
'nong'ye'sheng'chan'yong'di'mian'ji 农业生产用地面积
'nong'ye'shui'li'hua'shui'ping 农业水利化水平
'nong'ye'tong'ji 农业统计
'nong'ye'yong'di'mian'ji 农业用地面积
'nong'ye'zong'chan'zhi 农业总产值
'nong'yong'tuo'la'ji'tai'shu 农用拖拉机台数
'nong'zuo'wu'chan'liang'chou'yang'diao'cha 农作物产量抽样调查
'nong'zuo'wu'chan'liang'gu'chan'fang'fa 农作物产量估产方法
'nong'zuo'wu'chan'liang'tui'suan'fang'fa 农作物产量推算方法
'nong'zuo'wu'zong'chan'liang 农作物总产量
'ping'jun'cha 平均差
'ping'jun'chu'hun'nian'ling 平均初婚年龄
'ping'jun'dan'wei'zong'he'sheng'chan'neng'li'tou'zi 平均单位综合生产能力投资
'ping'jun'fa'zhan'su'du 平均发展速度
'ping'jun'ren'kou'shu 平均人口数
'ping'jun'shi'dai'jian'ge 平均世代间隔
'ping'jun'shu'zhi'shu 平均数指数
'ping'jun'si'wang'nian'ling 平均死亡年龄
'ping'jun'yu'qi'shou'ming 平均预期寿命
'ping'jun'yun'ju 平均运距
'ping'jun'zeng'zhang'liang 平均增长量
'ping'jun'zeng'zhang'su'du 平均增长速度
'ping'jun'zhi'biao 平均指标
'pu'cha 普查
'qi'che'che'dun'wei'chan'liang 汽车车吨位产量
'qi'che'gong'zuo'lv'ting'shi'lv'he'wan'hao'lv 汽车工作率停驶率和完好率
'qi'che'shi'zai'lv 汽车实载率
'qi'wang'zhi 期望值
'qi'ye'neng'yuan'xiao'fei'ping'heng'biao 企业能源消费平衡表
'qi'ye'shou'ru'neng'yuan'xiao'fei'liang 企业收入能源消费量
'qing'zhong'gong'ye'fen'zu 轻重工业分组
'quan'bu'chan'pin'cheng'ben'ji'hua'wan'cheng'cheng'du 全部产品成本计划完成程度
'quan'bu'ke'bi'chan'pin'cheng'ben'ji'hua'wan'cheng'cheng'du 全部可比产品成本计划完成程度
'quan'ju 全距
'quan'she'hui'gu'ding'zi'chan'tou'zi 全社会固定资产投资
'quan'she'hui'ling'shou'jia'ge'zhi'shu 全社会零售价格指数
'quan'you'gong'cheng'lv 全优工程率
'ren'jun'guo'min'sheng'chan'zong'zhi 人均国民生产总值
'ren'jun'guo'min'shou'ru 人均国民收入
'ren'jun'guo'nei'sheng'chan'zong'zhi 人均国内生产总值
'ren'jun'she'hui'zong'chan'zhi 人均社会总产值
'ren'jun'shou'ru'zhi'shu 人均收入指数
'ren'kou'bei'zeng'shi'jian 人口倍增时间
'ren'kou'jin'zi'ta 人口金字塔
'ren'kou'jing'chang'deng'ji 人口经常登记
'ren'kou'mi'du 人口密度
'ren'kou'min'zu'gou'cheng 人口民族构成
'ren'kou'nian'ling'gou'cheng 人口年龄构成
'ren'kou'pu'cha 人口普查
'ren'kou'pu'cha'de'biao'zhun'shi'jian 人口普查的标准时间
'ren'kou'pu'cha'xiang'mu 人口普查项目
'ren'kou'qian'yi'lv 人口迁移率
'ren'kou'tong'ji 人口统计
'ren'kou'wen'hua'jiao'yu'gou'cheng 人口文化教育构成
'ren'kou'xing'bie'gou'cheng 人口性别构成
'ren'kou'zai'sheng'chan'lv 人口再生产率
'ren'kou'zeng'zhang'lv 人口增长率
'ren'kou'zhi'ye'gou'cheng 人口职业构成
'ren'kou'zong'shu 人口总数
'ren'min'sheng'huo'tong'ji 人民生活统计
'ren'zao'lin'mu'sheng'zhang'liang 人造林木生长量
'san'ci'chan'ye'fen'lei'fa 三次产业分类法
'sen'lin'huo'zai 森林火灾
'sen'lin'mian'ji 森林面积
'shang'pin'chun'liu'zhuan 商品纯流转
'shang'pin'gou'jin 商品购进
'shang'pin'jia'gong 商品加工
'shang'pin'ku'cun 商品库存
'shang'pin'ling'shou'liu'zhuan 商品零售流转
'shang'pin'liu'tong'fei'yong'lv'sheng'jiang'cha'he'sheng'jiang'su'du 商品流通费用率升降差和升降速度
'shang'pin'liu'zhuan 商品流转
'shang'pin'liu'zhuan'huan'jie'ci'shu 商品流转环节次数
'shang'pin'liu'zhuan'su'du 商品流转速度
'shang'pin'pi'fa'liu'zhuan 商品批发流转
'shang'pin'xiao'shou'fen'lei 商品销售分类
'shang'pin'zhi'da'diao'bo'lv 商品直达调拨率
'shang'pin'zong'liu'zhuan 商品总流转
'shang'ye'tong'ji 商业统计
'shang'ye'wang'dian'shu 商业网点数
'shang'ye'wang'mi'du 商业网密度
'shang'ye'zong'chan'zhi'he'jing'chan'zhi 商业总产值和净产值
'shao'nian'er'tong'ru'kou'bi'zhong 少年儿童入口比重
'she'hui'chan'pin'ping'heng'biao 社会产品平衡表
'she'hui'fu'dan'xi'shu 社会负担系数
'she'hui'ji'tuan'gong'yong'xiao'fei'pin'gou'mai'li 社会集团公用消费品购买力
'she'hui'jing'ji'tong'ji 社会经济统计
'she'hui'lao'dong'li'zi'yuan 社会劳动力资源
'she'hui'lao'dong'li'zi'yuan'ping'heng'biao 社会劳动力资源平衡表
'she'hui'lao'dong'zhe'gou'cheng 社会劳动者构成
'she'hui'lao'dong'zhe'zong'shu 社会劳动者总数
'she'hui'lao'wu'jing'zhi 社会劳务净值
'she'hui'lao'wu'zeng'jia'zhi 社会劳务增加值
'she'hui'lao'wu'zong'zhi 社会劳务总值
'she'hui'shang'pin'gong'ying'liang 社会商品供应量
'she'hui'shang'pin'gou'mai'li 社会商品购买力
'she'hui'shang'pin'gou'mai'li'de'shi'xian'cheng'du 社会商品购买力的实现程度
'she'hui'shang'pin'gou'mai'li'tou'xiang 社会商品购买力投向
'she'hui'shang'pin'gou'mai'li'zong'biao 社会商品购买力总表
'she'hui'shang'pin'ling'shou'zong'e 社会商品零售总额
'she'hui'sheng'chan'wu'zhi'xiao'hao'lv 社会生产物质消耗率
'she'hui'tong'ji'xue'pai 社会统计学派
'she'hui'wu'zhi'xiao'hao'zong'e 社会物质消耗总额
'she'hui'xiao'fei'pin'ling'shou'liang 社会消费品零售量
'she'hui'zong'chan'zhi 社会总产值
'she'hui'zong'cheng'ben'jing'chan'zhi'lv 社会总成本净产值率
'she'hui'zong'gong'ji'yu'she'hui'zong'xu'qiu 社会总供给与社会总需求
'she'hui'zui'chu'liu'zhuan 社会最初流转
'she'hui'zui'zhong'chan'zhi 社会最终产值
'she'hui'zui'zhong'liu'zhuan 社会最终流转
'sheng'chan'cheng'ben'lv 生产成本率
'sheng'chan'zhi'shu 生产指数
'sheng'chan'zi'jin'jing'chan'zhi'lv 生产资金净产值率
'sheng'chan'zi'liao'xiao'shou 生产资料销售
'sheng'chu'ti'zhong'chan'liang 牲畜体重产量
