'ai'xing'xi 矮星系
'tou'jing'zhuang'xing'xi 透镜状星系
'tu'an'su'du 图案速度
'tuan'xing'xi 团星系
'tui'ou'qi 退耦期
'tui'xing'su'du 退行速度
'tuo'yuan'xing'xi 椭圆星系
'wan'quan'yu'zhou'xue'yuan'li 完全宇宙学原理
'wan'xing'xing'xi 晚型星系
'wen'heng'tai'yu'zhou'lun 稳衡态宇宙论
'wo'zhuang'xing'xi 涡状星系
'wu'xian'xing'xi'tuan 武仙星系团
'wu'zhi'fan'wu'zhi'yu'zhou'lun 物质反物质宇宙论
'wu'zhi'ge'yang'miu 物质格佯谬
'wu'zhi'zhan'you'qi 物质占优期
'xian'nv'ci'xing'xi'qun 仙女次星系群
'xian'nv'xing'xi 仙女星系
'xiang'dui'lun'yu'zhou'lun 相对论宇宙论
'xiao'mai'yun 小麦云
'xiao'xiong'xing'xi 小熊星系
'xie'hu'tian'ti 蝎虎天体
'xing'xi 星系
'xing'xi'dui 星系对
'xing'xi'he 星系核
'xing'xi'he'huan 星系核环
'xing'xi'he'xing'xi'tuan'biao 星系和星系团表
'xing'xi'ji'chen'ai 星系际尘埃
'xing'xi'ji'qi'ti 星系际气体
'xing'xi'ji'qiao 星系际桥
'xing'xi'ji'wu'zhi 星系际物质
'xing'xi'ji'xi'shou 星系际吸收
'xing'xi'ji'yun 星系际云
'xing'xi'jie'gou 星系结构
'xing'xi'mian 星系冕
'xing'xi'pan 星系盘
'xing'xi'qun 星系群
'xing'xi'tuan 星系团
'xing'xi'tuan'nei'qi'ti 星系团内气体
'xing'xi'tun'shi 星系吞食
'xing'xi'xing'cheng 星系形成
'xing'xi'yan'hua 星系演化
'xing'xi'yun 星系晕
'xing'xi'zi'zhuan 星系自转
'xing'yun'xing'tuan'xin'zong'biao 星云星团新总表
'xuan'bi 旋臂
'xuan'wo'xing'xi 旋涡星系
'ya'ling'zhuang'xing'xi 哑铃状星系
'yan'hua'xiao'ying 演化效应
'yin'li'bu'wen'ding'xing 引力不稳定性
'yin'zhi'liang 隐质量
'yu'fu'xing'xi 玉夫星系
'yu'zhou 宇宙
'yu'zhou'bei'jing'fu'she 宇宙背景辐射
'yu'zhou'chang'shu 宇宙常数
'yu'zhou'da'chi'du'jie'gou 宇宙大尺度结构
'yu'zhou'dao 宇宙岛
'yu'zhou'nian'ling 宇宙年令
'yu'zhou'ping'jun'mi'du 宇宙平均密度
'yu'zhou'qi'dian 宇宙奇点
'yu'zhou'shi'jie 宇宙世界
'yu'zhou'wei'bo'bei'jing'fu'she 宇宙微波背景辐射
'yu'zhou'wei'bo'fu'she 宇宙微波辐射
'yu'zhou'wei'li'ding'li 宇宙位力定理
'yu'zhou'xue 宇宙学
'yu'zhou'xue'hong'yi 宇宙学红移
'yu'zhou'xue'yuan'li 宇宙学原理
'yu'zhou'yu'zhou'mo'xing 宇宙宇宙模型
'yuan'xing'xi 原星系
'zao'qi'yu'zhou 早期宇宙
'zao'xing'xing'xi 早型星系
'zheng'chang'she'xian'bei'jing'fu'she 正常射线背景辐射
'zheng'chang'shi'wo'xing'xi 正常施涡星系
'zheng'chang'xing'xi 正常星系
'zhi'guang'bi 质光比
'zhi'mi'xing'xi 致密星系
'zi'zhuan'qu'xian 自转曲线
'zong'xing'xi 总星系
