'wei'yu'gui 梶裕贵
'wu'lie 乌列
'wu'xian'long'shen 无限龙神
'xi'di 西迪
'xi'gu'jia'zheng 细谷佳正
'xi'hai'long'tong 西海龙童
'xi'ming'ri'xiang 西明日香
'xia'lu'ba'bie'xi'bu 夏鲁巴别西卜
'xian'wei'she 衔尾蛇
'xiao'bai 小白
'xiao'cang'wei 小仓唯
'xiao'mao 小猫
'xiao'shan'li'ye 小山力也
'xiao'song'wei'ke'zi 小松未可子
'xiao'ze'ya'li 小泽亚李
'xie'long'zhi'hei'yan 邪龙之黑炎
'xie'mu'ha'sa 谢姆哈萨
'xin'yue'de'an'hei'long 新月的暗黑龙
'xun'ba'bing 巡巴柄
'ya'se'pan'de'la'gong 亚瑟潘德拉贡
'ya'se'wang 亚瑟王
'ye'dao'jian'er 野岛健儿
'ye'meng'jia'de 耶梦加得
'yi'cheng 一诚
'yi'ku'si 伊库斯
'yi'ku'si'ji'meng'li 伊库斯吉蒙里
'yi'teng'jing 伊藤静
'yin'fa'de'jian'mie'nv'wang 银发的歼灭女王
'ying'jing'hao'mei 樱井浩美
'yong'heng'zhi'qiang 永恒之枪
'yong'yuan'de'bing'ji 永远的冰姬
'you'liang'yi'sha 由良翼纱
'you'shi'de'sheng'bei 幽世的圣杯
'yu'long 玉龙
'yuan'bin 元滨
'zhan'che 战车
'zhen'bai'long'shen'huang 真白龙神皇
'zhen'chi'long'shen'di 真赤龙神帝
'zhen'de 贞德
'zhen'luo'chun'ji 真罗椿姬
'zhi'qu'cang'na 支取苍那
'zhong'cun'you'yi 中村悠一
'zhong'guo'zhuo'lang 中国卓郎
'zhong'mo'zhi'ju'long 终末之巨龙
'zhong'tian'li'sha 种田梨沙
'zhu'da'cai'nai 竹达彩奈
'zhu'nei'liang'tai 竹内良太
'zhu'shen'de'huang'hun 诸神的黄昏
'zhui'yi'zhi'jing 追忆之镜
'zi'an'wu'ren 子安武人
'zi'teng'yi'li'na 紫藤伊莉娜
'zi'yan'ji'zhu'de'zhe'tai 紫炎祭主的磔台
'zou'fang'bu'shun'yi 诹访部顺一
'zui'ke'zhi'yu'yan'long'wang 罪科之狱炎龙王
'zuo'cang'ling'yin 佐仓绫音
