'an'gang 暗杠
'wu'tong'kai'hua 五筒开花
'wu'wan 五万
'wu'xiang'ting 五向听
'wu'xin'tong'guan 五心通贯
'xi'er'ju 西二局
'xi'feng 西风
'xi'jia 西家
'xi'ru 西入
'xi'san'ju 西三局
'xi'si'ju 西四局
'xi'yi'ju 西一局
'xian'wu 现物
'xiang'ting 向听
'xiao'che'lun 小车轮
'xiao'ming'gang 小明杠
'xiao'san'yuan 小三元
'xiao'si'xi 小四喜
'xiao'si'xi'he 小四喜和
'xiao'si'xi'hu 小四喜胡
'xiao'xiang'gong 小相公
'xing'shi'ting'pai 形式听牌
'xing'ting 形听
'xuan'shang'pai 悬赏牌
'yan'fan 燕返
'yao'jiu'pai 幺九牌
'yi'bai'dian'bang 一百点棒
'yi'bei'kou 一杯口
'yi'ben'chang 一本场
'yi'bing 一饼
'yi'bing'mo'yue 一饼摸月
'yi'dian'hong 一点红
'yi'fan 一番
'yi'man 役满
'yi'pai 役牌
'yi'pao'san'xiang 一炮三向
'yi'pao'shuang'xiang 一炮双响
'yi'qi'tong'guan 一气通贯
'yi'qi'tong'guan'quan'dai'yao'jiu 一气通贯全带幺九
'yi'qian'dian'bang 一千点棒
'yi'se'san'shun 一色三顺
'yi'se'si'shun 一色四顺
'yi'suo 一索
'yi'tiao 一条
'yi'tiao'long 一条龙
'yi'tong 一筒
'yi'tong'mo'yue 一筒摸月
'yi'wan 一万
'yi'wan'dian'bang 一万点棒
'yi'zhong 役种
'zhen'ting 振听
'zhi'ji 直击
'zhong'fa'bai 中发白
'zhong'zhang'pai 中张牌
'zhuang'feng'pai 庄风牌
'zi'feng 自风
'zi'feng'pai 自风牌
'zi'jia 子家
'zi'mo 自摸
'zi'mo'fu 自摸符
'zi'mo'he 自摸和
'zi'mo'hu 自摸胡
'zi'pai 字牌
'zi'yi'se 字一色
