'ban'ben 版本
'lian'suo'zu'zhi 连锁组织
'lian'ying'guan'li 联营管理
'ling'shou 零售
'ling'shou'jia 零售价
'ling'shou'kai'dan 零售开单
'ling'shou'tui'huo 零售退货
'ling'shou'ye'wu 零售业务
'men'dian 门店
'mo'ban 模版
'mo'ling'gong'neng 抹零功能
'mo'ling'guan'li 抹零管理
'mo'ling'gui'ze 抹零规则
'mo'ling'ti'shi 抹零提示
'mo'ren'zhi 默认值
'pan'dian 盘点
'pan'dian'dan 盘点单
'pan'dian'zhun'bei'dan 盘点准备单
'pan'kui 盘亏
'pan'ying 盘盈
'pei'huo'ji'hua 配货计划
'pei'huo'liang 配货量
'pi'liang'da'yin 批量打印
'piao'ju'cun'gen 票据存根
'pin'ming'gui'ge 品名规格
'qi'ding'liang 起订量
'qi'mo'ye'wu 期末业务
'qi'ta'chu'ku 其它出库
'qi'ta'ru'ku 其它入库
'qi'ye'tong'zhi 企业通知
'qi'yong'can'shu 启用参数
'qi'yong'zhuang'tai 启用状态
'ren'yuan'lei'bie 人员类别
'ren'yuan'quan'xian 人员权限
'ri'chang'shang'chuan 日常上传
'ri'chang'xia'zai 日常下载
'ri'qi'qu'zhi 日期取值
'ru'ku 入库
'ru'ku'can'zhao 入库参照
'ru'ku'cang'ku 入库仓库
'ru'ku'dan 入库单
'shang'pin 商品
'shang'pin'bian'ma 商品编码
'shang'pin'chao'chu 商品超储
'shang'pin'dang'an 商品档案
'shang'pin'fen'bu 商品分布
'shang'pin'hui'zong 商品汇总
'shang'pin'lai'yuan'qu'xiang 商品来源去向
'shang'pin'lei'bie 商品类别
'shang'pin'tiao'ma 商品条码
'she'ji'qi 设计器
'shen'he 审核
'shen'he'gang 审核岗
'shen'he'zhuang'tai 审核状态
'shi'pan 实盘
'shi'pan'dan 实盘单
'shi'pan'fu'he 实盘复核
'shi'xiao 实销
'shi'xiao'jia 实销价
'shi'yong'zhuang'tai 使用状态
'shou'fa'lei'bie 收发类别
'shou'huo'dan'wei 收货单位
'shou'huo'di'zhi 收货地址
'shou'kuan'que'ren 收款确认
'shou'kuan'ren'shou'kuan 收款人收款
'shou'kuan'xing'shi 收款形式
'shou'kuan'zhuang'tai 收款状态
'shu'ju'guan'li 数据管理
'shu'ju'jiao'huan 数据交换
'shu'ju'quan'xian 数据权限
'shui'e 税额
'shui'hao 税号
'shui'lv 税率
'tong'ji'cha'xun 统计查询
'tong'ji'ji'gou 统计机构
'tong'lu'guan'li 通路管理
'tui'hui'shang'ji 退回上级
'tui'huo'dan'wei 退货单位
'tui'huo'yuan'yin 退货原因
'xian'shi'tu'pian 显示图片
'xiao'piao'da'yin 小票打印
'xiao'shou 销售
'xiao'shou'fen'xi 销售分析
'xiao'shou'hui'zong'biao 销售汇总表
'xiao'shou'liang 销售量
'xiao'shou'pai'ming 销售排名
'xiao'shou'pei'huo 销售配货
'xin'yong 信用
'xin'yong'e'du 信用额度
'xu'lie'hao 序列号
'yang'pin'dang'an 样品档案
'yang'pin'guan'li 样品管理
'ye'wu'jue'se 业务角色
'ye'wu'yuan 业务员
'yi'dui'duo 一对多
'yi'dui'yi 一对一
'ying'fu 应付
'ying'fu'dan 应付单
'ying'shou 应收
'ying'shou'dan 应收单
'ying'shou'fen'xi 应收分析
'ying'shou'ying'fu 应收应付
'zeng'pin 赠品
'zhang'cun'shu'liang 账存数量
'zhang'tao 帐套
'zhang'tao'nei'cha'xun 帐套内查询
'zhe'kou'e 折扣额
'zhe'kou'jia 折扣价
'zhe'kou'lv 折扣率
'zheng'dan'can'zhao 整单参照
'zheng'dan'ying'fu 整单应付
'zheng'dan'ying'shou 整单应收
'zhi'dan'ren 制单人
'zhong'zhi'zhuang'tai 终止状态
'zhou'bian'zu'zhi 周边组织
'zhu'ci'ma 助词码
'zhu'ji'ma 助记码
'zhuang'xiang'gui'ge 装箱规格
'zhuang'xiang'ji'liang 装箱计量
'zhuang'xiang'shu'liang 装箱数量
'zi'dong'bao'jia 自动报价
'zui'da'jin'e 最大金额
'zui'xiao'jin'e 最小金额
'zuo'fei'zhuang'tai 作废状态
