'a'er'bo'te'shi'huai'zhe 阿尔伯特史怀哲
'cai'wang'le'ye'duo'man'chang 才忘了夜多漫长
'cang'er 苍耳
'cang'hai'yi'mo 沧海遗墨
'cang'he'jian 苍何剑
'cang'yi'shen'jun 沧夷神君
'ceng'jia 曾嘉
'ceng'xiang'si'xu'nuo 曾相思许诺
'ceng'yi'han'cuo'guo 曾遗憾错过
'cha'cha 茶茶
'cha'ye'dan 茶叶蛋
'chan'wei 禅位
'chang'di 嫦棣
'chang'di 长笛
'chang'hai'da'gong'zhu 长海大公主
'chang'hai'er'gong'zhu 长海二公主
'chang'hai'shui'jun 长海水君
'chang'he'dian 畅和殿
'chang'liu 长留
'chang'liu'hai'di 长留海底
'chang'liu'shan 长留山
'chang'liu'shang'xian 长留上仙
'chang'liu'xian'shan'si'hua'ren 长留仙山似画人
'chang'liu'zhang'men 长留掌门
'chang'sheng'da'di 长生大帝
'chang'xi 常喜
'chang'xiao'gong 常小攻
'chang'xiu 长修
'chang'yi 长依
'chen'chuan'wan 沉船湾
'chen'guai 嗔怪
'chen'gui'ren 陈贵人
'chen'hao 陈浩
'chen'hao'zhong 陈浩忠
'chen'ke'fan 陈柯帆
'chen'sai'sai 陈赛赛
'chen'ye 沉晔
'chen'ye'shen'jun 沉晔神君
'chen'yuan 尘缘
'chen'yuan'zhong 尘缘中
'cheng'an 承安
'cheng'da'xiao'cao 成大校草
'cheng'tian'tai 承天台
'cheng'yu 成玉
'cheng'yu'yuan'jun 成玉元君
'chi'hu'zu 赤狐族
'chi'yan'jin'ni'shou 赤炎金猊兽
'chi'yun'jun 叱云军
'chi'yun'nan 叱云南
'chi'yun'rou 叱云柔
'chi'zhi'mo'jun 赤之魔君
'chong'feng'wu'lu'ke 重逢乌鲁克
'chou'shan 绸扇
'chu'jun 褚珺
'chu'shi 初识
'chu'xiao'chen 楚小晨
'chuang'bian'suo'wen 窗边索吻
'chuang'shi'shen 创世神
'chun'ming 春茗
'chun'qiu'bu'bai 春秋不败
'chun'qiu'da'shen 春秋大婶
'ci'hang'zhen'ren 慈航真人
'ci'sheng'zhi'shou'yi'ge'tu'di 此生只收一个徒弟
'ci'xian 次仙
'ci'yu 茈萸
'cong'xiang'yu'de'na'yi'ke 从相遇的那一刻
'cui'lei'ling 催泪铃
'da'hong'huang 大洪荒
'da'luo'tian 大罗天
'da'zi'ming'gong 大紫明宫
'dai'si 代斯
'dai'yue'dong 代岳东
'dan'chun'qiu 单春秋
'dan'dan 蛋蛋
'dan'lu'yuan 丹露苑
'dan'ni'er 丹尼尔
'dan'ni'er'yi'sheng 丹尼尔医生
'dang'bei'huan'zai'ci'jiao'cuo 当悲欢再次交错
'dang'ni'zai'ci'shuo'ai'wo 当你再次说爱我
'dao'bu'jin'nan'she 道不尽难舍
'dao'de'tian'zun 道德天尊
'de'fei 德妃
'deng'tang 登堂
'deng'xian 登仙
'di'fang 地方
'di'fang'xuan'zhen'chi 地方玄镇尺
'di'hou 帝后
'di'ji 帝姬
'di'jun 帝君
'di'lao'tian'huang 地老天荒
'di'li're'ba 迪丽热巴
'di'xian 地仙
'die'feng 叠风
'die'feng'fu'jun 叠风父君
'die'yong 叠雍
'dong'chun'hui 董春辉
'dong'fang 东方
'dong'fang'die'die 东方爹爹
'dong'fang'liu'guang'qin 东方流光琴
'dong'fang'yi 东方异
'dong'fang'yu'qing 东方彧卿
'dong'fang'yu'qing'dong'fang'die'die 东方彧卿东方爹爹
'dong'fu 洞府
'dong'hai 东海
'dong'hai'bu'dui 东海部队
'dong'hai'long'gong 东海龙宫
'dong'hai'shui'jun 东海水君
'dong'hai'ying'zhou 东海瀛洲
'dong'hua 东华
'dong'hua'di'jun 东华帝君
'dong'hua'shang'xian 东华上仙
'dong'hua'zi'fu'shao'yang'jun 东华紫府少阳君
'dong'huang 东荒
'dong'huang'da'ze 东荒大泽
'dong'huang'nv'jun 东荒女君
'dong'huang'zhong 东皇钟
'dong'ling'mei'nv 冻龄美女
'dong'ping'wang 东平王
'dong'zhen 董贞
'dou'lan'gan 斗阑干
'dou'shi'jia'xiang 都是假象
'du'e'li'jie 渡厄历劫
'du'jie 渡劫
'du'jun'ze 杜俊泽
'du'xiu'jun 杜秀军
'duan'chang'hua 断肠花
'duan'nian'jian 断念剑
'duan'xiu 断袖
'dui'ni'de'nan'she 对你的难舍
'dui'ni'de'zhi'zhuo 对你的执着
'duo'hun'xiao 夺魂箫
'duo'xian 堕仙
'er'dian'xia 二殿下
'er'gong'zhu 二公主
'fa'du 法度
'fa'li 法力
'fa'shu 法术
'fan'hua 繁花
'fan'hua'luo'di'cheng'shuang 繁花落地成霜
'fan'hua'yi'shi'wu'se 繁华一时无色
'fan'jian 凡间
'fan'jie 凡界
'fan'nian 凡念
'fan'qing 凡情
'fan'shi 凡世
'fan'shi 反噬
'fan'xu 繁墟
'fan'yin'gu 梵音谷
'fang'ying 房迎
'fei'sheng 飞升
'fei'tian'zhen'ren 飞天真人
'fei'xian 飞仙
'fei'yan 诽颜
'fei'yan'zhang'men 绯颜掌门
'fei'ye'jian 绯夜剑
'fen'shen'shu 分身术
'feng'chui'kai'le'ji'yi'de'suo 风吹开了记忆的锁
'feng'huang'yan'lei 凤凰眼泪
'feng'huang'yu'huo 凤凰浴火
'feng'jiu 凤九
'feng'jiu'dian'xia 凤九殿下
'feng'qi'qi'wu'mang'mang 风凄凄雾茫茫
'feng'san 凤三
'feng'shuang'yi'jian'bai'zi'hua 风霜一剑白子画
'feng'xing 奉行
'feng'yu'hua 凤羽花
'feng'zu 凤族
'fo'ling'zhi'hua 佛铃之花
'fo'tuo 佛陀
'fu'chen'wang'nian 浮沉妄念
'fu'chen'zhu 浮沉珠
'fu'hua'feng 付华锋
'fu'jun 父君
'fu'mi'xian'mu 伏觅仙母
'fu'mo'shi 缚魔石
'fu'mu'gui 腐木鬼
'fu'qiang'nei'chu'xie 腹腔内出血
'fu'rong'yu'dai'tang 芙蓉玉带汤
'fu'shen 父神
'fu'shi'nian 浮世念
'fu'tu'dao'zhang 浮屠道长
'fu'tu'san'sheng 浮屠三生
'fu'xi'qin 伏羲琴
'fu'yu'shan 符禹山
'fu'zi 夫子
'gan'cao 甘草
'gan'cao'shi'jin'zhong 甘草什锦盅
'gan'li'ying 甘丽影
'gao'chen 高琛
'gao'wei'guang 高伟光
'gao'yang'wang 高阳王
'ge'zhu 阁主
'gong'dai 宫带
'gong'hua 宫花
'gong'ling 宫铃
'gong'ling'sui 宫铃碎
'gong'mu 宫木
'gong'shi 宫石
'gong'yu 宫玉
'gong'yu 宫羽
'gou'lan'yu 勾栏玉
'gou'qi'yan'di'de'ji'mo 勾起眼底的寂寞
'gou'yu 勾玉
'gu'chou'jun 孤栦君
'gu'du'he'cui'ruo'bei'tong'qian'che 孤独和脆弱被痛牵扯
'gu'gu 姑姑
'gu'tou 骨头
'gu'tou'niang'qin 骨头娘亲
'gu'tou'niang'qin'qian'gu 骨头娘亲千骨
'guan'ming'tian'hui'zen'yang 管明天会怎样
'gui'jun 鬼君
'gui'xin 归心
'gui'zu 鬼族
'gui'zu'zhi'luan 鬼族之乱
'hai'xing'yi'liao'dui 海星医疗队
'hai'xing'yi'yuan 海星医院
'hai'xuan'mu 海轩木
'hai'you'ji'fen 还有几分
'han'dan'yuan 菡萏院
'han'ju 韩剧
'hao'jin'suo'you'mu'guang 耗尽所有暮光
'hao'tian'ta 昊天塔
'hao'xiang'shi'guang'ting'liu 好想时光停留
'he'jin'jiu 合卺酒
'he'wei 贺伟
'he'xi'wang 河西王
'he'xu'jian 合虚剑
'hei'gou'xue 黑狗血
'hei'long 黑龙
'hei'zi 黑子
'heng'ji'shou 哼唧兽
'heng'shuang'jian 横霜剑
'hong'chen'jie'lian 红尘劫恋
'hong'huang'chu'shi 洪荒出世
'hong'huang'zhi'li 洪荒之力
'hong'yan'ying 红炎影
'hong'yu'jun'zhu 红玉郡主
'hou'rui'xiang 侯瑞祥
'hu'di 狐帝
'hu'lao 虎牢
'hu'qi'kuang'mo 护妻狂魔
'hu'qing'qiu 狐青丘
'hua'bu'yu 花不语
'hua'chong 滑虫
'hua'dao 花岛
'hua'fen'luo'yi'wei'ni'lai'guo 花纷落以为你来过
'hua'gu'cheng'sha 画骨成沙
'hua'gu'fu'fu 画骨夫妇
'hua'gu'leng 花骨冷
'hua'hua'jie'jie 花花姐姐
'hua'kai'hua'luo 花开花落
'hua'kui 花魁
'hua'lian'cun 花莲村
'hua'luo'tian 花洛恬
'hua'qian'gu 花千骨
'hua'qian'gu'ci'ku'da'quan'zhong'bao'han'de'ci'tiao 花千骨词库大全中包含的词条
'hua'qian'gu'xiao'gu'gu'tou 花千骨小骨骨头
'hua'qian'qiu 花千球
'hua'qian'shang 花千殇
'hua'qing'tou'gu 画情透骨
'hua'shen'lei 花神泪
'hua'sui'qian'gu 花碎千骨
'hua'xiu'cai 花秀才
'hua'zuo'chun'ni'he'hu'zhe'wo 化作春泥呵护着我
'huan'si'ling 幻思铃
'huan'xi'yan 幻夕颜
'huan'yan'shu 换颜术
'huan'yi'ju 浣衣局
'huang'meng'ying 黄梦莹
'huang'quan'lu 黄泉路
'huang'tian'qi 黄天崎
'hui'lang'jing 灰狼精
'hui'yao 晖耀
'hui'yi'zhong'lei'shi'tou'le'qing'feng 回忆中泪湿透了清风
'hun'dun 混沌
'huo'feng 火凤
'huo'feng'huang 火凤凰
'huo'jian'hua 霍建华
'huo'qi'lin 火麒麟
'huo'xi 火夕
'ji'guan'lin 季冠霖
'ji'heng 姬蘅
'ji'ji'zhong'ji 积极仲基
'ji'na 汲纳
'ji'yuan 机缘
'ji'yue'qiang 戟越枪
'ji'zhao 吉兆
'jia'yun 伽昀
'jian'bu'duan'jiu'ge 剪不断纠葛
'jian'duan'nian 剑断念
'jiang'kai 蒋恺
'jiang'ming'yang 江明洋
'jiang'mu'yan 姜暮烟
'jiang'xin 蒋欣
'jiang'xin'ri 姜信日
'jiang'yi'ming 蒋一铭
'jiao'ren'yi'zu 鲛人一族
'jiao'ren'zu 鲛人族
'jie'bu'kai'yin'guo 解不开因果
'jie'hui 劫灰
'jie'hun'deng 结魂灯
'jie'jie 结界
'jie'lv'jun'zhu 洁绿郡主
'jie'pin 阶品
'jie'po'deng 结魄灯
'jie'you'quan 解忧泉
'jin'chi'da'peng 金翅大鹏
'jin'en'shu 金恩淑
'jin'feng 金丰
'jin'jiu 晋久
'jin'min'shuo 金敏硕
'jin'ni'shou 金猊兽
'jin'qi'fan 金起范
'jin'sheng'yu'jian'gun'tang 今生愈渐滚烫
'jin'yuan'xi 金元锡
'jin'zhi'yuan 金智媛
'jing'chun 精纯
'jing'shen'tu'teng 精神图腾
'jing'wu 静悟
'jiu'chong'bao'ta 九重宝塔
'jiu'chong'tian 九重天
'jiu'chong'tian'tai'zi 九重天太子
'jiu'chong'tian'yu'yi 九重天御医
'jiu'chong'tian'zhi'zhu 九重天之主
'jiu'er 九儿
'jiu'ge'gong'zhu 九歌公主
'jiu'ge'zhang'lao 九阁长老
'jiu'gong'zhu 九公主
'jiu'jiu 九九
'jiu'rang'qing'fen'luo'jiu'chen 就让情分落九尘
'jiu'suan'fei'e'pu'huo 就算飞蛾扑火
'jiu'suan'mei'you'ru'guo 就算没有如果
'jiu'wei'bai'hu 九尾白狐
'jiu'wei'hong'hu 九尾红狐
'jiu'xiao'ta 九霄塔
'jiu'ya'tou 九丫头
'jiu'zhou'beng 九州崩
'ju'hao'er 鞠好儿
'ju'nuo 橘诺
'jue'dai'guo'guo 绝代果果
'jue'qian'gu 绝千骨
'jue'qing'chi 绝情池
'jue'qing'chi'shui 绝情池水
'jue'qing'dian 绝情殿
'jue'qing'zhen 绝情镇
'jun'ji'shan 俊疾山
'jun'lan'yuan 君兰苑
'jun'qian'huan 君千幻
'jun'shang 君上
'jun'tao 君桃
'jun'wei 君位
'jun'xuan'mo 君轩墨
'jun'zhu 郡主
'kai'fu'shou'shu 开腹手术
'kan'fang'hua'zui'chun'feng 看芳华醉春风
'kan'xin 勘心
'ke'er'shui'xin'lian 可儿水馨莲
'kong'bu'fen'zi 恐怖分子
'kong'li'yang 孔丽阳
'kong'tong'yin 崆峒印
'kong'xia'shi 孔下士
'kong'zhe'gao 孔哲镐
'ku'deng'cheng'hui 枯等成灰
'kuang'ye'tian 旷野天
'kuang'ye'xing 旷野星
'kun'lun'jing 昆仑镜
'kun'lun'shan 昆仑山
'kun'lun'xu 昆仑虚
'kun'lun'xu'shang'shen 昆仑虚上神
'lai'yi 赖艺
'lan'dong 蓝洞
'lan'yu'hui 蓝羽灰
'lan'yu'lan'feng 蓝雨澜风
'lang'ge'ge 朗哥哥
'lao'fu'ren 老夫人
'lao'shan 崂山
'lao'shan'pai 崂山派
'le'xu 乐胥
'lei'hua'luo 泪滑落
'lei'shi'qing'yuan 累世情缘
'lei'xing 雷刑
'leng'hai'ming 冷海铭
'leng'yue'yin'he 冷月吟荷
'li'beng'yue'huai 礼崩乐坏
'li'chang'le 李常乐
'li'chang'ru 李常茹
'li'chun 李纯
'li'dong 李栋
'li'dong'heng 李东恒
'li'en'sheng 李恩晟
'li'ge'ji 离歌祭
'li'guang'zhu 李光洙
'li'hua'xin'yi 李华欣怡
'li'ji'ye 李基业
'li'jie 历劫
'li'jing 离镜
'li'lian 历练
'li'meng 李蒙
'li'min'de 李敏德
'li'min'feng 李敏峰
'li'shang'shu 李尚书
'li'shi'meng 李诗萌
'li'tong 李彤
'li'wei'yang 李未央
'li'xiao'ran 李萧然
'li'xin'ai 李心艾
'li'xin'yi 李芯逸
'li'yi'hua 李艺花
'li'ying'fu 李应福
'li'yu 离宇
'li'yuan 离怨
'li'zhen'ji 李珍基
'li'zhi'xun 李致勋
'lian'cheng 莲城
'lian'cheng'cheng'zhu 莲城城主
'lian'chi 莲池
'lian'dan'lu 炼丹炉
'lian'he'guo'wei'he'bu'dui 联合国维和部队
'lian'san'dian'xia 连三殿下
'lian'song 连宋
'lian'song'jun 连宋君
'lian'song'shen'jun 连宋神君
'lian'yao'hu 炼妖壶
'lian'yi'ming 连奕名
'liang'liang 凉凉
'liang'sheng'zhou 两生咒
'liang'wang 凉王
'liang'zhen'lun 梁振伦
'liao'mei 撩妹
'liao'mei'ji'neng 撩妹技能
'lie'xing'yun 烈行云
'lie'xing'zha'dan 烈性炸弹
'lin'er 麟儿
'lin'lang'ge 琳琅阁
'lin'liang'shi 林良使
'lin'mei'yan 林美艳
'lin'sui'yi 林随意
'lin'yu'fen 林玉芬
'ling'bao'tian'zun 灵宝天尊
'ling'cen 凌岑
'ling'chong 灵虫
'ling'hu 灵狐
'ling'hu'zu 灵狐族
'ling'ji'qin 灵机琴
'ling'ren 灵人
'ling'shou 灵兽
'ling'shu'tai 灵梳台
'ling'xian 灵仙
'ling'yan 泠魇
'ling'yin 聆音
'ling'yu 令羽
'ling'yue'gong 灵越宫
'ling'zhen'he 凌振赫
'liu'chang 刘畅
'liu'gu'hao 刘顾浩
'liu'guang'qin 流光琴
'liu'guang'yi'cai'de'deng'huo 流光溢彩的灯火
'liu'huo 流火
'liu'huo'fei'tong 流火绯瞳
'liu'jie'di'yi'gao'shou 六界第一高手
'liu'jie'di'yi'kou'shi'xin'fei 六界第一口是心非
'liu'jie'di'yi'leng'mo 六界第一冷漠
'liu'jie'di'yi'mei'nan 六界第一美男
'liu'jie'di'yi'zhuang'qiang'zuo'shi 六界第一装腔作势
'liu'jie'mie 六界灭
'liu'jie'quan'shu 六界全书
'liu'jie'zui'mei'zhi'ren 六界最美之人
'liu'li'gua 琉璃挂
'liu'mei'lin 刘玫麟
'liu'ning 刘宁
'liu'rui'lin 刘芮麟
'liu'shi'zhen 刘时镇
'liu'shi'zhen 柳时镇
'liu'wei 刘微
'liu'wei'min 刘卫民
'liu'xia 琉夏
'liu'xiao'wan 刘小婉
'liu'xiao'ye 刘晓晔
'liu'yi'fei 刘亦菲
'liu'ying 柳映
'liu'yun 流芸
'long'hua 龙华
'long'shu'pu'sa 龙树菩萨
'long'zu 龙族
'lu'jun'te'zhan'si'ling'bu 陆军特战司令部
'lu'mei'fang 陆梅芳
'lu'xu 芦旭
'lu'zhan'dui 陆战队
'lu'zhi'xing 路知行
'luan'jie 栾杰
'lun'hui 轮回
'lun'hui'zhong 轮回中
'luo'he'dong 洛河东
'luo'hua'man'tian 落花满天
'luo'hua'you'yi'liu'shui'wu'qing 落花有意流水无情
'luo'jin 罗晋
'luo'qi 洛麒
'luo'qing'li 珞清璃
'luo'ru'fan'chen'shang'qing'zhe'wo 落入凡尘伤情着我
'luo'shi'yi 落十一
'luo'shu 洛书
'luo'xuan 洛轩
'luo'yan'shi'han 落嫣诗涵
'lv'qiao 绿鞘
'lv'xiu 绿袖
'lv'xiu'gong'zhu 绿袖公主
'ma'ke 马可
'ma'rui 马睿
'ma'tai'shou 马太守
'man'huang 蛮荒
'man'huang'xian 蛮荒陷
'man'tian 漫天
'mao'mao'tou 毛毛头
'mao'shan 茅山
'mao'shan'pai 茅山派
'mao'xiao'tong 毛晓彤
'mei'jun'san'jiao'zhou 美军三角洲
'mei'yun 梅云
'mei'zi'dong'gao 梅子冻糕
'meng'chun'yuan 孟春院
'meng'da'ge 孟大哥
'meng'hao 孟昊
'meng'shao 萌少
'meng'xiang'liang 孟祥亮
'meng'xuan'cong 孟玄聪
'meng'xuan'lang 孟玄朗
'meng'xuan'lang'lang'ge'ge'meng'da'ge 孟玄朗朗哥哥孟大哥
'mi'gu 迷谷
'mi'gu'hua 迷谷花
'mi'gu'lao'er 迷谷老儿
'mi'gu'shu 迷谷树
'mi'gu'shu'jing 迷谷树精
'mi'hun'bai'guo'rou 迷魂百果肉
'miao'hua'jing 妙华镜
'miao'luo 缈落
'miao'yi'hui'ming'jing 妙义慧明境
'min'sheng'jian 悯生剑
'min'su 闽酥
'ming'fan'xian 冥梵仙
'ming'ge 命格
'ming'jie 冥界
'ming'mie'le'jie'po'guang'mang 冥灭了结魄光芒
'ming'shu 明叔
'miu'qing 缪清
'miu'qing'gong'zhu 缪清公主
'mo'bing'xian 墨冰仙
'mo'fa'ding'dan 魔法订单
'mo'gu 殁骨
'mo'hu 魔狐
'mo'jie 魔界
'mo'jun 魔君
'mo'qian'qian 蓦浅浅
'mo'shang'chi 陌上迟
'mo'shang'hua'gu 陌上画骨
'mo'tou'sha 摸头杀
'mo'wan 墨宛
'mo'xiao'sheng 莫小声
'mo'yan 摩严
'mo'yuan 墨渊
'mo'yuan'shang'shen 墨渊上神
'mo'zu 魔族
'mou'feng'bin 牟凤彬
'mu'shen 母神
'mu'tong 沐童
'na'mo'yue 南无月
'na'pa'hai'jiao'tian'ya 哪怕海角天涯
'na'pa'zhu'ding'liu'lang 哪怕注定流浪
'na'yi'di'li'bie'de'lei 那一滴离别的泪
'na'yi'ke 那一刻
'nai'he'qiao 奈何桥
'nai'nai 奈奈
'nan'fang 南方
'nan'fang'huan'si'ling 南方幻思铃
'nan'huang 南荒
'nan'xian'yue 南弦月
'nan'yao'yao'tao'hua'liang 男夭夭桃花凉
'ni'de'gong'ling'diao'le 你的宫铃掉了
'ni'hui'wang'ji'le'wo 你会忘记了我
'ni'man'tian 霓漫天
'ni'man'tian'man'tian'tian'er 霓漫天漫天天儿
'ni'qian'zhang 霓千丈
'ni'shang'yu'yi'mi'ji 霓裳羽衣秘籍
'ni'shi'fou'ye'xin'dong 你是否也心动
'ni'zai'yuan'fang'tiao'wang 你在远方眺望
'niang'qin 娘亲
'nie'chu'yin 聂初寅
'nie'gen 孽根
'ning'jie'zai'xin'po 凝结在心魄
'nuo'mi'tuan'zi 糯米团子
'nv'di 女帝
'nv'jun 女君
'nv'wa'hou'ren 女娲后人
'nv'wa'shi 女娲石
'nv'xian 女仙
'pa'di'ma 帕蒂玛
'pa'ti'nong'shen'miao 帕提侬神庙
'pan'gu 盘古
'pan'gu'fu 盘古斧
'pan'tao 蟠桃
'peng'lai 蓬莱
'peng'lai'dao 蓬莱岛
'peng'lai'dao'dao'zhu'ni'qian'zhang 蓬莱岛岛主霓千丈
'peng'lai'dao'dao'zhu'zhi'nv'ni'man'tian 蓬莱岛岛主之女霓漫天
'peng'lai'zhang'men 蓬莱掌门
'pi'pa'jing 琵琶精
'pian'pian'fang'fei'ru'shui'liu 片片芳菲入水流
'pin'jie 品阶
'pin'po'guo 频婆果
'pin'po'shu 频婆树
'ping'an'cheng 平安城
'ping'an'zhu'chuan 平安珠串
'po'mo'chu'chen 泼墨初尘
'po'suo'jie 婆娑劫
'po'wang 破望
'po'yun'shan 破云扇
'pu'hua'tian'zun 普化天尊
'pu'shi'ren 谱世人
'pu'tao'jing 葡萄精
'pu'ti 菩提
'pu'ti'jing'tu 菩提净土
'qi'huang 栖篁
'qi'jue'pu 七绝谱
'qi'nan'shen'gong 歧南神宫
'qi'qi'si'mu 凄凄思慕
'qi'ran 奇然
'qi'sha 七杀
'qi'sha'dian 七杀殿
'qi'shan'shen'nv 祈山神女
'qi'yi'niang 七姨娘
'qian'gu 千古
'qian'gu'duan 千骨断
'qian'gu'hua 千骨画
'qian'gu'sheng'hua 千骨生花
'qian'gu'zi'hua 千骨子画
'qian'hu'shang'liu'jing 千斛伤流景
'qian'jiang'zui'yue 千江醉月
'qian'jie'wei'yang 千劫未央
'qian'nian'bing'lian 千年冰莲
'qian'nian'feng'ya 千年风雅
'qian'qian 浅浅
'qian'qian'sui'yue'fu'man'ai'ren'xiu 浅浅岁月拂满爱人袖
'qian'qian'xin'jie 千千心结
'qian'sheng'de'hen 前生的恨
'qian'shi'ni'zen'she'xia 前世你怎舍下
'qian'yun 茜云
'qian'zhi'xue 千帜雪
'qian'zhong'du 铅中毒
'qiao'da'zhe'shui'de'chou'chang 敲打着谁的愁肠
'qiao'mei 乔妹
'qiao'shi'yu 乔诗语
'qin'meng'tao 秦梦韬
'qing'cang 擎苍
'qing'dian 青殿
'qing'dou'de'meng'long 情窦的朦胧
'qing'feng'cuo 清风错
'qing'feng'zhang'lao 清风长老
'qing'hua'fu'ren 倾画夫人
'qing'huai 清怀
'qing'jiang 庆姜
'qing'jie 情劫
'qing'li 青璃
'qing'lian 清怜
'qing'liu 清流
'qing'ming'jian 青冥剑
'qing'qiu 青丘
'qing'qiu'bai'jia 青丘白家
'qing'qiu'di'ji 青丘帝姬
'qing'qiu'di'jun 青丘帝君
'qing'qiu'hu'li'dong 青丘狐狸洞
'qing'qiu'nv'jun 青丘女君
'qing'qiu'wu'huang 青丘五荒
'qing'qiu'zhi'guo 青丘之国
'qing'shen'bu'yu 情深不渝
'qing'shui 轻水
'qing'shui'shi'yi'shi'xiong 轻水十一师兄
'qing'wa'tai 青瓦台
'qing'xin'hua'yi'duo 倾心花一朵
'qing'xiu 清修
'qing'xu'dao'zhang 清虚道长
'qing'yang'zhang'lao 清扬长老
'qing'yi 清漪
'qing'yun'dian 庆云殿
'qing'yun'dian 青云殿
'qing'zhi'mo'jun 青之魔君
'qiong'qi 穷奇
'qiu'mo'fu'fu 秋陌夫夫
'qiu'qiu 邱秋
'qiu'shui'du 秋水毒
'qu'huan'cheng'zhang 去换成长
'qu'liu'lang 去流浪
'qu'mu 屈木
'quan'xiu'zhen 全秀珍
'que'zai'meng'xing'hou 却在梦醒后
'qun'xian'yan 群仙宴
'rang'wo'wang'le'suo'you 让我忘了所有
'ren'cang'sang'yan'mo 任沧桑淹没
'ren'duan'qing 人断情
'ren'hai'tao 任海涛
'ren'jie 人界
'ren'tao 任滔
'ren'xing 人形
'ren'zu 人族
'ri'yue'tong'qi 日月同泣
'rong'er 蓉儿
'rou'bai'gu 肉白骨
'rou'ran 柔然
'ru'guo'ai'tai'huang'liang 如果爱太荒凉
'ru'ye'jian'wei'liang 入夜渐微凉
'ru'zun 儒尊
'ruo'shi'hui'yi'bu'neng'zai'xiang'ren 若是回忆不能再相认
'ruo'shui'shen'jun 若水神君
'ruo'shui'yi'zhan 若水一战
'ruo'shui'zhi'bin 若水之滨
'san'dian'xia 三殿下
'san'du'zhuo'xi 三毒浊息
'san'qian'liu'nian'xin'shi'hun'luo'po 三千流年心失魂落魄
'san'qian'yao'sha 三千妖杀
'san'qing'huan'jing 三清幻境
'san'qing'si'yu 三清四御
'san'sheng'ai'hen 三生爱恨
'san'sheng'chi 三生池
'san'sheng'san'shi 三生三世
'san'sheng'san'shi'bu'sheng'lian 三生三世步生莲
'san'sheng'san'shi'pu'ti'jie 三生三世菩提劫
'san'sheng'san'shi'shi'li'tao'hua 三生三世十里桃花
'san'sheng'san'shi'zhen'shang'shu 三生三世枕上书
'san'sheng'tao'hua'rou'qing'duo 三生桃花柔情多
'san'shi'jiu'ge 三世纠葛
'san'shi'liu'da'luo'tian 三十六大罗天
'san'shu 三叔
'san'ye'ye 三爷爷
'san'zun 三尊
'san'zun'hui'shen 三尊会审
'sang'ji 桑籍
'sha'jie'jie 杀姐姐
'sha'luo'shuang'shu 沙罗双树
'sha'mei'ren 杀美人
'sha'qian'mo 杀阡陌
'sha'ya 傻丫
'shang'gu'da'shen 上古大神
'shang'gu'shen'qi 上古神祇
'shang'gu'shen'zu 上古神族
'shang'gu'tian'shen 上古天神
'shang'gu'zhan'shen 上古战神
'shang'gu'zun'shen 上古尊神
'shang'jun 上君
'shang'shen 上神
'shang'xian 上仙
'shao'bai'men 韶白门
'shao'bai'men'zhang'men 韶白门掌门
'shao'nian'shuang 少年霜
'shao'wan 少绾
'shao'xin 少辛
'she'gui 舍归
'she'hun'shu 摄魂术
'she'zhen 蛇阵
