'a'can 阿餐
'bing'ma'si'fu'zhi'hui 兵马司副指挥
'bing'ma'si'zhi'hui 兵马司指挥
'bing'yi'lang 秉义郎
'bo'shi 博士
'bu'que 补阙
'bu'zheng'shi 布政使
'bu'zheng'shi'si'bu'zheng'shi 布政使司布政使
'bu'zheng'shi'si'can'yi 布政使司参议
'bu'zheng'shi'si'can'zheng 布政使司参政
'bu'zheng'shi'si'dou'shi 布政使司都事
'bu'zheng'shi'si'fu'shi 布政使司副使
'bu'zheng'shi'si'jian'jiao 布政使司检校
'bu'zheng'shi'si'jing'li 布政使司经历
'bu'zheng'shi'si'qian'shi 布政使司佥事
'bu'zheng'shi'si'you'bu'zheng'shi 布政使司右布政使
'bu'zheng'shi'si'you'can'yi 布政使司右参议
'bu'zheng'shi'si'you'can'zheng 布政使司右参政
'bu'zheng'shi'si'zhao'mo 布政使司照磨
'bu'zheng'shi'si'zuo'bu'zheng'shi 布政使司左布政使
'bu'zheng'shi'si'zuo'can'yi 布政使司左参议
'bu'zheng'shi'si'zuo'can'zheng 布政使司左参政
'bu'zheng'si'li'wen 布政司理问
'cai'fang'chu'zhi'shi 采访处置使
'cai'fang'fu'shi 采访副使
'cai'fang'shi 采访使
'cai'fu'fu'zong'guan 财赋副总管
'cai'ren 才人
'can'jiang 参将
'can'jun 参军
'can'mou 参谋
'can'yi 参议
'can'yi'guan 参议官
'can'zhi'zheng'shi 参知政事
'cang'bu'lang'zhong 仓部郎中
'cang'bu'si'lang'guan 仓部司郎官
'cang'bu'yuan'wai'lang 仓部员外郎
'cang'cao 仓曹
'cang'cao'can'jun 仓曹参军
'cang'da'shi 仓大使
'cang'fu'shi 仓副使
'cao'yuan 曹掾
'cao'yun'shi 漕运使
'cha'yan'zhuan'yun'si'tong'zhi 茶盐转运司同知
'cha'yan'zhuan'yun'si'yun'pan 茶盐转运司运判
'chang'yan'si'guan'gou 场盐司管勾
'chao'feng'dai'fu 朝奉大夫
'chao'feng'lang 朝奉郎
'chao'lie'dai'fu 朝列大夫
'chao'qing'dai'fu 朝请大夫
'chao'qing'lang 朝请郎
'chao'san'dai'fu 朝散大夫
'chao'san'lang 朝散郎
'chao'yi'dai'fu 朝议大夫
'chao'yi'lang 朝义郎
'chao'yi'lang 朝议郎
'che'qi 车骑
'cheng'cha 承差
'cheng'de'lang 承德郎
'cheng'fa'jia'ge'zhao'mo 承发架阁照磨
'cheng'feng'lang 承奉郎
'cheng'jie'lang 承节郎
'cheng'shi'lang 承事郎
'cheng'wu'lang 承务郎
'cheng'xiang 丞相
'cheng'xin'lang 承信郎
'cheng'xuan'shi 承宣使
'cheng'yi'lang 承议郎
'cheng'zhi 承旨
'cheng'zhi'lang 承直郎
'cheng'zhong'lang 成忠郎
'chi'jie 持节
'chong'wen'guan'xiao'shu'lang 崇文馆校书郎
'chong'wen'guan'xue'shi 崇文馆学士
'chong'wen'yuan'xiao'shu 崇文院校书
'chong'xian'guan'xue'shi 崇贤馆学士
'chong'yi'fu'shi 崇仪副使
'chong'yi'shi 崇仪使
'chong'zheng'dian'shuo'shu 崇政殿说书
'chu'shi 出使
'chu'zhi'shi 黜陟使
'ci'bu'lang'zhong 祠部郎中
'ci'bu'si'lang'guan 祠部司郎官
'ci'bu'yuan'wai'lang 祠部员外郎
'ci'fei 赐绯
'ci'lu'guan 祠禄官
'ci'shi 刺史
'ci'zi 赐紫
'cong'shi 从事
'cong'shi'lang 从事郎
'cong'yi'lang 从义郎
'cong'zheng'lang 从政郎
'cui'qian'si 催欠司
'da'dou'liu'shou 大都留守
'da'du'du 大都督
'da'du'du'fu'zhang'shi 大都督府长史
'da'du'hu 大都护
'da'jian 大监
'da'jiang 大将
'da'jiang'jun 大将军
'da'li'ping'shi 大理评事
'da'li'qing 大理卿
'da'li'shao'qing 大理少卿
'da'li'si'cheng 大理寺丞
'da'li'si'guan'zheng 大理寺观政
'da'li'si'ping'shi 大理寺评事
'da'li'si'qing 大理寺卿
'da'li'si'shao'qing 大理寺少卿
'da'li'si'si'zheng 大理寺寺正
'da'li'si'si'zhi 大理寺司直
'da'li'si'xiang'duan'guan 大理寺详断官
'da'li'si'you'ping'shi 大理寺右评事
'da'li'si'you'shao'qing 大理寺右少卿
'da'li'si'zheng 大理寺正
'da'li'si'zhi 大理司直
'da'li'si'zhu'bu 大理寺主簿
'da'li'si'zuo'ping'shi 大理寺左评事
'da'li'si'zuo'shao'qing 大理寺左少卿
'da'li'si'zuo'si'cheng 大理寺左寺丞
'da'li'zheng 大理正
'da'lu'hua'chi 达鲁花赤
'da'shi 大使
'da'si'nong'si'da'si'nong 大司农司大司农
'da'si'nong'si'da'si'nong'qing 大司农司大司农卿
'da'si'nong'si'da'si'nong'shao'qing 大司农司大司农少卿
'da'si'tu 大司徒
'da'xing'tai 大行台
'da'xue'shi 大学士
'da'zhang'gong'zhu 大长公主
'da'zhong'da'fu 大中大夫
'da'zhong'zheng 大中正
'da'zong'guan 大总管
'da'zong'zheng'fu'zha'lu'hu'chi 大宗正府札鲁忽赤
'dai'fu 大夫
'dai'yu'qi'xie 带御器械
'dai'zhi 待制
'dao'guan'cha'shi 道观察使
'dao'jian'cha'yu'shi 道监察御史
'dao'jie'du'shi 道节度使
'dao'xing'jun'da'zong'guan 道行军大总管
'dao'yu'shi 道御史
'deng'lu'guan'min'ti'ju'si'da'lu'hua'chi 等路管民提举司达鲁花赤
'deng'shi'lang 登仕郎
'deng'shi'zuo'lang 登仕佐郎
'di'gong'lang 迪功郎
'di'ji 帝姬
'di'shi 帝师
'di'yun'suo'da'shi 递运所大使
'dian'qian 典签
'dian'qian'cheng'zhi 殿前承旨
'dian'qian'si'dou'yu'hou 殿前司都虞候
'dian'qian'si'du'zhi'hui'shi 殿前司都指挥使
'dian'qian'si'fu'du'zhi'hui'shi 殿前司副都指挥使
'dian'qian'si'peng'ri'tian'wu'si'xiang'du'zhi'hui'shi 殿前司捧日天武四厢都指挥使
'dian'qian'zhi'hui'shi 殿前指挥使
'dian'shan 典膳
'dian'shi 典史
'dian'shi 殿侍
'dian'shu 典书
'dian'shu 典术
'dian'yi 典仪
'dian'zhang 典仗
'dian'zhi 殿直
'dian'zhong 殿中
'dian'zhong'cheng 殿中丞
'dian'zhong'jian 殿中监
'dian'zhong'shao'jian 殿中少监
'dian'zhong'sheng 殿中省
'dian'zhong'sheng'cheng 殿中省丞
'dian'zhong'sheng'shang'cheng'feng'yu 殿中省尚乘奉御
'dian'zhong'sheng'shang'nian'feng'yu 殿中省尚辇奉御
'dian'zhong'sheng'shang'she'feng'yu 殿中省尚舍奉御
'dian'zhong'sheng'shang'yi'feng'yu 殿中省尚衣奉御
'dian'zhong'sheng'shao'jian 殿中省少监
'dian'zhong'shi'yu'shi 殿中侍御史
'dian'zhong'shi'yu'shi'nei'gong'feng 殿中侍御史内供奉
'dian'zhuan 殿撰
'ding'fu'you 丁父忧
'ding'jian 丁艰
'ding'jiu'yu'tu'zhi'suo'bian'xiu 定九域图志所编修
'ding'mu'you 丁母忧
'ding'nei'jian 丁内艰
'ding'wai'jian 丁外艰
'ding'you 丁忧
'dong'du'fu'liu'shou 东都副留守
'dong'du'liu'shou 东都留守
'dong'du'liu'shou'cong'shi 东都留守从事
'dong'du'liu'shou'pan'guan 东都留守判官
'dong'ge'ji'jiu 东阁祭酒
'dong'gong 东宫
'dong'gong'bi'she'chi 东宫必阇赤
'dong'gong'su'wei 东宫宿卫
'dong'gong'xue'shi 东宫学士
'dong'jing'liu'shou 东京留守
'dong'ran'yuan'shi 东染院使
'dong'shang'he'men'shi 东上合门使
'dong'tou'gong'feng'guan 东头供奉官
'dou'cao'yun'shi 都漕运使
'dou'cao'yun'shi'si'fu'shi 都漕运使司副使
'dou'da'ti'dian'keng'ye'zhu'qian'gong'shi 都大提点坑冶铸钱公事
'dou'da'ti'ju'cha'ma'si 都大提举茶马司
'dou'guan'lang'zhong 都官郎中
'dou'guan'shang'shu 都官尚书
'dou'guan'si'lang'guan 都官司郎官
'dou'guan'yuan'wai'lang 都官员外郎
'dou'jian 都监
'dou'jin'zou'yuan 都进奏院
'dou'shi 都事
'dou'shui'jian 都水监
'dou'shui'jian'cheng 都水监丞
'dou'shui'jian'shao'jian 都水监少监
'dou'shui'jian'shi'zhe 都水监使者
'dou'shui'jian'zhu'bu 都水监主簿
'dou'tong'zhi 都统制
'dou'tuan'lian'fu'shi 都团练副使
'dou'xun'jian'shi 都巡检使
'dou'yu'hou 都虞候
'dou'yuan'shuai 都元帅
'dou'zhen'fu'si'dou'zhen'fu 都镇抚司都镇抚
'dou'zhi 都知
'dou'zhi'bing'ma'shi 都知兵马使
'dou'zhi'hui'qian'shi 都指挥佥事
'dou'zhi'hui'tong'zhi 都指挥同知
'dou'zhuan'yun'shi 都转运使
'dou'zhuan'yun'yan'shi 都转运盐使
'dou'zhuan'yun'yan'shi'si'dou'zhuan'yun'yan'shi 都转运盐使司都转运盐使
'dou'zong'guan'fu'da'lu'hua'chi 都总管府达鲁花赤
'dou'zong'guan'si 都总管司
'du'cha'yuan'dou'shi 都察院都事
'du'cha'yuan'guan'zheng 都察院观政
'du'cha'yuan'you'du'yu'shi 都察院右都御史
'du'cha'yuan'you'fu'dou'yu'shi 都察院右副都御史
'du'cha'yuan'you'qian'du'yu'shi 都察院右佥都御史
'du'cha'yuan'zuo'du'yu'shi 都察院左都御史
'du'cha'yuan'zuo'fu'dou'yu'shi 都察院左副都御史
'du'cha'yuan'zuo'qian'du'yu'shi 都察院左佥都御史
'du'du 都督
'du'du'fu'can'jun 都督府参军
'du'du'fu'can'yi'jun'shi 都督府参议军事
'du'du'fu'can'zan'jun'shi 都督府参赞军事
'du'du'fu'dou'shi 都督府都事
'du'du'fu'fa'cao'can'jun 都督府法曹参军
'du'du'fu'zhang'shi 都督府长史
'du'du'qian'shi 都督佥事
'du'hu 都护
'du'ji'shi'zhong 都给事中
'du'si'dou'shi 都司都事
'du'si'jing'li 都司经历
'du'tong 都统
'du'zhi'hui'shi 都指挥使
'du'zhi'lang'zhong 度支郎中
'du'zhi'shang'shu 度支尚书
'du'zhi'shi 度支使
'du'zhi'si'lang'guan 度支司郎官
'du'zhi'yuan'wai'lang 度支员外郎
'duan'ming'dian'xue'shi 端明殿学士
'duan'shi 断事
'duan'shi'guan 断事官
'dui'fu 队副
'dui'zheng 队正
'fa'cao'can'jun 法曹参军
'fa'shi 法师
'fa'yun'fu'shi 发运副使
'fa'yun'pan'guan 发运判官
'fa'yun'shi 发运使
'fang'yu'pan'guan 防御判官
'fang'yu'shi 防御使
'fang'yu'tui'guan 防御推官
'fei'qi'wei 飞骑尉
'fen'si 分司
'fen'si'nan'jing 分司南京
'fen'si'xi'jing 分司西京
'feng'bo'si 封驳司
'feng'chao'qing 奉朝请
'feng'che'du'wei 奉车都尉
'feng'ge'she'ren 凤阁舍人
'feng'ge'shi'lang 凤阁侍郎
'feng'li'lang 奉礼郎
'feng'xun'dai'fu 奉训大夫
'feng'yi'dai'fu 奉议大夫
'feng'yi'lang 奉议郎
'feng'yu 奉御
'feng'zheng'dai'fu 奉政大夫
'feng'zhi'dai'fu 奉直大夫
'feng'zhi'lang 奉直郎
'fu'bing'cao'can'jun 府兵曹参军
'fu'cheng 府丞
'fu'dou'yu'shi 副都御史
'fu'du'tong'zhi 副都统制
'fu'fa'cao'can'jun 府法曹参军
'fu'gong'cao'can'jun 府功曹参军
'fu'guo'da'jiang'jun 辅国大将军
'fu'hu'cao'can'jun 府戸曹参军
'fu'jian'jiao 府检校
'fu'jiang 副将
'fu'jiao'shou 府教授
'fu'jing'li 府经历
'fu'liu'shou 副留守
'fu'lu'shi'can'jun 府录事参军
'fu'ma 驸马
'fu'ma'du'wei 驸马都尉
'fu'mu 府牧
'fu'pan 府判
'fu'qian'hu 副千户
'fu'ren 夫人
'fu'shi 副使
'fu'shi'cao'can'jun 府士曹参军
'fu'si'lu 府司录
'fu'si'lu'can'jun 府司禄参军
'fu'tong'pan 府通判
'fu'tong'zhi 府同知
'fu'tui'guan 府推官
'fu'wan'hu 副万户
'fu'wen'ge'dai'zhi 敷文阁待制
'fu'wen'ge'xue'shi 敷文阁学士
'fu'wen'ge'zhi'xue'shi 敷文阁直学士
'fu'wen'xue 府文学
'fu'xi'lang 符玺郎
'fu'xue'jiao'shou 府学教授
'fu'xue'xun'dao 府学训导
'fu'yin 府尹
'fu'yuan'shuai 副元帅
'fu'zhao'mo 府照磨
'fu'zhi'shi 府知事
'fu'zuo'guo'yi 府左果毅
'gan'ban'gong'shi 干办公事
'gei'shi'lang 给事郎
'gong'bei'ku'fu'shi 供备库副使
'gong'bei'ku'shi 供备库使
'gong'bu'guan'zheng 工部观政
'gong'bu'lang'zhong 工部郎中
'gong'bu'shang'shu 工部尚书
'gong'bu'shi'lang 工部侍郎
'gong'bu'si'lang'guan 工部司郎官
'gong'bu'you'shi'lang 工部右侍郎
'gong'bu'yuan'wai'lang 工部员外郎
'gong'bu'zhu'shi 工部主事
'gong'bu'zuo'shi'lang 工部左侍郎
'gong'cao'can'jun 功曹参军
'gong'feng'guan 供奉官
'gong'guan'chai'qian 宫观差遣
'gong'guan'shi 宫观使
'gong'jiao'bo'shi 宫教博士
'gong'ke'ji'shi'zhong 工科给事中
'gong'liu'shou 宫留守
'gong'liu'shou'tui'guan 宫留守推官
'gong'ren 宫人
'gong'ren 恭人
'gong'shi 贡士
'gong'wei'dai'fu 拱卫大夫
'gong'yuan'shi 宫苑使
'gong'zhe 宫者
'gong'zhu 公主
'guan'cha'fu'shi 观察副使
'guan'cha'pan'guan 观察判官
'guan'cha'shi 观察使
'guan'cha'shi'cong'shi 观察使从事
'guan'cha'shi'liao'zuo 观察使僚佐
'guan'cha'shi'xun'guan 观察使巡官
'guan'cha'tui'guan 观察推官
'guan'cha'zhi'shi 观察支使
'guan'dai 冠带
'guan'dai'she'ren 冠带舍人
'guan'dai'yi'shi 冠带医士
'guan'dai'zong'qi 冠带总旗
'guan'ge'jiao'kan 馆阁校勘
'guan'gou'gong'guan 管勾宫观
'guan'jun'wan'hu'fu'wan'hu 管军万户府万户
'guan'jun'zong'guan 管军总管
'guan'sheng 官生
'guan'wen'dian'da'xue'shi 观文殿大学士
'guan'wen'dian'xue'shi 观文殿学士
'guan'yi'xun'guan 馆驿巡官
'guang'lu'dai'fu 光禄大夫
'guang'lu'qing 光禄卿
'guang'lu'si'cheng 光禄寺丞
'guang'lu'si'dian'bu 光禄寺典簿
'guang'lu'si'jian'shi 光禄寺监事
'guang'lu'si'qing 光禄寺卿
'guang'lu'si'shao'qing 光禄寺少卿
'guang'lu'si'shu'cheng 光禄寺署丞
'guang'lu'si'shu'zheng 光禄寺署正
'gui'fei 贵妃
'guo'fu'ren 国夫人
'guo'gong 国公
'guo'shi'shi'lu'yuan'bian'xiu'jian'tao'guan 国史实录院编修检讨官
'guo'shi'yuan'bian'xiu 国史院编修
'guo'tai'fu'ren 国太夫人
'guo'wang 国王
'guo'yi 果毅
'guo'yi'du'wei 果毅都尉
'guo'zi'bo'shi 国子博士
'guo'zi'ji'jiu 国子祭酒
'guo'zi'jian 国子监
'guo'zi'jian'bo'shi 国子监博士
'guo'zi'jian'cheng 国子监丞
'guo'zi'jian'guo'zi'ji'jiu 国子监国子祭酒
'guo'zi'jian'guo'zi'si'ye'er'yuan 国子监国子司业二员
'guo'zi'jian'ji'jiu 国子监祭酒
'guo'zi'jian'lu 国子监录
'guo'zi'jian'sheng 国子监生
'guo'zi'jian'shuo'shu 国子监说书
'guo'zi'jian'si'men'zhu'jiao 国子监四门助教
'guo'zi'jian'si'ye 国子监司业
'guo'zi'jian'zheng 国子监正
'guo'zi'jian'zhi'jiang 国子监直讲
'guo'zi'jian'zhu'bu 国子监主簿
'guo'zi'jian'zhu'jiao 国子监助教
'guo'zi'xue'bo'shi 国子学博士
'guo'zi'xue'zheng 国子学正
'guo'zi'xue'zhu'jiao 国子学助教
'guo'zi'zhu'jiao 国子助教
'hai'cao'wan'hu 海漕万户
'hai'cao'wan'hu'fu'jing'li 海漕万户府经历
'hai'yun'bai'hu 海运百户
'hai'yun'fu'qian'hu 海运副千户
'hai'yun'qian'hu 海运千户
'han'lin'bian'xiu 翰林编修
'han'lin'cheng'zhi'xue'shi 翰林承旨学士
'han'lin'dai'zhao 翰林待诏
'han'lin'gong'feng 翰林供奉
'han'lin'guo'shi'yuan'dai'zhi 翰林国史院待制
'han'lin'guo'shi'yuan'dian'ji 翰林国史院典籍
'han'lin'guo'shi'yuan'guo'shi'bian'xiu'guan 翰林国史院国史编修官
'han'lin'guo'shi'yuan'han'lin'shi'jiang'xue'shi 翰林国史院翰林侍讲学士
'han'lin'guo'shi'yuan'han'lin'xue'shi'cheng'zhi 翰林国史院翰林学士承旨
'han'lin'guo'shi'yuan'han'lin'zhi'xue'shi 翰林国史院翰林直学士
'han'lin'guo'shi'yuan'jian'yue 翰林国史院检阅
'han'lin'guo'shi'yuan'shi'du'xue'shi 翰林国史院侍读学士
'han'lin'guo'shi'yuan'xiu'zhuan 翰林国史院修撰
'han'lin'guo'shi'yuan'xue'shi 翰林国史院学士
'han'lin'guo'shi'yuan'xue'shi'cheng'zhi 翰林国史院学士承旨
'han'lin'guo'shi'yuan'ying'feng'han'lin'wen'zi 翰林国史院应奉翰林文字
'han'lin'guo'shi'yuan'zhi'xue'shi 翰林国史院直学士
'han'lin'jian'tao 翰林检讨
'han'lin'shi'du'xue'shi 翰林侍读学士
'han'lin'shi'jiang'xue'shi 翰林侍讲学士
'han'lin'shi'shu'xue'shi 翰林侍书学士
'han'lin'shu'ji'shi 翰林庶吉士
'han'lin'tu'hua'yuan'dai'zhao 翰林图画院待诏
'han'lin'tu'hua'yuan'yi'xue 翰林图画院艺学
'han'lin'tu'hua'yuan'zhi'hou 翰林图画院祗候
'han'lin'xue'shi 翰林学士
'han'lin'xue'shi'cheng'zhi 翰林学士承旨
'han'lin'xue'shi'zhi'zhi'gao 翰林学士知制诰
'han'lin'yi'guan 翰林医官
'han'lin'yi'guan'fu'shi 翰林医官副使
'han'lin'yi'guan'shi 翰林医官使
'han'lin'yi'zheng 翰林医正
'han'lin'yu'shu'yuan'han'lin'dai'zhao 翰林御书院翰林待诏
'han'lin'yu'shu'yuan'han'lin'shu'yi'xue 翰林御书院翰林书艺学
'han'lin'yuan 翰林院
'han'lin'yuan'bian'xiu 翰林院编修
'han'lin'yuan'jian'tao 翰林院检讨
'han'lin'yuan'shi'du'xue'shi 翰林院侍读学士
'han'lin'yuan'shi'jiang'xue'shi 翰林院侍讲学士
'han'lin'yuan'shu'ji'shi 翰林院庶吉士
'han'lin'yuan'xiu'zhuan 翰林院修撰
'han'lin'yuan'xue'shi 翰林院学士
'hang'yuan'fu'shi 行院副使
'hang'yuan'pan'guan 行院判官
'hang'yuan'tong'qian 行院同佥
'he'bo'suo'guan 河泊所官
'he'jin'guo'zheng'dan'shi 贺金国正旦使
'he'men'kan'ban'zhi'hou 合门看班祗候
'he'men'she'ren 合门舍人
'he'men'shi 合门使
'he'men'tong'shi'she'ren 合门通事舍人
'he'men'xuan'zan'she'ren 合门宣赞舍人
'he'men'zhi'hou 合门祗候
'hong'lu'qing 鸿胪卿
'hong'lu'shao'qing 鸿胪少卿
'hong'lu'si'cheng 鸿胪寺丞
'hong'lu'si'qing 鸿胪寺卿
'hong'lu'si'shao'qing 鸿胪寺少卿
'hong'lu'si'shu'cheng 鸿胪寺署丞
'hong'lu'si'xu'ban 鸿胪寺序班
'hong'lu'si'zhu'bu 鸿胪寺主簿
'hong'wen'guan'da'xue'shi 弘文馆大学士
'hong'wen'guan'xiao'shu'lang 弘文馆校书郎
'hong'wen'guan'xue'shi 弘文馆学士
'hong'wen'guan'zhi'xue'shi 弘文馆直学士
'hu'bu 户部
'hu'bu'guan'zheng 户部观政
'hu'bu'lang'guan 户部郎官
'hu'bu'lang'zhong 户部郎中
'hu'bu'shang'shu 户部尚书
'hu'bu'shi 户部使
'hu'bu'shi'lang 户部侍郎
'hu'bu'si'lang'zhong 户部司郎中
'hu'bu'si'yuan'wai'lang 户部司员外郎
'hu'bu'you'shi'lang 户部右侍郎
'hu'bu'yuan'wai'lang 户部员外郎
'hu'bu'zhu'shi 户部主事
'hu'bu'zuo'cao'lang'guan 户部左曹郎官
'hu'bu'zuo'cao'lang'zhong'yuan'wai'lang 户部左曹郎中员外郎
'hu'bu'zuo'shi'lang 户部左侍郎
'hu'cao'can'jun 户曹参军
'hu'guang'zong'ling 湖广总领
'hu'guang'zong'ling'suo'gan'ban'gong'shi 湖广总领所干办公事
'hu'jun 护军
'hu'ke'du'ji'shi'zhong 户科都给事中
'hu'ke'ji'shi'zhong 户科给事中
'hua'wen'ge'dai'zhi 华文阁待制
'hua'wen'ge'xue'shi 华文阁学士
'hua'wen'ge'zhi'xue'shi 华文阁直学士
'huai'yuan'jiang'jun 怀远将军
'huan'wei'guan 环卫官
'huan'zhang'ge'dai'zhi 焕章阁待制
'huan'zhang'ge'xue'shi 焕章阁学士
'huan'zhang'ge'zhi'xue'shi 焕章阁直学士
'huang'cheng'fu'shi 皇城副使
'huang'cheng'shi 皇城使
'huang'di 皇帝
'huang'hou 皇后
'huang'men 黄门
'huang'men'shi'lang 黄门侍郎
'huang'tai'hou 皇太后
'huang'tai'zi 皇太子
'huang'tai'zi'gong'xiao'xue'jiao'shou 皇太子宫小学教授
'huang'zhi'huang'sun'jiao'shou 皇侄皇孙教授
'huang'zi 皇子
'hui'you'ge'dai'zhi 徽猷阁待制
'hui'you'ge'xue'shi 徽猷阁学士
'hui'you'ge'zhi'xue'shi 徽猷阁直学士
'ji'shan 纪善
'ji'shi'can'jun 记室参军
'ji'shi'zhong 给事中
'ji'tian'si'ling 籍田司令
'ji'xian'da'xue'shi 集贤大学士
'ji'xian'dian'da'xue'shi 集贤殿大学士
'ji'xian'dian'xiu'zhuan 集贤殿修撰
'ji'xian'dian'xue'shi 集贤殿学士
'ji'xian'dian'zhi'xue'shi 集贤殿直学士
'ji'xian'shi'jiang 集贤侍讲
'ji'xian'xiao'li'xue'shi 集贤校理学士
'ji'xian'xue'shi 集贤学士
'ji'xian'yuan'dou'shi 集贤院都事
'ji'xian'yuan'ji'xian'dai'zhi 集贤院集贤待制
'ji'xian'yuan'ji'xian'xiu'zhuan 集贤院集贤修撰
'ji'xian'yuan'xiao'li 集贤院校理
'ji'xian'yuan'xue'shi 集贤院学士
'ji'xian'yuan'zhi'xue'shi 集贤院直学士
'ji'xian'zhi'xue'shi 集贤直学士
'ji'ying'dian'xiu'zhuan 集英殿修撰
'jia'bu'lang'zhong 驾部郎中
'jia'bu'si'lang'guan 驾部司郎官
'jia'bu'si'lang'zhong 驾部司郎中
'jia'bu'si'yuan'wai'lang 驾部司员外郎
'jia'bu'yuan'wai'lang 驾部员外郎
'jia'ge 架阁
'jia'ling'si'cheng 家令寺丞
'jia'yi'dai'fu 嘉议大夫
'jian'cang 监仓
'jian'cha 监茶
'jian'cha'yu'shi 监察御史
'jian'cha'yu'shi'li'xing 监察御史里行
'jian'cheng 监丞
'jian'dang'guan 监当官
'jian'deng'wen'gu'yuan 监登闻鼓院
'jian'dou'jin'zou'yuan 监都进奏院
'jian'guan 谏官
'jian'guo'zi'jian'shu'ku 监国子监书库
'jian'jiao 检校
'jian'jie'wei 建节尉
'jian'jiu 监酒
'jian'jiu'wu 监酒务
'jian'jun 监军
'jian'jun'shi 监军使
'jian'ku'wu 监库务
'jian'liang'liao'yuan 监粮料院
'jian'men 监门
'jian'mou'zhou'bi'jiao'wu 监某州比较务
'jian'mu'shi 监牧使
'jian'que'huo'wu'dou'cha'chang 监榷货务都茶场
'jian'shan'jun'jiu'ku 监赡军酒库
'jian'shi 监使
'jian'shi'bo'wu 监市舶务
'jian'shu'bo'shi 鉴书博士
'jian'shui 监税
'jian'tao 检讨
'jian'xiu'guo'shi 监修国史
'jian'yan 监盐
'jian'yan'jiu'shui'wu 监盐酒税务
'jian'yi'da'fu 谏议大夫
'jian'yue'miao 监岳庙
'jian'zhen 监镇
'jian'zheng 检正
'jian'zuo'cang'ku 监左藏库
'jiang'jun 将军
'jiang'nan'huai'nan'jing'hu'liang'zhe'lu'fa'yun'shi 江南淮南荆湖两浙路发运使
'jiang'shi'lang 将仕郎
'jiang'shu 讲书
'jiang'zuo'da'jiang 将作大匠
'jiang'zuo'jian 将作监
'jiang'zuo'jian'cheng 将作监丞
'jiang'zuo'jian'jian 将作监监
'jiang'zuo'jian'shao'jian 将作监少监
'jiang'zuo'jian'zhu'bu 将作监主簿
'jiang'zuo'shao'jian 将作少监
'jiang'zuo'yuan'shi 将作院使
'jiao'guan 教官
'jiao'she'zhai'lang 郊社斋郎
'jiao'shou 教授
'jiao'yu 教谕
'jiao'yu'ju'ren 教谕举人
'jie'du'cong'shi 节度从事
'jie'du'da'shi 节度大使
'jie'du'dou'zhi'bing'ma'shi 节度都知兵马使
'jie'du'fu'da'shi 节度副大使
'jie'du'fu'shi 节度副使
