'a'ma'ni 阿玛尼
'nan'jing'da'xue'wei'ruan'ju'le'bu 南京大学微软俱乐部
'nan'jing'da'xue'xian'lin'xiao'qu 南京大学仙林校区
'nan'jing'shi'qi'xia'qu'xian'lin'da'dao 南京市栖霞区仙林大道
'nan'yuan 南园
'ning'mou'wen'xue'she 凝眸文学社
'pai'qiu'xie'hui 排球协会
'pei'wei'hua'xue'guo'jia'zhong'dian'shi'yan'shi 配位化学国家重点实验室
'ping'pang'qiu'xie'hui 乒乓球协会
'qi'che'ai'hao'zhe'xie'hui 汽车爱好者协会
'qi'jie'tian'tang'xiao'zhong'wen'hua'sha'long 七阶天堂小众文化沙龙
'ri'yu'ju'le'bu 日语俱乐部
'ruan'jian'xue'yuan 软件学院
'sai'fu'xie'hui 赛扶协会
'shang'xue'yuan 商学院
'she'hui'diao'cha'xie'hui 社会调查协会
'she'hui'xue'yuan 社会学院
'she'lian 社联
'she'tuan 社团
'she'ying'xie'hui 摄影协会
'shen'shui'lan'you'yong'ai'hao'zhe'xie'hui 深水蓝游泳爱好者协会
'sheng'ming'ke'xue'xue'yuan 生命科学学院
'sheng'ming'xie'hui 生命协会
'shou'ji'ju'le'bu 手机俱乐部
'shu'xue'xi 数学系
'tai'quan'dao'xie'hui 跆拳道协会
'tian'di'ren'xue'she 天地人学社
'tian'wen'ai'hao'zhe'xie'hui 天文爱好者协会
'tian'wen'xue'xi 天文学系
'tie'ban'fan 铁板饭
'tu'shu'guan 图书馆
'tu'shu'guan'bao'gao'ting 图书馆报告厅
'wai'guo'yu'xue'yuan 外国语学院
'wang'qiu'xie'hui 网球协会
'wen'hua'chan'ye'ju'le'bu 文化产业俱乐部
'wen'wu'ai'hao'zhe'xie'hui 文物爱好者协会
'wen'xue'yuan 文学院
'wu'li'xue'yuan 物理学院
'wu'shu'xie'hui 武术协会
'xi'ban'ya'yu'ju'le'bu 西班牙语俱乐部
'xian'er 仙二
'xian'lin'xiao'qu 仙林校区
'xian'lin'zhong'xin 仙林中心
'xian'shui'ya 咸水鸭
'xian'yi 仙一
'xiang'yu'li'zhi'xie'hui 翔宇励志协会
'xiang'yu'li'zhi'zhe'xie'hui 翔宇励志者协会
'xiao'bai'he 小百合
'xiao'yi'yuan 校医院
'xin'jie'kou 新街口
'xin'li'xie'hui 心理协会
'xin'wen'chuan'bo'xue'yuan 新闻传播学院
'xin'xi'guan'li'xue'xi 信息管理学系
'xing'guang'guan'yue'tuan 星光管乐团
'xing'zheng'bei'lou 行政北楼
'xue'sheng'guo'ji'jiao'liu'yu'he'zuo'xie'hui 学生国际交流与合作协会
'xue'sheng'zhi'ye'fa'zhan'xie'hui 学生职业发展协会
'xue'shu'yu'wen'hua'jiao'liu'xie'hui 学术与文化交流协会
'xue'ze'lu 学则路
'ya'xue'fen'si'tang 鸭血粉丝汤
'yang'shi'tai'ji'quan'xie'hui 杨式太极拳协会
'yi'fu'lou 逸夫楼
'yi'xue'yuan 医学院
'yin'yue'ba 音乐吧
'ying'xiao'xue'she 营销学社
'ying'yu'ju'le'bu 英语俱乐部
'ying'yu'kou'yu'fa'zhan'xie'hui 英语口语发展协会
'yu'mao'qiu'xie'hui 羽毛球协会
'yue'yu'ju'le'bu 粤语俱乐部
'zhao'hua'xi'shi 朝花夕拾
'zhe'xue'xi 哲学系
'zheng'fu'guan'li'xue'yuan 政府管理学院
'zhi'dian'za'zhi'she 支点杂志社
'zhi'tian'shu'hua'she 知恬书画社
'zhi'xing'she 知行社
'zhong'mei'he'zuo'zhong'xin 中美合作中心
'zhong'yang'da'dao 中央大道
'zhui'feng'she 追风社
'zi'jing'zhan 紫荆站
'zi'teng'xue'she 紫藤学社
'zi'xing'che'xie'hui 自行车协会
'zu'qiu'xie'hui 足球协会
