'ban'ben 版本
'ding'huo'chu'li'zhou'qi 订货处理周期
'ding'huo'hui 订货会
'ding'huo'shen'he 订货审核
'ding'huo'zhou'qi 订货周期
'ding'jia 定价
'ding'shu 订数
'ding'xiao'ju 订销局
'ding'yue 订阅
'du'li'shu'dian 独立书店
'du'zhe'fu'wu'bu 读者服务部
'du'zhe'ju'le'bu 读者俱乐部
'dui'ma 堆码
'dui'zhang 对账
'duo'juan'chu'ban'wu 多卷出版物
'duo'mei'ti'dian'zi'chu'ban'wu 多媒体电子出版物
'fa'bao'kan'ju 发报刊局
'fa'huo 发货
'fa'huo'dan 发货单
'fa'huo'qu 发货区
'fa'huo'zhou'qi 发货周期
'fa'xing 发行
'fa'xing'cheng'ben 发行成本
'fa'xing'dan'zheng 发行单证
'fa'xing'dui'xiang 发行对象
'fa'xing'fan'wei 发行范围
'fa'xing'fang'shi 发行方式
'fa'xing'fei'yong 发行费用
'fa'xing'gong'zuo'zhe 发行工作者
'fa'xing'ji'tuan 发行集团
'fa'xing'liang'ren'zheng 发行量认证
'fa'xing'qi'ye 发行企业
'fa'xing'qu'dao 发行渠道
'fa'xing'ti'zhi 发行体制
'fa'xing'wang 发行网
'fa'xing'wang'dian 发行网点
'fa'xing'xie'hui 发行协会
'fa'xing'xin'xi 发行信息
'fa'xing'yong'jin 发行佣金
'fa'xing'zhe 发行者
'fa'yang'zheng'ding 发样征订
'fa'yun 发运
'fa'yun'fang'shi 发运方式
'fa'yun'zhou'qi 发运周期
'fei'fa'chu'ban'wu 非法出版物
'fei'you'fa'bao'kan 非邮发报刊
'fen'jian'shu'song'xi'tong 分拣输送系统
'feng'jing'bao'bo 俸警报菠
'feng'qian 封签
'fu'dian 复点
'fu'he 复核
'fu'kan 副刊
'fu'mian'chi'cun 幅面尺寸
'gao'mi'du'ji'guang'chang'pan 高密度激光唱盘
'gao'mi'du'ji'guang'shi'pan 高密度激光视盘
'gao'mi'du'zhi'du'guang'pan 高密度只读光盘
'gao'xiao'tu'shu'dai'ban'zhan 高校图书代办站
'ge'ti'shu'dian 个体书店
'gong'huo'shang 供货商
'gong'kai'fa'xing 公开发行
'gong'xiao'she'fa'xing'wang'dian 供销社发行网点
'gong'ying'lian'guan'li 供应链管理
'gong'ying'shang 供应商
'gong'ying'shang'guan'xi'guan'li 供应商关系管理
'gu'fen'zhi'shu'dian 股份制书店
'gu'jiu'shu'dian 古旧书店
'guan'pei 馆配
'guo'ji'biao'zhun'lian'xu'chu'ban'wu'hao 国际标准连续出版物号
'guo'ji'biao'zhun'shu'hao 国际标准书号
'guo'ji'biao'zhun'yin'xiang'zhi'pin'bian'ma 国际标准音像制品编码
'guo'ji'tu'shu'bo'lan'hui 国际图书博览会
'guo'kan 过刊
'guo'nei'tong'yi'kan'hao 国内统一刊号
'guo'nei'tong'yi'lian'xu'chu'ban'wu'hao 国内统一连续出版物号
'guo'wai'dai'hao 国外代号
'guo'you'shu'dian 国有书店
'hao'hua'ben 豪华本
'he'ding'ben 合订本
'he'jian 核件
'he'shi'yin'dai 盒式音带
'he'xin'qi'kan 核心期刊
'hui'kuan'lv 回款率
'huo'duo 货垛
'huo'jia 货架
'huo'sun'lv 货损率
'huo'wei 货位
'huo'ye'chu'ban'wu 活页出版物
'ji'cheng'dian'lu'ka 集成电路卡
'ji'du'mu'lu 机读目录
'ji'guan'bao 机关报
'ji'guang'chang'pan 激光唱盘
'ji'huo 集货
'ji'ti'shu'dian 集体书店
'ji'xiao 寄销
'ji'ya 积压
'ji'zhuang'xiang 集装箱
'jia'meng'dian 加盟店
'jian'xuan 拣选
'jian'xuan'che 拣选车
'jian'zhuang'ben 简装本
'jiang'jia'shu 降价书
'jiao'cai 教材
'jiao'cai'zheng'ding'mu'lu 教材征订目录
'jiao'hu'shi'guang'pan 交互式光盘
'jiao'yu'lei'tu'shu 教育类图书
'jie'suan 结算
'jie'suan'dan 结算单
'jin'zhi'fa'xing 禁止发行
'jin'zhi'xiao'shou 禁止销售
'jing'ji'xiao'yi 经济效益
'jing'xiao 经销
'jing'xiao'shang 经销商
'jue'ban'shu 绝版书
'kai'jia'shou'shu 开架售书
'ke'gong'mu'lu 可供目录
'ku'cun 库存
'ku'cun'chu'ban'wu'zi'jin 库存出版物资金
'ku'cun'guan'li 库存管理
'ku'cun'shu 库存书
'ku'cun'ti'cheng'cha'jia 库存提成差价
'ku'cun'zhou'qi 库存周期
'ku'cun'zhou'zhuan'lv 库存周转率
'kun'za'ji 捆扎机
'li'huo 理货
'li'ti'cang'ku 立体仓库
'lian'suo'jing'ying 连锁经营
'lian'suo'shu'dian 连锁书店
'lian'suo'shu'dian'zong'bu 连锁书店总部
'lian'xu'chu'ban'wu 连续出版物
'ling'shou 零售
'ling'shou'shang 零售商
'liu'dong 流动
'liu'tong'huan'jie 流通环节
'liu'zhuan'ku 流转库
'lu'xiang'dai 录像带
'lu'yin'dai 录音带
'ma'duo 码垛
'ma'jia 码价
'ma'jia'he'suan'zhi 码价核算制
'ma'pan 码盘
'ma'yang 码洋
'mai'chang 卖场
'mai'chang'cu'xiao 卖场促销
'mai'chang'dao'gou 卖场导购
'mai'chang'zi'xun 卖场咨询
'mang'wen'chu'ban'wu 盲文出版物
'men'dao'men'yun'shu'fu'wu 门到门运输服务
'men'shi'xiao'shou 门市销售
'mu'lu'zheng'ding 目录征订
'nei'bu'fa'xing 内部发行
'nei'bu'fa'xing'chu'ban'wu 内部发行出版物
'nei'bu'zi'liao'xing'chu'ban'wu 内部资料性出版物
'ni'xiang'wu'liu 逆向物流
'nian'jian 年鉴
'nong'cun'wang'dian 农村网点
'nong'jia'shu'wu 农家书屋
'pan'cun 盘存
'pan'cun'biao 盘存表
'pan'dian 盘点
'pei'fa 配发
'pei'shu'che 配书车
'pei'song 配送
'pei'song'zhong'xin 配送中心
'pi'fa 批发
'pi'fa'shang 批发商
'ping'zhuang'shu 平装书
'po'ding 破订
'pu'ji'du'wu 普及读物
'qi'kan 期刊
'qi'kan'he'ding'ben 期刊合订本
'qi'kan'jing'hua'ben 期刊精华本
'qi'ye'zi'yuan'ji'hua 企业资源计划
'qian'shou 签售
'quan'guo'shu'shi 全国书市
'quan'guo'tu'shu'jiao'yi'bo'lan'hui 全国图书交易博览会
'que'huo'deng'ji 缺货登记
'que'huo'lv 缺货率
'ren'jun'gou'shu'e 人均购书额
'ru'ku 入库
'shang'jia 上架
'shao'shu'min'zu'yu'mang'wen'zi'chu'ban'wu 少数民族语盲文字出版物
'she'hui'xiao'yi 社会效益
'she'pin'shi'bie 射频识别
'she'pin'shi'bie'xi'tong 射频识别系统
'she'qu'shu'dian 社区书店
'sheng'jiang'tai 升降台
'shi'chang'zhan'you'lv 市场占有率
'shi'jia 实价
'shi'xiao'shi'jie 实销实结
'shi'yang 实洋
'shou'huo 收货
'shou'huo'qu 收货区
'shou'huo'tong'zhi'dan 收货通知单
'shu'bao'tan 书报摊
'shu'dian 书店
'shu'ma'ji'guang'shi'pan 数码激光视盘
'shu'mu 书目
'shu'shi 书市
'shu'song'ji 输送机
'shu'xun 书讯
'sun'yi'dan 损溢单
'te'fa'bao'kan 特发报刊
'te'jia'shu 特价书
'te'xu'lian'suo'shu'dian 特许连锁书店
'te'yue'jing'xiao'dian 特约经销店
'ti'huo'ping'zheng 提货凭证
'tian'ding 添订
'tiao'ji 调剂
'tiao'ji'mu'lu 调剂目录
'ting'shou'feng'cun 停售封存
'tu'shu'ju'le'bu 图书俱乐部
'tu'shu'yue'du'lv 图书阅读率
'tu'shu'zai'ban'bian'mu'shu'ju 图书在版编目数据
'tuan'gou 团购
'tuan'ti'gong'ying 团体供应
'tui'huo 退货
'tui'huo'dan 退货单
'tui'huo'lv 退货率
'tui'jian'mu'lu 推荐目录
'tuo'pan 托盘
'tuo'qian'ding'dan 拖欠订单
'tuo'xiao 脱销
'tuo'yun 托运
'tuo'yun'ren 托运人
'wai'wen'chu'ban'ren 外文出版韧
'wai'wen'shu'dian 外文书店
'wang'luo'chu'ban'wu 网络出版物
'wang'luo'you'xi 网络游戏
'wang'shang'shu'dian 网上书店
'wei'jin'chu'ban'wu 违禁出版物
'wei'shu 伪书
'wu'liu'fu'wu 物流服务
'wu'liu'fu'wu'zhi'liang 物流服务质量
'wu'liu'gong'gong'xin'xi'ping'tai 物流公共信息平台
'wu'liu'guan'li'xin'xi'xi'tong 物流管理信息系统
'wu'liu'he'tong 物流合同
'wu'liu'lian'meng 物流联盟
'wu'liu'qi'ye 物流企业
'wu'liu'wang'luo 物流网络
'wu'liu'ye'wu'liu'cheng 物流业务流程
'wu'liu'zhong'xin 物流中心
'wu'liu'zuo'ye 物流作业
'xi'lie'chu'ban'wu 系列出版物
'xi'tong'fa'xing 系统发行
'xi'tong'zheng'ding 系统征订
'xian'huo'mu'lu 现货目录
'xian'liang'ban 限量版
'xian'zhuang'shu 线装书
'xiao'shou 销售
'xiao'shou'shi'dian'xi'tong 销售时点系统
'xin'shu'yu'gao 新书预告
'xin'zeng'cun'huo'lv 新增存货率
'xiu'ding'ban 修订版
'xu'ding 续订
'xue'bao 学报
'xue'kan 学刊
'xue'shu'zhu'zuo 学术著作
'yan'shou 验收
'yang'shu 样书
'yi'ban'tu'shu 一般图书
'yi'dong'shi'huo'jia 移动式货架
'yin'ci 印次
'yin'hui'chu'ban'wu 淫秽出版物
'yin'xiang'chu'ban'wu 音像出版物
'yin'xiang'shu'dian 音像书店
'ying'yin'ben 影印本
'you'fa'bao'kan 邮发报刊
'you'fa'dai'hao 邮发代号
'you'gou'shu'dian 邮购书店
'you'ju'fa'xing'wang 邮局发行网
'you'sheng'du'wu 有声读物
'you'zheng'bao'kan'men'shi'bu 邮政报刊门市部
'you'zheng'bao'kan'ting 邮政报刊亭
'yun'dan 运单
'yun'jia'lv 运价率
'yun'shu 运输
'yun'shu'bao'jian 运输包件
'yun'shu'bao'zhuang 运输包装
'za'zhi 杂志
'za'zhi'shu 杂志书
'zai'ban'shu 在版书
'zan'cun'ku 暂存库
'zeng'bu'ban 增补版
'zeng'ding'ban 增订版
'zeng'kan 增刊
'zhan'wu'ku 栈务库
'zhan'xiao 展销
'zhang'huo'xiang'fu'lv 账货相符率
'zhang'qi 账期
'zhao'hui 召回
'zhao'pian'guang'pan 照片光盘
'zhe'kou 折扣
'zheng'ding 征订
'zheng'ding 整订
'zheng'ding'dai'ma 征订代码
'zheng'ding'mu'lu 征订目录
'zheng'shi'chu'ban'wu 正式出版物
'zhi'du'guang'pan 只读光盘
'zhi'pi'shu 纸皮书
'zhi'qian 制签
'zhi'xiao 直销
'zhi'xiao'shu 滞销书
'zhi'ying'dian 直营店
'zhong'dian'shu 重点书
'zhong'guo'biao'zhun'lian'xu'chu'ban'wu'hao 中国标准连续出版物号
'zhong'guo'biao'zhun'shu'hao 中国标准书号
'zhong'guo'biao'zhun'yin'xiang'zhi'pin'bian'ma 中国标准音像制品编码
'zhong'guo'ji'du'mu'lu 中国机读目录
'zhong'li'shi'huo'jia 重力式货架
'zhou'zhuan'xiang 周转箱
'zhu'fa 主发
'zhu'ji'zheng'ding 逐级征订
'zhuan'kan 专刊
'zhuan'ti'chu'ban'wu 专题出版物
'zhuan'ti'mu'lu 专题目录
'zhuan'ye'lei'tu'shu 专业类图书
'zhuan'ye'shu'dian 专业书店
'zhuan'ye'wang'dian 专业网点
'zhuang'xiang'dan 装箱单
'zhuang'xie 装卸
'zi'ban'fa'xing 自办发行
'zi'dong'cun'chu'qu'huo'xi'tong 自动存储取货系统
'zi'dong'hua'li'ti'cang'ku 自动化立体仓库
'zi'ran'bao 自然包
'zi'ran'bao'biao'qian 自然包标签
'zi'ti 自提
'zi'you'lian'suo'shu'dian 自由连锁书店
'zi'yuan'lian'suo'dian 自愿连锁店
'zong'fa'xing 总发行
'zong'fa'xing'dan'wei 总发行单位
'zong'he'wang'dian 综合网点
