'an'jiao 岸礁
'da'lu'du 大陆度
'da'lu'jia 大陆架
'da'lu'po 大陆坡
'da'lu'xing'bing'chuan 大陆性冰川
'da'lu'xing'qi'hou 大陆性气候
'da'qi'chuang 大气窗
'da'qi'qian'yi 大气迁移
'da'qi'quan 大气圈
'da'qi'wu'ran 大气污染
'da'tian'zhi'du 大田制度
'dan'mian'shan 单面山
'dan'shui'hu 淡水湖
'dan'xia'di'mao 丹霞地貌
'dan'yuan'jing'guan 单元景观
'dao'geng'huo'zhong 刀耕火种
'dao'shan 岛山
'dao'yu 岛屿
'dao'zhi'di'mao 倒置地貌
'deng'ji'kuo'san 等级扩散
'deng'ji'tou'ying 等积投影
'deng'jiao'tou'ying 等角投影
'deng'ju'tou'ying 等距投影
'deng'ju'yuan'ze 等距原则
'deng'zhi'xian'ruan'jian 等值线软件
'deng'zhi'xian'tu 等值线图
'di'dai 地带
'di'dai'xing 地带性
'di'di 低地
'di'er'chan'ye 第二产业
'di'fang'bing 地方病
'di'fang'qi'hou 地方气候
'di'fang'xing 地方性
'di'li'da'fa'xian 地理大发现
'di'li'dan'yuan 地理单元
'di'li'di'tu 地理底图
'di'li'fan'xi'fen'xi 地理泛系分析
'di'li'fen'bu 地理分布
'di'li'fen'xi 地理分析
'di'li'guo'cheng 地理过程
'di'li'huan'jing 地理环境
'di'li'ji'liang'xue 地理计量学
'di'li'jie'xian 地理界线
'di'li'jing'du 地理精度
'di'li'jing'du 地理经度
'di'li'kao'cha 地理考察
'di'li'pou'mian 地理剖面
'di'li'quan 地理圈
'di'li'shu'ju'cai'bian 地理数据采编
'di'li'shu'ju'ku 地理数据库
'di'li'tong'ming 地理通名
'di'li'wei'du 地理纬度
'di'li'xi'tong 地理系统
'di'li'xiang'guan'fa 地理相关法
'di'li'xin'xi'xi'tong 地理信息系统
'di'li'xue 地理学
'di'li'xue'shi 地理学史
'di'li'xue'si'xiang'shi 地理学思想史
'di'li'xue'ti'xi 地理学体系
'di'li'yao'gan 地理遥感
'di'li'yin'zi 地理因子
'di'li'zhi'tu 地理制图
'di'li'zhuan'ming 地理专名
'di'li'zhuan'ye'ci'hui 地理专业词汇
'di'li'zong'he 地理综合
'di'li'zu'zhang 地理阻障
'di'li'zuo'biao 地理坐标
'di'li'zuo'biao'can'kao'xi 地理坐标参考系
'di'li'zuo'biao'wang 地理坐标网
'di'mao 地貌
'di'mao'cheng'yin 地貌成因
'di'mao'dao'zhi 地貌倒置
'di'mao'guo'cheng 地貌过程
'di'mao'liang'ji'xue 地貌量计学
'di'mao'nian'dai'xue 地貌年代学
'di'mao'shi'dai 地貌世代
'di'mao'xing'cheng'zuo'yong 地貌形成作用
'di'mao'xu'lie 地貌序列
'di'mao'xue 地貌学
'di'mao'zu'he 地貌组合
'di'mian'chen'jiang 地面沉降
'di'mian'fen'bian'lv 地面分辨率
'di'mian'shi'kuang 地面实况
'di'ming 地名
'di'ming'biao'zhun'hua 地名标准化
'di'ming'luo'ma'hua 地名罗马化
'di'ming'shu'ju'ku 地名数据库
'di'ming'xue 地名学
'di'ming'zheng'ming 地名正名
'di'qiao'jun'heng 地壳均衡
'di'qiu 地球
'di'qiu'biao'ceng 地球表层
'di'qiu'biao'mian 地球表面
'di'qiu'hua'xue'jing'guan 地球化学景观
'di'qiu'ti 地球体
'di'qiu'zi'yuan'wei'xing 地球资源卫星
'di'qu 地区
'di'quan 地圈
'di'san'chan'ye 第三产业
'di'sheng'tai'xue 地生态学
'di'shi'qu'xian 地势曲线
'di'si'chan'ye 第四产业
'di'tu 地图
'di'tu'bian'hui 地图编绘
'di'tu'bian'ji 地图编辑
'di'tu'bian'ji'xi'tong 地图编辑系统
'di'tu'biao'shi'fang'fa 地图表示方法
'di'tu'chuan'shu'lun 地图传输论
'di'tu'fen'fu 地图分幅
'di'tu'fen'lei 地图分类
'di'tu'fen'xi 地图分析
'di'tu'fu'hao 地图符号
'di'tu'fu'hao'xue 地图符号学
'di'tu'gai'kuo 地图概括
'di'tu'gan'shou'lun 地图感受论
'di'tu'geng'xin 地图更新
'di'tu'gong'neng 地图功能
'di'tu'gui'fan 地图规范
'di'tu'gui'na'fa 地图归纳法
'di'tu'ji 地图集
'di'tu'liang'suan 地图量算
'di'tu'mo'shi'lun 地图模式论
'di'tu'pan'du 地图判读
'di'tu'ping'jia 地图评价
'di'tu'she'ji 地图设计
'di'tu'shu'ju'jie'gou 地图数据结构
'di'tu'shu'xue'mo'xing 地图数学模型
'di'tu'shu'zi'hua 地图数字化
'di'tu'te'zheng'ma 地图特征码
'di'tu'tou'ying 地图投影
'di'tu'tu'xing 地图图型
'di'tu'xin'xi 地图信息
'di'tu'xin'xi'lun 地图信息论
'di'tu'xin'xi'xi'tong 地图信息系统
'di'tu'xue 地图学
'di'tu'xue'shi 地图学史
'di'tu'yan'yi'fa 地图演绎法
'di'tu'yu'yan 地图语言
'di'tu'zuo'biao'wang 地图坐标网
'di'wei'zhao'ze 低位沼泽
'di'wen'xue 地文学
'di'xia 地峡
'di'xia'bing 地下冰
'di'xia'he 地下河
'di'xia'shui'ku 地下水库
'di'xia'shui'wei 地下水位
'di'xia'shui'wen'xue 地下水文学
'di'xing'fen'xi'cheng'xu 地形分析程序
'di'xing'ji'mian 地形基面
'di'xing'mo'xing 地形模型
'di'xing'pi'pei 地形匹配
'di'xing'qi'hou'xue 地形气候学
'di'xing'tu 地形图
'di'yi'chan'ye 第一产业
'di'yu'lei'xing 地域类型
'di'yu'sheng'chan'zong'he'ti 地域生产综合体
'di'yu'xi'tong 地域系统
'di'yu'zhuan'ye'hua 地域专业化
'di'yu'zi'ran'zong'he'ti 地域自然综合体
'di'yuan'zheng'zhi'xue 地缘政治学
'di'zhi'xue 地志学
'di'zhong'hai'qi'hou 地中海气候
'di'zhou 地轴
'dian'zhi'tu 点值图
'die'jia'ding'lv 叠加定律
'ding'ji'qun'luo 顶极群落
'ding'ji'tu'rang 顶极土壤
'dong'hai 冻害
'dong'jie'ceng'zhong'shui 冻结层中水
'dong'jie'zhi'shu 冻结指数
'dong'li'di'mao'xue 动力地貌学
'dong'rong'xun'huan 冻融循环
'dong'tai'di'tu 动态地图
'dong'tu 冻土
'dong'tu'dong'li'xue 冻土动力学
'dong'tu'jin'hua 冻土进化
'dong'tu'tui'hua 冻土退化
'dong'tu'xiang'fen'xi 冻土相分析
'dong'tu'xue 冻土学
'dong'wu'chuan'bu 动物传布
'dong'wu'di'li'xue 动物地理学
'dong'wu'qu'xi 动物区系
'dong'wu'qun'luo 动物群落
'dong'xian'di'tu 动线地图
'dong'xue'dui'ji 洞穴堆积
'dong'xue'xue 洞穴学
'dong'yang'jie 东洋界
'dong'zhang 冻胀
'dong'zhang'li 冻胀力
'du'jia'cun 度假村
'du'neng'huan 杜能环
'du'neng'mo'shi 杜能模式
'du'shi'ji'ju 都市集聚
'du'shi'shui'wen'xue 都市水文学
'duan'ceng'gu 断层谷
'duan'ceng'san'jiao'mian 断层三角面
'duan'ceng'xian'ya 断层线崖
'duan'ceng'ya 断层崖
'duan'kuai'shan 断块山
'duan'lie'dian 断裂点
'duan'qi'ju'luo 短期聚落
'dui'ji'wu 堆积物
'dui'ji'zuo'yong 堆积作用
'duo'bian'xing'di'tu 多边形地图
'duo'bo'duan'sao'miao'qi 多波段扫描器
'duo'bo'duan'yao'gan 多波段遥感
'duo'he'xin'lun 多核心论
'duo'nian'dong'tu 多年冻土
'duo'wei'fen'xi 多维分析
'duo'yao'su'di'tu 多要素地图
'fa'da'guo'jia 发达国家
'fa'zhan'di'li'xue 发展地理学
'fa'zhan'qu 发展区
'fa'zhan'zhong'guo'jia 发展中国家
'fan'bei'ji 泛北极
'fan'cha'tiao'zheng 反差调整
'fan'jiang 翻浆
'fan'wei'tu 范围图
'fan'zhao'lv 反照率
'fan'zui'di'li 犯罪地理
'fang'shan 方山
'fang'wei'tou'ying 方位投影
'fang'zhi 方志
'fei'di'dai'xing 非地带性
'fei'ji'chu'hang'ye 非基础行业
'fei'ke'zai'sheng'zi'yuan 非可再生资源
'fei'sheng'yuan'jing'guan 非生源景观
'fen'bu'qu 分布区
'fen'bu'qu'jian'duan 分布区间断
'fen'bu'qu'xing 分布区型
'fen'bu'qu'zhong'xin 分布区中心
'fen'ceng'she'se'fa 分层设色法
'fen'cha'xi'shu 分岔系数
'fen'feng 焚风
'fen'jie'xian 分界线
'fen'san'cheng'shi 分散城市
'fen'shui'ling 分水岭
'feng'hua'ceng 风化层
'feng'hua'qiao 风化壳
'feng'hua'zuo'yong 风化作用
'feng'kou 风口
'feng'leng'shi 风棱石
'feng'lin 峰林
'feng'shi 风蚀
'feng'shi'ji 风蚀脊
'feng'shi'keng 风蚀坑
'feng'shi'wa'di 风蚀洼地
'feng'su 风速
'feng'wo'zhuang'sha'qiu 蜂窝状沙丘
'feng'xiang 风向
'feng'zai 风灾
'fu'bing'dong'tu 富冰冻土
'fu'di 腹地
'fu'di'mao 负地貌
'fu'he'tu'di'li'yong 复合土地利用
'fu'li'di'li 福利地理
'fu'ying'yang'zhao'ze 富营养沼泽
'fu'zhong'zhi'shu 复种指数
'gan'gu 干谷
'gan'he'hu 干涸湖
'gan're'feng 干热风
'gan'yan'hu 干盐湖
'gan'ying'di'li'xue 感应地理学
'gan'zao'du 干燥度
'gan'zao'qi'hou 干燥气候
'gao'cao'cao'yuan 高草草原
'gao'di 高地
'gao'shan 高山
'gao'shan'ai'qu'lin 高山矮曲林
'gao'shan'bing 高山病
'gao'shan'cao'chang'lun'mu 高山草场轮牧
'gao'shan'dong'tu 高山冻土
'gao'shan'hu 高山湖
'gao'shan'ji'jie'yi'mu 高山季节移牧
'gao'shan'tu'rang 高山土壤
'gao'si'ke'lv'ge'tou'ying 高斯克吕格投影
'gao'wei'zhao'ze 高位沼泽
'gao'yuan 高原
'gao'yuan'qi'hou 高原气候
'gao'yuan'zhao'ze 高原沼泽
'ge'bi 戈壁
'ge'tuo'qu 隔坨区
'ge'wang'shu'ju'ku 格网数据库
'geng'zuo'zhi'du 耕作制度
'gong'chang'hua'nong'ye 工厂化农业
'gong'hai 公害
'gong'hai'bing 公害病
'gong'kuang'qu 工矿区
'gong'shui 供水
'gong'ye'bu'ju 工业布局
'gong'ye'cheng'shi 工业城市
'gong'ye'di'dai 工业地带
'gong'ye'di'li'xue 工业地理学
'gong'ye'di'yu'lei'xing 工业地域类型
'gong'ye'fen'san 工业分散
'gong'ye'ji'di 工业基地
'gong'ye'ji'ju 工业集聚
'gong'ye'ji'zhong 工业集中
'gong'ye'kuo'san 工业扩散
'gong'ye'qu 工业区
'gong'ye'qu'wei 工业区位
'gong'ye'qu'wei'lun 工业区位论
'gong'ye'qu'wei'zheng'ce 工业区位政策
'gong'ye'ti'xi 工业体系
'gong'ye'zhong'xin 工业中心
'gong'ye'zong'he'ti 工业综合体
'gong'zhuan 公转
'gou'gu 沟谷
'gou'zao'di'mao'xue 构造地貌学
'gou'zao'gao'yuan 构造高原
'gou'zao'hu 构造湖
'gou'zao'jie'di 构造阶地
'gu'bei'jie 古北界
'gu'di'li'xue 古地理学
'gu'di'tu 古地图
'gu'ding'sha'qiu 固定沙丘
'gu'qi'hou 古气候
'gu'qiu 鼓丘
'gu'shui'wen'xue 古水文学
'gu'tu'rang 古土壤
'guan'yong'ming 惯用名
'guang'xue'tu'xiang'chu'li 光学图象处理
'gui'hua'di'tu 规划地图
'gui'lv'nian'tu'xing'feng'hua'qiao 硅铝粘土型风化壳
'gui'lv'tan'suan'yan'xing'feng'hua'qiao 硅铝碳酸盐型风化壳
'gui'lv'tie'zhi'he'fu'lv'xing'feng'hua'qiao 硅铝铁质和富铝型风化壳
'gui'lv'yang'hua'wu'liu'suan'yan'xing'feng'hua'qiao 硅铝氧化物硫酸盐型风化壳
'gui'mo'jing'ji 规模经济
'guo'cheng'xian 过程线
'guo'jia'di'tu'ji 国家地图集
'guo'jia'gong'yuan 国家公园
'guo'tu'gui'hua 国土规划
'guo'tu'kai'fa 国土开发
'guo'tu'zheng'zhi 国土整治
'guo'tu'zi'yuan'wei'xing 国土资源卫星
'hai'an 海岸
'hai'an'di'mao'xue 海岸地貌学
'hai'an'jie'di 海岸阶地
'hai'ba 海拔
'hai'bin'zhao'ze 海滨沼泽
'hai'gou 海沟
'hai'ling 海岭
'hai'long 海隆
'hai'lu'feng 海陆风
'hai'shi'dong 海蚀洞
'hai'shi'kan 海蚀龛
'hai'shi'tai 海蚀台
'hai'shi'ya 海蚀崖
'hai'shi'zhu 海蚀柱
'hai'shi'zuo'yong 海蚀作用
'hai'tan 海滩
'hai'xia 海峡
'hai'yang'huan'jing 海洋环境
'hai'yang'wei'xing 海洋卫星
'hai'yang'wu'ran 海洋污染
'hai'yang'xing'bing'chuan 海洋性冰川
'hai'yang'xing'qi'hou 海洋性气候
'hai'yuan 海渊
'han'bing'liang 含冰量
'han'chao 寒潮
'han'dai 寒带
'han'dong'feng'hua 寒冻风化
'han'nong 旱农
'han'sheng'zhi'wu 旱生植物
'han'shui'ceng 含水层
'han'zai 旱灾
'hang'kong'she'ying 航空摄影
'hang'kong'she'ying'ce'liang 航空摄影测量
'hang'kong'yao'gan 航空遥感
'hang'tian'yao'gan 航天遥感
'he'bei'cai'hua 河北彩花
'he'cheng'di'tu 合成地图
'he'chuang 河床
'he'chuang'bian'xing 河床变形
'he'dao'deng'ji 河道等级
'he'dao'po'jiang 河道坡降
'he'kou'wan 河口湾
'he'liu'bu'gei 河流补给
'he'liu'cuo'wei 河流错位
'he'liu'jie'di 河流阶地
'he'liu'pian'yi 河流偏移
'he'liu'shu'mu'ding'lv 河流数目定律
'he'liu'xi'duo 河流袭夺
'he'liu'xue 河流学
'he'man'tan 河漫滩
'he'tu 褐土
'he'wang'mi'du 河网密度
'he'xin'bian'yuan'lun 核心边缘论
'he'xin'qu 核心区
'he'yuan 河源
'hei'gai'tu 黑钙土
'heng'gu 横谷
'heng'xiang'sha'qiu 横向沙丘
'hong'feng'liu'liang 洪峰流量
'hong'ji'ceng 洪积层
'hong'ji'shan 洪积扇
'hong'ji'wu 洪积物
'hong'rang 红壤
'hong'shu'lin 红树林
'hong'shu'lin'zhao'ze 红树林沼泽
'hong'shui 洪水
'hong'shui'wei 洪水位
'hu'bu'se'li'ti'xian'shi 互补色立体显示
'hu'liu 湖流
'hu'pen 湖盆
'hu'po'fu'ying'yang'hua 湖泊富营养化
'hu'po'shui'wen'xue 湖泊水文学
'hu'po'xu'shui'liang 湖泊蓄水量
'hu'shui'huan'liu 湖水环流
'hu'tian'zhen'qin 户田真琴
'hu'zhao'xue 湖沼学
'hua'lai'shi'xian 华莱士线
'hua'po 滑坡
'hua'ta 滑塌
'hua'tai'zheng'quan 华泰证券
'hua'xue'bo'shi 化学剥蚀
'hua'xue'di'li'xue 化学地理学
'hua'xue'feng'hua'zuo'yong 化学风化作用
'hua'xue'qian'yi 化学迁移
'huan'chong'guo 缓冲国
'huan'jiao 环礁
'huan'jing'bao'hu 环境保护
'huan'jing'bei'jing'zhi 环境背景值
'huan'jing'biao'zhun 环境标准
'huan'jing'di'li'xue 环境地理学
'huan'jing'di'qiu'hua'xue 环境地球化学
'huan'jing'guan'li 环境管理
'huan'jing'gui'hua 环境规划
'huan'jing'jie'gou 环境结构
'huan'jing'jing'ji 环境经济
'huan'jing'jue'ding'lun 环境决定论
'huan'jing'qu'hua 环境区划
'huan'jing'rong'liang 环境容量
'huan'jing'she'ji 环境设计
'huan'jing'tui'hua 环境退化
'huan'jing'wei'xing'xi'lie 环境卫星系列
'huan'jing'wu'ran 环境污染
'huan'jing'xi'tong 环境系统
'huan'jing'xiao'ying 环境效应
'huan'jing'xin'xi'xi'tong 环境信息系统
'huan'jing'yan'hua 环境演化
'huan'jing'yao'gan 环境遥感
'huan'jing'yao'su 环境要素
'huan'jing'yi'chang 环境异常
'huan'jing'ying'xiang'ping'jia 环境影响评价
'huan'jing'zhi'liang 环境质量
'huan'jing'zhi'liang'can'shu 环境质量参数
'huan'jing'zhi'liang'ping'jia 环境质量评价
'huan'jing'zhi'liang'zhi'shu 环境质量指数
'huan'jing'zhi'liang'zong'he'ping'jia 环境质量综合评价
'huan'jing'zi'jing 环境自净
'huang'mo 荒漠
'huang'mo'hua 荒漠化
'huang'mo'qi'hou 荒漠气候
'huang'mo'tu'rang 荒漠土壤
'huang'rang 黄壤
'huang'tu 黄土
'huang'tu'di'mao 黄土地貌
'huang'tu'liang 黄土梁
'huang'tu'mao 黄土峁
'huang'tu'yuan 黄土塬
'hui'chun'zuo'yong 回春作用
'hui'hua'tu 灰化土
'hui'liu 汇流
'hui'mo'tu 灰漠土
'hui'shui'qu 汇水区
'hui'tu'cheng'xu'ku 绘图程序库
'hun'he'nong'ye 混合农业
'huo'dong'kong'jian 活动空间
'huo'liu 货流
'huo'liu'di'li 货流地理
'huo'shan 火山
'huo'shan'hu 火山湖
'huo'shan'zuo'yong 火山作用
'ji'chu'gong'ye 基础工业
'ji'chu'hang'ye 基础行业
'ji'di'bing'chuan 极地冰川
'ji'di'qi'hou 极地气候
'ji'feng 季风
'ji'feng'yu'lin 季风雨林
'ji'guang'yao'gan 激光遥感
'ji'hua'guo'cheng 极化过程
'ji'jie'dong'tu 季节冻土
'ji'jie'xing'hu'po 季节性湖泊
'ji'jin'di'li'xue 激进地理学
'ji'lei'qu 积累区
'ji'liu 基流
'ji'quan 极圈
'ji'shi 集市
'ji'shu'di'li'xue 技术地理学
'ji'shu'jing'ji'ping'jia 技术经济评价
'ji'shu'mi'ji'gong'ye 技术密集工业
'ji'shu'quan 技术圈
'ji'suan'ji'fu'zhu'zhi'tu 计算机辅助制图
'ji'wen 积温
'ji'xie'feng'hua'zuo'yong 机械风化作用
'ji'xie'qian'yi 机械迁移
'ji'xue 积雪
'ji'xue'shui'wen'xue 积雪水文学
'ji'yan 基岩
'ji'yan'shan 基岩扇
'ji'ye 极夜
'ji'yue'nong'ye 集约农业
'ji'zhou 极昼
'jia'cai'se'he'cheng 假彩色合成
'jia'ji'zuo'yong 加积作用
'jia'jiao 岬角
'jia'ka'si'te 假喀斯特
'jia'miao'liu'hua 佳苗瑠华
'jia'se'he'cheng 加色合成
'jian'bing'qi 间冰期
'jian'cheng'qu 建成区
'jian'she'di'li'xue 建设地理学
'jian'tu 碱土
'jian'xing'ba 尖形坝
'jian'xing'tan 尖形滩
'jian'ying'nong'ye 兼营农业
'jiang'shui 降水
'jiao'feng 角峰
'jiao'qu 郊区
'jiao'qu'hua 郊区化
'jiao'qu'nong'ye 郊区农业
'jiao'tong'di'li'xue 交通地理学
'jiao'tong'du'se 交通堵塞
'jie'di 阶地
'jie'di'zhao'ze 阶地沼泽
'jie'fang 街坊
'jie'ke'zuo'yong 结壳作用
'jin'zhan'yin'su 进展因素
'jing'guan 景观
'jing'guan'di'qiu'hua'xue 景观地球化学
'jing'guan'quan 景观圈
'jing'guan'sheng'tai'xue 景观生态学
'jing'guan'sun'hai 景观损害
'jing'guan'xue 景观学
'jing'ji'di'li'tiao'jian 经济地理条件
'jing'ji'di'li'wei'zhi 经济地理位置
'jing'ji'di'li'xue 经济地理学
'jing'ji'fa'zhan'zhan'lue 经济发展战略
'jing'ji'ji'shu'kai'fa'qu 经济技术开发区
'jing'ji'ping'jia 经济评价
'jing'ji'qu 经济区
'jing'ji'qu'hua 经济区划
'jing'ji'te'qu 经济特区
'jing'ji'xiao'yi 经济效益
'jing'ji'xie'zuo'qu 经济协作区
'jing'jie'shui'wei 警戒水位
'jing'liu 径流
'jing'liu'bian'lv 径流变率
'jing'liu'mo'shu 径流模数
'jing'liu'xi'shu 径流系数
'jing'wei'wang 经纬网
'jing'wei'wang'ge 经纬网格
'jing'xian 经线
'jiu're'dai'jie 旧热带界
'jiu'ye'jie'gou 就业结构
'ju'bu'qin'shi'ji'zhun'mian 局部侵蚀基准面
'ju'li'shuai'jian'yuan'ze 距离衰减原则
'ju'luo 聚落
'ju'luo'di'li'xue 聚落地理学
'ju'luo'lei'xing 聚落类型
'jun'shi'di'li 军事地理
'ka'si'te 喀斯特
'ka'si'te'di'mao 喀斯特地貌
'ka'si'te'di'mao'xue 喀斯特地貌学
'ka'si'te'hua 喀斯特化
'ka'si'te'ping'yuan 喀斯特平原
'ke'da'xing 可达性
'ke'liu 客流
'ke'liu'di'li 客流地理
'ke'mian'lian'he'ti 刻面联合体
'ke'shan'bing 克山病
'ke'shi 刻蚀
'ke'shi'di'mao 刻蚀地貌
'ke'xue'gong'ye'yuan 科学工业园
'ke'zai'sheng'zi'yuan 可再生资源
'ken'zhi'zhi'shu 垦殖指数
'kong'jian'cha'ju 空间差距
'kong'jian'jie'gou 空间结构
'kong'jian'jing'ji 空间经济
'kong'jian'shu'ju'ku'guan'li'xi'tong 空间数据库管理系统
'kong'jian'ti'xi 空间体系
'kong'jian'xiang'hu'zuo'yong 空间相互作用
'kong'jian'zhu'quan 空间主权
'kong'jian'zu'zhi 空间组织
'kong'zhong'zou'lang 空中走廊
'kuai'zhuang'beng'luo 块状崩落
'kuai'zhuang'tu 块状图
'kuang'quan 矿泉
'kuang'ye'ju'luo 矿业聚落
'kuo'san'zhong'xin 扩散中心
'kuo'zhan'kuo'san 扩展扩散
'lao'dong'di'yu'fen'gong 劳动地域分工
'lao'dong'li 劳动力
'lao'dong'shi'chang 劳动市场
'lao'li'mi'ji'gong'ye 劳力密集工业
'lei'da'yao'gan 雷达遥感
'lei'ka'si'te 类喀斯特
'lei'xing'tu 类型图
'leng'hai 冷害
'leng'quan 冷圈
'leng'quan'xue 冷圈学
'li'dui'shan 离堆山
'li'gai'tu 栗钙土
'li'lun'di'li'xue 理论地理学
'li'mo 砾漠
'li'shi'di'li'xue 历史地理学
'li'shi'di'tu'ji 历史地图集
'li'shi'qi'hou 历史气候
'li'shi'ren'wen'di'li 历史人文地理
'li'shi'zi'ran'di'li 历史自然地理
'li'ti'di'tu 立体地图
'li'ti'guan'cha 立体观察
'li'ti'xiang'dui 立体象对
'li'xue 粒雪
'li'xue'hua'zuo'yong 粒雪化作用
'li'xue'pen 粒雪盆
'lian'dao'ba 连岛坝
'liang'shi'sheng'chan'ji'di 粮食生产基地
'lie'di 劣地
'lie'dian 裂点
'lie'xi'shui 裂隙水
'lin'di'zhao'ze 林地沼泽
'lin'li 邻里
'lin'liang'jian'zuo 林粮间作
'lin'qu 林区
'ling'dian'mu 零点幕
'ling'hai 领海
'ling'kong 领空
'ling'tu 领土
'liu'dong'ren'kou 流动人口
'liu'dong'sha'qiu 流动沙丘
'liu'liang 流量
'liu'liang'guo'cheng'xian'fen'ge 流量过程线分割
'liu'shui'di'mao 流水地貌
'liu'shui'di'mao'xue 流水地貌学
'liu'shui'guo'cheng 流水过程
'liu'tong'wang'luo'xi'tong 流通网络系统
