'a'bo'luo'xing 阿波罗型
'kuai'yi'de'ji'shu 快意的技术
'kuan'yin'mu'dian'ying 宽银幕电影
'kuang'biao'shi'jin'yun'dong 狂飚实进运动
'kuo'chong'yun 扩充韵
'la'ding'mei'zhou'yin'yue 拉丁美洲音乐
'la'hua'fa 蜡画法
'lang'man'de'feng'la 浪漫的讽剌
'lang'man'de'yi'shu'xing'shi 浪漫的艺术形式
'lang'man'pai 浪漫派
'lang'man'qu 浪漫曲
'lang'man'qu'xing'shi 浪漫曲形式
'lang'man'xing 浪漫性
'lang'man'zhu'yi 浪漫主义
'lao'dong'ge 劳动歌
'lao'nian'yang'shi 老年样式
'le'jie 乐节
'le'ju 乐剧
'le'shi 乐式
'le'zhong 乐种
'lei'xing 类型
'lei'xing'hua'xiang'zheng 类型化象征
'lei'xing'mei 类型美
'lei'xing'xue 类型学
'leng'chou'xiang 冷抽象
'leng'se 冷色
'li'bai'diao'ke 礼拜雕刻
'li'bai'jia'zhi 礼拜价值
'li'jie'pan'duan 理解判断
'li'liang'de'chong'gao 力量的崇高
'li'nian 理念
'li'shi'de'ke'guan'jing'shen 历史的客观精神
'li'shi'de'pi'ping 历史的批评
'li'shi'de'xian'zai 历史的现在
'li'shi'dian'ying 历史电影
'li'shi'hua 历史画
'li'shi'mei 历史美
'li'shi'wen'xue 历史文学
'li'shi'xiao'shuo 历史小说
'li'shi'yang'shi 历史样式
'li'ti'pai'jie'zou 立体派节奏
'li'xiang 立像
'li'xiang'de'feng'jing'hua 理想的风景画
'li'xiang'hua 理想化
'li'xiang'mei 理想美
'li'xiang'xing 理想型
'li'xiang'zhu'yi'yang'shi 理想主义样式
'li'zu 立足
'lian'ge 连歌
'lian'xiang 联想
'lian'xu'xing'shi 连续形式
'liang'gan 量感
'lin'shi'deng'chang'ren'yuan 临时登场人员
'ling'gan 灵感
'liu'pai'yang'shi 流派样式
'liu'xing'yi'shu 流行艺术
'liu'yi 六艺
'liu'yin'yin'jie 六音音阶
'lu'yin 录音
'lun'kuo 轮廓
'lun'kuo'xian 轮廓线
'lun'li'mei 伦理美
'lun'li'xiao'shuo 伦理小说
'luo'ma'ju 罗马剧
'luo'ti'hua 裸体画
'ma'ke'si'zhu'yi'mei'xue 马克思主义美学
'man'hai'mu'le'pai 曼海姆乐派
'man'hua 漫画
'mao'dun'fa 矛盾法
'mao'xian'xiao'shuo 冒险小说
'mei 美
'mei'di 美的
'mei'di'beng'luo'xing 美的崩落性
'mei'di'ceng'ci 美的层次
'mei'di'fa'ze'xing 美的法则性
'mei'di'gai'nian 美的概念
'mei'di'ge'li'xing 美的隔离性
'mei'di'guan'nian'xing 美的观念性
'mei'di'ji'ben'xing'tai 美的基本形态
'mei'di'ji'shu 美的技术
'mei'di'jia'xiang 美的假象
'mei'di'jie'duan 美的阶段
'mei'di'ju'xiang'jie'duan 美的具象阶段
'mei'di'ke'guan'xing 美的客观性
'mei'di'ling'hun 美的灵魂
'mei'di'ren 美的人
'mei'di'shen'du 美的深度
'mei'di'shi'zai'xing 美的实在性
'mei'di'xian 美的线
'mei'di'xing'shi'yuan'li 美的形式原理
'mei'di'yang'tai 美的样态
'mei'di'yi'wei'fang'xiang 美的意味方向
'mei'di'zi'lv'xing 美的自律性
'mei'di'zi'ran'dui'xiang 美的自然对象
'mei'di'zuo'yong 美的作用
'mei'hua'ji'shu 美化技术
'mei'shu'de'li'xue 美术地理学
'mei'shu'dian'ying 美术电影
'mei'shu'guan 美术馆
'mei'shu'jian'zao'xing'yi'shu 美术见造型艺术
'mei'shu'jiao'yu 美术教育
'mei'shu'jie'pou'xue 美术解剖学
'mei'shu'kao'gu'xue 美术考古学
'mei'shu'shi 美术史
'mei'shu'xue 美术学
'mei'shu'zhan'lan'hui 美术展览会
'mei'xue 美学
'mei'xue'yu'yan'huo'dong 美学语言活动
'mei'zhi 媒质
'meng'tai'qi 蒙太奇
'mi'kuang 迷狂
'mi'mo'si'ju 米莫斯剧
'mi'sa 弥撒
'mi'tuo'hui 密陀绘
'miao'xie 描写
'miao'xie'yi'shu 描写艺术
'min'jian'yi'shu 民间艺术
'min'su'yin'yue 民俗音乐
'min'yao 民谣
'min'yao'ge'ju 民谣歌剧
'min'zhong'wu'tai 民众舞台
'min'zu'jing'shen'shuo 民族精神说
'min'zu'shi 民族诗
'min'zu'xu'shi'shi 民族叙事诗
'ming'an 明暗
'ming'du 明度
'ming'xing 明性
'ming'yun'bei'ju 命运悲剧
'miu'si'shi'jiao'yu 缪斯式教育
'miu'si'shi'yi'shu 缪斯式艺术
'mo'du'ti 默读体
'mo'fang 模仿
'mo'fang'de'ji'shu 模仿的技术
'mo'fang'de'jia'zhi 模仿的价值
'mo'fang'yi'shu 模仿艺术
'mo'ni'wu'dao 模拟舞蹈
'mo'ni'xing 模拟性
'mo'tuo'fa 摹拓法
'mu 幕
'mu'biao'shi'chuang'zuo'dong'ji 目标式创作动机
'mu'cai'gong'yi 木材工艺
'mu'de'fen'ge 幕的分割
'mu'di'yi'shu 目的艺术
'mu'diao 木雕
'mu'ge 牧歌
'mu'ge'xing 牧歌性
'mu'gou'jian'zhu 木构建筑
'mu'gu'jian'zhu 木骨建筑
'mu'jian 幕间
'mu'jian'ju 幕间剧
'mu'ou'dian'ying 木偶电影
'mu'ou'ju 木偶剧
'mu'yun 母韵
'na'sa'le'pai 拿撒勒派
'nan'xiang'zhu 男像柱
'nan'xing'yun 男性韵
'nei'bu'ji'zhong 内部集中
'nei'bu'xing 内部型
'nei'bu'xing'shi 内部形式
'nei'du'bai 内独白
'nei'han 内含
'nei'jing'lian 内精练
'nei'mo'fang 内模仿
'nei'rong 内容
'nei'rong'de'ji'ji'jia'zhi 内容的积极价值
'nei'rong'gan'qing 内容感情
'nei'rong'mei 内容美
'nei'rong'mei'xue 内容美学
'nei'xiang'gan'jue 内向感觉
'nei'zai'mei 内在美
'neng'cai 能才
'neng'chan'de'zi'ran 能产的自然
'neng'le 能乐
'ni'de'lan'le'pai 尼德兰乐派
'ni'gu'dian'zhu'yi 拟古典主义
'ni'ren 拟人
'ni'ren'fa 拟人法
'ni'sheng 拟声
'ni'shuo'fa 逆说法
'ni'tou'shi'fa 逆透视法
'ni'yin 拟音
'nian'tu'diao'su 粘土雕塑
'nuan'se 暖色
'nuo'wei'yin'yue 挪威音乐
'nv'xiang'zhu 女像柱
'nv'xing'yun 女性韵
'nv'yan'yuan 女演员
'ou'fa'shi'jian 偶发事件
'ou'ran'xing'yin'yue 偶然性音乐
'pai'sheng'de'xing'shi 派生的形式
'pai'xie 俳谐
'pai'zi 拍子
'pan'duan'xing'pi'ping 判断性批评
'pang'bai 旁白
'pen'quan 喷泉
'pi'pan'mei'xue 批判美学
'pi'pan'xian'shi'zhu'yi 批判现实主义
'pi'pan'zhu'yi'mei'xue 批判主义美学
'pi'ping'wen 批评文
'pi'ping'xing'chen'shu 批评性陈述
'pi'ying'xi 皮影戏
'piao'bo'wen'xue 漂泊文学
'pin'tie 拼贴
'ping'fu'diao 平浮雕
'ping'jun'lv 平均律
'ping'mian'se 平面色
'ping'xing'fa 平行法
'po'ju 破局
'pu'hua'chi'ba 普化尺八
'qi'fen 气氛
'qi'fen'xiang'zheng 气氛象征
'qi'fen'yi'ru 气氛移入
'qi'fen'yi'shu 气氛艺术
'qi'fen'yin'xiang 气氛印象
'qi'gong 漆工
'qi'ji'ju 奇迹剧
'qi'ma'xiang 骑马像
'qi'shi'chuan'qi 骑士传奇
'qi'shi'hao'mi'dian'ying 七十毫米电影
'qi'yin'yin'jie 七音音阶
'qi'yue 器乐
'qi'zi'you'ke 七自由科
'qia'kong'wu'qu 恰空舞曲
'qian'gu'dian'pai 前古典派
'qian'jie 欠节
'qian'jing 前景
'qiao'zhi'pai 乔治派
'qing'cao'jiao'yu'lun 情操教育论
'qing'chang'ju 清唱剧
'qing'chun'yi'shu 青春艺术
'qing'ge'ju 轻歌剧
'qing'jie 情节
'qing'jie'de'tong'yi 情节的统一
'qing'jie'hua 情节画
'qing'jie'zhan'kai 情节展开
'qing'nian'de 情念的
'qing'nian'yang'shi 青年样式
'qing'qi'shi'she 青骑士社
'qing'qu 情趣
'qing'song'xi'ju 轻松喜剧
'qing'tong'diao'ke 青铜雕刻
'qing'xiang'wen'xue 倾向文学
'qing'xu'lun 情绪论
'qu'gan'xiang 躯干像
'qu'shi 曲式
'qu'shi'lun 曲式论
'qu'wei 趣味
'qu'wei'mei'xue 趣味美学
'qu'wei'pan'duan 趣味判断
'quan'shi'xue 诠释学
'quan'yin'jie 全音阶
'qun'ti'wen'xue 群体文学
'qun'ti'yi'shu 群体艺术
'qun'xiang 群像
'qun'xiang'xiao'xiang 群像肖像
'ran'se 染色
're'chou'xiang 热抽象
're'se 热色
'ren'ge'gan'qing 人格感情
'ren'lei'mei 人类美
'ren'lei'you'yi'yi'de'nei'rong 人类有意义的内容
'ren'ti'mei 人体美
'ren'wen'zhu'yi 人文主义
'ren'wu 人物
'ren'wu'xiao'shuo 人物小说
'ren'xing'de'chao'gan'xing'ji'ti 人性的超感性基体
'rou'he'yang'shi 柔和样式
