'a'bi'de 阿比德
'bai'bi'cang'ying'xi'he'wu 白璧苍蝇兮何污
'bai'bi'qing'ying'jian'pai'di 白璧青蝇见排诋
'bai'fa'yi'zhao'xin 白发一朝新
'bai'gu'ai'ai'jing'zhan'lei 白骨皑皑经战垒
'bai'hu'zhui'fei'zui'jiu'zhou 百户椎肥醉九州
'bai'ju'yi'ni'shang'yu'yi'ge 白居易霓裳羽衣歌
'bai'lu'bu'qi'qi'bi'hui'xing'feng 白鹿不骑骑彼彗星风
'bai'lu'wei'shuang'shui'yi'gao 白露为霜水一篙
'bai'man'jiu'yi'chan'tian'guang 百蛮九译觇天光
'bai'mao'lao'xian'fang'tong'yuan 白茅老仙方瞳圆
'bai'nian'cun'wang'de'shi'xi 百年存亡得失兮
'bai'nian'qing'tian'guo'niao'yi 百年青天过鸟翼
'bai'ren'fei'kong'zhi'ti'lie 白刃飞空肢体裂
'bai'ri'qu'ren'ye'shao'wu 白日驱人夜烧屋
'bai'she'gu'zheng'fu'ran'nuo 百舍孤征赴然诺
'bai'shi'qiang'che'shang'he'shui 百石强车上河水
'bai'shi'yi'si'sheng'ren'er'bu'huo 百世以俟圣人而不惑
'bai'shi'zhi'xia'yang'gao'shan 百世之下仰高山
'bai'tou'han'wang'gao'su'shi 白头汉王缟素师
'bai'tou'yi'xiao'xian'shi'fu 白头一笑献士夫
'bai'wan'bing'tun'tun'hai'wan 百万兵屯屯海湾
'bai'wan'qun'long'zhan'xuan'di 百万群龙战轩帝
'bai'wu'niao'niao'gu'yan'sheng 白屋袅袅孤烟生
'bai'xing'xin'xin'you'xi'se 百姓欣欣有喜色
'bai'yi'cang'gou'shui'wei'mou 白衣苍狗谁为谋
'bai'you'zuo'wang'zhi'jiu'sheng 百忧坐忘知酒圣
'bai'yu'du'er'cheng'yi 百遇毒而成医
'bai'yu'xia'shi'cheng'ri'sheng 白雨下时赪日升
'bai'yun'meng'tou'xi'yu'nan'shan'wei'wu 白云蒙头兮与南山为伍
'bai'zhou'xiang'feng'ban'ren'gui 白昼相逢半人鬼
'ban'han'geng'geng'bu'zi'de 半酣耿耿不自得
'ban'jian'qiu'yun 半肩秋云
'ban'jing'pi'lai'de'wu'dang 班荆芘藾得吾党
'bao'ci'geng'geng'xi'yu'ri'xing'you 抱此耿耿兮与日星游
'bao'ren'huan 包人寰
'bao'tai'ji'er'yong'gui'xi 抱太极而永归兮
'bei'feng'juan'sha'guo'ye'chuang 北风卷沙过夜窗
'bei'feng'ku'wu'dong'xing'chou 悲风苦雾动星愁
'bei'feng'qi'liang'xi'shi'wu'chuan 北风其凉兮诗无传
'bei'fu 悲夫
'bei'ge'hao'tan'xian'yu'duan 悲歌浩叹弦欲断
'bei'gong'tai'han'nong'ming'yue 贝宫胎寒弄明月
'bei'ju'yue'er'bu'ke'hua 背矩矱而不可化
'bei'men'lou'lu'di'xian'zhuang 北门楼卤地险壮
'bei'men'xi'ye'jun'zi'you 北门西掖君自有
'bei'ren'sheng'ming'you'jian'lao 北人生命犹坚牢
'bei'shan'zhi'bei'ji'qian'gu'xi 北山之北几千古兮
'bei'wo'zhong 悲我衷
'bei'you'tan'lao'yu'ku'gao 背有炭烙欲枯槁
'bei'yu'ci'tong 悲与此同
'bei'zhao'zhao'er'qi'jian'xi 背昭昭而起见兮
'bei'zu'ti 悲祖逖
'ben'liu'zhi'xia'min'shan'dian 奔流直下岷山巅
'ben'zhi'yi'li'sou'xiao'you 本之以李叟孝友
'bi'cai'chuan'lin'ye'guang'lou 璧彩穿林夜光漏
'bi'cao'mu'shang'wu'qing 彼草木尚无情
'bi'ci'xun'zhuan'an'you'qiong 彼此循转安有穷
'bi'han'shu'zhi'qin'hua'xi 彼寒暑之寖化兮
'bi'hu'bi'hu 壁虎壁虎
'bi'huo'bu'ke 避火不可
'bi'lu'shen'ru'gu'wu'yuan 彼虏深入孤无援
'bi'qi'bu'tong'chou'wei 彼其不同臭味
'bi'ri'wei'ye'tian'ru'meng 蔽日为夜天如蒙
'bi'shang'chou'bu'gui 彼尚愁不归
'bi'shang'di'zhi'ping'nu 俾上帝之凭怒
'bi'sheng'kan'xi'ke'xie 彼生坎兮可谢
'bi'xi'li'zhi'wu'qing'xi 彼西屴之无情兮
'bi'yan'gui'nu'chu'sha'ren 碧眼鬼奴出杀人
'bi'zhen'ya'dao'chang'cheng'jian 笔阵压倒长城坚
'bi'zhi'ren'er'shen'ning'xi 彼至人而神凝兮
'bi'zhi'rou'ye 鼻之柔也
'bi'zhuang'sheng'zhi'yi'fou'xi 彼庄生之一缶兮
'bian'bian'qi'qu'xing'qi'qi 扁扁其躯腥其气
'bian'chu'shu'zi'pao'que'lai 便除庶子抛却来
'bian'cun'kai'tian'qi'yao'zao 遍村开田起窑灶
'bian'que'ru'qin'shi'zhi'bing 扁鹊入秦始治病
'bian'xuan'qin'yan'zhi'fen'wu'qian'xi 便儇嵚巚之纷吾前兮
'bian'yan'ying'xie 边雁影邪
'biao'che'dian'gu'bu'ke'nian 飙车电毂不可辇
'biao'che'yu'lun'lai'he'shi 飙车羽轮来何时
'biao'du'li'yu'cui'wei 表独立于崔嵬
'bie'hou'pin'shu'xiang'fa'yao 别后频书相发药
'bie'you'ye'he'xiang'zhui'sui 别有野鹤相追随
'bing'bing'da'jie'tong'leng'ceng 柄柄大节同崚嶒
'bing'gen'yi'qu'bu'liu'can 病根一去不留残
'bing'hu'bu'ke'yu'xia'chong'xiang 冰壶不可与夏虫飨
'bing'tian'qiong'zi'jian'ru'ku 冰天穷子兼襦裤
'bo'jian'hui'sao'ru'yun'yan 擘笺挥扫如云烟
'bo'jiu'zhong'sheng'yin'cha 薄酒终胜饮茶
'bo'lu'ya'hua'hui'yuan'qi 薄露压花蕙园气
'bo'sheng'zhe'yu'mi'jin 播生者於迷津
'bo'tao'juan'xi'xiong'zhong'jia'bing 波涛卷兮胸中甲兵
'bo'yi'shi'wei'er'qing 伯夷食薇而清
'bu'ai'jun'hang'dang'lu'heng 不碍君行当路横
'bu'ba'huang'jin'mai'ge'wu 不把黄金买歌舞
'bu'bian'long'dui'jian'ma'yi 不辨龙堆兼马邑
'bu'chi'chi'xi'xin'po'po 步迟迟兮心迫迫
'bu'chu'jian'xie'chu'shi'shi 不触奸邪触诗士
'bu'ci'shui'ze 不次水泽
'bu'dan'cheng'ni'shao'qian'huang 不但澄泥烧铅黄
'bu'de'huan'jia'shou'gu'rou 不得还家收骨肉
'bu'de'pan'huan'zhen'ke'xi 不得盘桓真可惜
'bu'du'wo'wen'zu'yin'xi 不独我闻足音喜
'bu'gan'zheng'se'yan'yao'tang 不敢正色言尧汤
'bu'gu'bu'gu'jie'quan'geng 布榖布榖解劝耕
'bu'gu'yi'cui'qiu'zhong'wan 布谷已催秋种晚
'bu'gui'qu 不归去
'bu'hui'zao'wei'wen'mo'wu 不悔早为文墨误
'bu'huo'xi'yi'sou'bi'hu 不获蜥蜴搜壁虎
'bu'ji'zhi'tui'si'yuan'jie 不及之推死怨嗟
'bu'jian'bai'yun'dan'jian'hai 不见白云但见海
'bu'jian'cha'yang'wu'nv'shou 不见插秧吴女手
'bu'jian'di'qiu'wei'xiao'you 不见地球为小囿
'bu'jian'luo'hu'wen'lin'lin 不见罗縠纹粼粼
'bu'jian'qing'shan'dan'jian'yun 不见青山但见云
'bu'jian'qu'yu'mu'tu'wu 不见鸲鹆目突兀
'bu'jie'ye'she'zhi'yan 不解耶舍之颜
'bu'ke'ren'xi'bu'ru'su'si 不可忍兮不如速死
'bu'ke'yi'wu'xiang 不可以物象
'bu'ken'tou'sheng'zuo'ren'fu 不肯偷生作人妇
'bu'kui'gao'ren'yi'cha'sui 不媿高人一锸随
'bu'lv'han'nian'dang'shi'shui 不虑旱年当使水
'bu'man'san'yin'zhi'yi'xiao 不满三隐之一笑
'bu'mou'jiang'xi 不谋匠兮
'bu'neng'shi'bei'zhe'le 不能使悲者乐
'bu'neng'shi'chou'zhe'yan 不能使丑者妍
'bu'ru'bo'jiu'zui'mian'niu'bei'shang 不如薄酒醉眠牛背上
'bu'ru'jun'jia'ji'shui'shi'zhong'liu 不如君家激水石中流
'bu'ru'li'hou'ling'shi'ju 不如李侯灵石句
'bu'ru'tian'mu'shang'he'gu 不入田亩伤禾谷
'bu'ting'sheng'ge'zhi'dao'qiu 不听笙歌直到秋
'bu'wan'yi'xi'dang'ci 不万一兮当此
'bu'xiang'fang'zun'wen'sheng'xian 不向芳尊问圣贤
'bu'xu'geng'yi'pin'di'lun 不须更以品第论
'bu'xu'qi'ling'xiang'shen'xie 不须乞灵向沈谢
'bu'xu'wen'ci'yi'can'chuang 不须闻此意惨怆
'bu'xue'nan'fang'yu'bei'fang 不学南方与北方
'bu'yi'shi'ren 不以示人
'bu'ying'huai'bao'mi'qi'bang 不应怀宝迷其邦
'bu'yu'min'li'xi'you'he'you'yu'ming 不渔民利兮又何有于名
'bu'yuan'hong'dou'shi'xiang'si 不缘红豆始相思
'bu'ze'mao'yan'yu'shi'lou 不择茅檐与市楼
'bu'zhao'yu'zhi'jing'cheng'xi 不照余之精诚兮
'bu'zhi'man'di'hua'lang'ji 不知满地花狼藉
'bu'zhi'ming'ri'shui'ji'ci 不知明日谁继此
'bu'zhi'qi'suo'yi'de'xi 不知其所以得兮
'bu'zhi'qu'fang'shuo'zhi'jin'yuan 不知去方朔之近远
'bu'zhi'shan'zai'hai'yun'zai 不知山在还云在
'bu'zhou'hu'shi'bian 不周乎时变
'bu'zhu'ren'jia'su'yi'fu 不著人家俗衣服
'bu'zou'zhu'men'ye'quan'gui 不走朱门谒权贵
'cai'bang'lai'lin'qu'wu'ding 彩棒来临驱五丁
'cai'luan'zi'feng'qi'hua'yuan 彩鸾紫凤琪花苑
'cai'san'xiu'er'yan'cang'bai'xi 采三秀而咽苍柏兮
'cai'shui'bi'xi'zi'yuan 采水碧兮紫渊
'cai'xie'hua'cao'xiang'fen'fen 采撷花草香纷纷
'cai'yun'ying'xi'yu'e 采云英兮御饿
'can'ju'qin'qin'yi'jin'yu'shou'guan 残局骎骎亦近于收官
'can'si'yu'duan'huang'feng'gui 残丝欲断黄蜂归
'can'yue'hun'hun'xin'ke'qi 残月昏昏信可期
'can'zhang'qian'qi'dong'fang'lai 骖騿千骑东方来
'cang'cang'shang'xi'huang'huang'xia 苍苍上兮皇皇下
'cang'hai'xi'miao'mi 沧海兮渺弥
'cang'hai'yue'ming'lao'zhu'qi 沧海月明老珠泣
'cang'jie'ye'ku'liang'you'yi 仓颉夜哭良有以
'cang'long'gua'bi 苍龙挂壁
'cang'shan'qi'xia'bai'yu'jing 苍山其下白玉京
'cao'ge'yi'qi 操戈以起
'cao'hou'shu'shu'cheng'tai'pu 曹侯束书丞太仆
'cao'jiang'jun 曹将军
'cao'mu'qi'yi'qi'weng'yu'yang'cang 草木泣以其蓊郁养苍
'cao'xun'kong'cheng'que'er'shou 曹勋空城雀二首
'cao'xun'kong'zi'qi'yan'hui 曹勋孔子泣颜回
'cao'xun'ku'yu'yin 曹勋苦雨吟
'cao'xun'sui'jiang'mu 曹勋岁将暮
'cao'yue 草曰
'cao'zhi'rong'rong 草之茸茸
'ce'kong'ming'xi'yu'qu 策空鸣兮余去
'ce'shen'ji'qi'guan'dao'zhi'cong'zhong 厕身机器管道之丛中
'ceng'he'dao'xi'fu'bai 曾何导兮弗败
'ceng'he'zu'yi'shu'you 曾何足以舒忧
'ceng'jian'gui'zhou'si'gong'fou 曾见归舟似公否
'ceng'pei'nei'yan'yan'zhao'yang 曾陪内宴宴昭阳
'ceng'yan'lie'xiu'san'fu'shou 层岩列岫散复收
'ceng'yi'po'suo'fu'xian'gui 曾忆婆娑拂仙桂
'cha'wu'yi'yi'hu'ren'jian 差无以异乎人间
'cha'xing'reng'cun'pian'you'wei 茶性仍存偏有味
'cha'zhu'bian'li'hao'hu'chi 插竹编篱好护持
'chai'lang'zong'mu'yi'xiang'hao'xi 豺狼纵目以相嗥兮
'chan'tian'dou 觇天窦
'chan'tu'ku'kou'quan'he'guang 禅徒苦口劝和光
'chan'tui'chen'ai'xi'yu'xue'zi'qing 蝉蜕尘埃兮玉雪自清
'chang'an'ping'dan'zhu'men'kai 长安平旦朱门开
'chang'bian'ju'zhou'tian'you'lv 长编巨轴添忧虑
'chang'chu'you'huang'xi'ge'li'tian'ri 长处幽篁兮隔离天日
'chang'dan'you'lai'fei'yang'yong 尝胆由来非养痈
'chang'feng'xi'wu'pang 长风兮无旁
'chang'feng'yi'wan'li 长风一万里
'chang'he'suo'xi'xing'mei 怅何所兮行媒
'chang'jia'gui'lai'hu 长铗归来乎
'chang'jia'gui'lai'yi'ba'dan 长铗归来亦罢弹
'chang'jiang'lai 长江来
'chang'kong'yao'yao'yi'yan'xia 长空遥遥一雁下
'chang'kuai'huo'ge 唱快活歌
'chang'ri'xin'qi'you'ding'lun 常日心期有定论
'chang'tian'chang'tian'xi 长田长田兮
'chang'wen'tui'zhi'yong'ci'song'feng'bo 常闻退之勇词讼风伯
'chang'you'qing'ji'chu'zhong'jing 长游清济出中境
'chang'zhi'du'li'xi 畅旨独立兮
'chao'di'jun'xi'bu'xia 朝帝君兮不下
'chao'fa'wang'zhu'xi'chen'yang 朝发枉渚夕辰阳
'chao'fu'peng'hao'xia 朝伏蓬蒿下
'chao'li'ba'xia'mu'dong'ting 朝离巴峡暮洞庭
'chao'mang'yang'er'yan'ji 怊茫洋而焉极
'chao'qing'ming'er'huang'hu 超青冥而荒忽
'chao'sha'zuo'mi'zhong'bu'bao 炒沙作糜终不饱
'chao'wu'jiu 晁无咎
'chao'yu'shi'xi'he'jin 朝欲逝兮河津
'chao'zhong'mu'jiao'cui'bai'tou 朝钟暮角催白头
'chao'zi'zhi'nang'ke'yi'kuo'si'hai 晁子智囊可以括四海
'che'ma'nan'gui'xi'hui'wo'wu'que 车马南归兮惠我五阕
'chen'chong'bi'li'shen'ping'sheng 陈宠觱栗沈平笙
'chen'dong'yi'si'ou'yang'lu 陈东已死欧阳戮
'chen'guang'yi'you'bai'yun'sheng 晨光疑有白云生
'chen'he'ai'bu'yu'ju'lai 臣何爱不与俱来
'chen'li'wei'xi'gan'dan'nu 臣力微兮肝胆怒
'chen'sha'li'ming'tu 尘沙立暝途
'chen'xi'qin'ji'zhang 晨夕亲几杖
'chen'you'lao'mu'nian'jiu'shi 臣有老母年九十
'chen'zhi'cheng'xi'guan'qi'ju 陈志诚兮冠期举
'chen'zhong'yan'li'er'shou 陈仲咽李而瘦
'cheng'bai'yun'er'shang'xian 乘白云而上仙
'cheng'bi'xi'fang'xi 瞠彼西方兮
'cheng'ci'weng'zhong'chun 成此瓮中春
'cheng'dong'hong'she'you'jia'ren 城东黉舍有佳人
'cheng'gong'xu'ni'jiu'song'ping'zhou 程公许拟九颂平舟
'cheng'liu'xi'shang'xia 乘流兮上下
'cheng'ren'zhi'che 乘人之车
'cheng'shang'wu 城上乌
'cheng'shi'cui'liu 乘时毳流
'cheng'si'zai 乘四载
'cheng'yu'sui'gong'chi'song'huang'shi'yue 诚欲遂公赤松黄石约
'cheng'zhong'xiao'shu'kong'wu'ren 城中萧疏空无人
'chi'jiao'xuan'zhuan'qiu'ying'guang 匙脚旋转秋萤光
'chi'nv'gui'er'hun'xiao 迟女归而魂消
'chi'qiu'yu'lin'fu'rong'cheng 赤虬玉麟芙蓉城
'chi'que'mian'hei 齿缺面黑
'chi'shi'fang'fan 吃十方饭
'chong'chu'dui'li'yuan'yang'shuang 舂锄对立鸳鸯双
'chong'ru'ming'xin'guo'yi'sheng 宠辱冥心过一生
'chou'fu'bu'shi'wu'jia 丑妇不是无家
'chou'fu'zi'neng'sao'bei'yang 丑妇自能搔背痒
'chou'hong'hong'qi'zhong'yu'xi 愁薨薨其中予兮
'chou'lv'gao'fei'bi'zeng'jiao 俦侣高飞毙缯缴
'chou'yang'zhi'ceng'dong'ku'long 臭氧之层洞窟窿
'chu'cao 除草
'chu'cheng'shi'se'shen'jie'chi 出城失色神皆痴
'chu'chu'qi'gu'gao'cheng'dui 处处弃骨高成堆
'chu'fa'ji'yu'zang'ge 初发迹于牂牱
'chu'gou'wan'wu'xi 刍狗万物兮
'chu'hou'bu'neng'liu'chi'chang 初侯不能六尺长
'chu'kong'bu'wai'fu'he'shu 除恐怖外复何术
'chu'lai'you'zi'de'kuang'tu 初来犹自得旷土
'chu'luo'zhi'wei'wo'huang'zi 楚罗之帏卧皇子
'chu'men'da'xiao'jing'tong'pu 出门大笑惊僮仆
'chu'mu'fei'hong'sui'die'wu 怵目飞红随蝶舞
'chu'ru'cao 除汝草
'chu'sheng'ding'ding'jing'hou'tu 杵声丁丁惊后土
'chu'wu'che 出无车
'chu'yi'man'xi'shui'zhong'gu 初疑蛮溪水中骨
'chu'yu'hua'ju 出与化俱
'chua'bie'li'zhi'ji'shi'xi 欻别离之几时兮
'chuan'hu'gu'chui'yong'bu'qu 传呼鼓吹拥部曲
'chui'po'hong'meng'tian 吹破鸿蒙天
'chui'yang'ye'lao'ying'bu'er 垂杨叶老莺哺儿
'chui'yu'cuan'gui'neng'zhi'jin 炊玉爨桂能至今
'chui'yu'huan'wo'xing 吹竽唤我醒
'chui'yun'ru'fu'yu 垂云如覆盂
'chui'zhi'yi'xi'shi'wan'li 吹之以息逝万里
'chun'feng'chu'kai'xi'bie'jun'nan'pu 春风初开兮别君南浦
'chun'feng'lie'lie'chun'xue'han 春风冽冽春雪寒
'chun'feng'luan'si'xi'chui'guan'xian 春风乱思兮吹管弦
'chun'hong'she'yan'shang'shao'si 春鸿社燕尚烧死
'chun'lao'yang'niu'deng'dao'ju 醇醪养牛等刀锯
'chun'qiu'zu'xi'zhi'ju'bian 春秋族系之巨编
'chun'ri'zui'ren'xi'hun'yu'mian 春日醉人兮昏欲眠
'chun'ru'chun'jiang'yong'ri 醇如春江永日
'chun'shen'hua'luo'bing'zai'chuang 春深花落病在床
'chun'sheng'qiu'sha'zao'hua'gong'shi'bei 春生秋杀造化功始备
'chun'tian'bai'niao'yu'liao'luan 春天百鸟语撩乱
'chun'yuan'qiu'he'xin'kong'jiang 春猿秋鹤心空降
'chun'yun'can'can'xi'chun'shui'man'man 春云惨惨兮春水漫漫
'ci'bang'bu'ke'yi'you 此邦不可以游
'ci'bang'sui'lou'you'jia'shi 此邦虽陋有佳士
'ci'bian'ding'zhuang'ju'yun'liang 次边丁壮俱运粮
'ci'cao'jiao'kuai'ke'xin'si 此曹狡狯可心死
'ci'di'yao'xu'wu'bu'you 此地要须无不有
'ci'duan'qi'shi'jin'wu'qian 此段奇事今无前
'ci'fei'si'shi'shui'si'shi 此非死士谁死士
'ci'fu'pian'pian'zhong'mo'bi 词赋翩翩众莫比
'ci'jing'ci'xing'na'liang'de 此景此行那两得
'ci'qi'gong'ping'zhi'zhan'yu'wang 此岂公平之战与亡
'ci'shen'die'luo'ren'hai'li 此身跌落人海里
'ci'shi'nai'jian'tian'di'xing 此时乃见天地性
'ci'shi'shou'ling'zhen'fen'you 刺史守令真分忧
'ci'shi'yu'ru'cheng'yong'jue 此时与汝成永诀
'ci'tian'di'zhi'qiang'yang'qi'ye 此天地之强阳气也
'ci'tian'di'zhi'ren'qi'ye 此天地之仁气也
'ci'tian'di'zhi'yi'qi'ye 此天地之义气也
'ci'tong'cheng'zhong'pan'gong'li 刺桐城中泮宫里
'ci'tu'xi'ju'you'tai'min 此土昔居犹太民
'ci'wen'cai'xi'bi'wen'dong 此蚊才西彼蚊东
'ci'wu'shun'miao'dang'gong'deng 此物舜庙当共登
'ci'xue'bi'xue'bu'ke'xi 此血彼血不可析
'ci'yin'fang'kai 此印方开
'ci'zhong'yi'you'wu'xian'yi 此中亦有无弦意
'ci'zhou'wu'kui'ming'quan'zhou 此州无愧名泉州
'ci'zhuang'zhong'wai'wu'gu'jin 此状中外无古今
'ci'zi'er'chang'ren'zhi'you 慈子而长人之幼
'cong'chao'fu'yu'ji'shan 从巢父于箕山
'cong'ming'bu'shu'yuan'gong'she 聪明不数远公社
'cong'qi'you'xi'wei'wei 从其友兮尾尾
'cu'ran'bao'qi'ju'shi'li 猝然暴起举世栗
'cu'zeng'da'bu'yi'yu'dong 粗缯大布以禦冬
'cun'hui'jing'ze'sui'qi'qing 村回径仄随欹倾
'cun'xin'geng'geng'mo'cang'kong 寸心耿耿摩苍空
'cun'zhang'ke'tuo'wu'bu'ji 村长咳唾无不及
'da'che'xiao'che'sheng'ya'ya 大车小车声轧轧
'da'cheng'dian'xia'xin'quan'shui 大成殿下新泉水
'da'dan'ru'pu'xie'yin'huang 大弹如瀑泻银潢
'da'dao'xi'hu'zhi'zhong 大道兮壶之中
'da'di'shang'shang'piao'hong'liu 大地汤汤漂红流
'da'dou'zhi'zai'ren'tai'ju 大都只在人抬举
'da'han'bu'he'yu'bu'zeng 大旱不涸雨不增
'da'hu'nan'ba'nan'er'zhong 大呼南八男儿忠
'da'jiang'xi'lai'shi'he'nian 大江西来是何年
'da'nao'zuo'ke 搭猱左科
'da'nian'zhi'fen'mi'lao'kuang 大年脂粉米老狂
'da'qian'shi'jie'bai'za'sui 大千世界百杂碎
'da'sha'e'e 大厦峨峨
'da'shi'ju'wei'cang'yan'cui 达士讵畏苍颜催
'da'tang'guo'li'wu'ren'hui 大唐国里无人会
'da'tong'zhi'xiao 大同至小
'da'xiao'ping'ye'zhu'ying'diao 大笑平野逐鹰雕
'da'ye'gu'dong'hong'lu'feng 大冶鼓动洪垆风
'da'yi'qiong'xi'ji'dan 怛医穷兮技殚
'da'yu'ru'shan'bu'jian'wei 大鱼如山不见尾
'da'yun'qi'xian'shi'wan'hu 答云七县十万户
'dai'de'hua'kai'chun'yi'ban 待得花开春已半
'dai'er'an'jian'yi'wei'lu 殆而按剑以为戮
'dai'fu'huang'shou'ling'chui'su 大夫黄绶领垂素
'dai'qi'wo'shui'er'sheng'huo 殆其沃水而胜火
'dai'wai'wu'er'zao'shi'xi 待外物而造适兮
'dan'de'chang'nian'bao'chi'fan 但得长年饱吃饭
'dan'fu'jian'chuan'niu'ti'tuo 担夫肩穿牛蹄脱
'dan'jia'bei'ge'song'feng'xiu 弹铗悲歌松风朽
'dan'jian'bian'hua'wu'zhong'qiong 但见变化无终穷
'dan'jian'han'mo'bu'xie'ru'han'yuan 但见含墨不泄如寒渊
'dan'jian'shou'mo'wu'sheng'song'hua'fa 但见受墨无声松花发
'dan'jian'yan'wei'he'he'tian'ting'wu 但见炎威赫赫天亭午
'dan'jue'liang'ye'sheng'fei'han 但觉两腋生飞翰
'dan'jue'tian'lian'fu'hai'lian 但觉天连复海连
'dan'kong'jun'shi'wei'gong'er 但恐君诗未工耳
'dan'kong'ren'jian'fei'ci'wu 但恐人间废此舞
'dan'neng'fu'zuo'tai'gu'yi 但能复作太古意
'dan'shi'di 弹十地
'dan'shi'xin'xian'zi'nan'lao 但使心闲自难老
'dan'si'yan'bo'chun'miao'mang 但思烟波春渺茫
'dan'wu'yu'xi'xin'yi 澹无欲兮心夷
'dan'you'liao'jin'wu'an'ju 但忧潦浸务安居
'dan'yuan'tian'chang'yu'su'ying'guan'cang 但愿天常雨粟盈官仓
'dan'zhi'qu'shui'bu'qu'ren 但知取水不取人
'dan'zhou'tu'bin'weng 儋州秃鬓翁
'dang'chu'yan'xiao'que'chen'gou 荡除炎歊却尘垢
'dang'feng'heng'di'liu'san'nong 当风横笛留三弄
'dang'jin'qu'shi'yi'ping'ri 当今取士异平日
'dang'nian'chuan'guo'er'shi'er 当年传国二十二
'dang'nian'wen'shuo'leng'qing'ke 当年闻说冷卿客
'dang'qi'zhi'ruo'shang'liu'cang 当其稚弱尚六藏
'dang'ran'si'zhi'xi 荡然肆志兮
'dang'ri'xi'yuan'zhan'qing'ye 当日西园湛清夜
'dang'shi'qi'yi'wei'ming'ji 当时岂亦为名计
'dang'shi'shang'you'zhou'tian'zi 当时尚有周天子
'dang'shi'zha'jian'jing'xin'mu 当时乍见惊心目
'dang'sui'mo'zhi'ji'jing'xi 当岁莫之急景兮
'dang'xiong'yin'bu'que'hui'shou 荡胸引步却回首
'dao'bi'ci'xi'hua'dian 悼彼此兮华颠
'dao'jiao'yuan'zhi'jun 蹈焦原之峻
'dao'ju'yu'ding'huo 刀锯与鼎镬
'dao'lu'chang 道路长
'dao'lu'xiang'kan'tu'yi'mu 道路相看徒以目
'dao'shan'yan'ge'wei'zhu'bo 道山延阁委竹帛
'dao'shang'nie'ru'xiang'zhi'mu 道上嗫嚅相指目
'dao'shi'song'qing'jun'bu'shi 道是宋清君不是
'dao'si'dong'bin'jun'bu'si 道似洞宾君不似
'dao'ying'yao'dang'tian'cang'lang 倒影摇荡天沧浪
'de'ci'mi'ying'huan'ru'feng 得此密应欢如风
'de'jian'zhong'gu'ren 得见众古人
'de'qi'yi'qi'bu'ren'ren'zhi'xin 德泣以其不忍人之心
'de'xing'zhong'chun'li'bu'qi 德性忠纯吏不欺
'de'yi'shan'chuan'xi'bu'ke'hui'hua 得意山川兮不可绘画
'de'yi'xiang'wang'zun'zu'jian 得意相忘樽俎间
'deng'gao'lou 登高楼
'deng'gao'song'yuan'xing'shen'kai 登高送远形神开
'deng'shan'xi'lin'chuan 登山兮临川
'di'bu'xia'zhao'xi'yi'nu 帝不下招兮遗怒
'di'chen'er'bu'jie 地沉而不接
'di'guan'jiu'mu'xi 帝关九牡兮
'di'he'nu 帝赫怒
