'an'jiao 岸礁
'bing'chuan'bian'hua 冰川变化
'bing'chuan'bu'gei 冰川补给
'bing'chuan'di'zhi'xue 冰川地质学
'bing'chuan'he'liu 冰川河流
'bing'chuan'hua 冰川化
'bing'chuan'tui'suo 冰川退缩
'bing'chuan'wu'zhi'ping'heng 冰川物质平衡
'bing'chuan'xi 冰川隙
'bing'chuan'xue 冰川学
'bing'chuan'zuo'yong 冰川作用
'bing'di'qi 冰底碛
'bing'dou'bing'chuan 冰斗冰川
'bing'fen'ning 冰分凝
'bing'guan'qi'hou 冰冠气候
'bing'he'qiu 冰核丘
'bing'hou'xi 冰后隙
'bing'jiao'jie 冰胶结
'bing'li'jie'di 冰砾阶地
'bing'li'ni 冰砾泥
'bing'qi 冰碛
'bing'qi'hou 冰期后
'bing'qi'ping'yuan 冰碛平原
'bing'qi'ping'yuan'shui'xi 冰碛平原水系
'bing'qi'wu 冰碛物
'bing'shan 冰山
'bing'shi'cao 冰蚀槽
'bing'shui'chen'ji'wu 冰水沉积物
'bing'tou'jing'ti 冰透镜体
'bing'wan 冰湾
'bing'xia'he'dao 冰下河道
'bing'xie 冰楔
'bing'xie'zuo'yong 冰楔作用
'bing'yan'hu 冰堰湖
'bing'zhao'tu 冰沼土
'bo'lang'qin'shi 波浪侵蚀
'bo'li'wa'er'xue'yuan 玻利瓦尔学院
'bo'mei'ceng 薄煤层
'bo'pin'lv 波频率
'bo'pu'fen'bian'lv 波谱分辨率
'bo'san'xiao'ying 波散效应
'bo'shi 剥蚀
'bo'shi'mian 剥蚀面
'bo'shi'ping'yuan 剥蚀平原
'bo'su'bi 波速比
'bo'su'bi'bian'hua 波速比变化
'bo'su'yi'chang 波速异常
'bo'suo'li'ge 波所黎各
'bo'tuo'xi'cheng 波托西城
'bo'ya 波压
'bo'yun'dong 波运动
'bo'zhi 波至
'bo'zhou'qi 波周期
'bo'zi'tan 波兹坦
'bu'cheng'he 不称河
'bu'deng'hou 不等厚
'bu'dui'chen'shui'xi 不对称水系
'bu'dui'chen'zhe'qu 不对称褶曲
'bu'gei'qu 补给区
'bu'lian'xu'zhen'dong'yuan 不连续震动源
'bu'lu'ti 捕虏体
'bu'lu'yan 捕虏岩
'bu'neng'sheng'wu'jiang'jie 不能生物降解
'bu'tou'shui'yan 不透水岩
'bu'zheng'he 不整合
'cai'qu'lv 采取率
'can'ji'ceng 残积层
'can'ji'jing'guan 残积景观
'can'ji'tu 残积土
'can'ji'wu 残积物
'can'kao'ji'zhun'mian 参考基准面
'can'liu'yin'su 残留因素
'can'po'ji 残坡积
'can'qiu 残丘
'can'yi'zhong'qu 残遗种区
'can'yu'feng'hua'ceng 残余风化层
'can'yu'ying'bian 残余应变
'cao'bo 槽波
'cao'dian 草甸
'cao'dian'zhao'ze 草甸沼泽
'cao'hui'deng'gao'xian 草绘等高线
'cao'ju'zha'guo 漕矩咤国
'cao'yuan'tu'rang 草原土壤
'ce'di'can'kao'xi 测地参考系
'ce'dong'ji'yi 测氡计仪
'ce'jing 测井
'ce'xiang'qin'shi 侧向侵蚀
'ce'zhen'xue 测震学
'ceng'di'gao'cheng 层底高程
'ceng'jian'hua'dong'duan'lie 层间滑动断裂
'ceng'jian'liu 层间流
'ceng'jian'shui 层间水
'ceng'jie'hu 层结湖
'ceng'li 层理
'ceng'wei 层位
'ceng'xu 层序
'ceng'xu'di'ceng 层序地层
'cha'ke'wen'hua 查科文化
'cha'wen'kao'gu'qu 查文考古区
'cha'yi'feng'hua'zuo'yong 差异风化作用
'cha'yi'ying'li 差异应力
'cha'yi'yun'dong 差异运动
'chan'sha'lv 产沙率
'chan'shi'duan'ceng 铲式断层
'chan'zhao 颤沼
'chan'zhuang 产状
'chang'chang'kao'gu'qu 昌昌考古区
'chang'di'di'zhen'fan'ying 场地地震反应
'chang'di'di'zhi'dan'yuan 场地地质单元
'chang'di'di'zhi'xiao'ying 场地地质效应
'chang'di'fan'ying 场地反应
'chang'di'fang'da'zuo'yong 场地放大作用
'chang'di'lie'du 场地烈度
'chang'di'lie'du'tiao'zheng 场地烈度调整
'chang'di'mai'dong 场地脉动
'chang'han'shu 场函数
'chang'lv'kuo'ye'lin 常绿阔叶林
'chang'nian'hong'shui'wei 常年洪水位
'chang'wen'ceng 常温层
'chang'xia'chao'dao 长狭潮道
'chang'xing'zu 长兴组
'chang'zhou'qi'bai 长周期摆
'chang'zhou'qi'bo 长周期波
'chang'zhou'qi'chao 长周期潮
'chang'zhou'qi'di'ci'chang 长周期地磁场
'chang'zhou'qi'di'zhen'ji 长周期地震计
'chang'zhou'qi'di'zhen'yi 长周期地震仪
'chao'fu 超覆
'chao'gou 潮沟
'chao'sheng'jiao'tang 朝圣教堂
'chao'tan 潮滩
'chao'wei'zhen 超微震
'chao'xi'dai 潮汐带
'chao'xi'tong'dao 潮汐通道
'chen'ji'gai'ceng 沉积盖层
'chen'ji'jian'zao 沉积建造
'chen'ji'shui 沉积水
'chen'ji'wu 沉积物
'chen'ji'xiang 沉积相
'chen'ji'yan 沉积岩
'chen'ji'zuo'yong 沉积作用
'chen'jiang'zhong'xin 沉降中心
'cheng'bao'he'cheng'qiang 城堡和城墙
'cheng'bao'he'wen'hua 城堡和文化
'cheng'bao'ji'zhuang'yuan 城堡及庄园
'cheng'bao'shi'yao'sai 城堡式要塞
'cheng'bing'zuo'yong 成冰作用
'cheng'ceng'huo'shan 成层火山
'cheng'rang 成壤
'cheng'sheng'lian'xi 成生联系
'cheng'shi'can'shi 城市蚕食
'cheng'shi'deng'ji'xu'lie 城市等级序列
'cheng'shi'fu'ji 城市辐集
'cheng'shi'hua'cun 城市化村
'cheng'shi'hua'qu'yu 城市化区域
'cheng'shi'ji'qun 城市集群
'cheng'shi'li'shi'di'li 城市历史地理
'cheng'shi'lian'mian'qu 城市连绵区
'cheng'shi'man'yan 城市蔓延
'cheng'shi'sheng'zhang'ji 城市生长极
'cheng'shi'shuai'luo'qu 城市衰落区
'cheng'shi'wan'sheng 城市蔓生
'cheng'shi'yin'li 城市引力
'cheng'shi'zai'kai'fa 城市再开发
'cheng'shu'tu'rang 成熟土壤
'cheng'tu'zuo'yong 成土作用
'cheng'xiang'jiao'cuo'dai 城乡交错带
'cheng'ya'di'xia'shui 承压地下水
'cheng'ya'han'shui'ceng 承压含水层
'cheng'ya'shui 承压水
'cheng'ya'ying'bian 承压应变
'cheng'yan'zuo'yong 成岩作用
'chi'dao'yu'lin 赤道雨林
'chi'jin'bao 赤金堡
'chi'shui'du 持水度
'chi'tie'kuang 赤铁矿
'chong'duan'ceng 冲断层
'chong'gou 冲沟
'chong'hong'ji 冲洪积
'chong'hong'ji'shan 冲洪积扇
'chong'ji'bian'xing'zu'gou 冲击变形组构
'chong'ji'bian'zhi'zuo'yong 冲击变质作用
'chong'ji'ceng 冲积层
'chong'ji'di'zhen 冲击地震
'chong'ji'shan 冲积扇
'chong'ji'wu 冲积物
'chong'ji'zhui 冲积锥
'chong'shua 冲刷
'chong'shua'mian 冲刷面
'chou'shui'shi'yan 抽水试验
'chou'yang'ji'qiao 抽样技巧
'chu'ceng 储层
'chu'dong'fang'xiang 初动方向
'chu'dong'shi'jian 初动时间
'chu'fa'di'zhen 触发地震
'chu'kou'ji'di'li'lun 出口基地理论
'chu'shi'de'ying'li 初始地应力
'chu'zhen'fu 初振幅
'chu'zhi'bo 初至波
'chuan'bo'bi 传播比
'chui'shi 吹蚀
'chui'xiang'di'zhen'yi 垂向地震仪
'chui'zhi'cheng'ceng'jie'gou 垂直成层结构
'chui'zhi'ci'chang'qiang'du 垂直磁场强度
'chui'zhi'di'dai'xing 垂直地带性
'chun'ying'bian 纯应变
'ci'bao'du 磁暴度
'ci'bao'xiang 磁暴相
'ci'bao'xiao'ying 磁暴效应
'ci'bian'yi 磁变仪
'ci'ce'ji'dian 磁测基点
'ci'ce'pou'mian'tu 磁测剖面图
'ci'ceng'dian'chang 磁层电场
'ci'chi'tie'kuang 磁赤铁矿
'ci'dai'di'zhen'yi 磁带地震仪
'ci'fen'lu 磁分路
'ci'hua 磁化
'ci'huang'tie'kuang 磁黄铁矿
'ci'ji'lu'di'zhen'yi 磁记录地震仪
'ci'jing'ri 磁静日
'ci'jing'wei'yi 磁经纬仪
'ci'niu'cheng 磁扭秤
'ci'qing'zhi'shu 磁情指数
'ci'rao'ri 磁扰日
'ci'sheng'di'zhen'xiao'ying 次生地震效应
'ci'xing'chi'yu 磁性弛豫
'ci'xing'di'ceng'hua'fen 磁性地层划分
'ci'xing'di'ceng'xue 磁性地层学
'cong'shu'jing'guan 从属景观
'cu'fu'zhi'zhi 粗腐殖质
'cu'li'ning'hui'yan 粗粒凝灰岩
'cu'li'sha'yan 粗粒砂岩
'cu'li'sha'zhuang 粗粒砂状
'cu'li'tan 粗砾滩
'cu'sha'yan 粗砂岩
'cu'xuan'yan 粗玄岩
'cu'zhi'di'tu'rang 粗质地土壤
'cui'xing'duan'ceng 脆性断层
'cui'xing'xing'bian 脆性形变
'cuo'di'luo'shan 措迪洛山
'da'bao'zha'jia'shuo 大爆炸假说
'da'cheng'li'shi'ming'cheng 大成历史名城
'da'di'ce'liang'ji'xian 大地测量基线
'da'di'ce'liang'wang 大地测量网
'da'di'dian 大地点
'da'di'dian'ci'ce'shen 大地电磁测深
'da'di'dian'liu'bao 大地电流暴
'da'di'dian'zu'fa 大地电阻法
'da'di'gou'zao'dan'yuan 大地构造单元
'da'di'gou'zao'ti'xi 大地构造体系
'da'di'gou'zao'xue 大地构造学
'da'di'ji'zhun'mian 大地基准面
'da'di'kong'zhi'wang 大地控制网
'da'di'san'jiao'ce'liang 大地三角测量
'da'di'shui'zhun'ce'liang 大地水准测量
'da'di'tian'ding 大地天顶
'da'du'shi'shi'qu 大都市市区
'da'feng'shan 大峰山
'da'ka'sa'si 大卡萨斯
'da'lei'pu'ti'si 大雷普提斯
'da'li'yan 大理岩
'da'ling'yang'bao'hu'qu 大羚羊保护区
'da'long'zu 大隆组
'da'lu 大陆
'da'lu'ban'kuai 大陆板块
'da'lu'bei'dong'bian'yuan 大陆被动边缘
'da'lu'bing'chuan 大陆冰川
'da'lu'che'fa'shuo 大陆车阀说
'da'lu'di'qiao 大陆地壳
'da'lu'di'zhen 大陆地震
'da'lu'du 大陆度
'da'lu'fu'yuan 大陆复原
'da'lu'gu'ding'lun 大陆固定论
'da'lu'jia 大陆架
'da'lu'kuai 大陆块
'da'lu'lie'gu 大陆裂谷
'da'lu'peng'zhuang 大陆碰撞
'da'lu'piao'yi 大陆漂移
'da'lu'piao'yi'shuo 大陆漂移说
'da'lu'po 大陆坡
'da'lu'po'lie 大陆破裂
'da'lu'qi'tuan 大陆气团
'da'lu'xiao'jian 大陆消减
'da'lu'xing'bing'chuan 大陆性冰川
'da'lu'xing'di'qiao 大陆型地壳
'da'lu'xing'qi'hou 大陆性气候
'da'lu'zeng'zhang 大陆增长
'da'lu'zhu'dong'bian'yuan 大陆主动边缘
'da'qi'qian'yi 大气迁移
'da'qi'quan 大气圈
'da'rong'zhong'shi'yan 大容重试验
'da'tian'zhi'du 大田制度
'da'tong'huo'shan'qun 大同火山群
'da'tong'shan'cai'kuang'qu 大铜山采矿区
'da'xi'ding'lv 达西定律
'da'ye'zu 大冶组
'dai'zi'xing'gou'zao 歹字型构造
'dan'mian'shan 单面山
'dan'shui'hu 淡水湖
'dan'xun'huan 氮循环
'dan'yuan'jing'guan 单元景观
'dao'hu 岛弧
'dao'zhi'di'mao 倒置地貌
'deng'gao'xian 等高线
'deng'ji'kuo'san 等级扩散
'deng'ji'tou'ying 等积投影
'deng'jiao'tou'ying 等角投影
'deng'ju'tou'ying 等距投影
'deng'ju'yuan'ze 等距原则
'deng'shi'xian 等时线
'deng'zhi'xian 等值线
'di'ao'xi'ya 迪奥西亚
'di'biao'jing'liu 地表径流
'di'biao'shui 地表水
'di'biao'shui'wu'ran 地表水污染
'di'biao'zhen'yuan 地表震源
'di'cao 地槽
'di'cao'di'tai'shuo 地槽地台说
'di'ceng 地层
'di'ceng'biao 地层表
'di'ceng'bu'zheng'he 地层不整合
'di'ceng'chao'fu 地层超覆
'di'ceng'dai'hao 地层代号
'di'ceng'fen'qu 地层分区
'di'ceng'jian'duan 地层间断
'di'ceng'que'shi 地层缺失
'di'ceng'xiao'qu 地层小区
'di'ceng'xue 地层学
'di'ceng'zou'xiang 地层走向
'di'ci'bao 地磁暴
'di'ci'bei'ji 地磁北极
'di'ci'can'kao'chang 地磁参考场
'di'ci'chang 地磁场
'di'ci'chang'shi'liang 地磁场矢量
'di'ci'chang'yao'su 地磁场要素
'di'ci'chi'dao 地磁赤道
'di'ci'dao'zhuan 地磁倒转
'di'ci'fen'liang 地磁分量
'di'ci'gan'ying 地磁感应
'di'ci'huo'dong'xing 地磁活动性
'di'ci'ji 地磁极
'di'ci'ji'xing'dao'zhuan 地磁极性倒转
'di'ci'ji'xing'fan'zhuan 地磁极性反转
'di'ci'ji'xing'qi 地磁极性期
'di'ci'ji'xing'shi'jian 地磁极性事件
'di'ci'jing'du 地磁经度
'di'ci'jing'ri'bian'hua 地磁静日变化
'di'ci'li 地磁力
'di'ci'nan'ji 地磁南极
'di'ci'piao'yi 地磁漂移
'di'ci'san'yao'su 地磁三要素
'di'ci'shi'biao 地磁时表
'di'ci'shi'jian 地磁事件
'di'ci'yu'wei'du 地磁余纬度
'di'ci'zhou 地磁轴
'di'ci'zi'wu'quan 地磁子午圈
'di'ci'zong'qiang'du 地磁总强度
'di'dian'ce'liang 地电测量
'di'dian'chang 地电场
'di'dian'fa 地电法
'di'dian'yi 地电仪
'di'dong'yi 地动仪
'di'fa'di'zhen 递发地震
'di'fang'qi'hou 地方气候
'di'fang'zhen 地方震
'di'feng'he'xian 地缝合线
'di'fu'li'yi 迪夫里伊
'di'gun'bo 地滚波
'di'he 地核
'di'ji 地基
'di'ji'gang'xing 地基刚性
'di'ji'hui'tan 地基回弹
'di'ji'shi'xiao 地基失效
'di'ji'wen'ding'xing 地基稳定性
'di'ji'yi'dong 地极移动
'di'jie 底界
'di'jin'bian'xing 递进变形
'di'jing'ya'li 地静压力
'di'ka'er'zhang'liang 笛卡尔张量
'di'ka'er'zuo'biao 笛卡尔坐标
'di'kuai 地块
'di'lei 地垒
'di'li'da'fa'xian 地理大发现
'di'li'di'tu 地理底图
'di'li'fan'xi'fen'xi 地理泛系分析
'di'li'fen'bu 地理分布
'di'li'guan'xing 地理惯性
'di'li'huan'jing 地理环境
'di'li'ji'liang'xue 地理计量学
'di'li'jing'du 地理精度
'di'li'kao'cha 地理考察
'di'li'pou'mian 地理剖面
'di'li'quan 地理圈
'di'li'shu'ju'cai'bian 地理数据采编
'di'li'shu'ju'ku 地理数据库
'di'li'tong'ming 地理通名
'di'li'wei'du 地理纬度
'di'li'wei'zhi 地理位置
'di'li'xiang'guan'fa 地理相关法
'di'li'xin'xi 地理信息
'di'li'xin'xi'liu 地理信息流
'di'li'xue'shi 地理学史
'di'li'xue'si'xiang'shi 地理学思想史
'di'li'xue'ti'xi 地理学体系
'di'li'yao'gan 地理遥感
'di'li'yin'zi 地理因子
'di'li'zhi'tu 地理制图
'di'li'zhuan'ming 地理专名
'di'li'zhuan'ye'ci'hui 地理专业词汇
'di'li'zong'he 地理综合
'di'li'zu'zhang 地理阻障
'di'li'zuo'biao'wang 地理坐标网
'di'lie'feng 地裂缝
'di'luo'ni'san'jiao'wang 狄罗尼三角网
'di'man 地幔
'di'man'bo 地幔波
'di'man'di'he'jie'mian 地幔地核界面
'di'man'di'pi 地幔底辟
'di'man'di'zhen 地幔地震
'di'man'di'zhu 地幔地柱
'di'man'ji'ru'zuo'yong 地幔挤入作用
'di'man'le'fu'bo 地幔勒夫波
'di'man'liu 地幔流
'di'man'liu'bian'xue 地幔流变学
'di'man'mian'bo 地幔面波
'di'man're'zhu 地幔热柱
'di'man'yan 地幔岩
'di'man'yong'liu 地幔涌流
'di'man'zhu 地幔柱
'di'mao 地貌
'di'mao'cheng'yin 地貌成因
'di'mao'dan'yuan 地貌单元
'di'mao'dao'zhi 地貌倒置
'di'mao'guo'cheng 地貌过程
'di'mao'liang'ji'xue 地貌量计学
'di'mao'nian'dai'xue 地貌年代学
'di'mao'qu 地貌区
'di'mao'shi'dai 地貌世代
'di'mao'xing'cheng'zuo'yong 地貌形成作用
'di'mao'xu'lie 地貌序列
'di'mao'xuan'hui 地貌旋回
'di'mao'xue 地貌学
'di'mao'zu'he 地貌组合
'di'mian'chen'jiang 地面沉降
'di'mian'hun'bo 地面混波
'di'mian'jia'su'du 地面加速度
'di'mian'mai'dong 地面脉动
'di'mian'zhen'fu 地面振幅
'di'ming'luo'ma'hua 地名罗马化
'di'ming'zheng'ming 地名正名
'di'pao 地炮
'di'pi'gou'zao 底辟构造
'di'ping'jing'quan 地平经圈
'di'qi 底碛
'di'qian 地堑
'di'qian'pen'di 地堑盆地
'di'qiao 地壳
'di'qiao'bo'su'jie'gou 地壳波速结构
'di'qiao'di'zhen 地壳地震
'di'qiao'jun'heng 地壳均衡
'di'qiao'yun'dong 地壳运动
'di'qiao'zeng'hou 地壳增厚
'di'qing'xie 地倾斜
'di'qiu 地球
'di'qiu'bian'hua'ci'chang 地球变化磁场
'di'qiu'bian'xing 地球变形
'di'qiu'biao'mian 地球表面
'di'qiu'chao'xi 地球潮汐
'di'qiu'chao'xi'yin'zi 地球潮汐因子
'di'qiu'cheng'yin'shuo 地球成因说
'di'qiu'ci'xing 地球磁性
'di'qiu'cun 地球村
'di'qiu'dong'li'mo'xing 地球动力模型
'di'qiu'dong'li'xue 地球动力学
'di'qiu'fang'she'xing 地球放射性
'di'qiu'fu'she 地球辐射
'di'qiu'fu'she'dai 地球辐射带
'di'qiu'gong'zhuan 地球公转
'di'qiu'gu'ti'chao 地球固体潮
'di'qiu'hua'xue 地球化学
'di'qiu'hua'xue'chang 地球化学场
'di'qiu'hua'xue'jing'guan 地球化学景观
'di'qiu'hua'xue'qu 地球化学区
'di'qiu'hua'xue'tu 地球化学图
'di'qiu'hua'xue'yi'chang 地球化学异常
'di'qiu'ji'ben'ci'chang 地球基本磁场
'di'qiu'jin'dong 地球进动
'di'qiu'jing'li'xue 地球静力学
'di'qiu'ke'xue 地球科学
'di'qiu'kong'jian 地球空间
'di'qiu'li'xue 地球力学
'di'qiu'mo'xing 地球模型
'di'qiu'nei'bu'hua'xue 地球内部化学
'di'qiu'peng'zhang 地球膨胀
'di'qiu'peng'zhang'shuo 地球膨胀说
'di'qiu'shi 地球史
'di'qiu'shou'suo 地球收缩
'di'qiu'wai'zhong'li'wei 地球外重力位
'di'qiu'wu'li'chang 地球物理场
'di'qiu'wu'li'yi'chang 地球物理异常
'di'qiu'yun'dong 地球运动
'di'qiu'yun'dong'xue 地球运动学
'di'qiu'zhong'li 地球重力
'di'qiu'zhong'xin'he 地球中心核
'di'qiu'zhong'xin'jiao 地球中心角
'di'qiu'zi'you'zhang'dong 地球自由章动
'di'qiu'zi'you'zhen'dong 地球自由振动
'di'qiu'zi'yuan'wei'xing 地球资源卫星
'di'qu 地区
'di're 地热
'di're'dui'liu'xi'tong 地热对流系统
'di're'gong'ye 地热工业
'di're'huo'dong 地热活动
'di're'jing 地热井
'di're'neng 地热能
'di're'yi'chang'qu 地热异常区
'di'san'ji 第三纪
'di'sheng'tai'xue 地生态学
'di'shi'qu'xian 地势曲线
'di'shi'xue 地史学
'di'si'ji 第四纪
'di'si'ji'bing'qi 第四纪冰期
'di'si'xi 第四系
'di'su'ceng 低速层
'di'su'dai 低速带
'di'tu'bian'ji 地图编缉
'di'tu'bian'ji'xi'tong 地图编辑系统
'di'tu'biao'shi'fang'fa 地图表示方法
'di'tu'chuan'shu'lun 地图传输论
'di'tu'fen'fu 地图分幅
'di'tu'fen'lei 地图分类
'di'tu'fu'hao 地图符号
'di'tu'fu'hao'xue 地图符号学
'di'tu'gai'kuo 地图概括
'di'tu'gan'shou'lun 地图感受论
'di'tu'gui'fan 地图规范
'di'tu'gui'na'fa 地图归纳法
'di'tu'liang'suan 地图量算
'di'tu'mo'shi'lun 地图模式论
'di'tu'pan'du 地图判读
'di'tu'ping'jia 地图评价
'di'tu'pu'yong 地图谱用
'di'tu'she'ji 地图设计
'di'tu'shu'ju'jie'gou 地图数据结构
'di'tu'shu'xue'mo'xing 地图数学模型
'di'tu'shu'zi'hua 地图数字化
'di'tu'te'zheng'ma 地图特征码
'di'tu'tu'xing 地图图型
'di'tu'xin'xi 地图信息
'di'tu'xin'xi'lun 地图信息论
'di'tu'yan'yi'fa 地图演绎法
'di'tu'zuo'biao'wang 地图坐标网
'di'wa'xue'shuo 地洼学说
'di'wei'zhao'ze 低位沼泽
'di'wen'qi'hou 低温气候
'di'wen'yin'su 地文因素
'di'xia'gong'cheng 地下工程
'di'xia'he 地下河
'di'xia'he'liu 地下河流
'di'xia'shui 地下水
'di'xia'shui'dong'li'xue 地下水动力学
'di'xia'shui'dong'tai 地下水动态
'di'xia'shui'guan'ce 地下水观测
'di'xia'shui'jing'liu 地下水径流
'di'xia'shui'jun'heng 地下水均衡
'di'xia'shui'kai'cai 地下水开采
'di'xia'shui'ku 地下水库
'di'xia'shui'wang'luo 地下水网络
'di'xia'shui'wei 地下水位
'di'xian 地陷
'di'xin'gui'dao 地心轨道
'di'xin'jiao 地心角
'di'xin'ju'li 地心距离
'di'xin'ti'xi 地心体系
'di'xin'tian'ding 地心天顶
'di'xin'wei'zhi 地心位置
'di'xin'yin'li 地心引力
'di'xing'bian 地形变
'di'xing'bian'ce'liang 地形变测量
'di'xing'ce'hui 地形测绘
'di'xing'deng'ji 地形等级
'di'xing'di'mao 地形地貌
'di'xing'di'wu 地形地物
'di'xing'fen'xi'cheng'xu 地形分析程序
'di'xing'ji'mian 地形基面
'di'xing'pi'pei 地形匹配
'di'xing'qi'hou'xue 地形气候学
'di'xing'tai'sheng 地形抬升
'di'xing'tong'wei'su'fen'liu'xiao'ying 地形同位素分馏效应
'di'xing'tu 地形图
'di'xing'tu'gou'zhi 地形图购置
'di'xing'tu'shu'zi'hua 地形图数字化
'di'xing'yao'su'hua'fen'biao'zhun'ji'fen'zhi'biao 地形要素划分标准及分值表
'di'xue 地学
'di'xue'duan'mian 地学断面
'di'xue'zhi'shi'jie'shao'pai 地学知识介绍牌
'di'ya'xing'di're'zi'yuan 地压型地热资源
'di'ya'ying'li 地压应力
'di'ye'xian'nian'tu 低液限粘土
'di'yi'ce'nian'fa 地衣测年法
'di'ying'li 地应力
'di'yu'zhuan'ye'hua 地域专业化
'di'yue'zhong'xin 地月重心
'di'zao'sheng 地噪声
'di'zhen 地震
'di'zhen'bao'xian 地震保险
'di'zhen'bi'nan'chang'suo 地震避难场所
'di'zhen'bo 地震波
'di'zhen'bo'chuan'bo 地震波传播
'di'zhen'bo'shuai'jian 地震波衰减
'di'zhen'bo'su'bi 地震波速比
'di'zhen'bo'su'du 地震波速度
'di'zhen'bo'zou'shi 地震波走时
'di'zhen'bu'lian'xu'mian 地震不连续面
'di'zhen'can'shu 地震参数
'di'zhen'ce'zhen'xue 地震测震学
'di'zhen'ceng'xu 地震层序
'di'zhen'chang 地震场
'di'zhen'chang'qi'yu'bao 地震长期预报
'di'zhen'cheng'xiang 地震成像
'di'zhen'cheng'yin 地震成因
'di'zhen'chong'fu'jian'ge 地震重复间隔
'di'zhen'chu'bo 地震初波
'di'zhen'cuo'ju 地震错距
'di'zhen'dao 地震道
'di'zhen'di'ceng'xue 地震地层学
'di'zhen'di'mao 地震地貌
'di'zhen'di'zhi'xiao'ying 地震地质效应
'di'zhen'di'zhi'xue 地震地质学
'di'zhen'di'zhi'zai'hai 地震地质灾害
'di'zhen'dian'xiao'ying 地震电效应
'di'zhen'diao'cha 地震调查
'di'zhen'ding'liang 地震定量
'di'zhen'ding'wei 地震定位
'di'zhen'dong'can'shu 地震动参数
'di'zhen'dou'kan 地震陡坎
'di'zhen'duan'ceng 地震断层
'di'zhen'duan'qi'yu'bao 地震短期预报
'di'zhen'dui'ce 地震对策
'di'zhen'fan'she 地震反射
'di'zhen'fan'yan 地震反演
'di'zhen'fan'ying'pu 地震反应谱
'di'zhen'fang'da'qi 地震放大器
'di'zhen'fen'bu'tu 地震分布图
'di'zhen'fu'fa 地震复发
