'an'niu 按钮
'dian'rong 电容
'dian'rong'gui 电容柜
'dian'rong'qi 电容器
'dian'rong'qi'gao'ya'rong'qi'rong 电容器高压容器熔
'dian'rong'rong'duan'qi 电容熔断器
'dian'shua 电刷
'dian'wang 电网
'dian'wei 电位
'dian'ya 电压
'dian'ya'biao 电压表
'dian'ya'deng'ji 电压等级
'dian'ya'hu'gan'qi 电压互感器
'dian'ya'wen'ding 电压稳定
'dian'ya'yuan 电压源
'dian'zu 电阻
'dian'zu'biao 电阻表
'dian'zu'qi 电阻器
'die'luo'shi'rong'duan'qi 跌落式熔断器
'ding'zi 定子
'dong'bei'dian'li'she'ji'yuan 东北电力设计院
'dong'li'gong'cheng'xi 动力工程系
'dong'tai 动态
'dong'zuo'ci'shu 动作次数
'dong'zuo'su'du 动作速度
'du'xin'tai'jia 镀锌台架
'duan'gai 端盖
'duan'gai'shi'zhou'cheng 端盖式轴承
'duan'gu 断股
'duan'lu'gu'zhang 短路故障
'duan'lu'qi 断路器
'dui'di'ju'li 对地距离
'dui'jiang'ji 对讲机
'dui'jiang'men'ling 对讲门铃
'duo'gong'neng'dao'xian'ka'xian'qi 多功能导线卡线器
'duo'gong'neng'dian'zi'biao'duo'gong'neng'dian'zi'biao 多功能电子表多功能电子表
'duo'gong'neng'qi'zi 多功能起子
'e'ding 额定
'fa'dian'chang 发电厂
'fa'dian'ji 发电机
'fa'dian'ji'duan 发电机端
'fan'chuan'suan'fa 反传算法
'fang'zhen 仿真
'fang'zhen'chui 防震锤
'fang'zhen'fen'xi 仿真分析
'fang'zhen'shu'ju 仿真数据
'fei'xian'xing'xi'tong 非线性系统
'fei'yong'lei'bie 费用类别
'fen'jie'tou 分接头
'fen'xiang'cao'zuo'xiang 分相操作箱
'fen'zha'xian'quan 分闸线圈
'feng'pian 风偏
'fu'he'jue'yuan'zi 复合绝缘子
'fu'he'zhuang'tai 负荷状态
'fu'jia'wang'luo 附加网络
'fu'jia'xi'tong 附加系统
'fu'jiao'shou 副教授
'fu'xian 副线
'fu'xu'zu'kang 负序阻抗
'fu'zai'dian'liu'bai'fen'bi'xian'shi 负载电流百分比显示
'fu'ze'ren 负责人
'fu'zhu'chu'dian 辅助触点
'gan'ta'hao 杆塔号
'gan'ta'xing'shi 杆塔型式
'gang'bing'gou'xian'jia 钢并沟线夹
'gang'jiao'xian 钢绞线
'gang'xian'qia'zi 钢线卡子
'gang'xin'lv'jiao'xian 钢芯铝绞线
'gao'ding'zhi 高顶值
'gao'jing'du 高精度
'gao'kang 高抗
'gao'shui'wen'gu'zhang'ting'ji 高水温故障停机
'gao'ya 高压
'gao'ya'bao'xian 高压保险
'gao'ya'ce 高压侧
'gao'ya'dian'lan'xiao'pi'qi 高压电缆削皮器
'gao'ya'rong'qi'rong 高压容器熔
'gao'ya'rong'si 高压熔丝
'gao'ya'yan'dian'qi 高压验电器
'ge'li'kai'guan 隔离开关
'ge'li'qi 隔离器
'gei'ding'de 给定的
'geng'huan 更换
'gong'jiao 功角
'gong'jiao'wen'ding 功角稳定
'gong'ju'ming'cheng 工具名称
'gong'lv 功率
'gong'lv'yin'shu 功率因数
'gong'pin 工频
'gong'xing'zhi'jia 弓形支架
'gong'ying 供应
'gu'ding'chuan'lian'dian'rong'bu'chang 固定串联电容补偿
'gu'zhang 故障
'gu'zhang'dian 故障点
'gu'zhang'qie'chu'shi'jian 故障切除时间
'guan'ce'dang 观测档
'guan'li'zhi'du 管理制度
'guang'dong'dian'wang'gong'si 广东电网公司
'guang'xian'cha'dong'bao'hu 光纤差动保护
'gui'ge'xing'hao 规格型号
'guo'du'jia 过渡夹
'guo'jia'dian'wang'gong'si 国家电网公司
'ha'fu'bao'gu 哈夫抱箍
'hang'bo 行波
'hang'bo'bao'hu 行波保护
'hang'bo'ji'dian'qi 行波继电器
'hang'bo'xin'hao 行波信号
'he'ding'kong'zhi'fei'yong 核定控制费用
'he'jia 合价
'he'zha'xian'quan 合闸线圈
'heng'dang 横档
'hong'dan'qi 红丹漆
'hu'chui 弧垂
'hu'die'ci'ping 蝴蝶瓷瓶
'hu'gan'qi 互感器
'hu'han'ji 弧焊机
'hu'huan 护环
'hu'nei'dan'xin 户内单芯
'hu'wai'dan'xin 户外单芯
'hu'wai'san'xin'dian'lan'tou 户外三芯电缆头
'hua'shi 滑石
'hui'tian'tu 回填土
'ji'chu 基础
'ji'chu'gao'cha 基础高差
'ji'dian'bao'hu 继电保护
'ji'dian'qi 继电器
'ji'dong'jiao'mo 机动绞磨
'ji'duan 机端
'ji'duan'dian'ya'kong'zhi 机端电压控制
'ji'gai 技改
'ji'hua'wan'cheng'ri'qi 计划完成日期
'ji'lu'ren 记录人
'ji'shi'xiao'chu'he'ji 及时消除合计
'ji'suan'ji'guan'li'xin'xi'xi'tong 计算机管理信息系统
'ji'xian'qie'chu'shi'jian 极限切除时间
'ji'xie'chong'kong'ji 机械冲孔机
'ji'xie'chong'kong'ji'ya'mo 机械冲孔机压模
'ji'xie'guo'su 机械过速
'ji'you'you'ya'biao 机油油压表
'ji'zu 机组
'ji'zu'yun'xing'xiao'shi'biao 机组运行小时表
'ji'zu'yun'xing'zheng'chang 机组运行正常
'jia'kong'guang'lan 架空光缆
'jia'kong'xian 驾空线
'jian'cha'ren 检查人
'jian'cha'ri'qi 检查日期
'jian'cha'shi'jian 检查时间
'jian'cha'xiang'mu 检查项目
'jian'fa'yun'suan 减法运算
'jian'she'ri'qi 建设日期
'jian'xiu 检修
'jiao'ding 脚钉
'jiao'kou 脚扣
'jiao'liu 交流
'jiao'liu'li'ci'ji 交流励磁机
'jie'chu'qi 接触器
'jie'di'bang'jie'di'xian 接地棒接地线
'jie'di'bian'tie 接地扁铁
'jie'di'dao'zha 接地刀闸
'jie'di'wai'lu 接地外露
'jie'di'wang'tiao'shi 接地网调试
'jie'di'yin'xia'xian 接地引下线
'jie'di'yin'xia'xian'bei'dao 接地引下线被盗
'jie'di'yuan'gang 接地圆钢
'jie'lun 结论
'jie'mian 截面
'jie'tou'wen'du 接头温度
'jie'xian'duan'zi 接线端子
'jie'xian'duan'zi'ban 接线端子板
'jie'xin'jian'duan 接新建段
'jin'ji'shi'gu'ting'ji 紧急事故停机
'jin'ju 金具
'jing'tai 静态
'ju'li 距离
'ju'li'bao'hu 距离保护
'jue'yuan'dian'zu'biao 绝缘电阻表
'jue'yuan'xue'zi'jue'yuan'shou'tao 绝缘靴子绝缘手套
'jue'yuan'zhao 绝缘罩
'jue'yuan'zi 绝缘子
'jue'yuan'zi'shi'yan 绝缘子试验
'jun'gong'bao'gao 竣工报告
'kai'guan'zhan 开关站
'kan'xiu'shu'mu 砍修树木
'kang'gan'rao'neng'li 抗干扰能力
'ke'kao'dong'zuo 可靠动作
'ke'qing'wa 可倾瓦
'kong'ce 空侧
'kong'dao 空导
'kong'leng 空冷
'kong'xin'dao'xian 空心导线
'kong'zai'dian'liu 空载电流
'kong'zai'sun'hao 空载损耗
'kong'zhi'an'niu 控制按钮
'ku'lian'zi 苦莲子
'ku'rong'liang 库容量
'kuai'su'de'dao 快速地刀
'kuang'tu 框图
'kui'xian'gui 馈线柜
'la'bang 拉棒
'la'pan 拉盘
'la'xian 拉线
'la'xian'jue'yuan'zi 拉线绝缘子
'la'xian'ma'gu 拉线麻箍
'la'xian'tai'song 拉线太松
'la'zha'xian'dian 拉闸限电
'lang'yong'bao'hu'qi 浪涌保护器
'leng'bei'yong 冷备用
'leng'que'shui'wen'du'biao 冷却水温度表
'leng'que'shui'zhong'duan 冷却水中断
'li'ba'jian 篱笆剪
'li'ci 励磁
'li'ci'dian'liu'zhuan'zi'dian'liu 励磁电流转子电流
'li'ci'ji 励磁机
'li'ci'ji'duan 励磁机端
'li'ci'qi 励磁器
'li'duan 励端
'li'shu'han'shu 隶属函数
'li'xian 离线
'ling'liao'ren 领料人
'ling'liao'ri'qi 领料日期
'ling'liao'yong'tu 领料用途
'ling'min'xing 灵敏性
'ling'xu'bao'hu 零序保护
'ling'xu'dian'liu'bao'hu 零序电流保护
'ling'xu'zu'kang 零序阻抗
'lou'dian'duan'lu'qi 漏电断路器
'luo'dian 落点
'luo'shuan 螺栓
'luo'shuan'xing'nai'zhang'xian'jia 螺栓型耐张线夹
'lv'bao'dai 铝包带
'lv'bing'gou'xian'jia 铝并沟线夹
'lv'jie'xu'guan 铝接续管
'lv'pai 铝排
'ma'gu 麻箍
'ma'xian 麻线
'mei'xiang'dian'liu 每相电流
'men'kan'zhi 门槛值
'ming'cheng 名称
'mo'hu'gui'ze 模糊规则
'mo'hu'kong'zhi 模糊控制
'mo'hu'shen'jing'wang'luo 模糊神经网络
'mo'hu'tui'li 模糊推理
'mo'hu'tui'li'ju'zhen 模糊推理矩阵
'mu'xian 母线
'mu'xian'bao'hu 母线保护
'nai'zhang 耐张
'nai'zhang'duan 耐张段
'nai'zhang'xian'jia 耐张线夹
'nan'fang'dian'wang'gong'si 南方电网公司
'neng'liang'shu'song 能量输送
'pei'dian'xi'tong 配电系统
'pei'dian'xiang 配电箱
'pian'yi 偏移
'pian'yi'liang 偏移量
'pin'lv 频率
'pin'lv'bian'zu'qi 频率变阻器
'pin'lv'biao 频率表
'ping'kong'xian 坪空线
'po'huai 破坏
'qi'dong'qi 启动器
'qi'dong'shi'bai'ting'ji 起动失败停机
'qi'duan 汽端
'qi'ta'gu'zhang'xian'shi'ji'shu'ru 其它故障显示及输入
'qi'zhong'hua'che 起重滑车
'qi'zi 起子
'qian'fa 千阀
'qian'fu'an 千伏安
'qian'wa 千瓦
'qian'xing'jie'di'dian'zu'ce'shi'yi 钳型接地电阻测试仪
'qiang'dang 墙档
'qiang'xing'li'ci 强行励磁
'qie'ji 切机
'qing'ce 氢侧
'qing'dan 清单
'qing'xie'bi 倾斜比
'qing'xie'fang'xiang 倾斜方向
'qing'xie'zhi 倾斜值
'qiu'he'qi 求和器
'qiu'tou 球头
'qiu'tou'gua'huan 球头挂环
'qu'nei'gu'zhang 区内故障
'quan'mian'di 全面地
're'bei'yong 热备用
're'dian'ou 热电偶
're'ji'dian'qi 热继电器
're'kong 热控
'ri'qi 日期
'rong'duan'qi 熔断器
'rong'liang 容量
'rong'qi'rong 容器熔
'san'jiao'xing'li'shu'du'han'shu 三角形隶属度函数
'san'ling 三菱
'san'rao'zu'bian'ya'qi 三绕组变压器
'san'xiang'dian'du'biao 三相电度表
'san'xiang'dian'ya 三相电压
'san'xiang'gu'zhang 三相故障
'san'xiang'qian'xing'dian'li'can'shu'xiang'liang'yi 三相钳型电力参数向量仪
'san'xiang'san'xian'san'xiang'san'xian 三相三线三相三线
'san'xiang'si'xian 三相四线
'sha'shu 沙树
'shan'ti'xia'hua 山体下滑
'shang'xian 上限
'she'bei'que'xian 设备缺陷
'shen'he'ren 审核人
'shen'jing'wang'luo 神经网络
'shen'jing'yuan 神经元
'sheng'kong'kai'guan 声控开关
'sheng'ya'bian'ya'qi 升压变压器
'shi'ce'hu'chui 实测弧垂
'shi'dian'gao 视点高
'shi'gong'dan'wei 施工单位
'shi'gu'di'you'ya 事故底油压
'shi'gu'ting'ji 事故停机
'shi'ji'jue'suan'fei'yong 实际决算费用
'shi'ji'wan'cheng'ri'qi 实际完成日期
'shi'ji'wan'cheng'zhu'yao'gong'zuo'liang 实际完成主要工作量
'shi'jian'ji'dian'qi 时间继电器
'shi'kong'kai'guan 时控开关
'shi'ling'bao'hu 失灵保护
'shi'qu'tong'bu 失去同步
'shi'yan'jing'la'li 试验静拉力
'shi'yan'ren 试验人
'shi'yan'ri'qi 试验日期
'shi'yan'shi'jian 试验时间
'shi'zhen 失真
'shou'duan 受端
'shou'mo'duan'duan'lu'qi'bian'hao 首末端断路器编号
'shu'bian'dian'fen'gong'si 输变电分公司
'shu'dian'ju'li 输电距离
'shu'dian'xi'tong 输电系统
'shu'dian'xian 输电线
'shu'dian'xian'lu'gu'zhang 输电线路故障
'shu'liang 数量
'shu'zi'wan'yong'biao 数字万用表
'shuang'dian'yuan 双电源
'shuang'hui'tong'gan'bing'jia 双回同杆并架
'shuang'rao'zu'bian'ya'qi 双绕组变压器
'shuang'shui'nei'leng 双水内冷
'shui'leng 水冷
'shui'ping'dang'ju 水平档距
'shui'qing'qing 水氢氢
'si'fen'xian'sun 四分线损
'song'ga'xian 松嘎线
'song'pei'dian'zhuang'zhi'xi'tong'tiao'shi 送配电装置系统调试
'song'shu 松树
'suan'fa 算法
'sun'huai 损坏
'ta'cai'bei'dao 塔材被盗
'ta'cai'sun'shang 塔材损伤
'ta'jiao 塔脚
'ta'jiao'hui'tian'tu 塔脚回填土
'teng'zi 藤子
'tian'bao'dan'wei 填报单位
'tian'bao'ren 填报人
'tian'bao'ri'qi 填报日期
'tiao'jie 调节
'tiao'jie'yi 调节仪
'tiao'li 条例
'tie'sun 铁损
'tie'ta 铁塔
'tie'xin 铁芯
'tie'xin 铁心
'ting'ji'bei'yong 停机备用
'ting'sa'xian 听洒线
'tong'bi'zi 铜鼻子
'tong'bu 同步
'tong'dian'ou 铜电偶
'tong'ji 统计
'tong'lv'bi'zi 铜铝鼻子
'tong'pai 铜排
'tong'sun 铜损
'tou'yun 投运
'tou'yun'shi'jian 投运时间
'tu'zhi 土质
'wan'tou'tui'ban 碗头推板
'wan'yong'biao 万用表
'wei'dong'kai'guan 微动开关
'wei'xian 危险
'wei'yi 位移
'wen'ding 稳定
'wen'du 温度
'wen'du'huan'jing 温度环境
'wen'kong'yi 温控仪
'wu'dong'zuo 误动作
'wu'gong 无功
'wu'gong'bu'chang 无功补偿
'wu'gong'dian'liu 无功电流
'wu'gong'fu'zai 无功负载
'wu'gong'gong'lv 无功功率
'wu'gong'sun'hao 无功损耗
'wu'shua'li'ci'ji 无刷励磁机
'xi'bei'dian'li'she'ji'yuan 西北电力设计院
'xi'men'zi 西门子
'xi'wu 西屋
'xia'chen 下沉
'xia'jiang'lv 下降率
'xia'jiang'te'xing 下降特性
'xia'xian 下限
'xian'jia 线夹
'xian'jing 线径
'xian'lu 线路
'xian'lu'bu'chang'qi 线路补偿器
'xian'lu'chang'du 线路长度
'xian'lu'kuai'su'jie'di'dao'zha 线路快速接地刀闸
'xian'lu'ming'cheng 线路名称
'xiang'bie 相别
'xiang'jian'yun'suan 相减运算
'xiang'jiao'shu 橡胶树
'xiang'mu'ming'cheng 项目名称
'xiang'mu'yi'ju 项目依据
'xiang'shi'bian'ya'qi 箱式变压器
'xiao'bo'bian'huan 小波变换
'xiao'chang 硝厂
'xiao'chu'he'ji 消除合计
'xiao'chu'ji'shi'lv 消除及时率
'xiao'pi'qi 削皮器
'xiao'que'lv 消缺率
'xiao'shui'dian 小水电
'xiao'xie'qi 消谐器
'xiao'xing'duan'lu'qi 小型断路器
'xie'bo'dian'liu 谐波电流
'xie'lou'dian'liu 泄漏电流
'xie'lv 斜率
'xie'xing'xian'jia 楔型线夹
'xie'xing'xian'jia 楔形线夹
'xin'hao'deng 信号灯
'xing'cheng'kai'guan 行程开关
'xing'huan 型环
'xing'luo'shuan 型螺栓
'xing'xian'jia 型线夹
'xiu'gai'de 修改的
'xiu'kan'shu'mu 修砍树木
'xu'geng'huan 须更换
'xu'hao 序号
'xu'xiu 需修
'xuan'chui'xian'jia 悬锤线夹
'xuan'gua 悬挂
'xuan'shi'jue'yuan'zi 悬式绝缘子
'xue'bao 学报
'ya'mo 压模
'yan'chi'bian'huan 延迟变换
'yan'chi'shi'jian 延迟时间
'yan'jiu'fang'xiang 研究方向
'yang'ben'ji'he 样本集合
'yang'ben'kong'jian 样本空间
'yao'bai 摇摆
'yao'ce 遥测
'yao'xin 遥信
'ye'ya'chong'kong'ji'ya'mo 液压冲孔机压模
'ye'ya'ji'ya'mo 液压机压模
'ye'ya'jie'xu'guan 液压接续管
'ye'ya'qian 液压钳
'yi'liu'wen'ti 遗留问题
'yi'peng 一蓬
'yi'song'xian 一松线
'yi'wo'feng 一窝蜂
'yin'fen'qi 银粉漆
'yin'liu'xian 引流线
'yin'xia'xian 引下线
'ying'guang'deng 荧光灯
'ying'ji'deng 应急灯
'yong'dian'xu'qiu'guan'li 用电需求管理
'you'gong 有功
'you'gong'fu'zai 有功负载
'you'gong'gong'lv 有功功率
'you'gong'sun'hao 有功损耗
'you'qi'shua 油漆刷
'yu'du 裕度
'yu'fu'fei'dian'du'biao 预付费电度表
'yu'mi 玉米
'yun'xing 运行
'yun'xing'dan'wei 运行单位
'yun'xing'zhuan'su 运行转速
'yun'xu'shi'yong'he'zhong 允许使用荷重
'za'cao 杂草
'za'shu 杂树
'zan'tai'fen'liang 暂态分量
'zan'tai'hang'bo 暂态行波
'zan'tai'wen'ding 暂态稳定
'ze'ren'you'xian'gong'si 责任有限公司
'zhao'ming'deng'ju 照明灯具
'zhao'wa 兆瓦
'zhen'shi'ci'ping 针式瓷瓶
'zheng'tai'ye'lian'chang 正泰冶炼厂
'zheng'xu'zu'kang 正序阻抗
'zhi'jian 之间
'zhi'jiao'gua'ban 直角挂板
'zhi'liu'dian'kang'qi 直流电抗器
'zhi'wu 植物
'zhi'xian'dan'gan 直线单杆
'zhong'da'que'xian 重大缺陷
'zhong'dian'tou'ji'tuan'gong'si 中电投集团公司
'zhong'guo'da'tang'ji'tuan'gong'si 中国大唐集团公司
'zhong'guo'dian'li 中国电力
'zhong'jian'ji'dian'qi 中间继电器
'zhong'xian'dian'liu 中线电流
'zhong'xin'huan 中心环
'zhong'ya 中压
'zhou'cheng 轴承
'zhou'wa 轴瓦
'zhu'bian'zhong'xing'dian'dao'zha 主变中性点刀闸
'zhu'hai'gong'dian'ju 珠海供电局
'zhu'ling'kai'guan 主令开关
'zhu'pei'ju'dong 主配拒动
'zhu'shang'bian'ya'qi 柱上变压器
'zhu'shang'kai'guan 柱上开关
'zhu'zi 竹子
'zhuan'huan'kai'guan 转换开关
'zhuan'zi 转子
'zhuan'zi'dian'shu 转子电枢
'zhuang'ji'rong'liang 装机容量
'zi'dong'kai'guan 自动开关
'zi'shi'ying'kong'zhi'fang'fa 自适应控制方法
'zi'shi'ying'xi'tong 自适应系统
'zi'xi'tong 子系统
'zi'xue'xi'gong'neng 自学习功能
'zu'he'kai'guan 组合开关
'zu'kang 阻抗
'zu'ni 阻尼
'zui'di'dian'liu 最低电流
'zui'di'dian'ya 最低电压
'zui'gao'dian'liu 最高电流
'zui'gao'dian'ya 最高电压
