'bai'du 百度
'hou'yan'wu'chi 厚颜无耻
'hu'hai 湖海
'hua'yang'duo'wu'hua'ba'men 花样多五花八门
'huang'mian'ao'zi'bi'yu'dong'tian'de'tai'yang 黄绵袄子比喻冬天的太阳
'ji'ya'e 鸡鸭鹅
'jia'wu'lao'dong 家务劳动
'jiang'he 江河
'jie'dao 街道
'jin'feng'yu'lu'fan'zhi'qiu'tian'de'jing'wu 金风玉露泛指秋天的景物
'ju'shi'zhu'mu'guan'zhong'kui'bao'zuo'gu'you'pan 举世瞩目管中窥豹左顾右盼
'lei'dian 雷电
'li'zheng'shang'you'pi'jing'zhan'ji 力争上游披荆斩棘
'liu'lv'hua'hong'xing'rong'chun'tian'de'mei'li'jing'se 柳緑花红形容春天的美丽景色
'long'tan'hu'xue'long'yue'feng'ming'che'shui'ma'long 龙潭虎穴龙跃凤鸣车水马龙
'man'shan'bian'ye'xing'luo'qi'bu'feng'fu'duo'cai 漫山遍野星罗棋布丰富多彩
'miao'xie'chun'tian'de'cheng'yu 描写春天的成语
'miao'xie'chun'tian'mei'hao'de'cheng'yu 描写春天美好的成语
'miao'xie'dong'tian'de'cheng'yu 描写冬天的成语
'miao'xie'feng'fu'fan'duo'de'cheng'yu 描写丰富繁多的成语
'miao'xie'hua'de'cheng'yu 描写花的成语
'miao'xie'jiao'ao'de'cheng'yu 描写骄傲的成语
'miao'xie'qian'xu'de'cheng'yu 描写谦虚的成语
'miao'xie'qing'kuang'jin'ji'de'cheng'yu 描写情况紧急的成语
'miao'xie'qiu'tian'de'cheng'yu 描写秋天的成语
'miao'xie're'nao'fan'hua'de'cheng'yu 描写热闹繁华的成语
'miao'xie'ren'de'rong'mao'huo'ti'tai'de'cheng'yu 描写人的容貌或体态的成语
'miao'xie'ren'de'yu'yan'de'cheng'yu 描写人的语言的成语
'miao'xie'ren'wu'pin'zhi'de'cheng'yu 描写人物品质的成语
'miao'xie'ren'wu'shen'tai'de'cheng'yu 描写人物神态的成语
'miao'xie'ren'xin'li'huo'dong'de'cheng'yu 描写人心理活动的成语
'miao'xie'shan'de'cheng'yu 描写山的成语
'miao'xie'shuo'de'cheng'yu 描写说的成语
'miao'xie'xia'tian'de'cheng'yu 描写夏天的成语
'miao'xie'xue'xi'de'cheng'yu 描写学习的成语
'miao'xie'yan'se'de'cheng'yu 描写颜色的成语
'miao'xie'ying'xiong'ren'wu'de'cheng'yu 描写英雄人物的成语
'miao'xie'you'qing'de'cheng'yu 描写友情的成语
'pei'le'fu'ren'you'zhe'bing'she'zhan'qun'ru 赔了夫人又折兵舌战群儒
'qi'han'ku'shu'qi'da'dong'ji'da'han'xia'tian'shi're 祁寒酷暑祁大冬季大寒夏天湿热
'qi'han'shu'yu'qi'da'dong'ji'da'han'xia'tian'shi're 祁寒暑雨祁大冬季大寒夏天湿热
'qiu'tian 秋天
'qiu'tian'de'jing'se 秋天的景色
'ren'duo 人多
'san'zi'su'yu'lei 三字俗语类
'shang'dian 商店
'shou'wei'tong'zi'de'cheng'yu 首尾同字的成语
'shou'wu'fu'ji'zhi'li 手无缚鸡之力
'shu'zi'cheng'yu 数字成语
'shuang'gan'dou'jiu'bi'yu'chun'tian'you'wan'sheng'jing 双柑斗酒比喻春天游玩胜景
'si'zi'cheng'yu'fen'lei 四字成语分类
'tian'kong 天空
'tong'xue'jian 同学间
'wan'ju 玩具
'wan'zi'qian'hong'wan'si'yi'sheng 万紫千红万死一生
'wu'guang'shi'se'qing'hong'zao'bai'lv'shui'qing'shan 五光十色青红皂白绿水青山
'xi'feng'xie'yang'xing'rong'qiu'tian'bang'wan'de'jing'xiang 西风斜阳形容秋天傍晚的景象
'xia'tian'de'jing'se 夏天的景色
'xia'tian'de're 夏天的热
'xiang'de'cheng'yu 想的成语
'xiao'xi'quan'shui 小溪泉水
'xiao'yu 小雨
'xuan'li'duo'cai'wu'cai'bin'fen 绚丽多彩五彩缤纷
'xue'shang'jia'shuang'han'shuang'xi'ren'shuang'lin'jin'ran 雪上加霜寒霜袭人霜林尽染
'xue'xiao 学校
'yan'tian'shu'yue'zhi'yan're'de'xia'tian 炎天暑月指炎热的夏天
'ye'wan 夜晚
'ying'wu'xue'she'wan'zhuan'yue'er'ben'zui'xue'she 鹦鹉学舌婉转悦耳笨嘴学舌
'you'xi 游戏
'yu'si'feng'pian'xing'rong'chun'tian'de'wei'feng'xi'yu 雨丝风片形容春天的微风细雨
'yuan'zi'yu'li'shi'gu'shi'de'cheng'yu 源自于历史故事的成语
'yuan'zi'yu'yu'yan'gu'shi'de'cheng'yu 源自于寓言故事的成语
'zao'chen 早晨
'zhen'er'yu'long'zuo'wu'xu'xi 震耳欲聋座无虚席
'zhong'wu 中午
'zhu'si'ma'ji'tang'lang'bu'chan'huang'que'zai'hou 蛛丝马迹螳螂捕蝉黄雀在后
'zi'yuan'qi'shuo'xian'yan'sui'yu 自圆其说闲言碎语
