'ai'nai 欸乃
'long'chi 龙池
'long'chi'feng'zhao 龙池凤沼
'long'xiang'cao 龙翔操
'long'yin 龙龈
'lu'jiao'hui 鹿角灰
'lu'ming 鹿鸣
'lun'zhi 轮指
'luo'dian 螺钿
'lv'qi'qin 绿绮琴
'mei'an'pai 梅庵派
'mei'hua'san'nong 梅花三弄
'mo'tiao 抹挑
'nan'mu 楠木
'nao'hua 猱滑
'ning'jing'zhi'yuan 宁静致远
'niu'mao'duan'wen 牛毛断纹
'ou'lu'wang'ji 鸥鹭忘机
'pao'tong 泡桐
'pi'pa'xing 琵琶行
'ping'sha'luo'yan 平沙落雁
'pu'an'zhou 普庵咒
'pu'xue'zhai 溥雪斋
'qi'wu'lun 齐物论
'qi'xian'qin 七弦琴
'qi'yan'hui 泣颜回
'qi'yun 气韵
'qian'long'zhuo'qin'fa 乾隆斫琴法
'qian'luo'dian 嵌螺钿
'qiao'ge 樵歌
'qin'cao 琴操
'qin'chan 琴禅
'qin'dao 琴道
'qin'de 琴德
'qin'di 琴底
'qin'e 琴额
'qin'fu 琴赋
'qin'hui 琴徽
'qin'ji 琴技
'qin'jian 琴肩
'qin'jing 琴经
'qin'lun 琴论
'qin'lv 琴律
'qin'mian 琴面
'qin'se'zai'yu 琴瑟在御
'qin'shi 琴史
'qin'shu'da'quan 琴书大全
'qin'wei 琴尾
'qin'xian 琴弦
'qin'xue 琴学
'qin'xue'bei'yao 琴学备要
'qin'xue'chu'jin 琴学初津
'qin'xue'cong'shu 琴学丛书
'qin'yao 琴腰
'qin'yi 琴艺
'qin'yi'zai'dao 琴以载道
'qin'yin 琴音
'qin'yuan'yao'lu 琴苑要录
'qin'zhe'jin'ye 琴者禁也
'qin'zhe'xin'ye 琴者心也
'qin'zhen 琴轸
'qing'gui'liu'shui 情归流水
'qing'he'ya'zheng 清和雅正
'qing'wei'dan'yuan 清微淡远
'qing'wei'dan'yuan 轻微淡远
'qiu'hong 秋鸿
'qiu'lai'qin 秋籁琴
'ren'sheng'ru'meng 人生如梦
'ruan'ji 阮籍
'san'yin 散音
'san'yin'mo 散音抹
'sha'mu 杉木
'shan'ju'yin 山居吟
'she'fu'duan'wen 蛇腹断纹
'shen'qi'mi'pu 神奇秘谱
'sheng'qi 生漆
'sheng'wu'ai'yue'lun 声无哀乐论
'shi'jing 诗经
'shi'san'hui 十三徽
'shi'yin 实音
'shou'yi 守一
'shu'qi 熟漆
'shuang'dan 双弹
'si'ma'xiang'ru 司马相如
'si'xian'cao 思贤操
'si'xian'gu'qin 丝弦古琴
'su'shi 苏轼
'su'wu'si'jun 苏武思君
'sun'ke'qiang 孙克强
'tai'gu'yi'yin 太古遗音
'tan'qin'fu'chang'xiao 弹琴复长啸
'tan'qin'kan'liu'shui 弹琴看流水
'tan'qin'kan'yue'se 弹琴看月色
'tang'song'jiu'zhi 唐宋旧制
'tian'ren'he'yi 天人合一
'tian'wen'ge'qin'pu 天闻阁琴谱
'tong'mu 桐木
'tong'mu'mian 桐木面
'wan'he'song 万壑松
'wang'wei 王维
'wang'xi'zhi 王羲之
'wei'zhong'le 卫仲乐
'wen'wang'cao 文王操
'wo'you'jia'bin 我有嘉宾
'wu'jing'lue 吴景略
'wu'pai 吴派
'wu'wen'guang 吴文光
'wu'ye'ti 乌夜啼
'wu'zhi'zhai'qin'pu 五知斋琴谱
'xi'lu'tang'qin'tong 西麓堂琴统
'xi'shu'pai 西蜀派
'xiao'hu'jia 小胡笳
'xiao'ji'qing'xiang'ran'chu'zhu 晓汲清湘燃楚竹
'xiao'xiang'shui'yun 潇湘水云
'xiao'ya 小雅
'xie'dao'xiu 谢导秀
'xin'zhai 心斋
'xing'lai'wang'shi'qing 兴来忘世情
'xing'zhuang'tai'yin'xu'pu 杏庄太音续谱
'xiu'qi 髹漆
'xu'jing 虚静
'xu'kuang'hua 徐匡华
'xu'li'sun 徐立孙
'xu'shang'ying 徐上瀛
'xu'yin 虚音
'ya'yue 雅乐
'ya'zheng'zhi'sheng 雅正之声
'yan'xiao'ri'chu'bu'jian'ren 烟销日出不见人
'yan'zu 雁足
'yang'chun 阳春
'yang'chun'bai'xue 阳春白雪
'yang'chun'tang'qin'pu 阳春堂琴谱
'yang'guan'san'die 阳关三叠
'yang'shou'jing 杨守敬
'yang'xiong 杨雄
'yang'zong'ji 杨宗稷
'yao'bing'yan 姚丙炎
'yi'dao'yang'xin 以道养心
'yi'gu'ren 忆故人
'yi'lan'cao 猗兰操
'yi'sheng'hua'qing 以声化情
'yi'zun'hai'lei'jiang'yue 一尊还酹江月
'yin'fen 银粉
'yin'yun 音韵
'yin'zheng'xin'an 音正心安
'yong'huai'shi 咏怀诗
'yu'ge 渔歌
'yu'qiao'wen'da 渔樵问答
'yu'qing 玉磬
'yu'shan'pai 虞山派
'yu'shi'xiang'qian 玉石镶嵌
'yu'weng 渔翁
'yu'weng'ye'bang'xi'yan'su 渔翁夜傍西岩宿
'yu'yin 余音
'yu'yin'rao'liang 余音绕梁
'yu'you'ren'fan'zhou 与友人泛舟
'yue'shan 岳山
'zha'fu'xi 査阜西
'zhang'kong'shan 张孔山
'zhang'zi'qian 张子谦
'zhao'yin 招隐
'zhen'chi 轸池
'zheng'yin 正音
'zhi'zai'gao'shan 志在高山
'zhi'zai'gao'shan'liu'shui 志在高山流水
'zhong'he'zhi'yin 中和之音
'zhong'zheng'ping'he 中正平和
'zhong'zi'qi 钟子期
'zhu'chang'wen 朱长文
'zhu'cheng'pai 诸城派
'zhu'feng'ming 祝凤鸣
'zhu'li'guan 竹里馆
'zhu'quan 朱权
'zhu'yun'ming 祝允明
'zhuang'zi 庄子
'zhuo'qin 斫琴
'zhuo'qin'liu'pai 斫琴流派
'zi'mu 梓木
'zi'mu'di 梓木底
'zi'yuan'tang'qin'pu 自远堂琴谱
'zou'shou 走手
'zou'yin 走音
'zuo'wang 坐忘
