'biao'zhun 标准
'ji'xiao'ji'shu 绩效技术
'ji'yu'ji'suan'ji'de'ji'shu 基于计算机的技术
'jian'gou'zhu'yi 建构主义
'jiang'shou'fa 讲授法
'jiao'ke'shu 教科书
'jiao'xue'bao 教学包
'jiao'xue'ce'lue 教学策略
'jiao'xue'cheng'xu 教学程序
'jiao'xue'fang'fa 教学方法
'jiao'xue'huo'dong'shi'jian 教学活动事件
'jiao'xue'ji'qi 教学机器
'jiao'xue'ji'shu 教学技术
'jiao'xue'kai'fa 教学开发
'jiao'xue'li'lun 教学理论
'jiao'xue'mu'biao 教学目标
'jiao'xue'ping'jia 教学评价
'jiao'xue'she'ji 教学设计
'jiao'xue'xi'tong 教学系统
'jiao'xue'xi'tong'she'ji 教学系统设计
'jiao'xue'xiao'guo 教学效果
'jiao'xue'zi'yuan 教学资源
'jiao'xue'zu'zhi'xing'shi 教学组织形式
'jiao'yu'chuan'bo'yu'ji'shu'xie'hui 教育传播与技术协会
'jiao'yu'fang'an'ping'jia 教育方案评价
'jiao'yu'ji'shu 教育技术
'jiao'yu'ji'shu'xue 教育技术学
'jie'shou'xue'xi 接受学习
'jing'tai'shi'jue'zi'liao 静态视觉资料
'jing'yan'zhi'ta 经验之塔
'jue'dui'ping'jia 绝对评价
'ke'cheng'kai'fa 课程开发
'ke'jian 课件
'lian'jie'xue'pai 联结学派
'liu'cheng'tu 流程图
'mao'ding'shi'jiao'xue 锚定式教学
'mei'ti'chuan'bo'jiao'xue 媒体传播教学
'mei'ti'ji'shu 媒体技术
'mei'ti'ying'yong 媒体应用
'mu'biao'dao'xiang'jiao'xue 目标导向教学
'nei'rong'fen'xi 内容分析
'ping'jia'yan'jiu 评价研究
'ping'mu'she'ji 屏幕设计
'qian'duan'fen'xi 前端分析
'qiang'hua 强化
'qing'jing'xue'xi 情境学习
'ren'wu'fen'xi 任务分析
'ren'zhi'jie'gou 认知结构
'ren'zhi'xin'li'xue 认知心理学
'ren'zhi'xue'pai 认知学派
'she'hui'xu'qiu 社会需求
'shi'jue'chuan'bo 视觉传播
'shi'jue'jiao'yu 视觉教育
'shi'jue'wen'hua 视觉文化
'shi'jue'yu'yan 视觉语言
'shi'ting'fu'zhu'gong'ju 视听辅助工具
'shi'ting'ji'shu 视听技术
'shi'ting'jiao'yu 视听教育
'tong'da'xing'jiao'xue 通达性教学
'wei'guan'she'ji 微观设计
'wen'ben'she'ji 文本设计
'wen'ti'fen'xi 问题分析
'wu'xing'ji'shu 无形技术
'xi'tong'fang'fa 系统方法
'xi'tong'fen'xi 系统分析
'xi'tong'hua 系统化
'xi'tong'ji'shu 系统技术
'xi'tong'lun 系统论
'xian'xing'zu'zhi'zhe 先行组织者
'xiang'dui'ping'jia 相对评价
'xiang'mu'guan'li 项目管理
'xiang'mu'ping'jia 项目评价
'xin'xi'guan'li 信息管理
'xin'xi'jia'gong'li'lun 信息加工理论
'xing'cheng'xing'ping'jia 形成性评价
'xing'wei'xin'li'xue 行为心理学
'xu'yao'ping'gu 需要评估
'xue'xi'li'lun 学习理论
'xue'xi'tiao'jian 学习条件
'xue'xi'xu'yao 学习需要
'xue'xi'xu'yao'fen'xi 学习需要分析
'xue'xi'zhe'fen'xi 学习者分析
'xun'xi'she'ji 讯息设计
'yin'shua'ji'shu 印刷技术
'yin'shua'mei'ti 印刷媒体
'you'xing'ji'shu 有形技术
'yuan'ju'li'jiao'yu 远距离教育
'yuan'ju'li'xue'xi 远距离学习
'zhang'wo'xue'xi 掌握学习
'zheng'he'ji'shu 整合技术
'zheng'he'xue'xi'xi'tong 整合学习系统
'zheng'ti'hua'she'ji 整体化设计
'zhi'guan'ji'shu 直观技术
'zhi'li'ji'neng 智力技能
'zhi'shi'chuan'bo 知识传播
'zhi'ye'jiao'yu 职业教育
'zhuan'jia'xi'tong 专家系统
'zi'ding'bu'diao 自定步调
'zi'yuan'guan'li 资源管理
'zong'jie'xing'ping'jia 总结性评价
'zu'zhi'kai'fa 组织开发
'zui'you'hua 最优化
