'a'bang 阿邦
'ji'shi'di 积尸地
'jia'shi 甲尸
'jia'zi'gou 夹子沟
'jiang'shi 僵尸
'jie'jiu'ye 解九爷
'jie'lian'huan 解连环
'jie'yu'hua 解语花
'jin'po 禁婆
'jin'xiang'yu 金香玉
'jing'jue'gu'guo 精绝古国
'jing'xiang'yin'mou 镜像阴谋
'jiu'men'ti'du 九门提督
'kao'gu'bi'ji 考古笔记
'kong'que'hua'ling 孔雀花翎
'kou'zhong'hou 口中猴
'ku'li'pa 库里帕
'kun'shi'suo 捆尸索
'la'ba 拉巴
'la'ma'miao 喇嘛庙
'la'shi'ma'miao'feng'yin 喇十嘛庙封引
'lan'ting 蓝庭
'lang'feng 郎风
'lang'yan'shou'dian 狼眼手电
'lao'jiu'men 老九门
'lao'shu'yi 老鼠衣
'lao'yang 老痒
'lao'yu 老于
'li'chen'hao 李晨浩
'li'chen'zhou 李沉舟
'li'cu 黎簇
'li'pi'pa 李琵琶
'li'si'di 李四地
'li'xin'liang 李昕亮
'li'yi'feng 李易峰
'liang'shi'ye 凉师爷
'liang'wan 梁湾
'lin'ka 临卡
'lin'qi'zhong 林其中
'liu'jiao'ling'dang 六角铃铛
'liu'jie 六姐
'liu'tian'zuo 刘天佐
'long'ji'bei 龙脊背
'long'shi 龙虱
'long'tao 龙套
'lu'huang'bo'shu 鲁黄帛书
'lu'shang'wang 鲁殇王
'luo'dan'zhuo'ma 洛丹卓玛
'luo'yang'chan 洛阳铲
'lv'dan'dan 驴蛋蛋
'ma'ping'chuan 马平川
'ma'ri'la 马日拉
'mao'shi 毛尸
'men'dian 门殿
'men'keng 闷坑
'men'you'ping 闷油瓶
'mi'hai'gui'chao 谜海归巢
'mi'luo'tuo 密洛陀
'mian'shi 绵尸
'mo'gui'cheng 魔鬼城
'mo'jin'fu 摸金符
'mo'jin'xiao'wei 摸金校尉
'mo'ming'qi 摸明器
'mu'shi 木尸
'ni'jiang'chi 泥浆池
'niu'tou'gu'wu 牛头古物
'nong'cai 弄猜
'nu'hai'qian'sha 怒海潜沙
'pan'jia'yuan 潘家园
'pan'ma 盘马
'pan'ma'lao'die 盘马老爹
'pi'bao 皮包
'pi'shi 皮尸
'ping'xie 瓶邪
'ping'xie'fen 瓶邪粉
'qi'dong 奇洞
'qi'kou'guan'cai 七口棺材
'qi'lao'ye'zi 齐老爷子
'qi'lin'jie 麒麟竭
'qi'men'dun'jia 奇门盾甲
'qi'shi 起尸
'qi'tie'zui 齐铁嘴
'qi'xing'guan 七星棺
'qi'xing'lu'wang'gong 七星鲁王宫
'qian'guan 千棺
'qiang'cuan'zi 墙窜子
'qin'hai'ting 秦海婷
'qin'ling'shen'shu 秦岭神树
'qing'tong'ling'dang 青铜铃铛
'qing'tong'men 青铜门
'qing'yan'hu'shi 青眼狐尸
'qiong'long'shi'ying 邛笼石影
'qiu'de'kao 裘德考
'qiu'shu 邱叔
'ren'mian'niao 人面鸟
'rong'ke'zhang 荣科长
'rou'shi 肉尸
'ruan'shi'xiang 软尸香
'san'lian'xiang 三连响
'san'shu 三叔
'sha'hai 沙海
'shang'jiao'gei'guo'jia 上交给国家
'shao'zi'guan 哨子棺
'she'mei'tong'yu 蛇眉铜鱼
'she'zhao'gui'cheng 蛇沼鬼城
'shi'bie 尸蹩
'shi'bie 尸鳖
'shi'dong 尸洞
'shi'nian 十年
'shi'rou 尸肉
'shi'shi 石尸
'shi'xiang 尸香
'shui'jing'zi'zai'shan 水晶自在山
'shui'niu'tou'gou 水牛头沟
'shun'zi 顺子
'si'gu'niang 四姑娘
'si'mu'jiu'tian'niang'niang 四目九天娘娘
'si'wang'cuo'wu 死亡错误
'su'wan 苏万
'sui'zang'pin 随葬品
'sun'yao'qi 孙耀琦
'ta'mu'tuo 塔木陀
'tai'dong'ling'gong 胎洞灵宫
'tang'yan 唐嫣
'tian'gong'xue'mu 天宫雪墓
'tie'mian'sheng 铁面生
'tie'yong 铁甬
'tu'fu'zi 土夫子
'wang'cang'hai 汪藏海
'wang'da'ming 王达明
'wei'wei 魏巍
'wen'xiang'yu 闻香玉
'wu'er'bai 吴二白
'wu'lao'gou 吴老狗
'wu'san'xing 吴三省
'wu'sheng'xue'shan 五圣雪山
'wu'xie 吴邪
'wu'yi'qiong 吴一穷
'wu'zhi'hua 物质化
'xi'wang'mu 西王母
'xi'wang'mu'guan 西王母罐
'xia'dou 下斗
'xia'zi 瞎子
'xiao'ge 小哥
'xiao'hua 小花
'xiao'ji'nei'ku 小鸡内裤
'xie'lian'huan 谢连环
'xin'yue'fan'dian 新月饭店
'xing'guan'ding'shi'zhen 星官钉尸针
'xing'pan 星盘
'xing'shi 行尸
'xing'shi 醒尸
'xuan'feng'chan 旋风铲
'xue'guang'zhi'zai 血光之灾
'xue'jie 血竭
'xue'shi 血尸
'xue'shi'gu'mu 血尸古墓
'xun'long'dian'xue 寻龙点穴
'xun'zang'qu 殉葬渠
'ya'jie 哑姐
'yan'wang'qi'shi 阎王骑尸
'yang'hao 杨好
'yang'jiao'shan'di'tu 羊角山地图
'yang'qi 养气
'yang'shi'lei 样式雷
'yang'yang 杨洋
'yao'jia'da'yuan 瑶家大院
'yin'hun'jiu'guan 引魂酒馆
'yin'ren 阴人
'yin'shan'gu'lou 阴山古楼
'yin'shi 荫尸
'yin'xi'bao'di 阴西宝帝
'ying'er 颖儿
'ying'shan'cun 营山村
'ying'xiong'shan'lao'hai 英雄山老海
'ying'zi'chuan'shuo 影子传说
'yong'bing 佣兵
'yong'xing'dao 永兴岛
'yu'shi 玉尸
'yu'yong 玉俑
'yu'zheng'feng 于正风
'yuan'zhu'fen 原著粉
'yun'cai 云彩
'yun'ding'tian'gong 云顶天宫
'zha'ji 扎吉
'zha'shi 诈尸
'zhang'da'fo'ye 张大佛爷
'zhang'hai'ke 张海客
'zhang'hai'xing 张海杏
'zhang'jia 张家
'zhang'jia'chuan'qi 张家传奇
'zhang'jia'gu'lou 张家古楼
'zhang'long'ban 张隆半
'zhang'long'sheng 张隆升
'zhang'qi'ling 张起灵
'zhang'qi'shan 张启山
'zhang'rui'tong 张瑞桐
'zhang'zhi'yao 张智尧
'zhao'ze'guai'ying 沼泽怪影
'zhao'ze'mo'yu 沼泽魔域
'zhen'shi'tong'jing 镇尸铜镜
'zheng'pei'pei 郑佩佩
'zheng'ru'bei'zhong'jiu 正如杯中酒
'zheng'ru'hua'xia'feng'liu 正如花下风流
'zheng'ru'yan'shang'yue 正如烟上月
'zhu'jiu'yin 烛九阴
'zi'yu'xia'zi 紫玉匣子
'zou'shi 走尸
