'an'jian 安监
'qian'fa'you'wu'yi'ci'wei'zhun 前发有误以此为准
'qiang'yue 抢越
'qiang'yue'xian'lu 抢越线路
'qin'xian 侵线
'qing'piao'wu 轻飘物
'qing'xiao'jia 请销假
'qu'gu'jie 区故解
'qu'jian'luo'ji'jian'cha 区间逻辑检查
'qu'xian'gua'che 曲线挂车
'ri'jiao'ban 日交班
'san'che 三车
'shang'dao'chang 上到场
'shang'fa'chang 上发场
'she'che 设撤
'shi'biao 失表
'shi'che 十车
'shi'feng 试风
'shi'gong'wei'xiu 施工维修
'shi'gui 事规
'shi'ming'zhi 实名制
'shi'wu'san'che 十五三车
'shi'zha 试闸
'shou'xin'hao 手信号
'shuai'che 甩车
'shuai'gua'zuo'ye 甩挂作业
'shuang'chong'yu'fang'ji'zhi 双重预防机制
'ti'gou 提钩
'ti'gou'zhai'guan 提钩摘管
'ti'ji'kao'he 提级考核
'tian'chuang 天窗
'tian'ji 填记
'tiao'cheng 调乘
'tiao'cheng'an'quan 调乘安全
'tiao'cheng'ji'che 调乘机车
'tiao'cheng'yi'ti'hua 调乘一体化
'tiao'cheng'zhi'dao 调乘指导
'tiao'cheng'zuo'ye 调乘作业
'ting'ji'gai'dian 停基改电
'ting'shi 停时
'tong'yi'xiao'hao 同意销号
'wai'fang 外方
'wan'dao'gang 晚到岗
'wan'jin'gang 晚进岗
'wu'che 五车
'wu'dian'qu 无电区
'wu'wang'qu 无网区
'wu'xian'tiao'che'deng'xian'she'bei 无线调车灯显设备
'xi'duan 西端
'xia'dao'chang 下到场
'xia'fa'chang 下发场
'xian'bie 线别
'xian'ping 显屏
'xiang'dian 项点
'xiang'dun 响墩
'xiao'ji 销记
'xiao'jiao'ban 小交班
'xin'hao'qi 信号旗
'xin'zhi 新职
'xing'an 行安
'xing'bie 行别
'xing'che'ping'zheng 行车凭证
'xing'che'she'bei'jian'cha'deng'ji'bu 行车设备检查登记簿
'xing'xi 行细
'ya'gui'dao'dian'lu 压轨道电路
'yan'zheng'yan'piao 验证验票
'yang'jing'wen 杨敬文
'yao'dao 要道
'yao'dao'hai'dao 要道还道
'yi'chu'yi'dang 一处一档
'yi'she 移设
'yi'shi'yi'dang 一事一档
'ying'ji'yu'an 应急预案
'ying'piao'wu 硬飘物
'yong'guan'xiu 用管修
'you'che 油车
'yu'liang'jing'jie'zhi 雨量警戒值
'yu'liang'jing'jie'zhi'zhi'du 雨量警戒值制度
'yuan'kun 元昆
'yuan'kun'xian 元昆线
'yun'gui 云桂
'yun'shu'shou'ru 运输收入
'yun'tong 运统
'yun'xing'tu 运行图
'zhai'gou 摘钩
'zhai'guan 摘管
'zhai'jie 摘解
'zhan'chang 站场
'zhan'duan 站段
'zhan'qu 站区
'zhan'tai'piao 站台票
'zhan'xi 站细
'zhan'xian'ban 占线板
'zhan'zhe 站折
'zhe'jiao'sai'men 折角塞门
'zhi'ling'shu 指令书
'zhi'lun'qi 止轮器
'zhi'ming 职名
'zhong'shi 中时
'zhong'ting'shi 中停时
'zhong'zhuan'huan'cheng 中转换乘
'zhou'mo'xian 周末线
'zhu'li'zhi'ban'yuan 助理值班员
'zhuan'tiao'ji'che 专调机车
'zong'kong'shi 综控室
'zong'kong'yuan 综控员
'zong'kong'zhi'ban'yuan 综控值班员
'zuo'ye'ji'lv 作业纪律
