'a'ba'ye'ka'luo'ji'duo 阿巴耶卡罗笈多
'jin'cang'yuan'zhao 金仓圆照
'jin'cheng'gong'zhu 金城公主
'jin'cun'hui'meng 今村惠猛
'jin'da'cheng 金大城
'jin'di'cang 金地藏
'jin'dong'hua 金东华
'jin'fa'lin 金法麟
'jin'gang'zhi 金刚智
'jin'hui'yan 金慧眼
'jin'ke'mu 金克木
'jin'nan'quan 金南泉
'jin'shan'huo'fo 金山活佛
'jin'shi 今释
'jin'tun'xu 金吞虚
'jin'zi'da'rong 金子大荣
'jing'quan 静权
'jing'shang'jing 井上靖
'jing'shang'ri'zhao 井上日召
'jing'shang'yuan'le 井上圆了
'jing'shang'zhe'ci'lang 井上哲次郎
'jing'song 靖嵩
'jing'wan 静琬
'jing'xing 憬兴
'jing'xiong 敬雄
'jing'ye'zhe 境野哲
'jiu'bao'jiao'tai'lang 久保角太郎
'jiu'mo'li'luo 鸠摩利罗
'jiu'mo'luo'duo 鸠摩罗多
'jiu'mo'luo'shen 鸠摩罗什
'jiu'song'zhen'yi 久松真一
'ju'jian 居简
'ju'na'luo'tai'zi 拘那罗太子
'ju'qu'jing'sheng 沮渠京声
'ju'rui'chao 橘瑞超
'ju'sheng'ji'xiang 具生吉祥
'ju'zan 巨赞
'jue'an 觉岸
'jue'li 觉力
'jue'tian 觉天
'jue'xin 觉心
'jue'xing 觉性
'jue'yin 觉音
'jun'ru 均如
'ka'lu 卡卢
'kao'di'li'ye 考底利耶
'ke'en 克恩
'ke'li'xu'na'mu'er'ti 克利须那穆尔提
'ke'qin 克勤
'ke'wen 克文
'ke'xue'man'de'la 克雪曼德拉
'kong'hai 空海
'kong'ye 空也
'kong'zi 孔滋
'kuan'chao 宽朝
'kui'ji 窥基
'kun'da'kun'da 昆达昆达
'la'cang'han 拉藏汗
'la'da'ke'li'xi'nan 拉达克里希南
'la'lu 拉露
'la'ma'si'shi 拉玛四世
'la'ma'yi'shi 拉玛一世
'la'mo'te 拉莫特
'la'sen 拉森
'lai'fu 来复
'lai'guo 来果
'lai'peng'ju 赖鹏举
'lai'yu 赖瑜
'lai'zha'he'luo 赖咤和罗
'lan'ji'fu 蓝吉富
'lao'cang'dan'bei 老藏丹贝
'le'chong'hui 乐崇辉
'le'de 了的
'le'guan 乐观
'le'hui 了惠
'le'pai 了派
'le'shi 了世
'le'wan 了万
'le'wu 了午
'le'yi 了义
'li'hua'jun'dao 立花俊道
'li'po'duo 离婆多
'li'she 利涉
'li'xin 立信
'li'yan 利言
'li'yan 利严
'lian'hang 莲航
'lian'hua'jie 莲华戒
'lian'hua'se 莲华色
'lian'hua'sheng 莲华生
'lian'ru 莲如
'lian'tian'mao'xiong 鎌田茂雄
'liao'ran 了然
'lin'li'guang 林藜光
'lin'qiu'wu 林秋梧
'lin'yan'ming 林彦明
'ling'mu'da'zhuo 铃木大拙
'ling'mu'zheng'san 铃木正三
'liu'ben'zun 柳本尊
'liu'gui'jie 刘贵杰
'liu'guo'xiang 刘国香
'liu'qiu 刘虬
'liu'rui'zhi 刘锐之
'liu'tian'sheng'shan 柳田圣山
'liu'zong'yuan 柳宗元
'long'qing'ba 龙清巴
'long'shu 龙树
'long'zhi 龙智
'lu'mei'chu'chen'xi'rao 卢梅楚臣喜饶
'luo'hou'luo 罗侯罗
'luo'hou'luo'ba'tuo'luo 罗侯罗跋陀罗
'luo'jia'ling 罗迦陵
'luo'mo'ke'li'xi'na 罗摩克里希纳
'luo'mo'nan'tuo 罗摩难陀
'luo'mo'nu'du 罗摩奴闍
'luo'mu'mo'han'luo'yi 罗姆摩罕罗易
'luo'qing'hu 罗晴湖
'man'yi 满意
'mi'lan'wang 弥兰王
'mi'le'lun'shi 弥勒论师
'mi'shou 弥授
'miao'chao 妙超
'miao'guo 妙果
'miao'kong 妙空
'miao'kuai 妙快
'miao'lian 妙莲
'miao'pa 妙葩
'miao'qing 妙清
'miao'sheng 妙声
'miao'yin 妙音
'miao'zong 妙总
'ming'ben 明本
'ming'cheng'zu 明成祖
'ming'kuang 明旷
'ming'lang 明朗
'ming'na'ye'fu 明那耶夫
'ming'tai'zu 明太祖
'ming'zan 明瓒
'ming'zhan 明瞻
'ming'zhao 明兆
'ming'zhao 明照
'ming'zhen 明真
'mo'die'li'zhi'zha 摩咥里制咤
'mo'ga'li'ju'she'li 末伽梨拘舍梨
'mo'he'bo'du'bo'ti 摩诃波闍波提
'mo'he'jia'ye 摩诃迦叶
'mo'he'jie'bin'na 摩诃劫宾那
'mo'he'ju'chi'luo 摩诃俱絺罗
'mo'he'mo'ye 摩诃摩耶
'mo'he'mu'jian'lian 摩诃目犍连
'mo'he'nan 摩诃男
'mo'he'yan 摩诃衍
'mo'luo'nan'tuo 摩罗难陀
'mo'ru 默如
'mo'shen'tuo 摩哂陀
'mo'tian'di 末田地
'mou'zong'san 牟宗三
'mu'cun'tai'xian 木村泰贤
'mu'jian'lian'zi'di'xu 目犍连子帝须
'mu'kou'chang'san'lang 牧口常三郎
'mu'le 穆勒
'mu'tian'di'liang 牧田谛亮
'nan'tiao'wen'xiong 南条文雄
'nan'tuo 难陀
'ni'ju'tuo'fan'zhi 尼拘陀梵志
'ni'ye'na'di'luo'ka 尼耶那第洛卡
'nian'chang 念常
'nian'zhi'cheng 念智称
'ning'ran 凝然
'nuo'na'hu'tu'ke'tu 诺那呼图克图
'ou'bo'seng'zheng 欧波僧正
'ou'deng'bai'ge 欧登柏格
'ou'deng'bei'ge 欧登贝格
'ou'er'ka'te 欧尔卡特
'ou'yang'jian 欧阳渐
'ou'yang'wu'wei 欧阳无畏
'pang'yun 庞蕴
'pei'xiu 裴休
'pi'liu'li'wang 毗琉璃王
'pi'ni'duo'liu'zhi 毗尼多流支
'pin'po'suo'luo'wang 频婆娑罗王
'ping'chuan'zhang 平川彰
'pu'han'yong 朴汉永
'pu'qiu'tan 朴秋潭
'pu'shang'yue 朴上月
'qi'ci 契此
'qi'ji 齐己
'qi'si'yi 齐思贻
'qi'song 契嵩
'qia'ba 恰巴
'qian'hong'chu 钱弘俶
'qian'qi'ru'huan 千崎如幻
'qian'tian'hui'xue 前田惠学
'qian'tian'hui'yun 前田慧云
'qian'xi 千熙
'qian'zhi'min 钱智敏
'qin'luan 亲鸾
'qing'mu 青目
'qing'zhao 庆昭
'qing'zhu 庆诸
'qiu'chu'ji 丘处机
'qiu'na'ba'mo 求那跋摩
'qiu'na'ba'tuo'luo 求那跋陀罗
'qiu'na'pi'di 求那毗地
'qiu'ye'xiao'dao 秋野孝道
'qu'ru'ji 瞿汝稷
'qu'tan'mi 瞿昙弥
'qu'yi 瞿夷
'qu'ying'guang 屈映光
'ran'yun'hua 冉云华
're'ba'jin 热巴巾
're'qiong'ba 热穷巴
'ren'da'wa 仁达哇
'ren'gong 仁恭
'ren'hai 仁海
'ren'ji'yu 任继愈
'ren'kuan 仁宽
'ren'qin'sang'bu 仁钦桑布
'ren'sheng'tai'shun 壬生台舜
'ren'yong 仁勇
'ri'ao 日奥
'ri'cheng 日称
'ri'jiang 日讲
'ri'jing 日静
'ri'lian 日莲
'ri'long 日隆
'ri'luo 日罗
'ri'shen 日什
'ri'yin 日印
'ri'zhao 日照
'ri'zhen 日真
'ri'zhi'mo'xian 日置默仙
'rong'xi 荣西
'ru'dao 如道
'ru'jing 如净
'ru'kong 如空
'ru'xin 如馨
'ru'yi 如一
'rui'zun 叡尊
'ruo'fen 若芬
'ruo'na'pi'sha'tuo'du 若那毗沙陀闍
'sa'jia'ban'chan 萨迦班禅
'san'su'er 三素尔
'san'zhi'chong'de 三枝充德
'seng'can 僧璨
'seng'chou 僧稠
'seng'dao 僧导
'seng'ga'ba'cheng 僧伽跋澄
'seng'ga'ba'mo 僧伽跋摩
'seng'ga'ba'tuo'luo 僧伽跋陀罗
'seng'ga'luo'cha 僧伽罗剎
'seng'ga'mi'duo 僧伽蜜多
'seng'ga'po'luo 僧伽婆罗
'seng'ga'ti'po 僧伽提婆
'seng'jun 僧濬
'seng'lang 僧朗
'seng'min 僧旻
'seng'quan 僧诠
'seng'rui 僧叡
'seng'you 僧祐
'seng'zhao 僧肇
'shan'bian'xi'xue 山边习学
'shan'gang'tie'zhou 山冈铁舟
'shan'kou'rui'feng 山口瑞凤
'shan'kou'yi 山口益
'shan'qi'an'zhai 山崎闇斋
'shan'qi'hong 山崎宏
'shan'tian'long'cheng 山田龙城
'shang'cong 尚聪
'shang'lan'shun 上蓝顺
'shang'shan'da'jun 上山大峻
'shang'tian'tian'rui 上田天瑞
'shang'tian'yi'wen 上田义文
'shang'xian 尚贤
'shang'yan 尚彦
'shao'kang 少康
'she'li'fu 舍利弗
'shen'xiang 审祥
'sheng'chang 省常
'sheng'de'tai'zi 圣德太子
'sheng'jie'tuo'jun 圣解脱军
'sheng'kai 圣开
'sheng'nian 省念
'sheng'wu'tian'huang 圣武天皇
'sheng'yan 圣严
'sheng'yin 圣印
'sheng'yong 圣勇
'shi'cha'nan'tuo 实叉难陀
'shi'cheng 世诚
'shi'chui'qing'hui 矢吹庆辉
'shi'dao 示导
'shi'de 拾得
'shi'dou'la'ba'de'luo 史都拉跋得罗
'shi'gui 士珪
'shi'hu 施护
'shi'li'ji'duo 室利笈多
'shi'li'luo'duo 室利逻多
'shi'pi'wang 尸毗王
'shi'qin 世亲
'shi'tai'an 石泰安
'shi'tao 石涛
'shi'xian 实贤
'shi'you 世友
'shi'yu 世愚
'shou'chu 守初
'shou'duan 守端
'shou'jue 守觉
'shou'pei 守培
'shou'tuo 守脱
'shou'wen 守温
'shou'ye'fang'ya 狩野芳崖
'shou'ye'yuan'xin 狩野元信
'shou'zun 寿尊
'shu'ti'ga 树提伽
'shui'ye'hong'yuan 水野弘元
'shui'ye'mei'xiao 水野梅晓
'si'ben'wan'ya 寺本婉雅
'si'ma'da'deng 司马达等
'si'yun 似云
'song'ben'wen'san'lang 松本文三郎
'song'lian 宋濂
'song'man'an 宋曼庵
'song'man'kong 宋满空
'song'yun 宋云
'song'zan'gan'bu 松赞干布
'su'jiu'shan 苏九山
'su'man'shu 苏曼殊
'su'shi 苏轼
'tai'ge'er 泰戈尔
'tai'xu 太虚
'tan'hua 昙华
'tan'kuang 昙旷
'tan'long 昙龙
'tan'luan 昙鸾
'tan'mo'jia'luo 昙摩迦罗
'tan'mo'mi'duo 昙摩密多
'tan'mo'nan'ti 昙摩难提
'tan'qian 昙迁
'tan'shi 弹誓
'tan'wu'chen 昙无谶
'tan'wu'zui 昙无最
'tan'xuan 谈玄
'tan'yan 昙延
'tan'yao 昙曜
'tan'yun'shan 谭云山
'teng'jing'ri'da 藤井日达
'tian'hai 天海
'tian'long 天龙
'tian'xi'zai 天息灾
'tian'xu'pu'ti 天须菩提
'tian'ying 天英
'tian'zhong'zhi'xue 田中智学
'tian'zhu'hui 天主慧
'tiao'fu'tian 调伏天
'tu'guan'hu'tu'ke'tu 土观呼图克图
'tu'guan'san'shi 土观三世
'tu'qi 图齐
'tuo'luo'biao 陀罗骠
'tuo'mei'sang'bu 妥美桑布
'wan'hang 万行
'wan'jin'chuan 万金川
'wan'mei'da'shi 完美大师
'wan'shan'zhao'xiong 丸山照雄
'wang'chong'yang 王重阳
'wang'en'yang 王恩洋
'wang'fan'zhi 王梵志
'wang'fu'zhi 王夫之
'wang'gu 王古
'wang'jin 王缙
'wang'ri'xiu 王日休
'wang'shen'zhi 王审知
'wang'wei 王维
'wang'xuan'ce 王玄策
'wei'ti'xi 韦提希
'wei'yuan'song 卫元嵩
'wen'cai 文才
'wen'cheng'gong'zhu 文成公主
'wen'gang 文纲
'wen'guan 文观
'wen'jue 文觉
'wen'te'ni'zi 温特尼兹
'wen'xiu 文琇
'wen'yan 文偃
'wen'yi 文益
'wen'zhun 文准
'wu'da'luo'jia 邬达罗迦
'wu'dao'zi 吴道子
'wu'run'jiang 吴润江
'wu'xing'yue 吴惺月
'wu'ze'tian 武则天
'xi'gu'qi'zhi 西谷启治
'xi'guang'wan'ji 西光万吉
'xi'lang 希朗
'xi'ling 希陵
'xi'tian'ji'duo'lang 西田几多郎
'xi'tian'long'xiong 西田龙雄
'xi'tian'tian'xiang 西田天香
'xi'xing 西行
'xi'yi'xiong 西义雄
'xian'dun 贤顿
'xian'run 咸润
'xiang'shi 相实
'xiang'xing'po'luo'men 香姓婆罗门
'xiao'chuan'guan'yi 小川贯一
'xiao'jin'song 萧金松
'xiao'li'yuan'xuan'xiu 小笠原宣秀
'xiao'shan'yi'xiong 小杉一雄
'xiao'wu'min 晓乌敏
'xiao'wu'tong 萧武桐
'xiao'ye'xuan'miao 小野玄妙
'xiao'yun 晓云
'xiao'zi'liang 萧子良
'xie'er'ba'si'ji 谢尔巴斯基
'xie'ling'yun 谢灵运
'xin'jing'shi'chan 新井石禅
'xin'jue 心觉
'xin'xing 信行
'xin'zhao 心昭
'xing'cheng 性澄
'xing'cong 性聪
'xing'dun 性潡
'xing'hai 行海
'xing'he 行贺
'xing'ji 行基
'xing'ji 行寂
'xing'jie 行诫
'xing'man 行满
'xing'qin 行勤
'xing'sen 行森
'xing'si 行思
'xing'xiu 行秀
'xing'yuan 性愿
'xing'yun 星云
'xing'zhi 行智
'xing'zun 行尊
'xiong'shi'li 熊十力
'xiong'wan 熊琬
'xiu'jing 休静
'xu'ya 旭雅
'xuan'chang 玄畅
'xuan'fang 玄昉
'xuan'gao 玄高
'xuan'hua 宣化
'xuan'jian 宣鉴
'xuan'jue 玄觉
'xuan'lang 玄朗
'xuan'su 玄素
'xuan'wan 玄琬
'xuan'ying 玄应
'xuan'you 玄宥
'xuan'zang 玄奘
'xuan'ze 玄赜
'yan'ben'yu 岩本裕
'yan'cong 彦琮
'yan'fo'tiao 严佛调
'yan'juan'ying 颜娟英
'yan'pei 演培
'yan'shang'wen 颜尚文
'yan'zong'yang 颜宗养
'yang'bai'yi 杨白衣
'yang'hui'nan 杨惠南
'yang'jin'zhu'bai'duo'jie 央金珠白多杰
'yang'jue'mo'luo 央掘摩罗
'yang'lian'zhen'jia 杨琏真加
'yang'lu'che'ding 养鸬彻定
'yang'wen'hui 杨文会
'yang'yu'wen 杨郁文
'yang'zeng'wen 杨曾文
'yang'zheng'he 杨政河
'yao'xing 姚兴
'ye'a'yue 叶阿月
'ye'jun 叶均
'ye'kai 冶开
'ye'lv'chu'cai 耶律楚材
'ye'man 叶曼
'ye'ruo'po'qu 耶若婆佉
'ye'she 耶舍
'ye'shu'tuo'luo 耶输陀罗
'ye'xie'wo 也协沃
'yi'bian 一遍
'yi'cao 义操
'yi'chan 一禅
'yi'chen 义谌
'yi'chu 义楚
'yi'cun 义存
'yi'fu 义福
'yi'ji 义寂
'yi'jing 义净
'yi'ning 一宁
'yi'qing 一庆
'yi'qing 义青
'yi'ran 一然
'yi'shi 一实
'yi'teng'zheng'xin 依藤证信
'yi'tian 义天
'yi'tong 义通
'yi'xi'ban'jue 意希班觉
'yi'xiang 一向
'yi'xiang 义湘
'yi'xing 一行
'yi'xiu 一休
'yi'xiu'sheng 一宿圣
'yi'xuan 义玄
'yi'you'tuo'na 一优陀那
'yi'yu 一玉
'yi'yuan 一圆
'yi'zun 一遵
'yin'guang 饮光
'yin'guang 印光
'yin'jian 印简
'yin'rong 印融
'yin'shun 印顺
'yin'tuo'luo 因陀罗
'yin'tuo'luo'bu'di 因陀罗布底
'yin'yuan 印元
'ying'jin'yu'tang 应金玉堂
'ying'qi 应其
'yong'guan 永观
'yong'yu 永璵
'yong'zheng 雍正
'yong'zuo 永琢
'you'bo'li 优波离
'you'jiong 有炯
'you'lou'pin'luo'jia'ye 优楼频螺迦叶
'you'lou'qu 优楼佉
'you'mei 友梅
'you'po'ju'duo 优婆鞠多
'you'qing 有庆
'you'song'yuan'di 友松圆谛
'you'tian'wang 优填王
'you'tuo'luo'luo'mo'zi 优陀罗罗摩子
'you'yan 有严
'you'yi 有一
'yu'cheng'kang'si'lang 玉城康四郎
'yu'duo'tian'huang 宇多天皇
'yu'ga'zhang'zhe 郁伽长者
'yu'jing'bo'shou 宇井伯寿
'yu'qing 余庆
'yu'xi'le'di 羽溪了谛
'yu'xing 雨行
'yu'yu 虞愚
'yuan'ce 圆测
'yuan'chang 元长
'yuan'cheng 圆澄
'yuan'guang 元光
'yuan'guang 圆光
'yuan'kong 圆空
'yuan'kong 源空
'yuan'lai 元来
'yuan'qing 元庆
'yuan'qing 源清
'yuan'ren 圆仁
'yuan'rong 圆融
'yuan'tian'zong'hui 园田宗惠
'yuan'tong 圆通
'yuan'wu 圆悟
'yuan'xian 元贤
'yuan'xiao 元晓
'yuan'xin 源信
'yuan'ying 圆瑛
'yuan'yu 元瑜
'yuan'zhao 元昭
'yuan'zhao 元照
'yuan'zhao 圆照
'yuan'zhen 圆珍
