'a'na'kan 阿那看
'ban'chuang'tian'xiao'you'wen'ying 半窗天晓又闻莺
'ban'mian'ren'jian'lu 半面人间露
'ban'qing'zhuo 伴清酌
'ban'quan'er'shi'bie'li 半圈儿是别离
'ban'she'ren'zhuang 办舍人装
'ban'sheng'bi'rou 半生髀肉
'ban'sheng'ji'lv 半生羁旅
'ban'shi'yang'fei'zhao 半是杨妃爪
'ban'wei'tu 半为土
'ban'yong'ye 办永夜
'ban'zai'nan'zhi'bei'e 半在南枝北萼
'ban'zui'ban'xing'zhong 半醉半醒中
'bang'chi'zhan'de'qiu'yi'duo 傍池占得秋意多
'bang'lan'gan 傍阑干
'bang'ren'lei'di 傍人泪滴
'bao'chai'xie 宝钗斜
'bao'dao'xi'bing'yuan'zhui 报道犀兵远坠
'bao'mao'xiao'wo'chong'guo 抱茅笑我重过
'bao'tong'xian'qing'lei'ru'shui 抱铜仙清泪如水
'bao'wo'ji'tun'she 保我鸡豚社
'bao'wo'shi'fen'kai'wu 报我十分开五
'bei'chao'kai'fu 北朝开府
'bei'dai'jun'yi'nong'fen 贝带鵔鸃弄粉
'bei'huan'he'xian 悲欢何限
'bei'liang'you'shi'shuang'tian'xiao 悲凉又是霜天晓
'bei'liu'liu 陂六六
'bei'ma'yi'feng 北马依风
'bei'ren'dan 背人弹
'bei'tang'chi'zhao'jie'yang'yang 陂塘池沼皆泱泱
'bei'wang'die'shan 北望蝶山
'bei'xi'de'wu'qing 悲喜得无情
'bei'yi'bu'lai'chun'you'yuan 北驿不来春又远
'ben'shi'si'ting'pei'xian 本是泗亭沛县
'bi'cai'long'chen 璧彩笼尘
'bi'jing'chun'han'shao 毕竟春寒少
'bi'luo'hua'wu'di'er'chao 比落花无第二朝
'bi'mo'qian'tou'zao'hua'li 笔墨潜偷造化力
'bi'shang'chuan'shen 壁上传神
'bi'si'dang'nian'chun'jin'zui'guan'qing 比似当年春尽最关情
'bi'si'jia'lai'kan 比似嫁来看
'bi'si'xian'sheng 比似先生
'bi'si'xiang'gong'zheng'nian'shao 比似相公正年少
'bi'si'xun'fang'jiao'kun 比似寻芳娇困
'bi'si'zhao'yang'en'wei'de 比似昭阳恩未得
'bi'si'zhu'yu'geng'nai'han 比似茱萸更耐寒
'bi'tao'hua'xia'zui'xiang'feng 碧桃花下醉相逢
'bi'tao'hua'zi'luo'hu'zhong 碧桃花子落壶中
'bi'yue'chu'qing 璧月初晴
'bi'yue'ci'cheng 璧月词成
'bi'yue'hui'yuan 璧月辉圆
'bian'ba'si'yi'nian'chun'kan 便把似一年春看
'bian'ban'ji'xiu'li 便班姬袖里
'bian'bu'dao'tian'ya 便不到天涯
'bian'bu'jiao'bai'you'yu'nian'sheng 便不教百又馀年剩
'bian'chi'dang'jin'diao 便持当金貂
'bian'dang'ri'qin'jian'ni'chang 便当日亲见霓裳
'bian'dong'li'jia'zi 便东篱甲子
'bian'gu'ren'miao'miao 便故人渺渺
'bian'hai'jiao'tian'ya 遍海角天涯
'bian'he'zhi'tou'dai'lu'can 便合枝头带露餐
'bian'ji'shu'bu'dao'hong'lou 便寄书不到红楼
'bian'jin'lan'wei'chao 便锦缆危潮
'bian'jue'chun'xuan'mei'ying'chu 便觉春暄梅影出
'bian'kan'qu'xun'shi'qing'shi 便看取薰时清适
'bian'liu'yi'ci'gao 便六一词高
'bian'ming'chao'you'yue 便明朝有约
'bian'qiao'bian 便桥边
'bian'qing'ye'shi'bu'ceng'qing 便晴也是不曾晴
'bian'qiu'feng'jiang'shang'bu'jing'han 便秋风江上不惊寒
'bian'ren'wen 便人问
'bian'shi'jun'cong'ma'lai'dang'lu 便使君骢马来当路
'bian'shi'pi'bing'fu 便是辟兵符
'bian'shi'quan'ren 便是全人
'bian'si'jia'qi'wu 便似佳期误
'bian'tan'wen'ye'dao'ye'fen 便谈文也到夜分
'bian'tong'yin'neng'xiao'ji'du 便痛饮能销几度
'bian'wu'deng'ye'zi'ying'ying 便无灯也自盈盈
'bian'xiang'long'men 便向龙门
'bian'yi'fen'wu'lai 便一分无赖
'bian'yi'zhao'fu'rui 便一朝符瑞
'bian'ying'bu'lv'quan'qing 便应步履全轻
'bian'ying'ji'hui'chang'chen 便应际会昌辰
'bian'you'chen'sui'ma 便有尘随马
'bian'you'hu'pao'san'wan'bei 便有鹄袍三万辈
'bian'you'pian'zhou'xi'zi'zai 便有扁舟西子在
'bian'zuo'fu'sheng'nian'ji 便做伏生年纪
'bian'zuo'shou'jing'tu 便作授经图
'bian'zuo'xiang'chen'sui'bu'xiang 便作香尘随步想
'bian'zuo'xin'zhi 便作新知
'bian'zuo'yue'san'shi'hu 便做月三十斛
'biao'li'ru'cheng'lu 表立如承露
'bie'tou'jing 别头经
'bie'you'jia'ren 别有佳人
'bie'yu'lao 别与老
'bie'yun'wu'xi'jian'fu 别云屋席间赋
'bin'cheng'lv 鬓成缕
'bin'si'suo'suo'jin'chui 鬓丝索索禁吹
'bing'chui'que'dao'bian'xie'shu 并吹却道边谢墅
'bing'ji'yu'gu 冰肌玉骨
'bing'lai'hun'bu'dao'xiang'si 病来魂不到相思
'bing'liu'cheng'xu 冰柳成须
'bing'qing'huan'ying'yu 冰清还映玉
'bing'shen'zhong'qiu 丙申中秋
'bing'shi'que'cheng'cha'lai'lu 并失却乘槎来路
'bing'tao'yu'tu'han'lai'zhu 并桃欲吐含来住
'bing'xu'jiu'ri 丙戌九日
'bing'yu'su'di'ge'ling'bu'kan'xing 并与苏堤葛岭不堪行
'bing'zai'zhen'liu'shu'shi 病在枕流漱石
'bing'zhou'er'ge 并州儿葛
'bing'zi'song'chun 丙子送春
'bing'zi'zhong'qiu'fan'yue 丙子中秋泛月
'bo'cha'geng'yun'gong'yi'zu 播插耕耘功已足
'bo'lang'qi'neng'ping 波浪岂能平
'bo'ming'bu'feng'he'zhi'ci 薄命不逢何至此
'bo'ming'tong'shi 薄命同时
'bo'ming'you'ren'cai 薄命有人猜
'bo'su'he'yi 勃窣荷衣
'bo'zhan'que 搏鹯雀
'bu'ban'xing'chan 不办行缠
'bu'bi'lin'jian'fang'qi'xian 不必林间访七贤
'bu'bi'xi'bian'xun'liu'yi 不必溪边寻六逸
'bu'bu'guang'chen 步步光尘
'bu'ceng'nong 不曾浓
'bu'cheng'san'wu'ye 不成三五夜
'bu'cheng'ye'dai'ming'nian'qu 不成也待明年去
'bu'dai'hua'nu'cui'gu 不待花奴催鼓
'bu'dai'ru'yang'tian'ren'fu 不带汝阳天人福
'bu'dai'yong'men'gu 不待雍门鼓
'bu'dao'xian'sheng'fa 不到先生发
'bu'de'yu'zhi'yu 不得与之语
'bu'fan'hai'shang'qiu'feng'lang 布帆海上秋风浪
'bu'fang'gao'zhen 不妨高枕
'bu'fang'sha'shi'qing 不放霎时晴
'bu'fen'liu'hua'geng'sheng'yi'chun'hong 不分榴花更胜一春红
'bu'fu'yang'zhi'jiu'ri'chuan 不负杨枝旧日传
'bu'ge'bu'zui'bu'cheng'shi 不歌不醉不成诗
'bu'guan'huai'bao 不关怀抱
'bu'guan'man'shen'hua'lu 不管满身花露
'bu'guan'ming'chao'hou'ri 不管明朝后日
'bu'guan'shi'lan'gan 不管湿阑干
'bu'guan'tui'bo'qian'lv 不管颓波千屡
'bu'han'bu'nuan'yu'xin'ji 不寒不暖雨新霁
'bu'he'meng'ta 不合梦他
'bu'hen'qiu'feng'li 不恨秋风里
'bu'hen'yang'zhou'wu'bu'meng 不恨扬州吾不梦
'bu'ji'er'sun'nian'chi 不记儿孙年齿
'bu'ji'jiang'nan'chun'yi'duo 不寄江南春一朵
'bu'ji'qu'nian'jin'xi'meng 不记去年今夕梦
'bu'ji'xi'zhi'zui'mo 不及羲之醉墨
'bu'ji'yu'wu'jiu 不计余无酒
'bu'jian'gu'shi'yue 不见古时月
'bu'jian'lai'shi'shi'deng'chu 不见来时试灯处
'bu'jian'shan'xi'san'bai'qu 不见剡溪三百曲
'bu'jie'xi'liu 不解西流
'bu'jin'chang'nian'bei 不禁长年悲
'bu'jin'qiu 不禁秋
'bu'jue'er'san'si'wu 不觉二三四五
'bu'jue'lian'pian'bin'xi 不觉联翩宾戏
'bu'jue'xin'liang'si'shui 不觉新凉似水
'bu'kai'he'si'mo 不开何似莫
'bu'kan'chui'fa 不堪垂发
'bu'kan'hui'shou 不堪回首
'bu'kan'li'bie 不堪离别
'bu'kan'lin'jing 不堪临镜
'bu'kan'you 不堪游
'bu'kan'zhong'sheng'yue'ren'ge 不堪重省越人歌
'bu'kan'zhong'shu 不堪重数
'bu'lao'shi'dan'fang 不老是丹方
'bu'liao'hu'ting'zhang'xi 不了湖亭张戏
'bu'liao'yi'sheng'fu 不了一生浮
'bu'lun'lan'gan 不论阑干
'bu'lun'yan'chou'zheng'yao'nong 不论妍丑争夭秾
'bu'man'jiu'qian'zhong 不满九千钟
'bu'neng'guan'de 不能管得
'bu'neng'zui 不能醉
'bu'pa'jin'wu'jin'xing 不怕金吾禁行
'bu'ru'gui'qu 不如归去
'bu'ru'yi'shi'ba'jiu 不如意十八九
'bu'ru'yi'shi'chang'ba'jiu 不如意十常八九
'bu'shao'liu'lian 不少留连
'bu'shi'fan'qiang'di 不是番腔底
'bu'shi'ge'sheng 不是歌声
'bu'shi'gong'wan'pai'gun 不是弓弯拍衮
'bu'shi'jiang'e'hu 不是讲鹅湖
'bu'shi'ku'wu'kan'shan'fen 不是苦无看山分
'bu'shi'mi'weng'weng'zuo 不是蜜翁翁做
'bu'shi'shan'xi'zhou 不是剡溪舟
'bu'shi'shi'jun'ren'jian'fo 不是使君人间佛
'bu'shi'wei'feng'hou 不是为封侯
'bu'shi'xing'bian 不是行边
'bu'shi'yin'he'wu'qu'lu 不是银河无去路
'bu'shi'zhong'kan'deng 不是重看灯
'bu'shu'fei'lai'qian'zhang 不数飞来千丈
'bu'shu'xiang'zhou'jin'yang 不数相州锦样
'bu'shuo'ming'chao'feng'yu'zi'dang'gui 不说明朝风雨自当归
'bu'shuo'ming'chao'hou'ri'shuo'ming'nian 不说明朝后日说明年
'bu'si'die'shen'shen'wo 不似蝶深深卧
'bu'si'jin'nian 不似今年
'bu'si'kui'wu'chu'chen'ai 不似魁梧出尘埃
'bu'si'lan'ke'chang 不似烂柯长
'bu'si'na'hui'shang'chu 不似那回赏处
'bu'si'qu'qian'ye 不似渠千叶
'bu'si'zhe'gu'fei 不似鹧鸪飞
'bu'wei'shang'yuan'deng'jin 不为上元灯近
'bu'xi'yu'jun'tong'yi'zui 不惜与君同一醉
'bu'xu'bing'man'rong'li 不须邴曼容例
'bu'xu'gou'lou'bo'dan'sha 不须勾漏博丹砂
'bu'xu'ju'hou'san'li 不须举后三例
'bu'xu'mei'hua'dian'hou 不许梅花殿后
'bu'xue'chou'yu'ju 不学愁余句
'bu'ye'cheng 不夜城
'bu'yin'hao'tan'ming'nian 不因浩叹明年
'bu'yin'nai'he'ming 不饮奈何明
'bu'yin'qiang'xu'yin 不饮强须饮
'bu'yong'deng'gao 不用登高
'bu'yong'wu'yan'ye'zi'xing 不用吾言也自行
'bu'yong'yao'chi'tou'bi'shi 不用瑶池偷碧实
'bu'zai'xian'ren'zhang'shang'pan 不在仙人掌上盘
'bu'zhan'jia'zi'hou'xian'qing 不占甲子后先晴
'bu'zhi'chun'shui'mei 不知春睡美
'bu'zhi'dang'ri'he'tiao 不知当日何调
'bu'zhi'gu'yi'lu'bang'ai 不知古驿路傍埃
'bu'zhi'jin'xi 不知今夕
'bu'zhi'long'zhe'wei'yu 不知龙者为雨
'bu'zhi'qu'hou 补之去后
'bu'zhi'shen'nan'bei 不知身南北
'bu'zhi'shui'shi'hua'jie 不知谁是花杰
'bu'zhi'su'xi'you'shui'lai 不知宿昔有谁来
'bu'zhi'wen'ju'geng'kan'lian 不知文举更堪怜
'bu'zhi'yi'he'zai'qiang'dong 不知一鹤在墙东
'bu'zhi'you'ke'cheng'xing 不知有客乘兴
'bu'zhu'ren'jian'jin'wu'kong'nan'xiao 不著人间金屋恐难消
'cai'bian'jin'sheng'yi'shi'wu 彩鞭金胜一时无
'cai'cai'chang'pu'san'san'jie 采采菖蒲三三节
'cai'dao'cheng'men'you'gu'sheng 才到城门有鼓声
'cai'hua'zong'shi'ceng'liu'chu 菜花总是曾留处
'cai'jian'lv 采涧绿
'cai'jian'shou'yan'kai 才见寿筵开
'cai'lian'yu 采莲语
'cai'ting'zhao'ma'dong 才听朝马动
'cai'yun'ban 彩云斑
'can'deng'zi'xiu'ju'pu 残灯自修菊谱
'can'gang'wu'mei 残釭无寐
'can'hong'you'zai 残红有在
'can'lin'fei'li 残邻废里
'can'mei'leng'yu'si'si 残梅冷雨丝丝
'can'nian'le 残年了
'can'nian'wei'you'chong'yang'hao 残年惟有重阳好
'can'nian'you'zi'leng'ru'bing 残年犹自冷如冰
'can'ri'xia'gua'zhou 残日下瓜洲
'can'wo'bai'zhi'fu 餐我白芝符
'can'yang'duan'di 残阳短笛
'can'zhan'xue 餐毡雪
'can'zhong'chang'le'shu 残钟长乐树
'can'zhu'bu'jiao'ren'jing'qu 残烛不教人径去
'can'zhu'guang 粲珠光
'cang'bo'miao 沧波眇
'cang'cang'gu 苍苍古
'cang'cang'wan'gu 苍苍万古
'cang'hai'sang'ku 沧海桑枯
'cang'huang'bi'gong'yu'xia 仓皇庇公宇下
'cang'lang'xiang'lai'ban'yan 苍浪向来半掩
'cang'ran'wu'chu 苍然吴楚
'cang'ran'yu'bu'ke'ji 苍然欲不可极
'cang'yan'bai'fa'wu'mao 苍颜白发乌帽
'cang'zhou'lan'jie'fang'cheng'ai 沧洲揽结芳成艾
'cang'zhou'wu'fu'hua'hao 沧洲无复华皓
'cang'zhou'yi'ye 沧洲一叶
'cao'cao'dong'lin'zao'bi 草草东邻凿壁
'cao'cao'liu'jun'jian'jiu 草草留君剪韭
'cao'jian'sai'kou'ku'jian'ti 草间塞口绔间啼
'cao'shu'chi'tang'qing'yi'pian 草树池塘青一片
'ce'shen'kong'duo'liao'dong 侧身空堕辽东
'cen'ci'ceng'fu 参差曾赋
'cen'ci'ye'mei'cheng'gui'he 参差野袂成归鹤
'cen'ci'zhong'lu'ling'ren'lao 参差中路令人老
'cen'ci'zhong'yue 参差重约
'ceng'fan'ru 曾泛入
'ceng'jian'qu'fan 曾见去帆
'ceng'jian'zuo'ri'kai'lu 曾见昨日开炉
'ceng'jin'an'hu'ji 曾锦鞍呼妓
'ceng'qin'jian'dou'ren 曾亲见都人
'ceng'shi'lao'ren'fu 曾识老人父
'ceng'shi'lao'xian'weng 曾识老仙翁
'ceng'shou'mao'shan'ji 曾授茅山记
'ceng'xiang'hang'zhou'kan'shang'yuan 曾向杭州看上元
'ceng'xiang'ping'jian'jian 曾向屏间见
'ceng'xiao'mei'shao'he'dou 曾笑梅梢和豆
'ceng'yu'hui'weng'ba'shou 曾与回翁把手
'cha'jin'fan'sheng 插金幡胜
'cha'si'jiao'lun 插四角轮
'cha'xiang'shu'chu 茶香疏处
'chai'fu'xian'jiu 钗符献酒
'chai'tou'yan 钗头燕
'chan'juan'wu'ru 婵娟误汝
'chan'juan'yin'hai'chu 婵娟银海出
'chan'yu'chui'jin'wu'geng'feng 单于吹尽五更风
'chang'an'shi'shang'lu'bian'wo 长安市上垆边卧
'chang'duan'juan 长短卷
'chang'duan'zhu'ma'er'tong 肠断竹马儿童
'chang'er'shi'wu'nian 怅二十五年
'chang'ge'duan'shen'lao'jing'shen 长歌短什劳精神
'chang'ge'duan'shen'liao'zi'shi 长歌短什聊自适
'chang'ge'ji'cao'wei'han'xiang 长歌藉草慰寒香
'chang'he'ren'lao'yi'jiang'nan 怅何人老忆江南
'chang'he'xiang'ying'bei'zui'ku 阊阖相迎悲最苦
'chang'hen'chou'tang'lu 长恨稠塘路
'chang'hen'qing'qing'zhu'men'ai 长恨青青朱门艾
'chang'hen'zhong'yuan'wu'ren'wen 长恨中原无人问
'chang'hen'zhu 常恨著
'chang'hui'shou'he'ren'xiu'feng 怅回首何人修凤
'chang'ji'na'shi 长记那时
'chang'ji'xiao'hong'lou'pan'lu 长记小红楼畔路
'chang'jian'zui'tao'sai 长见醉桃腮
'chang'jiang'yi'yi'liu 长江一意流
'chang'jie'deng'huo'san'liang 长街灯火三两
'chang'jie'xi'hu'yan'liu 长结西湖烟柳
'chang'kan'yi'wen'wei'xi 长看以文为戏
'chang'kong'dan'dan 长空澹澹
'chang'kong'hao'yue 长空皓月
'chang'kong'ming'zi'shi'ying'ying'wu 怅孔明自是英英误
'chang'ming'lv 长命缕
'chang'pu'hua'lao 菖蒲花老
'chang'qiu'cheng'shou 长楸承受
'chang'sheng'di'yi'shi'feng'seng 长生第一是风僧
'chang'sheng'yao 长生药
'chang'shi'ba'shan'shen'ye'yu 长是巴山深夜雨
'chang'shi'bu'shu 常时不数
'chang'shi'cheng'chou'cheng'hen'bu'cheng'huan 长是成愁成恨不成欢
'chang'shi'e'er'zuo'dui'xing 长是蛾儿作队行
'chang'shi'hen'gu'ren'wu'ji 常是恨古人无计
'chang'shi'jiu'lan'qing'xu 长是酒阑情绪
'chang'shi'lan'xie'shou'qu 长是懒携手去
'chang'si'sui'nan'du 长似岁难度
'chang'ti'zhai'qu 长梯摘取
'chang'ting'fang'cao'lu 长亭芳草路
'chang'xiao'er'tong'mang'ta'wu 长笑儿童忙踏舞
'chang'xiao'ou'gong'lao'lan 长笑欧公老懒
'chang'xiao'qi 长啸起
'chang'xun'jin'bi 长薰晋鄙
'chang'yi'lei'ju 长衣櫑具
'chang'yi'yu'jie'ren'chang 长忆御街人唱
'chang'yu'yu 长欲语
'chang'zhan'zhang'he'pi 怅毡帐何匹
'chao'huan'mu'yan'gui'wang'sun 朝欢暮宴归王孙
'chao'ji'duo'lei'huang'tian'yu 朝饥堕泪荒田雨
'chao'ji'feng'wu 朝饥讽午
'chao'jing'dao'shang'feng'he'xue 朝京道上风和雪
'chao'jing'ren'jue 朝京人绝
'chao'lai'an'jing'cui'xiu 朝来暗惊翠袖
'chao'lai'dong'yu 朝来冻雨
'chao'lai'qi'zi'nan 朝来起自难
'chao'lai'qian'que'shi'kong'hui 朝来乾鹊是空回
'chao'lai'wei'xue 朝来微雪
'chao'yi'mu 朝异暮
'chao'you'mu 朝又暮
'chao'zhao'mu 朝朝暮
'che'ma'lai'qin 车马来勤
'che'shui'jiu'tian'wu'zan'chu 车水救田无暂处
'che'tong'feng'song'yang'hua'lao 坼桐风送杨花老
'chen'ai'ban'bai 尘埃半百
'chen'ai'da'di'ru'shui 尘埃大地如水
'chen'bo'qian'du 尘波前度
'chen'hun'bai'di 尘昏白帝
'chen'lan'zhui'zhi 沉兰坠芷
'chen'li'xue'gua'fu'yu'ye 沉李削瓜浮玉液
'chen'qing'ru'shui 臣清如水
'chen'shang'shao 臣尚少
'chen'sheng're'nao 尘生热恼
'chen'shi'lan 尘石烂
'chen'si'ge'nian'yu 陈似隔年萸
'chen'tu'bu'zhi'hui'bian'gao 尘土不知灰变缟
'chen'yang'mang 尘坱莽
'chen'yin'zhu'wai 沉吟竹外
'chen'zai'bai 臣再拜
'chen'zhong'duo'shao'bai'tou'ren 尘中多少白头人
'cheng'cha'xiang'wen 乘槎相问
'cheng'die'die 成蝶蝶
'cheng'du'qiao'dong'wan'li 成都桥动万里
'cheng'fo'sheng'tian 成佛生天
'cheng'guo'dai'huan'jia 城郭待还家
'cheng'jiao'ye'chui'shuang 城角夜吹霜
'cheng'ju'huang'you'lv 橙橘黄又绿
'cheng'lin'si'shi'ren'shui'xin 赪鳞似是人谁信
'cheng'lou'hua'jiao 城楼画角
'cheng'luan'zhu'se 乘鸾著色
'cheng'men'ban'dai'dong'ling'pu 城门半带东陵圃
'cheng'men'luo'ri'ren'gui'zao 城门落日人归早
'cheng'ping'gu'shi 承平故事
'cheng'shan'tang'shi'deng 城山堂试灯
'cheng'shang'hu'jia'zi'yuan 城上胡笳自怨
'cheng'shi'cheng'fei 城是城非
'cheng'shou'tang'tian'shi'zi 称寿堂添十字
'cheng'shu'ye 成树也
'cheng'wai'tu'man'tou 城外土馒头
'cheng'xian'wei'wan 成仙未晚
'cheng'xiang'bai 丞相柏
'cheng'xiang'gun'yi'chao'xi 丞相衮衣朝戏
'cheng'xiang'gun'yi'chao'xi'cai 丞相衮衣朝戏綵
'cheng'zhong'shi'wan 城中十万
'cheng'zhong'ye'shi'ji'fen'deng 城中也是几分灯
'chi'bi'wu'tao'tou 赤壁舞涛头
'chi'bi'zhi'you'le 赤壁之游乐
'chi'bi'zhou'lang'shen'you'chu 赤壁周郎神游处
'chi'chi'geng'wang'chun'san'yue 痴痴更望春三月
'chi'ci'kui'chu'chu 持此揆初初
'chi'di'bu'jiao'qu'sheng 尺地不教渠剩
'chi'dian'qu'lei'yun'si'fang 赤电驱雷云四方
'chi'jiao'yu'chuan'jing'zou 赤脚玉川惊走
'chi'qu'wen'jun'ping 持去问君平
'chi'ri'yan'yan'shao'ba'huang 赤日炎炎烧八荒
'chi'shang'jiu 池上久
'chi'shang'ku'yang'zao'wan'chan 池上枯杨噪晚蝉
'chi'shou'jiu 持寿酒
'chi'shu'ri 迟数日
'chi'tan'wei'lu 炽炭围炉
'chi'tang'chun'mu 池塘春暮
'chi'tang'xiao'xiao'shui'man'man 池塘小小水漫漫
'chi'xi'fei'chao 赤舄飞朝
'chi'xin'you'du'zi 痴心犹独自
'chi'ying'wu'fu 痴蝇误拂
'chong'gui'gun 重归衮
'chong'jian'he'bian'nv 重见河边女
'chong'jian'wei'di'su 重见为低诉
'chong'jian'yi'fu'san'shu 重见一粰三黍
'chong'kai'yan 重开宴
'chong'lai'mi 重来觅
'chong'niu'she'dou'ding'he'si 冲牛射斗定何似
'chong'pai'hua'jia 重排花甲
'chong'shi'bi'tao'gen 重试碧桃根
'chong'shu'wu'geng'gu 重数五更鼓
'chong'xin'nian'chu'wei'gong'shou 重新拈出为公寿
'chong'zhao'jin'tuan'luan 重照锦团栾
'chou'chun'lai'mu'reng'chou'mu 愁春来暮仍愁暮
'chou'han'man'quan'lin'bei'zhai 愁汗漫全林杯窄
'chou'jue'xi'shan'ming'xiu'chu 愁绝西山明秀处
'chou'lian'su'su'ti'can'lu 愁莲蔌蔌啼残露
'chou'mu'yu 愁暮雨
'chou'ren'geng'kan'qiu'ri 愁人更堪秋日
'chou'shen'jiu'li'qian'zhong 愁深酒力千钟
'chou'shi'ming'chao'jiu'xing 愁是明朝酒醒
'chou'shu'shuang'tou'mei 篘熟双投美
'chou'si'man'qing'tong 愁思满青铜
'chou'si'mi'luo'ye'yu 愁似汨罗夜雨
'chou'tang'jiu'shi'hua'qian'shu 稠塘旧是花千树
'chou'wang'cheng'shan 酬王城山
'chou'wei'lao 愁未老
'chou'wu'ke'zhu 愁无可著
'chou'yan'yu 愁厌雨
'chu'chang'sheng'dong 出长生洞
'chu'chu'fei'hu'die 处处飞蝴蝶
'chu'chu'kai'zun'yi'bu'ci 处处开尊亦不辞
'chu'chu'ke'xie'shou 处处可携手
'chu'chu'qing'huai'si 处处情怀似
'chu'chu'yi'lin'an 处处忆临安
'chu'chun'ji'shi 初春即事
'chu'ge'chuan'chuan 杵歌串串
'chu'jian'jiang'nan'feng'wu 初见江南风物
'chu'le'mei'hua'wu'wu 除了梅花无物
'chu'lou'xiu 楚楼休
'chu'que'gu'ren'cao'meng'de 除却故人曹孟德
'chu'que'xiang'si 除却相思
'chu'que'yue'gong'hua'shu'xia 除却月宫花树下
'chu'ru'qian'zhong'yun'shui'shen 出入千重云水身
'chu'san'zhi'shu'shui'yue 初三知属谁月
'chu'shi'he'zhi'zhang 除是贺知章
'chu'shi'lao'weng'lai 除是老翁来
