'bai'huang'ji 掰谎记
'jia'rong'zhi'qi 贾蓉之妻
'jia'rui 贾瑞
'jia'she 贾赦
'jia'tan'chun 贾探春
'jia'xi'chun 贾惜春
'jia'xu'ben 甲戌本
'jia'yan 贾演
'jia'ying'chun 贾迎春
'jia'yu'cun 贾雨村
'jia'yuan 贾源
'jia'yuan'chun 贾元春
'jia'yun 贾芸
'jia'zhen 贾珍
'jia'zheng 贾政
'jia'zhu 贾珠
'jiang'yun'xuan 绛云轩
'jiang'zhu'xian'cao 绛珠仙草
'jiao'yin'mo'mo 教引嬷嬷
'jin'chuan'er 金钏儿
'jin'ling 金陵
'jin'yuan'yang 金鸳鸯
'jing'cang'ben 靖藏本
'jing'huan'xian'gu 警幻仙姑
'jing'xu 净虚
'kui'guan 葵官
'lai'da 赖大
'lai'da'jia'de 赖大家的
'lai'er 赖二
'lai'er'jia'de 赖二家的
'lai'mo'mo 赖嬷嬷
'lai'shang'rong 赖尚荣
'lai'sheng 来升
'lai'sheng 赖升
'lai'tou'he'shang 癞头和尚
'lai'wang 来旺
'leng'xiang'wan 冷香丸
'li'gui 李贵
'li'mo'mo 李嬷嬷
'li'nai'nai 李奶奶
'li'wan 李纨
'lian'hua'er 莲花儿
'liao'ting'hua'xu 蓼汀花溆
'lin'dai'yu 林黛玉
'lin'hong'yu 林红玉
'lin'ru'hai 林如海
'lin'zhi'xiao 林之孝
'lin'zhi'xiao'jia'de 林之孝家的
'ling'guan 龄官
'liu'lao'lao 刘姥姥
'liu'sao 柳嫂
'liu'wu'er 柳五儿
'mao'zheng'san'ke 卯正三刻
'mei'gui'hua 玫瑰花
'meng'fu'ben 蒙府本
'meng'gao'ben 梦稿本
'miao'yu 妙玉
'ming'yan 茗烟
'na'fu'li 那府里
'nan'jing 南京
'ni'er 倪二
'ning'fu 宁府
'ning'guo'fu 宁国府
'ning'guo'gong 宁国公
'nuan'xiang'wu 暖香坞
'ou'guan 藕官
'ou'xiang'xie 藕香榭
'pei'feng 佩凤
'ping'er 平儿
'ping'er'li'zhuang 平儿理妆
'qian'xue 茜雪
'qiao'jie 巧姐
'qin'fang'ting 沁芳亭
'qin'fang'zha 沁芳闸
'qin'ke'qing 秦可卿
'qin'shi 秦氏
'qin'xian 秦显
'qin'xian'jia'de 秦显家的
'qin'ye 秦业
'qin'zhong 秦钟
'qing'wen 晴雯
'qing'xu'guan 清虚观
'qing'xu'guan'da'jiao 清虚观打醮
'qiu'shuang'zhai 秋爽斋
'qiu'tong 秋桐
'qiu'wen 秋纹
'qu'jing'tong'you'chu 曲径通幽处
'ran'li'tu 燃藜图
'ren'qing'xiang 仁清巷
'rong'fu 荣府
'rong'guo'fu 荣国府
'rong'guo'gong 荣国公
'rong'qing'tang 荣庆堂
'rong'xi'tang 荣禧堂
'ru'hua 入画
'rui'guan 蕊官
'san'geng 三更
'sao'hong 扫红
'she'yue 麝月
'shen'ying'shi'zhe 神瑛侍者
'shi'li'jie 十里街
'shi'shu 侍书
'shi'xiang'yun 史湘云
'shui'yue'an 水月庵
'si'qi 司棋
'tai'xu'huan'jing 太虚幻境
'tan'chun 探春
'tian'xiang'lou 天香楼
'tie'kan'si 铁槛寺
'tong'ling'bao'yu 通灵宝玉
'wang'cheng 王成
'wang'duan'tui 王短腿
'wang'er 旺儿
'wang'er'jia'de 旺儿家的
'wang'er'xi'fu 旺儿媳妇
'wang'gou'er 王狗儿
'wang'mo'mo 王嬷嬷
'wang'ren 王仁
'wang'xi'feng 王熙凤
'wang'zi'teng 王子腾
'wu'er 五儿
'wu'shi'mang 无事忙
'wu'xin'deng 吴新登
'wu'xin'deng'jia'de 吴新登家的
'xi'chun 惜春
'xi'fu 西府
'xi'ren 袭人
'xia'jin'gui 夏金桂
'xia'po 夏婆
'xiang'ling 香菱
'xiang'yun 湘云
'xiang'yun'mian'shao 湘云眠芍
'xiao'hong 小红
'xiao'sha'mi 小沙弥
'xiao'xiang'fei'zi 潇湘妃子
'xiao'xiang'guan 潇湘馆
'xie'luan 偕鸾
'xing'lian'zai'wang 杏帘在望
'xing'qin'bie'shu 省亲别墅
'xiu'ju 绣桔
'xuan'zhen'guan 玄真观
'xue'bao'chai 薛宝钗
'xue'yan 雪雁
'ya'huan 丫环
'ya'huan 丫鬟
'ye'ma 叶妈
'yi'hong'kuai'lv 怡红快绿
'yi'hong'yuan 怡红院
'yin'die 银蝶
'ying'chun 迎春
'ying'er 莺儿
'ying'ge 鹦哥
'ying'lian 英莲
'you'er'jie 尤二姐
'you'feng'lai'yi 有凤来仪
'you'lao'niang 尤老娘
'you'san'jie 尤三姐
'you'shi 尤氏
'yu'chuan'er 玉钏儿
'yu'xin 余信
'yuan'chun 元春
'yuan'yang 鸳鸯
'zang'hua'yin 葬花吟
'zhan'guang 詹光
'zhao'mo'mo 赵嬷嬷
'zhen'bao'yu 甄宝玉
'zhen'shi'yin 甄士隐
'zhen'xia'jiu'you 枕霞旧友
'zheng'fang 正房
'zheng'fang'da'yuan 正房大院
'zhi'neng'er 智能儿
'zhi'pi 脂批
'zhi'yan'zhai 脂砚斋
'zhou'rui 周瑞
'zhou'rui'jia'de 周瑞家的
'zhui'er 坠儿
'zhui'jin'lou 缀锦楼
'zi'juan 紫鹃
