'ao'ni'zi'ruo 傲睨自若
'ao'qing'shou'dan 熬清受淡
'ao'qing'shou'dan 熬清守淡
'ao'ran'ting'li 傲然挺立
'ao'ran'yi'li 傲然屹立
'ao'shi'qing'wu 傲世轻物
'ao'shuang'dou'xue 傲霜斗雪
'ao'tou'ao'nao 傲头傲脑
'ao'tou'du'zhan 鳌头独占
'ao'tu'bu'ping 凹凸不平
'ao'xian'man'shi 傲贤慢士
'ao'xiang'zi'de 遨翔自得
'ao'xin'fei'li 熬心费力
'ao'xue'ling'shuang 傲雪凌霜
'ao'xue'qi'shuang 傲雪欺霜
'ao'ya'ji'kou 聱牙戟口
'ao'ya'ji'qu 聱牙诘屈
'ao'ya'jie'qu 聱牙诘曲
'ao'ya'jie'qu 謷牙诘屈
'ao'you'fei'huo 熬油费火
'ao'yuan'you'ling 奥援有灵
'ba'ba'jie'jie 巴巴劫劫
'ba'ba'jie'jie 巴巴结结
'ba'bai'gu'han 八百孤寒
'ba'bai'zhi'jiao 八拜之交
'ba'ben'sai'yuan 拔本塞原
'ba'bi'ru'lin 把臂入林
'ba'chi'bu'ding 把持不定
'ba'chuang'ling'long 八窗玲珑
'ba'cui'chu'lei 拔萃出类
'ba'cui'chu'qun 拔萃出群
'ba'dao'xiang'xiang 拔刀相向
'ba'dao'xiang'zhu 拔刀相助
'ba'di'yao'shan 拔地摇山
'ba'di'yi'tian 拔地倚天
'ba'dou'zhi'cai 八斗之才
'ba'fang'feng'yu 八方风雨
'ba'fang'hu'ying 八方呼应
'ba'fang'zhi'chi 八方支持
'ba'fang'zhi'yuan 八方支援
'ba'fu'xun'an 八府巡按
'ba'hong'tong'gui 八纮同轨
'ba'hu'fei'yang 跋扈飞扬
'ba'hu'zi'sui 跋扈恣睢
'ba'hu'zi'zi 跋扈自恣
'ba'huang'zhi'wai 八荒之外
'ba'jian'lun'gong 拔剑论功
'ba'jie'jiu'mo 八街九陌
'ba'jiu'bu'li'shi 八九不离十
'ba'jiu'chi'ao 把酒持螯
'ba'kui'qu'zhi 拔葵去织
'ba'lai'bao'wang 拔来报往
'ba'lai'bao'wang 跋来报往
'ba'ling'zui'wei 霸陵醉尉
'ba'lv'shan'chuan 跋履山川
'ba'mao'ji'shi 拔毛济世
'ba'mao'lian'ru 拔毛连茹
'ba'mao'lian'ru 拔茅连茹
'ba'mian'jian'guang 八面见光
'ba'mian'ling'long 八面玲珑
'ba'mian'shi'feng 八面驶风
'ba'mian'shou'di 八面受敌
'ba'mian'wei'feng 八面威风
'ba'mian'ying'che 八面莹澈
'ba'mian'yuan'tong 八面圆通
'ba'mian'zhang'luo 八面张罗
'ba'miao'zhu'zhang 拔苗助长
'ba'qian'suan'hou 巴前算后
'ba'qian'zhi'hou 跋前踬后
'ba'qun'chu'cui 拔群出萃
'ba'ren'xia'li 巴人下里
'ba'san'lan'si 巴三览四
'ba'shan'chao'hai 拔山超海
'ba'shan'gai'shi 拔山盖世
'ba'shan'gang'ding 拔山扛鼎
'ba'shan'ju'ding 拔山举鼎
'ba'shan'she'chuan 跋山涉川
'ba'shan'she'shui 跋山涉水
'ba'shan'shu'shui 巴山蜀水
'ba'shan'ye'yu 巴山夜雨
