'bai'dai 白带
'san'ci'shang'duan'gong'fang'ji'shu 三次上段攻防技术
'san'ci'zhong'duan'gong'fang'ji'shu 三次中段攻防技术
'san'fei'ji'ba 三飞击靶
'san'fei'ti'jie'hou'bai'tui 三飞踢接后摆腿
'san'fei'tui 三飞腿
'shang'ge'dang 上格挡
'shi'jie'tai'quan'dao'lian'meng 世界跆拳道联盟
'shi'jin 十进
'shou'dao'nei'ge'dang 手刀内格挡
'shou'dao'nei'ge'jie'zhuang'zhou'dui'chai 手刀内格接撞肘对拆
'shou'dao'wai'ge'dang 手刀外格挡
'shou'dao'yi'kuai'zhuan 手刀一块砖
'shuang'fei'jie'hou'bai'ti 双飞接后摆踢
'shuang'fei'tui 双飞腿
'shuang'shou'ce'fan 双手侧翻
'shuang'tui'lian'xu'zhuan'shen'gao'wei'heng'ti'jiao'ba 双腿连续转身高位横踢脚靶
'shuang'tui'teng'kong'xiang'qian'shuang'pai'jiao'jie'fen'tui'pai'jiao 双腿腾空向前双拍脚接分腿拍脚
'shuang'tui'teng'kong'zuo'you'fen'tui'pai'jiao 双腿腾空左右分腿拍脚
'si'mian'ge'dang 四面格挡
'si'mian'gong'ji 四面攻击
'tai'bai 太白
'tai'ji'ba'zhang 太极八章
'tai'ji'er'zhang 太极二章
'tai'ji'liu'zhang 太极六章
'tai'ji'qi'zhang 太极七章
'tai'ji'san'zhang 太极三章
'tai'ji'si'zhang 太极四章
'tai'ji'wu'zhang 太极五章
'tai'ji'yi'zhang 太极一章
'tai'quan'dao'jing'shen 跆拳道精神
'tai'quan'wu 跆拳舞
'tao'lu 套路
'tao'tui'fa'dui'chai 套腿法对拆
'te'ji'mu'ban 特技木板
'teng'kong'ce'ti 腾空侧踢
'teng'kong'ce'ti'fei'ren 腾空侧踢飞人
'teng'kong'fan'lun'ti 腾空反抡踢
'teng'kong'heng'ti 腾空横踢
'teng'kong'hou'ti 腾空后踢
'teng'kong'hou'xuan 腾空后旋
'teng'kong'lun'ti 腾空抡踢
'teng'kong'shang'ti 腾空上踢
'tian'quan 天拳
'tiao'huan'bu 跳换步
'tiao'pi'jiao'ba 跳劈脚靶
'tui'fa 腿法
'tui'ti'jie'qian'bai'tui 推踢接前摆腿
'wai'ge'dang 外格挡
'wu'dao'guan 吾道馆
'wu'de'guan 武德馆
'xi'dao'dai 系道带
'xia'ge'dang 下格挡
'xia'pi 下劈
'xia'pi'tui 下劈腿
'xia'ti 下踢
'xiang'guo'qi'jing'li 向国旗敬礼
'xie'shang'ti 斜上踢
'xing'li 行礼
'xuan'feng'ti 旋风踢
'xuan'feng'tui 旋风腿
'you'zhan'shi 右站势
'yuan'di'ce'ti 原地侧踢
'yuan'di'zheng'ti 原地正踢
'yuan'xiao 元晓
'zhang'wu'guan 彰武馆
'zheng'mian'ji'fa 正面技法
'zheng'shou'fu'wo'cheng 正手俯卧撑
'zheng'zhan'shi 正站势
'zhi'dao'guan 智道馆
'zhi'quan'ji'ba 直拳击靶
'zhi'wo'cheng 指卧撑
'zhong'duan'shou'dao'wai'zhan'ge'dang'dui'chai 中段手刀外展格档对拆
'zhong'guo'tai'quan'dao'xie'hui 中国跆拳道协会
'zhong'guo'wu'shu 中国武术
'zhuan'shen 转身
'zhuan'shen'bu 转身步
'zhuan'shen'ce'ti 转身侧踢
'zhuan'shen'gua'ti 转身挂踢
'zhuan'shen'heng'ti 转身横踢
'zhuan'shen'hou'ti 转身后踢
'zhuan'shen'lun'ti 转身抡踢
'zi'wei'shu 自卫术
'zun'shi'zhong'dao 尊师重道
'zuo'zhan'shi 左站势
