'ai'beng 爱崩
'liang'hua'qing'nian 量化青年
'liang'mi'ba 两米八
'liang'xing'zi'nue 良性自虐
'liao'fen 撩粉
'liao'ji 僚机
'liao'jue'zi 尥蹶子
'lin'ju'chi'hua'jiao 邻居吃花椒
'ling'hun'hua'shou 灵魂画手
'ling'luan'meng 凌乱萌
'lu'yao'zhi'ma'li 陆垚知马俐
'lue'lue'lue 略略略
'luo'cha'meng 落差萌
'ma'hou'shao'jiu 马猴烧酒
'ma'jue'ni'leng 妈觉你冷
'ma'le'kan 马了看
'ma'li'su 玛丽苏
'ma'nan'bo'jie'ke 马男波杰克
'ma'sai'ke'sheng'hui 马赛克盛会
'man'jiu 漫酒
'man'jiu'ye 慢就业
'mao'bing 猫饼
'mao'mao'jian'kong 猫猫监控
'mei'ji'hua'xiong 美籍华熊
'mi'fan'dang 米饭党
'mi'mei 迷妹
'mi'zhi'wei'xiao 蜜汁微笑
'mi'zhi'zi'xin 蜜汁自信
'ming'ming'bing 明明病
'mo'ka'duan'bo'bo 摩卡短波波
'mo'li'chao 墨鲤抄
'mo'ren'de'xiao'yao'jing 磨人的小妖精
'mo'tou'sha 摸头杀
'mo'xing'meng 魔性萌
'nai'nai'bao 奶奶抱
'nai'si 耐撕
'nan'hai'zhong'cai 南海仲裁
'nan'nan'yue 男男约
'nao'hao'wang'you 脑好望有
'neng'zhe'duo'guo 能者多锅
'ni'da 妮妲
'ni'zou'kai 尼奏凯
'nian'qi'zu 黏妻族
'ning'gu'sheng 宁孤生
'niu'mi 妞蜜
'nuan'zha'nan 暖渣男
'nue'gou'xiu 虐狗秀
'pai'san'tuo 拍散拖
'pang'da 胖达
'pi'fu'ya'pian 皮肤鸦片
'pi'li'pa'la'jiang 噼里啪啦酱
'ping'ping'pang'pang 乒乒乓乓
'qi'hou'nan'min 气候难民
'qi'xi'zhi'ge 七夕之歌
'qian'bi'yan 钱币眼
'qian'tai'ci 潜台词
'qian'wo'yi'ge'xiao'nai 欠我一个肖奈
'qiao'ji 敲级
'qing'fen 轻粉
'qing'shen'bu'shou 情深不瘦
'qing'yun'zhi 青云志
'qiong'meng 穷萌
'qiu'xin'li'yin'ying'mian'ji 求心理阴影面积
'qu'hei 屈黑
'ran'e 然鹅
're'she'bing 热射病
'ren'cong'zhong 人从众
'ren'gong'zhi'ding 人工置顶
'ren'she'beng'ta 人设崩塌
'ri'ben'mi 日本眯
'sa'de 萨德
'san'zi'dai 三自带
'sang'bi 丧逼
'sang'ou'shi'yu'er 丧偶式育儿
'sha'bi 沙币
'sha'lian 傻脸
'sha'shi'jian 杀时间
'sha'shi'liao'li 沙式料理
'sha'shu 杀熟
'shai'bei'chang'mao 晒被长猫
'shan'dian'bo'er'te 闪电博尔特
'shao'nv'lian 少女脸
'shao'xi'chui 烧洗吹
'shen'huan'yuan'yan'wang 神还原颜王
'shen'zhou'shi'yi'hao 神舟十一号
'shen'zhuan'zhe 神转折
'sheng'dian'xin 圣典心
'sheng'shi'mei'yan 盛世美颜
'shi'ba'xian 十八线
'shi'he'yuan'fang 诗和远方
'shi'jian'ji'huang 时间饥荒
'shi'jie'bo 世界波
'shi'li'zhong'cao 实力种草
'shou'qing'nan 售罄男
'shuai'bu'guo'san'miao 帅不过三秒
'shui'fu 睡服
'shui'ni 水逆
'si'fei'zhai 死肥宅
'si'man'nan 撕漫男
'si'wang'ning'shi 死亡凝视
'sui'xian'gou 虽现狗
'sun'mi 损蜜
'tai'di'nan 泰迪男
'tai'kong'yi 太空易
'tai'shi'jia'shuai 泰式假摔
'tang'ying 躺赢
'tao'lu'shen 套路深
'tian'e'jing 天鹅颈
'tian'gong'er'hao 天宫二号
'tian'la'lu 甜辣卤
'tian'xia'wu'shuang 天下无双
'tian'xian'fan 天仙范
'tie'liu'hai 铁刘海
'tie'zhi'nv 铁直女
'tu'sha 土杀
'tu'wen'yi 土文艺
'tui'ai 腿癌
'tui'dong 腿咚
'tuo'feng'ri 驼峰日
'tuo'tuan 脱团
'wai'xiang'gu'du'zheng 外向孤独症
'wan'zun 挽尊
'wang'kai'li 王凯莉
'wang'yue'che 网约车
'wang'zhi'mie'shi 王之蔑视
'wang'zhou'zhi 望周知
'wei'li'gu'de 威力古得
'wei'mi'ti 维密体
'wei'xiao 围笑
'wo'de'di 我的弟
'wo'de'ma'ya 沃德玛雅
'wo'de'tian'na 我的天哪
'wo'de'yuan'wang'shi'shi'jie'he'ping 我的愿望是世界和平
'wo'di'ge 我的哥
'wo'fang'le 我方了
'wo'gang'zhi'dao'wo'duo'huo 我刚知道我多火
'wu'di'shi'duo'me'ji'mo 无敌是多么寂寞
'wu'gui'yuan'chu'pi 物归原处癖
'wu'li'fan'bo 无力反驳
'wu'li'nv'you 污力女友
'wu'lian'gui 五连跪
'wu'lou'hong'ding 五楼轰顶
'wu'nao'pen 无脑喷
'wu'shi'du'hei 五十度黑
'wu'xiu'bo 无秀波
'wu'yan'yi'dui 无言以对
'wu'you 污友
'wu'zhong'sheng'you 污中生友
'xi'ruan'pao 细软跑
'xi'si'ji'kong 细思极恐
'xi'xiu 细嗅
'xiang'hao 想嚎
'xiao'biao 销婊
'xiao'hun'gu'qi 笑昏古七
'xiao'mu'biao 小目标
'xiao'que'fei 小确肥
'xiao'que'sang 小确丧
'xiao'tian'bing 小甜饼
'xiao'xi'gu 小戏骨
'xiao'zhao 笑招
'xie'zhuang'wan'sheng'jie 卸妆万圣节
'xin'da'lu 新大鹿
'xin'hu'lu'wa 新葫芦娃
'xin'liu 心流
'xing'chen 星辰
'xing'fu'fei 幸福肥
'xing'xing'yan 星星眼
'xiong'fu'mu 熊父母
'xiong'san 雄三
'xiu'kui'zong'he'zheng 羞愧综合征
'xue'cao'yi'kong 血槽已空
'xue'fei 学废
'yan'biao'li 颜表立
'yan'xing'lian 颜性恋
'yan'yan 盐颜
'yan'zheng'yi 颜正义
'yang'zhi'nv 养殖女
'yao'wa'kuang 要娃狂
'ye'xing'nuan 野性暖
'yi'ben'zheng'jing'de'hu'shuo'ba'dao 一本正经的胡说八道
'yi'chu'xue'pin 衣橱血拼
'yi'feng'pang 易峰胖
'yi'lian'meng'bi 一脸懵逼
'yi'ma'zao 姨妈躁
'yi'shi'gan 仪式感
'yi'yan'bu'he'ti 一言不合体
'yin'que'si'ting 因缺思厅
'yin'yang'shi 阴阳师
'ying'bi'yan 硬币眼
'yong'dong'ji 永动机
'you'huang 友荒
'you'xi'gua'fu 游戏寡妇
'you'yi'ku'qing'nian 优衣库青年
'yu'lu'jun'zhan'ti 雨露均沾体
'yu'si'zao 语死早
'yu'yan'di 预言帝
'yu'zhou'zang 宇宙葬
'yue'ya'xiao 月牙笑
'yun'liao'tian 云聊天
'yun'yang'mao 云养猫
'zang'ai'jia'zu 葬爱家族
'zang'ao'zhang 藏獒张
'zha'zha 渣渣
'zhan'lu'bu'ku 站撸不哭
'zhan'nan'se 斩男色
'zhi'fu'bao 支付鸨
'zhi'nv'ai 直女癌
'zhi'yu'xi 致郁系
'zhong'guo'xin'ge'sheng 中国新歌声
'zhong'qiu'jie 钟秋杰
'zhong'tai'yang 种太阳
'zhu'bi'shi 朱碧石
'zhu'bo're 主播热
'zhuang'dian'er'tai 装垫儿台
'zhuang'geng 撞梗
'zi'xun'pi 资讯癖
'zu'hun 卒婚
'zuo'ren'bu'yao'tai 做人不要太
