'a'wei'wu'zhen 阿魏无真
'dan'yuan'er'sun'ge'ge'xian 但愿儿孙个个贤
'dang'jia'cai'zhi'yan'mi'gui 当家才知盐米贵
'dang'shi'ruo'bu'deng'gao'wang 当时若不登高望
'dao'lao'tou'xian'qie'shi'xian 到老偷闲且是闲
'dao'lao'zhong'wu'yuan'hen'xin 到老终无怨恨心
'dao'li'shang'ren'zhi 刀利伤人指
'dao'lu'ge'bie 道路各别
'dao'wu'e'zhe'shi'wu'shi 道吾恶者是吾师
'dao'wu'hao'zhe'shi'wu'zei 道吾好者是吾贼
'dao'yuan'ying'xian'ke 道院迎仙客
'dao'zei'chu'yu'du'bo 盗贼出于赌博
'de'gao'ge'chu'qie'gao'ge 得高歌处且高歌
'de'nai'qie'nai 得耐且耐
'de'ren'qie'ren 得忍且忍
'de'suo'tou'shi'qie'suo'tou 得缩头时且缩头
'de'yi'nong'shi'bian'ke'xiu 得意浓时便可休
'deng'wo'hui'tou'kan 等我回头看
'di'li'bu'ru'ren'he 地利不如人和
'di'yi'mo'qi'xin 第一莫欺心
'dian'dian'di'zai'jiu'wo'chi 点点滴在旧窝池
'dian'shi'hua'wei'jin 点石化为金
'dian'ta'qi'ceng 点塔七蹭
'dong'kou'tao'hua'ye'xiao'ren 洞口桃花也笑人
'du'shu'xu'yong'yi 读书须用意
'duo'jian'duo'wen 多见多闻
'duo'shao'shao'nian'wang 多少少年亡
'e'bi'zao'wang 恶必早亡
'e'fu'ling'fu'bai 恶妇令夫败
'e'hua'you'yu 恶化有余
'e'ren'zhong'shou'e'ren'mo 恶人终受恶人磨
'e'shi'chuan'qian'li 恶事传千里
'e'shi'mo'wei 恶事莫为
'e'you'e'bao 恶有恶报
'e'yu'shang'ren'hen'bu'xiao 恶语伤人恨不消
'e'yu'yi'shi 恶语易施
'er'sun'zi'you'er'sun'fu 儿孙自有儿孙福
'er'wen'bu'ru'yan'jian 耳闻不如眼见
'fan'fu'zhi'shui 反复之水
'fan'gu'he'yi 反顾何益
'fan'nao'jie'yin'qiang'chu'tou 烦恼皆因强出头
'fan'ren'bu'ke'mao'xiang 凡人不可貌相
'fan'shi'yao'hao 凡事要好
'fan'shi'yi'zhou'yang 反失一肘羊
'fan'yi'wo'wei'chou 反以我为仇
'fang'yi'ru'cheng 防意如城
'fei'qin'que'shi'qin 非亲却是亲
'feng'liu'bu'zai'zhuo'yi'duo 风流不在着衣多
'feng'liu'lang'zi'mo'jiao'pin 风流浪子莫教贫
'feng'ren'qie'shuo'san'fen'hua 逢人且说三分话
'fu'cong'sheng'he'qi 富从升合起
'fu'gui'bu'xu'jiao 富贵不须娇
'fu'gui'ding'yao'yi'ben'fen 富贵定要依本分
'fu'gui'duo'you 富贵多忧
'fu'gui'si'hua'zhi 富贵似花枝
'fu'gui'zai'tian 富贵在天
'fu'qi'xiang'he'hao 夫妻相和好
'fu'qi'yi'zhong'ye'fen'li 夫妻义重也分离
'fu'ren'si'lai'nian 富人思来年
'fu'sheng'kong'zi'mang 浮生空自忙
'fu'shui'nan'shou 覆水难收
'fu'yao'fu'de'qing'gao 富要富得清高
'fu'zai'shen'shan'you'yuan'qin 富在深山有远亲
'fu'zi'qin'er'jia'bu'tui 父子亲而家不退
'gen'shen'bu'pa'feng'yao'dong 根深不怕风摇动
'geng'you'zao'xing'ren 更有早行人
'gong'dao'shi'jian'wei'bai'fa 公道世间唯白发
'gong'hou'du'nei'hao'cheng'chuan 公侯肚内好撑船
'gu'ren'bu'jian'jin'shi'yue 古人不见今时月
'gu'xiang'ren 故乡人
'guan'cong'he'chu'lai 官从何处来
'guan'fa'ru'lu 官法如炉
'guan'jin'yi'jian'gu 观今宜鉴古
'guan'kan'rong'yan'bian'de'zhi 观看容颜便得知
'guan'qing'shu'li'shou 官清书吏瘦
'guan'you'gong'fa 官有公法
'guang'yang'si'jian 光阳似箭
'gui'ren'tou'shang'bu'ceng'rao 贵人头上不曾饶
'guo'luan'si'liang'jiang 国乱思良将
'guo'qing'cai'zi'gui 国清才子贵
'hai'shui'bu'ke'dou'liang 海水不可斗量
'hai'xian'zhu'wu'zao 还嫌猪无糟
'hai'you'tiao'jiao'han 还有挑脚汉
'hao'cao'zhi'xia'hai'you'lan'xiang 蒿草之下还有兰香
'hao'qiang'yi'ding'shou'guan'xing 豪强一定受官刑
'hao'shi'bu'chu'men 好事不出门
'hao'shi'bu'ru'wu 好事不如无
'hao'xue'zhe'ru'he'ru'dao 好学者如禾如稻
'hao'xue'zhe'ze'shu'min'zhi'zi'wei'gong'qing 好学者则庶民之子为公卿
'hao'yan'nan'de 好言难得
'he'bu'hui'tou'ba'ji'liang 何不回头把己量
'he'de'lin'li'hao 和得邻里好
'he'li'ke'zuo 合理可作
'he'xia'shui'ji 河狭水激
'he'yong'ling'shan'chao'shi'zun 何用灵山朝世尊
'hei'fa'bu'zhi'qin'xue'zao 黑发不知勤学早
'hong'fen'jia'ren'xiu'bian'lao 红粉佳人休便老
'hou'dao'wei'chen 后到为臣
'hu'duan'mo'cong'shi 护短莫从师
'hu'luo'ping'yang'bei'quan'qi 虎落平阳被犬欺
'hu'shen'you'ke'jin 虎身犹可近
'hu'sheng'hu'er 虎生虎儿
'hu'zhong'ri'yue'chang 壶中日月长
'hua'long'hua'hu'nan'hua'gu 画龙画虎难画骨
'hua'shui'wu'feng'kong'zuo'lang 画水无风空作浪
'hua'wu'bai'ri'hong 花无百日红
'huang'he'shang'you'deng'qing'ri 黄河尚有澄清日
'huang'jin'san'jin'wei'shou'shu 黄金散尽为收书
'huang'jin'wei'wei'gui 黄金未为贵
'huang'jin'wu'jia 黄金无假
'hui'ru'zhun'zhun 诲汝谆谆
'hui'shi'bu'zai'jia'hao'fu 会使不在家豪富
'hui'shuo'shuo'du'shi 会说说都市
'hun'hun'zui'dao'you 昏昏醉到酉
'huo'cong'tian'shang'luo 祸从天上落
'ji'cai'mo'ji'shi 嫉财莫嫉食
'ji'de'jiu'wen'zhang 记得旧文章
'ji'de'yu'er'sun 积德与儿孙
'ji'di'bi'zheng'xian 及第必争先
'ji'duo'bai'wu'chu'gong'qing 几多白屋出公卿
'ji'duo'fu'zeng 既堕釜甑
'ji'gu'fang'ji 积谷防饥
'ji'ji'zhi'shi'wei'jiu'suo'shang 济济之士为酒所伤
'ji'jin'qian'liang 积金千两
'ji'ming'zao'kan'tian 鸡鸣早看天
'ji'nan'he'ceng'jian'yi'ren'ren'qing'si'zhi'zhang'zhang'bao 急难何曾见一人人情似纸张张薄
'ji'qian'ji'gu'bu'ru'ji'de 积钱积谷不如积德
'ji'ren'xu'ji'ji'shi'wu 济人须济急时无
'ji'shi'bao'fo'jiao 急时报佛脚
'ji'shi'yuan'you'huo 击石原有火
'ji'yun'zeng'guang 集韵增广
'jia'duan'ran'jiu'zhen'hong'se 假缎染就真红色
'jia'fu'xiao'er'jiao 家富小儿娇
'jia'ji'jian'jian'xiao 家计渐渐消
'jia'pin'si'xian'qi 家贫思贤妻
'jia'shang'wan'er'lun'liu'zhuan 架上碗儿轮流转
'jia'wu'du'shu'zi 家无读书子
'jia'zhong'bu'he'lin'li'qi 家中不和邻里欺
'jia'zhong'you'sheng'fan 家中有剩饭
'jian'e'ru'tan'tang 见恶如探汤
'jian'guan'mo'xiang'qian 见官莫向前
'jian'shan'ru'bu'ji 见善如不及
'jian'shi'mo'shuo 见事莫说
'jian'zhe'yi 见者易
'jiang'xiang'tou'ding'kan'zou'ma 将相头顶堪走马
'jiang'xin'bi'xin 将心比心
'jie'jiao'xu'sheng'ji 结交须胜己
'jin'lai'xue'de'wu'gui'fa 近来学得乌龟法
'jin'shan'shi'niao'yin 近山识鸟音
'jin'shui'lou'tai'xian'de'yue 近水楼台先得月
'jin'shui'zhi'yu'xing 近水知鱼性
'jin'yue'ceng'jing'zhao'gu'ren 今月曾经照古人
'jin'zhao'you'jiu'jin'zhao'zui 今朝有酒今朝醉
'jing'chu'an'shen 静处安身
'jiu'bu'jie'zhen'chou 酒不解真愁
'jiu'feng'zhi'ji'yin 酒逢知己饮
'jiu'niu'ba'bu'chu 九牛拔不出
'jiu'ren'yi'ming 救人一命
'jiu'zhong'bu'yu'zhen'jun'zi 酒中不语真君子
'jiu'zhu'ling'ren'jian 久住令人贱
'ju'an'si'wei 居安思危
'ju'fa'zhao'zhao'le 惧法朝朝乐
'ju'tou'san'chi'you'shen'ming 举头三尺有神明
'jun'zi'ai'cai 君子爱财
'jun'zi'an'pin 君子安贫
'jun'zi'gu'qiong 君子固穷
'jun'zi'le'de'zuo'jun'zi 君子乐得做君子
'kan'kan'you'shi'bai'tou'weng 看看又是白头翁
'kan'ni'heng'xing'dao'ji'shi 看你横行到几时
'ke'lai'zhu'bu'gu 客来主不顾
'ke'shi'yi'di'ru'gan'lu 渴时一滴如甘露
'kong'fang'nian'lao'bu'duo'shi 恐防年老不多时
'kou'shuo'bu'ru'shen'feng 口说不如身逢
'ku'mu'feng'chun'you'zai'fa 枯木逢春犹再发
'kuai'sheng'xin'shi'guo'kong'sheng'yang 快生心事过恐生殃
'lai'ru'feng'yu 来如风雨
'lai'shuo'shi'fei'zhe 来说是非者
'lao'da'tu'shang'bei 老大徒伤悲
'li'jian'ge'ti'chuang'you'he 利剑割体疮犹合
'li'qing'ren'yi'zhong 礼轻仁义重
'li'ru'dao'ge 利如刀割
'li'ruo'xiu'fu'zhong 力弱休负重
'li'yi'sheng'yu'fu'zu 礼义生于富足
'liang'ren'yi'tiao'xin 两人一条心
'liang'tian'wan'qing 粮田万顷
'liang'yao'ku'kou'li'yu'bing 良药苦口利于病
'lin'lao'shi'kan'jing 临老始看经
'lin'li'bu'he'shuo'shi'fei 邻里不和说是非
'liu'de'wu'hu'ming'yue'zai 留得五湖明月在
'liu'shui'xia'tan'fei'you'yi 流水下滩非有意
'liu'xie'yin'de'zai'hou'tou 留些阴德在后头
'liu'yu'er'sun'ye'du'shu 留与儿孙夜读书
'liu'yu'zi'sun'geng 留与子孙耕
'long'gui'wan'dong'yun'you'shi 龙归晚洞云犹湿
'long'sheng'long'zi 龙生龙子
'long'you'qian'shui'zao'xia'xi 龙游浅水遭虾戏
'lu'bu'chan'bu'ping 路不铲不平
'lu'feng'xia'ke'xu'cheng'jian 路逢侠客须呈剑
'lu'feng'xian'chu'nan'hui'bi 路逢险处难回避
'lu'guo'chun'shan'cao'mu'xiang 鹿过春山草木香
'lu'shang'you'ji'ren 路上有饥人
'lu'yao'zhi'ma'li 路遥知马力
'ma'hang'jie'yin'shou 马行皆因瘦
'ma'niu'ru'jin'ju 马牛如襟裾
'ma'shan'bei'ren'qi 马善被人骑
'ma'shou'mao'chang 马瘦毛长
'ma'wu'ye'cao'bu'fei 马无夜草不肥
'mai'le'wu 卖了屋
'mai'tian'mai'di'bu'ru'mai'shu 买田买地不如买书
'mang'mang'si'hai'ren'wu'shu 茫茫四海人无数
'mao'ci'zhi'wu'huo'you'hou'wang 茅茨之屋或有侯王
'mei'bu'mei 美不美
'meng'meng'zuo'gong'qing 蒙蒙作公卿
'mian'de'bai'ri'zhi'you 免得百日之忧
'miao'cong'di'fa 苗从地发
'mie'que'xin'tou'huo 灭却心头火
'min'you'si'yue 民有私约
'ming'li'wu'shi'mo'qiang'qiu 命里无时莫强求
'ming'li'you'shi'zhong'xu'you 命里有时终须有
'ming'ri'chou'lai'ming'ri'you 明日愁来明日忧
'ming'zhi'shan'you'hu 明知山有虎
'mo'ba'wu'shi'dang'you'shi 莫把无时当有时
'mo'ba'zhen'xin'kong'ji'jiao 莫把真心空计较
'mo'dai'shi'fei'lai'ru'er 莫待是非来入耳
'mo'dao'hen'bu'li 磨刀恨不利
'mo'dao'jun'xing'zao 莫道君行早
'mo'jiang'rong'yi'de 莫将容易得
'mo'lian'qian'tan'tou 莫恋浅滩头
'mo'ma'you'shi'qi 莫骂酉时妻
'mo'tian'yi'kou 莫添一口
'mo'wei'er'sun'zuo'ma'niu 莫为儿孙作马牛
'mo'wen'qian'cheng 莫问前程
'mo'xian'ta'ren'fu 莫羡他人富
'mo'xiang'hu'shan'xing 莫向虎山行
'mo'xiao'ta'ren'lao 莫笑他人老
'mo'xin'zhi'zhong'zhi 莫信直中直
'mo'yin'mao'shi'jiu 莫饮卯时酒
'mo'yuan'tai'yang'qing 莫怨太阳倾
'mo'yuan'tian'lai'mo'yuan'ren 莫怨天来莫怨人
'mo'yuan'zi'ji'qiong 莫怨自己穷
'mu'dan'hua'hao'kong'ru'mu 牡丹花好空入目
'na'ge'nan'er'shi'zhang'fu'mei'jiu'niang'cheng'yuan'hao'ke 哪个男儿是丈夫美酒酿成缘好客
'na'ge'ren'qian'bu'shuo'ren 那个人前不说人
'na'you'xiang'da'de'tai'ping 那有相打得太平
'na'zhi'yi'li 钠之以礼
'nai'wu'xing 奈五行
'nao'li'you'qian 闹里有钱
'ni'tian'zhe'wang 逆天者亡
'nian'nian'fang'ji 年年防饥
'nian'nian'you'ru'lin'di'ri 念念有如临敌日
'niao'wei'shi'wang 鸟为食亡
'ning'ke'ren'fu'wo 宁可人负我
'ning'ke'xin'qi'you 宁可信其有
'ning'ke'zheng'er'bu'zu 宁可正而不足
'ning'ke'zhi'zhong'qu 宁可直中取
'ning'tian'yi'dou 宁添一斗
'pin'han'xiu'yao'yuan 贫寒休要怨
'pin'ju'nao'shi'wu'ren'wen 贫居闹市无人问
'pin'lai'qin'ye'shu 频来亲也疏
'pin'qiong'bu'yong'zai'si'liang 贫穷不用再思量
'pin'qiong'zi'zai 贫穷自在
'pin'wu'da'shi'jiang'jin'zeng 贫无达士将金赠
'pin'yin'bu'suan'lai 贫因不算来
'ping'sheng'mo'zuo'zhou'mei'shi 平生莫作皱眉事
'ping'sheng'zhi'hui'shuo'ren'duan 平生只会说人短
'qi'gong'ri'ri'you 欺公日日忧
'qi'ke'jiao'ren'wang'du'chun 岂可教人枉度春
'qi'ke'ren'wu'de'yun'shi'de'chong'si'ru 岂可人无得运时得宠思辱
'qi'lao'mo'qi'shao 欺老莫欺少
'qi'ren'shi'huo 欺人是祸
'qi'shao'xin'bu'ming 欺少心不明
'qi'xian'fu'huo'shao 妻贤夫祸少
'qi'zhi'huang'que'zai'hou 岂知黄雀在后
'qian'cai'ru'fen'tu 钱财如粪土
'qian'cheng'an'si'qi 前程暗似漆
'qian'jin'bu'yi 千金不移
'qian'jing'wan'dian 千经万典
'qian'li'song'hao'mao 千里送毫毛
'qian'ren'chuan'shi 千人传实
'qiang'you'feng 墙有缝
'qiang'zhong'geng'you'qiang'zhong'shou 强中更有强中手
'qie'mo'wo'fu'ren 切莫我负人
'qin'bu'qin 亲不亲
'qin'jian'liang'man'cang 勤俭粮满仓
'qin'se'yu'sheng'huang 琴瑟与笙簧
'qin'shou'zhi'tu 禽兽之徒
'qing'li'nan'rong 情理难容
'qing'qing'zhi'shui'wei'tu'suo'fang 请请之水为土所防
'qing'tian'bu'ken'qu 晴天不肯去
'qiong'ren'si'yan'qian 穷人思眼前
'qiong'yao'qiong'dei'gan'jing 穷要穷得干净
'qiu'cai'hen'bu'duo 求财恨不多
'qiu'ren'bu'ru'qiu'ji 求人不如求己
'qiu'ren'xu'qiu'da'zhang'fu 求人须求大丈夫
'qiu'zhi'man'shan'duo'xiu'se 秋至满山多秀色
'qu'shi'zhong'xu'qu 去时终须去
'qu'si'wei'chen 去似微尘
'qu'zhi'you'dao 取之有道
'quan'jun'mo'jiang'you'chao'cai 劝君莫将油抄菜
'quan'ren'jia'wu 劝人架屋
'quan'ren'mo'zuo 劝人莫作
'quan'ren'yang'e 劝人养鹅
'rao'ren'bu'shi'chi'han 饶人不是痴汉
'rao'ren'shi'fu 饶人是福
'rao'ren'suan'zhi'ben 饶人算之本
'rao'yi'zhao 饶一着
'ren'bu'feng'liu'zhi'wei'pin 人不风流只为贫
'ren'bu'quan'bu'shan 人不劝不善
'ren'bu'tong'gu'jin 人不通古今
'ren'dao'gong'men'zheng'hao'xiu 人到公门正好修
'ren'dao'zhong'nian'wan'shi'xiu 人到中年万事休
'ren'de'yi'shi'zhi'qi 忍得一时之气
'ren'du'bu'kan'qin 人毒不堪亲
'ren'e'ren'pa'tian'bu'pa 人恶人怕天不怕
'ren'er'wu'xin 人而无信
'ren'ji'ji'sheng 人急计生
'ren'jian'bai'tou'tian 人见白头填
'ren'jian'si'yu 人间私语
'ren'lao'xin'bu'lao 人老心不老
'ren'pin'bu'yu 人贫不语
'ren'qian'mo'dao'chun'guang'hao 人前莫道春光好
'ren'qin'cai'bu'qin 人亲财不亲
'ren'qing'si'shui'fen'gao'xia 人情似水分高下
'ren'qiong'zhi'bu'qiong 人穷志不穷
'ren'qiong'zhi'duan 人穷志短
'ren'shan'bei'ren'qi 人善被人欺
'ren'shan'ren'qi'tian'bu'qi 人善人欺天不欺
'ren'sheng'bu'man'bai 人生不满百
'ren'sheng'qi'shi'gu'lai'xi 人生七十古来稀
'ren'sheng'si'niao'tong'lin'su 人生似鸟同林宿
'ren'sheng'yi'shi 人生一世
'ren'sheng'zhi'zu'he'shi'zu 人生知足何时足
'ren'tai'cha'ze'wu'mou 人太察则无谋
'ren'wei'cai'si 人为财死
'ren'wu'heng'cai'bu'fu 人无横财不富
'ren'wu'liang'du'zai'shao'nian 人无两度再少年
'ren'wu'qian'ri'hao 人无千日好
'ren'wu'yuan'lv 人无远虑
'ren'xin'bi'tian'gao 人心比天高
'ren'xin'si'tie 人心似铁
'ren'xin'you'wei'zu 人心犹未足
'ren'yi'ju 忍一句
'ren'yi'zhi'qian'jin 仁义值千金
'ren'you'shan'yuan 人有善愿
'ren'zai'jia'zhong'zuo 人在家中坐
'ri'shi'san'sheng 日食三升
'ri'yue'ru'suo 日月如梭
'ri'zi'wei'dao 日子未倒
'ru'ju'guo'xi 如驹过隙
'ru'men'xiu'wen'rong'ku'shi 入门休问荣枯事
'ru'shan'bu'pa'shang'ren'hu 入山不怕伤人虎
'ru'wei'xi'shang'zhen 儒为席上珍
'ruo'deng'gao'bi'zi'bei 若登高必自卑
'ruo'she'yuan'bi'zi'er 若涉远必自迩
'ruo'yao'duan'jiu'fa 若要断酒法
'ruo'yao'shi'fen'dou'shi'jin 若要十分都使尽
'ruo'zheng'xiao'ke 若争小可
'san'bei'tong'da'dao 三杯通大道
'san'ren'xing'bi'you'wo'shi'yan 三人行必有我师焉
'san'shi'bu'hao 三十不豪
'san'si'er'xing 三思而行
'seng'yuan'dao'fang'zhong'bu'ru 僧院道房终不如
'sha'ren'ke'shu 杀人可恕
'sha'ren'yi'wan 杀人一万
'shan'bi'shou'kao 善必寿考
'shan'e'dao'tou'zhong'you'bao 善恶到头终有报
'shan'e'sui'ren'zuo 善恶随人作
'shan'gao'bu'suan'gao 山高不算高
'shan'hua'bu'zu 善话不足
'shan'shi'ke'zuo 善事可做
'shan'you'shan'bao 善有善报
'shan'zhong'ye'you'qian'nian'shu 山中也有千年树
'shan'zhong'you'zhi'shu 山中有直树
'shang'ren'yi'yu 伤人一语
'shao'zhuang'bu'nu'li 少壮不努力
'she'qu'wu'jian'bu'qu'qian 赊去物件不取钱
'shen'ling'miao'zhu'fei 神灵庙祝肥
'shen'mu'ru'dian 神木如电
'shen'qin'gui'fu'ren'ge'you'xin 神钦鬼服人各有心
'shen'shan'bi'jing'cang'meng'hu 深山毕竟藏猛虎
'sheng'bu'ren'hun 生不认魂
'sheng'du'shi'nian'shu 胜读十年书
'sheng'xian'yan'yu 圣贤言语
'sheng'zao'qi'ji'fu'tu 胜造七级浮屠
'shi'bu'wei'bu'cheng 事不为不成
'shi'dao'tou'lai'bu'zi'you 事到头来不自由
'shi'fei'zhi'wei'duo'kai'kou 是非只为多开口
'shi'fei'zhong'ri'you 是非终日有
'shi'fen'ling'li'shi'qi'fen 十分伶俐使七分
'shi'guo'xin'qing'liang 事过心清凉
'shi'jian'hao'yu'shu'shuo'jin 世间好语书说尽
'shi'jian'wu'shui'bu'chao'dong 世间无水不朝东
'shi'jiu'jian'ren'xin 事久见人心
'shi'kou'bu'ru'zi'zou 使口不如自走
'shi'lai'feng'song'teng'wang'ge 时来风送滕王阁
'shi'lai'tie'si'jin 时来铁似金
'shi'nian'shen'dao'feng'huang'chi 十年身到凤凰池
'shi'qin'bu'shi'qin 是亲不是亲
'shi'que'ban'nian'liang 失却半年粮
'shi'ren'duo'chu'shi'fei'duo 识人多处是非多
'shi'shang'nan'feng'bai'sui'ren 世上难逢百岁人
'shi'shang'ruo'yao'ren'qing'hao 世上若要人情好
'shi'shang'wu'zhi'ren 世上无直人
'shi'shang'xin'ren'gan'jiu'ren 世上新人赶旧人
'shi'shang'ying'wu'qie'chi'ren 世上应无切齿人
'shi'shang'zui'nan'de'zhe'xiong'di 世上最难得着兄弟
'shi'shi'ming'ru'jing 世事明如镜
'shi'shi'ru'qi'ju'ju'xin 世事如棋局局新
'shi'shi'ru'yun'ren'juan'shu 世事如云任卷舒
'shi'xiang'hui'ren'yin 诗向会人吟
'shi'zai'han'chuang'wu'ren'wen 十载寒窗无人问
'shi'zhe'guo'zhi'bao 士者国之宝
'shi'zhi'qian'li 失之千里
'shou'en'shen'chu'yi'xian'tui 受恩深处宜先退
'shou'kou'ru'ping 守口如瓶
'shou'zhi'shi'nan 收之实难
'shu'er'bu'lou 疏而不漏
'shu'lan'ren'mei'chi 疏懒人没吃
'shu'ren'suan'zhi'ji 输人算之机
'shu'ren'zhi'xin'shu'ren 恕人之心恕人
'shu'tang'yin'xiang'ru 书堂隐相儒
'shu'you'zhi'fen 树由枝分
'shu'zheng'he'chou'yue'ying'xie 树正何愁月影斜
'shu'zhong'zi'you'qian'zhong'su 书中自有千钟粟
'shu'zhong'zi'you'yan'ru'yu 书中自有颜如玉
'shuang'kou'shi'duo'pian'zuo'bing 爽口食多偏作病
'shui'ping'bu'liu 水平不流
'shui'ren'bei'hou'wu'ren'shuo 谁人背后无人说
'shui'ren'bu'ai'qian'zhong'su 谁人不爱千钟粟
'shui'ren'bu'ai'zi'sun'xian 谁人不爱子孙贤
'shui'tai'qing'ze'wu'yu 水太清则无鱼
'shui'zhi'dong'liu'hai'yang'shen 谁知东流海样深
'shun'tian'zhe'cun 顺天者存
'si'bu'ren'shi 死不认尸
'si'ma'nan'zhui 驷马难追
'si'sheng'you'ming 死生有命
'si'shi'bu'fu 四十不富
'si'wo'bu'ru'wu 似我不如无
'song'jun'qian'li 送君千里
'sui'fen'geng'chu'shou'di'li 随分耕锄收地利
'sun'yin'luo'tuo'fang'cheng'zhu 笋因落箨方成竹
'ta'ren'bu'zhi'mang 他人不知忙
'ta'shi'bao'nuan'xie'cang'tian 他时饱暖谢苍天
'tan'ta'yi'dou'mi 贪他一斗米
'tang'lang'bu'chan 螳螂捕蝉
