'an'za 安匝
'dian'jie'zhi 电介质
'dian'kang'qi 电抗器
'dian'kuai 垫块
'dian'lu'bian'ya'qi 电炉变压器
'dian'mi 电密
'dian'qiao 电桥
'dian'quan 垫圈
'dian'tiao 垫条
'dian'wei'yi 电位移
'dian'ya'bian'hua'lv 电压变化率
'dian'ya'tiao'zheng'lv 电压调整率
'diao'ju 吊具
'diao'liang 吊梁
'diao'pan 吊攀
'diao'zhao 吊罩
'die'fa 蝶阀
'die'huang 碟簧
'die'ji 叠积
'die'pian 叠片
'die'tie 叠铁
'ding'chi 定尺
'ding'wei'ban 定位板
'ding'wei'ding 定位钉
'ding'wei'kong 定位孔
'ding'wei'xiao 定位销
'dong'bei'dian'wang 东北电网
'duan'bu 端部
'duan'liu'fa 断流阀
'duan'liu'qi 断流器
'duan'lu'qi 断路器
'duan'quan 端圈
'duan'zi 端子
'duan'zi'xiang 端子箱
'dui'han 对焊
'dui'jiao 对角
'dui'jie 对接
'dui'zheng 对正
'e'ding'dian'liu 额定电流
'e'ding'dian'ya 额定电压
'e'ding'rong'liang 额定容量
'er'ci'ce 二次侧
'fa'ce 阀侧
'fa'lan 法兰
'fa'lan'pan 法兰盘
'fa'ting 阀厅
'fa'yun 发运
'fan'bing 反饼
'fan'jue'huan 反角环
'fang'dian'dian 放电点
'fang'yu'zhao 防雨罩
'fang'zhou 方轴
'fen'ban 分瓣
'fen'jie'kai'guan 分接开关
'fen'jie'xian 分接线
'fen'jie'yin'xian 分接引线
'fen'quan 酚醛
'feng'leng 风冷
'feng'you 封油
'feng'you'ban 封油板
'feng'you'huan 封油环
'fu'ban 腹板
'fu'ping'mian 复平面
'fu'xiang 辐向
'fu'zai'sun'hao 负载损耗
'gai'ban 盖板
'gai'ban'tu 改版图
'gan'shi 干式
'gao'pin'han 高频焊
'gao'wang'luo'dai 高网络带
'gao'ya'rao'zu 高压绕组
'gao'ya'xian'quan 高压线圈
'gao'zhen'kong 高真空
'ge'lan'jie'tou 葛兰接头
'ge'li'bian'ya'qi 隔离变压器
'ge'wei 鸽尾
'ge'zhou'ba 葛洲坝
'gong'dian'suo 供电所
'gong'ding 拱顶
'gong'ding'shi 拱顶式
'gong'zuo'liu 工作流
'guan'jian'gong'xu 关键工序
'gui'gang'pian 硅钢片
'gui'na'fa 归纳法
'gun'zhuan'tai 滚转台
'guo'dian'ya 过电压
'guo'jia'dian'wang 国家电网
'han'feng 焊缝
'han'jie'jian 焊接件
'he'chi 盒尺
'heng'bian 衡变
'heng'jian 横剪
'heng'ya 恒压
'hu'gan'qi 互感器
'hu'xi'qi 呼吸器
'hua'bei'dian'wang 华北电网
'hua'pan 花盘
'hua'peng 华鹏
'hua'zhong'dian'wang 华中电网
'huan'liu 换流
'huan'liu 环流
'huan'liu'bian 换流变
'huan'liu'bian'ya'qi 换流变压器
'huan'liu'zhan 换流站
'huan'wei 换位
'huan'wei'dao'xian 换位导线
'huan'yang 环氧
'huan'yang'bo'li'bu'ban 环氧玻璃布板
'hui'da'you 回打油
'hui'kong'xiang 汇控箱
'hui'liu'guan 汇流管
'ji'fu'xiao'ying 集肤效应
'ji'qi'he 集气盒
'ji'xie'hun'he'wu 机械混合物
'ji'xing'fan'zhuan 极性反转
'ji'zuo'biao 极坐标
'jia'bao 加包
'jia'jian 夹件
'jia'jin'liang 夹紧梁
'jia'qiang'ban 加强板
'jia'qiang'tie 加强铁
'jia'tie'xin 假铁心
'jian'jiao'fang'dian 尖角放电
'jian'ju'huan 间距环
'jian'kai'xian 渐开线
'jian'xi'huan 间隙环
'jiao'gang 角钢
'jiao'huan 角环
'jiao'mu'luo'gan 胶木螺杆
'jie'dian 结点
'jie'dian'chang'shu 介电常数
'jie'jing'du 洁净度
'jie'jing'zhi 洁净纸
'jie'xian'ban 接线板
'jie'xian'duan'zi 接线端子
'jie'xian'pian 接线片
'jin'bao'dai 紧包带
'jin'you 浸油
'jing'dian'ban 静电板
'jing'dian'huan 静电环
'jing'xiang 径向
'jiu'jie'shi 纠结式
'ju'bu'fang'dian 局部放电
'ju'fang 局放
'ju'lv'lian'ben 聚氯联苯
'ju'xian'fang'an 聚酰芳胺
'juan'liao 卷料
'juan'tie'xin 卷铁心
'jue'yuan'huan 绝缘环
'jue'yuan'qi 绝缘漆
'jue'yuan'tong 绝缘筒
'jue'yuan'zhi 绝缘纸
'jue'yuan'zhi'tong 绝缘纸筒
'jue'yuan'zi 绝缘子
'jun'ya'qiu 均压球
'ka'chi 卡尺
'kai'guan'chuan'dong'zhou 开关传动轴
'ke'shi 壳式
'ke'tiao'shi'rao'xian'mu 可调式绕线模
'kong'zai'dian'liu 空载电流
'kong'zai'sun'hao 空载损耗
'kong'zhi'xiang 控制箱
'kuang'jian 框间
'la'ban 拉板
'la'dai 拉带
'la'pu'la'si'bian'huan 拉普拉斯变换
'la'shi'bian'huan 拉氏变换
'lei'dian'chong'ji 雷电冲击
'leng'que'qi 冷却器
'li'rao 立绕
'lian'guan 联管
'lian'jie'zu 联接组
'lian'luo'dan 联络单
'lian'xu'shi 连续式
'lin'tong'han 磷铜焊
'lin'you 淋油
'ling'xu 零序
'ling'xu'zu'kang 零序阻抗
'liu'fu'hua'liu 六氟化硫
'lou'ci 漏磁
'lou'ci'chang 漏磁场
'lu'chang'bai 路长柏
'luo'ci'beng 罗茨泵
'luo'shi'xi'shu 洛氏系数
'luo'xian 裸线
'luo'xuan'shi 螺旋式
'luo'zhu 螺柱
'lv'bo 铝箔
'lv'ping'bi 铝屏蔽
'lv'you 滤油
'lv'you'ji 滤油机
'mai'hu'han 埋弧焊
'mai'ke'si'wei'fang'cheng 麦克斯韦方程
'mai'shi'ji 麦式计
'mai'tou 麦头
'mao'jie 铆接
'mi'feng'huan 密封环
'mian'qi 面漆
'ming'pai 铭牌
'mo'ni'fa 模拟法
'mo'tou 末头
'mo'xian 墨线
'mu'chui 木锤
'nan'fang'dian'wang 南方电网
'ni'zhi'fa 逆止阀
'niu'jiao'dian'kuai 牛角垫块
'pa'dian 爬电
'pan'huang 盘簧
'pang'e 旁轭
'pang'e'ping'bi 旁轭屏蔽
'pang'zhu 旁柱
'pei'dian'zhan 配电站
'pei'jian 配剪
'pi'la'ni 皮拉尼
'ping'bi'qiang 屏蔽墙
'ping'bi'tong 屏蔽筒
'ping'bi'zhao 屏蔽罩
'ping'dian'quan 平垫圈
'ping'ding'shi 平顶式
'po'zhen'kong 破真空
'pou'fen 剖分
'qi'bao'xian 漆包线
'qi'shen 器身
'qi'ti'bao'hu'han 气体保护焊
'qi'ti'ji'dian'qi 气体继电器
'qi'xi 气隙
'qi'xiang'gan'zao 气相干燥
'qia'ju 卡具
'qian'jiang 钱江
'qian'jin'ding 千斤顶
'qiang'you 强油
'qiang'you'kong 强油孔
'qiao'ge'xian 乔格线
'qin'shan 秦山
'qing'bo 青波
'qiu'fa 球阀
'qiu'ji 球极
'qu'mian'dian'quan 曲面垫圈
'quan'tie'xin 圈铁心
'rao'xian 绕线
'rao'xian'ji 绕线机
'rao'xian'mu 绕线模
'rao'xiang 绕向
'rao'zu'wen'du'ji 绕组温度计
're'dian 热点
're'dian'ou 热电偶
're'nian'he'dai 热粘合带
're'suo'guan 热缩管
're'you'xun'huan 热油循环
'ren'kong 人孔
'ru'lu 入炉
'ruan'lian'jie 软连接
'san'chi'lun'he 伞齿轮盒
'san're'qi 散热器
'san'tu 散图
'san'xia'ji'zu 三峡机组
'san'xiang 三相
'san'xing 伞形
'sha'dai'ji 砂带机
'shan'dian 闪点
'shan'xing'ban 扇形板
'shang'jia'jian 上夹件
'shen'bian 沈变
'shen'yang'bian'ya'qi'yan'jiu'yuan 沈阳变压器研究院
'sheng'ceng'shi 升层式
'sheng'gao'zuo 升高座
'shi'liang 矢量
'shi'lou 试漏
'shi'pei 适配
'shi'zhuang 试装
'shou'suo'dai 收缩带
'shou'tou 首头
'shui'leng 水冷
'shun'te 顺特
'su'dong'you'ya'ji'dian'qi 速动油压继电器
'tan'jing'zhi 碳精纸
'tang'xi 搪锡
'tao'bao 套包
'tao'han 套焊
'te'bian 特变
'te'bian'dian'gong 特变电工
'ti'che 梯车
'ti'xing'ding 梯形顶
'tian'che 天车
'tian'chong'wu 填充物
'tian'wei 天威
'tian'wei'bao'bian 天威保变
'tiao'ya 调压
'tie'ci 铁磁
'tie'e 铁轭
'tie'e'jue'yuan 铁轭绝缘
'tie'hao 铁耗
'tie'xin 铁心
'tie'xin'die'pian 铁心叠片
'tong'ban 铜板
'tong'bang 铜棒
'tong'bao 筒包
'tong'bao 统包
'tong'bo 铜箔
'tong'dai 铜带
'tong'han 铜焊
'tong'hao 铜耗
'tong'ming'duan 同名端
'tong'shi 桶式
'tong'wang 铜网
'tong'yong'jian 通用件
'tu'hao 图号
'tu'jie'fa 图解法
'tuo'ban 托板
'wa'leng'zhi'ban 瓦楞纸板
'wan'tou 弯头
'wang'bao'xian 网包线
'wang'ce 网侧
'wang'ce'yin'xian 网侧引线
'wei'de'man 韦德曼
'wei'de'man 魏德曼
'wei'ping 围屏
'wei'tuo'dan 委托单
'wen'sheng 温升
'wo'rao 卧绕
'wu'zai 无载
'xi'an'xi'dian 西安西电
'xi'bei'dian'wang 西北电网
'xi'bian 西变
'xi'gang'pian 矽钢片
'xi'men'zi 西门子
'xi'shi'qi 吸湿器
'xia'jia'jian 下夹件
'xia'xiang 下箱
'xian'bing 线饼
'xian'gui 线规
'xian'zhui 线坠
'xiang'gai 箱盖
'xiang'hao 项号
'xiang'jiao'cha 相角差
'xiang'liang'tu 相量图
'xiang'pi 箱皮
'xiang'wei'cha 相位差
'xiang'xian 相线
'xiang'xiang 相向
'xiang'yan 箱沿
'xiao'bian 小辫
'xiao'ding 销钉
'xiao'e 小轭
'xiao'hu 消弧
'xiao'hu'xian'quan 消弧线圈
'xiao'lang'di 小浪底
'xie'kou 卸扣
'xie'yu'cheng 谢毓城
'xin'neng'yuan 新能源
'xin'shi 芯式
'xin'shi'bian'ya'qi 心式变压器
'xin'zhu 心柱
'xin'zhu 芯柱
'ya'ban 压板
'ya'bao 压包
'ya'ding 压钉
'ya'hu'han 氩弧焊
'ya'jie'jie'tou 压接接头
'ya'jin'zhuang'zhi 压紧装置
'ya'li'shi'fang'fa 压力释放阀
'ya'li'shi'fang'qi 压力释放器
'ya'qiang'biao 压强表
'ya'zhuang 压装
'yan'mian'fang'dian 沿面放电
'yan'wei 燕尾
'yao'biao 摇表
'yi'ci'ce 一次侧
'yin'ke'ning 尹克宁
'yin'xian'jia 引线夹
'yong'liu 涌流
'you'dao 油道
'you'jin'shi 油浸式
'you'li'tan 游离炭
'you'mian'wen'du'ji 油面温度计
'you'rao'xiang 右绕向
'you'wei'ji 油位计
'you'xi 油隙
'you'xi'tong 油系统
'you'xian'yuan 有限元
'you'xian'yuan'fa 有限元法
'you'ya 油压
'you'ya'sheng'jiang'tai 油压升降台
'you'zai 有载
'you'zai'kai'guan 有载开关
'you'zhen 油枕
'yu'du 裕度
'yuan'tong'shi 圆筒式
'za'jue'yuan 匝绝缘
'za'san 杂散
'zeng'ya'beng 增压泵
'zha'fa 闸阀
'zhang'yi'ti 张宜倜
'zhen'kong'gan'zao 真空干燥
'zhen'kong'ji 真空计
'zhen'liu 镇流
'zheng'bing 正饼
'zheng'jiao'huan 正角环
'zheng'tao 整套
'zheng'ti'tao'zhuang 整体套装
'zhi'ban 纸板
'zhi'ban 肢板
'zhi'bao 纸包
'zhi'cao 纸槽
'zhi'quan 纸圈
'zhi'tong 纸筒
'zhi'tui'dian'quan 止退垫圈
'zhong'ya'rao'zu 中压绕组
'zhong'ya'xian'quan 中压线圈
'zhong'zhao'shi 钟罩式
'zhou'gao 轴高
'zhou'wen'zhi 皱纹纸
'zhou'xiang 轴向
'zhu'bian 主变
'zhu'ji 主极
'zhu'ji'tie 主极铁
'zhu'jue'yuan 主绝缘
'zhu'ying'hao 朱英浩
'zhu'you 注油
'zhuang'cheng 装成
'zhui'xiao 锥销
'zi'leng 自冷
'zi'ou 自耦
'zong'jian 纵剪
'zong'jue'yuan 纵绝缘
'zong'zhuang'pei 总装配
'zu'bo 阻波
'zu'he'dao'xian 组合导线
'zu'kang'dian'ya 阻抗电压
'zu'kang'pi'pei 阻抗匹配
'zu'shi'bian'ya'qi 组式变压器
'zui'da'si'ran'fa 最大似然法
'zuo'rao'xiang 左绕向
