'ai'shang'ceng'lou 爱上层楼
'bo'yu'shou'han 薄雨收寒
'bu'ba'diao'an'suo 不把雕鞍锁
'bu'bei'qiu'xiao'meng'jue 布被秋宵梦觉
'bu'ci'bian'chang'yang'chun 不辞遍唱阳春
'bu'ci'jing'li'zhu'yan'shou 不辞镜里朱颜瘦
'bu'dao'chun'jiang'mu 不道春将暮
'bu'dao'jiang'nan 不到江南
'bu'dao'zhong'yuan'gui'si'zhuan'qi'liang 不道中原归思转凄凉
'bu'fang'gao'wo 不妨高卧
'bu'fu'xin'qin 不负辛勤
'bu'guan'hua'kai 不管花开
'bu'guan'qing'han'yu'pan'zhai 不管清寒与攀摘
'bu'guan'xin 不关心
'bu'guan'ying'ying 不管盈盈
'bu'guo'dong'gang 步过东冈
'bu'hen'ci'hua'fei'jin 不恨此花飞尽
'bu'hen'gu'ren'wu'bu'jian 不恨古人吾不见
'bu'hui'de'qing'qing'ru'ci 不会得青青如此
'bu'ji'gui'qi'zao 不记归期早
'bu'jian'lai'shi'shi'deng'chu 不见来时试灯处
'bu'jian'nan'shi'jiu 不见南师久
'bu'jian'qu'nian'ren 不见去年人
'bu'jian'xi'fei'yan 不见西飞雁
'bu'jie'shang'chun 不解伤春
'bu'jin'chang'jiang'gun'gun'liu 不尽长江滚滚流
'bu'juan'zhu'lian 不卷珠帘
'bu'jue'xin'liang'si'shui 不觉新凉似水
'bu'kan'hui'shou 不堪回首
'bu'kan'kan 不堪看
'bu'kan'ting'ji'guan'fan'xian 不堪听急管繁弦
'bu'ken'hua'tang'zhu'hu 不肯画堂朱户
'bu'lian'dan'qin'zai'san'qi 不恋单衾再三起
'bu'lian'nong'li'ban'ren'gui 步莲秾李伴人归
'bu'neng'xiu 不能羞
'bu'pa'feng'hua'shou 不怕逢花瘦
'bu'qing'chang'ying 不请长缨
'bu'ren'deng'gao'lin'yuan 不忍登高临远
'bu'ri'si'fang'lai'he 不日四方来贺
'bu'ru'lian'qu'yan'qian'ren 不如怜取眼前人
'bu'ru'sui'fen'zun'qian'zui 不如随分尊前醉
'bu'ru'tao'xing 不如桃杏
'bu'ru'xiang 不如向
'bu'ru'xiu'qu 不如休去
'bu'sheng'bei 不胜悲
'bu'shi'ai'feng'chen 不是爱风尘
'bu'shi'bei'qiu 不是悲秋
'bu'shi'cheng'zhai'wu'yue 不是诚斋无月
'bu'shi'ge'sheng 不是歌声
'bu'shi'jiu'sha'ou 不是旧沙鸥
'bu'shi'wei'cheng'xi'qu'ke 不是渭城西去客
'bu'shi'yang'hua 不是杨花
'bu'shu'cong 簿书丛
'bu'si'liang 不思量
'bu'sui'fang'cao'chong'sheng 不随芳草重生
'bu'ting'qing'ge'ye'lei'chui 不听清歌也泪垂
'bu'wei'zhu'chun'dan'lian 不为朱唇丹脸
'bu'xu'xie'jiu'deng'lin 不须携酒登临
'bu'ying'you'hen 不应有恨
'bu'yu'han'pin'shen'pu'li 不语含颦深浦里
'bu'zai'nong'fang 不在浓芳
'bu'zhi'chun'zai'shui'jia 不知春在谁家
'bu'zhi'duo'shao'qiu'sheng 不知多少秋声
'bu'zhi'hun'yi'duan 不知魂已断
'bu'zhi'jin'xi'he'xi 不知今夕何夕
'bu'zhi'lai'sui'mu'dan'shi 不知来岁牡丹时
'bu'zhi'tian'shang'gong'que 不知天上宫阙
'bu'zuo'qian'hua'yu 不作铅华御
'cai'bi'xin'ti'duan'chang'ju 彩笔新题断肠句
'cai'de'chui'xu'shen'jian'wen 才得吹嘘身渐稳
'cai'guo'ji'nian 才过笄年
'cai'guo'qing'ming 才过清明
'cai'hua'huang 菜花黄
'cai'jian'bing'xiao 裁剪冰绡
'cai'shan'diao'shui'mei'er'xian 采山钓水美而鲜
'cai'shen'cang'wu'yao'tian 蔡伸苍梧谣天
'cai'shi'song'chun'gui 才始送春归
'cai'xia'mei'tou 才下眉头
'cai'xiang'jing'li'chun'han 采香径里春寒
'cai'xiang'jing'li'feng'ying 采香径里逢迎
'cai'xiu'yin'qin'peng'yu'zhong 彩袖殷勤捧玉钟
'cai'zan'you'zhong'shu 才簪又重数
'cai'zhou'yun'dan 彩舟云淡
'cai'zi'ci'ren 才子词人
'can'ba'gong'cheng 残霸宫城
'can'bei'leng'zhi'man'xiao'hun 残杯冷炙漫销魂
'can'deng'gu'zhen'meng 残灯孤枕梦
'can'gang'wu'mei 残釭无寐
'can'han'zheng'qi'bing'jiu 残寒正欺病酒
'can'hua'zhong'jiu 残花中酒
'can'li'huai 惨离怀
'can'liu'cen'ci'wu 残柳参差舞
'can'lv'chou'hong 惨绿愁红
'can'ri'xia'yu'ren'ming'lang'gui'qu 残日下渔人鸣榔归去
'can'xue'ting'yin 残雪庭阴
'can'yue'chu'men'shi 残月出门时
'can'yue'lian'bian'ming 残月脸边明
'can'zhao'dang'lou 残照当楼
'can'zhao'dang'men 残照当门
'cao'cao'xing'wang'xiu'wen 草草兴亡休问
'cao'lian'kong 草连空
'cao'liu 曹刘
'cao'se'tian'ya 草色天涯
'cao'se'yan'guang'can'zhao'li 草色烟光残照里
'cao'xi'zheng'liao 草檄征辽
'cao'xun'feng'nuan'yao'zheng'pei 草薰风暖摇征辔
'cao'xun'yin'ma'ge'bian'tou'chun'wei'dao 曹勋饮马歌边头春未到
'cao'zu'mo'shan'xi'xi'zhuang'zhen'tai 曹组蓦山溪洗妆真态
'cao'zu'qing'yu'wan'bi'shan'jin'shu'ming'qiu'ji 曹组青玉案碧山锦树明秋霁
'cen'ci'shi'wan'ren'jia 参差十万人家
'ceng'chi'dao'tong'zai 曾驰道同载
'ceng'ji'de 曾记得
'ceng'jiao'feng'yue 曾教风月
'ceng'lou'gao'zhi 层楼高峙
'ceng'pi'gei'yu'zhi'feng'quan 曾批给雨支风券
'ceng'qing'ying'xi'yue 曾请缨系粤
'ceng'ru'zong'ye'jia'yu 曾入宗爷驾驭
'ceng'shi'heng'e'zhen'ti'tai 曾识姮娥真体态
'ceng'shi'qi'tun'can'lu 曾是气吞残虏
'ceng'xing'chu'lv'du'qing'qun 曾行处绿妒轻裙
'ceng'zhao'cai'yun'gui 曾照彩云归
'cha'chi'yu'zhu 差池欲住
'chang'an'yuan 长安远
'chang'ba'gui'lai'jiu'wei'xiao 唱罢归来酒未消
'chang'bie'hou'hua'biao 怅别后华表
'chang'bo'du'pan 长波妒盼
'chang'cha'mei'hua'zui 常插梅花醉
'chang'di'yi'sheng'he'chu 长笛一声何处
'chang'duan'bai'pin'zhou 肠断白蘋洲
'chang'feng'ju'zhao'jue'chuan'xing 长风举棹觉船行
'chang'geng'guang'nu 长庚光怒
'chang'gou'liu'yue'qu'wu'sheng 长沟流月去无声
'chang'he'yin'ma 长河饮马
'chang'hen'ci'shen'fei'wo'you 长恨此身非我有
'chang'hen'shi'ren'xin'yi'shao 常恨世人新意少
'chang'huai'wang'duan 长淮望断
'chang'ji'ceng'xie'shou'chu 长记曾携手处
'chang'ji'qiu'qing'wang 长记秋晴望
'chang'ji'wu'sui'che 长记误随车
'chang'ji'xi'ting'ri'mu 常记溪亭日暮
'chang'ji'xiao'zhuang'cai'le 长记小妆才了
'chang'jin'zun'qian 长近尊前
'chang'kong'an'dan'lian'fang'cao 长空黯淡连芳草
'chang'kong'wan'li 长空万里
'chang'men'shi 长门事
'chang'nan'wang'cui'bao'ni'jing 常南望翠葆霓旌
'chang'ping'sheng'jiao'you'ling'luo 怅平生交游零落
'chang'qiu'feng'lian'ying'hua'jiao 怅秋风连营画角
'chang'shi'lan'xie'shou'qu 长是懒携手去
'chang'ting'geng'duan'ting 长亭更短亭
'chang'ting'liu'se'cai'huang 长亭柳色才黄
'chang'ting'lu 长亭路
'chang'ting'zhang'zai'yan 长亭长在眼
'chang'wang'guan'he'kong'diao'ying 怅望关河空吊影
'chang'wang'yi'ceng'lou 怅望倚层楼
'chang'xian'ren'jian'zhuo'yu'lang 常羡人间琢玉郎
'chang'xiao'jiang'zhi'qu 长啸江之曲
'chang'xiao'yi'he'wei 长啸亦何为
'chang'yan'luo'ri'gu'cheng'bi 长烟落日孤城闭
'chang'yan'ran'wei'le 怅燕然未勒
'chang'yi'guan'chao 长忆观潮
'chang'yi'xi'hu 长忆西湖
'chang'yi'zhu'ba'qiao'bie'hou 长忆著灞桥别后
'chang'yu'yuan'yang'wei'lv 尝与鸳鸯为侣
'chang'yuan'xiang'sui 长愿相随
'chang'zhi'kong'rong'yi'shun'hua'tou'huan 常只恐容易蕣华偷换
'chao'bu'zhi'jin'feng'gou'chun'ci'wo 晁补之金凤钩春辞我
'chao'bu'zhi'mi'shen'yin'an'an'qing'shan'hong'ri'mu 晁补之迷神引黯黯青山红日暮
'chao'bu'zhi'mo'yu'er'mai'bei'tang 晁补之摸鱼儿买陂塘
'chao'bu'zhi'yan'jue'er'kai'shi'si'xue 晁补之盐角儿开时似雪
'chao'chong'zhi'lin'jiang'xian'yi'xi'xi'chi'chi'shang'yin 晁冲之临江仙忆昔西池池上饮
'chao'duan'li'lv'tou'ya'wan'yun'shou 晁端礼绿头鸭晚云收
'chao'hui'an'dai'sha 潮回岸带沙
'chao'jian'shu'tou'fan 朝见树头繁
'chao'lai'shou'jia'er'sun'feng 朝来寿斝儿孙奉
'chao'ping'huai'yue'meng'long 潮平淮月朦胧
'chao'ping'lu'dai'sha 潮平路带沙
'chao'tian'que 朝天阙
'chao'xuan'xian'guan 朝喧弦管
'chao'you'gu'you 巢由故友
'chao'yu'qing'yin'zha'ge 朝雨轻阴乍阁
'che'ru'liu'shui'ma'ru'long 车如流水马如龙
'chen'an'jiu'diao'qiu 尘暗旧貂裘
'chen'bu'dao 尘不到
'chen'chen'jiang'shang'wang'ji 沉沉江上望极
'chen'dong'fu'chang'xiang'si'hua'shen'shen 陈东甫长相思花深深
'chen'hen'xi'si 沉恨细思
'chen'hun'bai'yu 尘昏白羽
'chen'jiang'xing'zi'rao'chen'shan 郴江幸自绕郴山
'chen'jiao'chen'ruan'wu 趁娇尘软雾
'chen'liang'shui'diao'ge'tou'bu'jian'nan'shi'jiu 陈亮水调歌头不见南师久
'chen'liang'shui'long'yin'nao'hua'shen'chu'ceng'lou 陈亮水龙吟闹花深处层楼
'chen'man'mian 尘满面
'chen'qing'hu'luo 尘清虎落
'chen'shi'dao'qing'ping'le'qiu'guang'zhu'di 陈师道清平乐秋光烛地
'chen'shui'juan'xun 沉水倦熏
'chen'si'qian'shi 沉思前事
'chen'yu'yi'lin'jiang'xian'yi'xi'wu'qiao'qiao'shang'yin 陈与义临江仙忆昔午桥桥上饮
'chen'zi'hen 臣子恨
'chen'zui'bu'zhi'gui'lu 沉醉不知归路
'cheng'feng'hao'qu 乘风好去
'cheng'gai'bu'suan'zi'du'zi'shang'ceng'lou 程垓卜算子独自上层楼
'cheng'gai'shui'long'yin'ye'lai'feng'yu'cong'cong 程垓水龙吟夜来风雨匆匆
'cheng'guo'chun'han'tui 城郭春寒退
'cheng'shang'feng'guang'ying'yu'luan 城上风光莺语乱
'cheng'shang'yi'san'geng 城上已三更
'cheng'xia'yan'bo'chun'pai'an 城下烟波春拍岸
'cheng'xing'li'jiang'zhu 乘兴离江渚
'cheng'zui'ting'xiao'gu 乘醉听箫鼓
'chi'bi'ji'tou'luo'zhao 赤壁矶头落照
'chi'chi'chun'ri'nong'qing'rou 迟迟春日弄轻柔
'chi'jie'yun'zhong 持节云中
'chi'mian'bing'chu'jie 池面冰初解
'chi'ri'cui'hua 迟日催花
'chi'ri'mu 迟日暮
'chi'shang'bi'tai'san'si'dian 池上碧苔三四点
'chi'tang'bie'hou 池塘别后
'chong'chong'lian'mu'mi'zhe'deng 重重帘幕密遮灯
'chong'guo'chang'men'wan'shi'fei 重过阊门万事非
'chong'lai'huai'shui 重来淮水
'chong'lai'shi'shi'kan'jie 重来是事堪嗟
'chong'lai'you'shi'san'nian 重来又是三年
'chong'yang'jin 重阳近
'chou'bao'wei'yi'jiu 愁抱惟宜酒
'chou'bei'yin'gang'qi 愁背银缸泣
'chou'cao'yi'hua'ming 愁草瘗花铭
'chou'chang'ci'qing'nan'ji 惆怅此情难寄
'chou'chang'hai'yi'jiu 惆怅还依旧
'chou'chang'nan'lou'yao'ye 惆怅南楼遥夜
'chou'chang'ren'shei'hui 惆怅人谁会
'chou'chang'shi'jiu'shu 愁肠侍酒舒
'chou'chang'shuang'yuan'bu'dao 惆怅双鸳不到
'chou'chang'sui 愁肠碎
'chou'chang'xiao'ying'can'yue 惆怅晓莺残月
'chou'chang'xie'jia'chi'ge 惆怅谢家池阁
'chou'dao'mei'feng'bi'ju 愁到眉峰碧聚
'chou'duo'yuan'ji 愁多怨极
'chou'ku 愁苦
'chou'lai'tian'bu'guan 愁来天不管
'chou'li'yu'fei'hai'zhu 愁里欲飞还住
'chou'ren'xi'feng'nan'pu 愁人西风南浦
'chou'sun'cui'dai'shuang'e 愁损翠黛双蛾
'chou'wu'bi 愁无比
'chou'xuan'shi 愁旋释
'chou'yi'jian'feng'kuai 愁一箭风快
'chou'yu'hen 愁与恨
'chu'chu'lian'fang'cao 处处怜芳草
'chu'fei'wen'qu'huang'li 除非问取黄鹂
'chu'jiang'hong'shu 楚江红树
'chu'ke'yu'ting'yao'se'yuan 楚客欲听瑶瑟怨
'chu'meng'li'you'shi'ceng'qu 除梦里有时曾去
'chu'mu'chou'chang'duan 触目愁肠断
'chu'mu'ci'qing'wu'xian 触目此情无限
'chu'que'tian'bian'yue 除却天边月
'chu'sheng'qi 杵声齐
'chu'shi'xie'niang'shi 初识谢娘时
'chu'tai'feng 楚台风
'chu'tian'qian'li'qing'qiu 楚天千里清秋
'chu'tian'wan 楚天晚
'chu'wan'yun'huan 初绾云鬟
'chu'xia'yun'gui 楚峡云归
'chuan'dong'hu'guang'yan'yan'qiu 船动湖光滟滟秋
'chuan'shang'guan'xian'jiang'mian'lv 船上管弦江面绿
'chuan'tou'ge'zai'sha'tan'shang 船头阁在沙滩上
'chuan'xiao'nan'kai'hong'dou'zhang 船小难开红斗帐
'chuan'zai'chi'lan'qiao'ce 船在赤栏桥侧
'chuang'po'yue'xun'ren 窗破月寻人
'chuang'ran'an'jing 怆然暗惊
'chui'che'mei'hua 吹彻梅花
'chui'di'dao'tian'ming 吹笛到天明
'chui'hong'xi'wang 垂虹西望
'chui'jiao'gu'cheng'lou 吹角古城楼
'chui'le'nan'zhi'chui'bei'zhi 吹了南枝吹北枝
'chui'lei'dui'gong'e 垂泪对宫娥
'chui'liu'bu'ying'qun'dai'zhu 垂柳不萦裙带住
'chui'luo'shao'tou'nen'e 吹落梢头嫩萼
'chui'mei'di'yuan 吹梅笛怨
'chui'yang'jin'qian 垂杨金浅
'chui'yang'wu'kun 垂杨舞困
'chui'yang'zi'mo'luo'cheng'dong 垂杨紫陌洛城东
'chui'zhou'yi'chi'chun'shui 吹皱一池春水
'chun'cao'zhao'yang'lu'duan 春草昭阳路断
'chun'chu'zao'bei'xiang'si'ran 春初早被相思染
'chun'ci'wo 春辞我
'chun'feng'bu'jie'jin'yang'hua 春风不解禁杨花
'chun'feng'bu'ran'bai'zi'xu 春风不染白髭须
'chun'feng'hu'wai 春风湖外
'chun'feng'shi'li'rou'qing 春风十里柔情
'chun'feng'yu'lu 春风雨露
'chun'feng'zhi'zai'yuan'xi'pan 春风只在园西畔
'chun'feng'zi'zai'yang'hua 春风自在杨花
'chun'gui'cui'mo 春归翠陌
'chun'gui'he'chu 春归何处
'chun'hua'qiu'yue'he'shi'liao 春花秋月何时了
'chun'hui'chang'hen'xun'wu'lu 春回常恨寻无路
'chun'lai'jiang'shui'lv'ru'lan 春来江水绿如蓝
'chun'meng'qiu'yun 春梦秋云
'chun'meng'rao'hu'sha 春梦绕胡沙
'chun'qiao'qiao 春悄悄
'chun'qie'zhu 春且住
'chun'qu'ren'jian'wu'lu 春去人间无路
'chun'qu'shang'lai'fou 春去尚来否
'chun'qu'shui'zui'ku 春去谁最苦
'chun'qu'ye 春去也
'chun'ri'yan 春日宴
'chun'ri'you 春日游
'chun'ru'chou'cheng 春入愁城
'chun'ru'jiu 春如旧
'chun'ru'wu'ling'xi 春入武陵溪
'chun'se'fu'han'weng 春色浮寒瓮
'chun'se'jiang'lan 春色将阑
'chun'se'nian'nian'yi'jiu 春色年年依旧
'chun'se'san'fen 春色三分
'chun'shan'yan'yu'shou 春山烟欲收
'chun'shan'zhu'po'shui'zhen'xian 春衫著破谁针线
'chun'shi'shui'zhu 春事谁主
'chun'shui'bi'yu'tian 春水碧于天
'chun'ti'xi'yu 春啼细雨
'chun'wu'zong'ji'shui'zhi 春无踪迹谁知
'chun'xun'fei'qiong'guan 春讯飞琼管
'chun'yi'ban 春已半
'chun'yi'kong'kuo 春意空阔
'chun'yi'lan'shan 春意阑珊
'chun'yi'zhi'ji'xu 春意知几许
'chun'yong'qia'si'chun'tang'shui 春慵恰似春塘水
'chun'yu'xi 春雨细
'chun'zhang'yi'gao'tian'shui'mian 春涨一篙添水面
'chun'zi'wei'ceng'gui'qu 春自未曾归去
'ci'dan'feng 辞丹凤
'ci'di 此地
'ci'di'qi'wu'feng'yu 次第岂无风雨
'ci'hen'bu'guan'feng'yu'yue 此恨不关风与月
'ci'hen'he'shi'yi 此恨何时已
'ci'hen'ping'fen'qu 此恨平分取
'ci'hen'wu'qiong 此恨无穷
'ci'hou'jin'shu'xiu'ji 此后锦书休寄
'ci'ji'nan'fen'fu 此际难分付
'ci'jian'zi'you'qian'jun'zhong 此间自有千钧重
'ci'ku'you'shui'zhi'fou 此苦又谁知否
'ci'qing'bu'ji'qiang'dong'liu 此情不及墙东柳
'ci'qing'wu'ji'ke'xiao'chu 此情无计可消除
'ci'qu'he'shi'jian'ye 此去何时见也
'ci'qu'jing'nian 此去经年
'ci'shen'sui'zai'kan'jing 此身虽在堪惊
'ci'sheng'shui'liao 此生谁料
'ci'shi'ci'ye'nan'wei'qing 此时此夜难为情
'ci'shi'feng'wei 此时风味
'ci'shi'gu'nan'quan 此事古难全
