'dao'hang'zhi'dao'yu'kong'zhi 导航制导与控制
'dao'lu'yu'tie'dao'gong'cheng 道路与铁道工程
'de'yu 德育
'de'yu'yu'yan'wen'xue 德语语言文学
'deng'li'zi'ti'gong'cheng 等离子体工程
'deng'li'zi'ti'wu'li 等离子体物理
'di'er'ci'shi'jie'da'zhan'shi 第二次世界大战史
'di'ji'ji'chu'ke'cheng'she'ji 地基基础课程设计
'di'li 地理
'di'li'xue 地理学
'di'pin'dian'zi'xian'lu 低频电子线路
'di'qiu'hua'xue 地球化学
'di'qiu'tan'ce'yu'xin'xi'ji'shu 地球探测与信息技术
'di'qiu'wu'li'xue 地球物理学
'di'si'ji'di'zhi'xue 第四纪地质学
'di'tu'xue'yu'di'li'xin'xi'xi'tong 地图学与地理信息系统
'di'tu'zhi'tu'xue'yu'di'li'xin'xi'gong'cheng 地图制图学与地理信息工程
'di'wen'ce'shi'ji'shu 低温测试技术
'di'wen'chuan're'xue 低温传热学
'di'wen'gu'ti'wu'li 低温固体物理
'di'wen'ji'shu'yuan'li'yu'zhuang'zhi 低温技术原理与装置
'di'wen'ji'shu'zhong'de'wei'ji'yuan'li 低温技术中的微机原理
'di'wen'jue're 低温绝热
'di'wen'qi'ti'zhi'leng'ji 低温气体制冷机
'di'wen're'guan 低温热管
'di'wen'she'bei 低温设备
'di'wen'sheng'wu'dong'gan'ji'shu 低温生物冻干技术
'di'wen'shi'yan'ji'shu 低温实验技术
'di'wen'wu'li'dao'lun 低温物理导论
'di'wen'wu'li'gai'lun 低温物理概论
'di'wen'wu'li'gai'nian 低温物理概念
'di'wen'yi'biao'ji'ce'shi 低温仪表及测试
'di'wen'yuan'li 低温原理
'di'wen'yuan'li'yu'she'bei 低温原理与设备
'di'wen'zhi'leng'ji 低温制冷机
'di'wen'zhong'de'wei'ji'ying'yong 低温中的微机应用
'di'wen'zhuang'zhi 低温装置
'di'zao'sheng'dian'zi'dian'lu 低噪声电子电路
'di'zao'sheng'dian'zi'she'ji 低噪声电子设计
'di'zao'sheng'fang'da'yu'ruo'jian 低噪声放大与弱检
'di'zao'sheng'yu'ruo'xin'hao'jian'ce 低噪声与弱信号检测
'di'zhi'gong'cheng 地质工程
'di'zhi'xue 地质学
'di'zhi'zi'yuan'yu'di'zhi'gong'cheng 地质资源与地质工程
'dian'ce'liang'ji'shu 电测量技术
