'an'lian 暗恋
'ri'gao'bang'yan 日高邦彦
'san'lun'zhi'yan 三轮智彦
'san'ze'qian'dou'liu 三泽千都留
'sha'ren'xian'chang'zai'yun'duan 杀人现场在云端
'sha'ren'zhi'men 杀人之门
'shan'tian'hui'zi 杉田惠子
'shen'lin'mei'he'zi 神林美和子
'shen'tan'jia'li'lue 神探伽利略
'sheng'dan'a'yi 圣诞阿姨
'sheng'nv'de'jiu'ji 圣女的救济
'sheng'xia'de'fang'cheng'shi 盛夏的方程式
'shi'ming'yu'xin'de'ji'xian 使命与心的极限
'shi'shen'zhe'zai 石神哲哉
'shi'sheng 时生
'shi'yi'zi'sha'ren 十一字杀人
'shi'zi'hao'zhai'de'xiao'chou 十字豪宅的小丑
'shui'cun'fei'lv'zi 水村绯絽子
'shui'sha'le'ta 谁杀了她
'si'qi'zhong'fu 寺崎忠夫
'song'pu'yong 松浦勇
'su'ming 宿命
'tang'chuan'xue 汤川学
'tang'ze'li'zi 唐泽礼子
'tang'ze'xue'sui 唐泽雪穗
'teng'cun'dou'zi 藤村都子
'ti'yuan'run'san 笹垣润三
'tian'chuan'min'fu 田川敏夫
'tian'cun'ji'zi 田村纪子
'tian'kong'zhi'feng 天空之蜂
'tian'shi'zhi'er 天使之耳
'ting'xin 听心
'tong'ban'tong'xue 同班同学
'tong'ji'sheng 同级生
'tong'yuan'liang'si 桐原亮司
'tong'yuan'mi'sheng'zi 桐原弥生子
'tong'yuan'yang'jie 桐原洋介
'wai'xiao'xiao'shuo 歪笑小说
'wo'sha'le'ta 我杀了他
'wo'shi'fei'chang'qin 我是非常勤
'wo'yi'qian'si'qu'de'jia 我以前死去的家
'xi'ben'wen'dai 西本文代
'xi'ben'xue'sui 西本雪穗
'xi'kou'nai'mei'jiang 西口奈美江
'xiang'tai 翔太
'xiao'tian'xiang'zi 小田香子
'xiao'tou'san'ren'zu 小偷三人组
'xiao'zhong'kang'qing 筱冢康晴
'xiao'zhong'mei'jia 筱冢美佳
'xiao'zhong'yi'cheng 筱冢一成
'xin'can'zhe 新参者
'xing'ping 幸平
'xu'wu'de'shi'zi'jia 虚无的十字架
'xue'di'sha'ji 雪地杀机
'xue'sheng'jie'li'de'sha'ren'shi'jian 学生街里的杀人事件
'ye'xu'shi'zui'hou'de'han'xuan 也许是最后的寒暄
'ye'ye'kou'xiu 野野口修
'yi'zha'yan'gan'bei 以眨眼干杯
'you'yi'ge'huang'yan 又一个谎言
'yu'dian'yin'yue'ren 鱼店音乐人
'yu'zhi'meng 预知梦
'yu'zhi'meng'hu'bian'xiong'sha'an 预知梦湖边凶杀案
'yuan'cun'you'yan 园村友彦
'yue'tu 月兔
'zhen'tan'jia'li'lue 侦探伽利略
'zhen'tan'ju'le'bu 侦探俱乐部
'zhong'dao'zheng'qing 中道正晴
'zhu'jing 竹井
