'si'wei 死位
'si'wei'chun'quan 四位纯全
'si'wu 巳午
'si'wu'wei 巳午未
'si'xiang 四象
'si'yan'du'bu 四言独步
'si'yin 巳阴
'si'you 巳酉
'si'you'chou 巳酉丑
'si'zheng 四正
'si'zhong 四仲
'si'zhu 四柱
'song'bai'mu 松柏木
'sui'gan 岁干
'sui'lu 岁禄
'sui'shen 岁神
'tai'bai'jing 太白经
'tai'cu 泰蔟
'tai'ji'gui'ren 太极贵人
'tai'sheng'wang'ku 胎生旺库
'tai'sui 太岁
'tai'xuan'jing 太玄经
'tai'yang 太阳
'tai'yin 太阴
'tai'yue'ri'shi 胎月日时
'tian'bao'li 天宝历
'tian'de 天德
'tian'de'gui'ren 天德贵人
'tian'di'zhuan'sha 天地转煞
'tian'gan 天干
'tian'gan'he 天干合
'tian'gang 天罡
'tian'gou 天狗
'tian'he'shui 天河水
'tian'luo'di'wang 天罗地网
'tian'qing'di'zhuo 天清地浊
'tian'shang'huo 天上火
'tian'she 天赦
'tian'wu 天巫
'tian'yi 天乙
'tian'yi'gui'ren 天乙贵人
'tian'yuan'bian'hua'shu 天元变化书
'tong'bian 通变
'tong'shu 通书
'tu'duo'huo'hui 土多火晦
'tu'duo'jin'mai 土多金埋
'tu'ke'shui 土克水
'tu'kong 土空
'tu'lai'huo'sheng 土赖火生
'tu'neng'ke'shui 土能克水
'tu'neng'sheng'jin 土能生金
'tu'sheng'jin 土生金
'tu'shuai'yu'mu 土衰遇木
'tu'wang'de'mu 土旺得木
'tu'wei 屠维
'tu'zhong'mu'zhe 土重木折
'tui'shen 退神
'tun'tan 涒滩
'wan'min'ying 万民英
'wan'ming'ying 万明英
'wan'nian 晚年
'wan'yu'wu 万育吾
'wang'chu 旺处
'wang'shuai 旺衰
'wang'ting'guang 王廷光
'wang'wei 旺位
'wang'xiang'xiu'qiu'si 旺相休囚死
'wang'zi'jin 王子晋
'wei'fu 为福
'wei'jing'pian 渭经篇
'wei'shen'me 为什么
'wei'tu 未土
'wei'yin 未阴
'wei'zhi 谓之
'wu'chen 五辰
'wu'chen 戊辰
'wu'gui 五鬼
'wu'hu'dun 五虎遁
'wu'huo 午火
'wu'ji 戊己
'wu'ju'zhong'yang 五居中央
'wu'nian 戊年
'wu'ren 戊人
'wu'shang'tu 屋上土
'wu'she 无射
'wu'shen 戊申
'wu'shi'geng 戊食庚
'wu'shi'wei'tu 五十为土
'wu'shou 无寿
'wu'tu 戊土
'wu'wei 午未
'wu'wei'shen'you'xu'hai 午未申酉戌亥
'wu'wu 戊午
'wu'xing 五行
'wu'xing'chun'yin'yang'ge 五行纯阴阳格
'wu'xing'jing'ji 五行精纪
'wu'xing'wang'xiang 五行旺相
'wu'xing'xiang'ke 五行相克
'wu'xing'xiang'sheng 五行相生
'wu'xing'yao'lun 五行要论
'wu'xing'zhi'xing 五行之性
'wu'xing'zhou'ye'qi'xiang 五行昼夜气象
'wu'xu 午戌
'wu'xu 戊戌
'wu'yan'du'bu 五言独步
'wu'yang 午阳
'wu'yang 戊阳
'wu'yin 戊寅
'wu'zi 戊子
'xi'ji'pian 喜忌篇
'xia'jia'wu 夏甲午
'xiang'chuan 相穿
'xiang'xin'fu 相心赋
'xiao'shen 枭神
'xiao'xi'fu 消息赋
'xiao'zai 小灾
'xie'ji'bian'fang'shu 协纪辨方书
'xie'qia 协洽
'xin'chou 辛丑
'xin'diao'zhu'luo'lu'zi'san'ming'xiao'xi'fu'zhu 新雕注珞琭子三命消息赋注
'xin'hai 辛亥
'xin'jin 辛金
'xin'mao 辛卯
'xin'nian 辛年
'xin'ren 辛人
'xin'shi'gui 辛食癸
'xin'si 辛巳
'xin'wei 辛未
'xin'yin 辛阴
'xin'you 辛酉
'xing'chong 刑冲
'xing'he'ge 刑合格
'xing'li'kao'yuan 星历考原
'xing'yun 行运
'xiong'fa'qing 熊发清
'xiong'hui 凶会
'xu'da'sheng 徐大升
'xu'le'wu 徐乐吾
'xu'tu 戌土
'xu'wei'di'wang 戌为地网
'xu'yang 戌阳
'xu'zi'ping 徐子平
'xuan'yi 玄黓
'xuan'ze'zong'jing 选择宗镜
'xuan'zhen 悬针
'yan'dong'sou 阎东叟
'yan'mao 阉茂
'yan'shang 炎上
'yang'chen 阳辰
'yang'gan 阳干
'yang'gan'shun'xing 阳干顺行
'yang'jian 阳建
'yang'liu'mu 杨柳木
'yang'nan 阳男
'yang'nv 阳女
'yang'ren 阳刃
'yang'ren 羊刃
'yang'yue 阳月
'yang'yun 阳运
'yao'xiang'fu 夭祥赋
'yi'bing'ding 乙丙丁
'yi'chen 一辰
'yi'chou 乙丑
'yi'ding'ji'xin'gui 乙丁己辛癸
'yi'geng 乙庚
'yi'gua 易卦
'yi'hai 乙亥
'yi'ji 乙己
'yi'liu'wei'shui 一六为水
'yi'ma 驿马
'yi'mao 乙卯
'yi'mu 乙木
'yi'nian 乙年
'yi'ren 乙人
'yi'shi'ding 乙食丁
'yi'si 乙巳
'yi'wei 乙未
'yi'wei 易位
'yi'xin'ding'gui 乙辛丁癸
'yi'yin 乙阴
'yi'you 乙酉
'yi'you'tai'ji 易有太极
'yi'yue 易曰
'yi'ze 夷则
'yin'chen 阴辰
'yin'chen 寅辰
'yin'cuo'yang'cha 阴错阳差
'yin'gan 阴干
'yin'gan'ni'xing 阴干逆行
'yin'hai 寅亥
'yin'jian 阴建
'yin'mao 寅卯
'yin'mao'chen 寅卯辰
'yin'mi'fu 隐迷赋
'yin'mu 寅木
'yin'nan 阴男
'yin'nv 阴女
'yin'shen 寅申
'yin'shen'si'hai 寅申巳亥
'yin'si 寅巳
'yin'si'shen 寅巳申
'yin'wu 寅午
'yin'wu'xu 寅午戌
'yin'xu 寅戌
'yin'yang 阴阳
'yin'yang 寅阳
'yin'yue 阴月
'yin'yun 阴运
'ying'he'shang 莹和尚
'ying'zhong 应锺
'yong'shen 用神
'you'chou 酉丑
'you'hai 酉亥
'you'ji 尤吉
'you'jin 酉金
'you'miao 尤妙
'you'shou 有寿
'you'xi 尤喜
'you'xu 酉戌
'you'yin 酉阴
'yu'fang'ci 余仿此
'yu'fang'ci'tui 余仿此推
'yu'jing'ao'jue 玉井奥诀
'yu'men'guan'ji 玉门关集
'yu'xiao'bao'jian 玉霄宝鉴
'yuan'hai'zi'ping 渊海子平
'yuan'li'fu 元理赋
'yue'de 月德
'yue'de'gui'ren 月德贵人
'yue'de'he 月德合
'yue'gan 月干
'yue'ke 岳珂
'yue'ri'shi 月日时
'yun'dao 运到
'zai'fu 灾福
'zai'zhi 灾滞
'zao'wei'fu 造微赋
'zen'me 怎么
'zeng'gao 缯缟
'zhan'meng 旃蒙
'zhao'yang 昭阳
'zhe'jiang 浙江
'zhen'gui'xing'ji 真鬼刑疾
'zhen'qi'jiao'hu'ge 真气交互格
'zheng'cai 正财
'zheng'guan 正官
'zheng'hua 正化
'zheng'lu'ma 正禄马
'zheng'ma 正马
'zheng'yin 正印
'zhi'chen 之辰
'zhi'dao'ge 直道歌
'zhi'fu 之福
'zhi'mi'fu 指迷赋
'zhi'ming 之命
'zhi'xiang 之象
'zhi'xu 执徐
'zhi'yi 之义
'zhi'yi 之意
'zhi'yue 之月
'zhi'yun 之运
'zhi'zai 之灾
'zhong'gong 中宫
'zhong'lv 仲吕
'zhong'nian 中年
'zhu'shen'jing 烛神经
'zhu'yong 著雍
'zhu'yun 注云
'zhuan'jiao'jin'hua 转角进化
'zhuan'jiao'tui'hua 转角退化
'zi'chen 子辰
'zi'chou 子丑
'zi'chou'yin'mao'chen'si 子丑寅卯辰巳
'zi'chou'yin'mao'chen'si'wu'wei'shen'you'xu'hai 子丑寅卯辰巳午未申酉戌亥
'zi'jin 子晋
'zi'ping'shu 子平术
'zi'ping'zhen'quan 子平真诠
'zi'shui 子水
'zi'wang 自旺
'zi'wei 子未
'zi'wei 紫微
'zi'wu 子午
'zi'wu'mao'you 子午卯酉
'zi'xing 自刑
'zi'xu'zhu 紫虚竹
'zi'yang 子阳
'zi'yao'si 子遥巳
'zi'yao'si'ge 子遥巳格
'zi'yin'chen'wu'shen'xu 子寅辰午申戌
'zong'yao'li 总要历
'zui'xing'zi 醉醒子
'zuo'e 作噩
'zuo'san'you'qi 左三右七
'zuo'shen'me 做什么
'zuo'xia'you'hua 坐下有化
