'an'jin 按劲
'ji'jin 挤劲
'jian'bu'da'chui 践步打捶
'jian'yu'kua'he 肩与胯合
'jie'jie'guan'chuan 节节贯串
'jin'bu'ban'lan'chui 进步搬拦捶
'jin'bu'yun'shou 进步云手
'jin'bu'zai'chui 进步栽捶
'jin'bu'zhi'dang'chui 进步指裆捶
'jin'gang'dao'dui 金刚捣碓
'jin'ji'du'li 金鸡独立
'jing'lan'zhi'ru 井阑直入
'jing'lan'zhi'ru 井揽直入
'jing'lan'zhi'ru 井栏直入
'kai'he'shou 开合手
'kai'shou 开手
'kao'jin 靠劲
'lai'zha'yi 濑扎衣
'lan'que'wei 揽雀尾
'lan'que'wei'beng'fa 揽雀尾绷法
'lan'que'wei'luo'fa 揽雀尾捋法
'lan'zha'yi 懒扎衣
'li'ding'shi 立定时
'lian'zhu'pao 连珠炮
'liang'zu'zhi'ta 两足直踏
'lie'jin 挒劲
'liu'feng'si'bi 六封四闭
'luo'jin 捋劲
'luo'xuan'chan'si 螺旋缠丝
'mo'mei'hong 抹眉红
'nei'wai'xiang'he 内外相合
'ni'chan 逆缠
'ni'chan'si 逆缠丝
'niu'luan'zhou 拗鸾肘
'pi'jia'zi 劈架子
'pi'shen'chui 披身捶
'pie'shen'chui 撇身锤
'pie'shen'chui 撇身捶
'ping'xing'fen'kai 平行分开
'pu'mian'zhang 扑面掌
'qi'chen'dan'tian 气沉丹田
'qi'shi 起势
'qi'yu'li'he 气与力合
'qian'tang'niu'bu 前蹚拗步
'qian'zhao 前招
'qian'zhao'hou'zhao 前招后招
'qing'long'bai'wei 青龙摆尾
'qing'long'chu'shui 青龙出水
'qu'xi'ta'shi 屈膝踏实
'qu'xi'zuo'shi 屈膝坐实
'que'di'long 雀地龙
'ru'feng'si'bi 如封似闭
'san'huan'zhang 三换掌
'san'tong'bei 三通背
'sao'tang'tui 扫堂腿
'sha'yao'ya'zhou 煞腰压肘
'shan'tong'bei 闪通背
'shan'tong'bei 扇通背
'shang'bu'lan'que'wei 上步揽雀尾
'shang'bu'qi'xing 上步七星
'shang'xia'xiang'sui 上下相随
'she'ji'cong'ren 舍己从人
'shi'zi'bai'lian 十字摆莲
'shi'zi'jiao 十字脚
'shi'zi'shou 十字手
'shi'zi'tui 十字腿
'shou'hui'pi'pa 手挥琵琶
'shou'shi 收势
'shou'tou'shi 兽头式
'shou'wo'zhi'jing 守我之静
'shou'xin'xiang'nei 手心向内
'shuang'chong 双重
'shuang'feng'guan'er 双峰贯耳
'shuang'tui'shou 双推手
'shuang'tui'zhang 双推掌
'shuang'zhen'jiao 双震脚
'shuang'zhuang'chui 双撞捶
'shun'chan 顺缠
'shun'chan'si 顺缠丝
'shun'luan'zhou 顺鸾肘
'si'shao 四稍
'song'huo'dan'dou 松活弹抖
'song'yao'kua 松腰胯
'tai'ji'qi'shi 太极起式
'tai'ji'quan'qi'shi 太极拳起势
'tai'ji'zhuang 太极桩
'ti'shou'shang'shi 提手上势
'ti'yong'jian'quan 体用兼全
'tui'bu'da'hu'shi 退步打虎式
'tui'bu'kua'hu 退步跨虎
'tui'bu'ya'zhou 退步压肘
'tui'bu'yun'shou 退步云手
'wa'leng'zhang 瓦楞掌
'wai'chan 外缠
'wan'gong'she'hu 弯弓射虎
'wo'li'pao 窝里炮
'wu'ji'shi 无极势
'wu'ji'zhuang 无极桩
'wu'shi'tai'ji'quan 吴氏太极拳
'wu'shi'tai'ji'quan 武氏太极拳
'xia'bu'kua'hu 下步跨虎
'xia'chan 下缠
'xia'shi 下势
'xiang'zuo'wai'ce 向左外侧
'xiao'qin'da 小擒打
'xie'dan'bian 斜单鞭
'xie'fei'shi 斜飞式
'xie'xing 斜行
'xie'xing'niu'bu 斜行拗步
'xin'yu'yi'he 心与意合
'xu'ling'ding'jin 虚领顶劲
'xu'ling'ding'jin 虚灵顶劲
'xuan'feng'jiao 旋风脚
'yan'shou'gong'chui 掩手肱捶
'yan'shou'gong'quan 掩手肱拳
'yang'shi'tai'ji'quan 杨式太极拳
'yang'shi'tai'ji'quan 杨氏太极拳
'yao'dang 腰裆
'ye'ma'fen'zong 野马分鬃
'yi'han'ding'jin 意含顶劲
'yi'qi'yun'shen 以气运身
'yi'ren'zi'ran 一任自然
'yi'xin'xing'qi 以心行气
'yin'yang'hun'yi 阴阳混一
'yong'quan'xue'xu 涌泉穴虚
'yong'yi'bu'yong'li 用意不用力
'you'bai'he'liang'chi 右白鹤亮翅
'you'ca'jiao 右擦脚
'you'chong 右冲
'you'da'hu'shi 右打虎式
'you'deng'jiao 右蹬脚
'you'guo'bian'pao 右裹鞭炮
'you'huang'long'san'lan'shui 右黄龙三揽水
'you'jiao'xu 右脚虚
'you'lan'que'wei 右揽雀尾
'you'qian'shi 由前势
'you'shou'zai'qian 右手在前
'you'xia'shi'du'li 右下势独立
'yu'bei'shi 预备式
'yu'nv'chuan'suo 玉女穿梭
'yuan'dang 圆裆
'yue'bu'hu'xin'chui 跃步护心捶
'yue'bu'xie'xing 跃步斜行
'yun'hua'zhuan'guan 运化转关
'yun'shou 运手
'yun'shou 云手
'zai'shou 再收
'zhan'shou 斩手
'zhan'zhan'lian'sui 沾粘连随
'zhen'jiao'shang'bu 震脚上步
'zhi'dang'chui 指裆锤
'zhi'dang'chui 指裆捶
'zhong'pan 中盘
'zhong'zheng'an'shu 中正安舒
'zhou'di'chui 肘底捶
'zhou'di'kan'chui 肘底看捶
'zhou'di'kan'quan 肘底看拳
'zhou'jin 肘劲
'zhuan'jing'pao 转胫炮
'zhuan'shen'bai'she'tu'xin 转身白蛇吐信
'zhuan'shen'ban'lan'chui 转身搬拦捶
'zhuan'shen'deng'jiao 转身蹬脚
'zhuan'shen'lu'he 转身六合
'zhuan'shen'shuang'bai'lian 转身双摆莲
'zhuan'shen'zuo'deng'jiao 转身左蹬脚
'zuo'bai'he'liang'chi 左白鹤亮翅
'zuo'ca'jiao 左擦脚
'zuo'chong 左冲
'zuo'da'hu'shi 左打虎式
'zuo'deng'jiao 左蹬脚
'zuo'guo'bian'pao 左裹鞭炮
'zuo'huang'long'san'lan'shui 左黄龙三揽水
'zuo'jiao'bian'xu 左脚变虚
'zuo'jiao'shi 左脚实
'zuo'lan'que'wei 左揽雀尾
'zuo'lou'xi'niu'bu 左搂膝拗步
'zuo'shou'zai'hou 左手在后
'zuo'xia'shi'du'li 左下势独立
'zuo'you'chuan'suo 左右穿梭
'zuo'you'dao'juan'gong 左右倒卷肱
'zuo'you'dao'nian'hou 左右倒撵猴
'zuo'you'dao'zhuan'gong 左右倒转肱
'zuo'you'fen'jiao 左右分脚
'zuo'you'jin'ji'du'li 左右金鸡独立
'zuo'you'lou'xi'niu'bu 左右搂膝拗步
'zuo'you'ye'ma'fen'zong 左右野马分鬃
