'a'wei 阿魏
'dao'ya 稻芽
'deng'xin'cao 灯心草
'deng'zhan'hua 灯盏花
'deng'zhan'xi'xin 灯盏细辛
'deng'zhan'xi'xin'deng'zhan'hua 灯盏细辛灯盏花
'di'feng'pi 地枫皮
'di'fu'zi 地肤子
'di'gu'pi 地骨皮
'di'huang 地黄
'di'jin'cao 地锦草
'di'long 地龙
'di'yu 地榆
'dian'ji'xue'teng 滇鸡血藤
'die'da'qi'li'pian 跌打七厘片
'ding'gong'teng 丁公藤
'ding'xiang 丁香
'dong'chong'xia'cao 冬虫夏草
'dong'gua'pi 冬瓜皮
'dong'kui'guo 冬葵果
'dong'ling'cao 冬凌草
'dou'kou 豆蔻
'du'huo 独活
'du'yi'wei 独一味
'du'zhong 杜仲
'du'zhong'ye 杜仲叶
'duan'shi'gao 煅石膏
'duan'xue'liu 断血流
'e'bu'shi'cao 鹅不食草
'e'fan 鹅番
'e'jiao 阿胶
'er'cha 儿茶
'fa'ban'xia 法半夏
'fan'xie'ye 番泻叶
'fang'feng 防风
'fang'ji 防己
'fei'yang'cao 飞扬草
'fei'zi 榧子
'fen'cao'jie 粉草解
'fen'ge 粉葛
'fen'yi 粉益
'feng'fang 蜂房
'feng'jiao 蜂胶
'feng'la 蜂蜡
'feng'mi 蜂蜜
'feng'shi'gu'tong'pian 风湿骨痛片
'feng'xiang'zhi 枫香脂
'fo'shou 佛手
'fu'fang'shuang'hua'kou'fu'ye 复方双花口服液
'fu'fang'yi'mu'cao'jiao'nang 复方益母草胶囊
'fu'fang'yu'xing'cao'he'ji 复方鱼腥草合剂
'fu'kang'bao'he'ji 妇康宝合剂
'fu'kang'bao'kou'fu'ye 妇康宝口服液
'fu'kang'bao'kou'fu'ye'fu'kang'bao'he'ji 妇康宝口服液妇康宝合剂
'fu'ke'yang'rong'wan 妇科养荣丸
'fu'ke'zhi'dai'jiao'nang 妇科止带胶囊
'fu'ling 茯苓
'fu'ling'pi 茯苓皮
'fu'ning'shuan 妇宁栓
'fu'ping 浮萍
'fu'zi 附子
'gan'cao 甘草
'gan'jiang 干姜
'gan'qi 干漆
'gan'song 甘松
'gan'sui 甘遂
'gang'ban'gui 杠板归
'gao'liang'jiang 高良姜
'gao'shan'la'gen'cai 高山辣根菜
'ge'di 葛蒂
'ge'fen 蛤蚡
'ge'gen 葛根
'ge'hei 蛤黑
'ge'ke 蛤壳
'gong'lao'mu 功劳木
'gou'gu'ye 枸骨叶
'gou'ji 狗脊
'gou'jing'nao 狗京闹
'gou'qi'zi 枸杞子
'gou'teng 钩藤
'gu'chang'zhi'xie'jiao'nang 固肠止泻胶囊
'gu'jing'cao 谷精草
'gu'sui'bu 骨碎补
'gu'ya 谷芽
'gua'kui 瓜葵
'gua'wei'pi 瓜萎皮
'gua'wei'zi 瓜萎子
'gua'zi'jin 瓜子金
'guan'huang'bai 关黄柏
'guan'mai'ning'jiao'nang 冠脉宁胶囊
'guan'ye'jin'si'tao 贯叶金丝桃
'guang'dong'zi'zhu 广东紫珠
'guang'huo'xiang 广藿香
'guang'jin'qian'cao 广金钱草
'guang'zao 广枣
'gui'fu'di'huang'kou'fu'ye 桂附地黄口服液
'gui'jia 龟甲
'gui'jia'jiao 龟甲胶
'gui'zhi 桂枝
'ha'ma'you 哈蟆油
'hai'feng'teng 海风藤
'hai'fu'tong 海浮通
'hai'jin'sha 海金沙
'hai'long 海龙
'hai'ma 海马
'hai'piao'xiao 海嫖蛸
'hai'zao 海藻
'he'cheng'long'nao 合成龙脑
'he'huan'hua 合欢花
'he'huan'pi 合欢皮
'he'shi 鹤虱
'he'shou'wu 何首乌
'he'tao'ren 核桃仁
'he'wei'zhi'xie'jiao'nang 和胃止泻胶囊
'he'xue'ming'mu'pian 和血明目片
'he'ye 荷叶
'he'zi 诃子
'hei'dou 黑豆
'hei'zhi'ma 黑芝麻
'hei'zhong'cao'zi 黑种草子
'heng'zhi'ke'chuan'jiao'nang 恒制咳喘胶囊
'hong'da'ji 红大戟
'hong'dou'kou 红豆蔻
'hong'fen 红粉
'hong'hua 红花
'hong'hua'long'dan 红花龙胆
'hong'jing'tian 红景天
'hong'lian 洪连
'hong'qi 红芪
'hong'shen 红参
'hou'ji'ling'pian 喉疾灵片
'hou'pu 厚朴
'hou'pu'hua 厚朴花
'hou'pu'pai'qi'he'ji 厚朴排气合剂
'hu'bei'bei'mu 湖北贝母
'hu'hua 湖滑
'hu'huang'lian 胡黄连
'hu'jiao 胡椒
'hu'lu'ba 胡芦巴
'hu'zhang 虎杖
'hua'jiao 花椒
'hua'ju'hong 化橘红
'hua'rui'shi 花蕊石
'hua'shan'can 华山参
'hua'shi 滑石
'hua'shi'fen 滑石粉
'huai'hua 槐花
'huai'jiao 槐角
'huai'lei'lu 槐雷路
'huang'bai 黄柏
'huang'jing 黄精
'huang'lian 黄连
'huang'lian'yang'gan'wan 黄连羊肝丸
'huang'qi 黄芪
'huang'qi'sheng'mai'ke'li 黄芪生脉颗粒
'huang'qin 黄芩
'huang'shan'yao 黄山药
'huang'shu'kui'hua 黄蜀葵花
'huang'teng 黄藤
'huang'xin 黄薪
'huo'ma'ren 火麻仁
'huo'xue'zhi'tong'ruan'jiao'nang 活血止痛软胶囊
'ji'gu'cao 鸡骨草
'ji'guan'hua 鸡冠花
'ji'li 蒺藜
'ji'nei'jin 鸡内金
'ji'xing'zi 急性子
'ji'xue'cao 积雪草
'ji'xue'gan'pian 积雪苷片
'ji'xue'teng 鸡血藤
'jiang'ban'xia 姜半夏
'jiang'ban'xia'qing'ban'xia 姜半夏清半夏
'jiang'can 僵蚕
'jiang'huang 姜黄
'jiang'xiang 降香
'jiao'bing'lang 焦槟榔
'jiao'zhi'zi 焦栀子
'jie'geng 桔梗
'jie'zi 芥子
'jin'ai 锦矮
'jin'chan'zhi'yang'jiao'nang 金蝉止痒胶囊
'jin'deng'long 锦灯笼
'jin'fei'cao 金沸草
'jin'gu'cao 筋骨草
'jin'guo'lan 金果榄
'jin'long'dan'cao 金龙胆草
'jin'meng'shi 金檬石
'jin'qian'bai'hua'she 金钱白花蛇
'jin'qian'cao 金钱草
'jin'qiao'mai 金荞麦
'jin'sang'kai'yin'ke'li 金嗓开音颗粒
'jin'sang'qing'yin'jiao'nang 金嗓清音胶囊
'jin'tie'suo 金铁锁
'jin'yin'hua 金银花
'jin'ying'zi 金樱子
'jing'da'ji 京大戟
'jing'jie 荆芥
'jing'jie'sui 荆芥穗
'jing'jie'sui'tan 荆芥穗炭
'jing'jie'tan 荆芥炭
'jiu'bi'ying 救必应
'jiu'cai'zi 韭菜子
'jiu'li'xiang 九里香
'ju'hua 菊花
'ju'ju 菊苣
'juan'bai 卷柏
'juan'lu'you 卷炉油
'jue'ming'zi 决明子
'ke'teng'zi 榼藤子
'ku'di'ding 苦地丁
'ku'gan'ke'li 苦甘颗粒
'ku'hui 苦茴
'ku'mu 苦木
'ku'nan'pi 苦楠皮
'ku'shen 苦参
'ku'shen'ruan'gao 苦参软膏
'ku'xing'ren 苦杏仁
'ku'xuan'shen 苦玄参
'kuan'dong'hua 款冬花
'kun'bu 昆布
'kun'ming 昆明
'kun'ning'kou'fu'ye 坤宁口服液
'kun'tai'jiao'nang 坤泰胶囊
'la'jiao 辣椒
'lai'teng'zi 莱藤子
'lan'bu'zheng 蓝布正
'lang'du 狼毒
'lang'shu 蒗术
'lao'guan'cao 老鹳草
'lao'nian'ke'chuan'pian 老年咳喘片
'lei'wan 雷丸
'li'zhi'he 荔枝核
'lian'can'tong'lin'pian 连参通淋片
'lian'fang 莲房
'lian'qian'cao 连钱草
'lian'qiao 连翘
'lian'xu 莲须
'lian'zi 莲子
'lian'zi'xin 莲子心
'liang'jie'gan'mao'he'ji 凉解感冒合剂
'liang'mian'zhen 两面针
'liang'tou'jian 两头尖
'liao'da'qing'ye 蓼大青叶
'ling'bao'hong'zhi'ke'fen'san'pian 苓暴红止咳分散片
'ling'gao'quan 凌高拳
'ling'xiao'hua 凌霄花
'ling'zhi 灵芝
'liu'huang 硫黄
'liu'xiong'zi 硫雄紫
'long'dan 龙胆
'long'ge'ye 龙膈叶
'long'yan'rou 龙眼肉
'lou'lu 漏芦
'lu'gan'shi 炉甘石
'lu'gen 芦根
'lu'hui 芦荟
'lu'jiao 鹿角
'lu'jiao'jiao 鹿角胶
'lu'jiao'shuang 鹿角霜
'lu'lu'tong 路路通
'lu'rong 鹿茸
'lu'xian'cao 鹿衔草
'luo'bu'ma'ye 罗布麻叶
'luo'han'guo 罗汉果
'luo'hua'zi'zhu 裸花紫珠
'luo'shi'teng 络石藤
'ma'bian'cao 马鞭草
'ma'bo 马勃
'ma'chi'xian 马齿苋
'ma'dou'ling 马兜铃
'ma'huang 麻黄
'ma'huang'gen 麻黄根
'ma'qian'zi 马钱子
'ma'qian'zi'fen 马钱子粉
'mai'dong 麦冬
'mai'luo'shu'tong'ke'li 脉络舒通颗粒
'mai'luo'shu'tong'wan 脉络舒通丸
'mai'ya 麦芽
'man'dian'luo 满滇裸
'man'jing'zi 蔓荆子
'man'shan'hong 满山红
'mang'xiao 芒硝
'mao'he'zi 毛诃子
'mao'zhao'cao 猫爪草
'mei'gui'hua 玫瑰花
'mei'hua 梅花
'mei'ji'sheng 梅寄生
'mei'yao 没药
'mi'chong 靡虫
'mi'meng'hua 密蒙花
'mian'cao'xian 绵草藓
'mian'ma'guan'zhong 绵马贯众
'mian'ma'guan'zhong'tan 绵马贯众炭
'ming'dang'shen 明党参
'mo'han'lian 墨旱莲
'mu'bie'zi 木鳖子
'mu'dan'pi 牡丹皮
'mu'ding'xiang 母丁香
'mu'fu'rong'ye 木芙蓉叶
'mu'gua 木瓜
'mu'hu'die 木蝴蝶
'mu'jing'ye 牡荆叶
'mu'li 牡蛎
'mu'mian'hua 木棉花
'mu'tong 木通
'mu'xiang 木香
'mu'zei 木贼
'nan'ban'lan'gen 南板蓝根
'nan'he'shi 南鹤虱
'nan'sha'shen 南沙参
'nan'wu'wei'zi 南五味子
'nao'yang'hua 闹羊花
'niu'bang'zi 牛蒡子
'niu'huang 牛黄
'niu'xi 牛膝
'nong'suo'wan 浓缩丸
'nv'zhen'zi 女贞子
'pang'da'hai 胖大海
'pao'jiang 炮姜
'pei'jin 佩金
'pei'lan 佩兰
'pi'ban 枇板
'pi'pa'ye 枇杷叶
'pian'chu'zong 篇楮棕
'pian'jiang'huang 片姜黄
'pian'xu 篇蓄
'ping'bei'mu 平贝母
'pu'chun 蒲椿
'pu'di'lan'xiao'yan'jiao'nang 蒲地蓝消炎胶囊
'pu'gong'ying 蒲公英
'pu'huang 蒲黄
'pu'yuan'he'wei'jiao'nang 蒲元和胃胶囊
'qi'can'yi'qi'di'wan 芪参益气滴丸
'qi'feng'gu'biao'ke'li 芪风固表颗粒
'qi'huang'tong'mi'ruan'jiao'nang 芪黄通秘软胶囊
'qi'ju'di'huang'kou'fu'ye 杞菊地黄口服液
'qi'ming'ke'li 芪明颗粒
'qi'she 蕲蛇
'qi'zhen'jiao'nang 芪珍胶囊
'qi'zhi'jiang'tang'pian 芪蛭降糖片
'qian'cao 茜草
'qian'hu 前胡
'qian'jin'zi 千金子
'qian'jin'zi'shuang 千金子霜
'qian'li'guang 千里光
'qian'nian'jian 千年健
'qian'niu'zi 牵牛子
'qian'shi 芡实
'qiang'huo 羌活
'qiang'li'ding'xuan'jiao'nang 强力定眩胶囊
'qiang'li'pi'pa'jiao'nang 强力枇杷胶囊
'qiang'li'pi'pa'lu 强力枇杷露
'qiang'li'tian'ma'du'zhong'wan 强力天麻杜仲丸
'qin'pi 秦皮
'qin'yuan 秦芫
'qing'ban'xia 清半夏
'qing'dai 青黛
'qing'fen 轻粉
'qing'feng'teng 青风藤
'qing'guo 青果
'qing'hao 青蒿
'qing'jiang'pian 清降片
'qing'mei 青玫
'qing'meng'shi 青檬石
'qing'pi 青皮
'qing'xuan'zhi'ke'ke'li 清宣止咳颗粒
'qing'ye'dan 青叶胆
'qing'zi 青子
'quan'can 拳参
'quan'xie 全蝎
'ren'dong'teng 忍冬藤
'ren'gong'niu'huang 人工牛黄
'ren'shen 人参
'ren'shen'ye 人参叶
'rou'cong'rong 肉从蓉
'rou'dou'kou 肉豆蔻
'rou'gui 肉桂
'ru'kang'ke'li 乳康颗粒
'ru'kuai'xiao'ke'li 乳块消颗粒
'ru'xiang 乳香
'ru'zhong'yu 乳肿鱼
'rui'ren 蕤仁
'san'bai'cao 三白草
'san'ke'zhen 三颗针
'san'leng 三棱
'san'qi 三七
'sang'bai'pi 桑白皮
'sang'ji'sheng 桑寄生
'sang'luo'xiao 桑螺蛸
'sang'shen 桑椹
'sang'ye 桑叶
'sang'zhi 桑枝
'sao'qing'jiao'nang 瘙清胶囊
'sha'ji 沙棘
'sha'ren 砂仁
'sha'yuan'zi 沙苑子
'shan'ci'gu 山慈菇
'shan'dou'gen 山豆根
'shan'mai'dong 山麦冬
'shan'nai 山柰
'shan'xiang'yuan'ye 山香圆叶
'shan'yao 山药
'shan'yin'hua 山银花
'shan'zha 山楂
'shan'zha'ye 山楂叶
'shan'zhu'yu 山茱萸
'shang'lu 商陆
'shao'tou'weng 勺头翁
'she'chuang'zi 蛇床子
'she'gan 射干
'she'ma'kou'fu'ye 射麻口服液
'she'tui 蛇蜕
'shen'jin'cao 伸筋草
'shen'qi'jiang'tang'jiao'nang 参芪降糖胶囊
'shen'qi'jiang'tang'pian 参芪降糖片
'shen'qi'wu'wei'zi'ke'li 参芪五味子颗粒
'sheng'bai'he'ji 生白合剂
'sheng'bai'he'ji'sheng'bai'kou'fu'ye 生白合剂生白口服液
'sheng'bai'kou'fu'ye 生白口服液
'sheng'jiang 生姜
'sheng'ma 升麻
'shi'cao 蓍草
'shi'ce 使侧
'shi'di 柿蒂
'shi'diao'lan 石吊兰
'shi'du'qing'pian 湿毒清片
'shi'gao 石膏
'shi'hu 石斛
'shi'ju'pu 石莒蒲
'shi'jue'ming 石决明
'shi'jun'zi 使君子
'shi'lan 蓍蓝
'shi'liu'pi 石榴皮
'shi'wei 石韦
'shou'wu'teng 首乌藤
'shu'di'huang 熟地黄
'shu'feng'jie'du'jiao'nang 疏风解毒胶囊
'shu'gan'jie'yu'jiao'nang 舒肝解郁胶囊
'shu'gan'wan 舒肝丸
'shu'gan'wan'nong'suo'wan 舒肝丸浓缩丸
'shu'mi'tong'jiao'nang 舒泌通胶囊
'shui'fei'ji 水飞蓟
'shui'hong'hua'zi 水红花子
'shui'niu'jiao 水牛角
'shui'zhi 水蛭
'si'fang'wei'jiao'nang 四方胃胶囊
'si'gua'luo 丝瓜络
'si'ji'qing 四季青
'song'feng 松枫
'song'hua'fen 松花粉
'su'he'xiang 苏合香
'su'huang'zhi'ke'jiao'nang 苏黄止咳胶囊
'su'mu 苏木
'suan'zao'ren 酸枣仁
'suo'jin 锁筋
'suo'luo'zi 娑罗子
'suo'yang 锁阳
'tai'zi'shen 太子参
'tao'ren 桃仁
'tao'zhi 桃枝
'teng'dan'jiao'nang 藤丹胶囊
'ti'wai'pei'yu'niu'huang 体外培育牛黄
'tian'dong 天冬
'tian'gua'zi 甜瓜子
'tian'hua'fen 天花粉
'tian'kui'zi 天葵子
'tian'ma 天麻
'tian'nan'xing 天南星
'tian'ran'bing'pian 天然冰片
'tian'ran'bing'pian'you'xuan'long'nao 天然冰片右旋龙脑
'tian'shan'xue'lian 天山雪莲
'tian'xian'teng 天仙藤
'tian'xian'zi 天仙子
'tian'zhu'huang 天竺黄
'tie'ji 铁积
'tie'pi'shi'hu 铁皮石斛
'tong'cao 通草
'tong'feng'ding'pian 痛风定片
'tong'guan'teng 通关藤
'tong'qiao'er'long'wan 通窍耳聋丸
'tu'bei'mu 土贝母
'tu'bie'chong 土鳖虫
'tu'bie'chong'mi'chong 土鳖虫靡虫
'tu'fu'ling 土茯苓
'tu'jing'pi 土荆皮
'tu'mu'xiang 土木香
'tu'si'zi 菟丝子
'wa'leng'zi 瓦楞子
'wa'song 瓦松
'wan'ling'wu'xiang'gao 万灵五香膏
'wang'bu'liu'xing 王不留行
'wei'ling'cai 委陵菜
'wei'ling'xian 威灵仙
'wei'yang'ning'wan 胃疡宁丸
'wu'bei'zi 五倍子
'wu'bi'shan'yao'wan 无比山药丸
'wu'feng 蜈蜂
'wu'fu'hua'du'pian 五福化毒片
'wu'gong 蜈蚣
'wu'jia'pi 五加皮
'wu'jia'sheng'hua'jiao'nang 五加生化胶囊
'wu'ling'jiao'nang 五灵胶囊
'wu'mei 乌梅
'wu'shan'yin'yang'huo 巫山淫羊藿
'wu'shao'she 乌梢蛇
'wu'wei'zi 五味子
'wu'wei'zi 芜蔚子
'wu'yao 乌药
'wu'zhu'yu 吴茱萸
'xi'gua'shuang 西瓜霜
'xi'guan 细贯
'xi'han'yang'sheng'kou'fu'ye 西汉养生口服液
'xi'han'yang'sheng'kou'fu'ye'zi'shen'jian'nao'ye 西汉养生口服液滋肾健脑液
'xi'he'liu 西河柳
'xi'hong'hua 西红花
'xi'li'cao 豨莅草
'xi'qing'guo 西青果
'xi'sheng'teng 锡生藤
'xi'xin 细辛
'xi'yang'shen 西洋参
'xia'ma'zi 下麻子
'xia'tian'wu 夏天无
'xian'he'cao 仙鹤草
'xian'mao 仙茅
'xiang'fu 香附
'xiang'jia'pi 香加皮
'xiang'lei 香蕾
'xiang'yuan 香橼
'xiao'ban'wan 消瘢丸
'xiao'bo'gu 小驳骨
'xiao'er'fu'pi'ke'li 小儿扶脾颗粒
'xiao'er'ke'chuan'ling'kou'fu'ye 小儿咳喘灵口服液
'xiao'hui'xiang 小茴香
'xiao'ji 小蓟
'xiao'ke'chuan'jiao'nang 消咳喘胶囊
'xiao'shuan'chang'rong'jiao'nang 消栓肠溶胶囊
'xiao'tong'cao 小通草
'xiao'ye'lian 小叶莲
'xie'sai'tong'jiao'nang 血塞通胶囊
'xie'sai'tong'ke'li 血塞通颗粒
'xie'sai'tong'pian 血塞通片
'xin'yi 辛夷
'xin'ying 薪莹
'xing'su'zhi'ke'kou'fu'ye 杏苏止咳口服液
'xiong'huang 雄黄
'xu'chang'qing 徐长卿
'xu'duan 续断
'xu'lang 徐狼
'xuan'fu'hua'ling'yang'jiao 旋覆花羚羊角
'xuan'ming'fen 玄明粉
'xuan'shen 玄参
'xue'jie 血竭
'xue'shuan'tong'jiao'nang 血栓通胶囊
'xue'yu'tan 血余炭
'xue'zhi'tong'jiao'nang 血滞通胶囊
'ya'dan'zi 鸦胆子
'ya'hu'nu 亚乎奴
'ya'hu'nu'xi'sheng'teng 亚乎奴锡生藤
'ya'ma'zi 亚麻子
'ya'zhi'cao 鸭跖草
'yan'bai'cai 岩白菜
'yan'hu'suo 延胡索
'yan'hu'suo'yuan'hu 延胡索元胡
'yan'luo 岩罗
'yang'jin'hua 洋金花
'yang'xue'dang'gui'jiao'nang 养血当归胶囊
'yang'xue'yin'kou'fu'ye 养血饮口服液
'ye'ju'hua 野菊花
'ye'ma'zhui 野马追
'ye'mu'gua 野木瓜
'yi'bei'mu 伊贝母
'yi'mu'cao 益母草
'yi'nao'pian 益脑片
'yi'qi'cong'ming'wan 益气聪明丸
'yi'qi'tong'luo'ke'li 益气通络颗粒
'yi'shen'hua'shi'ke'li 益肾化湿颗粒
'yi'xin'tong'di'wan 益心酮滴丸
'yi'xin'tong'fen'san'pian 益心酮分散片
'yi'zhi 益智
'yi'zhi'huang'hua 一枝黄花
'yin'chai'hu 银柴胡
'yin'chen 茵陈
'yin'huang'qing'fei'jiao'nang 银黄清肺胶囊
'yin'huang'wan 银黄丸
'yin'xing'ye 银杏叶
'yin'xing'ye'kou'fu'ye 银杏叶口服液
'yin'xing'ye'ruan'jiao'nang 银杏叶软胶囊
'yin'yang'huo 淫羊藿
'ying'su'ke 罂粟壳
'you'kui 莜葵
'you'song'jie 油松节
'you'xuan'long'nao 右旋龙脑
'yu'gan'zi 余甘子
'yu'jin 郁金
'yu'li'ren 郁李仁
'yu'sang 预桑
'yu'xing'cao 鱼腥草
'yu'yu'liang 禹余粮
'yu'zhi'zi 预知子
'yu'zhou'lou'lu 禹州漏芦
'yu'zhu 玉竹
'yuan'hu 元胡
'yuan'hua 芫花
'yuan'zhi 远志
'yue'ji'hua 月季花
'yun'zhi 云芝
'zai'zao'sheng'xue'jiao'nang 再造生血胶囊
'zao'fan'lv'fan 皂矾绿矾
'zao'jiao'ci 皂角刺
'ze'jiang 泽降
'ze'lan 泽兰
'ze'xie 泽泻
'zeng'ye'ke'li 增液颗粒
'zhe'bei'mu 浙贝母
'zhe'shi 赭石
'zhe'suo 浙娑
'zhen'ke'ning'ke'li 镇咳宁颗粒
'zhen'ke'ning'kou'fu'ye 镇咳宁口服液
'zhen'zhu 珍珠
'zhen'zhu'mu 珍珠母
'zheng'qi'pian 正气片
'zhi'cao'wu 制草乌
'zhi'chuan'wu 制川乌
'zhi'chuang'jiao'nang 痔疮胶囊
'zhi'chui'wei 知垂委
'zhi'gan'cao 炙甘草
'zhi'he'shou'wu 制何首乌
'zhi'hong'qi 炙红芪
'zhi'huang'qi 炙黄芪
'zhi'ke 枳壳
'zhi'li'ning'pian 止痢宁片
'zhi'mu 知母
'zhi'shi 枳实
'zhi'tian'nan'xing 制天南星
'zhi'zhu'xiang 蜘蛛香
'zhi'zi 栀子
'zhong'jie'feng 肿节风
'zhong'ru'shi 钟乳石
'zhu'dan'fen 猪胆粉
'zhu'jie'can 竹节参
'zhu'ling 猪苓
'zhu'ru 竹茹
'zhu'sha 朱砂
'zhu'sha'gen 朱砂根
'zhu'ya'zao 猪牙皂
'zhu'zi'can 珠子参
'zhuang'yao'jian'shen'wan 壮腰健身丸
'zi'cao 紫草
'zi'gong'guan'zhong 紫共贯众
'zi'guan 紫莞
'zi'hua'di'ding 紫花地丁
'zi'hua'qian'hu 紫花前胡
'zi'ran'tong 自然铜
'zi'shen'jian'nao'ke'li 滋肾健脑颗粒
'zi'shen'jian'nao'ye 滋肾健脑液
'zi'shi'ying 紫石英
'zi'su'geng 紫苏梗
'zi'su'ye 紫苏叶
'zi'su'zi 紫苏子
'zi'zhu'ye 紫珠叶
'zong'lv 棕榈
'zuo'xuan'long'nao 左旋龙脑
