'a'bi'di'yu 阿鼻地狱
'an'dan'wu'guang 黯淡无光
'an'dan'wu'guang 暗淡无光
'an'dou'ming'zheng 暗斗明争
'an'du'chen'cang 暗度陈仓
'an'du'chen'cang 暗渡陈仓
'an'du'lao'xing 案牍劳形
'an'du'le'ye 安堵乐业
'an'du'ru'gu 安堵如故
'an'du'zhi'lao 案牍之劳
'an'fen'shou'ji 安份守己
'an'fen'shou'ji 安分守己
'an'fen'zhi'zu 安分知足
'an'fu'xu'pin 安富恤贫
'an'fu'xu'qiong 安富恤穷
'an'fu'zun'rong 安富尊荣
'an'gu'zhi'bian 岸谷之变
'an'gu'zhong'qian 安故重迁
'an'guo'fu'min 安国富民
'an'guo'ning'jia 安国宁家
'an'hui'xiao'chen 黯晦消沉
'an'hun'ding'po 安魂定魄
'an'jia'le'ye 安家乐业
'an'jia'li'ye 安家立业
'an'jia'luo'hu 安家落户
'an'jia'qin'bing 按甲寝兵
'an'jia'xiu'bing 按甲休兵
'an'jia'xiu'bing 案甲休兵
'an'jian'chen'mu 案剑瞋目
'an'jian'nan'fang 暗箭难防
'an'jian'shang'ren 暗箭伤人
'an'jian'zhong'ren 暗箭中人
'an'ju'le'ye 安居乐业
'an'lao'huai'shao 安老怀少
'an'le'wo 安乐窝
'an'liang'chu'bao 安良除暴
'an'lv'xi'hong 暗绿稀红
'an'ma'lao'dun 鞍马劳顿
'an'ma'lao'juan 鞍马劳倦
'an'ma'lao'kun 鞍马劳困
'an'ma'zhi'lao 鞍马之劳
'an'mei'dai'yan 安眉带眼
'an'mei'zhi'shi 暗昧之事
'an'min'gao'shi 安民告示
'an'ming'ze'shi 按名责实
'an'na'bu'zhu 按捺不住
'an'nei'rang'wai 安内攘外
'an'pei'xu'xing 按辔徐行
'an'pin'le'dao 安贫乐道
'an'pin'le'jian 安贫乐贱
'an'pin'shou'dao 安贫守道
'an'qi'an'nao 暗气暗恼
'an'qian'ma'hou 鞍前马后
'an'ran'dao'mao 岸然道貌
'an'ran'ru'gu 安然如故
'an'ran'shang'shen 黯然伤神
'an'ran'shen'shang 黯然神伤
'an'ran'shi'se 黯然失色
'an'ran'wu'se 黯然无色
'an'ran'wu'shi 安然无事
'an'ran'wu'yang 安然无恙
'an'ran'xiao'hun 黯然销魂
'an'ren'wu'qin 安忍无亲
'an'ru'pan'shi 安如磐石
'an'ru'tai'shan 安如泰山
'an'ruo'wu'duan 暗弱无断
'an'shen'ding'po 安神定魄
'an'shen'le'ye 安身乐业
'an'shen'li'ming 安身立命
'an'shen'wei'le 安身为乐
'an'shen'zhi'chu 安身之处
'an'shen'zhi'di 安身之地
'an'sheng'fu'ye 安生服业
'an'sheng'le'ye 安生乐业
'an'shi'bu'qi 暗室不欺
'an'shi'chu'shun 安时处顺
'an'shi'feng'deng 暗室逢灯
'an'shi'kui'xin 暗室亏心
'an'shi'li'chu 安室利处
'an'shi'qi'xin 暗室欺心
'an'shi'qiu'wu 暗室求物
'an'shi'ru'chang 安适如常
'an'shi'wu'lou 暗室屋漏
'an'song'qiu'bo 暗送秋波
'an'tu'le'ye 安土乐业
'an'tu'suo'ji 按图索骥
'an'tu'suo'jun 按图索骏
'an'tu'zhong'jiu 安土重旧
'an'tu'zhong'ju 安土重居
'an'tu'zhong'qian 安土重迁
'an'wei'xiang'yi 安危相易
'an'wei'yu'gong 安危与共
'an'wu'liu'du 案无留牍
'an'wu'tian'ri 暗无天日
'an'xian'zi'de 安闲自得
'an'xian'zi'zai 安闲自在
'an'xiang'shu'ying 暗香疏影
'an'xin'ding'zhi 安心定志
'an'xin'le'ye 安心乐业
'an'xin'le'yi 安心乐意
'an'xing'zi'yi 按行自抑
'an'ying'xia'zhai 安营下寨
'an'ying'zha'zhai 安营扎寨
'an'yu'gu'su 安于故俗
'an'yu'xian'zhuang 安于现状
'an'yu'yi'yu 安于一隅
'an'zhai'zheng'lu 安宅正路
'an'zhen'er'wo 安枕而卧
'an'zhi'ruo'ming 安之若命
'an'zhi'ruo'su 安之若素
'an'zhong'mo'suo 暗中摸索
'an'zuo'dai'bi 安坐待毙
'ang'ang'zi'ruo 昂昂自若
'ang'cang'qi'chi 昂藏七尺
'ang'ran'zhi'ru 昂然直入
'ang'ran'zi'de 昂然自得
'ang'ran'zi'ruo 昂然自若
'ang'shou'kuo'bu 昂首阔步
'ang'shou'shen'mei 昂首伸眉
'ang'shou'tian'wai 昂首天外
'ang'shou'ting'xiong 昂首挺胸
'ang'shou'wang'tian 昂首望天
'ang'shou'xin'mei 卬首信眉
'ang'tou'kuo'bu 卬头阔步
'ang'tou'kuo'bu 昂头阔步
'ang'tou'tian'wai 昂头天外
'ang'tou'ting'xiong 昂头挺胸
'ang'xiao'song'he 昂霄耸壑
'ang'yu'xiang'ji 盎盂相击
'ang'yu'xiang'qiao 盎盂相敲
'ao'ao'dai'bu 嗷嗷待哺
'ao'bu'ke'chang 敖不可长
'ao'bu'ke'zhang 傲不可长
'ao'chang'gua'du 熬肠刮肚
'ao'geng'shou'ye 熬更守夜
'ao'gu'lin'lin 傲骨嶙嶙
'ao'hui'wu'ji 懊悔无及
'ao'jiang'xia'cu 熬姜呷醋
'ao'ku'shou'dan 熬枯受淡
'ao'li'duo'zun 鳌里夺尊
'ao'man'bu'xun 傲慢不逊
'ao'man'shao'li 傲慢少礼
'ao'man'wu'li 傲慢无礼
'ao'miao'wu'qiong 奥妙无穷
'ao'ni'de'zhi 傲睨得志
'ao'ni'wan'wu 傲睨万物
'ao'ni'yi'qie 傲睨一切
'ao'ni'yi'shi 傲睨一世
'ao'ni'zi'ruo 傲睨自若
'ao'qing'shou'dan 熬清受淡
'ao'qing'shou'dan 熬清守淡
'ao'ran'yi'li 傲然屹立
'ao'shi'qing'wu 傲世轻物
'ao'shuang'dou'xue 傲霜斗雪
'ao'tou'ao'nao 傲头傲脑
'ao'tou'du'zhan 鳌头独占
'ao'xian'man'shi 傲贤慢士
'ao'xin'fei'li 熬心费力
'ao'xue'ling'shuang 傲雪凌霜
'ao'xue'qi'shuang 傲雪欺霜
'ao'ya'ji'kou 聱牙戟口
'ao'ya'ji'qu 聱牙诘屈
'ao'ya'ji'qu 聱牙诘曲
'ao'ya'ji'qu 聱牙佶屈
'ao'ya'ji'qu 謷牙诘屈
'ao'you'fei'huo 熬油费火
'ao'yuan'you'ling 奥援有灵
'ao'zhi'jing'tun 鳌掷鲸吞
'ba'ba'ji'ji 巴巴急急
'ba'ba'jie'jie 巴巴劫劫
'ba'ba'jie'jie 巴巴结结
'ba'bai'gu'han 八百孤寒
'ba'bai'zhi'jiao 八拜之交
'ba'ben'sai'yuan 拔本塞原
'ba'ben'sai'yuan 拔本塞源
'ba'bi'ru'lin 把臂入林
'ba'chi'bu'ding 把持不定
'ba'chu'bai'jia 罢黜百家
'ba'chuang'ling'long 八窗玲珑
'ba'cong'chu'lei 拔丛出类
'ba'cui'chu'lei 拔萃出类
'ba'cui'chu'qun 拔萃出群
'ba'dao'heng'xing 霸道横行
'ba'dao'xiang'xiang 拔刀相向
'ba'dao'xiang'zhu 拔刀相助
'ba'di'yao'shan 拔地摇山
'ba'di'yi'tian 拔地倚天
'ba'ding'chou'xie 拔丁抽楔
'ba'dou'zhi'cai 八斗之才
'ba'fan'jiao'ji 把饭叫饥
'ba'fang'feng'yu 八方风雨
'ba'fang'hu'ying 八方呼应
'ba'fang'zhi'yuan 八方支援
'ba'gao'cai'di 扒高踩低
'ba'gao'wang'shang 巴高望上
'ba'gong'shan'shang 八公山上
'ba'guo'juan'xi 拔锅卷席
'ba'hong'tong'gui 八纮同轨
'ba'hu'di'wei 跋胡疐尾
'ba'hu'fei'yang 跋扈飞扬
'ba'hu'zi'sui 跋扈恣睢
'ba'hu'zi'zi 跋扈自恣
'ba'huang'zhi'wai 八荒之外
'ba'jian'lun'gong 拔剑论功
'ba'jie'jiu'mo 八街九陌
'ba'jiu'bu'li'shi 八九不离十
'ba'jiu'chi'ao 把酒持螯
'ba'kui'dan'zao 拔葵啖枣
'ba'kui'qu'zhi 拔葵去织
'ba'lai'bao'wang 跋来报往
'ba'lai'bao'wang 拔来报往
'ba'le'luo'bo'di'pi'kuan 拔了萝卜地皮宽
'ba'lei'chao'qun 拔类超群
'ba'ling'zui'wei 霸陵醉尉
'ba'lv'shan'chuan 跋履山川
'ba'mao'ji'shi 拔毛济世
'ba'mao'lian'ru 拔茅连茹
'ba'mian'jian'guang 八面见光
'ba'mian'ling'long 八面玲珑
'ba'mian'shi'feng 八面驶风
'ba'mian'shou'di 八面受敌
'ba'mian'wei'feng 八面威风
'ba'mian'ying'che 八面莹澈
'ba'mian'yuan'tong 八面圆通
'ba'mian'zhang'luo 八面张罗
'ba'miao'zhu'zhang 拔苗助长
'ba'nan'san'zai 八难三灾
'ba'qian'di'hou 跋前疐后
'ba'qian'jie'hou 跋前踕后
'ba'qian'suan'hou 巴前算后
'ba'qian'zhi'hou 跋前踬后
'ba'qun'chu'cui 拔群出萃
'ba'ren'xia'li 巴人下里
'ba'san'lan'si 巴三览四
'ba'shan'chao'hai 拔山超海
'ba'shan'duo'ling 巴山度岭
'ba'shan'gai'shi 拔山盖世
'ba'shan'gang'ding 拔山扛鼎
'ba'shan'ju'ding 拔山举鼎
'ba'shan'she'chuan 跋山涉川
'ba'shan'she'shui 跋山涉水
'ba'shan'shu'shui 巴山蜀水
'ba'shan'ye'yu 巴山夜雨
'ba'shan'yue'ling 巴山越岭
'ba'she'shan'chuan 跋涉山川
'ba'shi'de'wu 拔十得五
'ba'shi'shi'wu 拔十失五
'ba'shu'sou'gen 拔树搜根
'ba'shu'xun'gen 拔树寻根
'ba'su'chi'zhai 把素持斋
'ba'tou'tan'nao 巴头探脑
'ba'wan'si'qian 八万四千
'ba'wan'wu'yan 把玩无厌
'ba'wang'bie'ji 霸王别姬
'ba'wang'feng'yue 霸王风月
'ba'xi'zhuo'xiang 拔犀擢象
'ba'xia'tou'jing 拔辖投井
'ba'xian'guo'hai 八仙过海
'ba'xin'ling'yi 拔新领异
'ba'xin'zhu'huo 把薪助火
'ba'yin'die'zou 八音迭奏
'ba'yin'e'mi 八音遏密
'ba'zhai'fei'sheng 拔宅飞升
'ba'zhai'shang'sheng 拔宅上升
'ba'zhao'yi'han 拔赵易汉
'ba'zhao'zhi'li'chi'zhi 拔赵帜立赤帜
'ba'zhao'zhi'yi'han'zhi 拔赵帜易汉帜
'ba'zhen'yu'shi 八珍玉食
'ba'zhi'shu'zhi 拔帜树帜
'ba'zhi'yi'zhi 拔帜易帜
'ba'zi'da'kai 八字打开
'ba'zi'mei'jian'yi'pie 八字没见一撇
'ba'zi'mei'yi'pie 八字没一撇
'bai'bai'zhu'zhu 白白朱朱
'bai'ban'diao'nan 百般刁难
'bai'ban'feng'cheng 百般奉承
'bai'bi'cong'sheng 百弊丛生
'bai'bi'qing'ying 白璧青蝇
'bai'bi'wei'xia 白璧微瑕
'bai'bi'wu'xia 白璧无瑕
'bai'bu'chuan'yang 百步穿杨
'bai'bu'dang'yi 百不当一
'bai'bu'huo'yi 百不获一
'bai'bu'nei 败不馁
'bai'bu'shi'yi 百不失一
'bai'bu'sui'yi 百不随一
'bai'bu'xuan'zhong 败不旋踵
'bai'bu'yi'cun 百不一存
'bai'cai'shang'jin 败材伤锦
'bai'cao'huang'yun 白草黄云
'bai'chi'gan'tou 百尺竿头
'bai'chuan'gui'hai 百川归海
'bai'ci'mo'bian 百辞莫辩
'bai'ci'zhi'shi 拜赐之师
'bai'dai'guo'ke 百代过客
'bai'dai'wen'zong 百代文宗
'bai'dao'yuan'men 拜倒辕门
'bai'dao'zi'jin 白刀子进
'bai'de'ru'xing 败德辱行
'bai'ding'su'ke 白丁俗客
'bai'du'bu'yan 百读不厌
'bai'du'jie'zuo 百堵皆作
'bai'duan'dai'ju 百端待举
'bai'en'si'shi 拜恩私室
'bai'er'he'shan 百二河山
'bai'er'shan'he 百二山河
'bai'fa'bai'zhong 百发百中
'bai'fa'cang'cang 白发苍苍
'bai'fa'cang'yan 白发苍颜
'bai'fa'dan'xin 白发丹心
'bai'fa'hong'yan 白发红颜
'bai'fa'luan'ji 败法乱纪
'bai'fa'qian'zhang 白发千丈
'bai'fa'qing'shan 白发青衫
'bai'fa'zhu'yan 白发朱颜
'bai'fan'qing'chu 白饭青刍
'bai'fei'dai'ju 百废待举
'bai'fei'dai'xing 百废待兴
'bai'fei'ju'xing 百废俱兴
'bai'fu'jue'shi 百夫决拾
'bai'gan'jiao'ji 百感交集
'bai'gu'lu'ye 白骨露野
'bai'gu'zai'rou 白骨再肉
'bai'gu'zhi'pi 败鼓之皮
'bai'guan'ye'shi 稗官野史
'bai'gui'qiu'shen 拜鬼求神
'bai'gui'zhi'dian 白圭之玷
'bai'guo'sang'jia 败国丧家
'bai'guo'wang'jia 败国亡家
'bai'he'zong'heng 捭阖纵横
'bai'hei'bu'fen 白黑不分
'bai'hei'dian'dao 白黑颠倒
'bai'hei'fen'ming 白黑分明
'bai'hong'guan'ri 白虹贯日
'bai'hua'qi'fang 百花齐放
'bai'hua'shang'feng 败化伤风
'bai'hua'sheng'ri 百花生日
'bai'hua'zheng'yan 百花争艳
'bai'hua'zheng'yan 百花争妍
'bai'hua'zhi'yuan 白华之怨
'bai'hui'qian'pa 百卉千葩
'bai'ji'qian'fang 百计千方
'bai'ji'shi'ju 败绩失据
'bai'jia'zheng'ming 百家争鸣
'bai'jiang'feng'hou 拜将封侯
'bai'jing'tui'yuan 败井颓垣
'bai'ju'bai'quan 百举百全
'bai'ju'guo'xi 白驹过隙
'bai'ju'kong'gu 白驹空谷
'bai'jun'zhi'jiang 败军之将
'bai'kong'qian'chuang 百孔千疮
'bai'kou'mo'bian 百口莫辩
'bai'la'ming'jing 白蜡明经
'bai'lang'xian'tian 白浪掀天
'bai'li'bu'tong'su 百里不同俗
'bai'li'tiao'yi 百里挑一
'bai'li'zhi'cai 百里之才
'bai'lian'cheng'gang 百炼成钢
'bai'liao'qian'dang 百了千当
'bai'lin'can'jia 败鳞残甲
'bai'ling'bai'li 百伶百俐
'bai'ling'mei'shou 百龄眉寿
'bai'liu'can'hua 败柳残花
'bai'long'yu'fu 白龙鱼服
'bai'mao'huang'yue 白旄黄钺
'bai'mei'chi'yan 白眉赤眼
'bai'mei'qian'jiao 百媚千娇
'bai'mian'shu'sheng 白面书生
'bai'nian'bu'yu 百年不遇
'bai'nian'da'ji 百年大计
'bai'nian'jie'hui 百念皆灰
'bai'nian'nan'yu 百年难遇
'bai'nian'shu'ren 百年树人
'bai'nian'xie'lao 百年偕老
'bai'nian'zhi'bing 百年之柄
'bai'nian'zhi'hao 百年之好
'bai'nian'zhi'hou 百年之后
'bai'niao'chao'feng 百鸟朝凤
'bai'qiao'qian'qiong 百巧千穷
'bai'quan'fei'sheng 百犬吠声
'bai'ri'jian'gui 白日见鬼
'bai'ri'sheng'tian 白日升天
'bai'ri'xiu'yi 白日绣衣
'bai'ri'yi'xiu 白日衣绣
'bai'ri'zuo'meng 白日做梦
'bai'se'kong'bu 白色恐怖
'bai'sha'zai'nie 白沙在涅
'bai'shan'hei'shui 白山黑水
'bai'she'chong'jian 百舍重茧
'bai'she'zhi'sheng 百舌之声
'bai'shen'he'shu 百身何赎
'bai'shen'mo'shu 百身莫赎
'bai'shi'bu'mo 百世不磨
'bai'shi'shi 百世师
'bai'shi'you'yu 败事有余
'bai'shi'zhi'shi 百世之师
'bai'shou'bei'mian 白首北面
'bai'shou'bu'yu 白首不渝
'bai'shou'kong'gui 白首空归
'bai'shou'qi'jia 白手起家
'bai'shou'qiong'jing 白首穷经
'bai'shou'shuai'wu 百兽率舞
'bai'shou'xiang'zhi 白首相知
'bai'shou'zhi'xin 白首之心
'bai'shui'jian'xin 白水鉴心
'bai'si'bu'de'qi'jie 百思不得其解
'bai'si'bu'jie 百思不解
'bai'si'mo'jie 百思莫解
'bai'su'shang'feng 败俗伤风
'bai'su'shang'hua 败俗伤化
'bai'sui'qian'qiu 百岁千秋
'bai'sui'zhi'hao 百岁之好
'bai'tou'dao'lao 白头到老
'bai'tou'ru'xin 白头如新
'bai'tou'xiang'shou 白头相守
'bai'tou'xie'lao 白头偕老
'bai'wan'mai'zhai 百万买宅
'bai'wan'xiong'shi 百万雄师
'bai'wang'hei'lai 白往黑来
'bai'wei'yao'tou 摆尾摇头
'bai'wen'bu'ru'yi'jian 百闻不如一见
'bai'wu'han'men 白屋寒门
'bai'wu'jin'ji 百无禁忌
'bai'wu'liao'lai 百无聊赖
'bai'wu'yi'cheng 百无一成
'bai'wu'yi'neng 百无一能
'bai'wu'yi'shi 百无一失
'bai'wu'yi'shi 百无一是
'bai'wu'yi'yong 百无一用
'bai'xing'bu'ru'yi'yue 百星不如一月
'bai'xing'er'gui 败兴而归
'bai'xiu'que'jin 摆袖却金
'bai'xu'qi'zhong 败絮其中
'bai'xue'ai'ai 白雪皑皑
'bai'xue'yang'chun 白雪阳春
'bai'yan'xiang'kan 白眼相看
'bai'ye'xiao'he 败也萧何
'bai'ye'xiao'tiao 百业萧条
'bai'yi'bai'cong 百依百从
'bai'yi'bai'shun 百依百顺
'bai'yi'bai'sui 百衣百随
'bai'yi'bai'sui 百依百随
'bai'yi'cang'gou 白衣苍狗
'bai'yi'gong'qing 白衣公卿
'bai'yi'qing'xiang 白衣卿相
'bai'yi'xiu'shi 白衣秀士
'bai'yu'chui'cheng 败于垂成
'bai'yu'ru'zhou 白鱼入舟
'bai'yu'wei'xia 白玉微瑕
'bai'yu'wu'xia 白玉无瑕
'bai'yun'cang'gou 白云苍狗
'bai'yun'gu'fei 白云孤飞
'bai'yun'qin'she 白云亲舍
'bai'ze'wei'kou 败则为寇
'bai'ze'wei'lu 败则为虏
'bai'ze'wei'zei 败则为贼
'bai'zhan'bai'sheng 百战百胜
'bai'zhan'bu'dai 百战不殆
'bai'zhang'gan'tou 百丈竿头
'bai'zhe'bu'hui 百折不回
'bai'zhe'bu'nao 百折不挠
'bai'zhi'hei'zi 白纸黑字
'bai'zhou'zhi'shi 柏舟之誓
'bai'zong'qian'sui 百纵千随
'bai'zu'zhi'chong 百足之虫
'ban'ban'ke'kao 班班可考
'ban'ban'liu'shi'si 版版六十四
'ban'bi'he'shan 半壁河山
'ban'bi'jiang'shan 半壁江山
'ban'bi'shan'he 半壁山河
'ban'bo'lu'li 斑驳陆离
'ban'bo'lu'li 班驳陆离
'ban'bu'lun'yu 半部论语
'ban'bu'lun'yu'zhi'tian'xia 半部论语治天下
'ban'chi'bu'dian 半痴不颠
'ban'chou'bu'na 半筹不纳
'ban'chou'mo'zhan 半筹莫展
'ban'chun'di'she 搬唇递舌
'ban'chun'nong'she 搬唇弄舌
'ban'gong'xing'shang 班功行赏
'ban'jian'ban'jie 半间半界
'ban'jian'bu'jie 半间不界
'ban'jie'ru'tu 半截入土
'ban'jie'yi'zhi 半解一知
'ban'jin'ba'liang 半斤八两
'ban'jin'bo'liang 搬斤播两
'ban'jing'dao'gu 班荆道故
'ban'jing'dao'jiu 班荆道旧
'ban'lu'chu'jia 半路出家
'ban'lu'xiu'xing 半路修行
'ban'men'nong'fu 班门弄斧
'ban'mian'bu'wang 半面不忘
'ban'mian'zhi'jiao 半面之交
'ban'mian'zhi'jiu 半面之旧
'ban'nong'shi'fei 搬弄是非
'ban'qi'shi'tou'da'zi'ji'de'jiao 搬起石头打自己的脚
'ban'qing'ban'huang 半青半黄
'ban'san'bu'si 半三不四
'ban'shang'ban'xia 半上半下
'ban'shang'ding'ding 板上钉钉
'ban'shang'la'xia 半上落下
'ban'shang'za'ding 板上砸钉
'ban'shang'zou'wan 阪上走丸
'ban'shen'bu'sui 半身不遂
'ban'sheng'ban'shu 半生半熟
'ban'sheng'bu'shu 半生不熟
'ban'shi'hui'chao 班师回朝
'ban'shi'za'jiao 搬石砸脚
'ban'shi'zai'xiang 伴食宰相
'ban'shi'zhong'shu 伴食中书
'ban'si'ban'lv 半丝半缕
'ban'si'ban'sheng 半死半生
'ban'si'bu'huo 半死不活
'ban'si'la'huo 半死辣活
'ban'tu'ban'lou 半吐半露
'ban'tu'er'fei 半途而废
'ban'tu'er'fei 半涂而废
'ban'tui'ban'jiu 半推半就
'ban'tun'ban'tu 半吞半吐
'ban'xiang'song'yan 班香宋艳
'ban'xin'ban'jiu 半新半旧
'ban'xin'ban'yi 半信半疑
'ban'xin'bu'jiu 半新不旧
'ban'xin'bu'xin 半信不信
'ban'ye'san'geng 半夜三更
'ban'yi'ban'xin 半疑半信
'ban'yi'xi'cai 斑衣戏彩
'ban'yi'xi'cai 班衣戏彩
'ban'zhen'ban'jia 半真半假
'ban'zhu'fan'niu 版筑饭牛
'bang'bing'cheng'zhu 蚌病成珠
'bang'da'yuan'yang 棒打鸳鸯
'bang'guan'leng'yan 傍观冷眼
'bang'guo'tian'cui 邦国殄瘁
'bang'hu'chi'shi 帮虎吃食
'bang'hua'sui'liu 傍花随柳
'bang'ren'li'bi 傍人篱壁
'bang'ren'li'luo 傍人篱落
'bang'ren'men'hu 傍人门户
'bang'ruo'wu'ren 傍若无人
'bang'shang'wu'ming 榜上无名
'bang'xian'zuan'lan 帮闲钻懒
'bang'yi'min'wei'ben 邦以民为本
'bao'an'shi'gu 饱谙世故
'bao'ban'dai'ti 包办代替
'bao'ben'fan'shi 报本反始
'bao'biao'qin'sheng 抱表寝绳
'bao'bing'gong'shi 报冰公事
'bao'bing'gong'shi 抱冰公事
'bao'bu'mao'si 抱布贸丝
'bao'can'shou'que 保残守缺
'bao'can'shou'que 抱残守阙
'bao'can'shou'que 抱残守缺
'bao'cang'huo'xin 包藏祸心
'bao'cang'jian'xin 包藏奸心
'bao'cheng'shou'zhen 抱诚守真
'bao'cheng'yi'tuan 抱成一团
'bao'chou'xue'chi 报仇雪耻
'bao'chou'xue'hen 报雠雪恨
'bao'chou'xue'hen 报仇雪恨
'bao'da'bu'ping 抱打不平
'bao'dao'bu'lao 宝刀不老
'bao'dao'wei'lao 宝刀未老
'bao'fa'chu'shi 抱法处势
'bao'feng'ji'yu 暴风疾雨
'bao'feng'zhou'yu 暴风骤雨
'bao'fu'bu'fan 抱负不凡
'bao'guan'ji'tuo 抱关击柝
'bao'guan'zhi'yue 抱关执籥
'bao'guo'an'min 保国安民
'bao'han'bu'zhi'e'han'ji 饱汉不知饿汉饥
'bao'hen'huang'quan 抱恨黄泉
'bao'hen'zhong'tian 抱恨终天
'bao'hu'ping'he 暴虎冯河
'bao'huo'qin'xin 抱火寝薪
'bao'huo'wo'xin 抱火卧薪
'bao'jing'cang'sang 饱经沧桑
'bao'jing'feng'shuang 饱经风霜
'bao'jing'feng'yu 饱经风雨
'bao'jing'shi'bian 饱经世变
'bao'jing'shi'gu 饱经世故
'bao'jing'shuang'xue 饱经霜雪
'bao'jing'xi'min 保境息民
'bao'jing'you'huan 饱经忧患
'bao'ju'gan'du 苞苴竿牍
'bao'ju'yu'nei 包举宇内
'bao'lan'ci'song 包揽词讼
'bao'li'tou'tao 报李投桃
'bao'li'zi'sui 暴戾恣睢
'bao'lian'heng'zheng 暴敛横征
'bao'lian'shi'gu 饱练世故
'bao'ling'shou'lv 抱令守律
'bao'lu'wu'yi 暴露无遗
'bao'luo'wan'xiang 包罗万象
'bao'luo'wan'you 包罗万有
'bao'ma'xiang'che 宝马香车
'bao'nei'ling'wai 暴内陵外
'bao'nuan'sheng'yin'yu 饱暖生淫欲
'bao'nuan'si'yin'yu 饱暖思淫欲
'bao'nue'wu'dao 暴虐无道
'bao'pi'chou'jin 剥皮抽筋
