'a'tong'san'chi'chui 阿童三尺棰
'bo'ming'xing'ye'chan 波明荇叶颤
'bo'mu'gui'lai'che'ma'pi 薄暮归来车马疲
'bo'mu'yi'huan'jia 薄暮亦还家
'bo'niang'bu'jiao'xiong'lei'kuai 薄酿不浇胸垒块
'bo'shen'cang'long'hou 波深苍龙吼
'bo'tao'zai'gu'shu 波涛在孤树
'bo'zhong'xiao'di'you'zi'zhi 伯仲小低犹子侄
'bo'zhou'deng'an'er'yuan'wang'xi 泊舟登岸而远望兮
'bo'zhuo'shui'qiao'hu 剥啄谁敲户
'bu'chen'bu'ma'xi'you'yu 不瞋不骂喜有余
'bu'chou'huang'ye'luo 不愁黄叶落
'bu'chou'wu'lou'chuang'chuang'shi 不愁屋漏床床湿
'bu'chu'zhi'chou'gan 不出只愁感
'bu'ci'yi'qi'ling'feng'xue 不辞驿骑凌风雪
'bu'fang'lai'wang'lu 不妨来往路
'bu'fang'sheng'ju'liang'san'bei 不妨剩举两三杯
'bu'feng'zi'cheng'hua 不风自成花
'bu'fu'zhi'di'hou 不复知地厚
'bu'gan'tie'suo'lou'chuan'li 不干铁锁楼船力
'bu'gu'che'lie'gu 不顾车裂鼓
'bu'guan'qing'chu'zong'shang'xin 不关情处总伤心
'bu'guan'yan'bo'yu'feng'yu 不管烟波与风雨
'bu'jian'tiao'zhu'shi'wu'nian 不见跳珠十五年
'bu'jian'zhu'rong'feng 不见祝融峰
'bu'jin'hai'jia'qu'guo'qing 不尽还家去国情
'bu'ken'guo'jiang'dong 不肯过江东
'bu'ling'qi'xiang'shao'ting'chu 不令气象少渟滀
'bu'lun'jia'dao'hu'jiang'man 不论夹道壶浆满
'bu'lv'sai'chen'kai 不虑塞尘开
'bu'neng'shou'ti'tian'xia'wang 不能手提天下往
'bu'pa'xue'mai'cang 不怕雪埋藏
'bu'ren'wen'he'ru 不忍问何如
'bu'ru'yi'shi'chang'qian'wan 不如意事常千万
'bu'ru'zhong'cong'hui 不如种丛篲
'bu'shi'di'shang'shuang 不湿地上霜
'bu'shi'gong'yi'chu 不使共一处
'bu'shi'yang'can'ren 不是养蚕人
'bu'shi'yi'bu'chi 不驶亦不迟
'bu'wai'tang'tian'xing 补外倘天幸
'bu'wei'hua'cao'xi 不谓花草稀
'bu'wen'peng'lai'gong 不闻蓬莱宫
'bu'xi'chong'jun'pao 不惜充君庖
'bu'xi'juan'lian'tong'yi'gu 不惜卷帘通一顾
'bu'xian'yun'meng'jie'wu'xiong 不嫌云梦芥吾胸
'bu'xu'bang'lian'fei 不许傍帘飞
'bu'xu'geng'ta'hua'di'ou 不须更踏花底藕
'bu'yu'bi'xin'suan 不语鼻辛酸
'bu'zhi'he'xian'ren 不知何仙人
'bu'zhi'huai'shui'shi'tian'ya 不知淮水是天涯
'bu'zhi'jin'wan'yin'he'shui 不知尽挽银河水
'bu'zhi'jin'xi'meng 不知今夕梦
'bu'zhi'piao'bo'zai'peng'cheng 不知漂泊在彭城
'bu'zhi'ren'jian'he'chu'you'ci'jing 不知人间何处有此境
'bu'zhi'shui'zuo'jiao'long'hou 不知谁作蛟龙吼
'bu'zhi'zhao'ri'sheng 不知朝日升
'bu'zhi'zhi'nv'ying'chuang'xia 不知织女萤窗下
'bu'zuo'cang'mang'qu 不作苍茫去
'bu'zuo'feng'hou'nian 不作封侯念
'cai'de'bo'tao'bian'cheng'xue 才得波涛变成雪
'cai'de'huang'hua'zuo'zhen'nang 采得黄花作枕囊
'cai'ling'xin'ku'fei'li'chu 采菱辛苦废犁锄
'cai'qiao'shen'ru'wu'qiong'shan 采樵深入无穷山
'cai'ru'cheng'men'bian'bu'sheng 才入城门便不生
'cai'shu'zhi'da'bu'zi'liang 才疏志大不自量
'cai'yun'fu'sang'tun 彩晕扶桑暾
'can'bei'ku'du'juan 残碑哭杜鹃
'can'can'jiang'nan'wan'yu'fei 粲粲江南万玉妃
'can'cui'fu'ke'bao 餐翠腹可饱
'can'jun'chun'si'luan'ru'yun 参军春思乱如云
'can'kui'tao'xie'shou 惭愧陶谢手
'can'ri'yi'shan'jin 残日依山尽
'can'xue'ya'zhi'you'you'ju 残雪压枝犹有橘
'can'yu'wei'mian'cong'ren'qi 残余未免从人乞
'can'zhuang'huai'nan'zheng 残妆坏难整
'cang'hai'chen'qin'bi 沧海沉秦璧
'cang'hai'ke'gui'zhu'beng'lei 沧海客归珠迸泪
'cang'huang'ke'bao'qin 苍皇客抱衾
'cang'lei'bu'ren'kan 藏泪不忍看
'cang'long'bu'fu'cong'tian'xia 苍龙不复从天下
'cang'ran'lao'qi'ya'tao'xing 苍然老气压桃杏
'cang'sheng'ren'dao'xuan 苍生忍倒悬
'cang'tian'bu'zhi'ku 苍天不知苦
'cang'yan'hu'ming'lang 苍烟忽鸣榔
'cao'bu'zhi'ming'sui'yi'sheng 草不知名随意生
'cao'cao'guan'jun'du 草草官军渡
'cao'mu'dong'cheng'lin 草木动成林
'cao'mu'han'you'guang 草木含幽光
'cao'mu'jin'jian'shou 草木尽坚瘦
'cao'mu'qian'shen'bai 草木浅深白
'cao'xun'ru'sai 曹勋入塞
'ce'ce'wo'xin'lao 恻恻我心劳
'ce'ma'you'kan'du'yun'zhan 策马犹堪度云栈
'ce'ming'wei'li'er'shi'zai 策名为吏二十载
'ce'shen'bi'duo'hao'zhong'ni 侧身逼堕濠中泥
'ceng'bu'ruo'yun'tuo 曾不若陨箨
'ceng'ji'ling'mei 曾几岭梅
'ceng'ji'su'xiu'dao'zhong 曾几苏秀道中
'ceng'ji'wen'kou'zhi'chu'qu'liu'zhou 曾几闻寇至初去柳州
'ceng'ji'xue'zhong 曾几雪中
'ceng'jian'tao'hua'jing'chu'tu 曾见桃花静初吐
'ceng'shi'jing'hong'zhao'ying'lai 曾是惊鸿照影来
'ceng'shi'luo'yang'hua'xia'ke 曾是洛阳花下客
'ceng'shi'wan'nian'shang'di'yue 曾识万年觞底月
'ceng'xiang'qian'tang'zhu 曾向钱塘住
'ceng'zuo'jin'ling'lan'man'you 曾作金陵烂漫游
'cha'ding'xun'lu'yu'ke'tong 茶鼎熏炉与客同
'cha'yang'ying'chou'xi'you'jiu'ying'gang 插秧盈畴兮有酒盈缸
'chan'fu'mian'sui'po 谗夫面虽破
'chan'fu'xin'sui'po 谗夫心虽破
'chan'yu'ruo'wen'jun'jia'shi 单于若问君家世
'chang'an'che'zhe'bian 长安车辙边
'chang'an'wai'cheng'gao'shi'zhang 长安外城高十丈
'chang'ci'ting'chan'yuan 长此听潺湲
'chang'hen'tian'di'wu'quan'gong 常恨天地无全功
'chang'huai'wan'li'bei'feng'ke 长怀万里北风客
'chang'jiang'dao'liu'dou'shang'xi 长江倒流都上西
'chang'jiang'gun'gun'jiao'long'nu 长江滚滚蛟龙怒
'chang'jiang'jie'tian'fan'dao'chi 长江接天帆到迟
'chang'jiang'lang'sheng'chuan'qu'nan 长江浪生船去难
'chang'jiang'xi'lai'zou'qi'xia 长江西来走其下
'chang'lian'gu'tu'hua 尝怜古图画
'chang'qu'da'hu'ren'si'zou 长衢大呼人四走
'chang'ran'gui'wo'xin'mo'shi 怅然归卧心莫识
'chang'shi'qing'lou'wu'de'ming 长使青楼误得名
'chang'shu'bu'jin'xi 长输不尽溪
'chang'song'luo'xue'jing'zhou'mian 长松落雪惊昼眠
'chang'song'zhong'xiao'feng'yu'sheng 常送中宵风雨声
'chang'tian'xiang'shui'di 长天向水低
'chang'tiao'ban'luo'li'zhi'pu 长条半落荔枝浦
'chang'wang'bing'xue'yan 怅望冰雪颜
'chang'wen'kun'lang'jian 尝闻昆阆间
'chang'zhan'yan'bo'nong'ming'yue 长占烟波弄明月
'chao'chang'you'wei'bo 怊怅有微波
'chao'chong'zhi'yi'men'xing'zeng'qin'yi'zhong 晁冲之夷门行赠秦夷仲
'chao'duan'you'su'ji'zhou 晁端友宿济州
'chao'fan'zhe'guo'wu 朝饭辄过午
'chao'lai'ting'shu'you'ming'qin 朝来庭树有鸣禽
'chao'si'mu'si'zai'chang'an 朝思暮思在长安
'chao'tui'gua'ni'cheng'dao'yu 潮退刮泥成岛屿
'chao'zhong'you'qie'xiang'si'lei 潮中有妾相思泪
'chen'chen'shui'jing'gong 沉沉水精宫
'chen'guan'hui'cui'gu'xie'huang 沉馆隳摧古榭荒
'chen'ji'ke'lian'sui'shou'jin 陈迹可怜随手尽
'chen'ji'wei'wang'you'yi'lai 陈迹未忘犹一来
'chen'liang'mei'hua 陈亮梅花
'chen'shao'mu'shuo'dui'ji'gao 晨烧暮烁堆积高
'chen'shi'dao'bie'san'zi 陈师道别三子
'chen'shi'dao'chu'ye'dui'jiu'zeng'shao'zhang 陈师道除夜对酒赠少章
'chen'shi'dao'chun'huai'shi'lin'li 陈师道春怀示邻里
'chen'shi'dao'fang'ge'xing'liang'shou 陈师道放歌行两首
'chen'shi'dao'gu'mo'xing'bing'xu 陈师道古墨行并序
'chen'shi'dao'huai'yuan 陈师道怀远
'chen'shi'dao'ji'wai'jiu'guo'dai'fu 陈师道寄外舅郭大夫
'chen'shi'dao'shi'san'zi 陈师道示三子
'chen'shi'dao'song'wai'jiu'guo'dai'fu 陈师道送外舅郭大夫
'chen'shi'dao'xie'zhao'sheng'hui'shao'yao 陈师道谢赵生惠芍药
'chen'shi'dao'ye'wai'da'fu'mu 陈师道谒外大父墓
'chen'shi'dao'zhou'zhong'er'shou 陈师道舟中二首
'chen'shuang'jian'he'liang 晨霜践河梁
'chen'tu'cang'ying'lue'di'fei 趁兔苍鹰掠地飞
'chen'yu'yi'chu'ye'liang'shou 陈与义除夜两首
'chen'yu'yi'chun'ri'liang'shou 陈与义春日两首
'chen'yu'yi'ci'yun'yin'qian'gan'huai 陈与义次韵尹潜感怀
'chen'yu'yi'dao'zhong'han'shi 陈与义道中寒食
'chen'yu'yi'du'jiang 陈与义渡江
'chen'yu'yi'feng'yu 陈与义风雨
'chen'yu'yi'he'zhang'gui'chen'shui'mo'mei 陈与义和张规臣水墨梅
'chen'yu'yi'ji'bao'zhen'chi'shang 陈与义集葆真池上
'chen'yu'yi'mu'dan 陈与义牡丹
'chen'yu'yi'shang'chun 陈与义伤春
'chen'yu'yi'yu 陈与义雨
'chen'yu'yi'yu'qing 陈与义雨晴
'chen'zhong'hui'yi'lai 尘中悔一来
'chen'zhong'mu'gu'yao'ai'luo'fan'zhuang 晨钟暮鼓杳霭罗幡幢
'cheng'jiang'yi'dao'yue'fen'ming 澄江一道月分明
'cheng'ru'guan'zhong'de'wei'zhi 秤入官中得微直
'cheng'shang'xie'yang'hua'jiao'ai 城上斜阳画角哀
'cheng'tan'yong'qing'yun 澄潭涌晴晕
'cheng'tu'fan'dou'cha 程途犯斗槎
'cheng'xian'zhuang'jun'ru 城陷撞军入
'cheng'xiang'ci'qian'chun'ri'mu 丞相祠前春日暮
'cheng'xiang'you'zong'ji 丞相忧宗及
'cheng'xing'zhou'yu'wu'bu'ke 乘兴舟舆无不可
'cheng'zhong'bao'zhu'yi'can'geng 城中爆竹已残更
'chi'bi'zai'qian'kun 赤壁再乾坤
'chi'ci'wo'shan'lin 持此卧山林
'chi'cun'wei'shi'chan'yi'zhong 尺寸未施谗已众
'chi'er'liao'que'gong'jia'shi 痴儿了却公家事
'chi'jia'dan'you'si'li'bi 持家但有四立壁
'chi'shou'qi'jing'bu'shi'kong 赤手骑鲸不施鞚
'chi'wen'nan'fang'ren 持问南方人
'chong'chong'hong'shu'qiu'shan'wan 重重红树秋山晚
'chong'ji'chuan'you'xue 虫迹穿幽穴
'chong'rong'sheng'li'bu'ke'yi'gou'qu'xi 宠荣声利不可以苟屈兮
'chong'yang'ceng'cha'ju'hua'wu 重阳曾插菊花无
'chou'bian'you'luan'ying 愁边有乱莺
'chou'chang'dong'lan'er'zhu'xue 惆怅东栏二株雪
'chou'feng'han'jie'cang'jiang'shang 愁逢汉节沧江上
'chou'sheng'shan'wai'shan 愁生山外山
'chou'wo'yi'qing'yin 酬我以清阴
'chou'xin'ru'wu'lou 愁心如屋漏
'chou'yun'qi'shun'ling 愁云起舜陵
'chu'bai'jia'sao'sao 出拜家骚骚
'chu'chu'zhu'cha'teng'yi'zhi 处处煮茶藤一枝
'chu'guai'shang'dou'wen'zhan'ma 初怪上都闻战马
'chu'ke'zi'sheng'ai 楚客自生哀
'chu'men'fu'huan'jia 出门复还家
'chu'men'yi'xiao'da'jiang'heng 出门一笑大江横
'chu'mo'feng'bo'li 出没风波里
'chu'que'dong'feng'sha'ji'lv 除却东风沙际绿
'chu'ru'shi'gan'lan 初如食橄榄
'chu'sai'san'gong'zuo'xue'shuang 出塞三宫坐雪霜
'chu'shi'yi'biao'zhen'ming'shi 出师一表真名世
'chu'wen'qiao'shan'song'gong'jian 初闻桥山送弓箭
'chu'xiang'shui'guo'di'bei'wu 楚乡水国地卑污
'chu'ye'zi'shi'hu'gui'tiao'xi 除夜自石湖归苕溪
'chu'you'jiang'zi'kuan 出游将自宽
'chu'you'wan'li'guang 出有万里光
'chuan'cheng'ji'mu'miao'kong'bo 川程极目渺空波
'chuan'li'hong'ze'an'tou'sha 船离洪泽岸头沙
'chuan'men'cai'bi'you'hai'kai 船门才闭又还开
'chuan'ping'shan'kai'lin'lu'duan 川平山开林麓断
'chuan'tou'ji'gu'hai'xiang'hu 船头击鼓还相呼
'chuan'wen'lin'liao'qian'li'yuan 传闻霖潦千里远
'chuan'wen'you'qi'pang'xian'fu 传闻又起旁县夫
'chuan'zai'jian'qing'wei'huang'xie 船载肩擎未遑歇
'chuang'fei'jing'wu'chen 窗扉静无尘
'chuang'fu'mei'xiao'xi 床敷每小息
'chuang'qian'xiu'zhu'yi'chi'wei 窗前修竹一尺围
'chui'chi'bu'xi'ju 垂翅不西举
'chui'guo'luan'shan'dong 吹过乱山东
'chui'hong'qiu'se'man'dong'nan 垂虹秋色满东南
'chui'lei'dao'quan'tai 吹泪到泉台
'chui'luo'bian'gui'tu 吹落便归土
'chui'ping'de'qing'gan 垂瓶得清甘
'chui'qi'shi'nian'geng'luan'li 垂七十年更乱离
'chui'yang'yu'sheng'zhou 垂杨欲生肘
'chun'an'fei'yang'hua 春岸飞杨花
'chun'cao'mian'mian'bu'ke'ming 春草绵绵不可名
'chun'feng'bu'chang'jiu 春风不长久
'chun'feng'cong'ci'yu'gong'you 春风从此与公游
'chun'feng'ling'shang'huai'nan'cun 春风岭上淮南村
'chun'feng'qian'wan'tiao 春风千万条
'chun'feng'qu'hua'qu 春风取花去
'chun'feng'yao'jiang'tian'mo'mo 春风摇江天漠漠
'chun'feng'yi'bu'dao'tian'ya 春风疑不到天涯
'chun'feng'yong'xiang'bi'ping'ting 春风永巷闭娉婷
'chun'han'bu'ke'dang 春寒不可当
'chun'hou'yin'yu'shuang'xia'lu 春后银鱼霜下鲈
'chun'jiang'shui'nuan'ya'xian'zhi 春江水暖鸭先知
'chun'lu'jin'jiang'xiang 莼鲈近江乡
'chun'qu'bu'kui'yuan 春去不窥园
'chun'shan'ban'shi'yun 春山半是云
'chun'sheng'gui'ling'wai 春生桂岭外
'chun'shui'lv'yu'ran 春水绿于染
'chun'yang'yi'yi'fu 春阳一以敷
'chun'yin'chui'ye'cao'qing'qing 春阴垂野草青青
'chun'yin'ru'he'chu 春阴入荷锄
'chun'zhong'qiu'ke'dao 春种秋可倒
'chun'zhou'sheng'di'ya 春洲生荻芽
'ci'di'guang'qian'zhou 此地广千肘
'ci'di'qi'rong'hu'ma'bang 此地岂容胡马傍
'ci'di'you'neng'yu 此敌犹能御
'ci'li'deng'fei'xing 此理等废兴
'ci'ma'jie'jie'ru'shui'shou 此马嗟嗟入谁手
'ci'mu'yan'zhong'xue 慈母眼中血
'ci'niao'zhi'yin'yang 此鸟知阴阳
'ci'qi'shui'bo'xiang 此岂水薄相
'ci'shan'wu'yu'lao 此山吾欲老
'ci'shen'he'shi'shi'ren'wei 此身合是诗人未
'ci'shen'jin'sui'cun 此身今虽存
'ci'shen'xing'zuo'ji'shan'tu 此身行作稽山土
'ci'sheng'dang'an'gui 此生当安归
'ci'sheng'ding'xiang'jiang'hu'lao 此生定向江湖老
'ci'sheng'hu'hu'you'huan'li 此生忽忽忧患里
'ci'sheng'wei'you'meng'lai'shi 此生唯有梦来时
'ci'sheng'xing'yi'feng'yu'san 此生行矣风雨散
'ci'sheng'you'huan'zhong 此生忧患中
'ci'shi'jin'ren'you'ji'chu 此是晋人游集处
'ci'xi'zui'guan'qing 此夕最关情
'ci'xin'wu'yu'bai'ou'meng 此心吾与白鸥盟
'ci'xing'li'jin'jian'nan'chu 此行历尽艰难处
'ci'xing'qi'huo'shi 此行岂或使
'ci'yan'cheng'ke'jia 此言诚可嘉
'ci'yan'jia'ke'hui'chong'yang 此延嘉客会重阳
'ci'yi'wu'ren'hui 此意无人会
'ci'yi'yu'tian'xiang'shi'zhong 此意与天相始终
'ci'yu'na'ke'si 此语那可思
'ci'zhu'xiao'sen'gong'fei'tai 慈竹萧森拱废台
'cong'ci'shu'chuan'ping'si'zhang 从此蜀川平似掌
'cong'huang'qin'dao'geng'xu'dong 丛篁侵道更须东
'cong'liao'wan'ke'xi 丛蓼晚可喜
'cu'shi'xuan'yuan'zou'yue'sheng 粗识轩辕奏乐声
'cui'hua'long'gun'zan'pai'huai 翠华龙衮暂徘徊
'cui'ling'chu'qi'shang 翠岭出其上
'cui'shang'sui'duo'yi'yu'li 摧伤虽多意愈厉
'cui'shi'zou'qun'long 催诗走群龙
'cun'bi'chuang'gao'lang 寸碧闯高浪
'cuo'liao'yi'fan'chao'shi'cheng 错料一帆超十程
'da'bo'yi'tiao'ru'tian'ban 大波一跳入天半
'da'er'xue'yu'yan 大儿学语言
'da'jiang'zhong'ye'man 大江中夜满
'da'lei'xi'ping'ji'zhu'ci 大类西平击朱泚
'da'liang'cheng'li'ding'xiang'jian 大梁城里定相见
'da'nv'lin'qi'liang'fen'shou 大女临岐两分首
'da'qiu'zhu'chang'yi'qian'bu 打毬筑场一千步
'da're'ji'yan'ku 大热极炎苦
'da'ren'yu'jing'gui'bu'huo 达人遇境贵不惑
'da'san'guan'tou'bei'wang'qin 大散关头北望秦
'da'shi'bao'shu'xin 大是报书信
'da'shi'chun'qiu'wu'chu'jian 大是春秋吴楚僭
'da'shu'reng'jiao'de'da'qing 大熟仍教得大晴
'da'yu'jing'cuan'ru'ben'hu 大鱼惊窜如奔狐
'dai'fu'gu'ye'su'tian'jia 戴复古夜宿田家
'dai'zhao'xian'sheng'chi'bian'bei 待诏先生齿编贝
'dan'ai'lu'yu'mei 但爱鲈鱼美
'dan'bei'bu'jian'jiu'zhou'tong 但悲不见九州同
'dan'dang'yuan'lin'chu'chu'hua 淡荡园林处处花
'dan'feng'fan'ya'ban'shui'su 丹枫翻鸦伴水宿
'dan'jian'bai'yu'zhi'jian'fen'fen'lai 但见白羽之箭纷纷来
'dan'jian'dan'ya'cui'bi'yuan'jin'ying'lou'ge 但见丹崖翠壁远近映楼阁
'dan'jian'ji'shui'kong 但见积水空
'dan'jian'liang'ya'cang'cang'an'jue'gu 但见两厓苍苍暗绝谷
'dan'jian'lv'ye'qi'can'hong 但见绿叶栖残红
'dan'jian'man'dao'ren'jie'zi 但见满道人嗟咨
'dan'jing'chuang'hu'ming 但惊窗户明
'dan'ling'yuan'qi'zhuang 但令元气壮
'dan'mo'jin'you'ji 淡墨近有迹
'dan'ran'wu'yi'shi 淡然无一事
'dan'wu'xuan'mian'qing 淡无轩冕情
'dan'xi'ken'hua'kuan'zuo'cheng 但熙肯画宽作程
'dan'xiu'hua'xiang'yi'wu'jiu 但嗅花香已无酒
'dan'yu'hu'er'mo'kuang'dang 但语胡儿莫狂荡
'dan'yu'lao'yu'qiao 但欲老渔樵
'dan'yue'qing'yun'xiao'jiao'ai 淡月倾云晓角哀
'dan'zuo'qi'han'qin'ke'meng 但作奇寒侵客梦
'dang'dang'bai'yin'que 荡荡白银阙
'dang'hu'fu'jin'kua 党护复矜夸
'dang'lian'qing'zhu'gan 当连青竹竿
'dang'nian'bu'jia'xi'ping'ting 当年不嫁惜娉婷
'dang'qi'xia'shou'feng'yu'kuai 当其下手风雨快
'dang'shi'feng'jing'yu'jin'tong 当时风景与今同
'dang'shi'jing'luo'hua'wu'zhu 当时京洛花无主
'dang'shi'wang'wang'shi 当时汪罔氏
'dang'shi'wei'jian'e'ma'qi 当时维拣恶马骑
'dang'yin'dang'jue'ding 荡阴当绝顶
'dao'chu'xiang'feng'shi'ou'ran 到处相逢是偶然
'dao'ci'wen'lin'di 到此闻邻笛
'dao'de'qian'tou'shang'chuan'chu 到得前头上船处
'dao'guan'shi'ri'lai 到官十日来
'dao'keng'shi'ru'dao 刀坑石如刀
'dao'pang'cao'wu'liang'san'jia 道旁草屋两三家
'dao'qian'lin'ping'dao'zhong 道潜临平道中
'dao'qing'jiao'shi'xie'qiong'gui 倒倾鲛室泻琼瑰
'dao'ren'bu'xi'jie'qian'shui 道人不惜阶前水
'dao'ren'jue'li'dui'han'bi 道人绝粒对寒碧
'dao'shu'dao'qian'tang 到蜀到钱塘
'dao'yan'hu'wu'kan'chun'sheng 岛烟湖雾看春生
'dao'zei'fei'ren'qing 盗贼非人情
'dao'zi'shi'xiong'fang 道子实雄放
'de'ju'lu'fei'chu 得句鹭飞处
'de'jun'suo'fu'shi 得君所赋诗
'de'qin'duo'wen'zhang 得禽多文章
'de'ying'yi'shen'qi 得颍意甚奇
'de'zhi'wu'li'shu'zu'mi 的知无力输租米
'deng'an'wu'ren'shuo'duan'chang 灯暗无人说断肠
'deng'bai'ye'tang'liang 灯白夜堂凉
'deng'gao'wang'zhong'yuan 登高望中原
