'a'ji 阿济
'jing'qi'lu'san 旌旗辂伞
'jing'tai'lan 景泰蓝
'jiu'yu 九罭
'kui'wen 夔纹
'lan'jin'qin'jie 兰襟亲结
'li'de'quan 李德全
'li'se 黧色
'li'wang'zu 李望祖
'li'ying'zi 李颖滋
'lian'qing'zhen'qin 莲青枕衾
'lian'zi'cha 莲子茶
'liang'an'da 梁谙达
'liang'jiu'gong 梁九功
'lin'jiang'xian 临江仙
'lin'lang 琳琅
'liu'jin'zhong 刘进忠
'liu'long'tian'shang 六龙天上
'liu'sheng'fang 刘胜芳
'long'tai'tou 龙抬头
'long'xian'xiang 龙涎香
'luan'yi'wei 銮仪卫
'mang'pao'hua'yi 蟒袍花衣
'mei'hua'fu 梅花赋
'mi'zhu'tuan'shou 米珠团寿
'ming'huang'da'dao 明黄大纛
'mo'ku'ni 莫库尼
'mo'mo'xie'yang 脉脉斜阳
'na'ge'shen'ha 那戈什哈
'na'lan 纳兰
'na'lan'fu'ren 纳兰夫人
'na'lan'rong'ruo 纳兰容若
'na'xiu'tuan 纳绣团
'nan'ge'zi 南歌子
'nan'yuan 南苑
'ni'guan 霓官
'ni'ping'chi'su 拟凭尺素
'ning'gui'ren 宁贵人
'nong'hua'ru'meng 浓华如梦
'nuan'shou 暖寿
'po'er'pen 颇尔盆
'qi'xia 栖霞
'qian'feng'ying 前锋营
'qian'feng'ying'da'dui 前锋营大队
'qian'qing'gong 乾清宫
'qing'ping'le 清平乐
'rong'pin 荣嫔
'rong'ruo 容若
'rong'xiang 容香
'rong'zhu'zi 荣主子
'ruo'zhi'chu'jian 若只初见
'sa'shou'jian 撒手锏
'san'fan 三藩
'shang'yu 上虞
'she'sheng'shou 射生手
'sheng'zha'zi 生查子
'shi'liu'hua 石榴花
'shun'zhen'men 顺贞门
'si'pin'guo'zi 四品锅子
'si'qin'shang'yi 司衾尚衣
'si'tai'tai 四太太
'si'zhi'ku 四执库
'song'feng'shui'yue 松风水月
'song'qi 宋祁
'song'xiang 宋庠
'su'mo'er 苏茉尔
'sun'zhi'ding 孙之鼎
'suo'e'tu 索额图
'ti'lu 提炉
'tie'huang 铁簧
'tong'gui'fei 佟贵妃
'tong'jia'shi 佟佳氏
'tuan'long'xing'pao 团龙行袍
'wan'shou'jie 万寿节
'wang'jin'bao 王进宝
'wang'zhi'fu 王之富
'wei'chang'an 魏长安
'wei'shi'jing 纬识经
'wei'zong'guan 魏总管
'wo'wei'shui'chun 我为谁春
'wu'hu'chao'guan 芜湖钞关
'wu'liu'ji'si 五绺鸡丝
'xi'liu'gong 西六宫
'xi'nuan'ge 西暖阁
'xia'yao 下钥
'xian'fu'gong 咸福宫
'xiao'chong'shan 小重山
'xiao'hou'er'zai'zi 小猴儿崽子
'xiao'ji'er 小吉儿
'xiao'qi'ying 骁骑营
'xiao'se'lan'cheng 萧瑟兰成
'xiao'shan'ci 小山词
'xin'qi'tian'ya 心期天崖
'xin'zi'cheng'hui 心字成灰
'xing'ren'lao 杏仁酪
'xing'wei 行围
'xiu'shuo'sheng'sheng 休说生生
'xu'qian'xue 徐乾学
'xuan'se 玄色
'xuan'ye 玄烨
'xue'ji 薛稷
'xue'zhu'zi 雪珠子
'xun'gan'si 熏干丝
'xun'long 熏笼
'xun'zhou'hua'xiao'du 熏肘花小肚
'ya'qing'yu'duan 鸦青羽缎
'yan'hong'zhuang 胭红妆
'yan'mo'wu'gu 魇魔巫蛊
'yan'sheng'sun 严绳孙
'yan'zhi'e'pu 胭脂鹅脯
'yang'jiao'deng 羊角灯
'yao'an 姚安
'yao'cheng'bi'hai 药成碧海
'yi'kun'gong 翊坤宫
'yi'pin 宜嫔
'yi'pin'ya'ding'liu'ge'xian'mi 一品鸭丁溜葛仙米
'yi'wu'wang 翼武王
'yin'gu'tan 银骨炭
'yin'hu'feng'dou 银狐风兜
'yin'qi 胤祺
'ying'mo'mo 英嬷嬷
'you'yan'chao'gou'qi'ya'er 油盐炒枸杞芽儿
'yu'die 玉牒
'yu'hu'hong'lei 玉壶红泪
'yu'qin'wang'fu 裕亲王府
'yu'qin'wang'fu'quan 裕亲王福全
'yu'wang'ye 裕王爷
'yu'zhu 玉箸
'yu'zu 虞卒
'yue'chu 月出
'yun'chu 芸初
'yun'chu'gu'niang 芸初姑娘
'yun'jin 云锦
'zan'hua'xiao'kai 簪花小楷
'zao'an'chun 糟鹌鹑
'zha'chun'juan 炸春卷
'zhang'long'wen 章龙纹
'zhang'san'de 张三德
'zhao'ji 赵佶
'zhao'jun'yuan 昭君怨
'zhao'liang'dong 赵良栋
'zhao'yong'de 赵永德
'zhao'you'zhong 赵有忠
'zhen'zhi 针黹
'zhi'fang'wai'ji 职方外纪
'zhi'jin 织金
'zhu'wei 麈尾
'zi'diao 紫貂
'zi'diao'duan'zhao 紫貂端罩
'zi'jing 子京
'zi'tong'xun'long 紫铜熏笼
