'a'tai 阿泰
'lang'ya'ge'shao'ge'zhu 琅琊阁少阁主
'lang'ya'shan 琅琊山
'lang'ya'shan'ding 琅琊山顶
'lao'xiu'shu 老修书
'li'lao'tang'zhu 黎老堂主
'li'li'hong 李立宏
'li'tang'zhu 黎堂主
'liang'di 梁帝
'liang'di'fu'zi 梁帝父子
'liang'gong'cang 良弓藏
'liang'sheng 梁圣
'liang'yu'liang'guo 梁渝两国
'lie'gong 猎宫
'lie'jiu'dang'yin 烈酒当饮
'lin'chen 蔺晨
'lin'gong'zi 蔺公子
'lin'jian'yue'ming 林间月明
'lin'jiu 蔺九
'lin'lao'ge'zhu 蔺老阁主
'lin'shao'ge'zhu 蔺少阁主
'lin'xi 林奚
'lin'xi'xiao'jie'jie 林奚小姐姐
'liu'bu'da'dou 六部大都
'liu'bu'guan'yuan 六部官员
'liu'hao'ran 刘昊然
'liu'jun 刘钧
'liu'lin 刘琳
'liu'shi 柳氏
'long'nian 龙辇
'lu'zhao 鲁昭
'lun'hao'qi'he'ceng'yuan'bei'liang 论豪气何曾怨悲凉
'mei'ting 梅婷
'meng'da'tong'ling 蒙大统领
'meng'qian'xue 蒙浅雪
'meng'zhi 蒙挚
'mo'zi'hou 墨淄侯
'mu'fei 母妃
'nan'jing 南境
'nan'jing'jun 南境军
'nian'shou'nan'yong 年寿难永
'pan'bai'shou'ru'shuang 盼白首如霜
'pei'ji 陪祭
'ping'fan'yuan'an 平反冤案
'ping'jing 平旌
'ping'xue'lang 平雪浪
'ping'zhang 平章
'pu'yang'shang'shi 濮阳上师
'pu'yang'ying 濮阳缨
'qi'bing'jue'mou 奇兵绝谋
'qi'chu 齐楚
'qi'shi 奇石
'qi'wang 祁王
'qian'can'ling 钱参领
'qian'feng'ying 前锋营
'qian'ling'guan 乾灵观
'qian'qi'juan'ping'gang 千骑卷平冈
'qian'tian'guan 乾天观
'qian'xue 浅雪
'qian'yi'dian 乾怡殿
'qiao'xin 乔欣
'qing'lian'si 青莲寺
'qing'ming'han'shi 清明寒食
'qing'ping'shi'jian'xiang 清平世间享
'qing'ping'yuan 清平愿
'qing'zhu'yue 卿朱樾
'qiu'jin'di 囚禁地
'qiu'qin'lian'yin 求亲联姻
'ren'jian'duo'bang 人间多谤
'shan'liu'ying 善柳营
'shang'shi 上师
'shao'nian'jiang'jun 少年将军
'shao'nian'xin'shi'dang'na'yun 少年心事当拏云
'shao'shuai 少帅
'shao'wei'tong 邵伟桐
'she'xing'mang 射星芒
'sheng'wen'di 圣文帝
'shi'shi 施诗
'shi'xi'gui'xun'jia 世袭贵勋家
'shi'zi'fei 世子妃
'si'pao'fang 私炮坊
'song'fu 宋浮
'sun'chun 孙淳
'tai'shi'yuan 太史院
'tai'zi'tai'fu 太子太傅
'tan'tian'dao'he'shi'bu'you'mang 叹天道何时不幽茫
'tan'zhou 潭州
'tie'jia'luo'qun'yin'qiang 铁甲罗裙银枪
'tie'shen'hu'wei 贴身护卫
'tong'li'ya 佟丽娅
'wan'li'bing'xue'mang 万里冰雪茫
'wang'qing'xiang 王庆祥
'wang'yong'quan 王永泉
'wei'ming 未名
'wei'wei'jin'xiu'ming'tang 巍巍锦绣明堂
'wei'you'yi'qiang're'xue'bu'mie 唯有一腔热血不灭
'wen'zhang 纹章
'wu'du'wei 吴都尉
'wu'gu'zhi'shu 巫蛊之术
'wu'hao'chen 吴昊宸
'wu'wan'cheng'zhu 邬丸城主
'xi'cheng'men 西城门
'xi'er'xiao'jie'jie 奚儿小姐姐
'xi'jing 西境
'xi'li 西厉
'xi'ye'dou 息夜斗
'xian'lu'cha 仙露茶
'xiang'rui 祥瑞
'xiang'zhu'zhi'cao 香烛纸草
'xiao'hou'ye 小侯爷
'xiao'jing'yan 萧景琰
'xiao'jing'yu 萧景禹
'xiao'mu 萧母
'xiao'ping'jing 萧平旌
'xiao'ping'zhang 萧平章
'xiao'ting'sheng 萧庭生
'xiao'ting'sheng'fu'zi 萧庭生父子
'xiao'yuan'qi 萧元启
'xiao'yuan'shi 萧元时
'xie'shou'zai'wu'si'liang 携手再无思量
'xing'min'shan 邢岷山
'xing'yu'ji'gou 刑狱机构
'xue'ye'bo'jia 雪夜薄甲
'xun'an'ru 荀安如
'xun'bai'shui 荀白水
'xun'fei'zhan 荀飞盏
'xun'huang'hou 荀皇后
'yi'dang'nian 忆当年
'yi'wu'shang 亦无伤
'yin'chen'mou'shi 阴沉谋士
'yin'wen 印纹
'you'ming'dao 幽冥道
'you'shou'hu'ni 右手护你
'you'yong 尤勇
'yu'qi'zhi'shu 御气之术
'yu'shi'nei'jian 御使内监
'yu'zhou'feng'kuang 雨骤风狂
'yuan'lao'zhong'chen 元老重臣
'yuan'shuai 元帅
'yuan'tian'xia'cong'ci'feng'yan'wang 愿天下从此烽烟忘
'yuan'xu'tian'ya 愿许天涯
'yuan'yi'shen'zhong'gu 愿一身忠骨
'yue'yang 岳旸
'yue'yin'chuan 岳银川
'yue'zhu'men'gong'qiang 越朱门宫墙
'yun'jie 云姐
'yun'shu 运数
'zhan'jiang'duo'shuai 斩将夺帅
'zhang'bo 张博
'zhang'fu'yin 张府尹
'zhang'hao'wei 张昊唯
'zhang'hui'wen 张慧雯
'zhang'shi'gu'gu 掌事姑姑
'zhang'yan'yan 张棪琰
'zhe'tian'er'yao'bian'le 这天儿要变了
'zhen'xing'shan'he 振兴山河
'zhi'ju'nei'ren 只惧内人
'zhi'luo'gong 芷萝宫
'zhong'shu'ling 中书令
'zhu'bu 主簿
'zhu'di'qian'li 逐敌千里
'zhu'sha 朱砂
'zhu'yue 朱樾
'zhuo'zhuo'tang'di 灼灼棠棣
'zi'tan 紫檀
'zong'shuai 总帅
'zuo'shou'zhi'jian 左手执剑
