'a'zi'fu'chuang'qi 阿姊扶床泣
'chou'zhong'ci'di'sheng 愁中次第生
'chu'bi'man'cao'gen 除彼蔓草根
'chu'chu'zhu'chun'sheng 处处逐春生
'chu'ge'sheng'si'xuan 楚歌声四喧
'chu'hai'jiao'zhu'you'dai'shui 出海鲛珠犹带水
'chu'kuang'sheng 楚狂生
'chu'men'bu'fu'zhi'nan'bei 出门不复知南北
'chu'men'mang'ran'he'suo'zhi 出门茫然何所之
'chu'ru'ri'yue'kai'ping'meng 出入日月开帡幪
'chu'shui'dian'chi'wan'li'you 楚水滇池万里游
'chu'shui'yan'shan'wan'li'chang 楚水燕山万里长
'chu'yun'gao'bu'luo 楚云高不落
'chuan'dao'yue'yang'ying'jian'wen 船到岳阳应渐稳
'chuan'tou'ban'mei'chuan'wei'gao 船头半没船尾高
'chuan'tu'miao'miao'zheng'yang'ling 川途渺渺正扬舲
'chuang'fei'zi'kai'wei'bu'shou 窗扉自开卫不守
'chuang'tou'you'zhuo'jiu 床头有浊酒
'chuang'xu'lou'sheng'yong 窗虚漏声永
'chuang'ye'wei'ba'yan 创业未八埏
'chuang'zhong'cai'lian'zhou 窗中采莲舟
'chui'lian'ru'huang'zhuan'xiang'qin 吹帘入幌转相亲
'chui'liu'bu'xi'li'qing'zhu 垂柳不系离情住
'chui'liu'yin'wo'men 垂柳荫我门
'chui'yang'chui'liu'guan'fang'nian 垂杨垂柳管芳年
'chun'dao'huang'niu'xia 春到黄牛峡
'chun'dao'ren'jian'ren'si'yu 春到人间人似玉
'chun'feng'hai'si'zuo'xiao'duo 春风还似昨宵多
'chun'feng'lai'guo'yu'er'xi 春风来过语儿溪
'chun'feng'song'ke'fan'chou'ke 春风送客翻愁客
'chun'feng'yi'jiu'chui'fang'du 春风依旧吹芳杜
'chun'feng'yi'ye'dao'heng'yang 春风一夜到衡阳
'chun'guang'piao'miao'jin'jing'lu 春光缥缈金茎露
'chun'jiang'man 春江满
'chun'jin'chou'zhong'yu'bing'zhong 春尽愁中与病中
'chun'jin'yan'shan'xue'shang'fei 春尽燕山雪尚飞
'chun'lai'gui'meng'man'qing'shan 春来归梦满青山
'chun'lai'yi'jiu'dai'qi'ya 春来依旧带栖鸦
'chun'lao'bai'man'tian 春老百蛮天
'chun'liu'shi'fan'luo'hua'xiang 春流时泛落花香
'chun'se'dong'jing'nian 春色动经年
'chun'se'zui'ba'ling 春色醉巴陵
'chun'shi'xiang'song'chu'yan'du 春时相送出燕都
'chun'shu'ge'yun'xia 春树隔云霞
'chun'yan'can'xiang'mo'mo'tai 春掩残香漠漠苔
'chun'yi'bian'hu'xiang 春意遍湖湘
'chuo'xie'ban'cun'meng'gu'zi 绰楔半存蒙古字
'ci'bang'wan'ling'ri'diao'cui 此邦万灵日凋瘁
'ci'di'gu'fan'yang 此地古范阳
'ci'di'yi'chui'gu 此地一垂顾
'ci'di'yu'wei'bie 此地欲为别
'ci'juan'liu'chuan'tian'di'jian 此卷流传天地间
'ci'qu'ying'zhong'ying'you'fu 此去郢中应有赋
'ci'shi'chou'sha'huan'si'ma 此时愁杀桓司马
'ci'shi'you'guo'kuang'si'jia 此时忧国况思家
'ci'tang'yi'you'xi'hu'cun 祠堂亦有西湖村
'ci'tu'yi'ri'luo'chen'huan 此图一日落尘寰
'ci'xian'bian'ji'zhong'dang'di 赐鲜遍及中珰第
'ci'ye'yi'jiang'dong 此夜忆江东
'ci'zhong'you'you'di'jing'chen 此中犹有帝京尘
'ci'zhu'ba'jiao'luan'jie'cun 刺竹芭蕉乱结村
'cong'jin'si'hai'yong'wei'jia 从今四海永为家
'cong'lai'tian'xia'shi 从来天下士
'cong'lai'xi'yu'zhong 从来西域种
'cu'hao'bu'jie'li'kong'tong 粗豪不解李空同
'cui'liu'ming'tiao'suo'duan'yan 翠柳鸣蜩锁断烟
'cui'wei'wan'he'yu'long'cong 崔嵬万壑玉茏葱
'cui'xue'fu'rong'lie'hua'ping 翠削芙蓉列画屏
