'pin'ren'ben'sheng'shen'bu'shi'de'li'zi 贫人本生身布施的例子
'ping'chang'xin 平常心
'ping'ping'dan'dan'cai'shi'zhen 平平淡淡才是真
'po'bu'guo'zhen'zhu 破布裹真珠
'pu'hua'yao'ling 普化摇铃
'pu'sa'de'jiao'yin 菩萨的脚印
'qi'ceng'hun'xiao 岂曾混淆
'qi'gai'yu'chan 乞丐与禅
'qi'niu'mi'niu 骑牛觅牛
'qian'cheng'de'xin 虔诚的心
'qian'gu'kai'mo 千古楷模
'qian'san'san'hou'san'san 前三三后三三
'qiang'bu'zou 抢不走
'qiang'dao'di'zi 强盗弟子
'qin'qing'fan'mu'wei'na'ban 亲情反目为哪般
'qin'yu'zi 亲与子
'qing'jing'ben'ran 清净本然
'qing'mei'zi 青梅子
'qing'seng'yu'mei'nv 清僧与美女
'qing'yu'wu'qing 情与无情
'qiu'bu'si'zhi'huo 求不死之火
'qiu'ren'bu'ru'qiu'ji 求人不如求己
'qu'wen'ta 去问他
'ren'mian'chuang 人面疮
'ren'sheng'shi'xiang 人生实相
'ren'sheng'wu'qi'gai 人生无乞丐
'ren'yi'dang'ru'lian 人亦当如莲
'ri'ri'shi'hao'ri 日日是好日
'rong'ku'yi'ru 荣枯一如
'ru'chong'yu'mu 如虫御木
'ru'ci'yi'bang 如此一棒
'ru'guo'mei'you'na'zhi'niao 如果没有那只鸟
'ru'he'jian'dao 如何见道
'ru'he'zuo'ren 如何作人
'san'jian'gu'dong 三件古董
'san'xin'bu'ke'de 三心不可得
'san'zhong'ren 三种人
'sao'shu'ye'de'xiao'he'shang 扫树叶的小和尚
'seng'ren'yu'shi'zi 僧人与虱子
'sha'mi'wen'da 沙弥问答
'shai'hai'tai 晒海苔
'shan'ding'da'xiao 山顶大笑
'shan'e'xiang'zhi 善恶相知
'shan'liang'zhong'de'zi'si 善良中的自私
'shan'zhi'shi 善知识
'shang'hai'yu'kuan'shu 伤害与宽恕
'shang'you'yi'jue 尚有一诀
'shang'zuo'he'zai 上座何在
'shao'zhou'fa'hai 韶州法海
'shen'bu'ke'ce 深不可测
'shen'me'yuan'chou 什么冤仇
'shen'nong'chang'cha 神农尝茶
'shen'xin'zi'zai 身心自在
'sheng'huo'de'ceng'mian 生活的层面
'sheng'si'you'ta 生死由他
'shi'fu'tui'zi 师父腿子
'shi'gu'shi'nv'ren 师姑是女人
