'an'bai 安柏
'ma'si 马斯
'mai'long 买龙
'mi'lu 米露
'neng'liang'ti 能量体
'ning'huan'yu 宁桓宇
'ou'yang'ming'hao 欧阳明昊
'ou'yang'zhen 欧阳贞
'pi'shuai'jing'fen 痞帅精分
'qi'wei'gang 齐维刚
'quan'kang'wei 全康伟
'sang'zan 桑赞
'sha'ya 沙雅
'shan'he'zhui 山河锥
'she'nv 蛇女
'she'si'shu 蛇四叔
'she'zheng'guan 摄政官
'shen'meng'qi 沈梦琪
'shen'wei 沈巍
'sheng'wu'gong'cheng'xi'jiao'shou 生物工程系教授
'shi'jian'fei'xing 时间飞行
'shou'hu'liang'jie 守护两界
'shou'hu'liang'jie'he'ping 守护两界和平
'si'sheng'qi 四圣器
'su'han'ye 苏晗烨
'su'hang 苏航
'su'sheng'hua 苏盛华
'sun'qiu'sheng 孙秋生
'tan'xiao 谈啸
'tang'zi'yue 唐孜悦
'te'bie'diao'cha'chu 特别调查处
'te'bie'diao'cha'chu'zhi'yuan 特别调查处职员
'te'tiao'chu 特调处
'tuan'zhan'ling'dao 团战领导
'wang'chao'wei 王超伟
'wang'nai'chao 王乃超
'wang'wei'hua 王伟华
'wang'xiang'yang 王向阳
'wang'xin'yu 王心予
'wang'yi'ke 王一珂
'wang'yong'feng 王永峰
'wang'zheng 汪徵
'wang'zi'qiang 王子强
'wei'lan 卫蓝
'wei'lan'fu'fu 巍澜夫妇
'wu'tian'en 吴天恩
'wu'xiao'jun 吴晓君
'wu'xuan 吴宣
'wu'yu'jue 吴钰珏
'wu'zhu'qing 吴竹青
'xiang'qin'nv'hai 相亲女孩
'xiao'jie 小杰
'xiao'jun 晓君
'xiao'lan'hai 小澜孩
'xiao'lan'lan 小澜澜
'xiao'quan 小全
'xiao'zhao'yun'lan 小赵云澜
'xin'peng 辛鹏
'xu'jia'cheng 许家程
'xu'jin 徐瑾
'xu'jin'chao 徐金超
'xu'meng'jia 徐梦佳
'xu'shuo 许烁
'ya'qing'zhi'shi 鸦青执事
'ya'shou'zu'ren 亚兽族人
'yang'jing 杨静
'yang'xue'ying 杨雪莹
'ye'fang'zhou 叶方舟
'ye'huo 野火
'yi'neng 异能
'yin'yin 茵茵
'ying'chun 迎春
'you'chu 幽畜
'zei'qiu 贼酋
'zhang'dan'ni 张丹妮
'zhang'feng'an 张凤安
'zhang'hao 张皓
'zhang'lan'xin 张蓝心
'zhang'ruo'nan 张若楠
'zhao'jun'wei 赵俊伟
'zhao'wen'ming 赵文明
'zhao'xin'ci 赵心慈
'zhao'yun'lan 赵云澜
'zhen'hun 镇魂
'zheng'da'qian 郑大钱
'zheng'yi 郑意
'zheng'zan'fu'fu 徵赞夫妇
'zheng'zhong'yuan 郑中原
'zhi'shi'tai'zai'yi 只是太在意
'zhou'jie 周杰
'zhou'ting 周婷
'zhou'wei'wei 周薇薇
'zhou'xiao'hai 周晓海
'zhou'yuan'zhou 周远舟
'zhu'hao 朱豪
'zhu'hong 祝红
'zhu'jian 朱健
'zhu'jiu 烛九
'zhu'yi'long 朱一龙
'zu'ma 祖马
