'an'cheng 安城
'chong'qing'yuan'bo'yuan 重庆园博园
'cou'yin'fu 凑音符
'cui'dong'xu 崔东旭
'cui'min'hao 崔珉豪
'cui'min'xiu 崔民秀
'cui'ru'zhen 崔汝真
'cui'sheng'xian 崔胜贤
'cui'shi'yuan 崔始源
'cui'tai'jun 崔泰俊
'cui'xue'li 崔雪莉
'cui'zhen'he 崔振赫
'cui'zhi'you 崔智友
'da'jin'niu 大金牛
'da'nao'zhong'ji 大脑仲基
'da'qiu'ti'yu'chang 大邱体育场
'da'shi 大势
'dai'mao'zi'chi'tang 戴帽子吃糖
'dan'xiao'guang'zhu 胆小光洙
'dao'ma'ma'zhe'lai 到妈妈这来
'deng'chao 邓超
'dian'zuan'hu'lu 电钻呼噜
'die'luo'han 叠罗汉
'ding'yi'yu 丁一宇
'dong'cheng'peng 董成鹏
'dong'tan'chao'ji'gou'wu'zhong'xin 东滩超级购物中心
'dong'yong'pei 东永裴
'dou'xiao 窦骁
'du'chun 杜淳
'du'qi'pen'she 毒气喷射
'du'sha'fu'ren'la'xiang'guan 杜莎夫人蜡像馆
'dun'huang'gu'cheng 敦煌古城
'dun'huang'zhong'xue 敦煌中学
'fa'mu'lei 伐木累
'fa'shao'you 发烧友
'fan'bing'bing 范冰冰
'fang'min'ya 方敏雅
'fei'di'nan'de 费迪南德
'fu'huo'zhe 复活者
'fu'shan'shao'nv 釜山少女
'gao'tie'guang'ming'zhan 高铁光明站
'gao'xiao'yu'yan 搞笑语言
'gao'xiu 高修
'gao'ya'la 高雅拉
'gao'ya'luo 高雅罗
'gao'zhou'yuan 高周元
'gong'zhu'si'ming'pai 公主撕名牌
'gu'li'na'zha 古力娜扎
'guan'zhe 关喆
'guang'chan'chu 光蟾蜍
'guang'fan'da 光凡达
'guang'hua'men 光华门
'guang'zhou'tu'shu'guan 广州图书馆
'guo'chuan'guo'li'xian'dai'mei'shu'guan 果川国立现代美术馆
'guo'er 国儿
'guo'jiao'lian 国教练
'guo'jing'fei 郭京飞
'guo'li'zhong'yang'tu'shu'guan 国立中央图书馆
'guo'min'zha'meng 国民蚱蜢
'guo'yan'fu 郭彦甫
'guo'yan'jun 郭彦均
'hai'bao'pao'bing'tuan 海宝炮兵团
'hai'shi'xiong'di 海狮兄弟
'hai'tun'xiong'di 海豚兄弟
'han'geng 韩庚
'han'guo'shou'er 韩国首尔
'han'guo'zhi'jia 韩国之家
'han'hui'zhen 韩惠珍
'han'jia'ren 韩佳人
'han'ke'lu 韩可露
'han'sheng'yan 韩胜妍
'han'wu'cun 韩屋村
'han'xiang'zhen 韩相镇
'han'xiao'zhu 韩孝珠
'han'yang'nv'zi'da'xue 汉阳女子大学
'han'yi'se 韩艺瑟
'han'zhi'min 韩志旼
'hang'zhou'dian'zi'ke'ji'da'xue 杭州电子科技大学
'hang'zhou'xi'hu'wen'hua'guang'chang 杭州西湖文化广场
'hao'hua'you'lun 豪华游轮
'he'dong'xun 河东勋
'he'yan'xiu 河妍秀
'he'ying'gui'mi 赫颖闺蜜
'he'ying'qing'lv 赫颖情侣
'he'zhi'yuan 河智苑
'hei'ban'ling 黑斑羚
'heng'dian'ying'shi'cheng 横店影视城
'hong'jing'min 洪京民
'hong'lu'ji 洪禄基
'hong'xiu'xian 洪秀贤
'hong'zhen'ying 洪真英
'hong'zong'xuan 洪宗玄
'hu'hai'quan 胡海泉
'hua'chuan'kang'nan 滑川康男
'hua'hua'gong'zi 花花公子
'hua'pian'wang 画片王
'hua'zhong'ji 花仲基
'huai'nan'ren 坏男人
'huang'can'sheng 黄灿盛
'huang'guang'xi 黄光熙
'huang'jing'yin 黄静茵
'huang'xiao'ming 黄晓明
'huang'zheng'min 黄正民
'huo'li'er'ren'zu 活力二人组
'huo'si'yan 霍思燕
'ji'ge'ci 记歌词
'ji'ji'qing'nian 积极青年
'ji'ke'juan'yi 吉克隽逸
'ji'qi 机器
'ji'yi'qi'ji'er'ren'zu 记忆奇迹二人组
'ji'zhou'hang'kong'yu'zhou'bo'wu'guan 济州航空宇宙博物馆
'jia'ren'xiong'di 假人兄弟
'jian'die'shen'fen'ming'pai 间谍身份名牌
'jian'lan'zhong'xue 建兰中学
'jian'yu'san'ren'zu 监狱三人组
'jiang'cheng'xian 姜承贤
'jiang'da'cheng 姜大成
'jiang'da'sheng 姜大声
'jiang'he'na 姜河那
'jiang'hui'zhen 姜惠贞
'jiang'jin'fu 蒋劲夫
'jiang'jun'cheng 姜均成
'jiang'min'he 姜敏赫
'jiang'xi'jian 姜熙建
'jiang'xin 蒋欣
'jiang'xiu'zhi 姜修智
'jiang'yi'yan 江一燕
'jiang'yi'yuan 姜艺媛
'jiang'yuan'dao'hua'xue'chang 江原道滑雪场
'jiang'yuan'dao'shui'shang'gong'yuan 江原道水上公园
'jiang'zheng'hao 姜正浩
'jiang'zhi'xian 姜智贤
'jiang'zhi'ying 姜智英
'jiang'zhong'dong 奖忠洞
'jie'li'sai 接力赛
'jin'bing'wan 金秉万
'jin'dong'xian 金东贤
'jin'duo'shun 金多顺
'jin'fan'xiu 金范秀
'jin'guang'kui 金光奎
'jin'hai'shu 金海淑
'jin'hui'zi 金惠子
'jin'ji'bang 金基邦
'jin'ji'dong 金济东
'jin'ji'du'li 金鸡独立
'jin'ji'shi 金基石
'jin'jing'hao 金景浩
'jin'li'xu 金厉旭
'jin'min'jiao 金民教
'jin'min'rui 金敏瑞
'jin'min'zhen 金敏贞
'jin'min'zhong 金旻钟
'jin'min'zhong 金民钟
'jin'ren'quan 金仁权
'jin'shen'ying 金申英
'jin'sheng'gui 金圣圭
'jin'sheng'zhu 金圣洙
'jin'shu 金淑
'jin'tai'heng 金泰亨
'jin'tai'jun 金泰均
'jin'tai'xian 金泰宪
'jin'tai'yan 金泰妍
'jin'tong'jun 金桐俊
'jin'tong'wan 金烔完
'jin'wan'shan 金婉善
'jin'xi'che 金希澈
'jin'xi'shan 金喜善
'jin'xi'yuan 金熙元
'jin'xian'zhong 金贤重
'jin'xiang'qing 金相庆
'jin'xiang'zhong 金相中
'jin'xiao'jing 金孝静
'jin'xiao'yuan 金孝渊
'jin'xiu'lu 金秀路
'jin'xiu'mei 金秀美
'jin'xiu'xian 金秀贤
'jin'xuan'er 金宣儿
'jin'xuan'ya 金泫雅
'jin'xue'xian 金雪贤
'jin'yan'yu 金延宇
'jin'yi'lin 金艺林
'jin'you'li 金釉利
'jin'you'zhen 金宥真
'jin'yu'bin 金宇彬
'jin'yu'bin 金瑜斌
'jin'yuan'jun 金元俊
'jin'zheng'lan 金正兰
'jin'zhi'xiu 金志秀
'jin'zhong'guo 金钟国
'jin'zhu'he 金柱赫
'jing'bo'ran 井柏然
'jing'ji'dao'fu'chuan'man'hua'ying'xiang'yuan 京畿道富川漫画映像院
'jing'ji'dao'jia'ping'fa'guo'wen'hua'ti'yan'cun 京畿道加平法国文化体验村
'ju'he'la 具荷拉
'ju'hui'shan 具惠善
'ju'zi'zhe 具滋哲
'kong'jian'zhi'pei'zhe 空间支配者
'kong'jiong'zhen 孔炯轸
'kong'liu 孔刘
'kong'xiao'zhen 孔孝真
'lan'shi'xiao'sheng 蓝氏笑声
'lan'wei'xiong'di 阑尾兄弟
'lan'zhi'lu'ying'qu 兰芝露营区
'lao'hu 老虎
'lao'ying'zhuo'xiao'ji 老鹰捉小鸡
'le'tian'ma'te 乐天玛特
'le'tian'zhu'ti'you'le'yuan 乐天主题游乐园
'li'cai'hua 李彩桦
'li'chen 李晨
'li'dong'xu 李栋旭
'li'duo'hai 李多海
'li'fan'xiu 李凡秀
'li'guang'zhu 李光洙
'li'guang'zi 李光子
'li'guo'zhu 李国珠
'li'he'zai 李赫宰
'li'hong'ji 李弘基
'li'jing'kui 李京奎
'li'jun'hao 李俊昊
'li'min'he 李旼赫
'li'min'ji 李民基
'li'min'ting 李珉廷
'li'qi'guang 李起光
'li'rui'zhen 李瑞镇
'li'shan'jun 李善均
'li'shang'yuan 李尚原
'li'shang'yun 李尚允
'li'sheng'ji 李胜基
'li'sheng'jing 李晟京
'li'sheng'xian 李胜贤
'li'shi'ying 李世英
'li'shi'ying 李诗英
'li'shun'gui 李顺圭
'li'su'yan 李素妍
'li'tai'kun 李泰坤
'li'tian'xi 李天熙
'li'wei'xi 李沇熹
'li'wen'yu 李玟雨
'li'wen'zhi 李文植
'li'xian'gao 李先镐
'li'xiang'hua 李相花
'li'xiao'li 李孝利
'li'xuan'yu 李玹雨
'li'you'li 李宥利
'li'zheng'xin 李正信
'li'zhi'en 李智恩
'li'zhi'ting 李治廷
'li'zhong'shuo 李钟硕
'li'zhong'yuan 李钟原
'li'zhun 李准
'li'zong'xuan 李宗泫
'lian'jing'ya 廉晶雅
'lian'shang'chi'bing'gan 脸上吃饼干
'liang'dong'gen 梁东根
'lie'ying'an'quan'ti'yan'guan 猎鹰安全体验馆
'lin'cheng'xun 林成勋
'lin'geng'xin 林更新
'lin'hu 林湖
'lin'jun'jie 林俊杰
'lin'shi'wan 林时完
'lin'xiu'xiang 林秀香
'lin'yun'er 林允儿
'lin'zhou'huan 林周焕
'ling'dang'shi'zhe 铃铛使者
'ling'dang'zhui'ji 铃铛追击
'liu'cheng'xiu 柳承修
'liu'hai'zhen 刘海镇
'liu'jun'xiang 刘俊相
'liu'lu'si'wei'li'si 刘鲁斯威利斯
'liu'mu'si'bang'de 刘姆斯邦德
'liu'ren'ying 柳仁英
'liu'tan 柳谭
'liu'tao 刘涛
'liu'xian'hua 刘宪华
'liu'xian'zhen 柳贤振
'liu'ya'ren 刘亚仁
'liu'yan 柳岩
'liu'yi'yun 刘逸云
'liu'zai'shi 刘在石
'long'shan 龙山
'lu'cheng'huan 卢承焕
'lu'shi'yan 卢士燕
'lu'zhen'yu 卢振宇
'luo'zhi'xiang 罗志祥
'lv'zhen'jiu 吕珍九
'ma'jiang'pai'ming'pai 麻将牌名牌
'ma'su 马苏
'ma'zha 蚂蚱
'mai'lu'xiao'cheng 麦鲁小城
'mei'guo'sai'ban'dao 美国塞班岛
'meng'zhi 懵智
'meng'zhi'xiao 懵智孝
'mi'ma'ming'pai 密码名牌
'mi'mi'he'huo'ren 秘密合伙人
'mi'mi'qing'lv 秘密情侣
'mi'ni'ming'pai 迷你名牌
'mi'yun'gu'bei'shui'zhen 密云古北水镇
'mian'fen'li'zhao'tang 面粉里找糖
'min'du'xi 敏度希
'min'xiao'lin 闵孝琳
'mo'fang'dong'zuo 模仿动作
'mu'dong 木洞
'mu'zi'zu'he 母子组合
'nan'shan'shou'er'ta 南山首尔塔
'nan'shan'ta 南山塔
'nan'song'yu'jie 南宋御街
'nan'zhi'xian 南智贤
'nan'zhu'he 南柱赫
'nei'jian 内奸
'neng'li'zhe 能力者
'ni'kun 尼坤
'ni'shi'zhu'ma 你是猪吗
'ni'tan'da'zhan 泥潭大战
'niu'zhao'he'kou 牛沼河口
'nong'sha'lai 弄啥来
'nv'jia'bin'men 女嘉宾们
'ou'di 欧弟
'ou'er'de'neng'li'zhe 偶尔的能力者
'ou'zhou'xing'gui'gong'zi 欧洲型贵公子
'pei'xiu'zhi 裴秀智
'piao'bao'ying 朴宝英
'piao'cheng'kui 朴成奎
'piao'cheng'xiong 朴成雄
'piao'ming'xiu 朴明秀
'piao'tai'huan 朴泰桓
'piao'xin'hui 朴信惠
'piao'zhe'min 朴哲民
'piao'zhen'ying 朴振英
'piao'zheng'zhe 朴正哲
'pu'cao'e 朴草娥
'pu'chun 朴春
'pu'jiong'zhi 朴炯植
'pu'jun'heng 朴俊亨
'pu'jun'kui 朴俊奎
'pu'kui'li 朴奎利
'pu'nan'zheng 朴南正
'pu'rui'jun 朴瑞俊
'pu'shan'lian 朴善怜
'pu'xiao'min 朴孝敏
'pu'xiu'hong 朴秀洪
'pu'xiu'ying 朴秀英
'pu'xuan'bin 朴玄彬
'pu'yi'zhen 朴艺珍
'pu'ying'kui 朴英奎
'pu'zheng'zhu 朴正洙
'pu'zhi'yan 朴智妍
'pu'zhong'xun 朴重勋
'pu'zhong'zai 朴忠载
'qi'e 企鹅
'qi'xiang'ting 气象厅
'qian'ren'hua'pian'wang 前任画片王
'qian'tang'jiang'pan 钱塘江畔
'qian'zheng'ming 千正明
'qing'jing'ju'fa'shao'you 情景剧发烧友
'qing'shou'zhen 庆收真
'qing'xi'gong 庆熙宫
'qiu'cheng'xun 秋成勋
'qiu'xian'kun 秋宪坤
'qiu'xin'shou 秋信守
'quan'hai'xiao 权海孝
'quan'hui'bin 全慧彬
'quan'li'shi 权丽世
'quan'mei'shan 全美善
'quan'su'min 全素敏
'quan'yu'li 权俞利
'quan'zhi'long 权志龙
'ren'chuan'guo'ji'ji'chang 仁川国际机场
'ren'tong'da'ren 忍痛达人
'ri'shan'shi'si'dong'gong'yu 日山食寺洞公寓
'rong'hui'wen'quan'cheng 融汇温泉城
'rui'yu 瑞雨
'rui'zhi'yuan 芮智媛
'san'cheng'dong'shui'zu'guan 三成洞水族馆
'san'hei'zu'he 三黑组合
'shang'hai 上海
'shang'ye'jian'die 商业间谍
'shen'chang'min 沈昌珉
'shen'duo'en 申多恩
'shen'feng'shan 申凤善
'shen'jia'ming'pai 身价名牌
'shen'jiong'lai 沈炯来
'shen'ling 沈凌
'shen'mi'ren 神秘人
'shen'min'er 申敏儿
'shen'shi'jing 申世景
'shen'shou'ming'pai 神兽名牌
'shen'tong 神童
'shi'ji'cheng'jia'ri'jiu'dian 世纪城假日酒店
'shi'jian'zhi'pei'zhe 时间支配者
'shi'nian'tong'chuang 十年同窗
'shi'zong'wen'hua'hui'guan 世宗文化会馆
'shou'er'di'tie'che'xiang'ji'di 首尔地铁车厢基地
'shou'er'gou'wu'zhong'xin 首尔购物中心
'shou'er'hong'da 首尔弘大
'shou'er'ming'dong 首尔明洞
'shou'er'she'ji'guang'chang'can'shi'zhu'jing'ji'chang 首尔设计广场蚕食主竞技场
'shou'er'tiao'zao'shi'chang 首尔跳蚤市场
'shou'er'yi'shu'zhong'xin 首尔艺术中心
'shou'er'zhong'yang'you'ju 首尔中央邮局
'shuai'jiao'da'sai 摔跤大赛
'shuang'ying'nv'shen 双颖女神
'shuang'zu'zu'he 双祖组合
'si'ba'da'guo'si 斯巴达国斯
'si'chuan'cheng'du'huan'le'gu 四川成都欢乐谷
'si'ming'pai 撕名牌
'song'chang'yi 宋昌义
'song'cheng'jing'qu 宋城景区
'song'en'yi 宋恩伊
'song'jia 宋佳
'song'jia'yan 宋佳妍
'song'qing'ti'yu'guan 宋卿体育馆
'song'song'jie'di 宋宋姐弟
'song'song'qing'lv 宋宋情侣
'song'zai'lin 宋再临
'song'zhi'ma 宋智骂
'song'zhi'xiao 宋智孝
'song'zhong'ji 宋仲基
'sou'hu'chang'you'da'sha 搜狐畅游大厦
'su'jian'xin 苏见信
'su'yi'xian 苏怡贤
'sun'bing'hao 孙秉浩
'sun'dan'fei 孙丹菲
'sun'dong'yun 孙东云
'sun'hao'jun 孙浩俊
'sun'na'en 孙娜恩
'sun'xian'zhou 孙贤周
'sun'yan'zai 孙妍在
'sun'yang 孙杨
'sun'yi'zhen 孙艺珍
'tan'li'sheng'si'ming'pai 弹力绳撕名牌
'tang'guo'lian'meng 糖果联盟
'tang'yan 唐嫣
'tang'yi'xin 唐艺昕
'te'shu'ming'pai 特殊名牌
'te'shu'shen'fen 特殊身份
'teng'tian'xiao'bai'he 藤田小百合
'tian'cai'chen'he 天才陈赫
'tian'shi'chi'bang'ming'pai 天使翅膀名牌
'tiao'an'ma 跳鞍马
'tiao'sheng 跳绳
'tong'ling'peng'you 同龄朋友
'wang'bao'qiang 王宝强
'wang'bi'zi'da'ge 王鼻子大哥
'wang'li'kun 王丽坤
'wang'pai 王牌
'wang'pai'zhi'xiao 王牌智孝
'wang'xin'ling 王心凌
'wang'zu'lan 王祖蓝
'wen'cai'yuan 文彩元
'wen'dou'er'miao 温都尔庙
'wen'gen'ying 文根英
'wen'jun'ying 文俊英
'wen'su'li 文素利
'wen'zhen'xi 文贞熙
'wen'zheng'he 文晸赫
'wo'di'di 我弟弟
'wo'ge'ge 我哥哥
'wu'di'dao'dan'zu'he 无敌捣蛋组合
'wu'han 武汉
'wu'han'da'xue 武汉大学
'wu'han'da'xue'chuang'ye'shi'jian'zhong'xin 武汉大学创业实践中心
'wu'qi'long 吴奇隆
'wu'shang'zhen 吴尚镇
'wu'wan'shi 吴万石
'wu'wang'liu'he 舞王刘赫
'wu'yan'shu 吴妍书
'wu'ying'jie 吴映洁
'wu'zhen'xi'peng'jing'qu'zhao'ming'shu'yuan 乌镇西棚景区昭明书院
'wu'zhen'xi'shan'jing'qu'long'xing'tian 乌镇西栅景区龙形田
'wu'zhi'hao 吴志浩
'xi'xi'shi'di 西溪湿地
'xi'xi'tian'tang 西溪天堂
'xi'xi'tian'tang'shang'jie 西溪天堂商街
'xi'zuo 细作
'xian'hai'guang'zhu 陷害光洙
'xian'rou'xian'rou 鲜肉鲜肉
'xian'yin'jing 咸慇晶
'xiang'qi'deng'ji'ming'pai 象棋等级名牌
'xiang'qi'si'ming'pai 象棋撕名牌
'xiao'jing'teng 萧敬腾
'xie'yi'lin 谢依霖
'xin'bao'lan'xiong'di 新宝蓝兄弟
'xiong'dai'lin 熊黛林
'xiong'di 兄弟
'xiu'shan'dao'hua'ni'zhu'ti'gong'yuan 秀山岛滑泥主题公园
'xu'he'jun 徐河俊
'xu'jing'huan 许景焕
'xu'kang'jun 徐康俊
'xu'ren'guo 徐仁国
'xu'rui'zhi 徐睿知
'xu'yong'sheng 许永生
'xu'zhang'xun 徐章勋
'xu'zhu'xuan 徐朱玄
'xuan'ying 玄英
'ya'zhou'xiao'wang'zi 亚洲小王子
'yan'zheng'hua 严正花
'yan'zheng'xun 延政勋
'yan'zhi'yuan 严智苑
'yang'guan 阳关
'yang'guang'bu'xing'jie 阳光步行街
'yang'sheng'hao 杨升昊
'yang'ying 杨颖
'yao'chen 姚晨
'ye'zu'xin 叶祖新
'yi'jia'jie'li'sai 衣架接力赛
'yi'yi 伊一
'yin'bao'la 尹宝拉
'yin'dao'xian 尹道贤
'yin'dou'jun 尹斗俊
'yin'ji'wen 尹济文
'yin'jie'ming'pai 音阶名牌
'yin'mei'lai 尹美莱
'yin'shi'ya 尹世雅
'yin'su'xi 尹素熙
'yin'su'yi 尹素怡
'yin'zhen'xi 尹珍熙
'yin'zhi'yuan 殷志源
'yin'zhong'xin 尹钟信
'yong'yuan'bu'zhou 永远不皱
'you'xi'xiang'mu 游戏项目
'yu'ze'yan 玉泽演
'yu'zhen 于震
'yuan'hong 袁弘
'yue'ya'quan 月牙泉
'zai'shi'xiang'ri'kui 在石向日葵
'zhang'dong'min 张东民
'zhang'dong'yu 张东雨
'zhang'he 张赫
'zhang'lan'xin 张蓝心
'zhang'shen'ying 张申英
'zhang'shui'yuan 张水院
'zhang'yi'xing 张艺兴
'zhang'you'rong 张佑荣
'zhang'yun'yi 张韵艺
'zhang'yun'zhu 张允珠
'zhao'hui'lian 赵慧莲
'zhao'li'ying 赵丽颖
'zhao'min'xiu 赵敏秀
'zhao'quan 赵权
'zhao'xiang 照相
'zhao'zhen'xiong 赵镇雄
'zhao'zheng'xi 赵正锡
'zhao'zheng'zhi 赵正治
'zhe'jiang'dian'shi'tai 浙江电视台
'zhe'jiang'hang'zhou'lei'feng'ta 浙江杭州雷峰塔
'zhe'jiang'mei'shu'guan 浙江美术馆
'zhe'jiang'wei'shi'zhi'zuo'zhong'xin 浙江卫视制作中心
'zhe'jiang'wu'zhen 浙江乌镇
'zhe'jiang'zhou'shan'xiu'shan'dao 浙江舟山秀山岛
'zheng'can'yu 郑灿宇
'zheng'da'shi 郑大世
'zheng'dou'hong 郑斗洪
'zheng'en'di 郑恩地
'zheng'heng'dun 郑亨敦
'zheng'jun'he 郑俊河
'zheng'kai 郑恺
'zheng'kang'yun 郑糠云
'zheng'rong'he 郑容和
'zheng'wang'zu'he 郑王组合
'zheng'xi'zhe 郑熹哲
'zheng'xiong'ren 郑雄仁
'zheng'xiu'jing 郑秀晶
'zheng'xiu'yan 郑秀妍
'zheng'yi'lin 郑义林
'zheng'yu'cheng 郑宇成
'zheng'yuan'guan 郑源官
'zheng'yun'hao 郑允浩
'zheng'zai'xing 郑在型
'zheng'zhen'ying 郑真英
'zheng'zhen'yun 郑珍云
'zheng'zhi'xun 郑智薰
'zhi'ya'ban 指压板
'zhong'guo'di'zhi'da'xue 中国地质大学
'zhong'guo'han'guo'lian'meng 中国韩国联盟
'zhong'guo'mei'shu'xue'yuan'xiang'shan'xiao'qu 中国美术学院象山校区
'zhong'guo'shang'hai'guo'jia'hui'zhan'zhong'xin 中国上海国家会展中心
'zhong'guo'wu'gang'bo'wu'guan 中国武钢博物馆
'zhong'han'liang 钟汉良
'zhong'jie'zhe 终结者
'zhong'lang'qu'zong'he'yi'yuan 中浪区综合医院
'zhong'lu'guang'chang'shi'chang 钟路广场市场
'zhou'wu'da'dang 周五搭档
'zhou'wu'qing'lv 周五情侣
'zhou'yi'qing'lv 周一情侣
'zhu'ba'jie'bei'xi'fu 猪八戒背媳妇
'zhu'li'an'jiang 朱利安姜
'zhu'xiang'xu 朱相旭
'zhu'xiang'yu 朱相昱
'zhu'yao'cheng'yuan 主要成员
'zhu'zhi'xun 朱智勋
'zhua'niu'er'ren'zu 抓牛二人组
'zhuang'lian'xiong'di 撞脸兄弟
'zu'bei'xiong'di 祖贝兄弟
'zui'qiang'zu'he 最强组合
'zui'ruo'ti'zhi 最弱体质
