'a'mu'zai'pang'zuo 阿母在旁坐
'bu'ru'fang'yan'ru'qing'ming 不如放眼入青冥
'bu'ru'zi'qin'qiu'zi'fu 不如自亲求自附
'bu'shi'feng'ren'ku'yu'jun 不是逢人苦誉君
'bu'shi'ren'jian'fu'gui'hua 不是人间富贵花
'bu'shi'ren'jian'hua 不是人间话
'bu'shi'ren'shi'yi'wu'mo'feng'mang 不使人世一物磨锋芒
'bu'shi'si'wen'zhi'bi'jiao 不是斯文掷笔骄
'bu'shi'wu'qun'ge'xiu 不是舞裙歌袖
'bu'shi'yang'ti'shang'wu'yong 卜式羊蹄尚无用
'bu'shi'zhu'bin'jue'bu'gong 不是诸宾噱不工
'bu'si'cang'mang'du'shao'ling 不似苍茫杜少陵
'bu'wang'ren'hu'lian'mu'ke 不枉人呼莲幕客
'bu'wei'xiang'tao'lian'shou'gu 不为香桃怜瘦骨
'bu'wen'yuan'jian'bu'xu'jian 不闻愿见不许见
'bu'xi'qian'wo'ge'dang'yan 不惜箝我歌当筵
'bu'xian'bai'nian'sheng 不先百年生
'bu'xiang'huai'wang'jiu'zhai'fei 不向淮王旧宅飞
'bu'xin'dao 不信道
'bu'xin'huang'chen'xiao'bu'jin 不信黄尘消不尽
'bu'xin'piao'ling 不信飘零
'bu'xu'chou'ren'shui 不许愁人睡
'bu'ying'chui'dao'liu'tiao'bian 不应吹到柳条边
'bu'yu'chui'bian 不语垂鞭
'bu'yu'wu'huang'ci'shen'xian 不遇武皇祠神仙
'bu'yuan'xian'guan'shi'mian'chi 不怨仙官识面迟
'bu'yun'lai'ri'shao 卜云来日少
'bu'zhi'duan'yu'li 不知段与李
'bu'zhi'gu'jiu'liu 不知古九流
'bu'zhi'he'ke'ji'jiang'jun 不知何客惎将军
'bu'zhi'he'nian'si 不知何年寺
'bu'zhi'he'shi'ying'huai'bao 不知何事萦怀抱
'bu'zhi'he'xing'xiao'hou'chen 不知何姓小侯瞋
'bu'zhi'wei'jing'zhen 不治委荆榛
'bu'zhi'yong'fu'jiu'he'ru 不知庸福究何如
'bu'zhu'nian'hua'gai 不逐年华改
'bu'zuo'fan'hua'zhu 不作繁华主
'bu'zuo'lian'hua'ju 不作怜花句
'cai'cha'cai'yao'san'san'liang'liang'feng 采茶采药三三两两逢
'cai'di'xiao'tan'bo 才地笑谈勃
'cai'guo'le 才过了
'cai'jian'yi'mo'xie'yang 才见一抹斜阳
'cai'jin'he'shang'hu 才尽何伤乎
'cai'jin'hui'chang'dang'qi'zhong 才尽回肠荡气中
'cai'ling'xie'ri 采菱斜日
'cai'ren'lao'qu'li'tao'chan 才人老去例逃禅
'cai'sang'zi'er'jin'cai'dao'dang'shi'cuo 采桑子而今才道当时错
'cai'sang'zi'sai'shang'yong'xue'hua 采桑子塞上咏雪花
'cai'sang'zi'shui'fan'yue'fu'qi'liang'qu 采桑子谁翻乐府凄凉曲
'cai'sang'zi'tao'hua'xiu'zuo'wu'qing'si 采桑子桃花羞作无情死
'cai'xiang'xing'chu'cu'lian'qian 采香行处蹙连钱
'cai'ye'zong'heng 才也纵横
'can'hong'luo'jin'bi'cen'ci 残红落尽碧参差
'can'kui'piao'ling'wei'you'qi 惭愧飘零未有期
'can'xue'ning'hui'leng'hua'ping 残雪凝辉冷画屏
'can'yang'ying'li 残阳影里
'can'yue'luo'hua'zhi 残月落花知
'cang'mang'lu'he'ci'wei'guan 苍茫六合此微官
'cang'shan'lou'ge'ming'ru'hua 仓山楼阁明如画
'cang'shu'kong'bu'bao 藏书恐不保
'cao'bai'shuang'qi'kong 草白霜气空
'cao'cao'zhou'shi 嘈嘈舟师
'ce'li'nan'tian'wei'chan'xun 侧立南天未蒇勋
'ce'shen'tian'di'ben'gu'jue 侧身天地本孤绝
'ce'shen'tian'di'wo'cuo'tuo 侧身天地我蹉跎
'ceng'bing'ji'xue'cui'can 层冰积雪摧残
'ceng'shi'dang'nian'long'zhan'di 曾是当年龙战地
'ceng'shi'dong'hua'sheng'xiao'ke 曾是东华生小客
'ceng'shi'yan'bo'meng'zao'chao 曾是烟波梦早朝
'ceng'shuo'yu 曾说与
'cha'tong'bi'han'wu'duo'lu 槎通碧汉无多路
'cha'yan'yu'san'tui'huan'nong 茶烟欲散颓鬟浓
'chai'dian'yue 钗钿约
'chan'di'li'hua 刬地梨花
'chan'hui'shou'wen'zi 忏悔首文字
'chang'an'fang'xue'ye'gui'shi 长安放学夜归时
'chang'an'jun'wu'zui'tui'qu 长安俊物最推渠
'chang'an'you'yi'shi 长安有一士
'chang'ba'qiu'fen'chou'wei'xie 唱罢秋坟愁未歇
'chang'duan'ban'zhui'qu'wei'huan 肠断斑骓去未还
'chang'duan'yue'ming'hong'dou'kou 肠断月明红豆蔻
'chang'ge'er'yi 长歌而已
'chang'gui'dian'yi'zhi 长跪奠一卮
'chang'tian'yi'yue'zhui'lin'shao 长天一月坠林梢
'chang'xiang'si'hai'tang'si 长相思海棠丝
'chang'xiang'si'shan'yi'cheng 长相思山一程
'chang'zhou'zhuang'si'neng'lian'wo 常州庄四能怜我
'chao'cong'tu'gu'you 朝从屠沽游
'chao'guo'peng'lai'ge'an'xing 抄过蓬莱隔岸行
'chao'lai'ding'you'shuang 朝来定有霜
'chao'shi'jing'chu'ri 朝市竞初日
'chao'shi'yi'yi'he 朝士亦齮龁
'chao'yin'bi'xi'shui 朝饮碧溪水
'che'ye'dong'feng'shou 彻夜东风瘦
'chen'chen'cha'qi'ji 沉沉察其几
'chen'chen'xin'shi'bei'nan'dong 沉沉心事北南东
'chen'jiang'qing'di'zhi'xi'rang 臣将请帝之息壤
'chen'qi'bu'ru'wu'huang'jie'xia'dong'fang'sheng 臣岂不如武皇阶下东方生
'chen'qing'shi'yi'shi'wu'hai 臣请逝矣逝勿还
'chen'si'shi'wu'nian'zhong'shi 沉思十五年中事
'chen'si'wang'shi'li'can'yang 沉思往事立残阳
'chen'tu'meng 尘土梦
'chen'you'cong'zhong'lai 沉忧从中来
'chen'yuan'wei'duan 尘缘未断
'cheng'hua'jiu'li'zhi'cao'xi 丞华廐里芝草稀
'cheng'li'zheng'duan'yang 城里正端阳
'cheng'ming'ban'lie 承明班列
'cheng'nan'you'ke'ye'wu'wu 城南有客夜兀兀
'cheng'que'shang'cuo'e 城阙尚嵯峨
'chi'chu'qing'jiu'bei 踟蹰清酒杯
'chi'er'ai'nv 痴儿騃女
'chi'fu'zhong'pi 尺幅重披
'chi'jun'ju'hua'da 迟君菊花大
'chi'qi'hai'hong'lian'di'yue 叱起海红帘底月
'chi'ri'xing'hua'tian 迟日杏花天
'chi'wen'yan'ji'he'suo'si 持问燕姬何所似
'chi'yu'jiao'long'jing'sheng'dou 耻与蛟龙竞升斗
'chong'duo'yan'yu'bu'neng'tian 虫多言语不能天
'chong'kan'yi'ban'mo'hu 重看一半模糊
'chong'lai'bu'jian'lv'yun'chou 重来不见绿云稠
'chou'chang'yu'yan'cheng'jian'zu 惆怅玉颜成间阻
'chou'chang'yue'xie'xiang'qi'san 惆怅月斜香骑散
'chou'duo'jiu'xing 愁多酒醒
'chou'hen'man'di'wu'ren'sheng 愁痕满地无人省
'chou'mei'zan'fei'yang 愁眉暂飞扬
'chou'nu'er'ling'chen'si'shi'wu'nian'zhong'shi 丑奴儿令沉思十五年中事
'chou'nu'er'ling'you'zong'nian'wu'nian'qian'dao 丑奴儿令游踪廿五年前到
'chu'cheng'shi'se'shen'jie'chi 出城失色神皆痴
'chu'guan'ma'wu'li 出关马无力
'chu'men'he'mang'mang 出门何茫茫
'chu'men'rang'bi'jue'niu'yang 出门攘臂攫牛羊
'chu'men'wu'jie'mei'tian'zi 出门无阶媚天子
'chu'meng'li 除梦里
'chu'ri'zhao'meng'si 初日照濛汜
'chu'shan'shi'jie'qian'pai'huai 出山时节千徘徊
'chu'xiang'dong'feng'su'ci'qing 除向东风诉此情
'chu'xu'hai'shang 触绪还伤
'chu'ying'zao'yan'xiang'si 初莺早雁相思
'chuan'wen'zhi'yong'ren 传闻智勇人
'chuang'bai'yi'sheng'ji 窗白一声鸡
'chui'bu'san'mei'wan 吹不散眉弯
'chui'cui'xiu 垂翠袖
'chui'hua'jiao'rui'nong'bing'xian 吹花嚼蕊弄冰弦
'chui'liu'si 垂柳丝
'chui'luo'jiao'hong 吹落娇红
'chui'meng'cheng'jin'gu 吹梦成今古
'chui'ru'hao'hao'lu'hua'feng 吹入浩浩芦花风
'chui'ru'lu'hua'duan'di'zhong 吹入芦花短笛中
'chui'yang'na'shi'xiang'si'shu 垂杨那是相思树
'chun'can 春残
'chun'chou'luan'ji'si 春愁乱几丝
'chun'cong'ren'qu'shuang'qi'die 春丛认取双栖蝶
'chun'gu'dan'bo'shi 醇古淡泊士
'chun'gui'gui'bu'de 春归归不得
'chun'hua'qiu'ye 春花秋叶
'chun'kong'liang'si'shui 春空凉似水
'chun'lai'mei'ge'guan'xin'meng 春来没个关心梦
'chun'mian'han'shi'wei'ceng'xing 春眠寒食未曾醒
'chun'nong'meng'chen 春浓梦沉
'chun'qing'zhi'dao'li'hua'bo 春情只到梨花薄
'chun'shan'bu'du'chun'qun'hong 春山不妒春裙红
'chun'shan'jia'chu'lei'lan'gan 春山佳处泪阑干
'chun'shan'yi'se'yang'qing'ting 春衫一色飏蜻蜓
'chun'shen'heng'zuo'ban 春深恒作伴
'chun'ye'shang'xin'zuo'hua'ping 春夜伤心坐画屏
'chun'yu'chun'feng'xi'gu'zhi 春雨春风洗故枝
'ci'gong'you'zhu'wang'you'guan 此公又筑忘忧馆
'ci'hen'he'shi'yi 此恨何时已
'ci'lei'he'suo'cong 此泪何所从
'ci'qu'dong'shan'you'bei'shan 此去东山又北山
'ci'ren'ling'luo'jiu'ren'pin 词人零落酒人贫
'ci'ren'wen'wo'zhong'lai'yi 词人问我重来意
'ci'shen'liang'ku 此身良苦
'ci'shen'yi'zuo'zai'shan'quan 此身已作在山泉
'ci'shen'yuan'jue'guan'nei'lao 此身愿爵关内老
'ci'sheng'yi'die'mo'quan'fei 此生一跌莫全非
'ci'shi'ci'mu'yong'deng'zuo 此时慈母拥灯坐
'ci'shi'jie'suo'hao'qi'fa 此是借琐耗奇法
'ci'shi'jun'yi'ying'si'wo 此时君亦应思我
'ci'shi'qian'qiu'wu'wo'xi 此事千秋无我席
'ci'shi'ying 刺史迎
'ci'wai'jie'xian'shi 此外皆闲事
'ci'ye'hong'lou 此夜红楼
'ci'yi'bu'ke'de 此意不可得
'ci'yu'you'ru'he 此语又如何
'ci'zi'qin'han'xiang 刺字秦汉香
'cong'ci'huan'zhong'bu'hao'yi 从此寰中不豪矣
'cong'ci'shang'chun'shang'bie 从此伤春伤别
'cong'cong'gang'yu'hua'fen'xie 匆匆刚欲话分携
'cong'jun'shao'jin'chong'yu'xue 从君烧尽虫鱼学
'cong'jun'ye'yao 从军也要
'cong'lai'cai'da'ren 从来才大人
'cong'qian'fu'jin'sao'mei'cai 从前负尽扫眉才
'cong'qian'you'yuan'ying'wu'shu 从前幽怨应无数
'cong'tou'fan'hui 从头翻悔
'cong'tou'pu 从头谱
'cui'hua'wei'xie'hua'nu'gu 催花未歇花奴鼓
'cui'hua'zheng'yong'liu'long'kan 翠华争拥六龙看
'cui'ju'qi'zhen 毳拒其珍
'cui'ke'qu 催客去
'cun'wang'jin'shu'duo 存亡今孰多
'cuo'tuo'fu'cuo'tuo 蹉跎复蹉跎
'cuo'tuo'hu'gong 蹉跎乎公
'da'ding'ci'nai'luo'hua'tang 大鼎次鼐罗华堂
'da'ren'yi'zou'ling'yun'tian 大人一奏凌云天
'da'ru'qian 大如钱
'da'yao'bu'liao'gao'huang'wan 大药不疗膏肓顽
'da'yao'ke'yan'nian 大药可延年
'da'zhao'pai'huai'wei'qing'xia 答诏徘徊未轻下
'dai'gui'ta'yu'hua 待归踏榆花
'dai'ji'fu'rong'xin'shang'lu 待寄芙蓉心上露
'dai'jie'ge 待结个
'dan'dang'sheng'wei'yin 淡宕生微吟
'dan'dao'xiu'xiang'yi 但道休相忆
'dan'fang'bu'shi'man'xiang'rong 丹房不是漫相容
'dan'huang'fen'mo'zhi 丹黄粉墨之
'dan'kai'feng'qi'bu'wei'shi 但开风气不为师
'dan'yan'chao'kou'fu'er'men 但言朝叩富儿门
'dan'you'qiu'hun'bu'ke'zhao 但有秋魂不可招
'dan'you'ta 但由他
'dan'yue'dan'yun'chuang'wai'yu 淡月淡云窗外雨
'dang'fu'ru'yue'yuan 当复如月圆
'dang'shi'zhi'dao'shi'xun'chang 当时只道是寻常
'dang'shu'su'sheng'ji 当暑粟生肌
'dang'wo'wei'qian'shi 当我未迁时
'dang'xi'wo'bi'xi 当喜我必喜
'dang'yan'yue'chu'qi'ru'hong 当筵跃出气如虹
'dang'you'wo'zhe'you 当忧我辄忧
'dao'er'jin 到而今
'dao'he'ji'shi'gui'dong'hai 导河积石归东海
'dao'shu'sheng'bo'ming'yi'jiang'xi 道书生薄命宜将息
'dao'yan'shi'zhang 道焰十丈
'de'ye'kuang'sheng'er 德也狂生耳
'deng'che'qie'mo'hui'tou 登车切莫回头
'deng'lou'yi'zong'mu 登楼一纵目
'deng'xian'bian'que'gu'ren'xin 等闲变却故人心
'deng'yi'ke'ze'wang'xing'shi 登乙科则亡姓氏
'di'huai'zen'wang 低徊怎忘
'di'kong'jie 滴空阶
'di'sheng'jiao'qi'chun'bo'long 笛声叫起春波龙
'di'shi'chu'man'han'bu'xing 底事雏鬘憨不醒
'di'yi'yu'yan'zhe 第一欲言者
'dian'di'ba'jiao'xin'yu'sui 点滴芭蕉心欲碎
'dian'guang'qi'ju'shou 电光岂遽收
'dian'jiang'chun'dui'yue 点绛唇对月
'diao'de'liu'bie'wu 钓得六鳖无
'diao'hao'shu'nian'nian'fu'zhong 貂毫署年年甫中
'diao'he'yi'xiang'lie 吊贺意相埒
'diao'lan'qu'chu 雕阑曲处
'diao'long'wen'juan 雕龙文卷
'die'dang'wu'zhi'han'huang'sheng 詄荡吾知汉皇圣
'die'lian'hua'chu'sai 蝶恋花出塞
'die'lian'hua'xia'ye 蝶恋花夏夜
'die'lian'hua'xiao'se'lan'cheng'kan'lao'qu 蝶恋花萧瑟兰成看老去
'die'lian'hua'xin'ku'zui'lian'tian'shang'yue 蝶恋花辛苦最怜天上月
'die'lian'hua'yan'di'feng'guang'liu'bu'zhu 蝶恋花眼底风光留不住
'die'lian'hua'you'dao'lv'yang'ceng'zhe'chu 蝶恋花又到绿杨曾折处
'die'meng'bai'hua'hua'meng'die 蝶梦百花花梦蝶
'die'shou'san'bai'you'you'jia 蝶寿三百犹有加
'die'xue'shi'shang'ning'fei'ai 喋血市上宁非哀
'ding'an'xian'sheng'gu'jiu'lai'shang'zhi 定盦先生沽酒来赏之
'ding'ying'xiao'wo'fei'ji 定应笑我非计
'dong'chun'kong'xian'lai'cen'ci 动春空仙籁参差
'dong'dong'qiu'jian'xiao'fen 冬冬虯箭宵分
'dong'feng'hui'shou'jin'cheng'fei 东风回首尽成非
'dong'feng'juan'di'piao'yu'jia 东风卷地飘榆荚
'dong'feng'zuo'ye'chui'hun 东风昨夜吹魂
'dong'he'fei'bu'qi 冻翮飞不起
'dong'hua'huan'gu'kui'qun'xian 东华环顾愧群贤
'dong'lin'li'lao'nan'wei'qie 东邻嫠老难为妾
'dong'nan'yi'bu'gu 东南意不孤
'dong'nan'you'hen'man'ci'jian 东南幽恨满词笺
'dong'seng'xi'seng'yi'chu'zhong 东僧西僧一杵钟
'dong'shan'meng'hu'bu'chi'ren 东山猛虎不吃人
'dong'wang'qi'liu'xue 东望气漻泬
'dong'yun'lu'yi'lin 东云露一鳞
'dong'zhi'lei'xun'qiang 动止类循墙
'dou'da'ming'xing'lan'wu'shu 斗大明星烂无数
'dou'jie'yi'ke'xin 豆秸亦可薪
'dou'ran'wen'de 陡然闻得
'dou'shi'ji'ke'cai 豆实既可采
'dou'wa'shu'tong 斗瓦输铜
'dou'yu'shu'hua'nong'dan'gai 逗雨疏花浓淡改
'du'ban'li'hua'ying 独伴梨花影
'du'bei'can'yang'shang'xiao'lou 独背残阳上小楼
'du'dao'ying'liu'shang'gu'shi 读到嬴刘伤骨事
'du'dui'chu'san'yue 独对初三月
'du'hu'shang'yan'qing'qin'yuan 都护上言请勤远
'du'jiang'zhi'yuan'bie'e'mei 渡江只怨别娥眉
'du'li'sao 读离骚
'du'shu'xiao'de'po'cha'xiang 赌书消得泼茶香
'du'shu'yi'wan'juan 读书一万卷
'du'wang'ren'jian'jing'du'hai 独往人间竟独还
'du'wo'li'chuang'kan'bei'dou 独卧藜床看北斗
'du'wo'tong'nian'shi 读我同年诗
'du'wo'wen'yuan'fang'bing'ke 独卧文园方病渴
'du'ye'er'he'zhi 犊也尔何知
'du'yi'dong'nan'ti'lei'duo 独倚东南涕泪多
'du'yu'ling'luo'wo'gui'shi 蠹鱼零落我归时
'du'zhi'shang'tian'min 读之伤天民
'duan'bei'ti'zi 断碑题字
'duan'chang'ren'qu'zi'jing'nian 断肠人去自经年
'duan'chang'sheng'li'yi'ping'sheng 断肠声里忆平生
'duan'chang'ting 短长亭
'duan'dai'yi'ran'liu'qi'ju 断带依然留乞句
'duan'di'wei'shui'tian'bing'ye 端的为谁添病也
'duan'yan'ti'can'hua 短焰剔残花
'dui'ci'neng'xiao'fen 对此能销忿
'dui'huang'sha'bai'cao 对黄沙白草
'dui'yue'si'xi'qin 对月思西秦
'dun're'qing'chou'qi 顿惹清愁起
'duo'chou'gong'zi'xin'lai'shou 多愁公子新来瘦
'duo'hu'shan'yi'jiao 堕湖山一角
'duo'nan'cui'xin'guang 多难淬心光
'duo'qing'bu'shi'pian'duo'bie 多情不是偏多别
'duo'qing'qing'ji'a'shei'bian 多情情寄阿谁边
'duo'qing'shui'si'ru 多情谁似汝
'duo'qing'zi'gu'yuan'duo'bing 多情自古原多病
'duo'shao'qing'hong'er'nv 多少青红儿女
'duo'shao'ying'xiong'zhi'fei'qiu 多少英雄只废丘
'e'feng'chui'qu 恶风吹去
'e'mei'yao'zhuo 娥眉谣诼
'en'chou'en'chou'ri'ku'duan 恩仇恩仇日苦短
'en'yuan'shui'wei'zhu 恩怨谁为主
'en'yuan'ta'shi'di'bao'kan 恩怨他时邸报看
'er'fen'liang'fu'yi'fen'sao 二分梁甫一分骚
'er'fu'liu'zhe'zhi 而复留遮之
'er'geng'che 二更彻
'er'jin'cai'dao'dang'shi'cuo 而今才道当时错
'er'jin'zhen'ge'bu'duo'qing 而今真个不多情
'er'lai'shi'qi'shao'ling'ti 迩来士气少凌替
'er'nai'bian'qi'mei 而乃鞭其脢
'er'nai'zhi'ru'xia 而乃脂汝辖
'er'nu'sha'wo'yi 耳怒杀我矣
'er'shi'gao'ming'dong'du'shi 二十高名动都市
'er'tan'fan'jia'bi'tan'bing 儿谈梵夹婢谈兵
'er'tong'liang'qing'qian 儿童两青钱
'er'wu'zhao'wo'wei'guo'ke 二物照我为过客
'fan'fu'shou 翻覆手
'fan'ge'bei'shu'ye'shang'tian 范阁碑书夜上天
'fan'jing'yao'luo 翻惊摇落
'fan'ran'zhu'hua'ying 幡然逐华缨
'fan'shi'tao'hua'xin'bu'si 翻是桃花心不死
'fang'cun'wo'he'ren 方寸我何任
'fang'dan'ji'yu'guo 放诞忌于国
'fang'dang'du'hai'wu 方当杜海物
'fang'shan'yi'jiao'lu'leng'ceng 房山一角露崚嶒
'fang'xin'wen'shang'di 芳馨闻上帝
'fang'zhuang'bin'xian'lao 方壮鬓先老
'fei'bu'dao 飞不到
'fei'cai'xun 费猜寻
'fei'can'hu'zi'fu 非蚕胡自缚
'fei'chai'hu'zi'shi 非虿胡自螫
'fei'chu'xiong'zhong'bu'fei'cai 飞出胸中不费才
'fei'dan'qiu'rong'shi 匪但求荣仕
'fei'guan'pi'ai'qing'mu'yang 非关癖爱轻模样
'fei'huo'hu'zi'fen 非火胡自焚
'fei'niu'zhi'jian'wan'huo'peng 肥牛之腱万镬烹
'fei'qu'wei'ping'ru'yu'gou 飞去为萍入御沟
'fei'ru'xian'chuang'ban'ao'nong 飞入闲窗伴懊侬
'fei'sheng'fei'si 非生非死
