'dang'shi'zhong'yu'wu'yun'dong 当时种玉五云东
'dao'chu'cheng'shu'ge 到处成疏隔
'dao'chu'sheng'ge'yong'lu'ying 到处笙歌拥路迎
'dao'chu'wei'jia 到处为家
'dao'chu'xing'xing'di 到处惺惺地
'dao'gu'xian'feng 道骨仙风
'dao'le'yuan'wu'yi'shi 到了元无一事
'dao'ren'huan'le'yuan'yang'zhai 道人还了鸳鸯债
'dao'wang 悼亡
'dao'xiao'chou'nan'shuo 到晓愁难说
'de'ge'xin'yin'duan'di 得个信音端的
'de'mei'hua'xiao'xi 得梅花消息
'de'si'ci'hui'ming 得似此回明
'deng'huo'huang'hun 灯火黄昏
'deng'lin'he'chu'zi'xiao'you 登临何处自销忧
'deng'lin'ren'yi 登临任意
'deng'ta'yan'zi'chuan'yin'hao 等他燕子传音耗
'deng'xi'shi'chun'luo 灯夕试春罗
'deng'xian'chi'shang'yin 等闲池上饮
'deng'xian'qing'lei'kong'liu 等闲清泪空流
'deng'xian'que'sha'luan'he 等闲却铩鸾翮
'deng'xian'wu'xue'zhen'ge'chen 等闲舞雪振歌尘
'deng'xiang'zhao 灯相照
'di'chang'huang'jin'lv 低唱黄金缕
'di'er'jun'yan'yi'da'hao 第二君言亦大好
'di'huan'an'zhai'ming'dang 低鬟暗摘明珰
'di'huan'yan'mei 低鬟掩袂
'di'pi'chi'tang'ou'lu'xian 地僻池塘鸥鹭闲
'di'pin 低颦
'di'yi'sui'feng'bian'dao'tuo 第一随风便倒拖
'dian'xin'cheng 点新橙
'diao'an'cui'xian 雕鞍翠幰
'diao'liang'xing'you'qing'ying'yan 雕梁幸有轻盈燕
'die'cui'lan'hong'dou'xian'nong 叠翠阑红斗纤浓
'die'fei'ying'yu 蝶飞莺语
'die'yu'ceng'bing'gong'que 叠玉层冰宫阙
'ding'dong'qiao'duan'ren'chang 丁东敲断人肠
'ding'shi'jiang'nan'wu'yi'shi 定是江南无驿使
'dong'fang'qian'ji'ni'san'he 东方千骑拟三河
'dong'feng'bu'zhu 东风不住
'dong'feng'chui'jin'jiang'mei 东风吹尽江梅
'dong'feng'chui'lei'gu'yuan'chun 东风吹泪故园春
'dong'feng'ji'mo 东风寂寞
'dong'feng'luo'jiu'chou'nan'shuo 东风落酒愁难说
'dong'feng'tao'li 东风桃李
'dong'feng'wu'wo 东风误我
'dong'jun'ye'zi 东君也自
'dong'tian'shui'dao'zai 洞天谁道在
'dong'yu'pei 动玉佩
'dou'ban'xing'gong 斗班星拱
'dou'bu'ceng'ting'de 都不曾听得
'dou'cao'xun'fang 斗草寻芳
'dou'heng'xi'bei 斗横西北
'dou'jie'feng'liu 都借风流
'dou'qi'jing'san 都齐惊散
'dou'qi'zui'ye 都齐醉也
'dou'wei'zi'jia 都为自家
'dou'ying'chun'qiao'fei'chai'yan 斗迎春巧飞钗燕
'dou'ying'mian 斗迎面
'dou'yuan'ren'yi 都缘人意
'dou'zhao'ji'ren'chou 都照几人愁
'du'bao'shen'xin'yi'dian'suan 独抱深心一点酸
'du'dian'dong'li 独殿东篱
'du'hua'yan'fei'ru'jin'zun 度华筵飞入金尊
'du'sheng'ping 度升平
'du'wu'xi'feng'shuang'lei'duo 独舞西风双泪堕
'du'xi'gui'huang 独系归艎
'du'xia'han'ting'li 独下寒汀立
'du'yi'lan'gan'bian 独倚阑干遍
'du'yi'wei'lou 独倚危楼
'du'yin'huang'zhan'jin'can'qi 度银潢展尽参旗
'du'zi'feng'liu'du'zi'xiang 独自风流独自香
'du'zi'ge'ling'bo'zhi'shang 独自个凌波直上
'du'zi'xiao 独自笑
'duan'hong'qu'yan'you'you 断鸿去燕悠悠
'duan'shi'jiu'ceng'you 端是旧曾游
'duan'shi'you'xin'ren 端是有心人
'duan'suo'yi'xiang'yu'zhong'pi 短蓑衣向雨中披
'duan'xiu'ying'feng'chou'ban'juan 短袖迎风愁半卷
'duan'zhao'diao'chuan'qing 短棹钓船轻
'duan'zhao'xi'guang'bi 短棹溪光碧
'dui'cong'cong'jia'qi 对葱葱佳气
'dui'fang'zun'duo'bei'shao'xi 对芳尊多悲少喜
'dui'hao'jing'chou'duo'huan'shao 对好景愁多欢少
'dui'mian'shui'xiang'yu 对面谁相语
'dui'pan'jin'ju'guang'ling'luan 堆盘金橘光零乱
'dui'yue'you'gan 对月有感
'duo'dian'jin'gang'hong'la 多点金釭红蜡
'duo'han'yi'yu 多寒易雨
'duo'hua'mi'jiu'kun 躲花迷酒困
