'an'quan'men 安全门
'jie'chu'wang 接触网
'jie'chu'wang'zhi'chi'zhuang'zhi 接触网支持装置
'jie'di'dao'zha 接地刀闸
'jie'di'xian 接地线
'jie'fa'lie'che'zuo'ye 接发列车作业
'jin'feng'lu 金枫路
'jin'gu'lu 金谷路
'jin'ji'ting'che'an'niu 紧急停车按钮
'jin'ji'zhi'dong 紧急制动
'jin'ji'zhi'dong'shi'jia 紧急制动施加
'jin'shang'lu 金尚路
'jin'she'qiao 金厍桥
'jin'shui'zong'fa 进水总阀
'jin'xian'shi'dian 进线失电
'jin'zhi 紧制
'jing'ling 警铃
'ke'huan 可缓
'ke'shang 客伤
'kong'ya'ji 空压机
'kong'zhi'pan 控制盘
'kong'zhi'ping 控制屏
'kou'jian 扣件
'kua'tang 跨塘
'kuang'jia'bao'hu 框架保护
'lao'dong'lu 劳动路
'le'qiao 乐桥
'leng'dong'shui'beng 冷冻水泵
'leng'que'shui'beng 冷却水泵
'leng'que'ta 冷却塔
'leng'shui'ji'zu 冷水机组
'li'gong'di'xi 李公堤西
'li'kou 蠡口
'li'shu 蠡墅
'li'ze'lu 笠泽路
'lian'dong 联动
'lian'suo 联锁
'lie'che 列车
'lie'che'yun'xing'tu 列车运行图
'lin'dun'lu 临顿路
'lin'xian 邻线
'ling'xu 零序
'ling'xu'dian'liu'bao'hu 零序电流保护
'liu'hong'lu 流虹路
'long'dao'bang 龙道浜
'long'qi 隆起
'lu'mu 陆慕
'ma'yun'lu 马运路
'men'jin'shi'fang 门禁释放
'mu'du 木渎
'mu'li 木里
'mu'lian 母联
'mu'pai 母排
'mu'pai'ge'li 母排隔离
'nan'men 南门
'nan'shi'jie 南施街
'ni'bang 倪浜
'ni'bian'qi 逆变器
'ni'liu'bao'hu 逆流保护
'pai'feng'ji 排风机
'pai'kong 排空
'pai'kong'yun'xing 排空运行
'pai're'feng'ji 排热风机
'pai'yan'fang'huo'fa 排烟防火阀
'pai'yan'feng'ji 排烟风机
'pan'li'lu 盘蠡路
'pang'jin'lu 庞金路
'ping'he'lu 平河路
'ping'long'lu'dong 平泷路东
'ping'long'lu'xi 平泷路西
'qi'he 骑河
'qi'mie'pen'sa 气灭喷洒
'qi'mie'zhu'ji 气灭主机
'qian'fa'wan'dian 前发晚点
'qian'yin 牵引
'qian'yin'hui'liu'xian 牵引回流线
'qian'yin'ni'bian'qi 牵引逆变器
'qian'yin'wu'xiao 牵引无效
'qian'yin'xi'tong 牵引系统
'qian'yin'yun'xing 牵引运行
'qiang'xiu 抢修
'qin'xian 侵限
'qing'ke 清客
'qing'shu'wan 清树湾
'qing'tang 清塘
'qing'tang'zhu'bian'dian'suo 清塘主变电所
'qiu'feng 秋枫
'qiu'feng'zhu'bian'dian'suo 秋枫主变电所
'qu'jian'die'fa 区间蝶阀
'qu'jian'gao'shui'wei 区间高水位
'qu'jian'huo'zai'gong'kuang 区间火灾工况
'qu'jian'po'ting 区间迫停
'qu'jian'zu'se 区间阻塞
'qu'tiao 区调
'qu'yu'zhan 区域站
'ren'min'qiao'nan 人民桥南
'rou'xing'jie'chu'wang 柔性接触网
'san'lei'fu'he 三类负荷
'san'xiang'guang'chang 三香广场
'san'yuan'fang 三元坊
'sang'tian'dao 桑田岛
'sha'jin'qiao 沙金桥
'shan'tang'jie 山塘街
'shang'hu 赏湖
'shang'hu'zhu'bian'dian'suo 赏湖主变电所
'shang'xia'xing'jun'liu'xian 上下行均流线
'shang'xing 上行
'she'bei 设备
'she'bei'duan'lu 设备短路
'she'bei'jie'di 设备接地
'she'bei'xian'jie 设备限界
'she'liu'feng'ji 射流风机
'sheng'guang'bao'jing'qi 声光报警器
'sheng'huo'shui'guan 生活水管
'shi'dai'guang'chang 时代广场
'shi'hu'bei 石湖北
'shi'hu'dong'lu 石湖东路
'shi'hu'mo'she 石湖莫舍
'shi'jia 施家
'shi'jia'zhu'bian'dian'suo 施家主变电所
'shi'lu 石路
'shi'shan'lu 狮山路
'shi'zheng'zong'fa 市政总阀
'shi'zi'shan 狮子山
'shou'dong'bao'jing'an'niu 手动报警按钮
'shu'pu'lu 墅浦路
'shu'san'ping'tai 疏散平台
'shu'san'wei 疏散位
'shuang'bian'gong'dian 双边供电
'shuang'bian'lian'tiao'bao'hu 双边联跳保护
'shuang'ma'jie 双马街
'shui'pen'lin 水喷淋
'shui'xi'tong 水系统
'song'ling'da'dao 松陵大道
'song'tao'jie 松涛街
'su'jin 苏锦
'su'zhou'huo'che'zhan 苏州火车站
'su'zhou'le'yuan 苏州乐园
'su'zhou'le'yuan'zhu'bian'dian'suo 苏州乐园主变电所
'su'zhou'wan'bei 苏州湾北
'su'zhou'wan'dong 苏州湾东
'su'zhou'xin'qu'huo'che'zhan 苏州新区火车站
'su'zhou'yuan'qu'huo'che'zhan 苏州园区火车站
'sui'dao'feng'ji 隧道风机
'sui'dao'tong'feng'xi'tong 隧道通风系统
'sun'wu'ji'nian'yuan 孙武纪念园
'ta'yuan'lu 塔园路
'tan'ta 坍塌
'tang'zhuang 唐庄
'tao'pao 套跑
'tian'e'dang'lu 天鹅荡路
'tiao'shi'che 调试车
'tiao'ting 跳停
'tiao'zha 跳闸
'ting'wen 停稳
'tong'dun 铜墩
'tong'jing'bei'lu 桐泾北路
'tong'jing'gong'yuan 桐泾公园
'tong'li 同里
'tong'yuan 通园
'tong'yuan'lu'nan 通园路南
'tong'yuan'zhu'bian'dian'suo 通园主变电所
'tou'duan'jie 头端界
'tu'fa'da'ke'liu 突发大客流
'tuan'jie'qiao 团结桥
'tui'jin 推进
'tui'shou'bing 推手柄
'tui'xing 退行
'tuo'gui 脱轨
'tuo'pu'zhuo'se 拓扑着色
'wa'si'bao'hu 瓦斯保护
'wan'dian 晚点
'wei'duan'jie 尾端界
'wei'ting 唯亭
'wen'chang'lu 文昌路
'wen'du'bao'hu 温度保护
'wen'hua'bo'lan'zhong'xin 文化博览中心
'wen'xi'lu 文溪路
'wu'jiang'qi'che'zhan 吴江汽车站
'wu'jiang'ren'min'guang'chang 吴江人民广场
'wu'zai'tiao'ya 无载调压
'xi'huan'lu 西环路
'xi'jin'qiao 西津桥
'xia'xing 下行
'xian'chang'fu'ze'ren 现场负责人
'xian'hong 显红
'xian'huang 显黄
'xian'jie 限界
'xian'zhi'tiao'jian 限制条件
'xiang'men 相门
'xiao'fang'beng'fang 消防泵房
'xiao'fang'beng'fang'jin'shui'zong'fa 消防泵房进水总阀
'xiao'fang'dian'hua 消防电话
'xiao'fang'guang'bo 消防广播
'xiao'fang'shui'guan 消防水管
'xiao'huo'shuan'bao'jing'an'niu 消火栓报警按钮
'xiao'huo'shuan'beng'qi'beng 消火栓泵起泵
'xiao'xi'tong 小系统
'xiao'yin'qi 消音器
'xin'feng'ji 新风机
'xin'guo 新郭
'xin'hao'ji'qian'hou'fang 信号机前后方
'xin'jia'qiao 新家桥
'xing'che'bi'se'fa 行车闭塞法
'xing'che'ping'zheng 行车凭证
'xing'hai'guang'chang 星海广场
'xing'hu'jie 星湖街
'xing'tang'zhu'bian'dian'suo 星塘主变电所
'xu'jiang'lu 胥江路
'xu'tu'gang 徐图港
'yan'wu 延误
'yan'yu'qiao 烟雨桥
'yang'cheng'hu'zhong'lu 阳澄湖中路
'yang'yu'xiang 养育巷
'yao'xiang 姚祥
'yi'lei'fu'he 一类负荷
'yi'wu 异物
'yi'wu'qin'xian 异物侵限
'yin'dao'jie'che 引导接车
'yin'dao'yuan 引导员
'yin'shan'hu 尹山湖
'yin'zhong'lu 尹中路
'ying'chun'lu 迎春路
'you'lian 友联
'you'yuan'lv'bo'zhuang'zhi 有源滤波装置
'you'zai'tiao'ya 有载调压
'yu'shan'lu 玉山路
'yuan'cheng'kong'zhi'he 远程控制盒
'yue'liang'wan 月亮湾
'yue'xi 越溪
'yun'ying'ce 运营侧
'yun'ying'shi'ke'biao 运营时刻表
'yun'yong'che 运用车
'zai'ke'fu'wu 载客服务
'zha'ji 闸机
'zha'ji'shi'fang 闸机释放
'zhan'tai'gong'gong'qu 站台公共区
'zhan'tai'men 站台门
'zhan'ting'gong'gong'qu 站厅公共区
'zhang'gui 胀轨
'zhang'gui'pao'dao 胀轨跑道
'zhang'zhuang 张庄
'zhe'fan'xian 折返线
'zheng'dian'lv 正点率
'zheng'liu'bian'ya'qi 整流变压器
'zheng'liu'ji'zu 整流机组
'zheng'liu'qi 整流器
'zheng'xian 正线
'zhi'dong 制动
'zhi'dong'bu'huan 制动不缓
'zhi'dong'tu'biao 制动图标
'zhi'yuan'gong'dian 支援供电
'zhong'nan'jie 钟南街
'zhong'yang'gong'yuan 中央公园
'zhong'zhi 终止
'zhu'bian'dian'suo 主变电所
'zhu'bian'ya'qi 主变压器
'zhu'ji 主机
'zhuan'gui 转轨
'zhuan'xian 转线
'zi'dong'chong'he'zha 自动重合闸
'zi'dong'shou'piao'ji 自动售票机
'zi'guang'dai 紫光带
'zu'he'shi'feng'fa 组合式风阀
'zu'he'shi'kong'tiao'qi 组合式空调器
