'ban'gong'lou 办公楼
'deng'fang'yu'shi'ren'wu'jiao'dai'shi'lian'he'jian'zhu'xi'yi'fang'she'bei'an'zhuang'yu'gong're 灯房浴室任务交待室联合建筑洗衣房设备安装与供热
'deng'fang'yu'shi'ren'wu'jiao'dai'shi'lian'he'jian'zhu'zhao'ming'he'bi'lei 灯房浴室任务交待室联合建筑照明和避雷
'deng'fang'yu'shi'ren'wu'jiao'dai'shi'lian'he'jian'zhu'zong'he'bu'xian'ji'you'xian'dian'shi 灯房浴室任务交待室联合建筑综合布线及有线电视
'deng'fang'yu'shi'ren'wu'jiao'dai'shi'lian'quan'jian'zhu'jian'zhu'ji'pai'shui 灯房浴室任务交待室联全建筑建筑给排水
'deng'fang'yu'xue'fen'zhan'shi'ren'wu'jiao'dai'shi'lian'he'jian'zhu're'shui'zhi'bei'xi'tong'she'bei'ding'huo'ji'shu'yao'qiu 灯房浴血奋战室任务交待室联合建筑热水制备系统设备订货技术要求
'di'ya'bian'ya'qi'ji'shu'yao'qiu 低压变压器技术要求
'di'ya'dong'tai'wu'gong'bu'chang'cheng'tao'zhuang'zhi'ji'shu'yao'qiu 低压动态无功补偿成套装置技术要求
'dian'liu'dian'ya'hu'gan'qi'ji'shu'yao'qiu 电流电压互感器技术要求
'duan'lu'qi'ji'shu'yao'qiu 断路器技术要求
'fan'xi'shui'chi 反洗水池
'fan'xi'shui'chi'gong'yi'she'ji 反洗水池工艺设计
'fu'jing'cao'che'xi'tong'kong'zhi'ji'ti'sheng'xin'hao 副井操车系统控制及提升信号
'fu'jing'di'cao'che'zhi'cheng'jie'gou 副井底操车支撑结构
'fu'jing'di'duan'jing'tong'zhuang'bei 副井底段井筒装备
'fu'jing'di'duo'gong'neng'guo'fang'bao'hu'zhuang'zhi'gu'ding'jia 副井底多功能过放保护装置固定架
'fu'jing'di'jin'jing'tong'zhuang'bei'pa'ti 副井底进井筒装备爬梯
'fu'jing'di'tao'jia 副井底套架
'fu'jing'di'tuo'guan'liang'ji'dang'sheng'zhuang'zhi 副井底托罐梁及挡绳装置
'fu'jing'di'xi'ping'tai 副井底西平台
'fu'jing'jing'di'pa'ti 副井井底爬梯
'fu'jing'jing'di'she'bei'an'zhuang 副井井底设备安装
'fu'jing'jing'di'wang'ban 副井井底望板
'fu'jing'jing'jia 副井井架
'fu'jing'jing'kou'fang'kong'qi'hui'zhi'shi'lian'he'jian'zhu'ji'shui'pai'shui 副井井口房空气回执室联合建筑给水排水
'fu'jing'jing'kou'fang'kong'qi'jia're'shi'lian'he'jian'zhu 副井井口房空气加热室联合建筑
'fu'jing'jing'kou'fang'kong'qi'jia're'shi'lian'he'jian'zhu'dong'li'pei'dian'ji'zhao'ming 副井井口房空气加热室联合建筑动力配电及照明
'fu'jing'jing'kou'ji'xie'she'bei'an'zhuang 副井井口机械设备安装
'fu'jing'jing'tong'xia'jing'dian'lan'fu'she 副井井筒下井电缆敷设
'fu'jing'jing'tong'xiao'fang'sa'shui'guan 副井井筒消防洒水管
'fu'jing'jing'tong'yu'jing'di'che'chang'lian'jie'chu 副井井筒与井底车场连接处
'fu'jing'jing'tong'zhu'pai'shui'guan'lu'wan'guan'zuo'zhi'cheng'liang 副井井筒主排水管路弯管座支撑梁
'fu'jing'jing'tong'zhuang'bei 副井井筒装备
'fu'jing'jing'tong'zhuang'bei'guan'dao'shang'duan'gu'ding'jia 副井井筒装备罐道上端固定架
'fu'jing'jing'tong'zhuang'bei'guan'dao'xia'duan'gu'ding'jia 副井井筒装备罐道下端固定架
'fu'jing'kong'qi'jia're'shi'she'bei'an'zhuang'yu'pei'guan 副井空气加热室设备安装与配管
'fu'jing'kou'duo'gong'neng'guo'juan'bao'hu'zhuang'zhi'gu'ding'jia 副井口多功能过卷保护装置固定架
'fu'jing'kou'guan'dao 副井口罐道
'fu'jing'kou'si'jiao'guan'dao 副井口四角罐道
'fu'jing'lin'shi'jing'jing 副井临时井颈
'fu'jing'ti'sheng'ji'dian'dong'ji'leng'que'xi'tong'ji'xie'she'bei'an'zhuang 副井提升机电动机冷却系统机械设备安装
'fu'jing'ti'sheng'ji'dian'kong'she'bei'ji'shu'yao'qiu 副井提升机电控设备技术要求
'fu'jing'ti'sheng'ji'fang 副井提升机房
'fu'jing'ti'sheng'ji'fang'cai'nuan'tong'feng 副井提升机房采暖通风
'fu'jing'ti'sheng'ji'fang'dian'kong 副井提升机房电控
'fu'jing'ti'sheng'ji'fang'jian'zhu'ji'pai'shui 副井提升机房建筑给排水
'fu'jing'ti'sheng'ji'fang'qi'zhong'she'bei'ji'shu'yao'qiu 副井提升机房起重设备技术要求
'fu'jing'ti'sheng'ji'fang'zhao'ming'dian'hua'jie'di 副井提升机房照明电话接地
'fu'jing'ti'sheng'xin'hao'ji'cao'che'kong'zhi'she'bei 副井提升信号及操车控制设备
'fu'jing'xi'tong'she'bei'zhao'biao'ji'shu'yao'qiu'xiu'gai 副井系统设备招标技术要求修改
'fu'jing'xi'tong'she'bei'zhao'biao'ji'shu'yao'qiu'zuo'fei 副井系统设备招标技术要求作废
'fu'jing'yong'jiu'jing'jing 副井永久井颈
'fu'li'jing'jing'bi'jie'gou'dong'jie'fa'shi'gong 副立井井壁结构冻结法施工
'fu'li'jing'jing'di'qing'li'xie'xiang 副立井井底清理斜巷
'fu'li'jing'jing'tong'tong'xin'xin'hao'xia'jing'dian'lan'fu'she 副立井井筒通信信号下井电缆敷设
'fu'li'jing'jing'tong'zhu'pai'shui'guan'lu'an'zhuang 副立井井筒主排水管路安装
'fu'li'jing'yong'jiu'jing'jing'zhu'pai'shui'guan'lu'an'zhuang 副立井永久井颈主排水管路安装
'gao'ya'wu'gong'zi'dong'bu'chang'cheng'tao'zhuang'zhi'ji'shu'yao'qiu 高压无功自动补偿成套装置技术要求
'ge'li'kai'guan'yao'qiu 隔离开关要求
'gei'mei'ji'jian'xiu'ping'tai 给煤机检修平台
'gong'shui'ji'xiao'fang'beng'fang'she'bei'ji'shu'yao'qiu 供水及消防泵房设备技术要求
'gong'ye'chang'di'dong'li'zhao'ming'xian'wang 工业场地动力照明线网
'gong'ye'chang'di'gong're'guan'dao 工业场地供热管道
'gong'ye'chang'di'guo'lu'fang'zhu'yao'she'bei'ji'shu'tiao'jian 工业场地锅炉房主要设备技术条件
'gong'ye'chang'di'jing'xia'pai'shui'chu'li'zhan'liu'cheng'ji'zong'ping'mian'bu'zhi 工业场地井下排水处理站流程及总平面布置
'gong'ye'chang'di'jing'xia'pai'shui'chu'li'zhan'tiao'jie'shui'chi 工业场地井下排水处理站调节水池
'gong'ye'chang'di'jing'xia'pai'shui'chu'li'zhan'tiao'jie'shui'chi'ji'jing'xia'sa'shui'shui'chi 工业场地井下排水处理站调节水池及井下洒水水池
'gong'ye'chang'di'jing'xia'pai'shui'chu'li'zhan'wu'fa'lv'chi 工业场地井下排水处理站无阀滤池
'gong'ye'chang'di'jing'xia'pai'shui'chu'li'zhan'wu'fa'lv'chi'gong'yi'she'ji 工业场地井下排水处理站无阀滤池工艺设计
'gong'ye'chang'di'jing'xia'pai'shui'chu'li'zhan'wu'ni'chi 工业场地井下排水处理站污泥池
'gong'ye'chang'di'jing'xia'pai'shui'chu'li'zhan'wu'ni'chi'gong'yi'she'ji 工业场地井下排水处理站污泥池工艺设计
'gong'ye'chang'di'jing'xia'pai'shui'chu'li'zhan'xie'guan'chen'dian'chi 工业场地井下排水处理站斜管沉淀池
'gong'ye'chang'di'jing'xia'pai'shui'chu'li'zhan'xie'guan'chen'dian'chi'gong'yi'she'ji 工业场地井下排水处理站斜管沉淀池工艺设计
'gong'ye'chang'di'jing'xia'pai'shui'xia'hu'li'zhan'zong'he'lou 工业场地井下排水下护理站综合楼
'gong'ye'chang'di'jing'xia'pai'shui'xia'hu'li'zhan'zong'he'lou'cai'nuan'tong'feng 工业场地井下排水下护理站综合楼采暖通风
'gong'ye'chang'di'jing'xia'pai'shui'xia'hu'li'zhan'zong'he'lou'gong'yi'she'ji 工业场地井下排水下护理站综合楼工艺设计
'gong'ye'chang'di'shi'wai'ji'pai'shui'guan'wang 工业场地室外给排水管网
'gong'ye'chang'di'shu'xiang'bu'zhi'pai'yu'shui'ping'mian'tu'er'qi 工业场地竖向布置排雨水平面图二期
'gong'ye'chang'di'shu'xiang'dao'lu'bu'zhi 工业场地竖向道路布置
'gong'ye'chang'di'shu'xiang'pai'shui'bu'zhi 工业场地竖向排水布置
'gong'ye'chang'di'tu'fang'gong'cheng'tu 工业场地土方工程图
'gong'ye'chang'di'wei'qiang 工业场地围墙
'gong'ye'chang'di'wei'qiang'fu'gong'cheng'liang'ji'suan'biao 工业场地围墙附工程量计算表
'gong'ye'chang'di'xin'xi'yu'zi'dong'hua'xian'wang 工业场地信息与自动化线网
'gong'ye'chang'di'zong'ping'mian'bu'zhi'tu 工业场地总平面布置图
'gong'ye'chang'di'zong'ping'mian'bu'zhi'tu'di'er'qi 工业场地总平面布置图第二期
'gong'ye'chang'di'zong'ping'mian'bu'zhi'tu'di'san'qi 工业场地总平面布置图第三期
'gong'ye'chang'di'zong'ping'mian'bu'zhi'tu'di'yi'qi 工业场地总平面布置图第一期
'gong'zuo'mian'shun'cao'dai'shi'shu'song'ji'ding'huo'ji'shu'yao'qiu 工作面顺槽带式输送机订货技术要求
'guo'lu'fang'bian'dian'suo'dian'qi'she'bei'an'zhuang'yi'ci 锅炉房变电所电气设备安装一次
'guo'lu'fang'cai'nuan 锅炉房采暖
'guo'lu'fang'chong'hui'chen'dian'chi'ji'beng'fang 锅炉房冲灰沉淀池及泵房
'guo'lu'fang'dong'li'pei'dian 锅炉房动力配电
'guo'lu'fang'jian'zhu'ji'shui'pai'shui 锅炉房建筑给水排水
'guo'lu'fang'kong'zhi 锅炉房控制
'guo'lu'fang'pei'cang'dai'shi'shu'song'ji'she'bei'zhao'biao'ji'shu'yao'qiu 锅炉房配仓带式输送机设备招标技术要求
'guo'lu'fang'shang'mei'xi'tong'she'bei'zhao'biao'ji'shu'yao'qiu 锅炉房上煤系统设备招标技术要求
'guo'lu'fang'shang'mei'xi'tong'shou'mei'peng 锅炉房上煤系统受煤棚
'guo'lu'fang'shang'mei'xi'tong'shou'mei'peng'jian'zhu'ji'shui'pai'shui 锅炉房上煤系统受煤棚建筑给水排水
'guo'lu'fang'shang'mei'xi'tong'shou'mei'peng'pei'dian'ji'zhao'ming 锅炉房上煤系统受煤棚配电及照明
'guo'lu'fang'she'bei'ji'guan'dao'an'zhuang 锅炉房设备及管道安装
'guo'lu'fang'tu'jian 锅炉房土建
'guo'lu'fang'zhao'ming'ji'bi'lei 锅炉房照明及避雷
'hui'feng'li'jing'jing'bi'jie'gou'dong'jie'fa'shi'gong 回风立井井壁结构冻结法施工
'hui'feng'li'jing'jing'tong'yu'jing'di'che'chang'lian'jie'chu 回风立井井筒与井底车场连接处
'ji'jing'xia'sa'shui'shui'chi'gong'yi'she'ji 及井下洒水水池工艺设计
'jin'shu'kai'zhuang'yi'kai'shi'zhong'zhi'gui'ji'shu'yao'qiu 金属凯装移开式中置柜技术要求
'jing'di'chang'ping'pou'mian'tu 井底场平剖面图
'jing'di'huan'zhuang'xi'tong'she'bei'zhao'biao'ji'shu'yao'qiu 井底换装系统设备招标技术要求
'jing'di'mei'cang'shang'kou'tong'dao 井底煤仓上口通道
'jing'di'zhuang'zai'dai'shi'shu'song'ji'ding'huo'ji'shu'yao'qiu 井底装载带式输送机订货技术要求
'jing'xia'cai'liao'huan'zhuang'dong'shi 井下材料换装硐室
'jing'xia'wu'gui'jiao'lun'che'jian'xiu'jian 井下无轨胶轮车检修间
'jing'xia'zhu'pai'shui'beng'fang'pai'shui'she'bei'ji'shu'yao'qiu 井下主排水泵房排水设备技术要求
'keng'mu'jia'gong'fang 坑木加工房
'keng'mu'jia'gong'fang'cai'nuan 坑木加工房采暖
'keng'mu'jia'gong'fang'dong'li'pei'dian'yu'zhao'ming 坑木加工房动力配电与照明
'keng'mu'jia'gong'fang'jian'zhu'ji'shui'pai'shui 坑木加工房建筑给水排水
'kuang'jing'ji'xiu'jian 矿井机修间
'kuang'jing'ji'xiu'jian'cai'nuan'ji'ji'shui'pai'shui 矿井机修间采暖及给水排水
'kuang'jing'ji'xiu'jian'dong'li'pei'dian'zhao'ming'ji'bi'lei 矿井机修间动力配电照明及避雷
'qi'cai'ku'ji'cai'liao'peng 器材库及材料棚
'qi'cai'ku'ji'cai'liao'peng'cai'nuan 器材库及材料棚采暖
'qi'cai'ku'ji'cai'liao'peng'cai'nuan'ji'xiao'fang 器材库及材料棚采暖及消防
'qi'cai'ku'ji'cai'liao'peng'jian'zhu'ji'pai'shui 器材库及材料棚建筑给排水
'qi'cai'ku'ji'cai'liao'peng'pei'dian'zhao'ming 器材库及材料棚配电照明
'qi'cai'ku'ji'cai'liao'peng'zhao'ming 器材库及材料棚照明
'qi'cai'ku'ji'qi'cai'peng'she'bei'an'zhuang 器材库及器材棚设备安装
'qi'che'ku 汽车库
'qi'che'ku'cai'nuan'tong'feng'ji'ji'shui'pai'shui 汽车库采暖通风及给水排水
'qi'che'ku'dong'li'pei'dian'he'zhao'ming 汽车库动力配电和照明
'qing'shui'chi'ji'gong'shui'beng'fang 清水池及供水泵房
'qing'shui'chi'ji'gong'shui'beng'fang'cai'nuan'tong'feng 清水池及供水泵房采暖通风
'qing'shui'chi'ji'gong'shui'beng'fang'er 清水池及供水泵房二
'qing'shui'chi'ji'gong'shui'beng'fang'gong'yi'bu'zhi 清水池及供水泵房工艺布置
'qing'shui'chi'ji'gong'shui'beng'fang'kong'zhi'dian'hua 清水池及供水泵房控制电话
'qing'shui'chi'ji'gong'shui'beng'fang'pei'dian'zhao'ming 清水池及供水泵房配电照明
'qing'shui'chi'ji'gong'shui'beng'fang'yi 清水池及供水泵房一
'shang'cang'da'xiang'dai'shi'shu'song'ji'ding'huo'ji'shu'yao'qiu 上苍大巷带式输送机订货技术要求
'sheng'chan'diao'du'ji'jiu'hu'zong'he'lou'cai'nuan 生产调度及救护综合楼采暖
'sheng'chan'diao'du'ji'jiu'hu'zong'he'lou'jian'shi 生产调度及救护综合楼建施
'sheng'chan'diao'du'ji'jiu'hu'zong'he'lou'jian'zhu'ji'shui'pai'shui 生产调度及救护综合楼建筑给水排水
'sheng'chan'diao'du'ji'jiu'hu'zong'he'lou'jie'shi 生产调度及救护综合楼结施
'sheng'chan'diao'du'ji'jiu'hu'zong'he'lou'pei'dian'zhao'ji'bi'lei 生产调度及救护综合楼配电照及避雷
'sheng'chan'diao'du'ji'jiu'hu'zong'he'lou'zong'he'bu'xian'ji'you'xian'dian'shi 生产调度及救护综合楼综合布线及有线电视
'sheng'huo'wu'shui'chu'li'she'bei'ji'shu'yao'qiu 生活污水处理设备技术要求
'sheng'huo'wu'shui'chu'li'zhan 生活污水处理站
'sheng'huo'wu'shui'chu'li'zhan'cai'nuan'tong'feng 生活污水处理站采暖通风
'sheng'huo'wu'shui'chu'li'zhan'dong'li'pei'dian'ji'zhao'ming 生活污水处理站动力配电及照明
'sheng'huo'wu'shui'chu'li'zhan'gong'yi'she'ji 生活污水处理站工艺设计
'sheng'huo'wu'shui'chu'li'zhan'kong'zhi'dian'hua 生活污水处理站控制电话
'shi'tang'cai'nuan'tong'feng 食堂采暖通风
'shi'tang'dong'li'pei'dian 食堂动力配电
'shi'tang'jian'shi 食堂建施
'shi'tang'jian'zhu'ji'shui'pai'shui 食堂建筑给水排水
'shi'tang'jie'shi 食堂结施
'shi'tang'tong'xin'wang'luo'ji'you'xian'dian'shi 食堂通信网络及有线电视
'shi'tang'zhao'ming'ji'fang'lei 食堂照明及防雷
'shui'ping'jing'di'che'chang 水平井底车场
'shui'ping'jing'di'che'chang'deng'hou'shi'yi'liao'shi 水平井底车场等候室医疗室
'shui'ping'jing'di'che'chang'deng'hou'shi'yi'liao'shi'gong'ju'bao'guan'shi 水平井底车场等候室医疗室工具保管室
'shui'ping'jing'di'che'chang'jing'xia'diao'du'shi 水平井底车场井下调度室
'shui'ping'jing'di'che'chang'zhi'jia'hang'yun'che'cun'che'ku 水平井底车场支架航运车存车库
'wu'gui'jiao'lun'che'ku 无轨胶轮车库
'wu'gui'jiao'lun'che'ku'cai'nuan 无轨胶轮车库采暖
'wu'gui'jiao'lun'che'ku'jian'zhu'ji'shui'pai'shui 无轨胶轮车库建筑给水排水
'wu'gui'jiao'lun'che'ku'pei'dian'ji'zhao'ming 无轨胶轮车库配电及照明
'xing'wu'gui'jiao'lun'che'cun'che'ku 型无轨胶轮车存车库
'xuan'mei'chang'ji'kuang'jing'di'mian'kong'qi'ya'suo'she'bei 选煤厂及矿井地面空气压缩设备
'you'zhi'ku 油脂库
'you'zhi'ku'cai'nuan'tong'feng'ji'ji'shui'pai'shui 油脂库采暖通风及给水排水
'you'zhi'ku'dong'li'pei'dian'zhao'ming'he'bi'lei 油脂库动力配电照明和避雷
'yun'shu'da'xiang'dai'shi'shu'song'ji'ding'huo'ji'shu'yao'qiu 运输大巷带式输送机订货技术要求
'zhao'gu'er'kuang'ban'gong'lou'tong'feng'kong'tiao'zhu'yao'she'bei'ji'shu'tiao'jian 赵固二矿办公楼通风空调主要设备技术条件
'zhao'gu'er'kuang'ban'gong'lou'zhi'leng'zhan'zhu'yao'she'bei'ji'shu'tiao'jian 赵固二矿办公楼制冷站主要设备技术条件
'zhao'gu'er'kuang'keng'mu'jia'gong'fang'she'bei'an'zhuang 赵固二矿坑木加工房设备安装
'zhao'gu'er'kuang'zong'he'kai'fa'gong'ye'chang'di'guan'xian'zong'he'bu'zhi'tu 赵固二矿综合开发工业场地管线综合布置图
'zhu'bian'ya'qi'ji'shu'yao'qiu 主变压器技术要求
'zhu'jing'di'gei'mei'ji'diao'jia 主井底给煤机吊架
'zhu'jing'di'gei'mei'ji'qian'liu'cao 主井底给煤机前溜槽
'zhu'jing'di'zhuang'zai'dai'shi'shu'song'ji'tou'bu'liu'cao 主井底装载带式输送机头部溜槽
'zhu'jing'ji'dou'zhuang'xie'zai'zi'dong'kong'zhi'ji'ti'sheng'xin'hao 主井箕斗装卸载自动控制及提升信号
'zhu'jing'ji'dou'zhuang'zai'tong'shi 主井箕斗装载铜室
'zhu'jing'jing'di'mei'cang'he'zhu'jing'jing'kou'shou'mei'cang'xia'gei'mei'ji'ding'huo'ji'shu'yao'qiu 主井井底煤仓和主井井口受煤仓下给煤机订货技术要求
'zhu'jing'jing'di'qing'li'sa'mei'dong'shi 主井井底清理撒煤硐室
'zhu'jing'jing'tong'tong'xin'xin'hao'xia'jing'dian'lan'fu'she 主井井筒通信信号下井电缆敷设
'zhu'jing'jing'tong'zhuang'bei 主井井筒装备
'zhu'jing'kong'qi'jia're'shi'zhu'yao'she'bei'ji'shu'tiao'jian 主井空气加热室主要设备技术条件
'zhu'jing'lin'shi'jing'jing 主井临时井颈
'zhu'jing'ti'sheng'dong'tai'lv'bo'bu'chang'zhuang'zhi 主井提升动态滤波补偿装置
'zhu'jing'ti'sheng'ji'jiao'jiao'bian'pin'dian'kong'she'bei 主井提升机交交变频电控设备
'zhu'jing'ti'sheng'ji'jiao'zhi'jiao'pin'dian'kong'she'bei'ji'shu'yao'qiu 主井提升机交直交频电控设备技术要求
'zhu'jing'ti'sheng'ji'pei'tao'yong'jiao'jiao'bian'pin'tong'bu'dian'dong'ji 主井提升机配套用交交变频同步电动机
'zhu'jing'xi'tong'she'bei'zhao'biao'ji'shu'yao'qiu 主井系统设备招标技术要求
'zhu'jing'xi'tong'she'bei'zhao'biao'ji'shu'yao'qiu'xiu'gai 主井系统设备招标技术要求修改
'zhu'li'jing'jing'bi'jie'gou'dong'jie'fa'shi'gong 主立井井壁结构冻结法施工
'zhu'pai'shui'beng'fang'guan'zi'dao'shang'ping'tai'kai'kou'chu 主排水泵房管子道上平台开口处
'zong'cai'she'bei'ku 综采设备库
'zong'cai'she'bei'ku'cai'nuan'ji'ji'shui'pai'shui 综采设备库采暖及给水排水
'zong'cai'she'bei'ku'dong'li'pei'dian'zhao'ming'ji'bi'lei 综采设备库动力配电照明及避雷
'zong'he'kai'fa'hui'feng'li'jing'jing'kou'lian'jie 综合开发回风立井井口连接
'zong'he'kai'fa'jing'xia'xiao'fang'cai'liao'ku 综合开发井下消防材料库
'zong'he'zi'dong'hua'xi'tong'yao'qiu 综合自动化系统要求
