'a'na'qu 阿那曲
'qi'lai'gou'cui'bo 起来钩翠箔
'qi'lai'lin'xiu'hu 起来临绣户
'qi'qi'fang'cao'bang'chi'tang 萋萋芳草傍池塘
'qi'zhen'bei'deng'mian 欹枕背灯眠
'qi'zhen'pei'hui 欹枕裴回
'qia'ru'fei'niao'juan'zhi'hai 恰如飞鸟倦知还
'qian'kun'ru'hua 乾坤如画
'qian'niu'zhi'nv'ji'jing'qiu 牵牛织女几经秋
'qian'quan'lin'qi'zhu'fu 缱绻临歧嘱付
'qian'rong'tian'di 铅镕天地
'qian'shui'heng'shu'ying 浅水横疏影
'qian'shui'ji'yu'chun'xiao 倩谁寄语春宵
'qian'zhong'shang'yu'xie'chun'zui 千钟尚欲偕春醉
'qiao'qin'lan'xin 巧沁兰心
'qiao'wu'yan 悄无言
'qiao'yun'zhuang'wan 巧云妆晚
'qie'mo'qian'xiang'ji 且莫遣香肌
'qin'han'zhen'leng'ye'xiang'xiao 衾寒枕冷夜香消
'qing'ke'ye'xu'ying'chi 顷刻也须盈尺
'qing'meng'yu'han'yun'ji'mo 清梦与寒云寂寞
'qing'ming'guo'le 清明过了
'qing'ping'le 清平乐
'qing'wei'liao'liu'hui'bai'yan 青未了柳回白眼
'qing'zhi'tian'shang'zhong 情知天上种
'qiong'yin'ji'ji'tian'xiao'suo 蛩吟唧唧添萧索
'qiu'sheng'zha'qi'wu'tong'luo 秋声乍起梧桐落
'qu'fang'zhu'hu'men'chang'jiong 曲房朱户闷长扃
'qu'qu'xi'hua'xin'lan 去去惜花心懒
'que'qiao'xian 鹊桥仙
'qun'hua'zheng'gan'dang 群花争敢当
'ren'lian'hua'si'jiu 人怜花似旧
'ren'yuan'tian'ya'jin 人远天涯近
'san'yue'e'san'shi 三月俄三十
'shan'ting'shui'xie'qiu'fang'ban 山亭水榭秋方半
'shang'chun 赏春
'shang'chun'zhi'pa'chun'han 赏春只怕春寒
'shang'duo'shao'li'chang'hen'lei 尚多少离肠恨泪
'shao'yin'qing'huan 少饮清欢
'shao'zhu'chun'hai'qu 少住春还去
'shen'xing'yao'tao 深杏夭桃
'shen'yuan'zhong'guan'chun'ji'ji 深院重关春寂寂
'shi'er'lan'gan'xian'yi'bian 十二阑干闲倚遍
'shi'jiang'mei'ceng'xu 是江梅曾许
'shi'qiong'zhu'mi'sa 是琼珠密洒
'shi'ren'yin'zuo 诗人吟作
'shi'tian'xin'wei'ken 是天心未肯
'shi'you'shu'ying'du 时有疏萤度
'shi'yun'bu'du'xi'qiao'leng 湿云不渡溪桥冷
'shou'jian'ru'xue 瘦减如削
'shu'yu'ying'ying'yan'yan 输与莺莺燕燕
'shuang'e'zhi'jiu'pin 双蛾只旧颦
'shui'cai'pin'hua'ji'yu 谁采蘋花寄与
'shui'qi'liu'ying'yu 睡起流莺语
'shui'si'jiu'shi'lian'xi 谁似旧时怜惜
'shui'wei'wo 谁为我
'shui'yun'jian 水云间
