'a'dai 阿呆
'lu'ke'kai'qi 卢克凯奇
'luo'cha'nv 罗刹女
'luo'ji 洛基
'luo'nan 罗南
'luo'nan 裸男
'luo'si 螺丝
'luo'si'jiang'jun 罗斯将军
'lv'hao'ke 绿浩克
'lv'mo 绿魔
'lv'pang 绿胖
'mai'er'si 迈尔斯
'man'huan 漫幻
'mang'guo 芒果
'mang'guo'bao 芒果豹
'mei'du'sha 美杜莎
'mei'fei'si'te 美菲斯特
'mei'guo'dui'zhang 美国队长
'mei'guo'dui'zhang'wu'xian'zhan'zheng 美国队长无限战争
'mie'ba 灭霸
'mo'du 莫度
'mo'fang'da'shi 模仿大师
'mo'tuo'che 摩托车
'mu'zhi'zhu 母蜘蛛
'nai'ke 耐克
'nei'hei 内黑
'nei'zhan'hei'bao 内战黑豹
'nei'zhan'yong'shi 内战勇士
'nv'hao'ke 女浩克
'nv'lang 女狼
'nv'lei'shen 女雷神
'nv'zhi'zhu 女蜘蛛
'pai'hou 牌猴
'pai'huang 牌皇
'peng'ke'tou 朋克头
'qi'yi'bo'shi 奇异博士
'qiao'yi'fei'si'te 乔伊菲斯特
'qin'ge'lei 琴葛蕾
'ruo'ji 弱鸡
'sa'nuo'si 萨诺斯
'sha'lu 杀戮
'shan'dian 闪电
'shao'bing 哨兵
'shen'hu'wei 神护卫
'shi'tou'ren 石头人
'shu'ren 树人
'si'shi 死侍
'song'yao'tong'zi 送药童子
'suo'er 索尔
'te'gong'dui'si'shi 特工队死侍
'tian'shi 天使
'tiao'tiao'hu 跳跳虎
'tie'quan 铁拳
'tie'quan'yong'sheng 铁拳永生
'tie'ren 铁人
'tou'kui 头盔
'tou'kui'hao'ke 头盔浩克
'tu'jiu 秃鹫
'tu'sha 屠杀
'wan'ci'wang 万磁王
'wang'ling'qi'shi 亡灵骑士
'wang'ren 亡刃
'wang'ren'jiang'jun 亡刃将军
'wang'zhe'ge'lu'te 王者格鲁特
'wu'di'gang'ren 无敌钢人
'wu'du 巫毒
'wu'du'bo'shi 巫毒博士
'wu'ye'bi'lin'xing 午夜比邻星
'xi'niu'ren 犀牛人
'xiao'hei 小黑
'xiao'mei 小妹
'xiao'tao'qi 小淘气
'xin'mei'dui 新美队
'xin'tie'ren 新铁人
'xing'jue 星爵
'xing'yun 星云
'xu'wu 虚无
'ya'zi 鸭子
'ye'dong 夜鸫
'ye'mo'xia 夜魔侠
'ye'xing 夜行
'ye'xing'zhe 夜行者
'ye'ying 夜鹰
'yi'geng 伊耿
'yi'ren 蚁人
'ying'yan 鹰眼
'yong'du 勇度
'you'ling 幽灵
'yu'zhou'guan'jun 宇宙冠军
'yue'qi 月骑
'zha'dao'nv'xia 铡刀女侠
'zhan'zheng'ji'qi 战争机器
'zhang'yu'bo'shi 章鱼博士
'zhen'bo'nv 震波女
'zhi'zhu'ge'wen 蜘蛛格温
'zhi'zhu'xia 蜘蛛侠
'zhi'zhu'xia'si'ta'ke'jia'qiang'ban 蜘蛛侠斯塔克加强版
'zhi'zun'gong'sheng'ti 至尊共生体
'zhong'ji'gang'tie'xia 终极钢铁侠
'zhu'jiao 主教
'zhu'shen'huang'hun'hao'ke 诸神黄昏浩克
