'ba'si 扒丝
'niu'can'zhen 拗参针
'niu'zhen'xiu 扭针绣
'nv'zi'xiu'gong'ke 女子绣工科
'ou'xiu 瓯绣
'pai'can'zhen 排参针
'pai'xiu 排绣
'pan'dai'hua'bian 盘带花边
'pan'jin 盘金
'pang'bu 旁布
'pang'bu 旁步
'pang'bu 旁补
'peng'mao'zhen 鬅毛针
'peng'yan'zhen 篷眼针
'pi'tou 皮头
'pi'xian 劈线
'pin'bu 拼布
'ping'jin 平金
'ping'tao 平套
'ping'xiu 平绣
'ping'zhen 平针
'po'zhen 破针
'pu'rong 铺绒
'pu'rong'xiu 铺绒绣
'pu'zhen 铺针
'qi'lao'xian 起老线
'qi'zhen 起针
'qi'zhen 齐针
'qian'si'zhen'zhu 千丝珍珠
'qiao'de'li 巧得丽
'qie'zhen 切针
'qie'zhen'xiu 切针绣
'qie'zi 切子
'qin'rong'zhen 抋绒针
'qu'dai 曲带
'quan'san'se 全三色
'quan'ya'xiu 犬牙绣
'ran'xiu 染绣
'rao'zhen 绕针
'rao'zhen'zi 绕针子
'ren'zi'zhen 人字针
'rong'xian 绒线
'rong'xian 茸线
'rong'xian'xiu 绒线绣
'rong'xian'xiu'hua 绒线绣花
'rong'xiu 绒绣
'rou'ren'zhen 肉人针
'rou'ru'zhen 肉入针
'sa'cha'zhen 洒插针
'sa'xian 洒线
'sa'xian'xiu 洒线绣
'sa'zhen'xiu 撒针绣
'san'jiao'wang'zhen 三角网针
'san'lian'hua'zhen 三连花针
'san'lie'zhen 三列针
'san'pin 三拼
'san'tao 散套
'sha'li 沙丽
'sha'zhen'xiu 霎针绣
'shan'xi'min'jian'ci'xiu 陕西民间刺绣
'shang'beng 上绷
'shang'peng 上棚
'shang'shou 上手
'shen'si'xiu'bei 神丝绣被
'shen'zhen 渗针
'sheng'luo'di'pin 升箩底拼
'sheng'si'xiang'bian 生丝镶边
'shi'mao'zhen 施毛针
'shi'xiu 实绣
'shi'zhen 施针
'shi'zi'hua'xiu 十字花绣
'shi'zi'tiao'hua 十字挑花
'shou'beng 手绷
'shou'na'hua'bian 手拿花边
'shu'xiu 蜀绣
'shu'zhen 舒针
'shuan'zhen'xiu 闩针绣
'shuang'mian'kan'zhen 双面冚针
'shuang'mian'san'yi'xiu 双面三异绣
'shuang'mian'xiu 双面绣
'shuang'mian'yi'se'xiu 双面异色绣
'shuang'xian'hui'zhen 双线回针
'shuang'xian'ma'zhen 双线马针
'shui'lu 水路
'si'li 丝理
'si'lu 丝路
'si'lv 丝缕
'si'xian'ci'xiu 丝线刺绣
'si'zhen 撕针
'song'ren'xiu'hua 宋人绣画
'song'ren'zhi'xiu 宋人之绣
'song'suo 松索
'song'zhen 松针
'song'zi'zhen 松子针
'sou'he'zhen 擞和针
'su'wu'cai 素五彩
'su'xiu 苏绣
'suo'si 锁丝
'suo'xiu 锁绣
'suo'zhen'xiu 梭针绣
'suo'zi'hua'bian 梭子花边
'tian'gao'xiu 填高绣
'tian'jin 填锦
'tiao'chan'zhen 跳掺针
'tiao'hua 挑花
'tiao'hua'zhen 挑花针
'tiao'zhi 挑织
'tie'bu 贴布
'tie'ling 贴绫
'tong'li'xiu'xiao 同立绣校
'tu'xiu 凸绣
'wa'can'zhen 挖参针
'wan'lv'si 万缕丝
'wang'xiu 网绣
'wen'xiu 文绣
'wen'xiu 温绣
'wen'xiu 纹绣
'xi'xiu 细绣
'xia'shou 下手
'xian'wu'cai 显五彩
'xiang'xiu 湘绣
'xiang'zhen 镶针
'xiao'luan'zhen 小乱针
'xiao'shan'hua'bian 萧山花边
'xie'pin'fa 斜拼法
'xie'sha'xiu 斜纱绣
'xie'xing'zhen 斜行针
'xie'yi'si 斜一丝
'xing'zhen 行针
'xiu'beng 绣绷
'xiu'di 绣地
'xiu'fa 绣法
'xiu'hua 绣画
'xiu'hua 绣花
'xiu'hua'xian 绣花线
'xiu'liao 绣料
'xiu'xiang 绣像
'xiu'yi'pi 绣椅披
'xiu'zhen 绣针
'xu'zhen 续针
'xu'zhen'xiu 续针绣
'xu'zhen'xiu 虚针绣
'xuan'de'li 绚得丽
'xuan'zhen 旋针
'xuan'zhen'xiu 旋针绣
'ya'ban 压瓣
'ya'xiang'yan'zhen'fa 压象眼针法
'yao'zhen'xiu 咬针绣
'ye'guang'yin'hua'xiu 夜光印花绣
'ye'wu'cai 野五彩
'yi'mo'se 一抹色
'yi'rong 一绒
'yi'si 一丝
'yi'si'chuan 一丝串
'yi'zi'zhen 一字针
'yin'zhen 隐针
'ying'jin 影金
'ying'zhen'xiu 影针绣
'ying'zi'xiu 影子绣
'you'zhen 游针
'you'zhen'xiu 游针绣
'yu'mao'ci'xiu 羽毛刺绣
'yuan'bei 鸳被
'yuan'qin 鸳衾
'yuan'yang'bei 鸳鸯被
'yuan'yang'zhou 鸳鸯皱
'yuan'zhen 圆针
'yuan'zi'zhen 圆子针
'yue'xiu 粤绣
'yun'zhen'xiu 晕针绣
'zai'zhen'xiu 载针绣
'zha'zhen 扎针
'zhe'bu'li'ti'xiu 折布立体绣
'zhen'fa 针法
'zhen'jiao 针脚
'zhen'jie'hua'bian 针结花边
'zhen'qie 针切
'zhen'xian'xiu 针线绣
'zhen'xiu 针绣
'zhen'zhi 针黹
'zheng'qiang'zhen 正抢针
'zheng'ze'xiu 正则绣
'zhi'can'zhen 直参针
'zhi'jia'kou 指甲扣
'zhi'jin'zhen 织锦针
'zhi'pin'fa 直拼法
'zhi'zhen'xiu 直针绣
'zhu'jie'zhen 竹节针
'zhu'wang'xiu 蛛网绣
'zhu'xiu 珠绣
'zhu'yu'wen'xiu 茱萸纹绣
'zhu'zhen 珠针
'zhu'zhi'zhen 竹织针
'zhuan'zhen 转针
'zhuang'fang 装方
