'a'lai'shan'lie'lian'xi 阿赖山裂脸蜥
'zhong'guo'shui'she 中国水蛇
'zhong'guo'xiao'tou'she 中国小头蛇
'zhong'jie'fu 中介蝮
'zhou'shan'yan'jing'she 舟山眼镜蛇
'zhu'guang'she 珠光蛇
'zhu'ye'qing'she 竹叶青蛇
'zi'hui'jin'she 紫灰锦蛇
'zi'sha'she 紫沙蛇
'zi'zong'xiao'tou'she 紫棕小头蛇
'zong'bei'shu'xi 棕背树蜥
'zong'hei'fu'lian'she 棕黑腹链蛇
'zong'hei'jin'she 棕黑锦蛇
'zong'ji'she 棕脊蛇
'zong'wang'fu'lian'she 棕网腹链蛇
