'an'bao 安保
'dian'huo'guan'xian 点火管线
'dian'jie'ye 电解液
'dian'zi'you'men'dong'zuo'qi 电子油门动作器
'diao'che 吊车
'diao'dai 吊带
'diao'gou 吊钩
'diao'ka 吊卡
'diao'suo'ju 吊索具
'diao'zhuang 吊装
'ding'qu 顶驱
'dong'li'shui'long'tou 动力水龙头
'dong'tu'zuo'ye 动土作业
'du'cao'qia'zi 渡槽卡子
'duan'jie 短节
'dui'kou'qi 对扣器
'er'ceng'ping'tai 二层平台
'er'ceng'tai 二层台
'fa'dian'ji 发电机
'fa'dong'ji'shui'beng 发动机水泵
'fa'dong'ji'zeng'ya'qi 发动机增压器
'fa'lan'you'ren 法兰由壬
'fa'liao'dan 发料单
'fan'er 凡尔
'fan'er'tan'huang 凡尔弹簧
'fan'er'zong'cheng 凡尔总成
'fan'xun'huan 反循环
'fang'ban 方板
'fang'bao'deng 防爆灯
'fang'bao'san'xiang'yi'bu'dian'dong'ji 防爆三相异步电动机
'fang'bao'zhao'ming'dong'li'pei'dian'xiang 防爆照明动力配电箱
'fang'bu'xin 方补心
'fang'dong'ye 防冻液
'fang'du'mian'ju 防毒面具
'fang'huo'an'quan'mao 放火安全帽
'fang'huo'fu 防火服
'fang'jing 方井
'fang'pen'guan'xian 防喷管线
'fang'pen'qi 防喷器
'fang'peng'fa 防碰阀
'fang'peng'tian'che 防碰天车
'fang'peng'xi'tong 防碰系统
'fang'zhui'qi 防坠器
'fei'si'tong'jie'tou 费斯通接头
'fen'shui'qi 分水器
'feng'ge'qi 封隔器
'feng'xiang'biao 风向标
'fu'jia'zi'gong 副架子工
'fu'piao 浮漂
'fu'she 辐射
'fu'si'zuan 副司钻
'fu'wu'gong'si 服务公司
'fu'zheng'qi 扶正器
'fu'zhu'sha'che'shui'beng 辅助刹车水泵
'ga'ma'ce'jing 伽马测井
'gan'fen'mie'huo'qi 干粉灭火器
'gang'quan 钢圈
'gang'si'sheng 钢丝绳
'gang'si'shua 钢丝刷
'gang'tao 缸套
'gang'tao'ban'shou 缸套扳手
'gang'tong 钢筒
'gao'chu'zuo'ye 高处作业
'gao'nian'ye 高粘液
'gao'xi'bing 高希冰
'gao'ya 高压
'gao'ya'huang'you 高压黄油
'gao'ya'lv'xin 高压滤芯
'gao'ya'qiu'fa 高压球阀
'gao'ya'zhu'zhi'ji 高压注脂机
'gong'cheng'shi 工程师
'gong'fu 工服
'gong'xue 工靴
'gong'ye'shui'guan 工业水罐
'gong'zhui 公锥
'gu'feng'ji 鼓风机
'gu'kong'guan'xian 固控管线
'gua'jiao'shou'tao 挂胶手套
'gua'ni'ban 刮泥板
'gua'ni'qi 刮泥器
'gua'suo 挂锁
'gua'xiao'qi 刮削器
'guan'hui'ya'li 管汇压力
'guan'jia 管架
'guan'li'bian'geng 管理变更
'guan'qian 管钳
'guan'qiao 管桥
'guan'ye 灌液
'guan'ye'ji'lu 灌液记录
'guan'zhu 管柱
'guo'dong 郭栋
'guo'zhong'wen 郭忠文
'ha'bi'bi 哈比比
'ha'li'bo'dun 哈里伯顿
'han'chao 韩超
'han'tiao 焊条
'han'xi'si 焊锡丝
'hang'kong'cha'tou 航空插头
'hang'kong'gang'lan 航空钢缆
'hao'fu'chang 郝富昌
'he'ye 合页
'hong'gan'ji'kong'zhi'mian'ban 烘干机控制面板
'hou'ning 候凝
'hu'si 护丝
'hua'da'sheng 滑大绳
'hua'lan'luo'si 花篮螺丝
'hua'lun 滑轮
'huan'chong'qi 缓冲器
'huan'qi'shan 换气扇
'huan'xing 环形
'huang'jin'jiu'tiao 黄金九条
'huang'you 黄油
'huang'you'zui 黄油嘴
'huo'dong'ban'shou 活动扳手
'huo'dong'wan'tou 活动弯头
'huo'sai'zong'cheng 活塞总成
'huo'sheng'qia'zi 活绳卡子
'ji'lu'yi 记录仪
'ji'lu'zhi 记录纸
'ji'shu'tao'guan 技术套管
'ji'xie'shi 机械师
'jia'fang'jian'du 甲方监督
'jia'zhong'beng 加重泵
'jia'zi'gong 架子工
'jian'qie 剪切
'jian'qie'beng 剪切泵
'jian'qie'cang 剪切仓
'jiao'che 绞车
'jiao'liu'jie'chu'qi 交流接触器
'jiao'ta'huang'you'qiang 脚踏黄油枪
'jiao'ta'liang'xiang'san'tong'fa 脚踏两相三通阀
'jie'gu 接箍
'jie'liu'fa 节流阀
'jie'liu'guan'hui 节流管汇
'jie'xian'pan 接线盘
'jie'zhi'fa 截止阀
'jin'sheng'qi 紧绳器
'jin'shu 金树
'jing'kou 井口
'jing'kou'gong 井口工
'jing'xia'zuo'ye 井下作业
'jing'yang 井洋
'jue'yuan'dian'zu'biao 绝缘电阻表
'ka'wa'shi'di'zuo 卡瓦式底座
'ka'zuan 卡钻
'kai'gong'xu'ke 开工许可
'kai'kou'xiao 开口销
'kang'liu'ping'ban'fa 抗硫平板阀
'kong'tiao 空调
'kong'xi'du 孔隙度
'kong'ya'ji 空压机
'ku'fang 库房
'kuai'cha'jie'tou 快插接头
'kuai'su'jie'tou 快速接头
'la'shen 拉伸
'lao'mao 捞矛
'lao'tong 捞筒
'li'guan 立管
'li'he'qi'pian 离合器片
'li'zhu 立柱
'li'zuan'tai 立钻台
'lian'tiao'xiang 链条箱
'lian'xu'you'guan 连续油管
'lian'zhou'qi 联轴器
'liu'can'yi 六参议
'liu'hai'bo 刘海波
'liu'hua'qing 硫化氢
'liu'hua'qing'bao'jing'qi 硫化氢报警器
'liu'ming'hui 刘明辉
'lou'you 漏油
'lu'dan 路单
'lu'mai'la 鲁迈拉
'luo'mao 螺帽
'luo'si 螺丝
'lv'xin 滤芯
'lv'you'qi 滤油器
'ma'shu'guang 马书广
'mang'ban 盲板
'mao'dao 猫道
'mao'tou 锚头
'men'cha'xiao 门插销
'men'deng 门灯
'men'suo 门锁
'mi'du'ji 密度计
'mi'feng'quan 密封圈
'mu'zhui 母锥
'nai'zhen'ya'li'biao 耐震压力表
'neng'liang'ge'li 能量隔离
'ni'jiang'beng 泥浆泵
'ni'jiang'guan 泥浆罐
'ni'jiang'qiang 泥浆枪
'ni'long'sheng 尼龙绳
'ni'zi'dao 腻子刀
'nian'du'ji 粘度计
'niu'ju 扭矩
'pai'liang 排量
'pai'ti 排替
'pang'tong'fa 旁通阀
'pei'dian'xiang 配电箱
'pei'yan'shui 配盐水
'pian'tai 偏台
'ping'ban'fa 平板阀
'ping'tai 平台
'ping'tai'jing'li 平台经理
'qi'beng 气泵
'qi'dong'ban'shou 气动扳手
'qi'dong'dian'ji 启动电机
'qi'dong'ge'mo'beng 气动隔膜泵
'qi'dong'ka'wa 气动卡瓦
'qi'dong'ya'li'bian'song'qi 气动压力变送器
'qi'dong'you'beng 气动油泵
'qi'shou'dong'jian'ya'fa 气手动减压阀
'qi'tai 气胎
'qi'xia'zuan'gan 起下钻杆
'qi'yuan'chu'li'yuan'jian 起源处理元件
'qian'ping'heng'zuan'jing 欠平衡钻井
'qian'shui'beng 潜水泵
'qian'ya 前牙
'qian'ya 钳牙
'qiang'bi'dai'kai'guan'cha'zuo 墙壁带开关插座
'qiang'bi'kai'guan 墙壁开关
'qiao'ba 锹把
'qiao'gun 撬棍
'qie'ge'pian 切割片
'qie'sheng'qi 切绳器
'qin'da'peng 秦大鹏
'qing'xi'ji 清洗剂
'qiu'fa 球阀
'qiu'xing'men'suo 球形门锁
'qu'zhou'zhu'sai'beng 曲轴柱塞泵
'quan'feng 全封
'quan'gang'fang'bao'ge'lan 全钢防爆格兰
'quan'gang'nai'zhen'ya'li'biao 全钢耐震压力表
'quan'tong'jing'an'quan'fa 全通径安全阀
'ren'gong'jing'di 人工井底
'ren'yan'bo 任雁波
'sa'di'ge 撒的哥
'san'jian'tao 三件套
'san'jiao'pi'dai 三角皮带
'san'pian'ka'wa 三片卡瓦
'san'tong 三通
'san'wei'si'tong'fa 三位四通阀
'san'wei'si'tong'qi'zhuan'fa 三位四通气转阀
'san'xiang'duan'lu'qi 三相断路器
'san'xiang'si'ji'yi'dong'fang'bao'cha'tou 三相四级移动防爆插头
'sha'lun 砂轮
'sha'lun'pian 砂轮片
'sha'zhi 砂纸
'shang'shui'guan'xian 上水管线
'shang'shui'guan'xian'dui'si 上水管线对丝
'shang'shui'san'tong 上水三通
'she'kong 射孔
'she'kong'qiang 射孔枪
'shen'tou'lv 渗透率
'sheng'chan'jing 生产井
'sheng'chan'tao'guan 生产套管
'sheng'gao'duan'jie 升高短接
'sheng'huo'shui'guan 生活水罐
'sheng'huo'shui'guan'lv'zi 生活水罐滤子
'sheng'tao 绳套
'shi'chou 试抽
'shi'dan'li'ban'shou'gong'ju'tao 史丹利扳手工具套
'shi'mian'sheng 石棉绳
'shi'ya 试压
'shi'ya'beng 试压泵
'shi'ya'beng'ji'lu'yi 试压泵记录仪
'shi'ya'beng'zhen'xing'fa 试压泵针型阀
'shi'ya'ji'lu'zhi 试压记录纸
'shi'ya'zhi 试压纸
'shi'yuan'qing 石元庆
'shou'dong'jian'ya'fa 手动减压阀
'shou'dong'tiao'ya'fa 手动调压阀
'shu'dong 鼠洞
'shu'zhi'mo'ni 数值模拟
'shuang'gong'jie'tou 双公接头
'shui'jing'tou 水晶头
'shui'long'dai 水龙带
'shui'sha'che 水刹车
'shui'xun'huan 水循环
'si'du 丝堵
'si'kou 丝扣
'si'kou'you 丝扣油
'si'lun'bei'xie 斯伦贝谢
'si'tong 四通
'si'zuan 司钻
'si'zuan'fang 司钻房
'si'zuan'kong'zhi'tai 司钻控制台
'suan'hua 酸化
'ta'lou 塔楼
'tan'huang'dian 弹簧垫
'tao'guan'jie'gu 套管接箍
'tao'guan'jie'gu'ce'jing 套管接箍测井
'tao'guan'shi'ya 套管试压
'tao'xi'tong 套铣筒
'tian'che 天车
'tiao'pao 跳泡
'tiao'ya'fa 调压阀
'tong'bi'zi 铜鼻子
'tong'chui 铜锤
'tou'ming'jiao'bu 透明胶布
'wang'lei 王磊
'wei'de'fu 威德福
'wu'er'lin 吴二林
'wu'lian'fa 五联阀
'wu'shao'jie 武绍杰
'xi'liao 稀料
'xi'yan'tai 洗眼台
'xi'yi'fen 洗衣粉
'xi'zhui 铣锥
'xia'dian'beng 下电泵
'xia'gua'xiao 下刮削
'xia'shui'guan'xian 下水管线
'xia'shui'san'tong 下水三通
'xia'shui'wan'bo 下水弯脖
'xia'shui'zhi'tong 下水直通
'xia'wan'jing 下完井
'xian'shou'tao 线手套
'xiang'jiao'jian 橡胶件
'xiao'fang'qiao 消防锹
'xiao'fang'shui'long'dai 消防水龙带
'xiao'xing'duan'lu'qi 小型断路器
'xiao'zi 销子
'xie'kou 卸扣
'xie'ya 泄压
'xie'ya'fa 泄压阀
'xin'xing'huan 心形环
'xiu'jing'ji 修井机
'xiu'jing'ji'lun'tai 修井机轮胎
'xiu'li'bao 修理包
'xu'hui 徐辉
'xu'neng'qi 蓄能器
'xuan'sai'fa 旋塞阀
'ya'jing 压井
'ya'jing'guan'hui 压井管汇
'ya'lie 压裂
'ya'lun'zuan'tou 牙轮钻头
'ya'zuo 牙座
'yan'wu'bao'jing'qi 烟雾报警器
'yang'jiao'diao'ka 羊角吊卡
'yang'qi'yi'que 氧气乙炔
'ye'mian 液面
'ye'qi'kai'guan 液气开关
'ye'ya'guan'xian 液压管线
'ye'ya'jiao'che 液压绞车
'ye'ya'kong'zhi'xi'tong 液压控制系统
'ye'ya'ping'ban'fa 液压平板阀
'ye'ya'qian 液压钳
'ye'ya'shi'la'ma 液压式拉马
'ye'ya'you 液压油
'ye'ya'zhan 液压站
'yi'dong'shi'san'xiang'si'ji'lian'jie'qi 移动式三相四级连接器
'yi'la'ke 伊拉克
'yi'la'ke'nan'fang'shi'you'gong'si 伊拉克南方石油公司
'yi'liu'cao 溢流槽
'yi'liu'fa 溢流阀
'yin'dao'che 引导车
'ying'fang 营房
'ying'fang'cha'tou 营房插头
'ying'fang'deng'ju 营房灯具
'ying'fang'luo'si 营房螺丝
'ying'wen'ri'bao 英文日报
'you'biao'ka'chi 游标卡尺
'you'cang 油藏
'you'che 游车
'you'fu 油服
'you'guan'diao'ka 油管吊卡
'you'guan'ji'lu 油管记录
'you'guan'qian 油管钳
'you'ren'fa'lan 由壬法兰
'you'wu 油污
'you'wu'qi 油雾器
'you'xian'kong'jian 有限空间
'yuan'tong'xing'mao'rong'duan'qi 圆筒形帽熔断器
'yuan'you 原油
'zai'che 载车
'zai'che'fa'dong'ji 载车发动机
'zai'che'guan'xian'jie'tou 载车管线接头
'zai'che'lian'zhou'qi 载车联轴器
'zai'che'shou'zhi'dong'fa 载车手制动阀
'zai'che'xi'huo'kai'guan 载车熄火开关
'zha'ban 闸板
'zhao'de'fu 赵德富
'zhao'zhi'quan 赵志权
'zhen'dong'shai 振动筛
'zhen'fa 针阀
'zhen'ji'qi 震击器
'zhen'kong'chu'qi'qi 真空除气器
'zhen'liu'qi 镇流器
'zheng'xun'huan 正循环
'zhi'hui'fu 指挥服
'zhi'zhong'biao 指重表
'zhu'gun'tong 主滚筒
'zhu'gun'tong'zu'he'fa 主滚筒组合阀
'zhu'sai'beng 柱塞泵
'zhu'shui'jing 注水井
'zhu'shui'ni 注水泥
'zhu'tie'han'tiao 铸铁焊条
'zhu'yu'wu 朱玉武
'zhuan'huan'fa'lan 转换法兰
'zhuan'huan'jie'tou 转换接头
'zhuan'pan 转盘
'zhuan'pan'niu'ju'chuan'gan'qi'zong'cheng 转盘扭矩传感器总成
'zhuan'pan'zu'he'fa 转盘组合阀
'zhuan'xiang'zhu'li'beng 转向助力泵
'zhuan'xiang'zhu'li'you'gang 转向助力油缸
'zi'feng'you'ren 自封由壬
'zi'pen'jing 自喷井
'zi'ran'dian'wei'ce'jing 自然电位测井
'zuan'gan'diao'ka 钻杆吊卡
'zuan'gan'duan'jie 钻杆短接
'zuan'gan'he 钻杆盒
'zuan'jing 钻井
'zuan'sai 钻塞
'zuan'tai 钻台
'zuan'ting 钻铤
'zuan'tou 钻头
'zuan'tou'xie'kou'qi 钻头卸扣器
