'an'dian'liu 暗电流
'mo'tong'dao 膜通道
'mo'tong'tou'xing 膜通透性
'mo'zheng'he'zhui 膜整合锥
'mo'zhi'zi'chuan'dao 膜质子传导
'nao'ci'tu'miao'ji'shu 脑磁图描记术
'nei'xuan'zhuan 内旋转
'nian'du 粘度
'niu'jie 扭结
'niu'qu'gou'xiang 扭曲构象
'niu'zhuan'fan'ying 扭转反应
'pian'liu 片流
'ping'mian'zhi'shuang'ceng 平面脂双层
'ping'xing'jia'gong 平行加工
'pu'shi'xing'lei 普适性类
'qi'fa'shi 启发式
'qian'yan'zhao'she 迁延照射
'qie'bu'xiu'fu 切补修复
'qu'chu'xing 趋触性
'qu'ci'xing 趋磁性
'qu'dian'xing 趋电性
'qu'fu'ying'li 屈服应力
'qu'guang'xing 趋光性
'qu'shi'xing 趋湿性
'qu'shui'xing 趋水性
'qu'wen'xing 趋温性
'qu'xiang'xuan'ze'xing 取向选择性
'qu'ya'xing 趋压性
'quan'fan'gou'xing 全反构型
'quan'xi'ji'yi 全息记忆
're'bian'xing'zuo'yong 热变性作用
'ren'gong'mo 人工膜
'rong'he'mo 融合膜
'rou'xing 柔性
'san'gu'luo'xuan 三股螺旋
'san'ji'jie'gou 三级结构
'sao'miao'sui'dao'xian'wei'shu 扫描隧道显微术
'shai'ban 晒斑
'she'xian'xi'shou'jin'bian'jie'gou 射线吸收近边结构
'she'xian'xi'shou'jing'xi'jie'gou 射线吸收精细结构
'shen'jing'ci'tu'miao'ji'shu 神经磁图描记术
'shen'jing'wang'luo 神经网络
'shen'jing'xing'wei'xue 神经行为学
'sheng'dian'na'beng 生电钠泵
'sheng'tong'xun 声通讯
'sheng'wu'chuan'gan'qi 生物传感器
'sheng'wu'ci'xiao'ying 生物磁效应
'sheng'wu'ci'xue 生物磁学
'sheng'wu'fa'guang 生物发光
'sheng'wu'fa'guang'tan'ji 生物发光探剂
'sheng'wu'fan'kui 生物反馈
'sheng'wu'guang'zi 生物光子
'sheng'wu'ji'suan'ji 生物计算机
'sheng'wu'kong'zhi'lun 生物控制论
'sheng'wu'li'xue 生物力学
'sheng'wu'liang're'fa 生物量热法
'sheng'wu'liu'bian'xue 生物流变学
'sheng'wu'neng'xue 生物能学
'sheng'wu'nian'tan'xing 生物粘弹性
'sheng'wu'quan'xi'shu 生物全息术
'sheng'wu'sheng'na 生物声呐
'sheng'wu'wu'li'hua'xue 生物物理化学
'sheng'wu'wu'li'xue 生物物理学
'sheng'wu'xin'pian 生物芯片
'sheng'wu'xin'xi'lun 生物信息论
'sheng'wu'yao'ce'sao'miao'qi 生物遥测扫描器
'sheng'wu'yao'ce'shu 生物遥测术
'sheng'wu'zhong 生物钟
'sheng'wu'zhong'xue 生物钟学
'sheng'xiang 声象
'shi'dong'fan'ying 视动反应
'shi'jian'fan'xiang 时间反向
'shi'jue 时觉
'shi'wang'mo'ci'tu 视网膜磁图
'shi'zhi'xiong'zhao 时值凶兆
'shou'ji'zi 受激子
'shou'shi'yin'zi 授时因子
'shou'xing 手性
'shuang'fen'zi'zhi'mo 双分子脂膜
'shuang'luo'xuan 双螺旋
'shui'jie'gou 水结构
'si'ji'jie'gou 四级结构
'sui'ji'xiao'ying 随机效应
'tan'xing'xiang'ying 弹性响应
'te'zheng'jian'ce'qi 特征检测器
'ti'nei'wen'tai 体内稳态
'tian'ti'sheng'wu'wu'li'xue 天体生物物理学
'tiao'zhi'chuan'di'han'shu 调制传递函数
'ting'ao 听凹
'ting'jue'yan'bi 听觉掩蔽
'tong'bu'fu'she 同步辐射
'tong'bu'ji'fa'guang'pu'xue 同步激发光谱学
'tu'bian'lun 突变论
'tu'xiang'ying'guang'ji 图象荧光计
'tu'xiang'zeng'qiang'xian'wei'shu 图象增强显微术
'tuo'qing'ying'guang'su 脱氢萤光素
'wang'mo'wai'guang'gan'shou 网膜外光感受
'wei'ji'liang'xue 微剂量学
'wei'li'fu'she 微粒辐射
'wei'liang'dian'yong 微量电泳
'wei'liang'li'zi'dian'yong 微量离子电泳
'wei'tuan 微团
'wen'li 纹理
'xi'bao'ci'ce'liang'shu 细胞磁测量术
'xi'bao'dian'yong 细胞电泳
'xi'bao'guo'lv 细胞过滤
'xi'bao'jian'dian'ou'he 细胞间电耦合
'xi'bao'liu'bian'xue 细胞流变学
'xi'bao'sheng'wu'wu'li'xue 细胞生物物理学
'xi'jian'kua'yue 系间跨越
'xi'shou'ji'liang 吸收剂量
'xi'tong'fen'xi 系统分析
'xi'tong'lun 系统论
'xian'xing'neng'liang'zhuan'yi 线性能量转移
'xiang'ci'xing 向磁性
'xiang'di'xing 向地性
'xiang'gan'fan'si'tuo'ke'si 相干反斯托克斯
'xiang'guang'xing 向光性
'xiang'hua'xing 向化性
'xiang'qian'jie'gou 镶嵌结构
'xiang'qian'xian'xiang 镶嵌现象
'xiang'ri'xing 向日性
'xiang'shi'xing 向湿性
'xiang'shui'xing 向水性
'xiang'su 象素
'xiang'wei'ying'guang'ce'ding'fa 相位荧光测定法
'xiang'ya'xing 向压性
'xiang'yang'xing 向氧性
'xiang'zhou'qian'yi 向轴迁移
'xiao'wo'qi 小窝器
'xie'tong'xue 协同学
'xin'ci'tu'miao'ji'shu 心磁图描记术
'xing'shi'shen'jing'yuan 形式神经元
'xu'can'shu 序参数
'xue'guan'li'xue 血管力学
'xue'guan'liu'bian'xue 血管流变学
'xue'guan'ru'bian 血管蠕变
'xue'liu'su'du'miao'ji'shu 血流速度描记术
'xue'ye 血液
'xue'ye'ceng'liu 血液层流
'xue'ye'chu'bian'xing 血液触变性
'xue'ye'di'zhan'zong'he'zheng 血液低粘综合征
'xue'ye'gao'zhan'zong'he'zheng 血液高粘综合征
'xue'ye'liu'bian'xue 血液流变学
'xun'ba'zuo'yong 寻靶作用
'ya'zhi'si'sun'shang 亚致死损伤
'yan'chi'fa'guang 延迟发光
'yan'dong'kong'zhi 眼动控制
'yan'shen 延伸
'yan'you'shi'zu 眼优势组
'yang'hua'ying'guang'su 氧化萤光素
'yang'shou'ti 氧受体
'yi'ji'jie'gou 一级结构
'yi'shi'yuan'li 役使原理
'yin'ma'qi 音码器
'ying'guang'biao'ji 荧光标记
'ying'guang'fen'guang'guang'du'fa 荧光分光光度法
'ying'guang'jian'ce'yuan'er'se'xing 荧光检测圆二色性
'ying'guang'pian'zhen 荧光偏振
'ying'guang'piao'bai'hui'fu 荧光漂白恢复
'ying'guang'shou'ming 荧光寿命
'ying'guang'su 萤光素
'ying'guang'su'mei 萤光素酶
'ying'guang'tan'ji 荧光探剂
'ying'guang'tuan 荧光团
'you'dao'fa'guang 诱导发光
'you'si'fen'lie'fu'she 有丝分裂辐射
'yu'tu 语图
'yu'yan'shi'bie'ji 语言识别机
'yu'zhou'sheng'wu'xue 宇宙生物学
'yuan'chang'dian'wei 远场电位
'yuan'pian'zhen'cha'san'she 圆偏振差散射
'yuan'wei'dian'yong 原位电泳
'zao'sheng'you'fa'de 噪声诱发的
'ze'shi'jian'yan 择时检验
'zhao'she 照射
'zhen'dong'chu'jue'xin'xi 振动触觉信息
'zhen'dong'gan'shou'qi 振动感受器
'zhen'dong'jue 振动觉
'zheng'dian'zi'cheng'xiang'shu 正电子成象术
'zhi'dan'bai'ti 脂蛋白体
'zhi'dan'ceng 脂单层
'zhi'duo'xing'xing 脂多型性
'zhi'hou 滞后
'zhi'hua'xue'fa'guang'hua'he'wu 致化学发光化合物
'zhi'nang'pao 脂囊泡
'zhi'shuang'ceng 脂双层
'zhi'si'sun'shang 致死损伤
'zhi'wei'nang 脂微囊
'zhi'zhi'ti 脂质体
'zhong'li'gan'shou'qi 重力感受器
'zhu'yao'shi'yang'guang 主要是阳光
'zhu'zhuang'zu'zhi 柱状组织
'zhui'nei'bai'dong'mo'xing 锥内摆动模型
'zhui'zhu'xing'wei 追逐行为
'zi'chi'de 自持的
'zi'fan'zhi'xi'tong 自繁殖系统
'zi'shang'er'xia'fen'xi 自上而下分析
'zi'xia'er'shang'fen'xi 自下而上分析
'zi'xuan'biao'ji 自旋标记
'zi'xuan'bu'huo 自旋捕获
'zi'you'ji 自由基
'zi'zu'zhi'xi'tong 自组织系统
'zuo'yong'guang'pu 作用光谱
