'bai'fu'zhang 百夫长
'ma'jun'shuai 马军帅
'ma'jun'si 马军司
'ma'jun'xing'si 马军行司
'ma'shuai 马帅
'ma'si 马司
'ma'zhi 马直
'nan'song'san'ya'jun'zhi 南宋三衙军职
'nei'deng'zi 内等子
'nei'dian'zhi'you'di'er'ban 内殿直右第二班
'nei'dian'zhi'you'di'yi'ban 内殿直右第一班
'nei'dian'zhi'zuo'di'er'ban 内殿直左第二班
'nei'dian'zhi'zuo'di'yi'ban 内殿直左第一班
'nei'ke'sheng'shi 内客省使
'nei'ke'sheng'shi'ting'shi 内客省使厅事
'nei'wai'bu'jun'dou'jun'tou 内外步军都军头
'nei'wai'ma'bu'jun'dou'jun'tou 内外马步军都军头
'nei'wai'ma'bu'jun'fu'dou'jun'tou 内外马步军副都军头
'nu'zhi 弩直
'pan'ge'men'shi 判閤门事
'pan'si'fang'guan'shi 判四方馆事
'peng'ri 捧日
'peng'ri'dui 捧日队
'peng'ri'shang'san'jun 捧日上三军
'peng'ri'yi'xia'zhu'jun'zhi'hui 捧日以下诸军指挥
'peng'ri'you'xiang 捧日右厢
'peng'ri'zuo'xiang 捧日左厢
'qian'niu'wei'jiang'jun 千牛卫将军
'qin'cong'guan 亲从官
'qin'cong'qin'shi 亲从亲事
'qin'shi'guan 亲事官
'qin'wei 亲卫
'qin'wei'fu'lang 亲卫府郎
'qin'wei'fu'zhong'lang 亲卫府中郎
'qin'wei'guan 亲卫官
'quan'dian'qian'si'gong'shi 权殿前司公事
'quan'zhu'guan'dian'qian'si'gong'shi 权主管殿前司公事
'ri'qi 日骑
'ru'nei'yuan'zi 入内院子
'san'dou'tou'you'ban 散都头右班
'san'dou'tou'zuo'ban 散都头左班
'san'jun 三军
'san'shuai 三帅
'san'si 三司
'san'wei'bo'shi 三卫博士
'san'wei'fu 三卫府
'san'wei'guan 三卫官
'san'wei'lang 三卫郎
'san'wei'shi'lang 三卫侍郎
'san'wei'zhong'lang 三卫中郎
'san'wei'zhu'bu 三卫主簿
'san'ya 三牙
'san'ya 三衙
'san'ya'tui'yu 三衙推狱
'san'ya'zhu'jun 三衙诸军
'san'yuan 散员
'san'yuan'you'di'er'ban 散员右第二班
'san'yuan'you'di'yi'ban 散员右第一班
'san'yuan'zuo'di'er'ban 散员左第二班
'san'yuan'zuo'di'yi'ban 散员左第一班
'san'zhi'hou'you'ban 散祗侯右班
'san'zhi'hou'zuo'ban 散祗侯左班
'san'zhi'hui'you'di'er'ban 散指挥右第二班
'san'zhi'hui'you'di'yi'ban 散指挥右第一班
'san'zhi'hui'zuo'di'er'ban 散指挥左第二班
'san'zhi'hui'zuo'di'yi'ban 散指挥左第一班
'san'zhi'you'di'er'ban 散直右第二班
'san'zhi'you'di'yi'ban 散直右第一班
'san'zhi'zuo'di'er'ban 散直左第二班
'san'zhi'zuo'di'yi'ban 散直左第一班
'shang'ge 上閤
'shang'jiang 上将
'shang'jiang'jun 上将军
'shang'si'jun 上四军
'shang'tie'lin 上铁林
'shen'wei 神卫
'shen'wei'you'xiang 神卫右厢
'shen'wei'zuo'xiang 神卫左厢
'shen'wu'tong'jun 神武统军
'shi'jiang 十将
'shi'wei'bu'jun'dou'yu'hou 侍卫步军都虞侯
'shi'wei'bu'jun'fu'du'zhi'hui'shi 侍卫步军副都指挥使
'shi'wei'bu'jun'si 侍卫步军司
'shi'wei'bu'jun'si'du'zhi'hui'shi 侍卫步军司都指挥使
'shi'wei'bu'jun'zhi'hui'shi 侍卫步军指挥使
'shi'wei'dou'yu'hou 侍卫都虞侯
'shi'wei'ma'bu'jun'dou'yu'hou 侍卫马步军都虞侯
'shi'wei'ma'jun 侍卫马军
'shi'wei'ma'jun'dou'yu'hou 侍卫马军都虞侯
'shi'wei'ma'jun'du'zhi'hui'shi 侍卫马军都指挥使
'shi'wei'ma'jun'fu'du'zhi'hui'shi 侍卫马军副都指挥使
'shi'wei'ma'jun'si 侍卫马军司
'shi'wei'ma'si 侍卫马司
'shi'wei'qin'jun'bu'jun 侍卫亲军步军
'shi'wei'qin'jun'bu'jun'fu'du'zhi'hui'shi 侍卫亲军步军副都指挥使
'shi'wei'qin'jun'bu'jun'si 侍卫亲军步军司
'shi'wei'qin'jun'bu'jun'si'dou'yu'hou 侍卫亲军步军司都虞侯
'shi'wei'qin'jun'bu'jun'si'du'zhi'hui'shi 侍卫亲军步军司都指挥使
'shi'wei'qin'jun'bu'jun'si'fu'du'zhi'hui'shi 侍卫亲军步军司副都指挥使
'shi'wei'qin'jun'dou'yu'hou 侍卫亲军都虞侯
'shi'wei'qin'jun'du'zhi'hui'shi 侍卫亲军都指挥使
'shi'wei'qin'jun'fu'du'zhi'hui'shi 侍卫亲军副都指挥使
'shi'wei'qin'jun'ma'jun 侍卫亲军马军
'shi'wei'qin'jun'ma'jun'si 侍卫亲军马军司
'shi'wei'qin'jun'ma'jun'si'dou'yu'hou 侍卫亲军马军司都虞侯
'shi'wei'qin'jun'ma'jun'si'du'zhi'hui'shi 侍卫亲军马军司都指挥使
'shi'wei'qin'jun'ma'jun'si'fu'du'zhi'hui'shi 侍卫亲军马军司副都指挥使
'shi'wei'qin'jun'ma'jun'xing'si 侍卫亲军马军行司
'shi'wei'qin'jun'si 侍卫亲军司
'shi'wei'qin'jun'si'ma'bu'jun'dou'yu'hou 侍卫亲军司马步军都虞侯
'shi'wei'qin'jun'si'ma'bu'jun'du'zhi'hui'shi 侍卫亲军司马步军都指挥使
'shi'wei'qin'jun'si'ma'bu'jun'fu'du'zhi'hui'shi 侍卫亲军司马步军副都指挥使
'shi'wei'si 侍卫司
'shou'que'ru'nei'yuan'zi 守阙入内院子
'shu'jian'zhi'zhi 属鞬之职
'si'fang 四方
'si'fang'guan 四方馆
'si'fang'guan'shi 四方馆使
'si'qing 司圊
'si'se'guan 四色官
'si'xiang 四厢
'si'xiang'du'zhi'hui'shi 四厢都指挥使
'si'zhi'dou'yu'hou 四直都虞侯
'ti'dian'huang'cheng'si 提点皇城司
'ti'dian'yu'qian'zhong'zuo'jun'tou'yin'jian'si 提点御前忠佐军头引见司
'ti'ju'huang'cheng'si 提举皇城司
'tian'wu 天武
'tian'wu'yi'xia'zhu'jun'zhi'hui 天武以下诸军指挥
'tian'wu'you'xiang 天武右厢
'tian'wu'zuo'xiang 天武左厢
'tie'qi 铁骑
'tong'guan 同管
'tong'jun 统军
'tong'ling 统领
'tong'shi 通事
'tong'shi'she'ren 通事舍人
'tong'tong'zhi 同统制
'tong'zhi 同知
'tong'zhi 统制
'tong'zhi'ge'men'shi 同知閤门事
'tong'zhi'ge'men'shi'tong'jian'ke'sheng'si'fang'guan'shi 同知閤门事同兼客省四方馆事
'tong'zhu'guan'ge'men'gong'shi 同主管閤门公事
'tun'wei 屯卫
'tun'wei'shang'jiang'jun 屯卫上将军
'wai'dian'zhi 外殿直
'wei'guan 卫官
'wei'jiang'jun 卫将军
'wu'de 武德
'wu'de'si 武德司
'wu'guan'she'ren 武官舍人
'wu'zhong'jin'wei'jun 五重禁卫军
'xi'ban'cheng'zhi 西班承旨
'xi'shang 西上
'xi'shang'ge'men 西上閤门
'xi'shang'ge'men'fu'shi 西上閤门副使
'xi'shang'ge'men'shi 西上閤门使
'xi'shang'ge'men'si 西上閤门司
'xia'ban'zhi'ying 下班祗应
'xiang'dou'xiao 厢都校
'xiang'du'zhi'hui'shi 厢都指挥使
'xiang'pu 相扑
'xiang'shi 厢使
'xiang'zhu 厢主
'xiao'di 小底
'xiao'jiang'jun 小将军
'xiao'wei 骁卫
'xiao'wei'jiang'jun 骁卫将军
'xing'gong'jin'wei'suo 行宫禁卫所
'xuan'shi'she'ren 宣事舍人
'xuan'zan 宣赞
'xuan'zan'she'ren 宣赞舍人
'xun'lian'guan 训练官
'xun'wei 勋卫
'xun'wei'fu'lang 勋卫府郎
'xun'wei'fu'zhong'lang 勋卫府中郎
'xun'wei'guan 勋卫官
'ya'dui 押队
'ya'guan 押官
'ya'yong'dui 押拥队
'yi'wei 翊卫
'yi'wei'fu'lang 翊卫府郎
'yi'wei'fu'zhong'lang 翊卫府中郎
'yi'wei'guan 翊卫官
'yin'jian 引见
'yin'jian'si 引见司
'yin'jin 引进
'yin'jin'fu'shi 引进副使
'yin'jin'shi 引进使
'yin'jin'si 引进司
'yin'jin'si'fu'shi 引进司副使
'yin'jin'si'shi 引进司使
'yin'qiang'ban 银枪班
'yong'dui 拥队
'you'jian'men'wei'da'jiang'jun 右监门卫大将军
'you'jian'men'wei'jiang'jun 右监门卫将军
'you'jian'men'wei'lang'jiang 右监门卫郎将
'you'jian'men'wei'shang'jiang'jun 右监门卫上将军
'you'jian'men'wei'zhong'lang'jiang 右监门卫中郎将
'you'jin'wu 右金吾
'you'jin'wu'shang'jiang'jun 右金吾上将军
'you'jin'wu'wei'da'jiang'jun 右金吾卫大将军
'you'jin'wu'wei'jiang'jun 右金吾卫将军
'you'jin'wu'wei'lang'jiang 右金吾卫郎将
'you'jin'wu'wei'shang'jiang'jun 右金吾卫上将军
'you'jin'wu'wei'zhong'lang'jiang 右金吾卫中郎将
'you'ling'jun'wei'da'jiang'jun 右领军卫大将军
'you'ling'jun'wei'jiang'jun 右领军卫将军
'you'ling'jun'wei'lang'jiang 右领军卫郎将
'you'ling'jun'wei'shang'jiang'jun 右领军卫上将军
'you'ling'jun'wei'zhong'lang'jiang 右领军卫中郎将
'you'long'wu 右龙武
'you'long'wu'jun 右龙武军
'you'long'wu'jun'da'jiang'jun 右龙武军大将军
'you'long'wu'jun'jiang'jun 右龙武军将军
'you'long'wu'jun'tong'jun 右龙武军统军
'you'qian'niu'wei'da'jiang'jun 右千牛卫大将军
'you'qian'niu'wei'jiang'jun 右千牛卫将军
'you'qian'niu'wei'lang'jiang 右千牛卫郎将
'you'qian'niu'wei'shang'jiang'jun 右千牛卫上将军
'you'qian'niu'wei'zhong'lang'jiang 右千牛卫中郎将
'you'shen'wu 右神武
'you'shen'wu'jun 右神武军
'you'shen'wu'jun'da'jiang'jun 右神武军大将军
'you'shen'wu'jun'jiang'jun 右神武军将军
'you'shen'wu'jun'tong'jun 右神武军统军
'you'tun'wei 右屯卫
'you'tun'wei'da'jiang'jun 右屯卫大将军
'you'tun'wei'jiang'jun 右屯卫将军
'you'tun'wei'shang'jiang'jun 右屯卫上将军
'you'tun'wei'zhong'lang'jiang 右屯卫中郎将
'you'wei 右卫
'you'wei'da'jiang'jun 右卫大将军
'you'wei'jiang'jun 右卫将军
'you'wei'lang'jiang 右卫郎将
'you'wei'shang'jiang'jun 右卫上将军
'you'wei'zhong'lang'jiang 右卫中郎将
'you'wu'wei'da'jiang'jun 右武卫大将军
'you'wu'wei'jiang'jun 右武卫将军
'you'wu'wei'lang'jiang 右武卫郎将
'you'wu'wei'shang'jiang'jun 右武卫上将军
'you'wu'wei'zhong'lang'jiang 右武卫中郎将
'you'xiao'wei 右骁卫
'you'xiao'wei'da'jiang'jun 右骁卫大将军
'you'xiao'wei'jiang'jun 右骁卫将军
'you'xiao'wei'lang'jiang 右骁卫郎将
'you'xiao'wei'shang'jiang'jun 右骁卫上将军
'you'xiao'wei'zhong'lang'jiang 右骁卫中郎将
'you'yu'lin 右羽林
'you'yu'lin'jun 右羽林军
'you'yu'lin'jun'da'jiang'jun 右羽林军大将军
'you'yu'lin'jun'jiang'jun 右羽林军将军
'you'yu'lin'jun'shang'jiang'jun 右羽林军上将军
'you'yu'lin'jun'tong'jun 右羽林军统军
'yu'dai 御带
'yu'dai'qi'xie 御带器械
'yu'hou 虞侯
'yu'lin'tong'jun 羽林统军
'yu'long'gong'jian'zhi 御龙弓箭直
'yu'long'gu'duo'zi'you'zhi 御龙骨朵子右直
'yu'long'gu'duo'zi'zuo'zhi 御龙骨朵子左直
'yu'long'nu'zhi 御龙弩直
'yu'long'si'zhi 御龙四直
'yu'long'you'zhi 御龙右直
'yu'long'zuo'zhi 御龙左直
'yu'qi'xie 御器械
'yu'qian'zhong'zuo 御前忠佐
'yu'qian'zhong'zuo'bu'jun'dou'jun'tou 御前忠佐步军都军头
'yu'qian'zhong'zuo'bu'jun'dou'tou 御前忠佐步军都头
'yu'qian'zhong'zuo'bu'jun'fu'dou'jun'tou 御前忠佐步军副都军头
'yu'qian'zhong'zuo'jiang'xiao 御前忠佐将校
'yu'qian'zhong'zuo'jun'tou 御前忠佐军头
'yu'qian'zhong'zuo'jun'tou'si 御前忠佐军头司
'yu'qian'zhong'zuo'jun'tou'si'san'yuan'ban'jiang'xiao 御前忠佐军头司散员班将校
'yu'qian'zhong'zuo'jun'tou'si'zhi'hou'san'yuan'ban 御前忠佐军头司祗侯散员班
'yu'qian'zhong'zuo'jun'tou'yin'jian'si 御前忠佐军头引见司
'yu'qian'zhong'zuo'jun'tou'yin'jian'si'bu'zhi 御前忠佐军头引见司步直
'yu'qian'zhong'zuo'jun'tou'yin'jian'si'ma'zhi 御前忠佐军头引见司马直
'yu'qian'zhong'zuo'jun'tou'yin'jian'si'zhi'hou'jun'yuan 御前忠佐军头引见司祗侯军员
'yu'qian'zhong'zuo'liu'zi 御前忠佐六资
'yu'qian'zhong'zuo'ma'bu'dou'jun'tou 御前忠佐马步都军头
'yu'qian'zhong'zuo'ma'bu'jun'dou'jun'tou 御前忠佐马步军都军头
'yu'qian'zhong'zuo'ma'bu'jun'fu'dou'jun'tou 御前忠佐马步军副都军头
'yu'qian'zhong'zuo'ma'jun'dou'jun'tou 御前忠佐马军都军头
'yu'qian'zhong'zuo'ma'jun'dou'tou 御前忠佐马军都头
'yu'qian'zhong'zuo'ma'jun'fu'dou'jun'tou 御前忠佐马军副都军头
'yu'qian'zhong'zuo'san'yuan 御前忠佐散员
'yu'qian'zhong'zuo'yin'jian'si 御前忠佐引见司
'yun'qi'dai'jia'sheng'yuan'zhi'hui 云骑带甲剩员指挥
'yun'qi'jun 云骑军
'zhao'jian'ban 招箭班
'zhen'dian'jiang'jun 镇殿将军
'zheng'jiang 正将
'zhi'dong'shang'ge'men'shi 知东上閤门事
'zhi'ge 知閤
'zhi'ge'men 知閤门
'zhi'ge'men'shi 知閤门事
'zhi'ge'men'shi'jian'ke'sheng'si'fang'guan'shi 知閤门事兼客省四方馆事
'zhi'hou'jun'yuan 祗侯军员
'zhi'hui 指挥
'zhi'hui'shi 指挥使
'zhi'ke'sheng'shi 知客省事
'zhi'ling 制领
'zhi'si'fang'guan'shi 知四方馆事
'zhi'xi'shang'ge'men'shi 知西上閤门事
'zhi'yin'jin'si'gong'shi 知引进司公事
'zhi'ying 祗应
'zhong'lang'jiang 中郎将
'zhong'zuo 忠佐
'zhong'zuo'jun'tou 忠佐军头
'zhong'zuo'si 忠佐司
'zhu'ban 诸班
'zhu'ban'dou'yu'hou 诸班都虞侯
'zhu'ban'dou'zhi 诸班都知
'zhu'ban'du'zhi'hui'shi 诸班都指挥使
'zhu'ban'fu'dou'zhi 诸班副都知
'zhu'ban'ya'ban 诸班押班
'zhu'ban'zhi 诸班直
'zhu'ban'zhi'hui'shi 诸班指挥使
'zhu'guan'bu'jun'si 主管步军司
'zhu'guan'bu'si'gong'shi 主管步司公事
'zhu'guan'dian'qian'si 主管殿前司
'zhu'guan'dian'qian'si'gong'shi 主管殿前司公事
'zhu'guan'ge'men'gong'shi 主管閤门公事
'zhu'guan'jin'wei'suo 主管禁卫所
'zhu'guan'ma'jun'xing'si'gong'shi 主管马军行司公事
'zhu'guan'mou'si'gong'shi 主管某司公事
'zhu'guan'shi'wei'bu'jun 主管侍卫步军
'zhu'guan'shi'wei'bu'jun'si 主管侍卫步军司
'zhu'guan'shi'wei'ma'jun'si 主管侍卫马军司
'zhu'guan'shi'wei'qin'jun'bu'jun'si'gong'shi 主管侍卫亲军步军司公事
'zhu'guan'shi'wei'qin'jun'ma'jun'si'gong'shi 主管侍卫亲军马军司公事
'zhu'guan'shi'wei'qin'jun'ma'jun'xing'si'gong'shi 主管侍卫亲军马军行司公事
'zhu'guan'yu'qian'zhong'zuo'jun'tou'yin'jian'si 主管御前忠佐军头引见司
'zhu'wei'da'jiang'jun 诸卫大将军
'zhu'wei'jiang'jun 诸卫将军
'zhu'wei'shang'jiang'jun 诸卫上将军
'zhu'zhi 诸直
'zhu'zhi'dou'tou 诸直都头
'zhu'zhi'dou'yu'hou 诸直都虞侯
'zhu'zhi'dui'zhang 诸直队长
'zhu'zhi'fu'zhi'hui'shi 诸直副指挥使
'zhu'zhi'jiang'yu'hou 诸直将虞侯
'zhu'zhi'shi'jiang 诸直十将
'zhu'zhi'zhi'hui'shi 诸直指挥使
'zhun'bei'jiang 准备将
'zuo'jian'men'wei'da'jiang'jun 左监门卫大将军
'zuo'jian'men'wei'jiang'jun 左监门卫将军
'zuo'jian'men'wei'lang'jiang 左监门卫郎将
'zuo'jian'men'wei'shang'jiang'jun 左监门卫上将军
'zuo'jian'men'wei'zhong'lang'jiang 左监门卫中郎将
'zuo'jin'wu 左金吾
'zuo'jin'wu'shang'jiang'jun 左金吾上将军
'zuo'jin'wu'wei'da'jiang'jun 左金吾卫大将军
'zuo'jin'wu'wei'jiang'jun 左金吾卫将军
'zuo'jin'wu'wei'lang'jiang 左金吾卫郎将
'zuo'jin'wu'wei'shang'jiang'jun 左金吾卫上将军
'zuo'jin'wu'wei'zhong'lang'jiang 左金吾卫中郎将
'zuo'ling'jun'wei'da'jiang'jun 左领军卫大将军
'zuo'ling'jun'wei'jiang'jun 左领军卫将军
'zuo'ling'jun'wei'lang'jiang 左领军卫郎将
'zuo'ling'jun'wei'shang'jiang'jun 左领军卫上将军
'zuo'ling'jun'wei'zhong'lang'jiang 左领军卫中郎将
'zuo'ling'wei'zhong'lang'jiang 左领卫中郎将
'zuo'long'wu 左龙武
'zuo'long'wu'jun 左龙武军
'zuo'long'wu'jun'da'jiang'jun 左龙武军大将军
'zuo'long'wu'jun'jiang'jun 左龙武军将军
'zuo'long'wu'jun'tong'jun 左龙武军统军
'zuo'qian'niu'wei'da'jiang'jun 左千牛卫大将军
'zuo'qian'niu'wei'jiang'jun 左千牛卫将军
'zuo'qian'niu'wei'lang'jiang 左千牛卫郎将
'zuo'qian'niu'wei'shang'jiang'jun 左千牛卫上将军
'zuo'qian'niu'wei'zhong'lang'jiang 左千牛卫中郎将
'zuo'shen'wu 左神武
'zuo'shen'wu'jun 左神武军
'zuo'shen'wu'jun'da'jiang'jun 左神武军大将军
'zuo'shen'wu'jun'jiang'jun 左神武军将军
'zuo'shen'wu'jun'shang'jiang'jun 左神武军上将军
