'a'ji'mi'de'qiao'ji 阿基米德巧计
'an'shang'zhong'yao'she'shi 岸上重要设施
'an'tan 岸滩
'an'tan'zhang'ai'wu 岸滩障碍物
'an'wa'shi'gong'shi 暗挖式工事
'an'wa'shi'tong'dao 暗挖式通道
'an'wai'da'jie 安外大街
'an'xi'fang 按西方
'an'xia'dian'huo'an'niu 按下点火按钮
'an'xia'fa'she'an'niu 按下发射按钮
'an'xia'pao'niu 按下炮钮
'an'xin'zhan'yi 安新战役
'an'yu'ding'dan'dao 按预定弹道
'an'yuan'jiang'jun 安远将军
'an'zhan 安战
'an'zhao'tan'ke 按照坦克
'an'zhuang'bu'wei 安装部位
'an'zhuang'gong'zuo'liang 安装工作量
'an'zhuang'shi'yong'dian'wang 安装使用电网
'an'zuo'fu'you 按左扶右
'ang'zang'he'wu'qi 肮脏核武器
'ang'zang'qing'dan 肮脏氢弹
'ao'de 奥得
'ao'ru'shi'da'mo 凹入式打磨
'ao'tuo 奥托
'ao'tuo'cong'lin'wang 奥托丛林王
'ao'xing'xie'mian 凹形斜面
'ba'ba'luo'sa 巴巴罗萨
'ba'chang 靶场
'ba'chang'xuan'xing'shi'yan 靶场选型试验
'ba'cheng'ji'dong'che 扒乘机动车
'ba'fu 八服
'ba'gua'qi 八卦旗
'ba'ji 靶机
'ba'ke 巴克
'ba'ke'ye'ying 巴克夜鹰
'ba'lei 靶雷
'ba'lie'fu'fang'xian 巴列夫防线
'ba'lu'jun 八路军
'ba'lu'jun'jin'xing'qu 八路军进行曲
'ba'nian'kang'zhan 八年抗战
'ba'qi'bing 八旗兵
'ba'yi'chang 八一厂
'ba'yi'jian'jun'jie 八一建军节
'ba'yi'jiang'zhang 八一奖章
'ba'yi'jun'hui 八一军徽
'ba'yi'jun'qi 八一军旗
'ba'yi'mao'hui 八一帽徽
'ba'yi'nan'chang'qi'yi 八一南昌起义
'ba'yi'ti'gong'dui 八一体工队
'ba'yi'xun'zhang 八一勋章
'ba'zhong'dui 八中队
'ba'zhuang 拔桩
'ba'zhuang'ji 拔桩机
'bai'chong'xi 白崇禧
'bai'gen 白根
'bai'jia'suo'si'hao 柏伽索斯号
'bai'ling'hai'xia 白令海峡
'bai'nian'zhan'zheng 百年战争
'bai'pao'yi 白袍衣
'bai'qi 百骑
'bai'ren'du 百人督
'bai'ren'ge'dou 白刃格斗
'bai'se'fang'an 白色方案
'bai'se'qi'yi 百色起义
'bai'tuan'da'zhan 百团大战
'bai'wan'xiong'shi 百万雄师
'bai'xing'zhi'fei 百姓之费
'bai'yan 白烟
'bai'yan'ju'ren'hao 百眼巨人号
'bai'zhan 败战
'bai'zhan 百战
'bai'zhan'qi'fa 百战奇法
'bai'zhan'qi'lue 百战奇略
'ban'du'er'ji 半渡而击
'ban'du'ji 半渡击
'ban'fa 绊发
'ban'fu 班副
'ban'ji 扳机
'ban'ji'huang 扳机簧
'ban'ji'li 扳机力
'ban'ji'zhou 扳机轴
'ban'ju'deng'gao'xian 半距等高线
'ban'li'yin'jian'bei'an 办理印鉴备案
'ban'qian 半潜
'ban'qian'zhuang'tai 半潜状态
'ban'ri'chao 半日潮
'ban'shang'hai'ji'liang 半伤害剂量
'ban'shang'hai'nong'du 半伤害浓度
'ban'shao 班哨
'ban'shuai'qi 半衰期
'ban'shuai'qi'shi'jian 半衰期时间
'ban'shuai'ruo'ceng 半衰弱层
'ban'sui'xiu'li 伴随修理
'ban'xian 绊线
'ban'xian'zhou 绊线轴
'ban'yong 班用
'ban'yong'chong'feng'zhou 班用冲锋舟
'ban'yong'jiu'xiu'fu 半永久修复
'ban'yuan'xing'luo'di'gong 半圆形落地拱
'ban'zhe'bi'zhen'di 半遮蔽阵地
'ban'zhi'jie 半直接
'ban'zhi'si'ji'liang 半致死剂量
'ban'zhou 半舟
'ban'zhu'dong'lei'da 半主动雷达
'ban'zhuang 绊桩
'ban'zi'dong'bu'qiang 半自动步枪
'bao'chi'kong'yu'wei'zhi 保持空域位置
'bao'er'ji'zhi 饱而饥之
'bao'fei'zhuang'bei 报废装备
'bao'gao 爆高
'bao'gao'wen'shu 报告文书
'bao'hou 爆后
'bao'hu'gong'min 保护公民
'bao'hu'mi'cai 保护迷彩
'bao'jia'wei'guo 保家卫国
'bao'lan'qiao'jiao 堡篮桥脚
'bao'li'wei'xie 暴力威胁
'bao'lu'ren'yuan 暴露人员
'bao'lu'yi'ce 暴露翼侧
'bao'lu'zhen'di 暴露阵地
'bao'lu'zheng'hou 暴露征候
'bao'luan'shi'jian 暴乱事件
'bao'mi'dian'hua 保密电话
'bao'mi'hua'wang 保密话网
'bao'mi'ji 保密机
'bao'mi'ji'lv 保密纪律
'bao'mi'shou'duan 保密手段
'bao'mi'tong'xin 保密通信
'bao'mi'xing 保密性
'bao'mi'zhi'du 保密制度
'bao'nu'hao 暴怒号
'bao'po'dan 爆破弹
'bao'po'dui 爆破队
'bao'po'guan 爆破罐
'bao'po'ji'shu 爆破技术
'bao'po'ming'ci 爆破名词
'bao'po'qi 爆破器
'bao'po'qi'cai 爆破器材
'bao'po'ren'wu 爆破任务
'bao'po'tong 爆破筒
'bao'po'zu 爆破组
'bao'po'zuo'ye 爆破作业
'bao'qian 爆前
'bao'qu 爆区
'bao'shen 爆深
'bao'shou'di'fang 保守地方
'bao'su 爆速
'bao'wei'mu'biao 保卫目标
'bao'wei'qu'yu 保卫区域
'bao'wei'zhan 保卫战
'bao'wu'yuan 报务员
'bao'xian'dao 保险道
'bao'xian'gan 保险杆
'bao'xian'ji'gou 保险机构
'bao'xian'xiao 保险销
'bao'xin 爆心
'bao'xin'tou'ying'dian 爆心投影点
'bao'yang'jian 保养间
'bao'zha'bu 爆炸部
'bao'zha'dai 爆炸带
'bao'zha'dang'liang 爆炸当量
'bao'zha'fang'shi 爆炸方式
'bao'zha'gao'du 爆炸高度
'bao'zha'he'zai 爆炸荷载
'bao'zha'ri 爆炸日
'bao'zha'shan'guang 爆炸闪光
'bao'zha'shen'du 爆炸深度
'bao'zha'xing'he'wu'qi 爆炸性核武器
'bao'zha'xing'neng 爆炸性能
'bao'zha'xing'zhang'ai'wu 爆炸性障碍物
'bao'zha'zhong'xin 爆炸中心
'bao'zhan 饱战
'bao'zhang'bu'dui 保障部队
'bao'zhang'dui 保障队
'bao'zhang'gong'gong'an'quan 保障公共安全
'bao'zhang'ji'xie 保障机械
'bao'zhang'lei'che'liang 保障类车辆
'bao'zhang'qun 保障群
'bao'zhang'yin'dao 保障引导
'bao'zhang'you'li 保障有力
'bao'zhen'bo 爆震波
'bao'zhen'dan 爆震弹
'bao'zhen'feng 爆震风
'bao'zhi'tong'xin 报知通信
'bao'zhi'tong'xin'wang 报知通信网
'bei'an'lian 备案联
'bei'dan 备弹
'bei'dang 贝当
'bei'dong'duan 被动段
'bei'dong'hong'wai'zhen'cha 被动红外侦察
'bei'dong'shi 被动式
'bei'dong'shi'sheng'na 被动式声纳
'bei'er'jiao'zhi 卑而骄之
'bei'fa'zhan'zheng 北伐战争
'bei'fang'gong'ye 北方工业
'bei'fang'hu 被防护
'bei'fang'hu'dui'xiang 被防护对象
'bei'fang'ji'tuan'jun'qun 北方集团军群
'bei'fang'zhan'zheng 北方战争
'bei'fu 被覆
'bei'fu 被俘
'bei'fu 被服
'bei'fu'xian 被覆线
'bei'fu'xian'lu 被覆线路
'bei'jian 备件
'bei'jian'ku 备件库
'bei'jiang 备降
'bei'jiang'chang 备降场
'bei'jiang'ji'chang 备降机场
'bei'jing'jun'qu 北京军区
'bei'ju 被具
'bei'kao'wen'shu 备考文书
'bei'lei'qiao 贝雷桥
'bei'nang'shi'lv'shui'qi 背囊式滤水器
'bei'ou'dou'shi 北欧斗士
'bei'ou'lie'dao 北欧猎刀
'bei'po'tiao'san 被迫跳伞
'bei'shi 杯士
'bei'shui'gong'ji 背水攻击
'bei'shui'ji 背水击
'bei'shui'zuo'zhan 背水作战
'bei'suo 背锁
'bei'ya'jin'jun 北衙禁军
'bei'yang'shan 贝洋山
'bei'yong'pin'lv 备用频率
'bei'yue'biao'zhun'dan 北约标准弹
'bei'yue'kou'jing 北约口径
'bei'ze'fen'zhi 倍则分之
'bei'zhuang 被装
'ben'chu'zi'wu'xian 本初子午线
'ben'dui 本队
'ben'ji'zhan'shu 本级战术
'ben'lv'yi'tong 苯氯乙酮
'ben'xi 奔袭
'ben'xing'zheng'qu'yu 本行政区域
'ben'zai'yu'zheng 本在于政
'bi'dan'suo 避弹所
'bi'kai'she'ji 避开射击
'bi'se'men'qiao 闭塞门桥
'bi'shi'ji'xu 避实击虚
'bi'si'mai'hao 俾斯麦号
'bi'suo'ji'gou 闭锁机构
'bi'suo'ji'gou 闭所机构
'bi'wan'zhi'li 臂腕之力
'bi'zhan 避战
'bi'zhan 必战
'bian'bing 边兵
'bian'da'bian'cha 边打边插
'bian'da'bian'zu'zhi 边打边组织
'bian'dui'fang'yu 编队防御
'bian'dui'gong'ji 编队攻击
'bian'dui'hang'xing 编队航行
'bian'dui'nei'bu'tong'xin 编队内部通信
'bian'dui'xun'lian 编队训练
'bian'dui'yun'dong 编队运动
'bian'dui'yun'dong'gui'ze 编队运动规则
'bian'dui'zhu'li 编队主力
'bian'fang'bu'dui 边防部队
'bian'fang'bu'shu 边防部署
'bian'fang'dou'zheng 边防斗争
'bian'fang'guan'cha 边防观察
'bian'fang'guan'li 边防管理
'bian'fang'hui'shao 边防会哨
'bian'fang'hui'tan 边防会谈
'bian'fang'hui'wu 边防会晤
'bian'fang'jian'she 边防建设
'bian'fang'qian'fu 边防潜伏
'bian'fang'qin'wu 边防勤务
'bian'fang'shao'suo 边防哨所
'bian'fang'xun'luo 边防巡逻
'bian'fang'yi'xian 边防一线
'bian'fang'zhan 边防站
'bian'fang'zhen'cha 边防侦察
'bian'fang'zheng'ce 边防政策
'bian'geng'bu'shu 变更部署
'bian'gui 变轨
'bian'hou'lue'yi 变后掠翼
'bian'hou'lue'yi'fei'ji 变后掠翼飞机
'bian'huan'bao'xian 变换保险
'bian'huan'mo'ce 变幻莫测
'bian'huan'zhan'shu 变换战术
'bian'ji'he 边集合
'bian'jie'chong'tu 边界冲突
'bian'jie'he'liu 边界河流
'bian'jie'lian'he'jian'cha 边界联合检查
'bian'jie'shi'jian 边界事件
'bian'jie'shou'wei 边界守卫
'bian'jie'ta'cha 边界踏查
'bian'jie'xian 边界线
'bian'jie'xian'zhuang 边界现状
'bian'jing'di'qu 边境地区
'bian'jing'guan'cha 边境观察
'bian'jing'guan'li 边境管理
'bian'jing'jin'qu 边境禁区
'bian'jing'kan'ce 边境勘测
'bian'jing'qian'fu 边境潜伏
'bian'jing'she'wai'shi'wu 边境涉外事务
'bian'jing'shi 边境市
'bian'jing'xian 边境县
'bian'jue'jin'bian'bei'fu 边掘进边被覆
'bian'ma'tong'xin 编码通信
'bian'ma'xue 编码学
'bian'nei 编内
'bian'nei'zhi'gong 编内职工
'bian'pei'bi'li 编配比例
'bian'qian'jin 边前进
'bian'ru'yu'bei'yi 编入预备役
'bian'wai'ding'bian 编外定编
'bian'wai'zhi'gong 编外职工
'bian'xiang'ju'jin 变相拘禁
'bian'xiang'si'fen 变相私分
'bian'xie'shi 便携式
'bian'xing'di 变形地
'bian'xing'mi'cai 变形迷彩
'bian'xing'mi'cai'tu'ce 变形迷彩图册
'bian'xing'qiang 变型枪
'bian'xing'zhe'zhang 变形遮障
'bian'yu'xie'xing 便于携行
'bian'yuan'fa'huo 边缘发火
'bian'zhan 变战
'bian'zhi'biao 编制表
'bian'zhi'biao'zhun 编制标准
'bian'zhi'fang'an 编制方案
'bian'zhi'jun'xian 编制军衔
'bian'zhi'mi'ma 编制密码
'bian'zhi'xi'tong 编制系统
'bian'zhi'yuan'e 编制员额
'bian'zhi'zhi'wu 编制职务
'bian'zhou 边舟
'bian'zou'bian'lian'luo 边走边联络
'bian'zu 编组
'bian'zu'lian'xi 编组练习
'bian'zu'zhi'zhan'dou 边组织战斗
'bian'zu'zuo'ye 编组作业
'biao'chi 表尺
'biao'chi'ju'li 表尺距离
'biao'chi'she'cheng 表尺射程
'biao'chi'shou 标尺手
'biao'chi'wei'xian'jie 表尺危险界
'biao'chi'zuo 表尺座
'biao'dao 镖刀
'biao'ding 标定
'biao'ding'di'tu 标定地图
'biao'ding'she'ji 标定射击
'biao'gao 标高
'biao'kong 标孔
'biao'mian'zhan'ran 表面沾染
'biao'mian'zhen'di 表面阵地
'biao'ming'zhi'fa'shen'fen 表明执法身份
'biao'shi'sheng 标示绳
'biao'shi'tong'lu 标示通路
'biao'shuai'zuo'yong 表率作用
'biao'tu 标图
'biao'zhang'he'jiang'li 表彰和奖励
'biao'zhi'dan 标志弹
'biao'zhi'deng'ta 标志灯塔
'biao'zhun'dao'gui 标准导轨
'biao'zhun'jie'kou 标准接口
'biao'zhun'pai'shui'liang 标准排水量
'biao'zhun'she'ji'tiao'jian 标准射击条件
'biao'zhun'shi 标准时
'biao'zhun'xing 标准型
'bin'hai 濒海
'bin'hai'gang'kou 滨海港口
'bin'hai'yi'ce 濒海翼侧
'bin'ke'zhi'yong 宾客之用
'bin'lu 濒陆
'bin'lu'hai'qu 濒陆海区
'bin'xi'fa'ni'ya'hao 宾夕法尼亚号
'bing'bu'yan'zha 兵不厌诈
'bing'cao 兵曹
'bing'fa 兵法
'bing'fei'yi'duo 兵非益多
'bing'gui'bi'yi 兵诡必疑
'bing'gui'shen'su 兵贵神速
'bing'jian'tu'ji 并肩突击
'bing'jiao'bing 兵教兵
'bing'jiao'guan 兵教官
'bing'li 兵力
'bing'li'bian'zu 兵力编组
'bing'li'dui'bi 兵力对比
'bing'li'ji'dong 兵力机动
'bing'li'qu'fen 兵力区分
'bing'pao 并炮
'bing'pian 柄片
'bing'qi 兵棋
'bing'qi'che 兵器车
'bing'qi'xi'tong 兵器系统
'bing'qi'zuo'ye 兵棋作业
'bing'quan'gui'yi 兵权贵一
'bing'shang'du'chang 冰上渡场
'bing'shang'du'he 冰上渡河
'bing'she'xian 丙射线
'bing'she'xian'zhao'she'liang 丙射线照射量
'bing'wu'chang'shi 兵无常势
'bing'xin 柄芯
'bing'xue'zhang'ai'wu 冰雪障碍物
'bing'yao'di'zhi 兵要地志
'bing'yi'fa 兵役法
'bing'yi'jing'sheng 兵以静胜
'bing'yi'ju 兵役局
'bing'yi'wei'yuan'hui 兵役委员会
'bing'yi'zhi'du 兵役制度
'bing'yi'zhi'du'ming'ci 兵役制度名词
'bing'yuan 兵员
'bing'yuan'bu'tui 兵员补退
'bing'yuan'dong'yuan'ji'hua 兵员动员计划
'bing'zhan 兵站
'bing'zhan'yun'shu'wang 兵站运输网
'bing'zhang'ju 兵仗局
'bing'zhi'sheng'bai 兵之胜败
'bing'zhong 兵种
'bing'zhong'shu'qiang 兵众孰强
'bing'zhong'zhan'shu 兵种战术
'bing'zhong'zhan'shu'xun'lian 兵种战术训练
'bing'zhong'zhu'shuai 兵种主帅
'bing'zhou'ju 并舟具
'bo'ban'jian 波瓣间
'bo'ban'jian'mang'qu 波瓣间盲区
'bo'ci 波次
'bo'deng 拨等
'bo'ke 博克
'bo'ke'zhan'dou'dao 博克战斗刀
'bo'lan'yu 波兰语
'bo'lin'zhan'yi 柏林战役
'bo'mian'zhi'dao 波面制导
'bo'qian'lie'hou 薄前猎后
'bo'shu'zhi'dao 波束制导
'bo'yin'gong'si 波音公司
'bo'zhuang'xie'mian 波状斜面
'bu'ban 布板
'bu'ban'xin'hao 布板信号
'bu'bing 步兵
'bu'bing'da'zai 步兵搭载
'bu'bing'fu'qiao 步兵浮桥
'bu'bing'ji'shu'xun'lian 步兵技术训练
'bu'bing'pang'pai 步兵旁牌
'bu'bing'san'jiao'jia 步兵三脚架
'bu'bing'tong'ling'ya'men 步兵统领衙门
'bu'bing'wu'qi 步兵武器
'bu'bing'zhan'che 步兵战车
'bu'bing'zhan'dou'che 步兵战斗车
'bu'bing'zhan'dou'jiao'cheng 步兵战斗教程
'bu'bing'zhan'shu'xun'lian 步兵战术训练
'bu'bu'wei'ying 步步为营
'bu'ce 步测
'bu'chong'qing'kuang 补充情况
'bu'chong'ren'wu 补充任务
'bu'chong'xiang'ding 补充想定
'bu'da'ren'ma'ren 不打人骂人
'bu'dan 钚弹
'bu'de'qi'kao'yi 不得其考矣
'bu'duan'yu 不短于
'bu'dui'bian'zhi 部队编制
'bu'dui'ce'hui'qin'wu 部队测绘勤务
'bu'dui'dai'hao 部队代号
'bu'dui'fan'hao 部队番号
'bu'dui'shi'yan 部队试验
'bu'dui'shi'yong 部队试用
'bu'dui'xing'dong 部队行动
'bu'dui'zhang 部队长
'bu'dui'zhen'cha 部队侦察
'bu'dui'zhu'di 部队驻地
'bu'dui'zhuang'bei 部队装备
'bu'fen'dong'yuan 部分动员
'bu'fen'gui'dao'wu'qi 部分轨道武器
'bu'fen'hu'wei'jian 部分护卫舰
'bu'fen'zhi'zhan'yuan 部分指战员
'bu'fu'ji'shu 捕俘技术
'bu'gao 布告
'bu'gei'dan'shui 补给淡水
'bu'gei'yun'shu'xian 补给运输线
'bu'gui'jiu 不贵久
'bu'guo'jie 不过借
'bu'hua'ji 步话机
'bu'ji'dian 补给点
'bu'jin'ru'zhen'di 不进入阵地
'bu'jin'xiang'tong 不尽相同
'bu'jiu'bian 不久便
'bu'jun'tong'ling 步军统领
'bu'jun'ying 步军营
'bu'ke'bu'cha'ye 不可不察也
'bu'ke'xian'chuan'ye 不可先传也
'bu'lai'en'tai 布莱恩泰
'bu'lei 布雷
'bu'lei'che 布雷车
'bu'lei'dan 布雷弹
'bu'lei'ji'shi'dian 布雷计时点
'bu'lei'jian 布雷舰
'bu'lei'mi'du 布雷密度
'bu'lei'qi 布雷器
'bu'liang'tian'hou 不良天候
'bu'lun'nan'nv 不论男女
'bu'neng'jun'zhe 不能军者
'bu'ni'zhan'zheng 布匿战争
'bu'nue'dai'fu'lu 不虐待俘虏
'bu'pao'xie'tong 步炮协同
'bu'pao'xie'tong'tong'xin 步炮协同通信
'bu'qiang'cong 步枪从
'bu'qiang'shi 步枪是
'bu'qiang'xing'neng 步枪性能
'bu'ruo'ze'neng'bi'zhi 不若则能避之
'bu'shao 步哨
'bu'shao'ji'fa'qiang 不少击发枪
'bu'shi'gan'jun 布氏杆菌
'bu'sun'huai'zhuang'jia 不损坏庄家
'bu'tan'ji 步谈机
'bu'tan'xie'tong 步坦协同
'bu'tan'xie'tong'tong'xin 步坦协同通信
'bu'tei'zhe 不忒者
'bu'tiao'xi'fu'nv 不调戏妇女
'bu'ting'zhi'zhi 不听制止
'bu'xiu'gang 不锈钢
'bu'yan'tie'mu'er 卜颜帖木儿
'bu'yi'da 不宜大
'bu'yi'zhang'wo 不易掌握
'bu'ying 步营
'bu'yu'chu'fa 不予处罚
'bu'zhan 步战
'bu'zhan'che 步战车
'bu'zhi'bi'bu'zhi'ji 不知彼不知己
'bu'zhi'bi'er'zhi'ji 不知彼而知己
'bu'zhi'zhi'zhe'bu'sheng 不知之者不胜
'bu'zhuo'fu'lu 捕捉俘虏
'bu'zhuo'gou 捕捉狗
'bu'zhuo'zhan'ji 捕捉战机
'cai'chan'quan'shu 财产权属
'cai'che'di'ba 才彻底把
'cai'gou'fa 采购法
'cai'gou'xiang'mu 采购项目
'cai'jing'ji'lv 财经纪律
'cai'liao'dui'chang 材料堆场
'cai'neng'lian'chu 才能炼出
'cai'qu'zhu'dong 采取主动
'cai'si'shang 才死伤
'cai'wan'cheng 才完成
'cai'wu'bao'zhang 财务保障
'cai'wu'guan'li 财务管理
'cai'wu'guan'li'yuan'ze 财务管理原则
'cai'wu'gui'zhang'zhi'du 财务规章制度
'cai'wu'jian'cha 财务检查
'cai'yong'sui'fa'qiang 采用燧发枪
'can'cun'huo'li'dian 残存火力点
'can'di 残敌
'can'fei'jun'ren 残废军人
'can'guan'jiao'xue 参观教学
'can'jun'can'gan 参军参干
'can'mou'liu'hui 参谋六会
'can'mou'ren'yuan 参谋人员
'can'mou'ye'wu 参谋业务
'can'mou'zhang 参谋长
'can'shi 蚕食
'cang'cu'fang'yu 仓促防御
'cang'cu'fang'yu 仓猝防御
'cang'ku 仓库
'cang'long'xing 苍龙型
'cang'men 舱门
'cang'shi 舱室
'cao'che 槽车
'cao'du 漕渡
'cao'du'men'qiao 漕渡门桥
'cao'gui 曹刿
'cao'ren'huo'di 草人惑敌
'cao'yuan'wei'zhuang 草原伪装
'cao'zhou 操舟
'cao'zhou'ji 操舟机
'cao'zhou'ji'zhi'jia 操舟机支架
'cao'zong'bu'fen 操纵部分
'cao'zong'di'lei 操纵地雷
'cao'zong'shou 操纵手
'cao'zong'xing 操纵性
'cao'zuo'fan'gan'rao 操作反干扰
'cao'zuo'xun'lian'dan 操作训练弹
'cao'zuo'yuan'li 操作原理
'ce'bao'xian'dao 侧保险道
'ce'bi'shi 侧壁式
'ce'bi'shi'qi'dian'chuan 侧壁式气垫船
'ce'di 测地
'ce'di'qian'jin 侧敌前进
'ce'di'qin'wu 测地勤务
'ce'di'wei'xing 测地卫星
'ce'ding'fang'wei 测定方位
'ce'fang'jian'bing 侧方尖兵
'ce'fang'jiao'hui'fa 侧方交会法
'ce'fang'jing'jie 侧方警戒
'ce'fang'zhen'di 侧方阵地
'ce'feng 测风
'ce'feng'lei'da 测风雷达
'ce'hou 侧后
'ce'hui 测绘
'ce'hui'bao'zhang 测绘保障
'ce'hui'bu'dui 测绘部队
'ce'hui'qin'wu'bao'zhang 测绘勤务保障
'ce'hui'ren'wu 测绘任务
'ce'ji 侧击
'ce'jing'kong'qu 侧净空区
'ce'jing'qi'cai 测井器材
'ce'ju 测距
'ce'ju'yi 测距仪
'ce'liang'chuan 测量船
'ce'she 侧射
'ce'she'huo'li 侧射火力
'ce'shi'fen'dui 测试分队
'ce'shi'lei'da 侧视雷达
'ce'shi'zhen'di 测试阵地
'ce'tu'wei'xing 测图卫星
'ce'wei 侧卫
'ce'xian 测线
'ce'xiang 侧向
'ce'ying 策应
'ce'yu 测雨
'ce'yu'lei'da 测雨雷达
'cha'gang 查岗
'cha'ji'du'pin 查缉毒品
'cha'pu 查铺
'cha'pu'cha'shao 查铺查哨
'cha'shao 查哨
'cha'zheng'shu'shi 查证属实
'chai'chu'bao'po 拆除爆破
'chai'dan'dui 拆弹队
'chai'pin 拆拼
'chai'pin'xiu'li 拆拼修理
'chai'zhuang'shi'jin'shu'qiao 拆装式金属桥
'chan'ju 缠距
'chan'ye'dong'yuan'ju 产业动员局
'chan'zhan'lao'di 缠战劳敌
'chang'bei'jun 常备军
'chang'bing 长兵
'chang'bo 长波
'chang'bo'tai 长波台
'chang'bo'tong'xin 长波通信
'chang'cheng 长城
'chang'cheng'kang'zhan 长城抗战
'chang'dan 长弹
'chang'dao 场道
'chang'dian'she 长点射
'chang'fang'xing'di'ba 长方形地靶
'chang'fu 常服
'chang'fu'chen'yi 常服衬衣
'chang'gan 长杆
'chang'gui'dan'tou 常规弹头
'chang'gui'dong'li 常规动力
'chang'gui'jian'yan'xiang 常规检验箱
'chang'gui'wu'qi 常规武器
'chang'gui'zhan'zheng 常规战争
'chang'hua 厂化
'chang'jie'deng 场界灯
'chang'men'hao 长门号
'chang'nei'po'jiang'chang 场内迫降场
'chang'qiang'fa'zhe 长枪法着
'chang'qiang'guan 长枪管
'chang'qiang'zhi'fa 长枪之法
'chang'qiang'zhi'wu 长枪之物
'chang'qu'zhi'ru 长驱直入
'chang'sha'hui'zhan 长沙会战
'chang'tu'dian'hua 长途电话
'chang'wai'po'jiang'chang 场外迫降场
'chang'wei'zhi'di 长围制敌
'chang'xing'ci'bing 长形刺兵
'chang'xing'jun 常行军
'chang'yong'biao'chi 常用表尺
'chang'yong'fang'fa 常用方法
'chang'zheng'jian'er 长征健儿
'chao'bao 抄报
'chao'bao'zhi 抄报纸
'chao'bian 超编
'chao'cha 潮差
'chao'chang'bo 超长波
'chao'chang'bo'tong'xin 超长波通信
'chao'di'gui'dao 超低轨道
'chao'di'kong 超低空
'chao'di'kong'fei'xing 超低空飞行
'chao'duan'bo 超短波
'chao'duan'bo'dian'tai 超短波电台
'chao'duan'bo'tong'xin 超短波通信
'chao'gao'kong 超高空
'chao'gao'kong'bao'zha 超高空爆炸
'chao'ji'mei'zhou'bao 超级美洲豹
'chao'ji'zhan'shu'zhe'dao 超级战术折刀
'chao'kou'jing 超口径
'chao'kou'jing'pao'dan 超口径炮弹
'chao'qi'fu'yi 超期服役
'chao'sheng'shui'ya'shui'lei 超声水压水雷
'chao'shi'ju'lei'da 超视距雷达
'chao'shui'xian 潮水线
'chao'wu 朝雾
'chao'wu'ji'qu'zhu'jian 朝雾级驱逐舰
'chao'xi'biao 潮汐表
'chao'xian'ren'min'jun 朝鲜人民军
'chao'xian'ting'zhan'xie'ding 朝鲜停战协定
'chao'xian'zhan'chang 朝鲜战场
'chao'xian'zhan'zheng 朝鲜战争
'chao'ya'dong'ya 超压动压
'chao'yin'su 超音速
'chao'yin'su'fei'ji 超音速飞机
'chao'yue 超越
'chao'yue'she 超越射
'chao'yue'she'ji 超越射击
'chao'yue'zuo'zhan 超越作战
'chao'zhi'she'ju'li 超直射距离
'chao'zhong 超重
'chao'zhong'xian 超重陷
'che'chang 车场
'che'chang'ri 车场日
'che'chuan 车船
'che'fen 车份
'che'gong'li 车公里
'che'gong'li'xian'e 车公里限额
'che'hang'bu 车行部
'che'hang'bu'kuan'du 车行部宽度
'che'jia'zhi'feng 车甲之奉
'che'jian'ju'li 车间距离
'che'li'zhan'chang 撤离战场
'che'liang'bao'yang 车辆保养
'che'liang'chu'shi 车辆初驶
'che'liang'fen'ji 车辆分级
'che'liang'hao'pai 车辆号牌
'che'liang'li'yong'lv 车辆利用率
